,NESN.SW,ASML.AS,ROG.SW,NOVN.SW,SAP.DE,NOVO B.CO,ULVR.L,6758.T,AZN.L,DGE.L,OR.PA,ALV.DE,388.HK,DPW.DE,SAN.PA,CSL.AX,KER.PA,AI.PA,GSK.L,NAB.AX,7974.T,DAI.DE,ABBN.SW,6702.T,GIVN.SW,ANZ.AX,KGF.L,8306.T,6701.T,9433.T,CRH.L,BN.PA,UBSG.SW,ERIC B.ST,CS.PA,RKT.L,GEBN.SW,BBVA.MC,9432.T,6501.T,STM.PA,ASSA B.ST,ISP.MI,LR.PA,CAP.PA,PHIA.AS,MRK.DE,G.MI,LOGN.SW,D05.SI,8035.T,VOW3.DE,DSY.PA,AV.L,WKL.AS,SCMN.SW,4502.T,BMW.DE,DSM.AS,KNIN.SW,LGEN.L,KNEBV.HE,4519.T,SGO.PA,BXB.AX,4452.T,SGSN.SW,NZYM B.CO,4901.T,DSV.CO,ML.PA,6752.T,MQG.AX,HEN3.DE,PSON.L,CABK.MC,HUSQ B.ST,ITRK.L,BEI.DE,TRN.MI,4063.T,KBC.BR,ELUX B.ST,UU.L,SCHP.SW,BNR.DE,2502.T,PNDORA.CO,6326.T,9613.T,CCEP,STAN.L,4307.T,CCH.L,MNDI.L,SCA B.ST,TEP.PA,7751.T,ORK.OL,4507.T,2802.T,SK.PA,CNP.PA,PROX.BR,9531.T,SEV.PA,6724.T,6988.T,9719.T,8604.T,NN.AS,CARL B.CO,RAND.AS,8795.T,8113.T,AHT.L,SRG.MI,11.HK,6504.T,FMG.AX,ALFA.ST,SVT.L,7272.T,HOLN.SW,1COV.DE,ORA.PA,8630.T,7741.T,SKA B.ST,IPN.PA,4503.T,ASM.AS,RCO.PA,66.HK,688012.SS,6753.T,4739.T,YAR.OL,MONC.MI,HEI.DE,8601.T,3407.T,6869.T,2503.T,KRZ.IR,2267.T,BNZL.L,9062.T,EVK.DE,NCM.AX,5201.T,9143.T,4185.T,5938.T,SRT3.,4183.T,ENG.MC,SHL.AX,2875.T,4188.T,5947.T,MB.MI,6370.T,AKE.PA,2331.T,2269.T,9843.T,LXS.DE,G1A.DE,S68.SI,FPH.NZ,AZJ.AX,BARN.SW,CPU.AX,CLN.SW,TAH.AX,5713.T,2587.T,ANTO.L,9533.T,9064.T,BSL.AX,ORNBV.HE,ADM.L,DCC.L,ENT.L,ASX.AX,JHX.AX,4613.T,7309.T,4578.T,MAERSK B.CO,NST.AX,1929.HK,APA.AX,4151.T,3861.T,4506.T,MPL.AX,4530.T,2810.T,SHL.DE,DSYA.,4523.T,7459.T,4536.T,AFX.DE,UCB.BR,5486.T,REC.MI,BIDI11.SA,n/a,4091.T,4568.T,SUM
07/23/2021,2.71,2.53,1.96,1.58,1.46,1.45,1.36,1.32,1.18,1.12,1.1,1.03,1.24,1.01,0.93,0.88,0.83,0.78,0.77,0.75,0.74,0.69,0.74,0.73,0.77,0.67,0.68,0.67,0.68,0.67,0.6,0.62,0.6,0.58,0.6,0.62,0.65,0.57,0.62,0.61,0.61,0.61,0.53,0.58,0.58,0.55,0.6,0.55,0.55,0.54,0.54,0.52,0.0,0.49,0.57,0.55,0.54,0.49,0.55,0.52,0.5,0.52,0.5,0.5,0.5,0.49,0.49,0.48,0.47,0.48,0.46,0.47,0.44,0.44,0.45,0.42,0.44,0.44,0.44,0.46,0.42,0.42,0.43,0.45,0.45,0.45,0.42,0.41,0.43,0.44,0.41,0.39,0.43,0.41,0.41,0.45,0.42,0.42,0.36,0.41,0.41,0.39,0.39,0.4,0.42,0.38,0.37,0.39,0.41,0.39,0.38,0.37,0.36,0.37,0.37,0.37,0.36,0.38,0.36,0.39,0.36,0.38,0.32,0.33,0.35,0.35,0.38,0.35,0.35,0.34,0.34,0.34,0.34,0.34,0.0,0.31,0.33,0.31,0.31,0.31,0.3,0.3,0.31,0.3,0.3,0.3,0.32,0.3,0.3,0.31,0.28,0.28,0.29,0.28,0.3,0.26,0.25,0.28,0.26,0.26,0.25,0.24,0.26,0.23,0.25,0.25,0.25,0.23,0.23,0.23,0.26,0.22,0.22,0.2,0.21,0.19,0.2,0.19,0.18,0.2,0.19,0.18,0.17,0.18,0.17,0.17,0.17,0.17,0.16,0.17,0.16,0.14,0.15,0.13,0.15,0.14,0.14,0.13,0.14,0.0,0.33,0.0,0.57,0.0,0.13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,95.8
07/26/2021,2.69,2.6,1.93,1.55,1.39,1.45,1.33,1.29,1.2,1.12,1.11,1.06,1.26,1.02,0.92,0.9,0.84,0.78,0.76,0.74,0.71,0.69,0.76,0.71,0.76,0.68,0.7,0.65,0.67,0.65,0.61,0.62,0.64,0.58,0.62,0.61,0.65,0.6,0.61,0.6,0.62,0.63,0.55,0.58,0.58,0.55,0.58,0.56,0.56,0.54,0.53,0.54,0.0,0.5,0.57,0.55,0.53,0.49,0.55,0.51,0.53,0.52,0.49,0.51,0.5,0.48,0.49,0.47,0.47,0.48,0.46,0.47,0.44,0.44,0.45,0.43,0.45,0.43,0.44,0.46,0.42,0.44,0.41,0.45,0.45,0.45,0.41,0.41,0.43,0.43,0.43,0.39,0.42,0.42,0.42,0.46,0.41,0.44,0.36,0.41,0.4,0.39,0.41,0.41,0.41,0.38,0.38,0.39,0.4,0.38,0.39,0.37,0.37,0.36,0.37,0.38,0.36,0.38,0.36,0.38,0.39,0.38,0.32,0.34,0.36,0.35,0.37,0.35,0.35,0.34,0.34,0.35,0.33,0.34,0.0,0.3,0.32,0.31,0.31,0.32,0.29,0.29,0.31,0.29,0.3,0.3,0.32,0.29,0.3,0.31,0.27,0.28,0.29,0.28,0.28,0.25,0.25,0.28,0.25,0.25,0.25,0.25,0.25,0.23,0.24,0.24,0.24,0.23,0.23,0.23,0.26,0.22,0.23,0.19,0.21,0.19,0.2,0.19,0.19,0.2,0.19,0.17,0.17,0.18,0.17,0.17,0.17,0.17,0.16,0.16,0.16,0.14,0.14,0.13,0.15,0.13,0.13,0.13,0.14,0.0,0.32,0.13,0.56,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,95.71
07/27/2021,2.66,2.74,1.87,1.57,1.37,1.46,1.28,1.28,1.2,1.13,1.12,1.06,1.22,1.03,0.92,0.91,0.85,0.78,0.76,0.75,0.7,0.73,0.78,0.7,0.76,0.68,0.71,0.64,0.66,0.65,0.61,0.6,0.64,0.57,0.61,0.6,0.66,0.61,0.6,0.59,0.63,0.63,0.56,0.59,0.59,0.56,0.6,0.55,0.55,0.55,0.52,0.53,0.0,0.5,0.58,0.54,0.52,0.49,0.56,0.5,0.52,0.53,0.48,0.52,0.5,0.48,0.49,0.48,0.46,0.48,0.47,0.46,0.44,0.43,0.46,0.44,0.45,0.44,0.43,0.46,0.41,0.44,0.41,0.45,0.46,0.46,0.41,0.41,0.42,0.42,0.43,0.4,0.42,0.43,0.42,0.47,0.42,0.43,0.36,0.41,0.4,0.37,0.41,0.4,0.41,0.38,0.38,0.38,0.39,0.37,0.39,0.37,0.37,0.35,0.36,0.38,0.37,0.37,0.36,0.38,0.4,0.38,0.31,0.34,0.35,0.34,0.37,0.35,0.38,0.34,0.34,0.37,0.34,0.35,0.0,0.3,0.32,0.31,0.32,0.32,0.29,0.29,0.31,0.29,0.31,0.3,0.32,0.28,0.3,0.3,0.27,0.28,0.29,0.27,0.3,0.25,0.25,0.28,0.25,0.24,0.24,0.25,0.25,0.23,0.24,0.24,0.24,0.23,0.23,0.24,0.27,0.22,0.22,0.2,0.21,0.2,0.2,0.18,0.19,0.19,0.19,0.18,0.17,0.18,0.17,0.17,0.17,0.17,0.16,0.16,0.16,0.14,0.14,0.13,0.15,0.13,0.13,0.13,0.14,0.0,0.31,0.0,0.57,0.0,0.0,0.0,0.13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,95.75
07/28/2021,2.66,2.74,1.87,1.57,1.37,1.46,1.28,1.28,1.2,1.13,1.12,1.06,1.22,1.03,0.92,0.91,0.85,0.78,0.76,0.75,0.7,0.73,0.78,0.7,0.76,0.68,0.71,0.64,0.66,0.65,0.61,0.6,0.64,0.57,0.61,0.6,0.66,0.61,0.6,0.59,0.63,0.63,0.56,0.59,0.59,0.56,0.6,0.55,0.55,0.55,0.52,0.53,0.0,0.5,0.58,0.54,0.52,0.49,0.56,0.5,0.52,0.53,0.48,0.52,0.5,0.48,0.49,0.48,0.46,0.48,0.47,0.46,0.44,0.43,0.46,0.44,0.45,0.44,0.43,0.46,0.41,0.44,0.41,0.45,0.46,0.46,0.41,0.41,0.42,0.42,0.43,0.4,0.42,0.43,0.42,0.47,0.42,0.43,0.36,0.41,0.4,0.37,0.41,0.4,0.41,0.38,0.38,0.38,0.39,0.37,0.39,0.37,0.37,0.35,0.36,0.38,0.37,0.37,0.36,0.38,0.4,0.38,0.31,0.34,0.35,0.34,0.37,0.35,0.38,0.34,0.34,0.37,0.34,0.35,0.0,0.3,0.32,0.31,0.32,0.32,0.29,0.29,0.31,0.29,0.31,0.3,0.32,0.28,0.3,0.3,0.27,0.28,0.29,0.27,0.3,0.25,0.25,0.28,0.25,0.24,0.24,0.25,0.25,0.23,0.24,0.24,0.24,0.23,0.23,0.24,0.27,0.22,0.22,0.2,0.21,0.2,0.2,0.18,0.19,0.19,0.19,0.18,0.17,0.18,0.17,0.17,0.17,0.17,0.16,0.16,0.16,0.14,0.14,0.13,0.15,0.13,0.13,0.13,0.14,0.0,0.31,0.0,0.57,0.0,0.0,0.0,0.13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,95.75
07/29/2021,2.66,2.74,1.87,1.57,1.37,1.46,1.28,1.28,1.2,1.13,1.12,1.06,1.22,1.03,0.92,0.91,0.85,0.78,0.76,0.75,0.7,0.73,0.78,0.7,0.76,0.68,0.71,0.64,0.66,0.65,0.61,0.6,0.64,0.57,0.61,0.6,0.66,0.61,0.6,0.59,0.63,0.63,0.56,0.59,0.59,0.56,0.6,0.55,0.55,0.55,0.52,0.53,0.0,0.5,0.58,0.54,0.52,0.49,0.56,0.5,0.52,0.53,0.48,0.52,0.5,0.48,0.49,0.48,0.46,0.48,0.47,0.46,0.44,0.43,0.46,0.44,0.45,0.44,0.43,0.46,0.41,0.44,0.41,0.45,0.46,0.46,0.41,0.41,0.42,0.42,0.43,0.4,0.42,0.43,0.42,0.47,0.42,0.43,0.36,0.41,0.4,0.37,0.41,0.4,0.41,0.38,0.38,0.38,0.39,0.37,0.39,0.37,0.37,0.35,0.36,0.38,0.37,0.37,0.36,0.38,0.4,0.38,0.31,0.34,0.35,0.34,0.37,0.35,0.38,0.34,0.34,0.37,0.34,0.35,0.0,0.3,0.32,0.31,0.32,0.32,0.29,0.29,0.31,0.29,0.31,0.3,0.32,0.28,0.3,0.3,0.27,0.28,0.29,0.27,0.3,0.25,0.25,0.28,0.25,0.24,0.24,0.25,0.25,0.23,0.24,0.24,0.24,0.23,0.23,0.24,0.27,0.22,0.22,0.2,0.21,0.2,0.2,0.18,0.19,0.19,0.19,0.18,0.17,0.18,0.17,0.17,0.17,0.17,0.16,0.16,0.16,0.14,0.14,0.13,0.15,0.13,0.13,0.13,0.14,0.0,0.31,0.0,0.57,0.0,0.0,0.0,0.13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,95.75
07/30/2021,2.63,2.74,1.85,1.56,1.37,1.44,1.25,1.28,1.17,1.12,1.11,1.07,1.16,1.03,0.92,0.9,0.85,0.78,0.75,0.75,0.7,0.73,0.78,0.71,0.75,0.68,0.71,0.65,0.66,0.65,0.61,0.6,0.66,0.56,0.62,0.59,0.65,0.63,0.6,0.61,0.63,0.63,0.57,0.58,0.59,0.54,0.59,0.56,0.55,0.54,0.53,0.53,0.0,0.51,0.57,0.54,0.52,0.49,0.56,0.5,0.53,0.52,0.49,0.53,0.5,0.48,0.49,0.48,0.47,0.48,0.46,0.46,0.45,0.43,0.45,0.45,0.45,0.43,0.43,0.46,0.42,0.45,0.41,0.45,0.44,0.46,0.41,0.41,0.43,0.43,0.43,0.4,0.42,0.43,0.42,0.47,0.42,0.43,0.36,0.42,0.4,0.36,0.41,0.41,0.41,0.38,0.38,0.39,0.4,0.37,0.39,0.37,0.38,0.36,0.36,0.38,0.37,0.38,0.36,0.38,0.4,0.38,0.32,0.34,0.36,0.35,0.37,0.35,0.37,0.33,0.34,0.37,0.33,0.35,0.0,0.3,0.32,0.31,0.32,0.32,0.29,0.29,0.31,0.29,0.31,0.3,0.32,0.29,0.3,0.3,0.28,0.28,0.29,0.28,0.29,0.25,0.25,0.28,0.25,0.25,0.24,0.25,0.26,0.23,0.24,0.24,0.24,0.23,0.23,0.24,0.27,0.22,0.22,0.2,0.21,0.19,0.2,0.19,0.2,0.19,0.19,0.18,0.17,0.18,0.17,0.17,0.17,0.17,0.16,0.17,0.16,0.14,0.14,0.13,0.15,0.13,0.13,0.13,0.14,0.0,0.31,0.0,0.57,0.0,0.0,0.0,0.13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,95.71
08/02/2021,2.64,2.77,1.88,1.57,1.41,1.47,1.26,1.31,1.17,1.14,1.12,1.06,1.1,1.02,0.92,0.89,0.87,0.78,0.76,0.74,0.7,0.72,0.78,0.7,0.76,0.68,0.71,0.66,0.66,0.65,0.61,0.59,0.65,0.56,0.62,0.53,0.66,0.62,0.6,0.61,0.63,0.63,0.57,0.58,0.61,0.53,0.6,0.55,0.49,0.54,0.52,0.52,0.0,0.51,0.58,0.55,0.52,0.48,0.55,0.5,0.53,0.52,0.48,0.52,0.5,0.48,0.5,0.49,0.47,0.48,0.46,0.47,0.44,0.43,0.46,0.44,0.45,0.44,0.43,0.47,0.41,0.45,0.41,0.46,0.44,0.46,0.41,0.4,0.43,0.43,0.43,0.4,0.42,0.43,0.43,0.48,0.42,0.43,0.35,0.42,0.41,0.36,0.4,0.41,0.41,0.38,0.38,0.38,0.4,0.37,0.39,0.37,0.35,0.36,0.37,0.38,0.38,0.38,0.36,0.39,0.41,0.39,0.32,0.35,0.35,0.35,0.38,0.35,0.36,0.33,0.34,0.36,0.34,0.35,0.0,0.3,0.32,0.31,0.31,0.32,0.29,0.3,0.31,0.29,0.31,0.3,0.32,0.28,0.3,0.3,0.28,0.28,0.3,0.27,0.3,0.25,0.26,0.27,0.25,0.25,0.24,0.25,0.25,0.23,0.24,0.24,0.24,0.23,0.23,0.24,0.26,0.22,0.23,0.2,0.22,0.19,0.21,0.19,0.2,0.19,0.19,0.19,0.17,0.19,0.17,0.17,0.16,0.17,0.16,0.18,0.16,0.14,0.14,0.0,0.15,0.13,0.14,0.13,0.14,0.0,0.31,0.13,0.6,0.0,0.0,0.0,0.13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,95.81
08/03/2021,2.64,2.77,1.88,1.57,1.41,1.47,1.26,1.31,1.17,1.14,1.12,1.06,1.1,1.02,0.92,0.89,0.87,0.78,0.76,0.74,0.7,0.72,0.78,0.7,0.76,0.68,0.71,0.66,0.66,0.65,0.61,0.59,0.65,0.56,0.62,0.53,0.66,0.62,0.6,0.61,0.63,0.63,0.57,0.58,0.61,0.53,0.6,0.55,0.49,0.54,0.52,0.52,0.0,0.51,0.58,0.55,0.52,0.48,0.55,0.5,0.53,0.52,0.48,0.52,0.5,0.48,0.5,0.49,0.47,0.48,0.46,0.47,0.44,0.43,0.46,0.44,0.45,0.44,0.43,0.47,0.41,0.45,0.41,0.46,0.44,0.46,0.41,0.4,0.43,0.43,0.43,0.4,0.42,0.43,0.43,0.48,0.42,0.43,0.35,0.42,0.41,0.36,0.4,0.41,0.41,0.38,0.38,0.38,0.4,0.37,0.39,0.37,0.35,0.36,0.37,0.38,0.38,0.38,0.36,0.39,0.41,0.39,0.32,0.35,0.35,0.35,0.38,0.35,0.36,0.33,0.34,0.36,0.34,0.35,0.0,0.3,0.32,0.31,0.31,0.32,0.29,0.3,0.31,0.29,0.31,0.3,0.32,0.28,0.3,0.3,0.28,0.28,0.3,0.27,0.3,0.25,0.26,0.27,0.25,0.25,0.24,0.25,0.25,0.23,0.24,0.24,0.24,0.23,0.23,0.24,0.26,0.22,0.23,0.2,0.22,0.19,0.21,0.19,0.2,0.19,0.19,0.19,0.17,0.19,0.17,0.17,0.16,0.17,0.16,0.18,0.16,0.14,0.14,0.0,0.15,0.13,0.14,0.13,0.14,0.0,0.31,0.13,0.6,0.0,0.0,0.0,0.13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,95.81
08/04/2021,2.64,2.77,1.88,1.57,1.41,1.47,1.26,1.31,1.17,1.14,1.12,1.06,1.1,1.02,0.92,0.89,0.87,0.78,0.76,0.74,0.7,0.72,0.78,0.7,0.76,0.68,0.71,0.66,0.66,0.65,0.61,0.59,0.65,0.56,0.62,0.53,0.66,0.62,0.6,0.61,0.63,0.63,0.57,0.58,0.61,0.53,0.6,0.55,0.49,0.54,0.52,0.52,0.0,0.51,0.58,0.55,0.52,0.48,0.55,0.5,0.53,0.52,0.48,0.52,0.5,0.48,0.5,0.49,0.47,0.48,0.46,0.47,0.44,0.43,0.46,0.44,0.45,0.44,0.43,0.47,0.41,0.45,0.41,0.46,0.44,0.46,0.41,0.4,0.43,0.43,0.43,0.4,0.42,0.43,0.43,0.48,0.42,0.43,0.35,0.42,0.41,0.36,0.4,0.41,0.41,0.38,0.38,0.38,0.4,0.37,0.39,0.37,0.35,0.36,0.37,0.38,0.38,0.38,0.36,0.39,0.41,0.39,0.32,0.35,0.35,0.35,0.38,0.35,0.36,0.33,0.34,0.36,0.34,0.35,0.0,0.3,0.32,0.31,0.31,0.32,0.29,0.3,0.31,0.29,0.31,0.3,0.32,0.28,0.3,0.3,0.28,0.28,0.3,0.27,0.3,0.25,0.26,0.27,0.25,0.25,0.24,0.25,0.25,0.23,0.24,0.24,0.24,0.23,0.23,0.24,0.26,0.22,0.23,0.2,0.22,0.19,0.21,0.19,0.2,0.19,0.19,0.19,0.17,0.19,0.17,0.17,0.16,0.17,0.16,0.18,0.16,0.14,0.14,0.0,0.15,0.13,0.14,0.13,0.14,0.0,0.31,0.13,0.6,0.0,0.0,0.0,0.13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,95.81
08/05/2021,2.64,2.77,1.88,1.57,1.41,1.47,1.26,1.31,1.17,1.14,1.12,1.06,1.1,1.02,0.92,0.89,0.87,0.78,0.76,0.74,0.7,0.72,0.78,0.7,0.76,0.68,0.71,0.66,0.66,0.65,0.61,0.59,0.65,0.56,0.62,0.53,0.66,0.62,0.6,0.61,0.63,0.63,0.57,0.58,0.61,0.53,0.6,0.55,0.49,0.54,0.52,0.52,0.0,0.51,0.58,0.55,0.52,0.48,0.55,0.5,0.53,0.52,0.48,0.52,0.5,0.48,0.5,0.49,0.47,0.48,0.46,0.47,0.44,0.43,0.46,0.44,0.45,0.44,0.43,0.47,0.41,0.45,0.41,0.46,0.44,0.46,0.41,0.4,0.43,0.43,0.43,0.4,0.42,0.43,0.43,0.48,0.42,0.43,0.35,0.42,0.41,0.36,0.4,0.41,0.41,0.38,0.38,0.38,0.4,0.37,0.39,0.37,0.35,0.36,0.37,0.38,0.38,0.38,0.36,0.39,0.41,0.39,0.32,0.35,0.35,0.35,0.38,0.35,0.36,0.33,0.34,0.36,0.34,0.35,0.0,0.3,0.32,0.31,0.31,0.32,0.29,0.3,0.31,0.29,0.31,0.3,0.32,0.28,0.3,0.3,0.28,0.28,0.3,0.27,0.3,0.25,0.26,0.27,0.25,0.25,0.24,0.25,0.25,0.23,0.24,0.24,0.24,0.23,0.23,0.24,0.26,0.22,0.23,0.2,0.22,0.19,0.21,0.19,0.2,0.19,0.19,0.19,0.17,0.19,0.17,0.17,0.16,0.17,0.16,0.18,0.16,0.14,0.14,0.0,0.15,0.13,0.14,0.13,0.14,0.0,0.31,0.13,0.6,0.0,0.0,0.0,0.13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,95.81
08/06/2021,2.65,2.79,1.9,1.56,1.4,1.48,1.27,1.35,1.16,1.15,1.13,0.97,1.19,0.99,0.9,0.9,0.88,0.75,0.76,0.75,0.67,0.74,0.76,0.66,0.77,0.68,0.7,0.66,0.67,0.63,0.62,0.65,0.67,0.56,0.64,0.53,0.66,0.62,0.6,0.58,0.66,0.62,0.56,0.59,0.63,0.53,0.6,0.55,0.49,0.54,0.54,0.52,0.0,0.5,0.58,0.55,0.52,0.49,0.56,0.5,0.52,0.52,0.48,0.53,0.49,0.47,0.5,0.49,0.47,0.47,0.47,0.47,0.44,0.43,0.44,0.43,0.45,0.4,0.42,0.46,0.43,0.45,0.4,0.47,0.45,0.46,0.41,0.4,0.44,0.42,0.43,0.4,0.43,0.43,0.42,0.47,0.42,0.42,0.35,0.41,0.42,0.36,0.4,0.41,0.42,0.37,0.39,0.39,0.39,0.37,0.39,0.36,0.35,0.37,0.37,0.36,0.37,0.37,0.34,0.36,0.42,0.39,0.32,0.34,0.34,0.34,0.38,0.37,0.36,0.35,0.32,0.36,0.34,0.34,0.0,0.3,0.33,0.3,0.31,0.32,0.29,0.3,0.31,0.28,0.31,0.29,0.32,0.29,0.3,0.31,0.28,0.28,0.31,0.29,0.31,0.25,0.26,0.27,0.25,0.25,0.25,0.24,0.23,0.23,0.25,0.24,0.25,0.23,0.24,0.24,0.26,0.22,0.23,0.19,0.21,0.19,0.21,0.18,0.2,0.19,0.19,0.18,0.17,0.19,0.17,0.17,0.16,0.17,0.16,0.17,0.16,0.14,0.14,0.13,0.15,0.0,0.14,0.0,0.14,0.0,0.31,0.13,0.6,0.0,0.13,0.0,0.13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,95.74
08/10/2021,2.58,2.83,1.89,1.55,1.44,1.59,1.26,1.32,1.15,1.15,1.14,0.99,1.22,0.99,0.89,0.91,0.88,0.76,0.77,0.76,0.61,0.73,0.77,0.65,0.76,0.69,0.68,0.65,0.66,0.62,0.62,0.64,0.68,0.55,0.66,0.53,0.66,0.65,0.59,0.56,0.68,0.62,0.58,0.59,0.64,0.51,0.61,0.55,0.49,0.56,0.55,0.52,0.0,0.52,0.57,0.54,0.51,0.47,0.56,0.49,0.55,0.51,0.46,0.56,0.49,0.47,0.49,0.49,0.46,0.46,0.48,0.47,0.44,0.44,0.43,0.45,0.45,0.42,0.45,0.47,0.42,0.47,0.39,0.46,0.45,0.46,0.41,0.38,0.41,0.44,0.43,0.42,0.44,0.42,0.43,0.48,0.42,0.43,0.35,0.42,0.42,0.35,0.4,0.41,0.42,0.37,0.4,0.39,0.39,0.37,0.4,0.35,0.35,0.37,0.4,0.36,0.37,0.36,0.35,0.34,0.42,0.39,0.33,0.34,0.34,0.34,0.38,0.39,0.36,0.34,0.31,0.38,0.34,0.33,0.0,0.27,0.31,0.29,0.31,0.32,0.3,0.29,0.31,0.28,0.3,0.29,0.32,0.29,0.3,0.3,0.29,0.28,0.29,0.3,0.31,0.25,0.26,0.28,0.25,0.24,0.25,0.25,0.24,0.24,0.24,0.24,0.25,0.23,0.25,0.22,0.27,0.23,0.23,0.2,0.22,0.19,0.21,0.18,0.2,0.19,0.18,0.18,0.16,0.19,0.18,0.18,0.17,0.17,0.16,0.17,0.15,0.14,0.14,0.0,0.15,0.0,0.13,0.0,0.14,0.0,0.31,0.13,0.61,0.0,0.0,0.0,0.13,0.13,0.12,0.0,0.0,0.0,0.0,0.0,95.9
08/11/2021,2.58,2.83,1.89,1.55,1.44,1.59,1.26,1.32,1.15,1.15,1.14,0.99,1.22,0.99,0.89,0.91,0.88,0.76,0.77,0.76,0.61,0.73,0.77,0.65,0.76,0.69,0.68,0.65,0.66,0.62,0.62,0.64,0.68,0.55,0.66,0.53,0.66,0.65,0.59,0.56,0.68,0.62,0.58,0.59,0.64,0.51,0.61,0.55,0.49,0.56,0.55,0.52,0.0,0.52,0.57,0.54,0.51,0.47,0.56,0.49,0.55,0.51,0.46,0.56,0.49,0.47,0.49,0.49,0.46,0.46,0.48,0.47,0.44,0.44,0.43,0.45,0.45,0.42,0.45,0.47,0.42,0.47,0.39,0.46,0.45,0.46,0.41,0.38,0.41,0.44,0.43,0.42,0.44,0.42,0.43,0.48,0.42,0.43,0.35,0.42,0.42,0.35,0.4,0.41,0.42,0.37,0.4,0.39,0.39,0.37,0.4,0.35,0.35,0.37,0.4,0.36,0.37,0.36,0.35,0.34,0.42,0.39,0.33,0.34,0.34,0.34,0.38,0.39,0.36,0.34,0.31,0.38,0.34,0.33,0.0,0.27,0.31,0.29,0.31,0.32,0.3,0.29,0.31,0.28,0.3,0.29,0.32,0.29,0.3,0.3,0.29,0.28,0.29,0.3,0.31,0.25,0.26,0.28,0.25,0.24,0.25,0.25,0.24,0.24,0.24,0.24,0.25,0.23,0.25,0.22,0.27,0.23,0.23,0.2,0.22,0.19,0.21,0.18,0.2,0.19,0.18,0.18,0.16,0.19,0.18,0.18,0.17,0.17,0.16,0.17,0.15,0.14,0.14,0.0,0.15,0.0,0.13,0.0,0.14,0.0,0.31,0.13,0.61,0.0,0.0,0.0,0.13,0.13,0.12,0.0,0.0,0.0,0.0,0.0,95.9
08/12/2021,2.58,2.83,1.89,1.55,1.44,1.59,1.26,1.32,1.15,1.15,1.14,0.99,1.22,0.99,0.89,0.91,0.88,0.76,0.77,0.76,0.61,0.73,0.77,0.65,0.76,0.69,0.68,0.65,0.66,0.62,0.62,0.64,0.68,0.55,0.66,0.53,0.66,0.65,0.59,0.56,0.68,0.62,0.58,0.59,0.64,0.51,0.61,0.55,0.49,0.56,0.55,0.52,0.0,0.52,0.57,0.54,0.51,0.47,0.56,0.49,0.55,0.51,0.46,0.56,0.49,0.47,0.49,0.49,0.46,0.46,0.48,0.47,0.44,0.44,0.43,0.45,0.45,0.42,0.45,0.47,0.42,0.47,0.39,0.46,0.45,0.46,0.41,0.38,0.41,0.44,0.43,0.42,0.44,0.42,0.43,0.48,0.42,0.43,0.35,0.42,0.42,0.35,0.4,0.41,0.42,0.37,0.4,0.39,0.39,0.37,0.4,0.35,0.35,0.37,0.4,0.36,0.37,0.36,0.35,0.34,0.42,0.39,0.33,0.34,0.34,0.34,0.38,0.39,0.36,0.34,0.31,0.38,0.34,0.33,0.0,0.27,0.31,0.29,0.31,0.32,0.3,0.29,0.31,0.28,0.3,0.29,0.32,0.29,0.3,0.3,0.29,0.28,0.29,0.3,0.31,0.25,0.26,0.28,0.25,0.24,0.25,0.25,0.24,0.24,0.24,0.24,0.25,0.23,0.25,0.22,0.27,0.23,0.23,0.2,0.22,0.19,0.21,0.18,0.2,0.19,0.18,0.18,0.16,0.19,0.18,0.18,0.17,0.17,0.16,0.17,0.15,0.14,0.14,0.0,0.15,0.0,0.13,0.0,0.14,0.0,0.31,0.13,0.61,0.0,0.0,0.0,0.13,0.13,0.12,0.0,0.0,0.0,0.0,0.0,95.9
