,CYH,HIBB,PBI,IDT,SIG,VRTV,B7S.,TUP,LPI,TGH,COWN,MYRG,DFIN,CAI,CASH,CTRN,CUBI,LDL,ENVA,RLGY,GCO,ANF,MOD,SCHN,OMI,ARCB,LC,CNDT,TMST,RRD,BGFV,HZO,VSTO,HVT,HOME,ASIX,TSE,BCEI,MGI,BOOT,SXC,FLGT,HOV,GPRE,SM,ALTO,BXC,RVLV,USCR,SSP,SAVA,MDRX,TWI,RILY,WOW,AMRK,CCRN,CAL,MVBF,TITN,AVID,BBBY,GPI,TTI,TCS,UFS,RYAM,MDP,LE,POLY,UNFI,HRI,GBX,JYNT,NAVI,GIII,KIRK,YELL,CDMO,TROX,SNBR,CEIX,EAT,ANDE,CSTM,AMEH,MESA,CVGI,FOSL,GVA,TBK,DY,RIOT,PIPR,ABG,COOP,NBR,CPE,ROF.,SHYF,OPY,OSTK,DBD,BNED,STRL,OPRX,BKE,DDS,RM,GMS,ZEUS,GCI,BZH,EVC,AMCX,BLMN,AOSL,CLNE,CRAI,ORBC,MSTR,CCS,EVRI,MATX,BIG,STC,IEA,MDCA,MARA,ATKR,BSIG,GRWG,IIIN,SLCA,MATW,DLX,ETH,CHUY,LOVE,CONN,SCVL,SKT,OCN,FNKO,EXTR,KRA,CADE,BGCP,CALX,ABCB,KTB,PRTY,WRLD,FBP,REZI,DF3.,BSET,TEN,C6M.,GES,HAFC,OI,BNGO,ADNT,VCEL,HY,HEES,MVIS,MAXR,MODV,UIS,CNR,UCTT,WCC,AVNW,AVXL,PRIM,NX,MHO,MSBI,BLNK,REVG,MTW,RUTH,GHC,BCC,CUTR,REGI,LQDT,TPIC,ICHR,FFIC,ASPN,FIX,NSIT,BJRI,TEX,ATLC,VUZI,RICK,RAVN,THC,RYI,ONEW,MMED.NE,AX,KFY,NPO,MCB,BKD,KFRC,CORE,NLS,GTLS,MLHR,AGPXX,AMRC,EFSC,XPEL,Cash/Receivables/Payables,Cash,RCKY,STGW,DSKE,PRFT,AAWW,TTGT,TCBI,SCU,OCGN,PACK,PLCE,TRNS,APOG,FRTA,ACBI,VBTX,RCII,ETD,TLYS,GDEN,CSV,CLFD,AR,GEVO,SB,EFR.TO,TBI,PDCE,NOTV,RRR,WBT,SPT,GBCI,GOGO,EVH,LEU,AVIR,FLL,ALTM,DAN,FBNC,XXY.,BG3.,CN4.,M,UEC,KRG,CAR,MTDR,BXS,MLKN,WIRE,CIVI,SUM
07/23/2021,0.61,0.55,0.54,0.55,0.44,0.51,0.47,0.44,0.32,0.42,0.43,0.47,0.43,0.43,0.41,0.4,0.4,0.41,0.37,0.36,0.36,0.34,0.38,0.37,0.42,0.35,0.33,0.34,0.34,0.32,0.32,0.37,0.34,0.32,0.34,0.34,0.3,0.26,0.32,0.3,0.3,0.28,0.31,0.31,0.24,0.29,0.27,0.29,0.3,0.28,0.29,0.28,0.28,0.25,0.3,0.28,0.29,0.26,0.28,0.28,0.27,0.27,0.31,0.23,0.24,0.27,0.24,0.26,0.25,0.24,0.23,0.26,0.27,0.26,0.27,0.23,0.21,0.21,0.23,0.2,0.24,0.26,0.22,0.21,0.21,0.26,0.22,0.23,0.2,0.21,0.22,0.2,0.16,0.2,0.24,0.22,0.17,0.16,0.21,0.22,0.19,0.2,0.19,0.23,0.2,0.18,0.19,0.19,0.24,0.2,0.21,0.21,0.19,0.17,0.18,0.19,0.17,0.16,0.19,0.19,0.15,0.19,0.17,0.2,0.19,0.2,0.19,0.18,0.14,0.19,0.18,0.15,0.19,0.15,0.19,0.19,0.17,0.17,0.15,0.17,0.17,0.17,0.16,0.15,0.16,0.18,0.17,0.17,0.16,0.17,0.17,0.15,0.19,0.17,0.16,0.16,0.16,0.15,0.17,0.15,0.16,0.15,0.15,0.16,0.16,0.15,0.16,0.15,0.0,0.15,0.14,0.15,0.16,0.16,0.15,0.0,0.16,0.16,0.16,0.16,0.0,0.15,0.16,0.0,0.16,0.0,0.15,0.16,0.0,0.0,0.14,0.16,0.15,0.15,0.15,0.0,0.15,0.16,0.0,0.0,0.15,0.16,0.14,0.16,0.0,0.15,0.15,0.0,0.0,0.0,0.0,0.0,0.0,0.14,0.17,0.15,0.15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,47.41
07/26/2021,0.56,0.53,0.54,0.58,0.45,0.5,0.0,0.43,0.32,0.42,0.43,0.47,0.42,0.42,0.4,0.4,0.4,0.41,0.36,0.37,0.36,0.34,0.37,0.38,0.42,0.35,0.34,0.34,0.34,0.31,0.33,0.37,0.33,0.31,0.34,0.34,0.3,0.25,0.38,0.31,0.3,0.3,0.31,0.32,0.24,0.28,0.28,0.3,0.3,0.27,0.4,0.27,0.27,0.25,0.3,0.29,0.28,0.26,0.28,0.27,0.27,0.27,0.31,0.23,0.23,0.27,0.25,0.26,0.28,0.23,0.23,0.27,0.26,0.24,0.27,0.23,0.21,0.2,0.23,0.21,0.21,0.27,0.22,0.2,0.21,0.29,0.22,0.23,0.2,0.21,0.23,0.19,0.18,0.2,0.24,0.23,0.18,0.16,0.0,0.21,0.19,0.2,0.19,0.23,0.2,0.19,0.19,0.21,0.23,0.2,0.21,0.21,0.19,0.18,0.17,0.19,0.17,0.16,0.19,0.19,0.17,0.19,0.17,0.19,0.18,0.2,0.2,0.17,0.16,0.19,0.18,0.15,0.19,0.16,0.18,0.19,0.16,0.18,0.15,0.17,0.17,0.17,0.16,0.15,0.16,0.18,0.16,0.16,0.17,0.16,0.17,0.16,0.2,0.17,0.16,0.0,0.15,0.15,0.0,0.14,0.16,0.15,0.15,0.15,0.16,0.15,0.16,0.0,0.14,0.15,0.0,0.15,0.16,0.16,0.15,0.0,0.16,0.16,0.16,0.15,0.0,0.15,0.15,0.0,0.16,0.0,0.15,0.16,0.0,0.0,0.15,0.16,0.16,0.15,0.15,0.0,0.15,0.16,0.0,0.0,0.15,0.15,0.15,0.16,0.0,0.15,0.14,0.0,0.15,0.45,0.21,0.16,0.16,0.0,0.17,0.0,0.15,0.15,0.15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,47.5
07/27/2021,0.55,0.54,0.53,0.59,0.45,0.51,0.45,0.42,0.31,0.42,0.43,0.49,0.42,0.43,0.41,0.4,0.4,0.41,0.37,0.37,0.36,0.33,0.37,0.38,0.41,0.36,0.33,0.34,0.34,0.31,0.33,0.4,0.33,0.31,0.0,0.35,0.3,0.25,0.36,0.31,0.31,0.31,0.32,0.31,0.24,0.28,0.28,0.3,0.29,0.28,0.39,0.27,0.27,0.25,0.3,0.29,0.28,0.27,0.28,0.27,0.26,0.26,0.31,0.22,0.23,0.26,0.25,0.27,0.27,0.23,0.23,0.27,0.26,0.25,0.27,0.23,0.21,0.2,0.23,0.21,0.2,0.26,0.21,0.2,0.21,0.34,0.22,0.23,0.21,0.21,0.23,0.2,0.17,0.2,0.24,0.23,0.17,0.15,0.21,0.22,0.19,0.2,0.19,0.22,0.2,0.19,0.19,0.21,0.23,0.21,0.21,0.21,0.2,0.18,0.17,0.19,0.17,0.15,0.2,0.19,0.16,0.19,0.18,0.19,0.18,0.2,0.18,0.18,0.15,0.2,0.19,0.14,0.2,0.15,0.18,0.19,0.17,0.18,0.15,0.16,0.17,0.17,0.16,0.15,0.16,0.18,0.16,0.16,0.18,0.16,0.17,0.16,0.2,0.17,0.17,0.16,0.15,0.15,0.16,0.15,0.16,0.15,0.15,0.15,0.16,0.15,0.17,0.0,0.14,0.15,0.0,0.15,0.16,0.16,0.15,0.0,0.16,0.16,0.16,0.15,0.0,0.15,0.16,0.0,0.16,0.0,0.15,0.15,0.0,0.0,0.15,0.16,0.16,0.15,0.15,0.0,0.15,0.16,0.0,0.0,0.15,0.16,0.15,0.17,0.0,0.15,0.15,0.0,0.16,0.0,0.0,0.0,0.0,0.0,0.17,0.0,0.14,0.15,0.15,0.42,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,47.7
07/28/2021,0.55,0.54,0.53,0.59,0.45,0.51,0.45,0.42,0.31,0.42,0.43,0.49,0.42,0.43,0.41,0.4,0.4,0.41,0.37,0.37,0.36,0.33,0.37,0.38,0.41,0.36,0.33,0.34,0.34,0.31,0.33,0.4,0.33,0.31,0.0,0.35,0.3,0.25,0.36,0.31,0.31,0.31,0.32,0.31,0.24,0.28,0.28,0.3,0.29,0.28,0.39,0.27,0.27,0.25,0.3,0.29,0.28,0.27,0.28,0.27,0.26,0.26,0.31,0.22,0.23,0.26,0.25,0.27,0.27,0.23,0.23,0.27,0.26,0.25,0.27,0.23,0.21,0.2,0.23,0.21,0.2,0.26,0.21,0.2,0.21,0.34,0.22,0.23,0.21,0.21,0.23,0.2,0.17,0.2,0.24,0.23,0.17,0.15,0.0,0.22,0.19,0.2,0.19,0.22,0.2,0.19,0.19,0.21,0.23,0.21,0.21,0.21,0.2,0.18,0.17,0.19,0.17,0.15,0.2,0.19,0.16,0.19,0.18,0.19,0.18,0.2,0.18,0.18,0.15,0.2,0.19,0.14,0.2,0.15,0.18,0.19,0.17,0.18,0.15,0.16,0.17,0.17,0.16,0.15,0.16,0.18,0.16,0.16,0.18,0.16,0.17,0.16,0.2,0.17,0.17,0.16,0.15,0.15,0.16,0.15,0.16,0.15,0.15,0.15,0.16,0.15,0.17,0.0,0.14,0.15,0.0,0.15,0.16,0.16,0.15,0.0,0.16,0.16,0.16,0.15,0.0,0.15,0.16,0.0,0.16,0.0,0.15,0.15,0.0,0.0,0.15,0.16,0.16,0.15,0.15,0.0,0.15,0.16,0.0,0.0,0.15,0.16,0.15,0.17,0.0,0.15,0.15,0.0,0.16,0.0,0.21,0.0,0.0,0.0,0.17,0.0,0.14,0.15,0.15,0.42,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,47.7
07/29/2021,0.57,0.54,0.54,0.6,0.45,0.51,0.0,0.43,0.31,0.42,0.43,0.47,0.43,0.42,0.4,0.4,0.4,0.4,0.37,0.37,0.37,0.33,0.36,0.39,0.41,0.35,0.34,0.34,0.35,0.32,0.32,0.38,0.33,0.31,0.0,0.35,0.31,0.26,0.37,0.31,0.31,0.31,0.31,0.32,0.24,0.28,0.27,0.29,0.29,0.28,0.37,0.27,0.28,0.25,0.29,0.29,0.28,0.27,0.27,0.27,0.26,0.27,0.3,0.23,0.23,0.26,0.26,0.26,0.26,0.23,0.23,0.28,0.27,0.25,0.27,0.23,0.21,0.19,0.22,0.2,0.21,0.28,0.22,0.21,0.22,0.33,0.23,0.23,0.21,0.21,0.23,0.2,0.21,0.2,0.24,0.22,0.18,0.16,0.0,0.22,0.19,0.2,0.19,0.22,0.2,0.19,0.19,0.21,0.23,0.21,0.21,0.22,0.19,0.19,0.17,0.2,0.16,0.16,0.19,0.19,0.2,0.18,0.18,0.19,0.18,0.2,0.18,0.19,0.18,0.19,0.19,0.14,0.2,0.16,0.18,0.19,0.17,0.18,0.15,0.17,0.17,0.17,0.16,0.16,0.16,0.18,0.16,0.16,0.17,0.16,0.17,0.16,0.2,0.17,0.17,0.0,0.15,0.15,0.0,0.15,0.16,0.15,0.14,0.15,0.15,0.16,0.17,0.0,0.14,0.15,0.0,0.15,0.16,0.16,0.15,0.0,0.15,0.16,0.16,0.15,0.0,0.15,0.16,0.0,0.15,0.0,0.15,0.15,0.0,0.0,0.14,0.16,0.17,0.15,0.15,0.0,0.15,0.15,0.0,0.15,0.15,0.16,0.15,0.16,0.0,0.15,0.14,0.0,0.16,0.45,0.21,0.16,0.15,0.0,0.17,0.0,0.14,0.15,0.0,0.0,0.33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,47.72
07/30/2021,0.56,0.53,0.53,0.57,0.44,0.51,0.0,0.43,0.29,0.42,0.43,0.47,0.41,0.42,0.41,0.39,0.4,0.41,0.37,0.37,0.37,0.33,0.37,0.38,0.42,0.36,0.33,0.34,0.35,0.32,0.31,0.38,0.32,0.31,0.0,0.37,0.31,0.25,0.35,0.32,0.31,0.32,0.31,0.31,0.23,0.28,0.27,0.3,0.29,0.28,0.4,0.27,0.27,0.25,0.3,0.3,0.28,0.26,0.28,0.27,0.25,0.27,0.3,0.22,0.23,0.27,0.26,0.26,0.26,0.22,0.23,0.28,0.27,0.25,0.28,0.23,0.2,0.19,0.22,0.2,0.21,0.27,0.23,0.21,0.22,0.29,0.23,0.22,0.2,0.21,0.23,0.2,0.19,0.2,0.24,0.23,0.17,0.15,0.0,0.22,0.19,0.19,0.19,0.21,0.2,0.18,0.19,0.2,0.23,0.21,0.21,0.23,0.19,0.19,0.17,0.2,0.16,0.15,0.2,0.19,0.19,0.19,0.18,0.19,0.18,0.21,0.18,0.18,0.17,0.2,0.19,0.14,0.2,0.15,0.19,0.19,0.17,0.18,0.15,0.17,0.17,0.17,0.16,0.16,0.16,0.17,0.16,0.16,0.16,0.17,0.17,0.16,0.21,0.18,0.17,0.0,0.15,0.14,0.0,0.15,0.16,0.15,0.14,0.15,0.16,0.16,0.17,0.0,0.0,0.15,0.0,0.15,0.15,0.16,0.15,0.0,0.16,0.16,0.16,0.15,0.0,0.15,0.16,0.0,0.15,0.0,0.16,0.15,0.0,0.0,0.14,0.16,0.17,0.15,0.15,0.14,0.15,0.15,0.0,0.15,0.15,0.16,0.15,0.16,0.0,0.15,0.15,0.0,0.16,0.45,0.21,0.16,0.16,0.0,0.17,0.42,0.14,0.15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,47.64
08/02/2021,0.51,0.52,0.53,0.62,0.43,0.53,0.0,0.43,0.3,0.44,0.44,0.48,0.42,0.41,0.41,0.38,0.39,0.4,0.38,0.38,0.36,0.32,0.38,0.39,0.4,0.36,0.49,0.33,0.36,0.33,0.31,0.39,0.34,0.3,0.0,0.38,0.31,0.25,0.34,0.31,0.36,0.31,0.35,0.32,0.23,0.29,0.28,0.29,0.29,0.28,0.32,0.26,0.29,0.24,0.29,0.3,0.29,0.26,0.27,0.27,0.26,0.26,0.3,0.22,0.22,0.26,0.26,0.27,0.26,0.22,0.24,0.28,0.27,0.24,0.27,0.23,0.21,0.21,0.23,0.2,0.21,0.3,0.21,0.21,0.23,0.3,0.23,0.22,0.2,0.21,0.23,0.2,0.2,0.21,0.25,0.24,0.18,0.15,0.0,0.23,0.2,0.17,0.18,0.21,0.2,0.19,0.18,0.2,0.23,0.21,0.22,0.23,0.21,0.18,0.16,0.18,0.17,0.16,0.2,0.19,0.18,0.2,0.18,0.19,0.17,0.2,0.19,0.18,0.17,0.2,0.19,0.15,0.21,0.16,0.19,0.18,0.16,0.17,0.15,0.16,0.17,0.17,0.16,0.16,0.17,0.18,0.16,0.17,0.17,0.17,0.16,0.16,0.2,0.18,0.17,0.0,0.15,0.15,0.0,0.14,0.17,0.15,0.15,0.16,0.16,0.16,0.17,0.0,0.15,0.15,0.0,0.15,0.17,0.17,0.17,0.0,0.16,0.16,0.17,0.16,0.0,0.15,0.15,0.0,0.15,0.0,0.16,0.15,0.0,0.0,0.15,0.16,0.17,0.14,0.15,0.0,0.15,0.16,0.0,0.15,0.15,0.15,0.16,0.16,0.0,0.15,0.15,0.0,0.16,0.43,0.21,0.16,0.15,0.0,0.17,0.0,0.15,0.15,0.0,0.0,0.0,0.14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,47.76
08/03/2021,0.51,0.52,0.5,0.59,0.43,0.51,0.42,0.43,0.3,0.45,0.44,0.48,0.42,0.42,0.41,0.38,0.38,0.4,0.38,0.37,0.36,0.32,0.38,0.39,0.41,0.36,0.5,0.33,0.35,0.33,0.31,0.39,0.34,0.3,0.0,0.39,0.31,0.25,0.32,0.32,0.35,0.31,0.35,0.33,0.24,0.29,0.29,0.29,0.29,0.28,0.21,0.27,0.31,0.25,0.29,0.31,0.29,0.26,0.27,0.27,0.26,0.26,0.31,0.22,0.23,0.26,0.26,0.27,0.25,0.21,0.24,0.29,0.26,0.23,0.27,0.23,0.21,0.2,0.23,0.2,0.21,0.29,0.2,0.21,0.23,0.27,0.22,0.22,0.21,0.21,0.24,0.21,0.2,0.2,0.25,0.24,0.17,0.15,0.22,0.22,0.2,0.16,0.18,0.21,0.21,0.19,0.19,0.2,0.23,0.21,0.22,0.24,0.21,0.18,0.16,0.19,0.18,0.16,0.2,0.2,0.19,0.21,0.18,0.2,0.17,0.2,0.19,0.18,0.18,0.2,0.19,0.15,0.21,0.15,0.19,0.19,0.16,0.16,0.15,0.16,0.17,0.17,0.16,0.16,0.17,0.18,0.16,0.17,0.17,0.17,0.17,0.16,0.2,0.18,0.17,0.15,0.15,0.15,0.16,0.15,0.17,0.15,0.15,0.16,0.16,0.16,0.17,0.0,0.15,0.15,0.0,0.15,0.17,0.17,0.18,0.0,0.17,0.16,0.18,0.16,0.0,0.15,0.16,0.0,0.16,0.0,0.17,0.15,0.0,0.0,0.16,0.16,0.17,0.15,0.15,0.0,0.16,0.15,0.0,0.0,0.15,0.16,0.17,0.17,0.0,0.15,0.15,0.0,0.17,0.0,0.0,0.0,0.0,0.14,0.17,0.0,0.15,0.15,0.0,0.0,0.0,0.15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,47.79
08/04/2021,0.51,0.52,0.5,0.59,0.43,0.51,0.42,0.43,0.3,0.45,0.44,0.48,0.42,0.42,0.41,0.38,0.38,0.4,0.38,0.37,0.36,0.32,0.38,0.39,0.41,0.36,0.5,0.33,0.35,0.33,0.31,0.39,0.34,0.3,0.0,0.39,0.31,0.25,0.32,0.32,0.35,0.31,0.35,0.33,0.24,0.29,0.29,0.29,0.29,0.28,0.21,0.27,0.31,0.25,0.29,0.31,0.29,0.26,0.27,0.27,0.26,0.26,0.31,0.22,0.23,0.26,0.26,0.27,0.25,0.21,0.24,0.29,0.26,0.23,0.27,0.23,0.21,0.2,0.23,0.2,0.21,0.29,0.2,0.21,0.23,0.27,0.22,0.22,0.21,0.21,0.24,0.21,0.2,0.2,0.25,0.24,0.17,0.15,0.22,0.22,0.2,0.16,0.18,0.21,0.21,0.19,0.19,0.2,0.23,0.21,0.22,0.24,0.21,0.18,0.16,0.19,0.18,0.16,0.2,0.2,0.19,0.21,0.18,0.2,0.17,0.2,0.19,0.18,0.18,0.2,0.19,0.15,0.21,0.15,0.19,0.19,0.16,0.16,0.15,0.16,0.17,0.17,0.16,0.16,0.17,0.18,0.16,0.17,0.17,0.17,0.17,0.16,0.2,0.18,0.17,0.15,0.15,0.15,0.16,0.15,0.17,0.15,0.15,0.16,0.16,0.16,0.17,0.0,0.15,0.15,0.0,0.15,0.17,0.17,0.18,0.0,0.17,0.16,0.18,0.16,0.0,0.15,0.16,0.0,0.16,0.0,0.17,0.15,0.0,0.0,0.16,0.16,0.17,0.15,0.15,0.0,0.16,0.15,0.0,0.0,0.15,0.16,0.17,0.17,0.0,0.15,0.15,0.0,0.17,0.0,0.0,0.0,0.0,0.14,0.17,0.0,0.15,0.15,0.0,0.0,0.0,0.15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,47.79
08/05/2021,0.51,0.52,0.51,0.61,0.44,0.51,0.42,0.44,0.28,0.45,0.44,0.47,0.42,0.42,0.41,0.38,0.38,0.4,0.37,0.37,0.36,0.31,0.38,0.38,0.41,0.37,0.53,0.33,0.34,0.32,0.32,0.39,0.34,0.3,0.0,0.39,0.31,0.25,0.31,0.32,0.34,0.32,0.35,0.34,0.24,0.29,0.29,0.3,0.29,0.28,0.25,0.27,0.3,0.25,0.31,0.3,0.3,0.26,0.27,0.27,0.27,0.26,0.31,0.22,0.23,0.26,0.26,0.27,0.27,0.21,0.24,0.28,0.26,0.24,0.28,0.23,0.21,0.2,0.23,0.2,0.21,0.29,0.21,0.21,0.22,0.27,0.22,0.22,0.21,0.21,0.24,0.2,0.21,0.21,0.25,0.24,0.17,0.14,0.22,0.22,0.2,0.16,0.19,0.21,0.2,0.19,0.19,0.2,0.23,0.2,0.21,0.23,0.2,0.18,0.16,0.19,0.18,0.15,0.2,0.2,0.19,0.21,0.19,0.2,0.17,0.2,0.19,0.17,0.18,0.2,0.19,0.15,0.21,0.15,0.19,0.18,0.16,0.17,0.15,0.16,0.17,0.16,0.17,0.17,0.18,0.18,0.16,0.17,0.16,0.17,0.17,0.16,0.21,0.18,0.17,0.15,0.15,0.15,0.16,0.14,0.16,0.15,0.15,0.16,0.16,0.16,0.17,0.0,0.15,0.16,0.0,0.15,0.17,0.17,0.18,0.0,0.16,0.16,0.18,0.16,0.0,0.15,0.16,0.0,0.16,0.0,0.17,0.14,0.0,0.0,0.15,0.16,0.17,0.14,0.15,0.0,0.16,0.16,0.0,0.0,0.15,0.16,0.16,0.17,0.0,0.15,0.15,0.0,0.17,0.0,0.0,0.0,0.0,0.15,0.17,0.0,0.15,0.15,0.0,0.0,0.0,0.16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,47.85
08/09/2021,0.49,0.5,0.48,0.6,0.41,0.51,0.41,0.49,0.25,0.45,0.44,0.49,0.46,0.42,0.4,0.38,0.41,0.4,0.37,0.37,0.35,0.3,0.32,0.37,0.34,0.4,0.56,0.31,0.34,0.3,0.32,0.38,0.36,0.3,0.0,0.41,0.29,0.24,0.3,0.33,0.32,0.37,0.35,0.31,0.23,0.28,0.36,0.26,0.29,0.28,0.31,0.27,0.3,0.25,0.3,0.31,0.36,0.25,0.27,0.26,0.2,0.25,0.3,0.22,0.24,0.26,0.24,0.28,0.25,0.22,0.24,0.28,0.26,0.27,0.28,0.23,0.2,0.22,0.23,0.2,0.21,0.29,0.2,0.21,0.23,0.28,0.22,0.22,0.2,0.21,0.24,0.21,0.21,0.22,0.24,0.25,0.15,0.0,0.21,0.22,0.19,0.16,0.2,0.2,0.21,0.23,0.19,0.19,0.26,0.21,0.22,0.23,0.2,0.18,0.16,0.19,0.18,0.15,0.2,0.19,0.21,0.21,0.17,0.21,0.16,0.2,0.2,0.0,0.2,0.23,0.2,0.16,0.21,0.15,0.19,0.18,0.16,0.16,0.14,0.16,0.17,0.16,0.17,0.17,0.18,0.18,0.16,0.18,0.16,0.17,0.17,0.0,0.2,0.18,0.17,0.15,0.14,0.0,0.16,0.14,0.17,0.15,0.15,0.0,0.15,0.0,0.16,0.14,0.0,0.16,0.15,0.0,0.15,0.18,0.19,0.0,0.15,0.16,0.17,0.16,0.14,0.15,0.16,0.0,0.15,0.14,0.17,0.15,0.0,0.0,0.0,0.17,0.17,0.15,0.15,0.0,0.16,0.17,0.0,0.15,0.15,0.15,0.2,0.16,0.0,0.15,0.15,0.0,0.17,0.0,0.0,0.0,0.0,0.15,0.17,0.0,0.14,0.16,0.0,0.0,0.0,0.0,0.18,0.15,0.15,0.14,0.14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,47.8
