,GRANITESHARES BCOM CAYMAN LIMITED,CMB 0 05/25/21,CMB 0 04/27/21,B 0 05/13/21,B 0 04/29/21,B 0 03/16/21,B 0 03/25/21,CASH,CMB 0 05/11/21,CMB 0 06/08/21,CMB 0 04/20/21,CMB,B 0 04/15/21,B 0 06/03/21,B 0 03/11/21,TBILL,CMB 0 04/13/21,B 0 05/27/21,B 0 04/08/21,B 0 03/18/21,B 0 04/01/21,CMB 0 05/04/21,B 0 04/22/21,CMB 0 06/01/21,USD,B 0 11/04/21,B 0 01/20/22,CMB 0 02/01/22,CMB 0 11/02/21,B 0 11/12/21,B 0 11/23/21,B 0 11/26/21,CMB 0 01/11/22,B 0 01/13/22,B 0 01/06/22,B 0 01/27/22,CMB 0 01/18/22,LHZ1,SMF2,W Z1,SIZ1,SBH2,S F2,QSF2,NGF22,LXF2,LNF2,GCZ1,LCZ1,LAF22,KWZ1,KCZ1,HOF2,HGZ1,CTZ1,COF2,CLF2,C Z1,BQZ1,BOF2,XBF2,SUM
07/23/2021,17.27,13.24,6.42,6.42,6.26,5.58,4.98,4.53,4.17,4.01,3.69,2.49,2.41,2.41,2.17,2.09,2.09,2.01,1.93,1.61,1.61,1.2,1.04,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.03
07/26/2021,17.27,13.24,6.42,6.42,6.26,5.58,4.98,4.53,4.17,4.01,3.69,2.49,2.41,2.41,2.17,2.09,2.09,2.01,1.93,1.61,1.61,1.2,1.04,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.03
07/27/2021,17.27,13.24,6.42,6.42,6.26,5.58,4.98,4.53,4.17,4.01,3.69,2.49,2.41,2.41,2.17,2.09,2.09,2.01,1.93,1.61,1.61,1.2,1.04,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.03
07/28/2021,17.27,13.24,6.42,6.42,6.26,5.58,4.98,4.53,4.17,4.01,3.69,2.49,2.41,2.41,2.17,2.09,2.09,2.01,1.93,1.61,1.61,1.2,1.04,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.03
07/29/2021,17.27,13.24,6.42,6.42,6.26,5.58,4.98,4.53,4.17,4.01,3.69,2.49,2.41,2.41,2.17,2.09,2.09,2.01,1.93,1.61,1.61,1.2,1.04,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.03
07/30/2021,17.27,13.24,6.42,6.42,6.26,5.58,4.98,4.53,4.17,4.01,3.69,2.49,2.41,2.41,2.17,2.09,2.09,2.01,1.93,1.61,1.61,1.2,1.04,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.03
08/02/2021,17.27,13.24,6.42,6.42,6.26,5.58,4.98,4.53,4.17,4.01,3.69,2.49,2.41,2.41,2.17,2.09,2.09,2.01,1.93,1.61,1.61,1.2,1.04,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.03
08/03/2021,17.27,13.24,6.42,6.42,6.26,5.58,4.98,4.53,4.17,4.01,3.69,2.49,2.41,2.41,2.17,2.09,2.09,2.01,1.93,1.61,1.61,1.2,1.04,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.03
08/04/2021,17.27,13.24,6.42,6.42,6.26,5.58,4.98,4.53,4.17,4.01,3.69,2.49,2.41,2.41,2.17,2.09,2.09,2.01,1.93,1.61,1.61,1.2,1.04,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.03
08/05/2021,17.27,13.24,6.42,6.42,6.26,5.58,4.98,4.53,4.17,4.01,3.69,2.49,2.41,2.41,2.17,2.09,2.09,2.01,1.93,1.61,1.61,1.2,1.04,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.03
08/06/2021,17.27,13.24,6.42,6.42,6.26,5.58,4.98,4.53,4.17,4.01,3.69,2.49,2.41,2.41,2.17,2.09,2.09,2.01,1.93,1.61,1.61,1.2,1.04,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.03
11/24/2021,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.03,0.0,0.0,0.0,6.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.12,7.9,5.38,5.38,4.31,3.59,3.59,3.59,3.59,3.59,3.59,3.59,3.59,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,75.94
11/25/2021,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.03,0.0,0.0,0.0,6.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.12,7.9,5.38,5.38,4.31,3.59,3.59,3.59,3.59,3.59,3.59,3.59,3.59,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,75.94
11/26/2021,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.03,0.0,0.0,0.0,6.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.12,7.9,5.38,5.38,4.31,3.59,3.59,3.59,3.59,3.59,3.59,3.59,3.59,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,75.94
11/29/2021,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.03,0.0,0.0,0.0,6.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.12,7.9,5.38,5.38,4.31,3.59,3.59,3.59,3.59,3.59,3.59,3.59,3.59,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,75.94
11/30/2021,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.03,0.0,0.0,0.0,6.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.12,7.9,5.38,5.38,4.31,3.59,3.59,3.59,3.59,3.59,3.59,3.59,3.59,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,75.94
12/01/2021,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.03,0.0,0.0,0.0,6.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.12,7.9,5.38,5.38,4.31,3.59,3.59,3.59,3.59,3.59,3.59,3.59,3.59,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,75.94
12/02/2021,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.03,0.0,0.0,0.0,6.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.12,7.9,5.38,5.38,4.31,3.59,3.59,3.59,3.59,3.59,3.59,3.59,3.59,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,75.94
