,2615.TW,TAEE11.SA,ARI.JO,AVI.JO,138930.KS,TISCO-R.BK,1368.HK,2347.TW,916.HK,006360.KS,6239.TW,3044.TW,2385.TW,139130.KS,2380.HK,SPP.JO,IBULHSGFIN.NS,3702.TW,OIL.NS,008560.KS,2449.TW,CML.JO,2383.TW,3339.HK,2458.TW,2606.TW,189.HK,CYRE3.SA,TORNTPOWER.NS,1907.TW,TCAP-R.BK,000060.KS,TATACHEM.NS,2889.TW,819.HK,1210.TW,BOLSAA.MX,004800.KS,051600.KS,2404.TW,VESTA.MX,2337.TW,1830.HK,030000.KS,SONATSOFTW.NS,81.HK,175330.KS,PSG.JO,EQU.JO,LICHSGFIN.NS,548.HK,001450.KS,BURSA.KL,6005.TW,CUMMINSIND.NS,026960.KS,CITAF,1722.TW,2198.HK,TPIPP-R.BK,2666.HK,799.HK,1904.TW,1628.HK,2006.TW,047050.KS,2548.TW,1966.HK,600325.SS,2915.TW,552.HK,1908.HK,003540.KS,000830.SZ,BAT.KL,TU-R.BK,BAM-R.BK,ALPEKA.MX,JSE.JO,2353.TW,003690.KS,363.HK,855.HK,1508.HK,TOASO.IS,1610.HK,1717.TW,138040.KS,SAWAD-R.BK,3023.TW,F1P2.,TBIG.JK,CYIENT.NS,2108.TW,REDINGTON.NS,1477.TW,5534.TW,1504.TW,TAVHL.IS,1883.HK,639.HK,2809.TW,SAPR11.SA,2376.TW,3899.HK,047810.KS,2352.TW,000880.KS,CHAMBLFERT.NS,GUNKUL-R.BK,AESGENER.SN,TIMECOM.KL,1958.HK,4915.TW,FIBRAMQ12.MX,TATAELXSI.NS,WELCORP.NS,ACP.WA,BJBR.JK,AFE.JO,1681.HK,ENBR3.SA,011790.KS,9939.TW,TASCO-R.BK,AESB3.SA,WHA-R.BK,NYVL.,2005.HK,1227.TW,2313.TW,5522.TW,TIMKEN.NS,2441.TW,YDUQ3.SA,1605.TW,INARI.KL,CARLSBG.KL,2855.TW,HANA-R.BK,8016.TW,9941.TW,120110.KS,GAMUDA.KL,9914.TW,5434.TW,004000.KS,1229.TW,014680.KS,2015.TW,2617.TW,001040.KS,282330.KS,000990.KS,PGAS.JK,Polyplex Corp Ltd,EXIDEIND.NS,108320.KQ,034830.KS,6214.TW,3005.TW,6202.TW,2845.TW,FSL.NS,NIITLTD.NS,MEGACPO.MX,THVUF,JMART-R.BK,ENJSA.IS,600216.SS,KCE-R.BK,WisdomTree Emerging Markets High Div ETF,600970.SS,6670.TW,9917.TW,ASTRO.KL,2360.TW,ENTEL.SN,SUNDARMFIN.NS,1304.TW,601058.SS,ENGINERSIN.NS,CASTROLIND.NS,8112.TW,3006.TW,000778.SZ,631.HK,IJM.KL,HEIM.KL,SLCE3.SA,SPCG-R.BK,8150.TW,CRISIL.NS,2768.HK,039490.KS,743.HK,RLC.PM,DRD.JO,SECB.PM,PARAUCO.SN,2342.HK,1234.HK,2614.TW,CHG-R.BK,2481.TW,SRTRANSFIN.NS,2206.TW,906.HK,CESC.NS,AKSA.IS,3010.TW,2392.TW,LCAM3.SA,182.HK,298000.KS,600782.SS,3306.HK,ISEC.NS,600348.SS,036490.KQ,8081.TW,JSWENERGY.NS,014830.KS,2328.TW,1519.TW,GSPL.NS,TOASO.E.IS,n/a,TAVHL.E.IS,AESANDES.SN,BIDI11.SA,AKSA.E.IS,ENJSA.E.IS,1788.HK,SCIENTX.KL,1215.TW,DEM,000591.SZ,601666.SS,IEX.NS,934.HK,600057.SS,3533.TW,CESE,GVMXX,POLYPLEX.NS,TVO-R.BK,579.HK,8422.TW,SUM
07/23/2021,1.7,1.32,1.08,0.83,0.78,0.73,0.7,0.72,0.7,0.66,0.66,0.57,0.61,0.55,0.61,0.54,0.58,0.5,0.43,0.43,0.43,0.4,0.44,0.38,0.4,0.33,0.64,0.37,0.39,0.34,0.35,0.38,0.37,0.38,0.36,0.35,0.35,0.4,0.34,0.34,0.33,0.33,0.38,0.34,0.34,0.37,0.31,0.31,0.31,0.32,0.32,0.3,0.3,0.33,0.3,0.3,0.28,0.31,0.31,0.29,0.27,0.29,0.26,0.33,0.26,0.27,0.28,0.28,0.26,0.3,0.25,0.28,0.26,0.33,0.27,0.31,0.25,0.26,0.28,0.25,0.25,0.25,0.25,0.24,0.24,0.2,0.25,0.25,0.24,0.24,0.25,0.25,0.29,0.22,0.26,0.22,0.23,0.23,0.22,0.22,0.21,0.23,0.22,0.2,0.23,0.23,0.23,0.21,0.22,0.22,0.2,0.21,0.23,0.22,0.21,0.21,0.23,0.21,0.21,0.21,0.21,0.21,0.22,0.2,0.2,0.21,0.2,0.2,0.18,0.2,0.22,0.21,0.21,0.21,0.19,0.2,0.19,0.19,0.2,0.2,0.19,0.22,0.19,0.17,0.18,0.19,0.21,0.19,0.19,0.19,0.0,0.18,0.18,0.19,0.18,0.0,0.18,0.18,0.17,0.17,0.18,0.24,0.18,0.21,0.16,0.17,0.18,0.18,0.16,0.19,0.17,0.0,0.2,0.19,0.17,0.16,0.18,0.0,0.16,0.16,0.16,0.16,0.16,0.18,0.0,0.17,0.16,0.15,0.0,0.0,0.0,0.18,0.16,0.0,0.0,0.15,0.0,0.0,0.0,0.0,0.2,0.16,0.16,0.0,0.17,0.15,0.0,0.19,0.16,0.0,0.0,0.15,0.16,0.16,0.15,0.16,0.18,0.16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,58.08
07/28/2021,1.44,1.31,1.09,0.81,0.78,0.71,0.58,0.73,0.69,0.67,0.66,0.57,0.61,0.55,0.62,0.54,0.61,0.51,0.45,0.44,0.45,0.39,0.43,0.38,0.38,0.31,0.7,0.35,0.39,0.34,0.35,0.4,0.36,0.38,0.37,0.35,0.34,0.39,0.34,0.34,0.34,0.32,0.34,0.33,0.35,0.37,0.32,0.3,0.32,0.32,0.33,0.3,0.3,0.33,0.31,0.31,0.27,0.32,0.29,0.29,0.27,0.28,0.26,0.31,0.26,0.32,0.28,0.27,0.27,0.32,0.25,0.28,0.26,0.33,0.26,0.31,0.25,0.26,0.27,0.24,0.25,0.27,0.25,0.24,0.24,0.19,0.25,0.24,0.23,0.24,0.25,0.24,0.27,0.22,0.26,0.21,0.24,0.23,0.22,0.23,0.21,0.24,0.21,0.2,0.21,0.23,0.21,0.21,0.23,0.22,0.22,0.22,0.21,0.22,0.21,0.21,0.22,0.22,0.22,0.21,0.2,0.21,0.21,0.2,0.2,0.21,0.19,0.21,0.16,0.2,0.21,0.22,0.21,0.22,0.18,0.2,0.21,0.2,0.2,0.21,0.21,0.22,0.19,0.18,0.19,0.2,0.2,0.2,0.22,0.19,0.0,0.18,0.18,0.2,0.19,0.0,0.18,0.18,0.17,0.17,0.19,0.23,0.18,0.21,0.16,0.17,0.18,0.18,0.16,0.21,0.19,0.0,0.22,0.18,0.18,0.16,0.18,0.0,0.16,0.0,0.16,0.16,0.17,0.18,0.18,0.18,0.16,0.16,0.0,0.0,0.0,0.17,0.18,0.0,0.0,0.17,0.0,0.0,0.0,0.0,0.2,0.0,0.18,0.0,0.18,0.0,0.0,0.18,0.16,0.0,0.15,0.0,0.16,0.15,0.0,0.17,0.19,0.0,0.18,0.17,0.16,0.16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,58.02
07/29/2021,1.44,1.31,1.09,0.81,0.78,0.71,0.58,0.73,0.69,0.67,0.66,0.57,0.61,0.55,0.62,0.54,0.61,0.51,0.45,0.44,0.45,0.39,0.43,0.38,0.38,0.31,0.7,0.35,0.39,0.34,0.35,0.4,0.36,0.38,0.37,0.35,0.34,0.39,0.34,0.34,0.34,0.32,0.34,0.33,0.35,0.37,0.32,0.3,0.32,0.32,0.33,0.3,0.3,0.33,0.31,0.31,0.27,0.32,0.29,0.29,0.27,0.28,0.26,0.31,0.26,0.32,0.28,0.27,0.27,0.32,0.25,0.28,0.26,0.33,0.26,0.31,0.25,0.26,0.27,0.24,0.25,0.27,0.25,0.24,0.24,0.19,0.25,0.24,0.23,0.24,0.25,0.24,0.27,0.22,0.26,0.21,0.24,0.23,0.22,0.23,0.21,0.24,0.21,0.2,0.21,0.23,0.21,0.21,0.23,0.22,0.22,0.22,0.21,0.22,0.21,0.21,0.22,0.22,0.22,0.21,0.2,0.21,0.21,0.2,0.2,0.21,0.19,0.21,0.16,0.2,0.21,0.22,0.21,0.22,0.18,0.2,0.21,0.2,0.2,0.21,0.21,0.22,0.19,0.18,0.19,0.2,0.2,0.2,0.22,0.19,0.0,0.18,0.18,0.2,0.19,0.0,0.18,0.18,0.17,0.17,0.19,0.23,0.18,0.21,0.16,0.17,0.18,0.18,0.16,0.21,0.19,0.0,0.22,0.18,0.18,0.16,0.18,0.0,0.16,0.0,0.16,0.16,0.17,0.18,0.18,0.18,0.16,0.16,0.0,0.0,0.0,0.17,0.18,0.0,0.0,0.17,0.0,0.0,0.0,0.0,0.2,0.0,0.18,0.0,0.18,0.0,0.0,0.18,0.16,0.0,0.15,0.0,0.16,0.15,0.0,0.17,0.19,0.0,0.18,0.17,0.16,0.16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,58.02
07/30/2021,1.31,1.31,1.13,0.82,0.78,0.72,0.56,0.73,0.65,0.66,0.67,0.58,0.63,0.55,0.62,0.54,0.62,0.51,0.46,0.44,0.46,0.39,0.44,0.38,0.39,0.3,0.77,0.35,0.39,0.34,0.36,0.4,0.36,0.38,0.36,0.35,0.34,0.39,0.35,0.34,0.34,0.33,0.32,0.33,0.35,0.36,0.32,0.3,0.32,0.31,0.32,0.3,0.3,0.33,0.31,0.31,0.27,0.32,0.29,0.29,0.26,0.27,0.25,0.29,0.26,0.33,0.28,0.26,0.26,0.32,0.24,0.27,0.25,0.33,0.27,0.31,0.25,0.27,0.27,0.25,0.25,0.26,0.24,0.24,0.25,0.18,0.24,0.25,0.24,0.23,0.25,0.24,0.27,0.22,0.26,0.21,0.24,0.23,0.21,0.23,0.2,0.23,0.21,0.21,0.21,0.23,0.22,0.21,0.24,0.22,0.21,0.22,0.21,0.23,0.22,0.21,0.23,0.22,0.21,0.21,0.2,0.21,0.21,0.2,0.2,0.2,0.19,0.21,0.0,0.2,0.21,0.22,0.22,0.23,0.18,0.2,0.21,0.19,0.2,0.21,0.23,0.23,0.19,0.18,0.19,0.2,0.21,0.2,0.22,0.19,0.0,0.17,0.18,0.19,0.19,0.0,0.18,0.19,0.16,0.17,0.19,0.25,0.18,0.2,0.16,0.18,0.18,0.18,0.17,0.21,0.19,0.0,0.22,0.17,0.18,0.15,0.18,0.0,0.16,0.0,0.16,0.16,0.17,0.19,0.19,0.18,0.16,0.16,0.0,0.0,0.0,0.18,0.18,0.0,0.0,0.16,0.0,0.0,0.0,0.0,0.2,0.0,0.18,0.0,0.19,0.0,0.0,0.19,0.16,0.0,0.16,0.0,0.16,0.0,0.0,0.17,0.19,0.0,0.2,0.17,0.16,0.16,0.17,0.16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,58.05
08/23/2021,1.4,1.35,1.15,0.85,0.81,0.73,0.59,0.75,0.72,0.62,0.67,0.55,0.62,0.57,0.75,0.61,0.53,0.45,0.47,0.46,0.44,0.42,0.42,0.43,0.33,0.3,1.0,0.29,0.39,0.31,0.36,0.44,0.42,0.36,0.4,0.34,0.34,0.39,0.31,0.33,0.34,0.31,0.28,0.31,0.4,0.38,0.34,0.32,0.34,0.27,0.33,0.32,0.3,0.29,0.38,0.31,0.27,0.32,0.31,0.29,0.26,0.23,0.22,0.25,0.25,0.27,0.29,0.27,0.25,0.32,0.26,0.28,0.26,0.3,0.26,0.3,0.25,0.25,0.28,0.24,0.25,0.27,0.29,0.26,0.33,0.19,0.22,0.28,0.23,0.2,0.25,0.24,0.26,0.2,0.27,0.21,0.24,0.22,0.22,0.25,0.23,0.25,0.21,0.19,0.31,0.22,0.22,0.22,0.26,0.22,0.21,0.22,0.21,0.2,0.23,0.23,0.18,0.22,0.22,0.24,0.19,0.2,0.21,0.21,0.2,0.2,0.2,0.2,0.16,0.2,0.19,0.23,0.22,0.23,0.0,0.19,0.21,0.2,0.19,0.21,0.21,0.24,0.18,0.17,0.2,0.2,0.19,0.19,0.22,0.19,0.0,0.17,0.18,0.18,0.19,0.0,0.17,0.19,0.17,0.17,0.18,0.22,0.18,0.19,0.19,0.19,0.19,0.17,0.18,0.19,0.2,0.0,0.21,0.0,0.17,0.16,0.16,0.15,0.16,0.0,0.16,0.0,0.16,0.18,0.0,0.18,0.2,0.16,0.16,0.0,0.0,0.19,0.16,0.0,0.0,0.16,0.0,0.0,0.0,0.0,0.0,0.16,0.0,0.0,0.17,0.0,0.0,0.18,0.16,0.19,0.16,0.0,0.0,0.2,0.0,0.17,0.21,0.0,0.21,0.16,0.16,0.16,0.17,0.0,0.2,0.17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,58.620000000000005
08/24/2021,1.4,1.35,1.15,0.85,0.81,0.73,0.59,0.75,0.72,0.62,0.67,0.55,0.62,0.57,0.75,0.61,0.53,0.45,0.47,0.46,0.44,0.42,0.42,0.43,0.33,0.3,1.0,0.29,0.39,0.31,0.36,0.44,0.42,0.36,0.4,0.34,0.34,0.39,0.31,0.33,0.34,0.31,0.28,0.31,0.4,0.38,0.34,0.32,0.34,0.27,0.33,0.32,0.3,0.29,0.38,0.31,0.27,0.32,0.31,0.29,0.26,0.23,0.22,0.25,0.25,0.27,0.29,0.27,0.25,0.32,0.26,0.28,0.26,0.3,0.26,0.3,0.25,0.25,0.28,0.24,0.25,0.27,0.29,0.26,0.33,0.19,0.22,0.28,0.23,0.2,0.25,0.24,0.26,0.2,0.27,0.21,0.24,0.22,0.22,0.25,0.23,0.25,0.21,0.19,0.31,0.22,0.22,0.22,0.26,0.22,0.21,0.22,0.21,0.2,0.23,0.23,0.18,0.22,0.22,0.24,0.19,0.2,0.21,0.21,0.2,0.2,0.2,0.2,0.16,0.2,0.19,0.23,0.22,0.23,0.0,0.19,0.21,0.2,0.19,0.21,0.21,0.24,0.18,0.17,0.2,0.2,0.19,0.19,0.22,0.19,0.0,0.17,0.18,0.18,0.19,0.0,0.17,0.19,0.17,0.17,0.18,0.22,0.18,0.19,0.19,0.19,0.19,0.17,0.18,0.19,0.2,0.0,0.21,0.0,0.17,0.16,0.16,0.15,0.16,0.0,0.16,0.0,0.16,0.18,0.0,0.18,0.2,0.16,0.16,0.0,0.0,0.19,0.16,0.0,0.0,0.16,0.0,0.0,0.0,0.0,0.0,0.16,0.0,0.0,0.17,0.0,0.0,0.18,0.16,0.19,0.16,0.0,0.0,0.2,0.0,0.17,0.21,0.0,0.21,0.16,0.16,0.16,0.17,0.0,0.2,0.17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,58.620000000000005
08/30/2021,1.58,1.34,1.02,0.85,0.79,0.77,0.64,0.73,0.78,0.61,0.65,0.55,0.62,0.55,1.03,0.6,0.48,0.44,0.5,0.46,0.43,0.4,0.44,0.41,0.33,0.35,1.32,0.34,0.39,0.31,0.38,0.43,0.39,0.35,0.36,0.33,0.33,0.39,0.29,0.32,0.32,0.3,0.25,0.3,0.39,0.39,0.34,0.29,0.33,0.27,0.33,0.31,0.3,0.29,0.36,0.3,0.28,0.31,0.32,0.29,0.24,0.24,0.22,0.25,0.23,0.25,0.28,0.27,0.26,0.31,0.26,0.29,0.25,0.3,0.26,0.28,0.26,0.24,0.26,0.23,0.24,0.27,0.3,0.26,0.0,0.18,0.22,0.29,0.24,0.2,0.25,0.24,0.26,0.19,0.24,0.21,0.24,0.22,0.0,0.24,0.25,0.25,0.21,0.18,0.32,0.21,0.21,0.23,0.25,0.23,0.0,0.22,0.21,0.2,0.21,0.23,0.19,0.22,0.21,0.23,0.17,0.21,0.2,0.2,0.19,0.21,0.2,0.2,0.0,0.19,0.19,0.24,0.22,0.23,0.16,0.18,0.22,0.2,0.19,0.2,0.19,0.25,0.18,0.18,0.19,0.2,0.18,0.19,0.22,0.17,0.0,0.17,0.19,0.17,0.18,0.0,0.16,0.17,0.17,0.17,0.18,0.23,0.18,0.17,0.17,0.18,0.19,0.17,0.0,0.19,0.19,0.0,0.24,0.0,0.18,0.16,0.16,0.16,0.16,0.0,0.15,0.0,0.15,0.18,0.0,0.19,0.2,0.17,0.16,0.0,0.0,0.19,0.16,0.0,0.0,0.16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.19,0.0,0.0,0.19,0.0,0.0,0.16,0.0,0.0,0.22,0.0,0.17,0.2,0.0,0.22,0.0,0.16,0.0,0.19,0.0,0.0,0.15,0.32,0.24,0.23,0.21,0.2,0.19,0.19,0.16,0.15,0.15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,58.92
08/31/2021,1.52,1.3,1.03,0.85,0.81,0.77,0.62,0.73,0.75,0.61,0.65,0.54,0.61,0.56,0.97,0.61,0.48,0.44,0.5,0.46,0.44,0.41,0.43,0.39,0.32,0.33,1.32,0.34,0.4,0.31,0.38,0.43,0.4,0.35,0.37,0.33,0.33,0.38,0.29,0.33,0.32,0.3,0.25,0.3,0.39,0.39,0.35,0.29,0.34,0.27,0.33,0.3,0.3,0.29,0.36,0.3,0.29,0.31,0.28,0.29,0.25,0.23,0.22,0.24,0.24,0.26,0.28,0.27,0.27,0.32,0.26,0.28,0.26,0.32,0.26,0.28,0.26,0.24,0.27,0.23,0.24,0.27,0.33,0.26,0.0,0.18,0.22,0.3,0.25,0.19,0.26,0.22,0.26,0.2,0.25,0.21,0.24,0.23,0.0,0.25,0.24,0.25,0.21,0.18,0.31,0.21,0.22,0.24,0.25,0.22,0.0,0.22,0.21,0.2,0.21,0.24,0.18,0.22,0.21,0.23,0.16,0.21,0.19,0.2,0.19,0.22,0.2,0.2,0.0,0.19,0.19,0.23,0.23,0.23,0.16,0.19,0.21,0.2,0.18,0.2,0.19,0.26,0.19,0.19,0.19,0.2,0.19,0.2,0.22,0.19,0.0,0.17,0.19,0.18,0.18,0.0,0.16,0.16,0.17,0.17,0.18,0.23,0.18,0.17,0.17,0.18,0.18,0.18,0.0,0.18,0.19,0.0,0.24,0.0,0.18,0.16,0.16,0.15,0.17,0.0,0.0,0.0,0.16,0.18,0.0,0.19,0.19,0.17,0.16,0.0,0.0,0.19,0.17,0.0,0.0,0.16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.18,0.0,0.0,0.19,0.0,0.0,0.16,0.0,0.0,0.21,0.0,0.17,0.21,0.0,0.25,0.15,0.0,0.16,0.18,0.0,0.0,0.15,0.34,0.24,0.22,0.22,0.2,0.19,0.19,0.16,0.15,0.15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,58.91
09/01/2021,1.52,1.3,1.03,0.85,0.81,0.77,0.62,0.73,0.75,0.61,0.65,0.54,0.61,0.56,0.97,0.61,0.48,0.44,0.5,0.46,0.44,0.41,0.43,0.39,0.32,0.33,1.32,0.34,0.4,0.31,0.38,0.43,0.4,0.35,0.37,0.33,0.33,0.38,0.29,0.33,0.32,0.3,0.25,0.3,0.39,0.39,0.35,0.29,0.34,0.27,0.33,0.3,0.3,0.29,0.36,0.3,0.29,0.31,0.28,0.29,0.25,0.23,0.22,0.24,0.24,0.26,0.28,0.27,0.27,0.32,0.26,0.28,0.26,0.32,0.26,0.28,0.26,0.24,0.27,0.23,0.24,0.27,0.33,0.26,0.0,0.18,0.22,0.3,0.25,0.19,0.26,0.22,0.26,0.2,0.25,0.21,0.24,0.23,0.0,0.25,0.24,0.25,0.21,0.18,0.31,0.21,0.22,0.24,0.25,0.22,0.0,0.22,0.21,0.2,0.21,0.24,0.18,0.22,0.21,0.23,0.16,0.21,0.19,0.2,0.19,0.22,0.2,0.2,0.0,0.19,0.19,0.23,0.23,0.23,0.16,0.19,0.21,0.2,0.18,0.2,0.19,0.26,0.19,0.19,0.19,0.2,0.19,0.2,0.22,0.19,0.0,0.17,0.19,0.18,0.18,0.0,0.16,0.16,0.17,0.17,0.18,0.23,0.18,0.17,0.17,0.18,0.18,0.18,0.0,0.18,0.19,0.0,0.24,0.0,0.18,0.16,0.16,0.15,0.17,0.0,0.0,0.0,0.16,0.18,0.0,0.19,0.19,0.17,0.16,0.0,0.0,0.19,0.17,0.0,0.0,0.16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.18,0.0,0.0,0.19,0.0,0.0,0.16,0.0,0.0,0.21,0.0,0.17,0.21,0.0,0.25,0.15,0.0,0.16,0.18,0.0,0.0,0.15,0.34,0.24,0.22,0.22,0.2,0.19,0.19,0.16,0.15,0.15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,58.91
09/02/2021,1.52,1.3,1.03,0.85,0.81,0.77,0.62,0.73,0.75,0.61,0.65,0.54,0.61,0.56,0.97,0.61,0.48,0.44,0.5,0.46,0.44,0.41,0.43,0.39,0.32,0.33,1.32,0.34,0.4,0.31,0.38,0.43,0.4,0.35,0.37,0.33,0.33,0.38,0.29,0.33,0.32,0.3,0.25,0.3,0.39,0.39,0.35,0.29,0.34,0.27,0.33,0.3,0.3,0.29,0.36,0.3,0.29,0.31,0.28,0.29,0.25,0.23,0.22,0.24,0.24,0.26,0.28,0.27,0.27,0.32,0.26,0.28,0.26,0.32,0.26,0.28,0.26,0.24,0.27,0.23,0.24,0.27,0.33,0.26,0.0,0.18,0.22,0.3,0.25,0.19,0.26,0.22,0.26,0.2,0.25,0.21,0.24,0.23,0.0,0.25,0.24,0.25,0.21,0.18,0.31,0.21,0.22,0.24,0.25,0.22,0.0,0.22,0.21,0.2,0.21,0.24,0.18,0.22,0.21,0.23,0.16,0.21,0.19,0.2,0.19,0.22,0.2,0.2,0.0,0.19,0.19,0.23,0.23,0.23,0.16,0.19,0.21,0.2,0.18,0.2,0.19,0.26,0.19,0.19,0.19,0.2,0.19,0.2,0.22,0.19,0.0,0.17,0.19,0.18,0.18,0.0,0.16,0.16,0.17,0.17,0.18,0.23,0.18,0.17,0.17,0.18,0.18,0.18,0.0,0.18,0.19,0.0,0.24,0.0,0.18,0.16,0.16,0.15,0.17,0.0,0.0,0.0,0.16,0.18,0.0,0.19,0.19,0.17,0.16,0.0,0.0,0.19,0.17,0.0,0.0,0.16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.18,0.0,0.0,0.19,0.0,0.0,0.16,0.0,0.0,0.21,0.0,0.17,0.21,0.0,0.25,0.15,0.0,0.16,0.18,0.0,0.0,0.15,0.34,0.24,0.22,0.22,0.2,0.19,0.19,0.16,0.15,0.15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,58.91
09/03/2021,1.49,1.3,1.03,0.86,0.79,0.76,0.62,0.73,0.85,0.65,0.66,0.55,0.61,0.54,1.03,0.62,0.49,0.44,0.49,0.45,0.44,0.42,0.43,0.39,0.32,0.33,1.35,0.33,0.4,0.3,0.38,0.42,0.4,0.35,0.28,0.33,0.33,0.39,0.3,0.33,0.32,0.3,0.25,0.3,0.38,0.38,0.35,0.29,0.34,0.28,0.32,0.3,0.3,0.3,0.36,0.3,0.3,0.29,0.28,0.3,0.25,0.23,0.22,0.24,0.24,0.26,0.29,0.27,0.26,0.33,0.27,0.28,0.26,0.34,0.26,0.28,0.26,0.24,0.27,0.23,0.24,0.27,0.32,0.25,0.0,0.18,0.22,0.3,0.25,0.19,0.26,0.23,0.26,0.19,0.24,0.21,0.23,0.23,0.0,0.24,0.24,0.26,0.21,0.18,0.31,0.21,0.22,0.24,0.24,0.22,0.0,0.21,0.21,0.2,0.22,0.24,0.18,0.22,0.21,0.23,0.16,0.21,0.19,0.2,0.19,0.22,0.21,0.2,0.0,0.19,0.19,0.25,0.24,0.23,0.16,0.19,0.21,0.2,0.18,0.2,0.19,0.26,0.2,0.19,0.19,0.2,0.19,0.2,0.22,0.19,0.0,0.17,0.19,0.18,0.18,0.0,0.16,0.17,0.17,0.17,0.17,0.22,0.18,0.17,0.17,0.18,0.18,0.19,0.0,0.17,0.18,0.0,0.24,0.0,0.18,0.0,0.16,0.15,0.16,0.0,0.15,0.0,0.15,0.18,0.0,0.19,0.2,0.17,0.16,0.0,0.0,0.19,0.17,0.0,0.0,0.15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.18,0.0,0.0,0.18,0.15,0.0,0.16,0.0,0.0,0.21,0.0,0.17,0.21,0.15,0.25,0.0,0.0,0.16,0.18,0.0,0.0,0.15,0.33,0.24,0.22,0.23,0.2,0.19,0.19,0.15,0.16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,58.97
09/07/2021,1.31,1.25,0.98,0.86,0.79,0.74,0.63,0.73,0.83,0.66,0.66,0.55,0.59,0.54,1.11,0.62,0.49,0.44,0.5,0.48,0.44,0.41,0.42,0.41,0.32,0.29,1.5,0.3,0.39,0.29,0.38,0.49,0.4,0.34,0.27,0.34,0.33,0.38,0.3,0.32,0.32,0.31,0.27,0.3,0.38,0.38,0.34,0.29,0.34,0.28,0.32,0.3,0.3,0.29,0.36,0.3,0.29,0.29,0.27,0.29,0.25,0.23,0.21,0.23,0.22,0.26,0.29,0.26,0.27,0.36,0.29,0.3,0.26,0.31,0.26,0.28,0.26,0.24,0.27,0.22,0.24,0.28,0.34,0.25,0.0,0.19,0.22,0.36,0.24,0.18,0.25,0.23,0.27,0.18,0.23,0.21,0.23,0.22,0.0,0.24,0.27,0.25,0.2,0.19,0.31,0.21,0.21,0.24,0.24,0.21,0.0,0.21,0.21,0.2,0.22,0.23,0.18,0.23,0.21,0.24,0.15,0.21,0.19,0.19,0.19,0.21,0.2,0.2,0.0,0.19,0.19,0.24,0.23,0.23,0.0,0.19,0.21,0.2,0.17,0.19,0.17,0.24,0.19,0.19,0.19,0.21,0.19,0.19,0.23,0.19,0.0,0.17,0.19,0.18,0.19,0.0,0.19,0.18,0.17,0.17,0.18,0.23,0.18,0.18,0.17,0.18,0.18,0.2,0.0,0.18,0.18,0.0,0.25,0.0,0.17,0.0,0.15,0.15,0.16,0.0,0.17,0.0,0.16,0.17,0.0,0.19,0.21,0.16,0.16,0.0,0.0,0.2,0.17,0.0,0.0,0.16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16,0.0,0.0,0.18,0.16,0.0,0.15,0.0,0.0,0.21,0.0,0.18,0.21,0.16,0.23,0.0,0.0,0.16,0.2,0.0,0.0,0.15,0.34,0.2,0.22,0.22,0.0,0.18,0.19,0.15,0.16,0.0,0.24,0.17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,58.91
