,B 0 06/10/21,VTI,GLDM,VWO,BAR,VEA,TII 2.125 02/15/41,TII 1.375 02/15/44,TII 0.75 02/15/42,TII 0.75 02/15/45,TII 1 02/15/49,TII 0.625 02/15/43,TII 1 02/15/46,TII 0.875 02/15/47,TII 1 02/15/48,BHP,DE,TII 2.125 02/15/40,RIO,XOM,CVX,VALE,RDS/A,PTR,TOT,MNOD,CTVA,SCCO,NTR.TO,GLEN.L,FCX,AAL.L,FMG.AX,6326.T,ECL,OJS1.,SNP,BP,OGZD.L,COP,VWSYF,CNHI.MI,NVTK.L,EQNR,FMC,LUKOY,TII 0.25 02/15/50,SMG,1772.HK,E,SQM,YAR.OL,SGRE.MC,EOG,ANTO.L,AWK,CNQ.TO,TTC,SU.TO,FERG.L,MOWI.OL,CLF,MOS,ENPH,PXD,GEBN.SW,D7N.,AGCO,CF,PLUG,EC,HES,OXY,968.HK,XYL,5713.T,SALM.OL,FM.TO,IMO.TO,VEDL,IEX,SEDG,RUN,PHOR.L,TECK,REP.MC,S32.AX,LUN.TO,BOLUSD,WPL.AX,VIE.PA,ATAD.L,OMV.VI,SGN.,358.HK,DVN,CVE.TO,FGXXX,SQMRTWI,CAD,TYM1 COMDTY,WNM1 COMDTY,B 0 12/09/21,VWS.CO,BOL.ST,IVN.TO,LSG.OL,SEV.PA,OCI.AS,KAP.L,TGA.JO,EUR,TYU1 COMDTY,WNU1 COMDTY,SUM
07/23/2021,19.71,13.07,11.56,7.53,5.96,5.18,2.98,2.35,2.13,2.12,2.06,1.94,1.9,1.75,1.72,1.01,0.94,0.91,0.77,0.71,0.6,0.56,0.45,0.38,0.36,0.33,0.32,0.32,0.29,0.29,0.27,0.27,0.25,0.25,0.25,0.24,0.24,0.24,0.23,0.21,0.2,0.19,0.19,0.19,0.17,0.17,0.14,0.14,0.14,0.13,0.13,0.13,0.13,0.13,0.12,0.12,0.11,0.11,0.11,0.11,0.11,0.11,0.1,0.1,0.1,0.09,0.09,0.09,0.09,0.09,0.08,0.08,0.08,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.05,0.05,0.05,0.05,0.05,0.04,0.04,0.04,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,98.13000000000002
07/26/2021,19.71,13.07,11.56,7.53,5.96,5.18,2.98,2.35,2.13,2.12,2.06,1.94,1.9,1.75,1.72,1.01,0.94,0.91,0.77,0.71,0.6,0.56,0.45,0.38,0.36,0.33,0.32,0.32,0.29,0.29,0.27,0.27,0.25,0.25,0.25,0.24,0.24,0.24,0.23,0.21,0.2,0.19,0.19,0.19,0.17,0.17,0.14,0.14,0.14,0.13,0.13,0.13,0.13,0.13,0.12,0.12,0.11,0.11,0.11,0.11,0.11,0.11,0.1,0.1,0.1,0.09,0.09,0.09,0.09,0.09,0.08,0.08,0.08,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.05,0.05,0.05,0.05,0.05,0.04,0.04,0.04,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,98.13000000000002
07/27/2021,19.71,13.07,11.56,7.53,5.96,5.18,2.98,2.35,2.13,2.12,2.06,1.94,1.9,1.75,1.72,1.01,0.94,0.91,0.77,0.71,0.6,0.56,0.45,0.38,0.36,0.33,0.32,0.32,0.29,0.29,0.27,0.27,0.25,0.25,0.25,0.24,0.24,0.24,0.23,0.21,0.2,0.19,0.19,0.19,0.17,0.17,0.14,0.14,0.14,0.13,0.13,0.13,0.13,0.13,0.12,0.12,0.11,0.11,0.11,0.11,0.11,0.11,0.1,0.1,0.1,0.09,0.09,0.09,0.09,0.09,0.08,0.08,0.08,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.05,0.05,0.05,0.05,0.05,0.04,0.04,0.04,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,98.13000000000002
07/28/2021,19.71,13.07,11.56,7.53,5.96,5.18,2.98,2.35,2.13,2.12,2.06,1.94,1.9,1.75,1.72,1.01,0.94,0.91,0.77,0.71,0.6,0.56,0.45,0.38,0.36,0.33,0.32,0.32,0.29,0.29,0.27,0.27,0.25,0.25,0.25,0.24,0.24,0.24,0.23,0.21,0.2,0.19,0.19,0.19,0.17,0.17,0.14,0.14,0.14,0.13,0.13,0.13,0.13,0.13,0.12,0.12,0.11,0.11,0.11,0.11,0.11,0.11,0.1,0.1,0.1,0.09,0.09,0.09,0.09,0.09,0.08,0.08,0.08,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.05,0.05,0.05,0.05,0.05,0.04,0.04,0.04,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,98.13000000000002
07/29/2021,19.71,13.07,11.56,7.53,5.96,5.18,2.98,2.35,2.13,2.12,2.06,1.94,1.9,1.75,1.72,1.01,0.94,0.91,0.77,0.71,0.6,0.56,0.45,0.38,0.36,0.33,0.32,0.32,0.29,0.29,0.27,0.27,0.25,0.25,0.25,0.24,0.24,0.24,0.23,0.21,0.2,0.19,0.19,0.19,0.17,0.17,0.14,0.14,0.14,0.13,0.13,0.13,0.13,0.13,0.12,0.12,0.11,0.11,0.11,0.11,0.11,0.11,0.1,0.1,0.1,0.09,0.09,0.09,0.09,0.09,0.08,0.08,0.08,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.05,0.05,0.05,0.05,0.05,0.04,0.04,0.04,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,98.13000000000002
07/30/2021,19.71,13.07,11.56,7.53,5.96,5.18,2.98,2.35,2.13,2.12,2.06,1.94,1.9,1.75,1.72,1.01,0.94,0.91,0.77,0.71,0.6,0.56,0.45,0.38,0.36,0.33,0.32,0.32,0.29,0.29,0.27,0.27,0.25,0.25,0.25,0.24,0.24,0.24,0.23,0.21,0.2,0.19,0.19,0.19,0.17,0.17,0.14,0.14,0.14,0.13,0.13,0.13,0.13,0.13,0.12,0.12,0.11,0.11,0.11,0.11,0.11,0.11,0.1,0.1,0.1,0.09,0.09,0.09,0.09,0.09,0.08,0.08,0.08,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.05,0.05,0.05,0.05,0.05,0.04,0.04,0.04,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,98.13000000000002
08/02/2021,19.71,13.07,11.56,7.53,5.96,5.18,2.98,2.35,2.13,2.12,2.06,1.94,1.9,1.75,1.72,1.01,0.94,0.91,0.77,0.71,0.6,0.56,0.45,0.38,0.36,0.33,0.32,0.32,0.29,0.29,0.27,0.27,0.25,0.25,0.25,0.24,0.24,0.24,0.23,0.21,0.2,0.19,0.19,0.19,0.17,0.17,0.14,0.14,0.14,0.13,0.13,0.13,0.13,0.13,0.12,0.12,0.11,0.11,0.11,0.11,0.11,0.11,0.1,0.1,0.1,0.09,0.09,0.09,0.09,0.09,0.08,0.08,0.08,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.05,0.05,0.05,0.05,0.05,0.04,0.04,0.04,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,98.13000000000002
08/03/2021,19.71,13.07,11.56,7.53,5.96,5.18,2.98,2.35,2.13,2.12,2.06,1.94,1.9,1.75,1.72,1.01,0.94,0.91,0.77,0.71,0.6,0.56,0.45,0.38,0.36,0.33,0.32,0.32,0.29,0.29,0.27,0.27,0.25,0.25,0.25,0.24,0.24,0.24,0.23,0.21,0.2,0.19,0.19,0.19,0.17,0.17,0.14,0.14,0.14,0.13,0.13,0.13,0.13,0.13,0.12,0.12,0.11,0.11,0.11,0.11,0.11,0.11,0.1,0.1,0.1,0.09,0.09,0.09,0.09,0.09,0.08,0.08,0.08,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.05,0.05,0.05,0.05,0.05,0.04,0.04,0.04,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,98.13000000000002
08/04/2021,19.71,13.07,11.56,7.53,5.96,5.18,2.98,2.35,2.13,2.12,2.06,1.94,1.9,1.75,1.72,1.01,0.94,0.91,0.77,0.71,0.6,0.56,0.45,0.38,0.36,0.33,0.32,0.32,0.29,0.29,0.27,0.27,0.25,0.25,0.25,0.24,0.24,0.24,0.23,0.21,0.2,0.19,0.19,0.19,0.17,0.17,0.14,0.14,0.14,0.13,0.13,0.13,0.13,0.13,0.12,0.12,0.11,0.11,0.11,0.11,0.11,0.11,0.1,0.1,0.1,0.09,0.09,0.09,0.09,0.09,0.08,0.08,0.08,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.05,0.05,0.05,0.05,0.05,0.04,0.04,0.04,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,98.13000000000002
08/05/2021,19.71,13.07,11.56,7.53,5.96,5.18,2.98,2.35,2.13,2.12,2.06,1.94,1.9,1.75,1.72,1.01,0.94,0.91,0.77,0.71,0.6,0.56,0.45,0.38,0.36,0.33,0.32,0.32,0.29,0.29,0.27,0.27,0.25,0.25,0.25,0.24,0.24,0.24,0.23,0.21,0.2,0.19,0.19,0.19,0.17,0.17,0.14,0.14,0.14,0.13,0.13,0.13,0.13,0.13,0.12,0.12,0.11,0.11,0.11,0.11,0.11,0.11,0.1,0.1,0.1,0.09,0.09,0.09,0.09,0.09,0.08,0.08,0.08,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.05,0.05,0.05,0.05,0.05,0.04,0.04,0.04,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,98.13000000000002
08/06/2021,19.71,13.07,11.56,7.53,5.96,5.18,2.98,2.35,2.13,2.12,2.06,1.94,1.9,1.75,1.72,1.01,0.94,0.91,0.77,0.71,0.6,0.56,0.45,0.38,0.36,0.33,0.32,0.32,0.29,0.29,0.27,0.27,0.25,0.25,0.25,0.24,0.24,0.24,0.23,0.21,0.2,0.19,0.19,0.19,0.17,0.17,0.14,0.14,0.14,0.13,0.13,0.13,0.13,0.13,0.12,0.12,0.11,0.11,0.11,0.11,0.11,0.11,0.1,0.1,0.1,0.09,0.09,0.09,0.09,0.09,0.08,0.08,0.08,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.05,0.05,0.05,0.05,0.05,0.04,0.04,0.04,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,98.13000000000002
08/10/2021,19.71,13.07,11.56,7.53,5.96,5.18,2.98,2.35,2.13,2.12,2.06,1.94,1.9,1.75,1.72,1.01,0.94,0.91,0.77,0.71,0.6,0.56,0.45,0.38,0.36,0.33,0.32,0.32,0.29,0.29,0.27,0.27,0.25,0.25,0.25,0.24,0.24,0.24,0.23,0.21,0.2,0.19,0.19,0.19,0.17,0.17,0.14,0.14,0.14,0.13,0.13,0.13,0.13,0.13,0.12,0.12,0.11,0.11,0.11,0.11,0.11,0.11,0.1,0.1,0.1,0.09,0.09,0.09,0.09,0.09,0.08,0.08,0.08,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.05,0.05,0.05,0.05,0.05,0.04,0.04,0.04,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,98.13000000000002
08/11/2021,19.71,13.07,11.56,7.53,5.96,5.18,2.98,2.35,2.13,2.12,2.06,1.94,1.9,1.75,1.72,1.01,0.94,0.91,0.77,0.71,0.6,0.56,0.45,0.38,0.36,0.33,0.32,0.32,0.29,0.29,0.27,0.27,0.25,0.25,0.25,0.24,0.24,0.24,0.23,0.21,0.2,0.19,0.19,0.19,0.17,0.17,0.14,0.14,0.14,0.13,0.13,0.13,0.13,0.13,0.12,0.12,0.11,0.11,0.11,0.11,0.11,0.11,0.1,0.1,0.1,0.09,0.09,0.09,0.09,0.09,0.08,0.08,0.08,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.05,0.05,0.05,0.05,0.05,0.04,0.04,0.04,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,98.13000000000002
08/13/2021,19.71,13.07,11.56,7.53,5.96,5.18,2.98,2.35,2.13,2.12,2.06,1.94,1.9,1.75,1.72,1.01,0.94,0.91,0.77,0.71,0.6,0.56,0.45,0.38,0.36,0.33,0.32,0.32,0.29,0.29,0.27,0.27,0.25,0.25,0.25,0.24,0.24,0.24,0.23,0.21,0.2,0.19,0.19,0.19,0.17,0.17,0.14,0.14,0.14,0.13,0.13,0.13,0.13,0.13,0.12,0.12,0.11,0.11,0.11,0.11,0.11,0.11,0.1,0.1,0.1,0.09,0.09,0.09,0.09,0.09,0.08,0.08,0.08,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.05,0.05,0.05,0.05,0.05,0.04,0.04,0.04,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,98.13000000000002
08/16/2021,19.71,13.07,11.56,7.53,5.96,5.18,2.98,2.35,2.13,2.12,2.06,1.94,1.9,1.75,1.72,1.01,0.94,0.91,0.77,0.71,0.6,0.56,0.45,0.38,0.36,0.33,0.32,0.32,0.29,0.29,0.27,0.27,0.25,0.25,0.25,0.24,0.24,0.24,0.23,0.21,0.2,0.19,0.19,0.19,0.17,0.17,0.14,0.14,0.14,0.13,0.13,0.13,0.13,0.13,0.12,0.12,0.11,0.11,0.11,0.11,0.11,0.11,0.1,0.1,0.1,0.09,0.09,0.09,0.09,0.09,0.08,0.08,0.08,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.05,0.05,0.05,0.05,0.05,0.04,0.04,0.04,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,98.13000000000002
08/17/2021,19.71,13.07,11.56,7.53,5.96,5.18,2.98,2.35,2.13,2.12,2.06,1.94,1.9,1.75,1.72,1.01,0.94,0.91,0.77,0.71,0.6,0.56,0.45,0.38,0.36,0.33,0.32,0.32,0.29,0.29,0.27,0.27,0.25,0.25,0.25,0.24,0.24,0.24,0.23,0.21,0.2,0.19,0.19,0.19,0.17,0.17,0.14,0.14,0.14,0.13,0.13,0.13,0.13,0.13,0.12,0.12,0.11,0.11,0.11,0.11,0.11,0.11,0.1,0.1,0.1,0.09,0.09,0.09,0.09,0.09,0.08,0.08,0.08,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.05,0.05,0.05,0.05,0.05,0.04,0.04,0.04,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,98.13000000000002
