,1548.HK,COF,NVDA,ASM.AS,CRWD,ALXN,2269.HK,AMAT,1801.HK,LLY,BT.A.L,ASML.AS,WIPRO.NS,ILMN,ZBRA,ALNY,BIIB,ANET,CAP.PA,GOOGL,WDC,UTHR,PYPL,HPQ,DELL,MRVL,LH,NOKIA.HE,BSX,STX,INFY.NS,WKL.AS,PANW,DXCM,SWKS,NXPI,JAZZ,ON,BIDU,ZS,ABBN.SW,MSFT,BRK.B,FB,LRCX,9999.HK,NOVO B.CO,BLK,AAPL,SU.PA,SNPS,MXIM,2454.TW,DTE.DE,ISRG,ZTS,HPE,ADYEN.AS,MU,KLAC,MP1.AX,MPWR,TXN,ALB,ACN,EMR,REGN,ADI,MDT,QRVO,DB1.DE,SQ,MMM,KN,MA,ALGN,MRK.DE,DLR,CRM,8035.T,TCS.NS,S63.SI,ZBH,AMZN,2330.TW,SHL.AX,CSCO,EQIX,CDNS,BMRN,RDFN,V,INTC,VMW,4755.T,GE,EKTA B.ST,GSK.L,TEL,GMAB.CO,SIE.DE,QGEN,AZN.L,COH.AX,REL.L,BMY,COR,GILD,AJBU.SI,ROG.SW,SYK,ROK,GLW,IBM,BR,IFX.DE,AVGO,LECO,TMUS,CONE,HUBB,UCB.BR,MRK,ABBV,AMGN,2395.TW,OKTA,TMO,005930.KS,6976.T,6506.T,TSLA,STM.PA,ERIC B.ST,9984.T,FSLR,KPN.AS,INCY,PFE,MCHP,SCMN.SW,NOW,DGX,3105,JNJ,LSEG.L,XTSLA,AMD,Z,GRF.MC,XLNX,MELI,APH,NOVN.SW,SAN.PA,TIGO.ST,ORA.PA,000660.KS,EXEL,VWS.CO,HON,PINC,6594.T,GNTX,6503.T,SOBI.ST,VZ,700.HK,SPLK,6954.T,6268.T,VRTX,PLTR,4502.T,6981.T,6762.T,QCOM,ENV,EN.PA,ORSTED.CO,CTSH,6645.T,TIMS3.SA,SGEN,BAYN.DE,9988.HK,NKTR,4519.T,LUN.CO,TEF.MC,VOD.L,S68.SI,O2D.DE,PROX.BR,ILD.PA,IONS,EUR,GBP,JPY,TWD,HBCFT,SGD,KRW,USD,CHF,HKD,DKK,BRL,SEK,GE.,SUM
07/27/2021,1.4,0.78,0.7,0.77,0.71,0.0,0.74,0.7,0.68,0.67,0.62,0.7,0.71,0.65,0.63,0.67,0.6,0.62,0.64,0.63,0.57,0.62,0.64,0.56,0.6,0.61,0.62,0.64,0.6,0.58,0.6,0.65,0.6,0.61,0.58,0.55,0.55,0.54,0.54,0.6,0.59,0.59,0.56,0.55,0.58,0.56,0.59,0.55,0.58,0.56,0.56,0.53,0.56,0.56,0.57,0.56,0.55,0.58,0.5,0.55,0.52,0.58,0.52,0.62,0.56,0.54,0.54,0.51,0.53,0.53,0.52,0.58,0.51,0.0,0.54,0.55,0.55,0.52,0.51,0.5,0.51,0.51,0.5,0.51,0.51,0.55,0.55,0.53,0.55,0.48,0.48,0.52,0.51,0.51,0.54,0.51,0.51,0.51,0.52,0.54,0.53,0.53,0.49,0.51,0.52,0.52,0.5,0.51,0.48,0.48,0.48,0.52,0.49,0.51,0.51,0.48,0.51,0.5,0.5,0.49,0.54,0.5,0.46,0.5,0.48,0.52,0.49,0.5,0.46,0.46,0.45,0.49,0.48,0.46,0.42,0.44,0.49,0.46,0.5,0.46,0.51,0.49,0.5,0.47,0.48,0.45,0.6,0.46,0.44,0.43,0.44,0.46,0.46,0.48,0.46,0.47,0.45,0.43,0.42,0.45,0.48,0.45,0.44,0.43,0.43,0.47,0.45,0.41,0.43,0.41,0.42,0.41,0.38,0.43,0.4,0.39,0.41,0.39,0.4,0.41,0.39,0.4,0.4,0.36,0.37,0.36,0.34,0.36,0.33,0.32,0.31,0.37,0.34,0.31,0.29,0.26,0.04,0.01,0.0,0.04,0.02,0.0,0.0,0.0,0.0,0.02,0.01,0.0,0.0,0.0,100.35
07/29/2021,1.2,0.78,0.69,0.8,0.72,0.0,0.65,0.71,0.61,0.69,0.62,0.71,0.72,0.66,0.64,0.66,0.61,0.63,0.65,0.66,0.57,0.61,0.64,0.56,0.61,0.62,0.62,0.64,0.6,0.6,0.61,0.64,0.6,0.61,0.59,0.57,0.54,0.55,0.5,0.6,0.61,0.6,0.56,0.59,0.58,0.48,0.59,0.55,0.59,0.57,0.56,0.53,0.57,0.55,0.56,0.56,0.54,0.58,0.5,0.56,0.54,0.6,0.53,0.63,0.57,0.54,0.53,0.51,0.53,0.53,0.47,0.58,0.51,0.0,0.55,0.56,0.56,0.52,0.51,0.51,0.51,0.5,0.51,0.52,0.5,0.56,0.56,0.54,0.56,0.46,0.48,0.53,0.5,0.51,0.55,0.52,0.51,0.46,0.53,0.54,0.52,0.49,0.48,0.52,0.51,0.52,0.51,0.51,0.46,0.48,0.49,0.52,0.49,0.52,0.51,0.49,0.51,0.5,0.5,0.5,0.53,0.45,0.46,0.5,0.48,0.52,0.5,0.5,0.46,0.47,0.46,0.49,0.5,0.43,0.41,0.43,0.48,0.44,0.47,0.46,0.51,0.49,0.5,0.46,0.49,0.4,0.37,0.46,0.42,0.38,0.43,0.46,0.46,0.48,0.46,0.48,0.4,0.41,0.39,0.42,0.48,0.44,0.43,0.44,0.43,0.45,0.45,0.37,0.43,0.42,0.43,0.41,0.38,0.41,0.41,0.39,0.41,0.39,0.39,0.4,0.4,0.42,0.36,0.36,0.47,0.33,0.37,0.36,0.42,0.43,0.4,0.47,0.42,0.41,0.29,0.35,0.0,0.0,0.05,0.04,0.0,0.06,0.0,0.0,0.0,0.02,0.0,0.04,0.03,0.0,100.35
07/30/2021,1.08,0.79,0.69,0.78,0.71,0.0,0.6,0.69,0.55,0.69,0.63,0.71,0.73,0.66,0.64,0.66,0.62,0.63,0.65,0.66,0.55,0.63,0.64,0.57,0.61,0.61,0.63,0.64,0.63,0.6,0.61,0.65,0.61,0.61,0.58,0.56,0.55,0.55,0.49,0.6,0.61,0.6,0.57,0.58,0.57,0.42,0.59,0.55,0.59,0.57,0.56,0.53,0.58,0.56,0.57,0.57,0.54,0.58,0.49,0.55,0.55,0.59,0.53,0.61,0.57,0.55,0.54,0.52,0.54,0.53,0.47,0.56,0.51,0.0,0.56,0.56,0.56,0.53,0.51,0.52,0.51,0.5,0.52,0.52,0.51,0.56,0.57,0.55,0.55,0.47,0.47,0.53,0.49,0.51,0.51,0.53,0.51,0.47,0.53,0.54,0.52,0.49,0.49,0.51,0.52,0.52,0.52,0.52,0.46,0.48,0.5,0.52,0.49,0.52,0.51,0.48,0.51,0.5,0.51,0.51,0.54,0.46,0.47,0.5,0.48,0.52,0.49,0.51,0.46,0.49,0.47,0.49,0.49,0.43,0.41,0.43,0.49,0.44,0.48,0.46,0.52,0.5,0.51,0.45,0.5,0.4,0.32,0.46,0.42,0.38,0.42,0.47,0.46,0.48,0.46,0.49,0.4,0.42,0.4,0.42,0.48,0.45,0.44,0.45,0.43,0.45,0.46,0.34,0.43,0.42,0.43,0.42,0.37,0.42,0.42,0.41,0.41,0.39,0.4,0.4,0.4,0.42,0.36,0.37,0.46,0.31,0.43,0.36,0.42,0.43,0.4,0.49,0.45,0.41,0.29,0.35,0.0,0.0,0.05,0.04,0.0,0.03,0.0,0.0,0.0,0.02,0.0,0.04,0.03,0.0,100.38
08/02/2021,1.26,0.78,0.69,0.78,0.7,0.0,0.68,0.69,0.64,0.69,0.58,0.72,0.72,0.65,0.64,0.66,0.6,0.63,0.68,0.66,0.56,0.61,0.59,0.57,0.6,0.63,0.65,0.66,0.61,0.6,0.61,0.66,0.6,0.61,0.59,0.58,0.53,0.58,0.5,0.6,0.6,0.59,0.55,0.56,0.56,0.5,0.6,0.55,0.57,0.56,0.56,0.53,0.57,0.55,0.56,0.57,0.54,0.6,0.5,0.55,0.55,0.63,0.53,0.65,0.56,0.54,0.53,0.52,0.54,0.53,0.46,0.56,0.5,0.0,0.54,0.59,0.56,0.51,0.5,0.51,0.5,0.5,0.51,0.5,0.5,0.55,0.55,0.5,0.55,0.46,0.47,0.52,0.49,0.5,0.51,0.53,0.51,0.47,0.55,0.54,0.51,0.49,0.48,0.51,0.53,0.52,0.49,0.52,0.46,0.48,0.49,0.53,0.5,0.51,0.51,0.49,0.51,0.5,0.5,0.49,0.54,0.46,0.46,0.5,0.47,0.5,0.48,0.5,0.46,0.5,0.47,0.5,0.52,0.43,0.4,0.44,0.49,0.43,0.48,0.46,0.51,0.49,0.51,0.44,0.49,0.4,0.31,0.51,0.42,0.39,0.47,0.47,0.46,0.48,0.45,0.46,0.38,0.4,0.4,0.42,0.48,0.44,0.42,0.46,0.43,0.45,0.45,0.36,0.42,0.42,0.42,0.41,0.37,0.42,0.41,0.38,0.43,0.4,0.4,0.4,0.42,0.41,0.36,0.37,0.46,0.34,0.42,0.35,0.43,0.42,0.4,0.49,0.41,0.41,0.28,0.34,0.0,0.02,0.01,0.04,0.01,0.0,0.0,0.0,0.0,0.02,0.0,0.0,0.03,0.0,100.26
08/03/2021,1.26,0.77,0.69,0.78,0.68,0.0,0.65,0.71,0.63,0.68,0.59,0.71,0.71,0.66,0.64,0.65,0.6,0.63,0.68,0.66,0.57,0.6,0.57,0.57,0.6,0.63,0.65,0.66,0.62,0.61,0.61,0.66,0.6,0.69,0.56,0.58,0.53,0.58,0.5,0.6,0.6,0.58,0.55,0.56,0.57,0.49,0.6,0.55,0.57,0.57,0.57,0.53,0.55,0.54,0.57,0.56,0.54,0.58,0.51,0.6,0.54,0.64,0.53,0.66,0.56,0.55,0.52,0.52,0.54,0.52,0.46,0.54,0.5,0.0,0.54,0.61,0.56,0.52,0.49,0.5,0.5,0.5,0.51,0.47,0.5,0.55,0.56,0.52,0.56,0.45,0.47,0.52,0.49,0.49,0.5,0.51,0.51,0.47,0.56,0.55,0.51,0.51,0.48,0.51,0.53,0.52,0.51,0.5,0.47,0.49,0.49,0.53,0.5,0.51,0.51,0.48,0.51,0.51,0.5,0.49,0.55,0.46,0.46,0.49,0.47,0.5,0.48,0.51,0.45,0.49,0.46,0.51,0.51,0.42,0.39,0.45,0.49,0.43,0.48,0.47,0.51,0.49,0.51,0.43,0.49,0.4,0.33,0.53,0.41,0.39,0.48,0.45,0.47,0.48,0.45,0.45,0.39,0.4,0.4,0.42,0.48,0.44,0.41,0.46,0.42,0.45,0.44,0.36,0.43,0.4,0.41,0.41,0.37,0.41,0.41,0.37,0.42,0.39,0.39,0.4,0.42,0.42,0.35,0.39,0.46,0.32,0.42,0.34,0.42,0.43,0.4,0.49,0.41,0.41,0.45,0.35,0.0,0.02,0.01,0.02,0.01,0.0,0.0,0.0,0.0,0.02,0.0,0.0,0.03,0.0,100.32
08/04/2021,1.26,0.77,0.69,0.78,0.68,0.0,0.65,0.71,0.63,0.68,0.59,0.71,0.71,0.66,0.64,0.65,0.6,0.63,0.68,0.66,0.57,0.6,0.57,0.57,0.6,0.63,0.65,0.66,0.62,0.61,0.61,0.66,0.6,0.69,0.56,0.58,0.53,0.58,0.5,0.6,0.6,0.58,0.55,0.56,0.57,0.49,0.6,0.55,0.57,0.57,0.57,0.53,0.55,0.54,0.57,0.56,0.54,0.58,0.51,0.6,0.54,0.64,0.53,0.66,0.56,0.55,0.52,0.52,0.54,0.52,0.46,0.54,0.5,0.0,0.54,0.61,0.56,0.52,0.49,0.5,0.5,0.5,0.51,0.47,0.5,0.55,0.56,0.52,0.56,0.45,0.47,0.52,0.49,0.49,0.5,0.51,0.51,0.47,0.56,0.55,0.51,0.51,0.48,0.51,0.53,0.52,0.51,0.5,0.47,0.49,0.49,0.53,0.5,0.51,0.51,0.48,0.51,0.51,0.5,0.49,0.55,0.46,0.46,0.49,0.47,0.5,0.48,0.51,0.45,0.49,0.46,0.51,0.51,0.42,0.39,0.45,0.49,0.43,0.48,0.47,0.51,0.49,0.51,0.43,0.49,0.4,0.33,0.53,0.41,0.39,0.48,0.45,0.47,0.48,0.45,0.45,0.39,0.4,0.4,0.42,0.48,0.44,0.41,0.46,0.42,0.45,0.44,0.36,0.43,0.4,0.41,0.41,0.37,0.41,0.41,0.37,0.42,0.39,0.39,0.4,0.42,0.42,0.35,0.39,0.46,0.32,0.42,0.34,0.42,0.43,0.4,0.49,0.41,0.41,0.45,0.35,0.0,0.02,0.01,0.02,0.01,0.0,0.0,0.0,0.0,0.02,0.0,0.0,0.03,0.0,100.32
08/05/2021,1.26,0.77,0.69,0.78,0.68,0.0,0.65,0.71,0.63,0.68,0.59,0.71,0.71,0.66,0.64,0.65,0.6,0.63,0.68,0.66,0.57,0.6,0.57,0.57,0.6,0.63,0.65,0.66,0.62,0.61,0.61,0.66,0.6,0.69,0.56,0.58,0.53,0.58,0.5,0.6,0.6,0.58,0.55,0.56,0.57,0.49,0.6,0.55,0.57,0.57,0.57,0.53,0.55,0.54,0.57,0.56,0.54,0.58,0.51,0.6,0.54,0.64,0.53,0.66,0.56,0.55,0.52,0.52,0.54,0.52,0.46,0.54,0.5,0.0,0.54,0.61,0.56,0.52,0.49,0.5,0.5,0.5,0.51,0.47,0.5,0.55,0.56,0.52,0.56,0.45,0.47,0.52,0.49,0.49,0.5,0.51,0.51,0.47,0.56,0.55,0.51,0.51,0.48,0.51,0.53,0.52,0.51,0.5,0.47,0.49,0.49,0.53,0.5,0.51,0.51,0.48,0.51,0.51,0.5,0.49,0.55,0.46,0.46,0.49,0.47,0.5,0.48,0.51,0.45,0.49,0.46,0.51,0.51,0.42,0.39,0.45,0.49,0.43,0.48,0.47,0.51,0.49,0.51,0.43,0.49,0.4,0.33,0.53,0.41,0.39,0.48,0.45,0.47,0.48,0.45,0.45,0.39,0.4,0.4,0.42,0.48,0.44,0.41,0.46,0.42,0.45,0.44,0.36,0.43,0.4,0.41,0.41,0.37,0.41,0.41,0.37,0.42,0.39,0.39,0.4,0.42,0.42,0.35,0.39,0.46,0.32,0.42,0.34,0.42,0.43,0.4,0.49,0.41,0.41,0.45,0.35,0.0,0.02,0.01,0.02,0.01,0.0,0.0,0.0,0.0,0.02,0.0,0.0,0.03,0.0,100.32
08/06/2021,1.41,0.76,0.69,0.78,0.68,0.0,0.68,0.71,0.63,0.71,0.58,0.72,0.72,0.65,0.63,0.65,0.61,0.62,0.69,0.66,0.57,0.59,0.56,0.57,0.61,0.63,0.65,0.67,0.61,0.62,0.62,0.65,0.59,0.69,0.56,0.59,0.53,0.67,0.49,0.61,0.59,0.58,0.55,0.54,0.57,0.46,0.6,0.55,0.57,0.58,0.56,0.52,0.56,0.54,0.57,0.56,0.55,0.58,0.52,0.59,0.56,0.64,0.52,0.65,0.55,0.54,0.52,0.52,0.53,0.53,0.45,0.58,0.5,0.0,0.51,0.61,0.55,0.52,0.49,0.51,0.51,0.49,0.48,0.47,0.51,0.55,0.56,0.52,0.56,0.45,0.45,0.49,0.48,0.5,0.5,0.0,0.51,0.47,0.56,0.55,0.51,0.49,0.47,0.51,0.53,0.52,0.51,0.51,0.45,0.49,0.48,0.53,0.49,0.51,0.51,0.49,0.51,0.5,0.49,0.49,0.54,0.46,0.45,0.48,0.47,0.49,0.47,0.5,0.47,0.49,0.47,0.52,0.52,0.42,0.39,0.48,0.49,0.43,0.5,0.48,0.51,0.48,0.51,0.42,0.49,0.4,0.12,0.55,0.4,0.38,0.46,0.45,0.47,0.47,0.44,0.45,0.39,0.42,0.4,0.43,0.47,0.44,0.42,0.45,0.43,0.44,0.44,0.33,0.42,0.4,0.42,0.4,0.37,0.4,0.42,0.36,0.41,0.38,0.39,0.39,0.42,0.42,0.34,0.39,0.45,0.33,0.41,0.34,0.42,0.44,0.4,0.48,0.41,0.41,0.44,0.35,0.0,0.02,0.01,0.0,0.01,0.0,0.0,0.0,0.0,0.02,0.01,0.0,0.03,0.5,100.07
08/10/2021,1.37,0.78,0.71,0.8,0.69,0.0,0.67,0.71,0.58,0.72,0.58,0.73,0.72,0.65,0.65,0.7,0.61,0.61,0.69,0.65,0.59,0.69,0.57,0.57,0.6,0.62,0.64,0.65,0.6,0.63,0.61,0.63,0.57,0.68,0.55,0.59,0.46,0.67,0.49,0.6,0.59,0.58,0.56,0.56,0.57,0.42,0.64,0.55,0.56,0.58,0.57,0.53,0.56,0.53,0.58,0.55,0.55,0.58,0.53,0.6,0.56,0.65,0.53,0.71,0.56,0.54,0.54,0.52,0.52,0.53,0.45,0.59,0.49,0.0,0.52,0.6,0.57,0.52,0.5,0.52,0.51,0.49,0.46,0.46,0.5,0.55,0.55,0.52,0.57,0.45,0.44,0.5,0.48,0.5,0.54,0.0,0.51,0.47,0.55,0.54,0.53,0.48,0.46,0.51,0.53,0.51,0.51,0.5,0.45,0.48,0.47,0.54,0.48,0.51,0.5,0.52,0.5,0.5,0.48,0.51,0.54,0.46,0.44,0.47,0.44,0.5,0.46,0.5,0.47,0.52,0.46,0.51,0.52,0.42,0.38,0.48,0.48,0.42,0.49,0.49,0.5,0.49,0.52,0.43,0.48,0.42,0.12,0.54,0.38,0.37,0.47,0.5,0.47,0.47,0.44,0.44,0.38,0.41,0.4,0.44,0.47,0.43,0.42,0.43,0.42,0.43,0.43,0.33,0.43,0.4,0.41,0.4,0.36,0.4,0.41,0.35,0.41,0.39,0.4,0.39,0.41,0.42,0.34,0.4,0.42,0.32,0.41,0.34,0.43,0.44,0.4,0.44,0.4,0.4,0.43,0.36,0.0,0.02,0.01,0.0,0.01,0.0,0.0,0.0,0.0,0.02,0.01,0.0,0.03,0.51,100.0
08/11/2021,1.37,0.78,0.71,0.8,0.69,0.0,0.67,0.71,0.58,0.72,0.58,0.73,0.72,0.65,0.65,0.7,0.61,0.61,0.69,0.65,0.59,0.69,0.57,0.57,0.6,0.62,0.64,0.65,0.6,0.63,0.61,0.63,0.57,0.68,0.55,0.59,0.46,0.67,0.49,0.6,0.59,0.58,0.56,0.56,0.57,0.42,0.64,0.55,0.56,0.58,0.57,0.53,0.56,0.53,0.58,0.55,0.55,0.58,0.53,0.6,0.56,0.65,0.53,0.71,0.56,0.54,0.54,0.52,0.52,0.53,0.45,0.59,0.49,0.0,0.52,0.6,0.57,0.52,0.5,0.52,0.51,0.49,0.46,0.46,0.5,0.55,0.55,0.52,0.57,0.45,0.44,0.5,0.48,0.5,0.54,0.0,0.51,0.47,0.55,0.54,0.53,0.48,0.46,0.51,0.53,0.51,0.51,0.5,0.45,0.48,0.47,0.54,0.48,0.51,0.5,0.52,0.5,0.5,0.48,0.51,0.54,0.46,0.44,0.47,0.44,0.5,0.46,0.5,0.47,0.52,0.46,0.51,0.52,0.42,0.38,0.48,0.48,0.42,0.49,0.49,0.5,0.49,0.52,0.43,0.48,0.42,0.12,0.54,0.38,0.37,0.47,0.5,0.47,0.47,0.44,0.44,0.38,0.41,0.4,0.44,0.47,0.43,0.42,0.43,0.42,0.43,0.43,0.33,0.43,0.4,0.41,0.4,0.36,0.4,0.41,0.35,0.41,0.39,0.4,0.39,0.41,0.42,0.34,0.4,0.42,0.32,0.41,0.34,0.43,0.44,0.4,0.44,0.4,0.4,0.43,0.36,0.0,0.02,0.01,0.0,0.01,0.0,0.0,0.0,0.0,0.02,0.01,0.0,0.03,0.51,100.0
08/13/2021,1.44,0.8,0.69,0.81,0.67,0.0,0.69,0.69,0.6,0.74,0.59,0.73,0.72,0.66,0.65,0.75,0.61,0.6,0.69,0.66,0.56,0.67,0.56,0.58,0.6,0.61,0.65,0.65,0.57,0.63,0.62,0.63,0.56,0.66,0.55,0.61,0.44,0.65,0.49,0.6,0.6,0.58,0.56,0.55,0.55,0.45,0.64,0.57,0.56,0.59,0.56,0.53,0.56,0.54,0.56,0.55,0.54,0.58,0.49,0.58,0.58,0.65,0.52,0.75,0.55,0.55,0.55,0.52,0.51,0.52,0.46,0.59,0.49,0.0,0.51,0.59,0.58,0.51,0.49,0.51,0.52,0.5,0.45,0.46,0.51,0.55,0.55,0.5,0.56,0.45,0.44,0.49,0.48,0.5,0.54,0.0,0.51,0.47,0.56,0.54,0.52,0.48,0.46,0.51,0.53,0.51,0.5,0.5,0.45,0.49,0.46,0.54,0.48,0.5,0.5,0.52,0.5,0.51,0.49,0.5,0.54,0.47,0.44,0.47,0.44,0.49,0.45,0.5,0.46,0.52,0.46,0.52,0.53,0.42,0.38,0.49,0.47,0.41,0.53,0.49,0.5,0.47,0.52,0.42,0.48,0.42,0.13,0.52,0.38,0.37,0.46,0.54,0.47,0.47,0.44,0.43,0.38,0.39,0.4,0.43,0.47,0.44,0.42,0.44,0.42,0.46,0.43,0.35,0.42,0.4,0.4,0.39,0.38,0.4,0.41,0.35,0.41,0.4,0.39,0.41,0.41,0.42,0.34,0.39,0.42,0.32,0.39,0.34,0.43,0.45,0.4,0.44,0.42,0.41,0.43,0.36,0.01,0.02,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.01,0.0,0.03,0.52,100.06
08/16/2021,1.23,0.83,0.69,0.8,0.65,0.0,0.65,0.65,0.56,0.73,0.59,0.73,0.73,0.67,0.66,0.73,0.61,0.6,0.69,0.66,0.54,0.66,0.56,0.59,0.62,0.62,0.65,0.64,0.59,0.62,0.63,0.65,0.55,0.65,0.55,0.6,0.45,0.64,0.48,0.61,0.6,0.59,0.57,0.56,0.52,0.45,0.65,0.57,0.58,0.6,0.57,0.52,0.55,0.55,0.57,0.55,0.56,0.58,0.45,0.56,0.53,0.65,0.52,0.75,0.56,0.56,0.54,0.52,0.52,0.51,0.47,0.58,0.5,0.0,0.5,0.61,0.6,0.52,0.5,0.49,0.52,0.5,0.46,0.46,0.5,0.55,0.56,0.51,0.57,0.44,0.44,0.48,0.48,0.5,0.51,0.0,0.5,0.48,0.57,0.55,0.54,0.47,0.47,0.5,0.54,0.51,0.51,0.52,0.45,0.49,0.47,0.54,0.48,0.51,0.5,0.51,0.5,0.51,0.49,0.51,0.55,0.48,0.45,0.48,0.44,0.49,0.45,0.5,0.44,0.51,0.48,0.53,0.53,0.42,0.37,0.5,0.47,0.4,0.52,0.49,0.5,0.48,0.52,0.43,0.49,0.42,0.1,0.52,0.38,0.37,0.46,0.53,0.47,0.48,0.44,0.44,0.39,0.35,0.42,0.41,0.47,0.44,0.43,0.43,0.42,0.46,0.44,0.35,0.44,0.4,0.42,0.39,0.42,0.4,0.41,0.35,0.41,0.4,0.4,0.39,0.43,0.43,0.34,0.39,0.42,0.32,0.37,0.34,0.42,0.47,0.4,0.44,0.42,0.41,0.44,0.36,0.0,0.02,0.01,0.0,0.01,0.0,0.0,0.0,0.0,0.02,0.01,0.0,0.03,0.52,99.93
08/17/2021,1.28,0.83,0.7,0.79,0.65,0.0,0.66,0.65,0.57,0.73,0.59,0.73,0.74,0.68,0.66,0.71,0.62,0.59,0.7,0.66,0.54,0.66,0.56,0.56,0.61,0.62,0.65,0.65,0.59,0.62,0.64,0.64,0.55,0.65,0.55,0.6,0.44,0.64,0.45,0.61,0.61,0.59,0.56,0.56,0.51,0.44,0.66,0.57,0.58,0.61,0.57,0.52,0.55,0.56,0.57,0.55,0.55,0.58,0.45,0.56,0.55,0.66,0.52,0.74,0.56,0.56,0.56,0.52,0.52,0.51,0.47,0.58,0.5,0.0,0.5,0.6,0.61,0.53,0.51,0.49,0.54,0.5,0.45,0.45,0.49,0.56,0.56,0.51,0.57,0.43,0.42,0.48,0.48,0.5,0.51,0.0,0.51,0.48,0.57,0.56,0.54,0.47,0.48,0.51,0.54,0.51,0.51,0.52,0.44,0.5,0.47,0.54,0.47,0.51,0.5,0.51,0.5,0.51,0.49,0.51,0.55,0.48,0.45,0.48,0.44,0.49,0.45,0.5,0.42,0.5,0.48,0.52,0.53,0.42,0.37,0.5,0.48,0.41,0.53,0.49,0.5,0.48,0.52,0.41,0.49,0.42,0.09,0.54,0.37,0.37,0.46,0.53,0.47,0.48,0.44,0.43,0.39,0.35,0.43,0.43,0.47,0.44,0.42,0.43,0.42,0.46,0.44,0.34,0.44,0.39,0.42,0.39,0.41,0.4,0.4,0.35,0.41,0.4,0.42,0.4,0.44,0.43,0.35,0.39,0.42,0.31,0.37,0.35,0.43,0.47,0.4,0.43,0.42,0.41,0.44,0.36,0.0,0.02,0.01,0.0,0.01,0.0,0.0,0.0,0.0,0.02,0.01,0.0,0.03,0.51,99.98
08/18/2021,1.28,0.83,0.7,0.79,0.65,0.0,0.66,0.65,0.57,0.73,0.59,0.73,0.74,0.68,0.66,0.71,0.62,0.59,0.7,0.66,0.54,0.66,0.56,0.56,0.61,0.62,0.65,0.65,0.59,0.62,0.64,0.64,0.55,0.65,0.55,0.6,0.44,0.64,0.45,0.61,0.61,0.59,0.56,0.56,0.51,0.44,0.66,0.57,0.58,0.61,0.57,0.52,0.55,0.56,0.57,0.55,0.55,0.58,0.45,0.56,0.55,0.66,0.52,0.74,0.56,0.56,0.56,0.52,0.52,0.51,0.47,0.58,0.5,0.0,0.5,0.6,0.61,0.53,0.51,0.49,0.54,0.5,0.45,0.45,0.49,0.56,0.56,0.51,0.57,0.43,0.42,0.48,0.48,0.5,0.51,0.0,0.51,0.48,0.57,0.56,0.54,0.47,0.48,0.51,0.54,0.51,0.51,0.52,0.44,0.5,0.47,0.54,0.47,0.51,0.5,0.51,0.5,0.51,0.49,0.51,0.55,0.48,0.45,0.48,0.44,0.49,0.45,0.5,0.42,0.5,0.48,0.52,0.53,0.42,0.37,0.5,0.48,0.41,0.53,0.49,0.5,0.48,0.52,0.41,0.49,0.42,0.09,0.54,0.37,0.37,0.46,0.53,0.47,0.48,0.44,0.43,0.39,0.35,0.43,0.43,0.47,0.44,0.42,0.43,0.42,0.46,0.44,0.34,0.44,0.39,0.42,0.39,0.41,0.4,0.4,0.35,0.41,0.4,0.42,0.4,0.44,0.43,0.35,0.39,0.42,0.31,0.37,0.35,0.43,0.47,0.4,0.43,0.42,0.41,0.44,0.36,0.0,0.02,0.01,0.0,0.01,0.0,0.0,0.0,0.0,0.02,0.01,0.0,0.03,0.51,99.98
08/19/2021,1.28,0.83,0.69,0.79,0.62,0.0,0.65,0.66,0.56,0.74,0.59,0.73,0.74,0.69,0.66,0.71,0.62,0.59,0.7,0.67,0.53,0.65,0.57,0.57,0.61,0.61,0.66,0.65,0.6,0.62,0.63,0.65,0.55,0.67,0.54,0.6,0.43,0.64,0.44,0.61,0.61,0.6,0.57,0.56,0.52,0.43,0.66,0.57,0.59,0.61,0.57,0.53,0.54,0.56,0.58,0.56,0.55,0.59,0.46,0.56,0.55,0.65,0.53,0.71,0.57,0.56,0.56,0.53,0.53,0.51,0.47,0.57,0.5,0.0,0.5,0.6,0.62,0.54,0.5,0.5,0.54,0.5,0.46,0.46,0.5,0.56,0.56,0.52,0.57,0.44,0.39,0.49,0.48,0.5,0.5,0.0,0.51,0.49,0.57,0.56,0.54,0.48,0.48,0.51,0.54,0.52,0.52,0.52,0.45,0.5,0.48,0.55,0.48,0.51,0.51,0.51,0.51,0.51,0.48,0.51,0.55,0.48,0.46,0.49,0.44,0.48,0.45,0.51,0.42,0.5,0.46,0.5,0.53,0.42,0.37,0.5,0.48,0.41,0.54,0.49,0.5,0.48,0.53,0.4,0.5,0.42,0.09,0.52,0.36,0.37,0.45,0.51,0.47,0.48,0.45,0.43,0.39,0.35,0.43,0.43,0.48,0.44,0.41,0.43,0.42,0.46,0.44,0.33,0.42,0.38,0.43,0.38,0.41,0.4,0.4,0.35,0.41,0.4,0.41,0.4,0.44,0.43,0.35,0.39,0.42,0.3,0.36,0.34,0.43,0.46,0.4,0.44,0.42,0.41,0.44,0.36,0.0,0.02,0.01,0.0,0.01,0.0,0.0,0.01,0.0,0.02,0.0,0.0,0.03,0.51,100.02
