,ABT,ORCL,PAYX,CLX,TGT,TSM,SBUX,TROW,MSI,MS,MMC,LECO,HLI,LLY,ALL,OTEX.TO,PINC,DGX,RSG,TEL,TXN,WM,GS,HD,PG,UNP,UPS,UNH,WMT,LOW,NVO,RCI.B.TO,KMB,BLK,AOS,JCI,ABJA.,AEP,AMT,AZN,ADP,BDX,ADI,BR,JNJ,GLW,DCI,DOV,GRMN,CMS,INFY,PEP,PKG,NSC,NEE,NEU,MAA,MSM,MRK,MDT,PPL,MKC,PNW,PNC,PEG,PSA,ROK,SAP,SLGN,SNA,SON,THG,TRV,TRI.TO,GWW,WSO,JPM,LANC,HSY,INTC,CMCSA,INGR,MMM,AFL,ALE,AMGN,AJG,AIZ,T,CAT,CPK,CB,CL,CPT,STZ,FAST,HUBB,CCI,HON,GSK,GILD,HRL,ES,ENB.TO,EMR,CMI,RE,OTTR,PLD,PNM,PFE,PCAR,MDLZ,OGE,NOC,LMT,LIN,SLF.TO,RY.TO,YUM,T.TO,BK,BNS.TO,KO,HIG,SO,TD.TO,USB,UGI,UL,VZ,WEC,XEL,KL.TO,LHX,MCD,K,CBOE,JNPR,LNT,DOX,AWR,ABC,AGR,AVT,Axis Capital Holdings Limited,BAX,BMY,CHRW,CPB,CNR.NE,BCE.TO,CSCO,ERIE,JJSF,CNA,ITW,HE,GIS,IFF,DRE,CBSH,DUK,CTSH,DGE$.L,D,IDA,TM,SJM,SR,SSF.,SRE,SNY,RHI,RTX,OGS,NVSN.MX,NWE,MGEE,ATO,GD,CME,APD,FMS,ADM,BMO.TO,AEE,ED,CVS,ETR,EVRG,FTS.TO,BEN,AVA,BKH,CM.TO,CAJ,IBM,MTB,NJR,DTE,CNR.TO,AXS,Canon Inc ADR,SXT,ESLT.TA,AVY,ARE,O,PPG,Elbit Systems Ltd.,n/a,EXC,WLTW,MMS,688101.SS,688001.SS,GNTX,WDFC,POR,FDX,FIS,8CW.,PEP.,ALS.,PEO.,ATR,ROL,SEIC,WTW,KDP,SUM
07/09/2021,0.53,0.53,0.52,0.52,0.52,0.52,0.52,0.52,0.52,0.52,0.52,0.52,0.52,0.52,0.51,0.51,0.51,0.51,0.51,0.51,0.51,0.51,0.51,0.51,0.51,0.51,0.51,0.51,0.51,0.51,0.51,0.51,0.51,0.51,0.51,0.51,0.51,0.51,0.51,0.51,0.51,0.51,0.51,0.51,0.51,0.51,0.51,0.51,0.51,0.51,0.51,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.49,0.49,0.49,0.49,0.49,0.49,0.49,0.49,0.49,0.49,0.49,0.49,0.49,0.49,0.49,0.49,0.49,0.49,0.49,0.49,0.49,0.49,0.49,0.49,0.49,0.49,0.49,0.49,0.49,0.49,0.49,0.49,0.49,0.49,0.49,0.49,0.49,0.49,0.49,0.49,0.49,0.49,0.49,0.49,0.49,0.49,0.49,0.49,0.49,0.49,0.49,0.49,0.49,0.49,0.49,0.49,0.49,0.49,0.49,0.48,0.48,0.48,0.48,0.48,0.48,0.48,0.48,0.48,0.48,0.48,0.48,0.48,0.48,0.48,0.48,0.48,0.48,0.48,0.48,0.48,0.48,0.48,0.48,0.48,0.48,0.48,0.47,0.47,0.47,0.47,0.47,0.47,0.47,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.33
07/12/2021,0.53,0.55,0.53,0.51,0.52,0.52,0.52,0.52,0.52,0.51,0.51,0.52,0.51,0.52,0.51,0.5,0.51,0.51,0.51,0.51,0.5,0.5,0.51,0.51,0.5,0.5,0.52,0.51,0.5,0.51,0.51,0.5,0.51,0.51,0.51,0.52,0.52,0.5,0.51,0.5,0.51,0.51,0.5,0.51,0.51,0.51,0.51,0.51,0.51,0.5,0.51,0.5,0.5,0.49,0.49,0.49,0.52,0.5,0.5,0.5,0.5,0.49,0.5,0.5,0.49,0.5,0.51,0.52,0.5,0.51,0.5,0.5,0.51,0.5,0.5,0.51,0.51,0.5,0.5,0.49,0.5,0.5,0.5,0.49,0.5,0.5,0.49,0.5,0.48,0.5,0.49,0.5,0.5,0.51,0.49,0.51,0.52,0.5,0.51,0.49,0.5,0.49,0.5,0.49,0.5,0.5,0.5,0.49,0.5,0.49,0.49,0.49,0.49,0.48,0.49,0.49,0.5,0.49,0.49,0.5,0.49,0.49,0.48,0.49,0.49,0.48,0.47,0.5,0.49,0.49,0.49,0.5,0.49,0.48,0.49,0.5,0.49,0.49,0.49,0.49,0.49,0.49,0.48,0.49,0.49,0.49,0.48,0.49,0.48,0.49,0.5,0.49,0.5,0.48,0.48,0.48,0.5,0.48,0.49,0.49,0.5,0.49,0.49,0.49,0.48,0.49,0.48,0.49,0.49,0.47,0.48,0.47,0.48,0.49,0.48,0.47,0.48,0.48,0.49,0.49,0.49,0.48,0.48,0.48,0.48,0.48,0.48,0.48,0.47,0.48,0.48,0.48,0.49,0.0,0.47,0.47,0.48,0.47,0.47,0.47,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.26
07/13/2021,0.53,0.55,0.53,0.51,0.52,0.52,0.52,0.52,0.52,0.51,0.51,0.52,0.51,0.52,0.51,0.5,0.51,0.51,0.51,0.51,0.5,0.5,0.51,0.51,0.5,0.5,0.52,0.51,0.5,0.51,0.51,0.5,0.51,0.51,0.51,0.52,0.52,0.5,0.51,0.5,0.51,0.51,0.5,0.51,0.51,0.51,0.51,0.51,0.51,0.5,0.51,0.5,0.5,0.49,0.49,0.49,0.52,0.5,0.5,0.5,0.5,0.49,0.5,0.5,0.49,0.5,0.51,0.52,0.5,0.51,0.5,0.5,0.51,0.5,0.5,0.51,0.51,0.5,0.5,0.49,0.5,0.5,0.5,0.49,0.5,0.5,0.49,0.5,0.48,0.5,0.49,0.5,0.5,0.51,0.49,0.51,0.52,0.5,0.51,0.49,0.5,0.49,0.5,0.49,0.5,0.5,0.5,0.49,0.5,0.49,0.49,0.49,0.49,0.48,0.49,0.49,0.5,0.49,0.49,0.5,0.49,0.49,0.48,0.49,0.49,0.48,0.47,0.5,0.49,0.49,0.49,0.5,0.49,0.48,0.49,0.5,0.49,0.49,0.49,0.49,0.49,0.49,0.48,0.49,0.49,0.49,0.48,0.49,0.48,0.49,0.5,0.49,0.5,0.48,0.48,0.48,0.5,0.48,0.49,0.49,0.5,0.49,0.49,0.49,0.48,0.49,0.48,0.49,0.49,0.47,0.48,0.47,0.48,0.49,0.48,0.47,0.48,0.48,0.49,0.49,0.49,0.48,0.48,0.48,0.48,0.48,0.48,0.48,0.47,0.48,0.48,0.48,0.49,0.0,0.47,0.47,0.48,0.47,0.47,0.47,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.26
07/14/2021,0.53,0.55,0.53,0.51,0.52,0.52,0.52,0.52,0.52,0.52,0.51,0.52,0.51,0.52,0.51,0.51,0.51,0.51,0.51,0.51,0.5,0.5,0.51,0.51,0.51,0.5,0.52,0.51,0.5,0.51,0.51,0.5,0.51,0.51,0.51,0.52,0.52,0.5,0.51,0.5,0.51,0.51,0.5,0.51,0.51,0.51,0.51,0.51,0.51,0.51,0.51,0.5,0.5,0.49,0.49,0.49,0.52,0.5,0.5,0.5,0.5,0.49,0.5,0.51,0.49,0.5,0.51,0.52,0.5,0.51,0.5,0.5,0.51,0.51,0.5,0.51,0.51,0.5,0.5,0.49,0.5,0.5,0.51,0.49,0.5,0.5,0.49,0.5,0.48,0.5,0.49,0.5,0.5,0.51,0.49,0.51,0.52,0.5,0.51,0.5,0.5,0.49,0.5,0.49,0.5,0.5,0.5,0.49,0.5,0.49,0.49,0.49,0.49,0.48,0.49,0.49,0.5,0.49,0.49,0.5,0.49,0.49,0.48,0.49,0.49,0.48,0.47,0.5,0.49,0.49,0.49,0.5,0.49,0.48,0.49,0.5,0.49,0.49,0.49,0.49,0.49,0.5,0.48,0.49,0.49,0.0,0.48,0.49,0.48,0.49,0.0,0.49,0.5,0.49,0.48,0.48,0.5,0.49,0.49,0.49,0.5,0.49,0.49,0.49,0.48,0.49,0.48,0.49,0.49,0.47,0.0,0.47,0.48,0.49,0.48,0.47,0.48,0.48,0.49,0.49,0.49,0.48,0.48,0.48,0.48,0.48,0.48,0.48,0.47,0.48,0.48,0.48,0.49,0.47,0.47,0.47,0.0,0.47,0.47,0.0,0.5,0.5,0.49,0.48,0.48,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.37
07/15/2021,0.52,0.55,0.53,0.51,0.53,0.53,0.52,0.54,0.52,0.53,0.51,0.52,0.52,0.52,0.51,0.5,0.51,0.51,0.51,0.52,0.5,0.5,0.52,0.51,0.5,0.5,0.51,0.51,0.5,0.51,0.51,0.5,0.51,0.52,0.51,0.52,0.52,0.5,0.51,0.51,0.51,0.51,0.5,0.51,0.51,0.51,0.51,0.52,0.52,0.5,0.5,0.5,0.5,0.48,0.49,0.49,0.52,0.5,0.49,0.5,0.49,0.49,0.5,0.51,0.49,0.51,0.51,0.52,0.49,0.5,0.5,0.51,0.51,0.5,0.5,0.51,0.51,0.5,0.5,0.5,0.5,0.49,0.5,0.49,0.5,0.5,0.49,0.5,0.48,0.5,0.49,0.51,0.5,0.51,0.49,0.51,0.52,0.5,0.51,0.5,0.49,0.48,0.5,0.49,0.51,0.5,0.5,0.49,0.51,0.49,0.49,0.49,0.49,0.48,0.49,0.48,0.5,0.5,0.49,0.49,0.49,0.5,0.48,0.49,0.5,0.48,0.47,0.5,0.49,0.49,0.49,0.5,0.49,0.49,0.49,0.49,0.49,0.49,0.48,0.49,0.49,0.5,0.48,0.49,0.49,0.0,0.49,0.49,0.48,0.49,0.0,0.49,0.49,0.48,0.48,0.48,0.5,0.48,0.48,0.49,0.51,0.49,0.49,0.49,0.48,0.49,0.48,0.49,0.49,0.48,0.0,0.47,0.49,0.49,0.48,0.48,0.48,0.48,0.49,0.49,0.49,0.48,0.48,0.49,0.47,0.48,0.49,0.48,0.48,0.48,0.48,0.48,0.49,0.0,0.47,0.47,0.0,0.47,0.47,0.47,0.5,0.49,0.5,0.47,0.48,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.41
07/16/2021,0.52,0.55,0.53,0.51,0.53,0.53,0.53,0.53,0.52,0.53,0.51,0.52,0.52,0.52,0.51,0.5,0.5,0.51,0.51,0.51,0.51,0.5,0.52,0.51,0.51,0.5,0.51,0.52,0.51,0.51,0.52,0.5,0.51,0.52,0.52,0.52,0.52,0.5,0.51,0.51,0.51,0.51,0.5,0.51,0.51,0.51,0.52,0.52,0.52,0.5,0.5,0.51,0.5,0.49,0.5,0.48,0.52,0.49,0.5,0.5,0.49,0.48,0.5,0.51,0.49,0.5,0.51,0.52,0.49,0.5,0.5,0.5,0.51,0.51,0.5,0.5,0.51,0.5,0.5,0.5,0.5,0.48,0.5,0.49,0.5,0.5,0.49,0.49,0.48,0.5,0.49,0.5,0.5,0.51,0.49,0.51,0.52,0.5,0.51,0.5,0.5,0.49,0.51,0.49,0.51,0.5,0.49,0.49,0.5,0.49,0.5,0.49,0.5,0.48,0.48,0.49,0.49,0.49,0.49,0.49,0.49,0.5,0.48,0.5,0.5,0.48,0.47,0.5,0.49,0.49,0.49,0.5,0.5,0.5,0.5,0.5,0.48,0.49,0.49,0.49,0.49,0.5,0.48,0.5,0.49,0.0,0.49,0.5,0.48,0.48,0.0,0.5,0.49,0.48,0.48,0.48,0.5,0.48,0.48,0.48,0.5,0.49,0.49,0.49,0.49,0.48,0.48,0.49,0.49,0.48,0.0,0.47,0.49,0.49,0.48,0.48,0.49,0.48,0.49,0.49,0.49,0.48,0.48,0.49,0.47,0.48,0.49,0.48,0.48,0.48,0.48,0.48,0.47,0.46,0.47,0.48,0.0,0.47,0.47,0.0,0.5,0.49,0.5,0.48,0.47,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.47
07/19/2021,0.51,0.54,0.53,0.51,0.53,0.5,0.52,0.52,0.52,0.53,0.51,0.52,0.5,0.51,0.5,0.49,0.51,0.51,0.52,0.51,0.5,0.51,0.51,0.51,0.51,0.5,0.51,0.52,0.51,0.51,0.52,0.5,0.51,0.5,0.51,0.52,0.52,0.51,0.51,0.48,0.52,0.5,0.49,0.52,0.5,0.5,0.52,0.52,0.51,0.51,0.5,0.52,0.49,0.49,0.51,0.48,0.53,0.49,0.5,0.49,0.49,0.49,0.5,0.5,0.5,0.51,0.51,0.51,0.49,0.5,0.5,0.5,0.51,0.5,0.5,0.5,0.51,0.5,0.51,0.49,0.5,0.48,0.51,0.49,0.51,0.5,0.49,0.49,0.48,0.49,0.5,0.51,0.5,0.52,0.49,0.51,0.52,0.5,0.53,0.49,0.5,0.49,0.52,0.48,0.51,0.5,0.5,0.5,0.51,0.49,0.5,0.49,0.5,0.49,0.48,0.48,0.5,0.49,0.49,0.49,0.48,0.48,0.48,0.51,0.5,0.49,0.46,0.51,0.49,0.49,0.49,0.51,0.5,0.51,0.49,0.5,0.49,0.49,0.5,0.49,0.49,0.5,0.48,0.5,0.49,0.0,0.49,0.49,0.49,0.48,0.0,0.49,0.49,0.47,0.48,0.48,0.5,0.49,0.49,0.48,0.51,0.49,0.5,0.48,0.49,0.49,0.5,0.49,0.49,0.48,0.0,0.47,0.48,0.48,0.47,0.48,0.48,0.49,0.5,0.5,0.49,0.48,0.48,0.48,0.47,0.47,0.49,0.48,0.48,0.49,0.49,0.48,0.0,0.47,0.48,0.47,0.0,0.47,0.47,0.46,0.5,0.49,0.5,0.48,0.46,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.43
07/20/2021,0.52,0.55,0.53,0.53,0.53,0.5,0.52,0.52,0.51,0.52,0.51,0.52,0.51,0.51,0.5,0.49,0.51,0.51,0.52,0.5,0.49,0.51,0.5,0.51,0.52,0.49,0.51,0.52,0.51,0.51,0.53,0.5,0.52,0.5,0.51,0.52,0.51,0.52,0.52,0.48,0.51,0.51,0.48,0.52,0.5,0.5,0.52,0.52,0.52,0.52,0.5,0.52,0.49,0.48,0.51,0.48,0.53,0.48,0.5,0.49,0.5,0.49,0.51,0.49,0.5,0.51,0.51,0.51,0.48,0.49,0.5,0.5,0.52,0.51,0.5,0.49,0.5,0.51,0.51,0.48,0.49,0.47,0.5,0.49,0.51,0.51,0.49,0.49,0.48,0.48,0.5,0.51,0.51,0.52,0.49,0.51,0.52,0.5,0.52,0.49,0.5,0.49,0.53,0.48,0.5,0.5,0.5,0.51,0.51,0.49,0.5,0.49,0.5,0.49,0.48,0.48,0.49,0.49,0.48,0.49,0.48,0.49,0.47,0.51,0.5,0.5,0.46,0.5,0.49,0.49,0.49,0.52,0.5,0.5,0.49,0.49,0.49,0.48,0.49,0.5,0.49,0.52,0.47,0.5,0.48,0.0,0.49,0.49,0.48,0.49,0.0,0.49,0.5,0.48,0.47,0.48,0.5,0.49,0.49,0.47,0.51,0.49,0.51,0.48,0.49,0.5,0.51,0.49,0.5,0.48,0.0,0.48,0.48,0.48,0.47,0.48,0.48,0.49,0.51,0.5,0.49,0.48,0.47,0.49,0.46,0.47,0.5,0.49,0.48,0.49,0.5,0.48,0.0,0.47,0.48,0.47,0.0,0.46,0.45,0.46,0.51,0.49,0.5,0.47,0.46,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.43
07/21/2021,0.52,0.55,0.53,0.53,0.53,0.5,0.52,0.52,0.51,0.52,0.51,0.52,0.51,0.51,0.5,0.49,0.51,0.51,0.52,0.5,0.49,0.51,0.5,0.51,0.52,0.49,0.51,0.52,0.51,0.51,0.53,0.5,0.52,0.5,0.51,0.52,0.51,0.52,0.52,0.48,0.51,0.51,0.48,0.52,0.5,0.5,0.52,0.52,0.52,0.52,0.5,0.52,0.49,0.48,0.51,0.48,0.53,0.48,0.5,0.49,0.5,0.49,0.51,0.49,0.5,0.51,0.51,0.51,0.48,0.49,0.5,0.5,0.52,0.51,0.5,0.49,0.5,0.51,0.51,0.48,0.49,0.47,0.5,0.49,0.51,0.51,0.49,0.49,0.48,0.48,0.5,0.51,0.51,0.52,0.49,0.51,0.52,0.5,0.52,0.49,0.5,0.49,0.53,0.48,0.5,0.5,0.5,0.51,0.51,0.49,0.5,0.49,0.5,0.49,0.48,0.48,0.49,0.49,0.48,0.49,0.48,0.49,0.47,0.51,0.5,0.5,0.46,0.5,0.49,0.49,0.49,0.52,0.5,0.5,0.49,0.49,0.49,0.48,0.49,0.5,0.49,0.52,0.47,0.5,0.48,0.0,0.49,0.49,0.48,0.49,0.0,0.49,0.5,0.48,0.47,0.48,0.5,0.49,0.49,0.47,0.51,0.49,0.51,0.48,0.49,0.5,0.51,0.49,0.5,0.48,0.0,0.48,0.48,0.48,0.47,0.48,0.48,0.49,0.51,0.5,0.49,0.48,0.47,0.49,0.46,0.47,0.5,0.49,0.48,0.49,0.5,0.48,0.0,0.47,0.48,0.47,0.0,0.46,0.45,0.46,0.51,0.49,0.5,0.47,0.46,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.43
07/22/2021,0.53,0.56,0.53,0.54,0.53,0.5,0.52,0.51,0.51,0.52,0.51,0.51,0.51,0.52,0.5,0.49,0.51,0.52,0.52,0.5,0.5,0.51,0.49,0.52,0.53,0.49,0.52,0.51,0.52,0.51,0.53,0.5,0.53,0.49,0.51,0.51,0.51,0.51,0.52,0.48,0.51,0.51,0.48,0.52,0.51,0.5,0.51,0.52,0.52,0.52,0.5,0.53,0.49,0.48,0.52,0.49,0.53,0.48,0.5,0.49,0.5,0.51,0.51,0.48,0.5,0.51,0.52,0.51,0.48,0.49,0.5,0.49,0.51,0.51,0.5,0.49,0.49,0.51,0.52,0.49,0.49,0.47,0.5,0.48,0.5,0.51,0.49,0.49,0.48,0.47,0.5,0.5,0.51,0.53,0.49,0.52,0.52,0.51,0.51,0.49,0.5,0.5,0.53,0.47,0.49,0.49,0.48,0.5,0.51,0.5,0.51,0.49,0.51,0.48,0.47,0.48,0.49,0.49,0.48,0.48,0.48,0.48,0.46,0.51,0.49,0.5,0.45,0.48,0.48,0.49,0.49,0.52,0.51,0.5,0.49,0.49,0.5,0.49,0.48,0.5,0.48,0.52,0.48,0.5,0.48,0.5,0.49,0.49,0.49,0.5,0.48,0.49,0.5,0.48,0.48,0.47,0.5,0.49,0.5,0.47,0.51,0.48,0.51,0.48,0.48,0.5,0.51,0.49,0.51,0.47,0.45,0.47,0.48,0.48,0.46,0.48,0.48,0.49,0.5,0.5,0.48,0.48,0.47,0.48,0.46,0.46,0.5,0.49,0.48,0.48,0.5,0.48,0.44,0.48,0.47,0.46,0.5,0.47,0.0,0.45,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.31
07/23/2021,0.52,0.56,0.52,0.52,0.54,0.5,0.52,0.52,0.51,0.53,0.51,0.52,0.52,0.52,0.49,0.5,0.51,0.52,0.52,0.51,0.5,0.51,0.5,0.52,0.52,0.49,0.51,0.51,0.51,0.51,0.52,0.5,0.52,0.5,0.51,0.52,0.51,0.51,0.52,0.49,0.51,0.5,0.48,0.52,0.51,0.5,0.52,0.55,0.52,0.52,0.5,0.52,0.48,0.48,0.51,0.48,0.54,0.48,0.49,0.49,0.49,0.5,0.51,0.49,0.5,0.51,0.52,0.5,0.48,0.5,0.49,0.49,0.5,0.51,0.51,0.5,0.49,0.5,0.52,0.49,0.49,0.48,0.51,0.49,0.51,0.51,0.49,0.49,0.47,0.48,0.5,0.52,0.5,0.53,0.49,0.52,0.54,0.51,0.52,0.48,0.51,0.49,0.52,0.47,0.5,0.5,0.49,0.51,0.51,0.49,0.51,0.5,0.51,0.49,0.47,0.49,0.5,0.49,0.48,0.49,0.48,0.49,0.47,0.51,0.49,0.5,0.45,0.49,0.49,0.48,0.49,0.51,0.5,0.5,0.5,0.5,0.49,0.48,0.48,0.5,0.48,0.52,0.49,0.49,0.49,0.0,0.49,0.49,0.49,0.49,0.0,0.49,0.5,0.48,0.48,0.48,0.51,0.5,0.49,0.48,0.52,0.49,0.5,0.48,0.48,0.49,0.51,0.49,0.5,0.47,0.0,0.47,0.48,0.48,0.47,0.48,0.47,0.49,0.5,0.49,0.49,0.48,0.47,0.47,0.46,0.46,0.5,0.48,0.48,0.48,0.49,0.48,0.0,0.48,0.48,0.46,0.0,0.47,0.45,0.46,0.51,0.48,0.49,0.52,0.45,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.48
07/26/2021,0.52,0.57,0.53,0.52,0.54,0.5,0.55,0.53,0.51,0.55,0.53,0.52,0.53,0.53,0.49,0.5,0.51,0.53,0.52,0.52,0.49,0.51,0.51,0.52,0.51,0.5,0.52,0.52,0.51,0.51,0.53,0.49,0.51,0.5,0.5,0.52,0.53,0.5,0.52,0.49,0.51,0.51,0.49,0.52,0.51,0.51,0.52,0.56,0.52,0.52,0.51,0.52,0.48,0.49,0.51,0.47,0.53,0.48,0.49,0.5,0.49,0.48,0.5,0.49,0.49,0.5,0.52,0.49,0.47,0.5,0.47,0.48,0.49,0.52,0.5,0.5,0.5,0.49,0.51,0.49,0.5,0.47,0.5,0.49,0.49,0.5,0.5,0.49,0.48,0.48,0.49,0.52,0.5,0.53,0.49,0.52,0.54,0.48,0.53,0.49,0.5,0.48,0.52,0.48,0.51,0.5,0.49,0.49,0.51,0.49,0.52,0.49,0.5,0.48,0.47,0.49,0.51,0.49,0.48,0.51,0.48,0.5,0.47,0.51,0.49,0.5,0.46,0.49,0.48,0.46,0.49,0.5,0.49,0.49,0.5,0.51,0.48,0.49,0.49,0.5,0.48,0.51,0.51,0.49,0.49,0.0,0.49,0.5,0.48,0.48,0.0,0.49,0.51,0.47,0.47,0.47,0.5,0.49,0.48,0.49,0.51,0.48,0.5,0.48,0.48,0.48,0.5,0.49,0.49,0.45,0.0,0.46,0.48,0.49,0.48,0.47,0.48,0.49,0.49,0.49,0.49,0.48,0.48,0.48,0.46,0.47,0.49,0.48,0.49,0.48,0.5,0.48,0.45,0.47,0.47,0.47,0.0,0.47,0.0,0.45,0.5,0.49,0.49,0.5,0.46,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.39
07/27/2021,0.53,0.55,0.53,0.52,0.55,0.5,0.55,0.53,0.51,0.54,0.53,0.52,0.54,0.54,0.49,0.5,0.5,0.53,0.52,0.51,0.49,0.51,0.51,0.53,0.51,0.49,0.51,0.51,0.51,0.52,0.54,0.48,0.51,0.49,0.5,0.52,0.53,0.5,0.52,0.49,0.51,0.51,0.49,0.52,0.51,0.51,0.51,0.55,0.53,0.52,0.52,0.52,0.48,0.49,0.51,0.47,0.54,0.47,0.49,0.5,0.49,0.48,0.5,0.49,0.5,0.51,0.52,0.48,0.47,0.5,0.46,0.48,0.49,0.52,0.5,0.51,0.49,0.5,0.51,0.46,0.5,0.47,0.5,0.49,0.5,0.5,0.5,0.49,0.48,0.48,0.5,0.51,0.5,0.53,0.49,0.52,0.53,0.48,0.52,0.49,0.5,0.48,0.52,0.47,0.51,0.49,0.49,0.5,0.51,0.49,0.52,0.49,0.51,0.48,0.47,0.49,0.51,0.49,0.48,0.51,0.48,0.49,0.47,0.51,0.48,0.5,0.45,0.49,0.49,0.46,0.48,0.51,0.5,0.49,0.5,0.51,0.48,0.5,0.49,0.5,0.48,0.52,0.51,0.48,0.5,0.0,0.49,0.5,0.48,0.48,0.0,0.49,0.51,0.47,0.47,0.47,0.5,0.49,0.48,0.49,0.51,0.48,0.5,0.49,0.48,0.48,0.51,0.49,0.49,0.46,0.0,0.46,0.48,0.52,0.48,0.48,0.48,0.49,0.5,0.49,0.49,0.48,0.48,0.48,0.46,0.47,0.49,0.48,0.48,0.48,0.5,0.48,0.44,0.48,0.48,0.47,0.0,0.47,0.0,0.45,0.5,0.49,0.49,0.5,0.47,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.43
