,AAPL,MSFT,AMZN,FB,GOOG,GOOGL,TSLA,NVDA,PYPL,CMCSA,ADBE,INTC,NFLX,CSCO,PEP,AVGO,TMUS,TXN,COST,HON,QCOM,AMGN,CHTR,SBUX,AMAT,INTU,ISRG,BKNG,AMD,MU,LRCX,MDLZ,ADP,GILD,CME,ZM,FISV,CSX,MRNA,ATVI,MELI,EQIX,ADSK,JD,ADI,ILMN,NXPI,KHC,VRTX,BTIC E-mini Nasdaq 100 Future June 21,BIDU,REGN,ASML,KDP,MNST,KLAC,IDXX,MAR,ALGN,WBA,EXC,ROST,AEP,EBAY,TROW,BIIB,MCHP,EA,Fidelity Revere Str Tr,CRWD,WDAY,LULU,MTCH,SNPS,ALXN,NTES,ROKU,CTSH,DOCU,ORLY,CTAS,PDD,XEL,PAYX,DXCM,CDNS,WLTW,FTNT,CSGP,MRVL,COIN,SIVB,SBAC,XLNX,FITB,PCAR,CPRT,ODFL,TEAM,FAST,NTRS,SGEN,ANSS,PTON,SWKS,VRSK,AZN,NDAQ,MXIM,GRMN,ZBRA,ABNB,LBRDK,SIRI,ZS,OKTA,TTD,EXPE,VIAC,VRSN,WDC,STX,CERN,DLTR,CZR,TCOM,TER,NVCR,CDW,YNDX,LOGN.SW,QRVO,DDOG,ETSY,TTWO,TSCO,CINF,CVAC,FANG,HZNP,EXPD,TRMB,SPLK,Z,BILI,SSNC,DKNG,ULTA,PODD,INCY,PFG,VTRS,ENPH,LYFT,AKAM,MKTX,UAL,EXAS,NTAP,MDB,POOL,JBHT,BGNE,ALNY,STNE,HBAN,ACGL,PLUG,TECH,PPD,CG,HOLX,CHKP,RPRX,PTC,COUP,ENTG,MPWR,ON,XRAY,NLOK,AAL,WYNN,SBNY,BMRN,XP,APP,CGNX,NUAN,BSY,STLD,LKQ,IEP,SEDG,BNTX,TXG,CTXS,HAS,WIX,LNT,E-mini Nasdaq 100 Future Sept 21,LI,NVAX,SOFI,ABMD,FUTU,MASI,688101.SS,n/a,SUM
07/23/2021,9.55,8.6,7.41,3.61,3.61,3.24,2.75,1.84,1.39,1.2,1.11,1.06,1.03,1.02,0.94,0.88,0.81,0.8,0.77,0.74,0.7,0.63,0.62,0.62,0.59,0.54,0.46,0.46,0.45,0.44,0.43,0.41,0.39,0.39,0.37,0.36,0.36,0.35,0.35,0.35,0.32,0.3,0.29,0.28,0.28,0.27,0.27,0.25,0.25,0.25,0.25,0.24,0.24,0.24,0.23,0.23,0.22,0.22,0.22,0.22,0.21,0.21,0.2,0.2,0.2,0.2,0.2,0.19,0.19,0.19,0.19,0.19,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.17,0.17,0.17,0.17,0.17,0.17,0.16,0.16,0.16,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.14,0.14,0.14,0.14,0.14,0.14,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,82.79000000000002
07/26/2021,9.55,8.6,7.41,3.61,3.61,3.24,2.75,1.84,1.39,1.2,1.11,1.06,1.03,1.02,0.94,0.88,0.81,0.8,0.77,0.74,0.7,0.63,0.62,0.62,0.59,0.54,0.46,0.46,0.45,0.44,0.43,0.41,0.39,0.39,0.37,0.36,0.36,0.35,0.35,0.35,0.32,0.3,0.29,0.28,0.28,0.27,0.27,0.25,0.25,0.25,0.25,0.24,0.24,0.24,0.23,0.23,0.22,0.22,0.22,0.22,0.21,0.21,0.2,0.2,0.2,0.2,0.2,0.19,0.19,0.19,0.19,0.19,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.17,0.17,0.17,0.17,0.17,0.17,0.16,0.16,0.16,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.14,0.14,0.14,0.14,0.14,0.14,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,82.79000000000002
07/27/2021,9.55,8.6,7.41,3.61,3.61,3.24,2.75,1.84,1.39,1.2,1.11,1.06,1.03,1.02,0.94,0.88,0.81,0.8,0.77,0.74,0.7,0.63,0.62,0.62,0.59,0.54,0.46,0.46,0.45,0.44,0.43,0.41,0.39,0.39,0.37,0.36,0.36,0.35,0.35,0.35,0.32,0.3,0.29,0.28,0.28,0.27,0.27,0.25,0.25,0.25,0.25,0.24,0.24,0.24,0.23,0.23,0.22,0.22,0.22,0.22,0.21,0.21,0.2,0.2,0.2,0.2,0.2,0.19,0.19,0.19,0.19,0.19,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.17,0.17,0.17,0.17,0.17,0.17,0.16,0.16,0.16,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.14,0.14,0.14,0.14,0.14,0.14,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,82.79000000000002
07/28/2021,9.55,8.6,7.41,3.61,3.61,3.24,2.75,1.84,1.39,1.2,1.11,1.06,1.03,1.02,0.94,0.88,0.81,0.8,0.77,0.74,0.7,0.63,0.62,0.62,0.59,0.54,0.46,0.46,0.45,0.44,0.43,0.41,0.39,0.39,0.37,0.36,0.36,0.35,0.35,0.35,0.32,0.3,0.29,0.28,0.28,0.27,0.27,0.25,0.25,0.25,0.25,0.24,0.24,0.24,0.23,0.23,0.22,0.22,0.22,0.22,0.21,0.21,0.2,0.2,0.2,0.2,0.2,0.19,0.19,0.19,0.19,0.19,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.17,0.17,0.17,0.17,0.17,0.17,0.16,0.16,0.16,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.14,0.14,0.14,0.14,0.14,0.14,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,82.79000000000002
07/29/2021,9.55,8.6,7.41,3.61,3.61,3.24,2.75,1.84,1.39,1.2,1.11,1.06,1.03,1.02,0.94,0.88,0.81,0.8,0.77,0.74,0.7,0.63,0.62,0.62,0.59,0.54,0.46,0.46,0.45,0.44,0.43,0.41,0.39,0.39,0.37,0.36,0.36,0.35,0.35,0.35,0.32,0.3,0.29,0.28,0.28,0.27,0.27,0.25,0.25,0.25,0.25,0.24,0.24,0.24,0.23,0.23,0.22,0.22,0.22,0.22,0.21,0.21,0.2,0.2,0.2,0.2,0.2,0.19,0.19,0.19,0.19,0.19,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.17,0.17,0.17,0.17,0.17,0.17,0.16,0.16,0.16,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.14,0.14,0.14,0.14,0.14,0.14,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,82.79000000000002
07/30/2021,9.55,8.6,7.41,3.61,3.61,3.24,2.75,1.84,1.39,1.2,1.11,1.06,1.03,1.02,0.94,0.88,0.81,0.8,0.77,0.74,0.7,0.63,0.62,0.62,0.59,0.54,0.46,0.46,0.45,0.44,0.43,0.41,0.39,0.39,0.37,0.36,0.36,0.35,0.35,0.35,0.32,0.3,0.29,0.28,0.28,0.27,0.27,0.25,0.25,0.25,0.25,0.24,0.24,0.24,0.23,0.23,0.22,0.22,0.22,0.22,0.21,0.21,0.2,0.2,0.2,0.2,0.2,0.19,0.19,0.19,0.19,0.19,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.17,0.17,0.17,0.17,0.17,0.17,0.16,0.16,0.16,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.14,0.14,0.14,0.14,0.14,0.14,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,82.79000000000002
08/02/2021,9.55,8.6,7.41,3.61,3.61,3.24,2.75,1.84,1.39,1.2,1.11,1.06,1.03,1.02,0.94,0.88,0.81,0.8,0.77,0.74,0.7,0.63,0.62,0.62,0.59,0.54,0.46,0.46,0.45,0.44,0.43,0.41,0.39,0.39,0.37,0.36,0.36,0.35,0.35,0.35,0.32,0.3,0.29,0.28,0.28,0.27,0.27,0.25,0.25,0.25,0.25,0.24,0.24,0.24,0.23,0.23,0.22,0.22,0.22,0.22,0.21,0.21,0.2,0.2,0.2,0.2,0.2,0.19,0.19,0.19,0.19,0.19,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.17,0.17,0.17,0.17,0.17,0.17,0.16,0.16,0.16,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.14,0.14,0.14,0.14,0.14,0.14,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,82.79000000000002
08/03/2021,9.55,8.6,7.41,3.61,3.61,3.24,2.75,1.84,1.39,1.2,1.11,1.06,1.03,1.02,0.94,0.88,0.81,0.8,0.77,0.74,0.7,0.63,0.62,0.62,0.59,0.54,0.46,0.46,0.45,0.44,0.43,0.41,0.39,0.39,0.37,0.36,0.36,0.35,0.35,0.35,0.32,0.3,0.29,0.28,0.28,0.27,0.27,0.25,0.25,0.25,0.25,0.24,0.24,0.24,0.23,0.23,0.22,0.22,0.22,0.22,0.21,0.21,0.2,0.2,0.2,0.2,0.2,0.19,0.19,0.19,0.19,0.19,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.17,0.17,0.17,0.17,0.17,0.17,0.16,0.16,0.16,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.14,0.14,0.14,0.14,0.14,0.14,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,82.79000000000002
08/04/2021,9.55,8.6,7.41,3.61,3.61,3.24,2.75,1.84,1.39,1.2,1.11,1.06,1.03,1.02,0.94,0.88,0.81,0.8,0.77,0.74,0.7,0.63,0.62,0.62,0.59,0.54,0.46,0.46,0.45,0.44,0.43,0.41,0.39,0.39,0.37,0.36,0.36,0.35,0.35,0.35,0.32,0.3,0.29,0.28,0.28,0.27,0.27,0.25,0.25,0.25,0.25,0.24,0.24,0.24,0.23,0.23,0.22,0.22,0.22,0.22,0.21,0.21,0.2,0.2,0.2,0.2,0.2,0.19,0.19,0.19,0.19,0.19,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.17,0.17,0.17,0.17,0.17,0.17,0.16,0.16,0.16,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.14,0.14,0.14,0.14,0.14,0.14,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,82.79000000000002
08/05/2021,9.55,8.6,7.41,3.61,3.61,3.24,2.75,1.84,1.39,1.2,1.11,1.06,1.03,1.02,0.94,0.88,0.81,0.8,0.77,0.74,0.7,0.63,0.62,0.62,0.59,0.54,0.46,0.46,0.45,0.44,0.43,0.41,0.39,0.39,0.37,0.36,0.36,0.35,0.35,0.35,0.32,0.3,0.29,0.28,0.28,0.27,0.27,0.25,0.25,0.25,0.25,0.24,0.24,0.24,0.23,0.23,0.22,0.22,0.22,0.22,0.21,0.21,0.2,0.2,0.2,0.2,0.2,0.19,0.19,0.19,0.19,0.19,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.17,0.17,0.17,0.17,0.17,0.17,0.16,0.16,0.16,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.14,0.14,0.14,0.14,0.14,0.14,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,82.79000000000002
08/06/2021,9.81,8.76,7.45,3.57,3.49,3.16,2.81,2.12,1.45,1.13,1.18,0.97,1.0,0.94,0.86,0.85,0.78,0.77,0.77,0.67,0.71,0.61,0.57,0.57,0.58,0.56,0.47,0.4,0.5,0.42,0.41,0.36,0.37,0.38,0.34,0.4,0.31,0.32,0.42,0.32,0.35,0.31,0.28,0.29,0.28,0.3,0.25,0.23,0.23,0.0,0.25,0.26,0.24,0.22,0.21,0.22,0.24,0.2,0.22,0.21,0.2,0.19,0.19,0.22,0.2,0.24,0.18,0.18,0.22,0.2,0.19,0.2,0.19,0.19,0.18,0.17,0.23,0.16,0.23,0.18,0.18,0.22,0.15,0.17,0.19,0.17,0.14,0.17,0.14,0.23,0.15,0.14,0.15,0.16,0.13,0.13,0.14,0.13,0.15,0.13,0.12,0.13,0.13,0.14,0.14,0.13,0.11,0.13,0.1,0.12,0.13,0.13,0.12,0.12,0.13,0.13,0.15,0.1,0.12,0.11,0.1,0.1,0.1,0.11,0.1,0.09,0.1,0.11,0.1,0.1,0.09,0.1,0.11,0.12,0.09,0.09,0.09,0.0,0.09,0.09,0.09,0.09,0.1,0.1,0.1,0.08,0.09,0.09,0.09,0.09,0.08,0.08,0.11,0.09,0.08,0.08,0.07,0.09,0.08,0.1,0.08,0.07,0.07,0.09,0.08,0.1,0.07,0.08,0.08,0.07,0.08,0.08,0.07,0.07,0.08,0.08,0.08,0.08,0.07,0.07,0.07,0.0,0.06,0.06,0.07,0.07,0.07,0.07,0.06,0.07,0.0,0.0,0.06,0.07,0.07,0.07,0.06,0.0,0.07,0.0,0.25,0.09,0.07,0.07,0.07,0.07,0.06,0.0,0.0,82.84000000000002
08/25/2021,9.81,8.76,7.45,3.57,3.49,3.16,2.81,2.12,1.45,1.13,1.18,0.97,1.0,0.94,0.86,0.85,0.78,0.77,0.77,0.67,0.71,0.61,0.57,0.57,0.58,0.56,0.47,0.4,0.5,0.42,0.41,0.36,0.37,0.38,0.34,0.4,0.31,0.32,0.42,0.32,0.35,0.31,0.28,0.29,0.28,0.3,0.25,0.23,0.23,0.0,0.25,0.26,0.24,0.22,0.21,0.22,0.24,0.2,0.22,0.21,0.2,0.19,0.19,0.22,0.2,0.24,0.18,0.18,0.0,0.2,0.19,0.2,0.19,0.19,0.18,0.17,0.23,0.16,0.23,0.18,0.18,0.22,0.15,0.17,0.19,0.17,0.14,0.17,0.14,0.23,0.15,0.14,0.15,0.16,0.13,0.13,0.14,0.13,0.15,0.13,0.12,0.13,0.13,0.14,0.14,0.13,0.11,0.13,0.1,0.12,0.13,0.13,0.12,0.12,0.13,0.13,0.15,0.1,0.12,0.11,0.1,0.1,0.1,0.11,0.1,0.09,0.1,0.11,0.1,0.1,0.09,0.1,0.11,0.12,0.09,0.09,0.09,0.0,0.09,0.09,0.09,0.09,0.1,0.1,0.1,0.08,0.09,0.09,0.09,0.09,0.08,0.08,0.11,0.09,0.08,0.08,0.07,0.09,0.08,0.1,0.08,0.07,0.07,0.09,0.08,0.1,0.07,0.08,0.08,0.07,0.08,0.08,0.07,0.07,0.08,0.08,0.08,0.08,0.07,0.07,0.07,0.0,0.06,0.06,0.07,0.07,0.07,0.07,0.06,0.07,0.0,0.0,0.06,0.07,0.07,0.07,0.06,0.0,0.07,0.0,0.0,0.09,0.07,0.07,0.07,0.07,0.06,0.25,0.22,82.84000000000002
08/26/2021,9.81,8.76,7.45,3.57,3.49,3.16,2.81,2.12,1.45,1.13,1.18,0.97,1.0,0.94,0.86,0.85,0.78,0.77,0.77,0.67,0.71,0.61,0.57,0.57,0.58,0.56,0.47,0.4,0.5,0.42,0.41,0.36,0.37,0.38,0.34,0.4,0.31,0.32,0.42,0.32,0.35,0.31,0.28,0.29,0.28,0.3,0.25,0.23,0.23,0.0,0.25,0.26,0.24,0.22,0.21,0.22,0.24,0.2,0.22,0.21,0.2,0.19,0.19,0.22,0.2,0.24,0.18,0.18,0.0,0.2,0.19,0.2,0.19,0.19,0.18,0.17,0.23,0.16,0.23,0.18,0.18,0.22,0.15,0.17,0.19,0.17,0.14,0.17,0.14,0.23,0.15,0.14,0.15,0.16,0.13,0.13,0.14,0.13,0.15,0.13,0.12,0.13,0.13,0.14,0.14,0.13,0.11,0.13,0.1,0.12,0.13,0.13,0.12,0.12,0.13,0.13,0.15,0.1,0.12,0.11,0.1,0.1,0.1,0.11,0.1,0.09,0.1,0.11,0.1,0.1,0.09,0.1,0.11,0.12,0.09,0.09,0.09,0.0,0.09,0.09,0.09,0.09,0.1,0.1,0.1,0.08,0.09,0.09,0.09,0.09,0.08,0.08,0.11,0.09,0.08,0.08,0.07,0.09,0.08,0.1,0.08,0.07,0.07,0.09,0.08,0.1,0.07,0.08,0.08,0.07,0.08,0.08,0.07,0.07,0.08,0.08,0.08,0.08,0.07,0.07,0.07,0.0,0.06,0.06,0.07,0.07,0.07,0.07,0.06,0.07,0.0,0.0,0.06,0.07,0.07,0.07,0.06,0.0,0.07,0.0,0.0,0.09,0.07,0.07,0.07,0.07,0.06,0.25,0.22,82.84000000000002
08/27/2021,9.81,8.76,7.45,3.57,3.49,3.16,2.81,2.12,1.45,1.13,1.18,0.97,1.0,0.94,0.86,0.85,0.78,0.77,0.77,0.67,0.71,0.61,0.57,0.57,0.58,0.56,0.47,0.4,0.5,0.42,0.41,0.36,0.37,0.38,0.34,0.4,0.31,0.32,0.42,0.32,0.35,0.31,0.28,0.29,0.28,0.3,0.25,0.23,0.23,0.0,0.25,0.26,0.24,0.22,0.21,0.22,0.24,0.2,0.22,0.21,0.2,0.19,0.19,0.22,0.2,0.24,0.18,0.18,0.0,0.2,0.19,0.2,0.19,0.19,0.18,0.17,0.23,0.16,0.23,0.18,0.18,0.22,0.15,0.17,0.19,0.17,0.14,0.17,0.14,0.23,0.15,0.14,0.15,0.16,0.13,0.13,0.14,0.13,0.15,0.13,0.12,0.13,0.13,0.14,0.14,0.13,0.11,0.13,0.1,0.12,0.13,0.13,0.12,0.12,0.13,0.13,0.15,0.1,0.12,0.11,0.1,0.1,0.1,0.11,0.1,0.09,0.1,0.11,0.1,0.1,0.09,0.1,0.11,0.12,0.09,0.09,0.09,0.0,0.09,0.09,0.09,0.09,0.1,0.1,0.1,0.08,0.09,0.09,0.09,0.09,0.08,0.08,0.11,0.09,0.08,0.08,0.07,0.09,0.08,0.1,0.08,0.07,0.07,0.09,0.08,0.1,0.07,0.08,0.08,0.07,0.08,0.08,0.07,0.07,0.08,0.08,0.08,0.08,0.07,0.07,0.07,0.0,0.06,0.06,0.07,0.07,0.07,0.07,0.06,0.07,0.0,0.0,0.06,0.07,0.07,0.07,0.06,0.0,0.07,0.0,0.0,0.09,0.07,0.07,0.07,0.07,0.06,0.25,0.22,82.84000000000002
08/30/2021,9.81,8.76,7.45,3.57,3.49,3.16,2.81,2.12,1.45,1.13,1.18,0.97,1.0,0.94,0.86,0.85,0.78,0.77,0.77,0.67,0.71,0.61,0.57,0.57,0.58,0.56,0.47,0.4,0.5,0.42,0.41,0.36,0.37,0.38,0.34,0.4,0.31,0.32,0.42,0.32,0.35,0.31,0.28,0.29,0.28,0.3,0.25,0.23,0.23,0.0,0.25,0.26,0.24,0.22,0.21,0.22,0.24,0.2,0.22,0.21,0.2,0.19,0.19,0.22,0.2,0.24,0.18,0.18,0.0,0.2,0.19,0.2,0.19,0.19,0.18,0.17,0.23,0.16,0.23,0.18,0.18,0.22,0.15,0.17,0.19,0.17,0.14,0.17,0.14,0.23,0.15,0.14,0.15,0.16,0.13,0.13,0.14,0.13,0.15,0.13,0.12,0.13,0.13,0.14,0.14,0.13,0.11,0.13,0.1,0.12,0.13,0.13,0.12,0.12,0.13,0.13,0.15,0.1,0.12,0.11,0.1,0.1,0.1,0.11,0.1,0.09,0.1,0.11,0.1,0.1,0.09,0.1,0.11,0.12,0.09,0.09,0.09,0.0,0.09,0.09,0.09,0.09,0.1,0.1,0.1,0.08,0.09,0.09,0.09,0.09,0.08,0.08,0.11,0.09,0.08,0.08,0.07,0.09,0.08,0.1,0.08,0.07,0.07,0.09,0.08,0.1,0.07,0.08,0.08,0.07,0.08,0.08,0.07,0.07,0.08,0.08,0.08,0.08,0.07,0.07,0.07,0.0,0.06,0.06,0.07,0.07,0.07,0.07,0.06,0.07,0.0,0.0,0.06,0.07,0.07,0.07,0.06,0.0,0.07,0.0,0.0,0.09,0.07,0.07,0.07,0.07,0.06,0.25,0.22,82.84000000000002
