,KR,HRL,CLX,K,DPZ,KMB,WMT,VZ,LLY,SJM,GIS,HSY,PFE,CL,CARR,KDP,PG,OTIS,BMY,BDX,COST,PM,CHD,JNJ,GILD,NOC,DG,CHTR,EXPD,YUMC,ED,ABBV,WORK,CAG,MRNA,CVS,LBRDA,BAX,TGT,BRK.B,T,LUMN,TSN,LHX,MDLZ,EA,MMM,DUK,ORLY,RMD,ORCL,MO,EBAY,RSG,PGR,WEC,D,STX,AZO,ROP,MRK,DHR,FE,PEP,NET,AKAM,NEM,KSU,LMT,ZM,CMS,EFX,DGX,LNT,REGN,AEP,BIIB,KHC,MKC,PTON,AEE,WM,EVRG,TTWO,INFO,ALXN,UPS,HUM,IEX,GWW,PCAR,MCD,KO,GD,VRSN,WST,AMGN,BMRN,JCI,ATVI,WAT,ALL,DISCA,CME,JBHT,MMC,CMCSA,NKE,BF.B,CERN,CRWD,ARES,PKG,COO,CNC,UNH,AJG,XEL,ADM,EW,NFLX,IBM,TSCO,TMUS,TW,ABC,EIX,SO,AWK,ZTS,STE,BR,ITW,UNP,ALNY,EL,CTXS,ICE,SRE,J,CMI,APD,PKI,YNDX,PPL,LH,DIS,FOXA,HZNP,IFF,ABT,MDT,BLK,NDAQ,CPRT,A,TEAM,ADP,SGEN,KEYS,ES,AMZN,LDOS,ODFL,POOL,AON,YUM,SHW,MOH,SPOT,CSCO,PEG,VRTX,ZS,PANW,STZ,ILMN,DDOG,TYL,GRMN,MSI,NUAN,MCO,SPGI,WBA,BIO,TMO,INCY,FAST,HD,IDXX,FFIV,NEE,FB,IBKR,CHWY,DLTR,DTE,TDOC,AVTR,VRSK,TECH,FIS,BLL,FTNT,ETR,AMC,VIAC,LNG,WMG,RNG,NLOK,BK,GS,CAT,CB,FRC,GDDY,RPRX,ELAN,RACE.MI,AAP,HIG,KMI,ICLR,VMC,HOLX,EXAS,BX,TRV,SBUX,CMG,OMC,WLTW,CINF,NSC,BSX,ABMD,ANTM,GPC,CSX,MTD,CNP,FTV,MNST,DOV,CTSH,MKTX,MKL,VTRS,CRM,MCK,MSCI,EXC,MAS,AMCR,GOOGL,AGPXX,PAYX,CBOE,WMB,ROK,MASI,FDS,IP,BRO,LOW,PPG,FISV,SSNC,VMW,NVR,CSGP,EPAM,LULU,ADBE,VEEV,TT,MSFT,SUM
08/09/2021,0.77,0.0,0.73,0.58,0.9,0.66,0.56,0.73,0.56,0.0,0.48,0.49,0.68,0.52,0.0,0.43,0.54,0.43,0.46,0.55,0.53,0.52,0.5,0.5,0.49,0.45,0.46,0.44,0.34,0.44,0.55,0.46,0.0,0.4,0.0,0.43,0.43,0.56,0.49,0.42,0.7,0.39,0.46,0.41,0.42,0.39,0.44,0.56,0.47,0.4,0.43,0.42,0.0,0.42,0.41,0.49,0.51,0.39,0.46,0.0,0.54,0.45,0.66,0.44,0.0,0.0,0.33,0.39,0.4,0.41,0.48,0.0,0.72,0.49,0.33,0.58,0.0,0.34,0.36,0.0,0.49,0.41,0.56,0.37,0.36,0.0,0.0,0.36,0.34,0.34,0.0,0.47,0.45,0.39,0.36,0.39,0.35,0.0,0.35,0.0,0.48,0.42,0.51,0.41,0.41,0.43,0.34,0.46,0.0,0.41,0.0,0.43,0.0,0.41,0.34,0.36,0.4,0.41,0.39,0.36,0.35,0.36,0.34,0.33,0.0,0.38,0.4,0.48,0.43,0.39,0.41,0.33,0.35,0.35,0.39,0.37,0.0,0.37,0.38,0.0,0.35,0.35,0.4,0.0,0.42,0.57,0.42,0.37,0.0,0.33,0.4,0.38,0.0,0.34,0.34,0.33,0.6,0.41,0.36,0.38,0.43,0.0,0.0,0.35,0.33,0.45,0.48,0.39,0.0,0.0,0.33,0.41,0.38,0.48,0.0,0.0,0.0,0.0,0.0,0.36,0.0,0.0,0.35,0.36,0.35,0.36,0.39,0.0,0.0,0.36,0.0,0.0,0.37,0.0,0.0,0.45,0.4,0.48,0.0,0.34,0.34,0.0,0.0,0.36,0.0,0.38,0.46,0.49,0.49,0.47,0.41,0.41,0.44,0.42,0.38,0.42,0.4,0.0,0.34,0.39,0.4,0.37,0.39,0.34,0.44,0.38,0.41,0.34,0.42,0.35,0.36,0.42,0.0,0.34,0.34,0.34,0.35,0.37,0.0,0.0,0.34,0.36,0.35,0.35,0.34,0.37,0.35,0.35,0.34,0.0,0.0,0.0,0.35,0.33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,85.08000000000001
08/10/2021,0.77,0.0,0.73,0.58,0.9,0.66,0.56,0.73,0.56,0.0,0.48,0.49,0.68,0.52,0.0,0.43,0.54,0.43,0.46,0.55,0.53,0.52,0.5,0.5,0.49,0.45,0.46,0.44,0.34,0.44,0.55,0.46,0.0,0.4,0.0,0.43,0.43,0.56,0.49,0.42,0.7,0.39,0.46,0.41,0.42,0.39,0.44,0.56,0.47,0.4,0.43,0.42,0.0,0.42,0.41,0.49,0.51,0.39,0.46,0.0,0.54,0.45,0.66,0.44,0.0,0.0,0.33,0.39,0.4,0.41,0.48,0.0,0.72,0.49,0.33,0.58,0.0,0.34,0.36,0.0,0.49,0.41,0.56,0.37,0.36,0.0,0.0,0.36,0.34,0.34,0.0,0.47,0.45,0.39,0.36,0.39,0.35,0.0,0.35,0.0,0.48,0.42,0.51,0.41,0.41,0.43,0.34,0.46,0.0,0.41,0.0,0.43,0.0,0.41,0.34,0.36,0.4,0.41,0.39,0.36,0.35,0.36,0.34,0.33,0.0,0.38,0.4,0.48,0.43,0.39,0.41,0.33,0.35,0.35,0.39,0.37,0.0,0.37,0.38,0.0,0.35,0.35,0.4,0.0,0.42,0.57,0.42,0.37,0.0,0.33,0.4,0.38,0.0,0.34,0.34,0.33,0.6,0.41,0.36,0.38,0.43,0.0,0.0,0.35,0.33,0.45,0.48,0.39,0.0,0.0,0.33,0.41,0.38,0.48,0.0,0.0,0.0,0.0,0.0,0.36,0.0,0.0,0.35,0.36,0.35,0.36,0.39,0.0,0.0,0.36,0.0,0.0,0.37,0.0,0.0,0.45,0.4,0.48,0.0,0.34,0.34,0.0,0.0,0.36,0.0,0.38,0.46,0.49,0.49,0.47,0.41,0.41,0.44,0.42,0.38,0.42,0.4,0.0,0.34,0.39,0.4,0.37,0.39,0.34,0.44,0.38,0.41,0.34,0.42,0.35,0.36,0.42,0.0,0.34,0.34,0.34,0.35,0.37,0.0,0.0,0.34,0.36,0.35,0.35,0.34,0.37,0.35,0.35,0.34,0.0,0.0,0.0,0.35,0.33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,85.08000000000001
08/11/2021,0.77,0.0,0.73,0.58,0.9,0.66,0.56,0.73,0.56,0.0,0.48,0.49,0.68,0.52,0.0,0.43,0.54,0.43,0.46,0.55,0.53,0.52,0.5,0.5,0.49,0.45,0.46,0.44,0.34,0.44,0.55,0.46,0.0,0.4,0.0,0.43,0.43,0.56,0.49,0.42,0.7,0.39,0.46,0.41,0.42,0.39,0.44,0.56,0.47,0.4,0.43,0.42,0.0,0.42,0.41,0.49,0.51,0.39,0.46,0.0,0.54,0.45,0.66,0.44,0.0,0.0,0.33,0.39,0.4,0.41,0.48,0.0,0.72,0.49,0.33,0.58,0.0,0.34,0.36,0.0,0.49,0.41,0.56,0.37,0.36,0.0,0.0,0.36,0.34,0.34,0.0,0.47,0.45,0.39,0.36,0.39,0.35,0.0,0.35,0.0,0.48,0.42,0.51,0.41,0.41,0.43,0.34,0.46,0.0,0.41,0.0,0.43,0.0,0.41,0.34,0.36,0.4,0.41,0.39,0.36,0.35,0.36,0.34,0.33,0.0,0.38,0.4,0.48,0.43,0.39,0.41,0.33,0.35,0.35,0.39,0.37,0.0,0.37,0.38,0.0,0.35,0.35,0.4,0.0,0.42,0.57,0.42,0.37,0.0,0.33,0.4,0.38,0.0,0.34,0.34,0.33,0.6,0.41,0.36,0.38,0.43,0.0,0.0,0.35,0.33,0.45,0.48,0.39,0.0,0.0,0.33,0.41,0.38,0.48,0.0,0.0,0.0,0.0,0.0,0.36,0.0,0.0,0.35,0.36,0.35,0.36,0.39,0.0,0.0,0.36,0.0,0.0,0.37,0.0,0.0,0.45,0.4,0.48,0.0,0.34,0.34,0.0,0.0,0.36,0.0,0.38,0.46,0.49,0.49,0.47,0.41,0.41,0.44,0.42,0.38,0.42,0.4,0.0,0.34,0.39,0.4,0.37,0.39,0.34,0.44,0.38,0.41,0.34,0.42,0.35,0.36,0.42,0.0,0.34,0.34,0.34,0.35,0.37,0.0,0.0,0.34,0.36,0.35,0.35,0.34,0.37,0.35,0.35,0.34,0.0,0.0,0.0,0.35,0.33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,85.08000000000001
08/12/2021,0.78,0.0,0.73,0.59,0.89,0.67,0.56,0.72,0.57,0.0,0.49,0.49,0.7,0.52,0.0,0.43,0.54,0.43,0.45,0.54,0.52,0.52,0.5,0.5,0.49,0.46,0.46,0.44,0.33,0.44,0.55,0.46,0.0,0.42,0.0,0.44,0.43,0.55,0.49,0.43,0.7,0.4,0.5,0.41,0.42,0.39,0.44,0.55,0.47,0.42,0.43,0.42,0.0,0.42,0.41,0.49,0.51,0.4,0.46,0.0,0.53,0.45,0.66,0.44,0.0,0.33,0.0,0.38,0.4,0.4,0.48,0.0,0.72,0.49,0.34,0.57,0.0,0.34,0.36,0.0,0.5,0.41,0.56,0.38,0.36,0.0,0.0,0.36,0.34,0.34,0.0,0.47,0.45,0.39,0.36,0.39,0.34,0.0,0.35,0.0,0.47,0.44,0.51,0.41,0.4,0.43,0.34,0.45,0.0,0.41,0.0,0.42,0.0,0.41,0.33,0.36,0.41,0.4,0.4,0.36,0.35,0.35,0.34,0.34,0.0,0.37,0.4,0.48,0.43,0.38,0.41,0.33,0.35,0.35,0.41,0.37,0.0,0.37,0.37,0.0,0.36,0.33,0.4,0.0,0.43,0.57,0.42,0.37,0.0,0.34,0.41,0.37,0.0,0.34,0.34,0.34,0.59,0.41,0.35,0.38,0.43,0.0,0.0,0.35,0.33,0.45,0.48,0.4,0.0,0.0,0.33,0.41,0.38,0.48,0.0,0.0,0.0,0.0,0.0,0.36,0.33,0.0,0.35,0.35,0.35,0.36,0.39,0.0,0.0,0.36,0.0,0.0,0.37,0.0,0.0,0.44,0.4,0.48,0.0,0.35,0.33,0.0,0.0,0.39,0.0,0.38,0.46,0.48,0.48,0.46,0.43,0.41,0.45,0.43,0.39,0.43,0.41,0.33,0.34,0.0,0.4,0.36,0.4,0.34,0.44,0.39,0.41,0.0,0.41,0.36,0.36,0.42,0.0,0.34,0.35,0.34,0.35,0.37,0.0,0.0,0.35,0.36,0.35,0.35,0.36,0.37,0.35,0.34,0.34,0.35,0.0,0.0,0.35,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,85.20000000000002
08/13/2021,0.79,0.0,0.73,0.6,0.88,0.67,0.57,0.73,0.57,0.0,0.49,0.49,0.73,0.52,0.0,0.43,0.54,0.43,0.45,0.54,0.53,0.52,0.5,0.5,0.49,0.46,0.46,0.44,0.33,0.43,0.55,0.46,0.0,0.42,0.0,0.45,0.43,0.55,0.49,0.43,0.7,0.4,0.52,0.41,0.42,0.39,0.45,0.55,0.47,0.41,0.43,0.43,0.33,0.42,0.41,0.48,0.51,0.4,0.46,0.0,0.53,0.45,0.66,0.44,0.0,0.33,0.0,0.41,0.4,0.39,0.47,0.0,0.72,0.49,0.34,0.57,0.0,0.34,0.36,0.0,0.5,0.4,0.56,0.38,0.36,0.0,0.0,0.36,0.34,0.34,0.0,0.47,0.45,0.39,0.36,0.39,0.34,0.0,0.35,0.0,0.47,0.44,0.51,0.41,0.41,0.43,0.34,0.46,0.0,0.41,0.0,0.42,0.0,0.4,0.0,0.36,0.41,0.4,0.41,0.35,0.34,0.35,0.34,0.34,0.0,0.37,0.4,0.48,0.42,0.38,0.41,0.0,0.35,0.35,0.42,0.37,0.0,0.37,0.37,0.0,0.36,0.33,0.4,0.0,0.42,0.57,0.42,0.37,0.0,0.35,0.4,0.37,0.0,0.34,0.33,0.34,0.57,0.41,0.35,0.38,0.42,0.0,0.0,0.35,0.0,0.45,0.48,0.39,0.0,0.0,0.33,0.41,0.37,0.47,0.0,0.0,0.0,0.0,0.0,0.36,0.33,0.0,0.35,0.35,0.36,0.36,0.39,0.0,0.0,0.36,0.0,0.0,0.37,0.0,0.0,0.44,0.41,0.48,0.0,0.35,0.33,0.0,0.0,0.4,0.0,0.39,0.43,0.48,0.5,0.46,0.42,0.41,0.46,0.44,0.4,0.44,0.39,0.0,0.33,0.0,0.4,0.37,0.4,0.35,0.43,0.4,0.41,0.0,0.41,0.36,0.36,0.42,0.33,0.34,0.35,0.34,0.34,0.35,0.0,0.33,0.35,0.35,0.35,0.35,0.36,0.37,0.35,0.33,0.34,0.35,0.0,0.0,0.35,0.33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,85.21000000000001
08/16/2021,0.78,0.0,0.74,0.6,0.87,0.66,0.57,0.73,0.55,0.0,0.49,0.48,0.71,0.52,0.0,0.43,0.54,0.43,0.44,0.56,0.52,0.52,0.5,0.5,0.5,0.46,0.46,0.44,0.33,0.43,0.56,0.46,0.0,0.42,0.0,0.46,0.43,0.55,0.49,0.43,0.7,0.4,0.52,0.41,0.42,0.39,0.45,0.54,0.46,0.41,0.43,0.43,0.33,0.42,0.41,0.48,0.51,0.39,0.46,0.0,0.54,0.46,0.66,0.44,0.0,0.33,0.0,0.41,0.39,0.37,0.47,0.0,0.72,0.49,0.34,0.57,0.0,0.34,0.37,0.0,0.5,0.41,0.56,0.38,0.36,0.0,0.0,0.35,0.34,0.34,0.0,0.47,0.45,0.39,0.35,0.39,0.34,0.0,0.35,0.0,0.48,0.44,0.5,0.41,0.42,0.43,0.34,0.45,0.0,0.41,0.0,0.41,0.0,0.43,0.0,0.36,0.41,0.4,0.41,0.35,0.34,0.36,0.34,0.34,0.0,0.37,0.41,0.48,0.42,0.38,0.41,0.0,0.35,0.36,0.4,0.37,0.0,0.36,0.37,0.0,0.37,0.33,0.39,0.0,0.42,0.57,0.42,0.37,0.0,0.35,0.4,0.37,0.0,0.34,0.0,0.34,0.59,0.41,0.34,0.37,0.43,0.0,0.0,0.35,0.0,0.46,0.48,0.4,0.0,0.0,0.34,0.41,0.36,0.47,0.0,0.0,0.0,0.0,0.0,0.36,0.33,0.0,0.34,0.35,0.36,0.36,0.38,0.0,0.0,0.36,0.0,0.0,0.38,0.0,0.0,0.46,0.41,0.48,0.0,0.34,0.33,0.0,0.0,0.4,0.0,0.39,0.45,0.47,0.5,0.46,0.41,0.44,0.46,0.45,0.41,0.44,0.4,0.0,0.34,0.0,0.4,0.37,0.4,0.35,0.43,0.41,0.41,0.0,0.41,0.37,0.35,0.42,0.34,0.34,0.35,0.35,0.35,0.34,0.0,0.33,0.36,0.35,0.35,0.36,0.36,0.37,0.37,0.33,0.35,0.35,0.0,0.0,0.35,0.33,0.33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,85.33000000000001
08/17/2021,0.78,0.0,0.74,0.6,0.87,0.66,0.57,0.73,0.55,0.0,0.49,0.48,0.71,0.52,0.0,0.43,0.54,0.43,0.44,0.56,0.52,0.52,0.5,0.5,0.5,0.46,0.46,0.44,0.33,0.43,0.56,0.46,0.0,0.42,0.0,0.46,0.43,0.55,0.49,0.43,0.7,0.4,0.52,0.41,0.42,0.39,0.45,0.54,0.46,0.41,0.43,0.43,0.33,0.42,0.41,0.48,0.51,0.39,0.46,0.0,0.54,0.46,0.66,0.44,0.0,0.33,0.0,0.41,0.39,0.37,0.47,0.0,0.72,0.49,0.34,0.57,0.0,0.34,0.37,0.0,0.5,0.41,0.56,0.38,0.36,0.0,0.0,0.35,0.34,0.34,0.0,0.47,0.45,0.39,0.35,0.39,0.34,0.0,0.35,0.0,0.48,0.44,0.5,0.41,0.42,0.43,0.34,0.45,0.0,0.41,0.0,0.41,0.0,0.43,0.0,0.36,0.41,0.4,0.41,0.35,0.34,0.36,0.34,0.34,0.0,0.37,0.41,0.48,0.42,0.38,0.41,0.0,0.35,0.36,0.4,0.37,0.0,0.36,0.37,0.0,0.37,0.33,0.39,0.0,0.42,0.57,0.42,0.37,0.0,0.35,0.4,0.37,0.0,0.34,0.0,0.34,0.59,0.41,0.34,0.37,0.43,0.0,0.0,0.35,0.0,0.46,0.48,0.4,0.0,0.0,0.34,0.41,0.36,0.47,0.0,0.0,0.0,0.0,0.0,0.36,0.33,0.0,0.34,0.35,0.36,0.36,0.38,0.0,0.0,0.36,0.0,0.0,0.38,0.0,0.0,0.46,0.41,0.48,0.0,0.34,0.33,0.0,0.0,0.4,0.0,0.39,0.45,0.47,0.5,0.46,0.41,0.44,0.46,0.45,0.41,0.44,0.4,0.0,0.34,0.0,0.4,0.37,0.4,0.35,0.43,0.41,0.41,0.0,0.41,0.37,0.35,0.42,0.34,0.34,0.35,0.35,0.35,0.34,0.0,0.33,0.36,0.35,0.35,0.36,0.36,0.37,0.37,0.33,0.35,0.35,0.0,0.0,0.35,0.33,0.33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,85.33000000000001
08/18/2021,0.78,0.0,0.74,0.6,0.86,0.67,0.57,0.73,0.55,0.0,0.49,0.48,0.73,0.52,0.0,0.43,0.54,0.43,0.45,0.56,0.53,0.53,0.5,0.51,0.5,0.46,0.45,0.44,0.33,0.43,0.56,0.46,0.0,0.42,0.0,0.45,0.43,0.55,0.48,0.43,0.7,0.4,0.53,0.4,0.42,0.39,0.45,0.54,0.46,0.41,0.43,0.43,0.36,0.43,0.41,0.48,0.51,0.39,0.45,0.0,0.54,0.46,0.66,0.44,0.0,0.33,0.0,0.41,0.39,0.37,0.47,0.0,0.72,0.49,0.34,0.57,0.0,0.34,0.37,0.0,0.5,0.41,0.56,0.38,0.36,0.0,0.0,0.35,0.33,0.33,0.0,0.47,0.45,0.39,0.35,0.39,0.34,0.0,0.35,0.0,0.48,0.44,0.49,0.41,0.42,0.43,0.34,0.45,0.0,0.41,0.0,0.43,0.0,0.43,0.0,0.36,0.4,0.4,0.41,0.35,0.34,0.36,0.34,0.34,0.0,0.37,0.41,0.48,0.43,0.38,0.41,0.33,0.35,0.36,0.39,0.37,0.0,0.36,0.38,0.0,0.36,0.33,0.39,0.0,0.43,0.57,0.42,0.37,0.0,0.35,0.4,0.37,0.0,0.34,0.0,0.34,0.58,0.41,0.34,0.37,0.43,0.0,0.0,0.35,0.0,0.47,0.48,0.4,0.0,0.0,0.34,0.41,0.36,0.47,0.0,0.0,0.0,0.0,0.0,0.36,0.33,0.0,0.34,0.36,0.36,0.37,0.38,0.0,0.0,0.36,0.0,0.0,0.38,0.0,0.0,0.46,0.41,0.48,0.0,0.34,0.34,0.0,0.0,0.39,0.0,0.39,0.45,0.46,0.49,0.46,0.41,0.44,0.45,0.44,0.4,0.44,0.39,0.0,0.35,0.33,0.41,0.36,0.4,0.34,0.43,0.4,0.41,0.0,0.41,0.36,0.35,0.42,0.33,0.34,0.35,0.35,0.35,0.34,0.0,0.0,0.36,0.36,0.35,0.36,0.36,0.37,0.37,0.0,0.35,0.34,0.0,0.0,0.35,0.33,0.33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,85.31
08/19/2021,0.78,0.0,0.74,0.6,0.86,0.67,0.57,0.73,0.55,0.0,0.49,0.48,0.73,0.52,0.0,0.43,0.54,0.43,0.45,0.56,0.53,0.53,0.5,0.51,0.5,0.46,0.45,0.44,0.33,0.43,0.56,0.46,0.0,0.42,0.0,0.45,0.43,0.55,0.48,0.43,0.7,0.4,0.53,0.4,0.42,0.39,0.45,0.54,0.46,0.41,0.43,0.43,0.36,0.43,0.41,0.48,0.51,0.39,0.45,0.0,0.54,0.46,0.66,0.44,0.0,0.33,0.0,0.41,0.39,0.37,0.47,0.0,0.72,0.49,0.34,0.57,0.0,0.34,0.37,0.0,0.5,0.41,0.56,0.38,0.36,0.0,0.0,0.35,0.33,0.33,0.0,0.47,0.45,0.39,0.35,0.39,0.34,0.0,0.35,0.0,0.48,0.44,0.49,0.41,0.42,0.43,0.34,0.45,0.0,0.41,0.0,0.43,0.0,0.43,0.0,0.36,0.4,0.4,0.41,0.35,0.34,0.36,0.34,0.34,0.0,0.37,0.41,0.48,0.43,0.38,0.41,0.33,0.35,0.36,0.39,0.37,0.0,0.36,0.38,0.0,0.36,0.33,0.39,0.0,0.43,0.57,0.42,0.37,0.0,0.35,0.4,0.37,0.0,0.34,0.0,0.34,0.58,0.41,0.34,0.37,0.43,0.0,0.0,0.35,0.0,0.47,0.48,0.4,0.0,0.0,0.34,0.41,0.36,0.47,0.0,0.0,0.0,0.0,0.0,0.36,0.33,0.0,0.34,0.36,0.36,0.37,0.38,0.0,0.0,0.36,0.0,0.0,0.38,0.0,0.0,0.46,0.41,0.48,0.0,0.34,0.34,0.0,0.0,0.39,0.0,0.39,0.45,0.46,0.49,0.46,0.41,0.44,0.45,0.44,0.4,0.44,0.39,0.0,0.35,0.33,0.41,0.36,0.4,0.34,0.43,0.4,0.41,0.0,0.41,0.36,0.35,0.42,0.33,0.34,0.35,0.35,0.35,0.34,0.0,0.0,0.36,0.36,0.35,0.36,0.36,0.37,0.37,0.0,0.35,0.34,0.0,0.0,0.35,0.33,0.33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,85.31
08/20/2021,0.79,0.0,0.74,0.61,0.85,0.68,0.57,0.72,0.56,0.0,0.49,0.49,0.73,0.52,0.0,0.43,0.54,0.43,0.45,0.56,0.53,0.53,0.5,0.51,0.5,0.46,0.45,0.44,0.34,0.42,0.56,0.47,0.0,0.42,0.0,0.45,0.43,0.56,0.48,0.43,0.7,0.4,0.52,0.41,0.42,0.39,0.45,0.55,0.46,0.41,0.43,0.43,0.36,0.43,0.41,0.48,0.52,0.39,0.45,0.0,0.54,0.46,0.66,0.44,0.0,0.0,0.0,0.41,0.39,0.36,0.47,0.0,0.73,0.49,0.34,0.57,0.0,0.34,0.37,0.0,0.5,0.41,0.56,0.37,0.36,0.0,0.0,0.35,0.34,0.33,0.0,0.47,0.45,0.39,0.35,0.39,0.34,0.0,0.35,0.0,0.48,0.44,0.48,0.4,0.42,0.43,0.34,0.45,0.0,0.41,0.0,0.42,0.0,0.43,0.0,0.36,0.41,0.4,0.41,0.35,0.34,0.35,0.35,0.0,0.0,0.37,0.41,0.48,0.43,0.39,0.41,0.33,0.35,0.35,0.39,0.36,0.0,0.36,0.37,0.0,0.36,0.33,0.39,0.0,0.42,0.57,0.42,0.37,0.0,0.34,0.4,0.37,0.0,0.34,0.0,0.34,0.57,0.41,0.34,0.37,0.43,0.0,0.0,0.35,0.33,0.47,0.48,0.4,0.0,0.0,0.33,0.41,0.35,0.47,0.0,0.0,0.0,0.0,0.0,0.36,0.34,0.0,0.34,0.36,0.36,0.37,0.39,0.0,0.0,0.36,0.0,0.0,0.38,0.0,0.0,0.44,0.41,0.48,0.0,0.35,0.33,0.0,0.0,0.39,0.0,0.39,0.48,0.45,0.48,0.45,0.39,0.43,0.45,0.44,0.4,0.45,0.4,0.0,0.35,0.34,0.4,0.37,0.4,0.34,0.43,0.4,0.41,0.0,0.41,0.36,0.35,0.41,0.33,0.34,0.35,0.35,0.35,0.34,0.0,0.0,0.36,0.36,0.35,0.35,0.35,0.37,0.37,0.33,0.34,0.34,0.0,0.0,0.35,0.33,0.33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,85.24
08/23/2021,0.84,0.0,0.76,0.61,0.87,0.69,0.58,0.72,0.57,0.0,0.5,0.49,0.74,0.52,0.0,0.44,0.55,0.43,0.45,0.56,0.54,0.53,0.51,0.51,0.51,0.45,0.45,0.45,0.33,0.42,0.55,0.47,0.0,0.42,0.0,0.45,0.44,0.56,0.46,0.43,0.69,0.38,0.52,0.4,0.42,0.39,0.44,0.55,0.47,0.42,0.42,0.43,0.35,0.43,0.41,0.49,0.53,0.38,0.46,0.0,0.55,0.47,0.67,0.45,0.0,0.0,0.0,0.41,0.39,0.34,0.48,0.0,0.73,0.49,0.36,0.58,0.0,0.33,0.37,0.0,0.51,0.42,0.57,0.38,0.36,0.0,0.0,0.36,0.33,0.33,0.0,0.47,0.45,0.39,0.36,0.4,0.34,0.0,0.36,0.0,0.48,0.44,0.48,0.39,0.41,0.43,0.34,0.44,0.0,0.41,0.0,0.41,0.0,0.44,0.0,0.38,0.41,0.41,0.39,0.37,0.36,0.34,0.35,0.33,0.0,0.37,0.42,0.49,0.43,0.39,0.41,0.33,0.35,0.35,0.4,0.37,0.0,0.36,0.37,0.0,0.36,0.32,0.39,0.0,0.43,0.57,0.41,0.36,0.0,0.33,0.41,0.38,0.0,0.34,0.0,0.36,0.58,0.4,0.35,0.38,0.43,0.0,0.0,0.35,0.33,0.47,0.48,0.4,0.0,0.0,0.34,0.41,0.37,0.47,0.0,0.0,0.0,0.0,0.0,0.36,0.34,0.0,0.34,0.35,0.35,0.37,0.39,0.0,0.0,0.35,0.0,0.0,0.38,0.0,0.0,0.43,0.41,0.48,0.0,0.35,0.34,0.0,0.0,0.41,0.0,0.4,0.46,0.46,0.47,0.47,0.41,0.44,0.44,0.42,0.38,0.45,0.39,0.0,0.35,0.34,0.39,0.37,0.39,0.0,0.44,0.39,0.41,0.0,0.4,0.37,0.35,0.41,0.0,0.33,0.35,0.34,0.35,0.35,0.0,0.0,0.36,0.36,0.34,0.35,0.35,0.37,0.36,0.33,0.34,0.34,0.0,0.32,0.34,0.33,0.0,0.34,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,85.5
