,NVDA,INTU,NLOK,ORCL,MRVL,MSFT,ROP,AAPL,NTAP,STX,ADI,MPWR,QCOM,CDW,LDOS,ENTG,APH,IBM,LRCX,SSNC,TEL,TER,SWKS,WDC,AMAT,AVGO,TXN,NXPI,HPQ,KLAC,MCHP,GLW,HPE,POOL,CTSH,INTC,DPZ,CTXS,TGT,NKE,COST,EBAY,GRMN,GPC,EL,MGM,MSI,OMC,SIRI,YUM,DG,SBUX,TSCO,HD,EA,DRI,ROST,LOW,MCD,TJX,VFC,WMT,ROL,WST,DHI,ATVI,FOXA,HAS,LHX,LEN,RMD,DHR,LLY,CMCSA,BBY,CSCO,PKI,VIAC,ZTS,TECH,LUMN,UI,A,VZ,TMO,T,HCA,CERN,STE,UNH,ANTM,HUM,MDT,PFE,SYK,ABBV,BMY,GILD,COO,BDX,JNJ,DGX,ZBH,TFX,ABT,MRK,AMGN,CI,BAX,CAH,EFX,UPS,COF,TRU,AXP,EXPD,MSCI,OTIS,SYF,BX,PPG,XYL,TT,V,NOC,HEI,CTAS,CARR,JCI,NDAQ,GWW,SHW,ROK,PAYX,RTX,MCO,KKR,ETN,DOV,DFS,ACN,MMC,ALL,TROW,SWK,SPGI,ODFL,MS,MA,MLM,BLK,LMT,IEX,GD,FIS,FDX,EMR,CGNX,ADP,AME,MMM,PRU,GS,UNP,NSC,VRSK,VMC,WAB,WFC,PKG,FRC,J,CSX,ITW,AJG,CINF,ALLY,DD,FTV,GE,HON,L,PNC,SCHW,BK,RJF,PH,PCAR,NTRS,MAS,JBHT,AFL,HES,GPN,BEN,DE,BR,BLL,AMP,ICE,CMI,CAT,USB,CB,AIG,TRV,VTRS,MKTX,PGR,HIG,STT,AON,CME,HBAN,GE.,PFG,TFC,C,MET,JPM,SUM
07/09/2021,1.11,0.94,0.94,0.85,0.84,0.84,0.84,0.83,0.81,0.8,0.78,0.78,0.76,0.76,0.76,0.76,0.75,0.75,0.75,0.75,0.75,0.75,0.74,0.74,0.73,0.73,0.73,0.72,0.68,0.68,0.68,0.67,0.65,0.64,0.63,0.63,0.62,0.59,0.59,0.57,0.54,0.54,0.53,0.52,0.52,0.52,0.52,0.51,0.51,0.51,0.51,0.5,0.5,0.5,0.5,0.5,0.5,0.49,0.49,0.49,0.49,0.49,0.48,0.48,0.48,0.48,0.48,0.47,0.47,0.47,0.47,0.46,0.46,0.46,0.46,0.45,0.45,0.45,0.45,0.44,0.44,0.44,0.43,0.42,0.42,0.42,0.42,0.41,0.41,0.41,0.4,0.4,0.4,0.4,0.4,0.39,0.39,0.39,0.39,0.38,0.38,0.38,0.37,0.37,0.37,0.37,0.36,0.36,0.35,0.35,0.29,0.26,0.26,0.26,0.25,0.25,0.25,0.25,0.25,0.25,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.23,0.23,0.23,0.23,0.23,0.23,0.23,0.23,0.23,0.23,0.23,0.23,0.22,0.22,0.22,0.22,0.22,0.22,0.22,0.22,0.22,0.22,0.22,0.22,0.22,0.22,0.22,0.22,0.22,0.22,0.22,0.22,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,81.17000000000002
07/12/2021,1.07,0.94,0.93,0.89,0.83,0.84,0.85,0.85,0.81,0.82,0.76,0.77,0.76,0.76,0.78,0.75,0.76,0.76,0.73,0.75,0.76,0.74,0.74,0.75,0.72,0.74,0.72,0.71,0.67,0.67,0.66,0.67,0.66,0.65,0.63,0.62,0.61,0.59,0.59,0.57,0.55,0.54,0.53,0.53,0.52,0.52,0.52,0.51,0.51,0.52,0.51,0.51,0.5,0.5,0.49,0.49,0.49,0.48,0.5,0.49,0.49,0.49,0.49,0.49,0.47,0.47,0.48,0.48,0.48,0.46,0.47,0.45,0.46,0.46,0.46,0.45,0.44,0.45,0.46,0.45,0.44,0.45,0.43,0.42,0.41,0.41,0.43,0.41,0.41,0.41,0.4,0.4,0.4,0.4,0.4,0.39,0.39,0.39,0.39,0.38,0.38,0.39,0.36,0.37,0.37,0.37,0.36,0.36,0.35,0.34,0.29,0.26,0.26,0.26,0.25,0.25,0.25,0.26,0.25,0.25,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.25,0.22,0.24,0.24,0.23,0.24,0.23,0.23,0.23,0.23,0.23,0.24,0.24,0.22,0.22,0.22,0.22,0.22,0.23,0.22,0.22,0.22,0.22,0.22,0.22,0.22,0.22,0.22,0.23,0.22,0.23,0.22,0.22,0.21,0.21,0.21,0.21,0.22,0.22,0.22,0.21,0.22,0.22,0.22,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.22,0.2,0.2,0.2,0.2,0.2,0.21,0.2,0.21,0.2,0.21,0.0,0.0,0.2,0.2,0.2,0.21,0.21,0.2,0.2,0.2,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,81.35
07/13/2021,1.07,0.94,0.93,0.89,0.83,0.84,0.85,0.85,0.81,0.82,0.76,0.77,0.76,0.76,0.78,0.75,0.76,0.76,0.73,0.75,0.76,0.74,0.74,0.75,0.72,0.74,0.72,0.71,0.67,0.67,0.66,0.67,0.66,0.65,0.63,0.62,0.61,0.59,0.59,0.57,0.55,0.54,0.53,0.53,0.52,0.52,0.52,0.51,0.51,0.52,0.51,0.51,0.5,0.5,0.49,0.49,0.49,0.48,0.5,0.49,0.49,0.49,0.49,0.49,0.47,0.47,0.48,0.48,0.48,0.46,0.47,0.45,0.46,0.46,0.46,0.45,0.44,0.45,0.46,0.45,0.44,0.45,0.43,0.42,0.41,0.41,0.43,0.41,0.41,0.41,0.4,0.4,0.4,0.4,0.4,0.39,0.39,0.39,0.39,0.38,0.38,0.39,0.36,0.37,0.37,0.37,0.36,0.36,0.35,0.34,0.29,0.26,0.26,0.26,0.25,0.25,0.25,0.26,0.25,0.25,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.25,0.22,0.24,0.24,0.23,0.24,0.23,0.23,0.23,0.23,0.23,0.24,0.24,0.22,0.22,0.22,0.22,0.22,0.23,0.22,0.22,0.22,0.22,0.22,0.22,0.22,0.22,0.22,0.23,0.22,0.23,0.22,0.22,0.21,0.21,0.21,0.21,0.22,0.22,0.22,0.21,0.22,0.22,0.22,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.22,0.2,0.2,0.2,0.2,0.2,0.21,0.2,0.21,0.2,0.21,0.0,0.0,0.2,0.2,0.2,0.21,0.21,0.2,0.2,0.2,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,81.35
07/14/2021,1.07,0.94,0.93,0.89,0.83,0.84,0.85,0.85,0.81,0.82,0.76,0.77,0.76,0.77,0.78,0.75,0.76,0.76,0.73,0.75,0.76,0.74,0.74,0.75,0.72,0.74,0.72,0.71,0.67,0.67,0.66,0.67,0.66,0.65,0.63,0.62,0.61,0.59,0.59,0.57,0.55,0.54,0.53,0.53,0.52,0.52,0.52,0.51,0.51,0.52,0.52,0.51,0.5,0.5,0.49,0.49,0.49,0.49,0.5,0.49,0.49,0.49,0.49,0.49,0.47,0.47,0.48,0.48,0.48,0.46,0.47,0.45,0.46,0.46,0.46,0.45,0.44,0.45,0.46,0.45,0.44,0.45,0.43,0.42,0.41,0.41,0.43,0.41,0.41,0.41,0.4,0.4,0.4,0.4,0.4,0.39,0.39,0.39,0.39,0.38,0.38,0.39,0.36,0.37,0.37,0.37,0.36,0.36,0.35,0.34,0.29,0.26,0.26,0.26,0.25,0.25,0.25,0.26,0.25,0.25,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.25,0.22,0.24,0.24,0.23,0.24,0.23,0.23,0.23,0.23,0.23,0.24,0.24,0.22,0.22,0.22,0.22,0.22,0.23,0.22,0.22,0.22,0.22,0.22,0.22,0.22,0.22,0.22,0.23,0.22,0.23,0.22,0.22,0.21,0.21,0.21,0.21,0.22,0.22,0.22,0.21,0.22,0.22,0.22,0.21,0.22,0.21,0.22,0.21,0.21,0.21,0.21,0.22,0.2,0.2,0.2,0.2,0.2,0.21,0.2,0.21,0.2,0.21,0.0,0.0,0.2,0.2,0.2,0.21,0.21,0.2,0.2,0.2,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,81.4
07/15/2021,1.09,0.94,0.91,0.88,0.83,0.84,0.85,0.84,0.8,0.82,0.77,0.78,0.76,0.76,0.78,0.75,0.76,0.75,0.75,0.75,0.76,0.74,0.74,0.76,0.73,0.75,0.72,0.72,0.65,0.68,0.67,0.67,0.65,0.65,0.63,0.63,0.62,0.58,0.6,0.57,0.55,0.53,0.54,0.53,0.52,0.52,0.51,0.51,0.5,0.51,0.51,0.51,0.5,0.5,0.49,0.5,0.49,0.48,0.5,0.49,0.49,0.49,0.48,0.49,0.47,0.47,0.48,0.48,0.48,0.46,0.47,0.45,0.46,0.46,0.46,0.44,0.44,0.45,0.46,0.43,0.43,0.43,0.43,0.42,0.41,0.41,0.43,0.41,0.4,0.41,0.4,0.4,0.4,0.4,0.4,0.4,0.39,0.38,0.39,0.37,0.38,0.39,0.36,0.37,0.36,0.37,0.36,0.36,0.35,0.35,0.29,0.26,0.27,0.26,0.26,0.25,0.25,0.26,0.25,0.25,0.24,0.24,0.24,0.23,0.24,0.23,0.24,0.24,0.25,0.23,0.24,0.24,0.23,0.24,0.23,0.23,0.23,0.23,0.24,0.25,0.24,0.22,0.22,0.23,0.22,0.22,0.22,0.22,0.22,0.22,0.23,0.21,0.22,0.22,0.22,0.22,0.23,0.22,0.23,0.22,0.22,0.21,0.22,0.21,0.2,0.21,0.22,0.22,0.21,0.22,0.22,0.22,0.21,0.21,0.21,0.22,0.21,0.21,0.21,0.21,0.22,0.2,0.2,0.2,0.2,0.2,0.21,0.2,0.21,0.2,0.21,0.0,0.0,0.2,0.2,0.2,0.2,0.21,0.2,0.2,0.2,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,81.31
07/16/2021,1.09,0.95,0.92,0.89,0.83,0.85,0.86,0.85,0.79,0.83,0.77,0.79,0.76,0.75,0.78,0.75,0.76,0.75,0.75,0.75,0.76,0.75,0.74,0.75,0.73,0.75,0.72,0.73,0.64,0.68,0.66,0.67,0.63,0.65,0.63,0.64,0.63,0.58,0.6,0.58,0.55,0.53,0.54,0.52,0.52,0.51,0.51,0.5,0.5,0.51,0.52,0.52,0.5,0.49,0.5,0.49,0.49,0.48,0.5,0.49,0.49,0.49,0.49,0.49,0.46,0.48,0.47,0.48,0.48,0.45,0.47,0.45,0.46,0.46,0.45,0.45,0.44,0.45,0.47,0.44,0.43,0.44,0.43,0.42,0.41,0.41,0.43,0.41,0.4,0.41,0.41,0.4,0.4,0.4,0.39,0.4,0.39,0.39,0.39,0.38,0.38,0.39,0.36,0.37,0.36,0.37,0.36,0.36,0.35,0.35,0.28,0.26,0.27,0.26,0.26,0.25,0.25,0.26,0.25,0.25,0.24,0.24,0.24,0.24,0.24,0.23,0.23,0.25,0.25,0.23,0.24,0.24,0.23,0.24,0.23,0.23,0.23,0.23,0.24,0.25,0.24,0.22,0.22,0.22,0.22,0.22,0.23,0.23,0.23,0.22,0.22,0.21,0.22,0.22,0.22,0.22,0.23,0.22,0.23,0.22,0.22,0.21,0.21,0.21,0.2,0.22,0.22,0.22,0.21,0.21,0.22,0.22,0.21,0.22,0.21,0.22,0.21,0.22,0.21,0.21,0.22,0.2,0.2,0.21,0.2,0.2,0.21,0.2,0.21,0.21,0.21,0.19,0.0,0.2,0.0,0.2,0.21,0.21,0.2,0.2,0.2,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,81.43
07/19/2021,1.02,0.94,0.87,0.88,0.82,0.86,0.87,0.87,0.78,0.81,0.76,0.77,0.77,0.76,0.79,0.74,0.75,0.76,0.74,0.76,0.76,0.73,0.75,0.72,0.72,0.74,0.72,0.69,0.64,0.66,0.64,0.67,0.64,0.63,0.63,0.63,0.63,0.59,0.61,0.58,0.56,0.53,0.54,0.53,0.54,0.49,0.52,0.5,0.5,0.52,0.52,0.52,0.51,0.5,0.5,0.49,0.49,0.49,0.5,0.49,0.48,0.5,0.49,0.49,0.47,0.46,0.47,0.47,0.48,0.46,0.48,0.46,0.46,0.47,0.47,0.45,0.44,0.44,0.47,0.44,0.43,0.43,0.43,0.42,0.42,0.41,0.43,0.41,0.4,0.42,0.41,0.41,0.39,0.41,0.39,0.4,0.39,0.39,0.39,0.37,0.38,0.39,0.35,0.33,0.36,0.37,0.37,0.36,0.36,0.35,0.29,0.26,0.27,0.27,0.26,0.25,0.25,0.26,0.25,0.26,0.24,0.24,0.25,0.25,0.24,0.23,0.23,0.25,0.25,0.23,0.24,0.24,0.23,0.24,0.23,0.24,0.23,0.24,0.24,0.25,0.24,0.22,0.21,0.22,0.22,0.22,0.23,0.22,0.23,0.22,0.22,0.22,0.23,0.22,0.22,0.22,0.23,0.21,0.23,0.22,0.22,0.21,0.21,0.21,0.21,0.22,0.22,0.22,0.22,0.21,0.23,0.22,0.21,0.22,0.21,0.22,0.21,0.22,0.21,0.21,0.23,0.2,0.2,0.2,0.0,0.2,0.21,0.2,0.2,0.21,0.21,0.2,0.0,0.2,0.0,0.0,0.21,0.21,0.2,0.2,0.2,0.0,0.2,0.2,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,81.31
07/20/2021,0.99,0.95,0.89,0.9,0.8,0.86,0.87,0.87,0.77,0.8,0.75,0.78,0.76,0.76,0.8,0.73,0.75,0.76,0.71,0.76,0.75,0.71,0.74,0.7,0.7,0.73,0.71,0.68,0.63,0.64,0.62,0.66,0.64,0.64,0.63,0.62,0.63,0.6,0.61,0.58,0.56,0.53,0.54,0.53,0.54,0.48,0.51,0.5,0.5,0.51,0.53,0.52,0.51,0.51,0.51,0.48,0.48,0.5,0.5,0.49,0.47,0.5,0.5,0.49,0.47,0.47,0.47,0.47,0.49,0.46,0.49,0.47,0.46,0.47,0.46,0.46,0.45,0.43,0.47,0.45,0.42,0.43,0.44,0.43,0.42,0.41,0.43,0.4,0.41,0.42,0.41,0.42,0.4,0.41,0.39,0.4,0.4,0.4,0.39,0.38,0.38,0.39,0.36,0.35,0.37,0.38,0.37,0.36,0.36,0.35,0.3,0.26,0.26,0.27,0.26,0.25,0.26,0.26,0.24,0.26,0.24,0.24,0.25,0.25,0.24,0.23,0.24,0.25,0.25,0.23,0.24,0.25,0.24,0.24,0.23,0.24,0.23,0.24,0.24,0.24,0.24,0.22,0.22,0.23,0.22,0.22,0.22,0.22,0.23,0.22,0.22,0.22,0.23,0.22,0.23,0.22,0.23,0.21,0.23,0.23,0.22,0.21,0.21,0.21,0.21,0.23,0.22,0.22,0.22,0.21,0.22,0.22,0.21,0.22,0.21,0.22,0.21,0.21,0.21,0.2,0.23,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.21,0.21,0.2,0.0,0.21,0.0,0.0,0.21,0.22,0.2,0.2,0.0,0.0,0.2,0.2,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,81.28
07/21/2021,0.99,0.95,0.89,0.9,0.8,0.86,0.87,0.87,0.77,0.8,0.75,0.78,0.76,0.76,0.8,0.73,0.75,0.76,0.71,0.76,0.75,0.71,0.74,0.7,0.7,0.73,0.71,0.68,0.63,0.64,0.62,0.66,0.64,0.64,0.63,0.62,0.63,0.6,0.61,0.58,0.56,0.53,0.54,0.53,0.54,0.48,0.51,0.5,0.5,0.51,0.53,0.52,0.51,0.51,0.51,0.48,0.48,0.5,0.5,0.49,0.47,0.5,0.5,0.49,0.47,0.47,0.47,0.47,0.49,0.46,0.49,0.47,0.46,0.47,0.46,0.46,0.45,0.43,0.47,0.45,0.42,0.43,0.44,0.43,0.42,0.41,0.43,0.4,0.41,0.42,0.41,0.42,0.4,0.41,0.39,0.4,0.4,0.4,0.39,0.38,0.38,0.39,0.36,0.35,0.37,0.38,0.37,0.36,0.36,0.35,0.3,0.26,0.26,0.27,0.26,0.25,0.26,0.26,0.24,0.26,0.24,0.24,0.25,0.25,0.24,0.23,0.24,0.25,0.25,0.23,0.24,0.25,0.24,0.24,0.23,0.24,0.23,0.24,0.24,0.24,0.24,0.22,0.22,0.23,0.22,0.22,0.22,0.22,0.23,0.22,0.22,0.22,0.23,0.22,0.23,0.22,0.23,0.21,0.23,0.23,0.22,0.21,0.21,0.21,0.21,0.23,0.22,0.22,0.22,0.21,0.22,0.22,0.21,0.22,0.21,0.22,0.21,0.21,0.21,0.2,0.23,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.21,0.21,0.2,0.0,0.21,0.0,0.0,0.21,0.22,0.2,0.2,0.0,0.0,0.2,0.2,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,81.28
07/22/2021,0.79,0.86,0.81,0.94,0.79,0.86,0.87,0.88,0.8,0.81,0.78,0.86,0.82,0.83,0.86,0.77,0.83,0.8,0.77,0.84,0.83,0.76,0.83,0.0,0.76,0.83,0.82,0.78,0.77,0.77,0.75,0.81,0.79,0.5,0.81,0.82,0.52,0.82,0.53,0.52,0.53,0.5,0.52,0.5,0.5,0.44,0.52,0.48,0.49,0.5,0.53,0.52,0.49,0.51,0.5,0.47,0.47,0.51,0.5,0.49,0.47,0.51,0.54,0.4,0.49,0.48,0.48,0.49,0.23,0.49,0.4,0.41,0.4,0.52,0.48,0.52,0.39,0.45,0.41,0.39,0.48,0.5,0.39,0.52,0.4,0.5,0.41,0.38,0.38,0.4,0.39,0.4,0.38,0.4,0.37,0.4,0.39,0.39,0.39,0.39,0.39,0.4,0.36,0.36,0.4,0.39,0.39,0.37,0.39,0.38,0.23,0.23,0.22,0.23,0.22,0.22,0.21,0.23,0.21,0.21,0.22,0.22,0.23,0.23,0.22,0.21,0.22,0.22,0.22,0.21,0.23,0.23,0.23,0.23,0.21,0.21,0.2,0.22,0.23,0.0,0.23,0.2,0.2,0.2,0.22,0.21,0.22,0.2,0.22,0.22,0.2,0.22,0.23,0.22,0.22,0.22,0.22,0.22,0.23,0.22,0.22,0.0,0.0,0.22,0.21,0.24,0.22,0.21,0.2,0.22,0.21,0.22,0.21,0.22,0.2,0.2,0.2,0.21,0.22,0.0,0.22,0.2,0.0,0.0,0.0,0.2,0.21,0.22,0.0,0.22,0.22,0.2,0.0,0.22,0.0,0.21,0.21,0.23,0.2,0.2,0.21,0.21,0.2,0.21,0.0,0.21,0.37,0.21,0.2,0.2,0.2,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,81.33000000000001
