,AAPL,MSFT,AMZN,FB,GOOGL,GOOG,TSLA,NVDA,PYPL,HD,ADBE,V,NFLX,MA,CRM,UNH,TMO,JNJ,PG,QCOM,ABBV,AVGO,AMAT,ABT,INTU,CMCSA,NKE,DHR,UPS,LOW,ACN,CHTR,AMD,LLY,NOW,LRCX,TXN,MRK,SPGI,LIN,COST,BLK,PEP,DE,ORCL,SBUX,BMY,KO,TGT,UNP,MCD,ISRG,AMGN,ADSK,CAT,NEE,ZTS,AMT,TMUS,VRTX,REGN,DG,FDX,CCI,KLAC,IDXX,SHW,FISV,TWTR,ATVI,LMT,ALGN,SYK,ADP,CSX,EL,EBAY,MCO,SNPS,MSCI,CMG,FCX,EQIX,PGR,CL,BKNG,DXCM,CDNS,MNST,MMC,ICE,EW,NEM,NSC,SIVB,XLNX,APD,MTD,MCHP,A,RMD,AON,FTNT,ILMN,ITW,IQV,HUM,ANSS,ALXN,VRSK,APTV,CPRT,TROW,ADI,WST,LHX,ORLY,INFO,ROP,ODFL,APH,DOW,ECL,URI,CARR,EMR,FAST,EA,TER,BIIB,TTWO,WM,TDG,SBAC,TSCO,ETSY,PH,QRVO,GNRC,CTAS,TT,TRMB,ALB,ZBRA,CTSH,DHI,ANET,PSA,ENPH,FRC,CTLT,MKTX,POOL,AZO,BLL,PAYX,ROK,TEL,CRL,KMB,OTIS,DPZ,MXIM,CMI,TYL,PKI,PAYC,GLW,MSI,YUM,AME,KEYS,FMC,CLX,MPWR,SWKS,EFX,PTC,CHD,AWK,EXPD,KSU,BBY,BIO,CZR,AJG,HLT,ABMD,NDAQ,GWW,HES,AKAM,GRMN,HOLX,J,WAT,IT,HSY,CERN,CDW,STE,EXR,MRNA,BBWI WI,TECH,XYL,MTCH,n/a,BRO,SUM
07/23/2021,11.2,10.64,7.69,4.34,3.82,3.73,2.73,2.6,1.79,1.27,1.46,1.24,1.22,1.13,1.1,1.02,1.03,0.9,0.83,0.84,0.77,0.69,0.68,0.63,0.7,0.6,0.66,0.6,0.55,0.51,0.55,0.52,0.6,0.58,0.57,0.48,0.49,0.49,0.52,0.45,0.48,0.45,0.45,0.43,0.41,0.4,0.4,0.38,0.41,0.37,0.36,0.4,0.37,0.33,0.29,0.32,0.34,0.33,0.31,0.27,0.3,0.27,0.24,0.26,0.26,0.28,0.23,0.23,0.29,0.23,0.22,0.23,0.22,0.21,0.2,0.22,0.24,0.22,0.22,0.23,0.23,0.18,0.22,0.19,0.19,0.18,0.22,0.2,0.18,0.18,0.19,0.19,0.15,0.16,0.16,0.19,0.15,0.17,0.15,0.17,0.19,0.15,0.17,0.18,0.15,0.15,0.15,0.16,0.15,0.15,0.15,0.14,0.14,0.14,0.14,0.13,0.14,0.14,0.14,0.13,0.13,0.12,0.12,0.12,0.13,0.12,0.12,0.12,0.12,0.14,0.11,0.11,0.11,0.12,0.11,0.14,0.11,0.11,0.14,0.12,0.11,0.11,0.1,0.11,0.1,0.09,0.1,0.1,0.13,0.09,0.1,0.09,0.1,0.09,0.09,0.1,0.1,0.09,0.1,0.09,0.09,0.09,0.09,0.08,0.1,0.09,0.09,0.08,0.09,0.08,0.08,0.08,0.07,0.08,0.08,0.09,0.08,0.08,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.06,0.06,0.07,0.07,0.06,0.07,0.06,0.06,0.06,0.06,0.06,0.06,0.0,0.0,0.06,0.06,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,98.5
07/26/2021,11.2,10.64,7.69,4.34,3.82,3.73,2.73,2.6,1.79,1.27,1.46,1.24,1.22,1.13,1.1,1.02,1.03,0.9,0.83,0.84,0.77,0.69,0.68,0.63,0.7,0.6,0.66,0.6,0.55,0.51,0.55,0.52,0.6,0.58,0.57,0.48,0.49,0.49,0.52,0.45,0.48,0.45,0.45,0.43,0.41,0.4,0.4,0.38,0.41,0.37,0.36,0.4,0.37,0.33,0.29,0.32,0.34,0.33,0.31,0.27,0.3,0.27,0.24,0.26,0.26,0.28,0.23,0.23,0.29,0.23,0.22,0.23,0.22,0.21,0.2,0.22,0.24,0.22,0.22,0.23,0.23,0.18,0.22,0.19,0.19,0.18,0.22,0.2,0.18,0.18,0.19,0.19,0.15,0.16,0.16,0.19,0.15,0.17,0.15,0.17,0.19,0.15,0.17,0.18,0.15,0.15,0.15,0.16,0.15,0.15,0.15,0.14,0.14,0.14,0.14,0.13,0.14,0.14,0.14,0.13,0.13,0.12,0.12,0.12,0.13,0.12,0.12,0.12,0.12,0.14,0.11,0.11,0.11,0.12,0.11,0.14,0.11,0.11,0.14,0.12,0.11,0.11,0.1,0.11,0.1,0.09,0.1,0.1,0.13,0.09,0.1,0.09,0.1,0.09,0.09,0.1,0.1,0.09,0.1,0.09,0.09,0.09,0.09,0.08,0.1,0.09,0.09,0.08,0.09,0.08,0.08,0.08,0.07,0.08,0.08,0.09,0.08,0.08,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.06,0.06,0.07,0.07,0.06,0.07,0.06,0.06,0.06,0.06,0.06,0.06,0.0,0.0,0.06,0.06,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,98.5
07/27/2021,11.2,10.64,7.69,4.34,3.82,3.73,2.73,2.6,1.79,1.27,1.46,1.24,1.22,1.13,1.1,1.02,1.03,0.9,0.83,0.84,0.77,0.69,0.68,0.63,0.7,0.6,0.66,0.6,0.55,0.51,0.55,0.52,0.6,0.58,0.57,0.48,0.49,0.49,0.52,0.45,0.48,0.45,0.45,0.43,0.41,0.4,0.4,0.38,0.41,0.37,0.36,0.4,0.37,0.33,0.29,0.32,0.34,0.33,0.31,0.27,0.3,0.27,0.24,0.26,0.26,0.28,0.23,0.23,0.29,0.23,0.22,0.23,0.22,0.21,0.2,0.22,0.24,0.22,0.22,0.23,0.23,0.18,0.22,0.19,0.19,0.18,0.22,0.2,0.18,0.18,0.19,0.19,0.15,0.16,0.16,0.19,0.15,0.17,0.15,0.17,0.19,0.15,0.17,0.18,0.15,0.15,0.15,0.16,0.15,0.15,0.15,0.14,0.14,0.14,0.14,0.13,0.14,0.14,0.14,0.13,0.13,0.12,0.12,0.12,0.13,0.12,0.12,0.12,0.12,0.14,0.11,0.11,0.11,0.12,0.11,0.14,0.11,0.11,0.14,0.12,0.11,0.11,0.1,0.11,0.1,0.09,0.1,0.1,0.13,0.09,0.1,0.09,0.1,0.09,0.09,0.1,0.1,0.09,0.1,0.09,0.09,0.09,0.09,0.08,0.1,0.09,0.09,0.08,0.09,0.08,0.08,0.08,0.07,0.08,0.08,0.09,0.08,0.08,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.06,0.06,0.07,0.07,0.06,0.07,0.06,0.06,0.06,0.06,0.06,0.06,0.0,0.0,0.06,0.06,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,98.5
07/28/2021,11.2,10.64,7.69,4.34,3.82,3.73,2.73,2.6,1.79,1.27,1.46,1.24,1.22,1.13,1.1,1.02,1.03,0.9,0.83,0.84,0.77,0.69,0.68,0.63,0.7,0.6,0.66,0.6,0.55,0.51,0.55,0.52,0.6,0.58,0.57,0.48,0.49,0.49,0.52,0.45,0.48,0.45,0.45,0.43,0.41,0.4,0.4,0.38,0.41,0.37,0.36,0.4,0.37,0.33,0.29,0.32,0.34,0.33,0.31,0.27,0.3,0.27,0.24,0.26,0.26,0.28,0.23,0.23,0.29,0.23,0.22,0.23,0.22,0.21,0.2,0.22,0.24,0.22,0.22,0.23,0.23,0.18,0.22,0.19,0.19,0.18,0.22,0.2,0.18,0.18,0.19,0.19,0.15,0.16,0.16,0.19,0.15,0.17,0.15,0.17,0.19,0.15,0.17,0.18,0.15,0.15,0.15,0.16,0.15,0.15,0.15,0.14,0.14,0.14,0.14,0.13,0.14,0.14,0.14,0.13,0.13,0.12,0.12,0.12,0.13,0.12,0.12,0.12,0.12,0.14,0.11,0.11,0.11,0.12,0.11,0.14,0.11,0.11,0.14,0.12,0.11,0.11,0.1,0.11,0.1,0.09,0.1,0.1,0.13,0.09,0.1,0.09,0.1,0.09,0.09,0.1,0.1,0.09,0.1,0.09,0.09,0.09,0.09,0.08,0.1,0.09,0.09,0.08,0.09,0.08,0.08,0.08,0.07,0.08,0.08,0.09,0.08,0.08,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.06,0.06,0.07,0.07,0.06,0.07,0.06,0.06,0.06,0.06,0.06,0.06,0.0,0.0,0.06,0.06,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,98.5
07/29/2021,11.2,10.64,7.69,4.34,3.82,3.73,2.73,2.6,1.79,1.27,1.46,1.24,1.22,1.13,1.1,1.02,1.03,0.9,0.83,0.84,0.77,0.69,0.68,0.63,0.7,0.6,0.66,0.6,0.55,0.51,0.55,0.52,0.6,0.58,0.57,0.48,0.49,0.49,0.52,0.45,0.48,0.45,0.45,0.43,0.41,0.4,0.4,0.38,0.41,0.37,0.36,0.4,0.37,0.33,0.29,0.32,0.34,0.33,0.31,0.27,0.3,0.27,0.24,0.26,0.26,0.28,0.23,0.23,0.29,0.23,0.22,0.23,0.22,0.21,0.2,0.22,0.24,0.22,0.22,0.23,0.23,0.18,0.22,0.19,0.19,0.18,0.22,0.2,0.18,0.18,0.19,0.19,0.15,0.16,0.16,0.19,0.15,0.17,0.15,0.17,0.19,0.15,0.17,0.18,0.15,0.15,0.15,0.16,0.15,0.15,0.15,0.14,0.14,0.14,0.14,0.13,0.14,0.14,0.14,0.13,0.13,0.12,0.12,0.12,0.13,0.12,0.12,0.12,0.12,0.14,0.11,0.11,0.11,0.12,0.11,0.14,0.11,0.11,0.14,0.12,0.11,0.11,0.1,0.11,0.1,0.09,0.1,0.1,0.13,0.09,0.1,0.09,0.1,0.09,0.09,0.1,0.1,0.09,0.1,0.09,0.09,0.09,0.09,0.08,0.1,0.09,0.09,0.08,0.09,0.08,0.08,0.08,0.07,0.08,0.08,0.09,0.08,0.08,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.06,0.06,0.07,0.07,0.06,0.07,0.06,0.06,0.06,0.06,0.06,0.06,0.0,0.0,0.06,0.06,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,98.5
07/30/2021,11.2,10.64,7.69,4.34,3.82,3.73,2.73,2.6,1.79,1.27,1.46,1.24,1.22,1.13,1.1,1.02,1.03,0.9,0.83,0.84,0.77,0.69,0.68,0.63,0.7,0.6,0.66,0.6,0.55,0.51,0.55,0.52,0.6,0.58,0.57,0.48,0.49,0.49,0.52,0.45,0.48,0.45,0.45,0.43,0.41,0.4,0.4,0.38,0.41,0.37,0.36,0.4,0.37,0.33,0.29,0.32,0.34,0.33,0.31,0.27,0.3,0.27,0.24,0.26,0.26,0.28,0.23,0.23,0.29,0.23,0.22,0.23,0.22,0.21,0.2,0.22,0.24,0.22,0.22,0.23,0.23,0.18,0.22,0.19,0.19,0.18,0.22,0.2,0.18,0.18,0.19,0.19,0.15,0.16,0.16,0.19,0.15,0.17,0.15,0.17,0.19,0.15,0.17,0.18,0.15,0.15,0.15,0.16,0.15,0.15,0.15,0.14,0.14,0.14,0.14,0.13,0.14,0.14,0.14,0.13,0.13,0.12,0.12,0.12,0.13,0.12,0.12,0.12,0.12,0.14,0.11,0.11,0.11,0.12,0.11,0.14,0.11,0.11,0.14,0.12,0.11,0.11,0.1,0.11,0.1,0.09,0.1,0.1,0.13,0.09,0.1,0.09,0.1,0.09,0.09,0.1,0.1,0.09,0.1,0.09,0.09,0.09,0.09,0.08,0.1,0.09,0.09,0.08,0.09,0.08,0.08,0.08,0.07,0.08,0.08,0.09,0.08,0.08,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.06,0.06,0.07,0.07,0.06,0.07,0.06,0.06,0.06,0.06,0.06,0.06,0.0,0.0,0.06,0.06,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,98.5
08/02/2021,11.2,10.64,7.69,4.34,3.82,3.73,2.73,2.6,1.79,1.27,1.46,1.24,1.22,1.13,1.1,1.02,1.03,0.9,0.83,0.84,0.77,0.69,0.68,0.63,0.7,0.6,0.66,0.6,0.55,0.51,0.55,0.52,0.6,0.58,0.57,0.48,0.49,0.49,0.52,0.45,0.48,0.45,0.45,0.43,0.41,0.4,0.4,0.38,0.41,0.37,0.36,0.4,0.37,0.33,0.29,0.32,0.34,0.33,0.31,0.27,0.3,0.27,0.24,0.26,0.26,0.28,0.23,0.23,0.29,0.23,0.22,0.23,0.22,0.21,0.2,0.22,0.24,0.22,0.22,0.23,0.23,0.18,0.22,0.19,0.19,0.18,0.22,0.2,0.18,0.18,0.19,0.19,0.15,0.16,0.16,0.19,0.15,0.17,0.15,0.17,0.19,0.15,0.17,0.18,0.15,0.15,0.15,0.16,0.15,0.15,0.15,0.14,0.14,0.14,0.14,0.13,0.14,0.14,0.14,0.13,0.13,0.12,0.12,0.12,0.13,0.12,0.12,0.12,0.12,0.14,0.11,0.11,0.11,0.12,0.11,0.14,0.11,0.11,0.14,0.12,0.11,0.11,0.1,0.11,0.1,0.09,0.1,0.1,0.13,0.09,0.1,0.09,0.1,0.09,0.09,0.1,0.1,0.09,0.1,0.09,0.09,0.09,0.09,0.08,0.1,0.09,0.09,0.08,0.09,0.08,0.08,0.08,0.07,0.08,0.08,0.09,0.08,0.08,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.06,0.06,0.07,0.07,0.06,0.07,0.06,0.06,0.06,0.06,0.06,0.06,0.0,0.0,0.06,0.06,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,98.5
08/03/2021,11.2,10.64,7.69,4.34,3.82,3.73,2.73,2.6,1.79,1.27,1.46,1.24,1.22,1.13,1.1,1.02,1.03,0.9,0.83,0.84,0.77,0.69,0.68,0.63,0.7,0.6,0.66,0.6,0.55,0.51,0.55,0.52,0.6,0.58,0.57,0.48,0.49,0.49,0.52,0.45,0.48,0.45,0.45,0.43,0.41,0.4,0.4,0.38,0.41,0.37,0.36,0.4,0.37,0.33,0.29,0.32,0.34,0.33,0.31,0.27,0.3,0.27,0.24,0.26,0.26,0.28,0.23,0.23,0.29,0.23,0.22,0.23,0.22,0.21,0.2,0.22,0.24,0.22,0.22,0.23,0.23,0.18,0.22,0.19,0.19,0.18,0.22,0.2,0.18,0.18,0.19,0.19,0.15,0.16,0.16,0.19,0.15,0.17,0.15,0.17,0.19,0.15,0.17,0.18,0.15,0.15,0.15,0.16,0.15,0.15,0.15,0.14,0.14,0.14,0.14,0.13,0.14,0.14,0.14,0.13,0.13,0.12,0.12,0.12,0.13,0.12,0.12,0.12,0.12,0.14,0.11,0.11,0.11,0.12,0.11,0.14,0.11,0.11,0.14,0.12,0.11,0.11,0.1,0.11,0.1,0.09,0.1,0.1,0.13,0.09,0.1,0.09,0.1,0.09,0.09,0.1,0.1,0.09,0.1,0.09,0.09,0.09,0.09,0.08,0.1,0.09,0.09,0.08,0.09,0.08,0.08,0.08,0.07,0.08,0.08,0.09,0.08,0.08,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.06,0.06,0.07,0.07,0.06,0.07,0.06,0.06,0.06,0.06,0.06,0.06,0.0,0.0,0.06,0.06,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,98.5
08/04/2021,11.2,10.64,7.69,4.34,3.82,3.73,2.73,2.6,1.79,1.27,1.46,1.24,1.22,1.13,1.1,1.02,1.03,0.9,0.83,0.84,0.77,0.69,0.68,0.63,0.7,0.6,0.66,0.6,0.55,0.51,0.55,0.52,0.6,0.58,0.57,0.48,0.49,0.49,0.52,0.45,0.48,0.45,0.45,0.43,0.41,0.4,0.4,0.38,0.41,0.37,0.36,0.4,0.37,0.33,0.29,0.32,0.34,0.33,0.31,0.27,0.3,0.27,0.24,0.26,0.26,0.28,0.23,0.23,0.29,0.23,0.22,0.23,0.22,0.21,0.2,0.22,0.24,0.22,0.22,0.23,0.23,0.18,0.22,0.19,0.19,0.18,0.22,0.2,0.18,0.18,0.19,0.19,0.15,0.16,0.16,0.19,0.15,0.17,0.15,0.17,0.19,0.15,0.17,0.18,0.15,0.15,0.15,0.16,0.15,0.15,0.15,0.14,0.14,0.14,0.14,0.13,0.14,0.14,0.14,0.13,0.13,0.12,0.12,0.12,0.13,0.12,0.12,0.12,0.12,0.14,0.11,0.11,0.11,0.12,0.11,0.14,0.11,0.11,0.14,0.12,0.11,0.11,0.1,0.11,0.1,0.09,0.1,0.1,0.13,0.09,0.1,0.09,0.1,0.09,0.09,0.1,0.1,0.09,0.1,0.09,0.09,0.09,0.09,0.08,0.1,0.09,0.09,0.08,0.09,0.08,0.08,0.08,0.07,0.08,0.08,0.09,0.08,0.08,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.06,0.06,0.07,0.07,0.06,0.07,0.06,0.06,0.06,0.06,0.06,0.06,0.0,0.0,0.06,0.06,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,98.5
08/05/2021,11.2,10.64,7.69,4.34,3.82,3.73,2.73,2.6,1.79,1.27,1.46,1.24,1.22,1.13,1.1,1.02,1.03,0.9,0.83,0.84,0.77,0.69,0.68,0.63,0.7,0.6,0.66,0.6,0.55,0.51,0.55,0.52,0.6,0.58,0.57,0.48,0.49,0.49,0.52,0.45,0.48,0.45,0.45,0.43,0.41,0.4,0.4,0.38,0.41,0.37,0.36,0.4,0.37,0.33,0.29,0.32,0.34,0.33,0.31,0.27,0.3,0.27,0.24,0.26,0.26,0.28,0.23,0.23,0.29,0.23,0.22,0.23,0.22,0.21,0.2,0.22,0.24,0.22,0.22,0.23,0.23,0.18,0.22,0.19,0.19,0.18,0.22,0.2,0.18,0.18,0.19,0.19,0.15,0.16,0.16,0.19,0.15,0.17,0.15,0.17,0.19,0.15,0.17,0.18,0.15,0.15,0.15,0.16,0.15,0.15,0.15,0.14,0.14,0.14,0.14,0.13,0.14,0.14,0.14,0.13,0.13,0.12,0.12,0.12,0.13,0.12,0.12,0.12,0.12,0.14,0.11,0.11,0.11,0.12,0.11,0.14,0.11,0.11,0.14,0.12,0.11,0.11,0.1,0.11,0.1,0.09,0.1,0.1,0.13,0.09,0.1,0.09,0.1,0.09,0.09,0.1,0.1,0.09,0.1,0.09,0.09,0.09,0.09,0.08,0.1,0.09,0.09,0.08,0.09,0.08,0.08,0.08,0.07,0.08,0.08,0.09,0.08,0.08,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.06,0.06,0.07,0.07,0.06,0.07,0.06,0.06,0.06,0.06,0.06,0.06,0.0,0.0,0.06,0.06,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,98.5
08/06/2021,11.2,10.64,7.69,4.34,3.82,3.73,2.73,2.6,1.79,1.27,1.46,1.24,1.22,1.13,1.1,1.02,1.03,0.9,0.83,0.84,0.77,0.69,0.68,0.63,0.7,0.6,0.66,0.6,0.55,0.51,0.55,0.52,0.6,0.58,0.57,0.48,0.49,0.49,0.52,0.45,0.48,0.45,0.45,0.43,0.41,0.4,0.4,0.38,0.41,0.37,0.36,0.4,0.37,0.33,0.29,0.32,0.34,0.33,0.31,0.27,0.3,0.27,0.24,0.26,0.26,0.28,0.23,0.23,0.29,0.23,0.22,0.23,0.22,0.21,0.2,0.22,0.24,0.22,0.22,0.23,0.23,0.18,0.22,0.19,0.19,0.18,0.22,0.2,0.18,0.18,0.19,0.19,0.15,0.16,0.16,0.19,0.15,0.17,0.15,0.17,0.19,0.15,0.17,0.18,0.15,0.15,0.15,0.16,0.15,0.15,0.15,0.14,0.14,0.14,0.14,0.13,0.14,0.14,0.14,0.13,0.13,0.12,0.12,0.12,0.13,0.12,0.12,0.12,0.12,0.14,0.11,0.11,0.11,0.12,0.11,0.14,0.11,0.11,0.14,0.12,0.11,0.11,0.1,0.11,0.1,0.09,0.1,0.1,0.13,0.09,0.1,0.09,0.1,0.09,0.09,0.1,0.1,0.09,0.1,0.09,0.09,0.09,0.09,0.08,0.1,0.09,0.09,0.08,0.09,0.08,0.08,0.08,0.07,0.08,0.08,0.09,0.08,0.08,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.06,0.06,0.07,0.07,0.06,0.07,0.06,0.06,0.06,0.06,0.06,0.06,0.0,0.0,0.06,0.06,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,98.5
08/09/2021,11.2,10.64,7.69,4.34,3.82,3.73,2.73,2.6,1.79,1.27,1.46,1.24,1.22,1.13,1.1,1.02,1.03,0.9,0.83,0.84,0.77,0.69,0.68,0.63,0.7,0.6,0.66,0.6,0.55,0.51,0.55,0.52,0.6,0.58,0.57,0.48,0.49,0.49,0.52,0.45,0.48,0.45,0.45,0.43,0.41,0.4,0.4,0.38,0.41,0.37,0.36,0.4,0.37,0.33,0.29,0.32,0.34,0.33,0.31,0.27,0.3,0.27,0.24,0.26,0.26,0.28,0.23,0.23,0.29,0.23,0.22,0.23,0.22,0.21,0.2,0.22,0.24,0.22,0.22,0.23,0.23,0.18,0.22,0.19,0.19,0.18,0.22,0.2,0.18,0.18,0.19,0.19,0.15,0.16,0.16,0.19,0.15,0.17,0.15,0.17,0.19,0.15,0.17,0.18,0.15,0.15,0.15,0.16,0.15,0.15,0.15,0.14,0.14,0.14,0.14,0.13,0.14,0.14,0.14,0.13,0.13,0.12,0.12,0.12,0.13,0.12,0.12,0.12,0.12,0.14,0.11,0.11,0.11,0.12,0.11,0.14,0.11,0.11,0.14,0.12,0.11,0.11,0.1,0.11,0.1,0.09,0.1,0.1,0.13,0.09,0.1,0.09,0.1,0.09,0.09,0.1,0.1,0.09,0.1,0.09,0.09,0.09,0.09,0.08,0.1,0.09,0.09,0.08,0.09,0.08,0.08,0.08,0.07,0.08,0.08,0.09,0.08,0.08,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.06,0.06,0.07,0.07,0.06,0.07,0.06,0.06,0.06,0.06,0.06,0.06,0.0,0.0,0.06,0.06,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,98.5
08/10/2021,11.2,10.64,7.69,4.34,3.82,3.73,2.73,2.6,1.79,1.27,1.46,1.24,1.22,1.13,1.1,1.02,1.03,0.9,0.83,0.84,0.77,0.69,0.68,0.63,0.7,0.6,0.66,0.6,0.55,0.51,0.55,0.52,0.6,0.58,0.57,0.48,0.49,0.49,0.52,0.45,0.48,0.45,0.45,0.43,0.41,0.4,0.4,0.38,0.41,0.37,0.36,0.4,0.37,0.33,0.29,0.32,0.34,0.33,0.31,0.27,0.3,0.27,0.24,0.26,0.26,0.28,0.23,0.23,0.29,0.23,0.22,0.23,0.22,0.21,0.2,0.22,0.24,0.22,0.22,0.23,0.23,0.18,0.22,0.19,0.19,0.18,0.22,0.2,0.18,0.18,0.19,0.19,0.15,0.16,0.16,0.19,0.15,0.17,0.15,0.17,0.19,0.15,0.17,0.18,0.15,0.15,0.15,0.16,0.15,0.15,0.15,0.14,0.14,0.14,0.14,0.13,0.14,0.14,0.14,0.13,0.13,0.12,0.12,0.12,0.13,0.12,0.12,0.12,0.12,0.14,0.11,0.11,0.11,0.12,0.11,0.14,0.11,0.11,0.14,0.12,0.11,0.11,0.1,0.11,0.1,0.09,0.1,0.1,0.13,0.09,0.1,0.09,0.1,0.09,0.09,0.1,0.1,0.09,0.1,0.09,0.09,0.09,0.09,0.08,0.1,0.09,0.09,0.08,0.09,0.08,0.08,0.08,0.07,0.08,0.08,0.09,0.08,0.08,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.06,0.06,0.07,0.07,0.06,0.07,0.06,0.06,0.06,0.06,0.06,0.06,0.0,0.0,0.06,0.06,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,98.5
08/11/2021,11.2,10.64,7.69,4.34,3.82,3.73,2.73,2.6,1.79,1.27,1.46,1.24,1.22,1.13,1.1,1.02,1.03,0.9,0.83,0.84,0.77,0.69,0.68,0.63,0.7,0.6,0.66,0.6,0.55,0.51,0.55,0.52,0.6,0.58,0.57,0.48,0.49,0.49,0.52,0.45,0.48,0.45,0.45,0.43,0.41,0.4,0.4,0.38,0.41,0.37,0.36,0.4,0.37,0.33,0.29,0.32,0.34,0.33,0.31,0.27,0.3,0.27,0.24,0.26,0.26,0.28,0.23,0.23,0.29,0.23,0.22,0.23,0.22,0.21,0.2,0.22,0.24,0.22,0.22,0.23,0.23,0.18,0.22,0.19,0.19,0.18,0.22,0.2,0.18,0.18,0.19,0.19,0.15,0.16,0.16,0.19,0.15,0.17,0.15,0.17,0.19,0.15,0.17,0.18,0.15,0.15,0.15,0.16,0.15,0.15,0.15,0.14,0.14,0.14,0.14,0.13,0.14,0.14,0.14,0.13,0.13,0.12,0.12,0.12,0.13,0.12,0.12,0.12,0.12,0.14,0.11,0.11,0.11,0.12,0.11,0.14,0.11,0.11,0.14,0.12,0.11,0.11,0.1,0.11,0.1,0.09,0.1,0.1,0.13,0.09,0.1,0.09,0.1,0.09,0.09,0.1,0.1,0.09,0.1,0.09,0.09,0.09,0.09,0.08,0.1,0.09,0.09,0.08,0.09,0.08,0.08,0.08,0.07,0.08,0.08,0.09,0.08,0.08,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.06,0.06,0.07,0.07,0.06,0.07,0.06,0.06,0.06,0.06,0.06,0.06,0.0,0.0,0.06,0.06,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,98.5
08/12/2021,11.2,10.64,7.69,4.34,3.82,3.73,2.73,2.6,1.79,1.27,1.46,1.24,1.22,1.13,1.1,1.02,1.03,0.9,0.83,0.84,0.77,0.69,0.68,0.63,0.7,0.6,0.66,0.6,0.55,0.51,0.55,0.52,0.6,0.58,0.57,0.48,0.49,0.49,0.52,0.45,0.48,0.45,0.45,0.43,0.41,0.4,0.4,0.38,0.41,0.37,0.36,0.4,0.37,0.33,0.29,0.32,0.34,0.33,0.31,0.27,0.3,0.27,0.24,0.26,0.26,0.28,0.23,0.23,0.29,0.23,0.22,0.23,0.22,0.21,0.2,0.22,0.24,0.22,0.22,0.23,0.23,0.18,0.22,0.19,0.19,0.18,0.22,0.2,0.18,0.18,0.19,0.19,0.15,0.16,0.16,0.19,0.15,0.17,0.15,0.17,0.19,0.15,0.17,0.18,0.15,0.15,0.15,0.16,0.15,0.15,0.15,0.14,0.14,0.14,0.14,0.13,0.14,0.14,0.14,0.13,0.13,0.12,0.12,0.12,0.13,0.12,0.12,0.12,0.12,0.14,0.11,0.11,0.11,0.12,0.11,0.14,0.11,0.11,0.14,0.12,0.11,0.11,0.1,0.11,0.1,0.09,0.1,0.1,0.13,0.09,0.1,0.09,0.1,0.09,0.09,0.1,0.1,0.09,0.1,0.09,0.09,0.09,0.09,0.08,0.1,0.09,0.09,0.08,0.09,0.08,0.08,0.08,0.07,0.08,0.08,0.09,0.08,0.08,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.06,0.06,0.07,0.07,0.06,0.07,0.06,0.06,0.06,0.06,0.06,0.06,0.0,0.0,0.06,0.06,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,98.5
