,NESN.SW,ROG.SW,NOVN.SW,RELIANCE.NS,700.HK,SAP.DE,1299.HK,TCS.NS,SIE.DE,6861.T,DGE.L,CSL.AX,NPN.JO,2318.HK,INFY,CNR.TO,BAM.A.TO,HINDUNILVR.NS,DSY.PA,DSV.CO,BBCA.JK,035420.KS,REL.L,6981.T,BAJFINANCE.NS,SIKA.SW,2413.T,M4B.,GIVN.SW,PGHN.SW,2313.HK,3382.T,ASIANPAINT.NS,960.HK,EXPN.L,66.HK,AMXL.MX,669.HK,AHT.L,ASSA B.ST,COLO B.CO,3.HK,ATD.B.TO,FRE.DE,MG.TO,4503.T,4452.T,4543.T,FNV.TO,GEBN.SW,IMO.TO,KRZ.IR,FME.DE,8267.T,2502.T,DWNI.DE,TEP.PA,EMSN.SW,L.TO,LOGN.SW,384.HK,4307.T,9843.T,IFC.TO,ELEKTRA.MX,4684.T,UCB.BR,SY1.DE,NZYM B.CO,4507.T,WN.TO,BNR.DE,PIDILITIND.NS,1193.HK,SAP.TO,SOF.BR,HLMA.L,CRDA.L,DOL.TO,SPX.L,OTEX.TO,7532.T,6988.T,ITRK.L,FPH.NZ,GN.CO,MRU.TO,3064.T,REC.MI,4716.T,7951.T,TEMN.SW,2884.TW,BRITANNIA.NS,BERGEPAINT.NS,LEG.DE,5871.TW,4768.T,SGE.L,DIA.MI,CTC.A.TO,LISP.SW,CCL.B.TO,2267.T,2395.TW,9435.T,3769.T,TFII.TO,RADL3.SA,ICP.L,NEM.DE,DCC.L,BC8.DE,HIK.L,4021.T,TOM.OL,4739.T,3003.T,TIH.TO,4613.T,8439.T,DMP.AX,CAST.ST,688208.SS,3626.T,ONEX.TO,2433.T,RBA.TO,3141.T,MCY.NZ,DPH.L,AALB.AS,9719.T,ICT.PM,IAG.TO,ISA.BC,REY.MI,KTC/F.BK,3288.T,EMP.A.TO,EZL.AX,4732.T,6370.T,MFT.NZ,8331.T,SIM.CO,SOL.AX,ROCK B.CO,688208.SS.1,DKSH.SW,3231.T,5947.T,STN.TO,PKI.TO,GNS.L,7459.T,2002.T,TEG.DE,688208.SS.2,2412.T,1099.HK,PBH.TO,CAR.AX,688208.SS.3,9989.T,FTT.TO,1721.T,EBO.NZ,SUNDARMFIN.NS,ALSN.SW,BYD.TO,2784.T,9086.T,FPE3.DE,RWS.L,8283.T,WIHL.ST,GXI.DE,INRN.SW,HUFV A.ST,VID.MC,INFY.NS,4974.T,8056.T,8804.T,LICHSGFIN.NS,CCA.TO,TATAELXSI.NS,688208.SS.4,ATRLJ B.ST,8876.T,RILBA.CO,CWK.L,7164.T,5929.T,1951.T,INE.TO,NUTRESA.BC,GRI.L,GRUPOSURA.BC,DSYA.,PERSISTENT.NS,8111.T,DMGT.L,4812.T,GCC.MX,ECV.DE,BAR.BR,4338.SR,BAM,1973.T,BRG.OL,1414.T,4340.SR,ENGH.TO,SUM
07/30/2021,4.39,4.24,3.91,3.52,3.26,3.37,2.93,3.26,2.64,2.39,2.19,1.9,1.8,1.42,1.7,1.47,1.57,1.53,0.0,1.05,0.99,1.19,1.03,1.01,0.95,0.91,0.97,0.76,0.84,0.79,0.74,0.83,0.75,0.66,0.69,0.67,0.66,0.62,0.65,0.62,0.64,0.57,0.61,0.57,0.55,0.64,0.58,0.6,0.54,0.53,0.44,0.48,0.48,0.46,0.44,0.43,0.47,0.45,0.42,0.4,0.32,0.41,0.4,0.38,0.37,0.36,0.4,0.37,0.34,0.32,0.29,0.28,0.29,0.27,0.24,0.29,0.28,0.28,0.28,0.27,0.27,0.26,0.23,0.24,0.25,0.24,0.23,0.23,0.24,0.19,0.2,0.23,0.23,0.23,0.2,0.2,0.2,0.2,0.2,0.21,0.18,0.2,0.18,0.19,0.19,0.16,0.19,0.17,0.16,0.17,0.17,0.16,0.15,0.15,0.14,0.16,0.14,0.15,0.14,0.14,0.13,0.15,0.14,0.0,0.13,0.13,0.12,0.13,0.13,0.12,0.13,0.12,0.12,0.13,0.11,0.13,0.12,0.1,0.11,0.1,0.0,0.11,0.11,0.11,0.1,0.1,0.12,0.1,0.0,0.1,0.1,0.09,0.1,0.09,0.09,0.09,0.09,0.09,0.0,0.1,0.08,0.09,0.08,0.0,0.07,0.08,0.08,0.07,0.08,0.07,0.08,0.07,0.09,0.07,0.06,0.07,0.06,0.07,0.07,0.07,0.07,0.07,0.06,0.06,0.06,0.06,0.06,0.07,0.0,0.06,0.07,0.06,0.06,0.06,0.06,0.06,0.06,0.05,0.05,0.0,1.26,0.06,0.05,0.05,0.05,0.05,0.05,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,97.55
08/02/2021,4.39,4.24,3.91,3.52,3.26,3.37,2.93,3.26,2.64,2.39,2.19,1.9,1.8,1.42,1.7,1.47,1.57,1.53,0.0,1.05,0.99,1.19,1.03,1.01,0.95,0.91,0.97,0.76,0.84,0.79,0.74,0.83,0.75,0.66,0.69,0.67,0.66,0.62,0.65,0.62,0.64,0.57,0.61,0.57,0.55,0.64,0.58,0.6,0.54,0.53,0.44,0.48,0.48,0.46,0.44,0.43,0.47,0.45,0.42,0.4,0.32,0.41,0.4,0.38,0.37,0.36,0.4,0.37,0.34,0.32,0.29,0.28,0.29,0.27,0.24,0.29,0.28,0.28,0.28,0.27,0.27,0.26,0.23,0.24,0.25,0.24,0.23,0.23,0.24,0.19,0.2,0.23,0.23,0.23,0.2,0.2,0.2,0.2,0.2,0.21,0.18,0.2,0.18,0.19,0.19,0.16,0.19,0.17,0.16,0.17,0.17,0.16,0.15,0.15,0.14,0.16,0.14,0.15,0.14,0.14,0.13,0.15,0.14,0.0,0.13,0.13,0.12,0.13,0.13,0.12,0.13,0.12,0.12,0.13,0.11,0.13,0.12,0.1,0.11,0.1,0.0,0.11,0.11,0.11,0.1,0.1,0.12,0.1,0.0,0.1,0.1,0.09,0.1,0.09,0.09,0.09,0.09,0.09,0.0,0.1,0.08,0.09,0.08,0.0,0.07,0.08,0.08,0.07,0.08,0.07,0.08,0.07,0.09,0.07,0.06,0.07,0.06,0.07,0.07,0.07,0.07,0.07,0.06,0.06,0.06,0.06,0.06,0.07,0.0,0.06,0.07,0.06,0.06,0.06,0.06,0.06,0.06,0.05,0.05,0.0,1.26,0.06,0.05,0.05,0.05,0.05,0.05,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,97.55
08/03/2021,4.39,4.24,3.91,3.52,3.26,3.37,2.93,3.26,2.64,2.39,2.19,1.9,1.8,1.42,1.7,1.47,1.57,1.53,0.0,1.05,0.99,1.19,1.03,1.01,0.95,0.91,0.97,0.76,0.84,0.79,0.74,0.83,0.75,0.66,0.69,0.67,0.66,0.62,0.65,0.62,0.64,0.57,0.61,0.57,0.55,0.64,0.58,0.6,0.54,0.53,0.44,0.48,0.48,0.46,0.44,0.43,0.47,0.45,0.42,0.4,0.32,0.41,0.4,0.38,0.37,0.36,0.4,0.37,0.34,0.32,0.29,0.28,0.29,0.27,0.24,0.29,0.28,0.28,0.28,0.27,0.27,0.26,0.23,0.24,0.25,0.24,0.23,0.23,0.24,0.19,0.2,0.23,0.23,0.23,0.2,0.2,0.2,0.2,0.2,0.21,0.18,0.2,0.18,0.19,0.19,0.16,0.19,0.17,0.16,0.17,0.17,0.16,0.15,0.15,0.14,0.16,0.14,0.15,0.14,0.14,0.13,0.15,0.14,0.0,0.13,0.13,0.12,0.13,0.13,0.12,0.13,0.12,0.12,0.13,0.11,0.13,0.12,0.1,0.11,0.1,0.0,0.11,0.11,0.11,0.1,0.1,0.12,0.1,0.0,0.1,0.1,0.09,0.1,0.09,0.09,0.09,0.09,0.09,0.0,0.1,0.08,0.09,0.08,0.0,0.07,0.08,0.08,0.07,0.08,0.07,0.08,0.07,0.09,0.07,0.06,0.07,0.06,0.07,0.07,0.07,0.07,0.07,0.06,0.06,0.06,0.06,0.06,0.07,0.0,0.06,0.07,0.06,0.06,0.06,0.06,0.06,0.06,0.05,0.05,0.0,1.26,0.06,0.05,0.05,0.05,0.05,0.05,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,97.55
08/04/2021,4.39,4.24,3.91,3.52,3.26,3.37,2.93,3.26,2.64,2.39,2.19,1.9,1.8,1.42,1.7,1.47,1.57,1.53,0.0,1.05,0.99,1.19,1.03,1.01,0.95,0.91,0.97,0.76,0.84,0.79,0.74,0.83,0.75,0.66,0.69,0.67,0.66,0.62,0.65,0.62,0.64,0.57,0.61,0.57,0.55,0.64,0.58,0.6,0.54,0.53,0.44,0.48,0.48,0.46,0.44,0.43,0.47,0.45,0.42,0.4,0.32,0.41,0.4,0.38,0.37,0.36,0.4,0.37,0.34,0.32,0.29,0.28,0.29,0.27,0.24,0.29,0.28,0.28,0.28,0.27,0.27,0.26,0.23,0.24,0.25,0.24,0.23,0.23,0.24,0.19,0.2,0.23,0.23,0.23,0.2,0.2,0.2,0.2,0.2,0.21,0.18,0.2,0.18,0.19,0.19,0.16,0.19,0.17,0.16,0.17,0.17,0.16,0.15,0.15,0.14,0.16,0.14,0.15,0.14,0.14,0.13,0.15,0.14,0.0,0.13,0.13,0.12,0.13,0.13,0.12,0.13,0.12,0.12,0.13,0.11,0.13,0.12,0.1,0.11,0.1,0.0,0.11,0.11,0.11,0.1,0.1,0.12,0.1,0.0,0.1,0.1,0.09,0.1,0.09,0.09,0.09,0.09,0.09,0.0,0.1,0.08,0.09,0.08,0.0,0.07,0.08,0.08,0.07,0.08,0.07,0.08,0.07,0.09,0.07,0.06,0.07,0.06,0.07,0.07,0.07,0.07,0.07,0.06,0.06,0.06,0.06,0.06,0.07,0.0,0.06,0.07,0.06,0.06,0.06,0.06,0.06,0.06,0.05,0.05,0.0,1.26,0.06,0.05,0.05,0.05,0.05,0.05,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,97.55
08/05/2021,4.39,4.24,3.91,3.52,3.26,3.37,2.93,3.26,2.64,2.39,2.19,1.9,1.8,1.42,1.7,1.47,1.57,1.53,0.0,1.05,0.99,1.19,1.03,1.01,0.95,0.91,0.97,0.76,0.84,0.79,0.74,0.83,0.75,0.66,0.69,0.67,0.66,0.62,0.65,0.62,0.64,0.57,0.61,0.57,0.55,0.64,0.58,0.6,0.54,0.53,0.44,0.48,0.48,0.46,0.44,0.43,0.47,0.45,0.42,0.4,0.32,0.41,0.4,0.38,0.37,0.36,0.4,0.37,0.34,0.32,0.29,0.28,0.29,0.27,0.24,0.29,0.28,0.28,0.28,0.27,0.27,0.26,0.23,0.24,0.25,0.24,0.23,0.23,0.24,0.19,0.2,0.23,0.23,0.23,0.2,0.2,0.2,0.2,0.2,0.21,0.18,0.2,0.18,0.19,0.19,0.16,0.19,0.17,0.16,0.17,0.17,0.16,0.15,0.15,0.14,0.16,0.14,0.15,0.14,0.14,0.13,0.15,0.14,0.0,0.13,0.13,0.12,0.13,0.13,0.12,0.13,0.12,0.12,0.13,0.11,0.13,0.12,0.1,0.11,0.1,0.0,0.11,0.11,0.11,0.1,0.1,0.12,0.1,0.0,0.1,0.1,0.09,0.1,0.09,0.09,0.09,0.09,0.09,0.0,0.1,0.08,0.09,0.08,0.0,0.07,0.08,0.08,0.07,0.08,0.07,0.08,0.07,0.09,0.07,0.06,0.07,0.06,0.07,0.07,0.07,0.07,0.07,0.06,0.06,0.06,0.06,0.06,0.07,0.0,0.06,0.07,0.06,0.06,0.06,0.06,0.06,0.06,0.05,0.05,0.0,1.26,0.06,0.05,0.05,0.05,0.05,0.05,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,97.55
08/06/2021,4.39,4.24,3.91,3.52,3.26,3.37,2.93,3.26,2.64,2.39,2.19,1.9,1.8,1.42,1.7,1.47,1.57,1.53,0.0,1.05,0.99,1.19,1.03,1.01,0.95,0.91,0.97,0.76,0.84,0.79,0.74,0.83,0.75,0.66,0.69,0.67,0.66,0.62,0.65,0.62,0.64,0.57,0.61,0.57,0.55,0.64,0.58,0.6,0.54,0.53,0.44,0.48,0.48,0.46,0.44,0.43,0.47,0.45,0.42,0.4,0.32,0.41,0.4,0.38,0.37,0.36,0.4,0.37,0.34,0.32,0.29,0.28,0.29,0.27,0.24,0.29,0.28,0.28,0.28,0.27,0.27,0.26,0.23,0.24,0.25,0.24,0.23,0.23,0.24,0.19,0.2,0.23,0.23,0.23,0.2,0.2,0.2,0.2,0.2,0.21,0.18,0.2,0.18,0.19,0.19,0.16,0.19,0.17,0.16,0.17,0.17,0.16,0.15,0.15,0.14,0.16,0.14,0.15,0.14,0.14,0.13,0.15,0.14,0.0,0.13,0.13,0.12,0.13,0.13,0.12,0.13,0.12,0.12,0.13,0.11,0.13,0.12,0.1,0.11,0.1,0.0,0.11,0.11,0.11,0.1,0.1,0.12,0.1,0.0,0.1,0.1,0.09,0.1,0.09,0.09,0.09,0.09,0.09,0.0,0.1,0.08,0.09,0.08,0.0,0.07,0.08,0.08,0.07,0.08,0.07,0.08,0.07,0.09,0.07,0.06,0.07,0.06,0.07,0.07,0.07,0.07,0.07,0.06,0.06,0.06,0.06,0.06,0.07,0.0,0.06,0.07,0.06,0.06,0.06,0.06,0.06,0.06,0.05,0.05,0.0,1.26,0.06,0.05,0.05,0.05,0.05,0.05,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,97.55
08/10/2021,4.39,4.24,3.91,3.52,3.26,3.37,2.93,3.26,2.64,2.39,2.19,1.9,1.8,1.42,1.7,1.47,1.57,1.53,0.0,1.05,0.99,1.19,1.03,1.01,0.95,0.91,0.97,0.76,0.84,0.79,0.74,0.83,0.75,0.66,0.69,0.67,0.66,0.62,0.65,0.62,0.64,0.57,0.61,0.57,0.55,0.64,0.58,0.6,0.54,0.53,0.44,0.48,0.48,0.46,0.44,0.43,0.47,0.45,0.42,0.4,0.32,0.41,0.4,0.38,0.37,0.36,0.4,0.37,0.34,0.32,0.29,0.28,0.29,0.27,0.24,0.29,0.28,0.28,0.28,0.27,0.27,0.26,0.23,0.24,0.25,0.24,0.23,0.23,0.24,0.19,0.2,0.23,0.23,0.23,0.2,0.2,0.2,0.2,0.2,0.21,0.18,0.2,0.18,0.19,0.19,0.16,0.19,0.17,0.16,0.17,0.17,0.16,0.15,0.15,0.14,0.16,0.14,0.15,0.14,0.14,0.13,0.15,0.14,0.0,0.13,0.13,0.12,0.13,0.13,0.12,0.13,0.12,0.12,0.13,0.11,0.13,0.12,0.1,0.11,0.1,0.0,0.11,0.11,0.11,0.1,0.1,0.12,0.1,0.0,0.1,0.1,0.09,0.1,0.09,0.09,0.09,0.09,0.09,0.0,0.1,0.08,0.09,0.08,0.0,0.07,0.08,0.08,0.07,0.08,0.07,0.08,0.07,0.09,0.07,0.06,0.07,0.06,0.07,0.07,0.07,0.07,0.07,0.06,0.06,0.06,0.06,0.06,0.07,0.0,0.06,0.07,0.06,0.06,0.06,0.06,0.06,0.06,0.05,0.05,0.0,1.26,0.06,0.05,0.05,0.05,0.05,0.05,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,97.55
08/11/2021,4.39,4.24,3.91,3.52,3.26,3.37,2.93,3.26,2.64,2.39,2.19,1.9,1.8,1.42,1.7,1.47,1.57,1.53,0.0,1.05,0.99,1.19,1.03,1.01,0.95,0.91,0.97,0.76,0.84,0.79,0.74,0.83,0.75,0.66,0.69,0.67,0.66,0.62,0.65,0.62,0.64,0.57,0.61,0.57,0.55,0.64,0.58,0.6,0.54,0.53,0.44,0.48,0.48,0.46,0.44,0.43,0.47,0.45,0.42,0.4,0.32,0.41,0.4,0.38,0.37,0.36,0.4,0.37,0.34,0.32,0.29,0.28,0.29,0.27,0.24,0.29,0.28,0.28,0.28,0.27,0.27,0.26,0.23,0.24,0.25,0.24,0.23,0.23,0.24,0.19,0.2,0.23,0.23,0.23,0.2,0.2,0.2,0.2,0.2,0.21,0.18,0.2,0.18,0.19,0.19,0.16,0.19,0.17,0.16,0.17,0.17,0.16,0.15,0.15,0.14,0.16,0.14,0.15,0.14,0.14,0.13,0.15,0.14,0.0,0.13,0.13,0.12,0.13,0.13,0.12,0.13,0.12,0.12,0.13,0.11,0.13,0.12,0.1,0.11,0.1,0.0,0.11,0.11,0.11,0.1,0.1,0.12,0.1,0.0,0.1,0.1,0.09,0.1,0.09,0.09,0.09,0.09,0.09,0.0,0.1,0.08,0.09,0.08,0.0,0.07,0.08,0.08,0.07,0.08,0.07,0.08,0.07,0.09,0.07,0.06,0.07,0.06,0.07,0.07,0.07,0.07,0.07,0.06,0.06,0.06,0.06,0.06,0.07,0.0,0.06,0.07,0.06,0.06,0.06,0.06,0.06,0.06,0.05,0.05,0.0,1.26,0.06,0.05,0.05,0.05,0.05,0.05,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,97.55
08/12/2021,4.39,4.24,3.91,3.52,3.26,3.37,2.93,3.26,2.64,2.39,2.19,1.9,1.8,1.42,1.7,1.47,1.57,1.53,0.0,1.05,0.99,1.19,1.03,1.01,0.95,0.91,0.97,0.76,0.84,0.79,0.74,0.83,0.75,0.66,0.69,0.67,0.66,0.62,0.65,0.62,0.64,0.57,0.61,0.57,0.55,0.64,0.58,0.6,0.54,0.53,0.44,0.48,0.48,0.46,0.44,0.43,0.47,0.45,0.42,0.4,0.32,0.41,0.4,0.38,0.37,0.36,0.4,0.37,0.34,0.32,0.29,0.28,0.29,0.27,0.24,0.29,0.28,0.28,0.28,0.27,0.27,0.26,0.23,0.24,0.25,0.24,0.23,0.23,0.24,0.19,0.2,0.23,0.23,0.23,0.2,0.2,0.2,0.2,0.2,0.21,0.18,0.2,0.18,0.19,0.19,0.16,0.19,0.17,0.16,0.17,0.17,0.16,0.15,0.15,0.14,0.16,0.14,0.15,0.14,0.14,0.13,0.15,0.14,0.0,0.13,0.13,0.12,0.13,0.13,0.12,0.13,0.12,0.12,0.13,0.11,0.13,0.12,0.1,0.11,0.1,0.0,0.11,0.11,0.11,0.1,0.1,0.12,0.1,0.0,0.1,0.1,0.09,0.1,0.09,0.09,0.09,0.09,0.09,0.0,0.1,0.08,0.09,0.08,0.0,0.07,0.08,0.08,0.07,0.08,0.07,0.08,0.07,0.09,0.07,0.06,0.07,0.06,0.07,0.07,0.07,0.07,0.07,0.06,0.06,0.06,0.06,0.06,0.07,0.0,0.06,0.07,0.06,0.06,0.06,0.06,0.06,0.06,0.05,0.05,0.0,1.26,0.06,0.05,0.05,0.05,0.05,0.05,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,97.55
08/13/2021,4.39,4.24,3.91,3.52,3.26,3.37,2.93,3.26,2.64,2.39,2.19,1.9,1.8,1.42,1.7,1.47,1.57,1.53,0.0,1.05,0.99,1.19,1.03,1.01,0.95,0.91,0.97,0.76,0.84,0.79,0.74,0.83,0.75,0.66,0.69,0.67,0.66,0.62,0.65,0.62,0.64,0.57,0.61,0.57,0.55,0.64,0.58,0.6,0.54,0.53,0.44,0.48,0.48,0.46,0.44,0.43,0.47,0.45,0.42,0.4,0.32,0.41,0.4,0.38,0.37,0.36,0.4,0.37,0.34,0.32,0.29,0.28,0.29,0.27,0.24,0.29,0.28,0.28,0.28,0.27,0.27,0.26,0.23,0.24,0.25,0.24,0.23,0.23,0.24,0.19,0.2,0.23,0.23,0.23,0.2,0.2,0.2,0.2,0.2,0.21,0.18,0.2,0.18,0.19,0.19,0.16,0.19,0.17,0.16,0.17,0.17,0.16,0.15,0.15,0.14,0.16,0.14,0.15,0.14,0.14,0.13,0.15,0.14,0.0,0.13,0.13,0.12,0.13,0.13,0.12,0.13,0.12,0.12,0.13,0.11,0.13,0.12,0.1,0.11,0.1,0.0,0.11,0.11,0.11,0.1,0.1,0.12,0.1,0.0,0.1,0.1,0.09,0.1,0.09,0.09,0.09,0.09,0.09,0.0,0.1,0.08,0.09,0.08,0.0,0.07,0.08,0.08,0.07,0.08,0.07,0.08,0.07,0.09,0.07,0.06,0.07,0.06,0.07,0.07,0.07,0.07,0.07,0.06,0.06,0.06,0.06,0.06,0.07,0.0,0.06,0.07,0.06,0.06,0.06,0.06,0.06,0.06,0.05,0.05,0.0,1.26,0.06,0.05,0.05,0.05,0.05,0.05,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,97.55
08/16/2021,4.39,4.24,3.91,3.52,3.26,3.37,2.93,3.26,2.64,2.39,2.19,1.9,1.8,1.42,1.7,1.47,1.57,1.53,0.0,1.05,0.99,1.19,1.03,1.01,0.95,0.91,0.97,0.76,0.84,0.79,0.74,0.83,0.75,0.66,0.69,0.67,0.66,0.62,0.65,0.62,0.64,0.57,0.61,0.57,0.55,0.64,0.58,0.6,0.54,0.53,0.44,0.48,0.48,0.46,0.44,0.43,0.47,0.45,0.42,0.4,0.32,0.41,0.4,0.38,0.37,0.36,0.4,0.37,0.34,0.32,0.29,0.28,0.29,0.27,0.24,0.29,0.28,0.28,0.28,0.27,0.27,0.26,0.23,0.24,0.25,0.24,0.23,0.23,0.24,0.19,0.2,0.23,0.23,0.23,0.2,0.2,0.2,0.2,0.2,0.21,0.18,0.2,0.18,0.19,0.19,0.16,0.19,0.17,0.16,0.17,0.17,0.16,0.15,0.15,0.14,0.16,0.14,0.15,0.14,0.14,0.13,0.15,0.14,0.0,0.13,0.13,0.12,0.13,0.13,0.12,0.13,0.12,0.12,0.13,0.11,0.13,0.12,0.1,0.11,0.1,0.0,0.11,0.11,0.11,0.1,0.1,0.12,0.1,0.0,0.1,0.1,0.09,0.1,0.09,0.09,0.09,0.09,0.09,0.0,0.1,0.08,0.09,0.08,0.0,0.07,0.08,0.08,0.07,0.08,0.07,0.08,0.07,0.09,0.07,0.06,0.07,0.06,0.07,0.07,0.07,0.07,0.07,0.06,0.06,0.06,0.06,0.06,0.07,0.0,0.06,0.07,0.06,0.06,0.06,0.06,0.06,0.06,0.05,0.05,0.0,1.26,0.06,0.05,0.05,0.05,0.05,0.05,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,97.55
08/17/2021,4.39,4.24,3.91,3.52,3.26,3.37,2.93,3.26,2.64,2.39,2.19,1.9,1.8,1.42,1.7,1.47,1.57,1.53,0.0,1.05,0.99,1.19,1.03,1.01,0.95,0.91,0.97,0.76,0.84,0.79,0.74,0.83,0.75,0.66,0.69,0.67,0.66,0.62,0.65,0.62,0.64,0.57,0.61,0.57,0.55,0.64,0.58,0.6,0.54,0.53,0.44,0.48,0.48,0.46,0.44,0.43,0.47,0.45,0.42,0.4,0.32,0.41,0.4,0.38,0.37,0.36,0.4,0.37,0.34,0.32,0.29,0.28,0.29,0.27,0.24,0.29,0.28,0.28,0.28,0.27,0.27,0.26,0.23,0.24,0.25,0.24,0.23,0.23,0.24,0.19,0.2,0.23,0.23,0.23,0.2,0.2,0.2,0.2,0.2,0.21,0.18,0.2,0.18,0.19,0.19,0.16,0.19,0.17,0.16,0.17,0.17,0.16,0.15,0.15,0.14,0.16,0.14,0.15,0.14,0.14,0.13,0.15,0.14,0.0,0.13,0.13,0.12,0.13,0.13,0.12,0.13,0.12,0.12,0.13,0.11,0.13,0.12,0.1,0.11,0.1,0.0,0.11,0.11,0.11,0.1,0.1,0.12,0.1,0.0,0.1,0.1,0.09,0.1,0.09,0.09,0.09,0.09,0.09,0.0,0.1,0.08,0.09,0.08,0.0,0.07,0.08,0.08,0.07,0.08,0.07,0.08,0.07,0.09,0.07,0.06,0.07,0.06,0.07,0.07,0.07,0.07,0.07,0.06,0.06,0.06,0.06,0.06,0.07,0.0,0.06,0.07,0.06,0.06,0.06,0.06,0.06,0.06,0.05,0.05,0.0,1.26,0.06,0.05,0.05,0.05,0.05,0.05,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,97.55
08/18/2021,4.39,4.24,3.91,3.52,3.26,3.37,2.93,3.26,2.64,2.39,2.19,1.9,1.8,1.42,1.7,1.47,1.57,1.53,0.0,1.05,0.99,1.19,1.03,1.01,0.95,0.91,0.97,0.76,0.84,0.79,0.74,0.83,0.75,0.66,0.69,0.67,0.66,0.62,0.65,0.62,0.64,0.57,0.61,0.57,0.55,0.64,0.58,0.6,0.54,0.53,0.44,0.48,0.48,0.46,0.44,0.43,0.47,0.45,0.42,0.4,0.32,0.41,0.4,0.38,0.37,0.36,0.4,0.37,0.34,0.32,0.29,0.28,0.29,0.27,0.24,0.29,0.28,0.28,0.28,0.27,0.27,0.26,0.23,0.24,0.25,0.24,0.23,0.23,0.24,0.19,0.2,0.23,0.23,0.23,0.2,0.2,0.2,0.2,0.2,0.21,0.18,0.2,0.18,0.19,0.19,0.16,0.19,0.17,0.16,0.17,0.17,0.16,0.15,0.15,0.14,0.16,0.14,0.15,0.14,0.14,0.13,0.15,0.14,0.0,0.13,0.13,0.12,0.13,0.13,0.12,0.13,0.12,0.12,0.13,0.11,0.13,0.12,0.1,0.11,0.1,0.0,0.11,0.11,0.11,0.1,0.1,0.12,0.1,0.0,0.1,0.1,0.09,0.1,0.09,0.09,0.09,0.09,0.09,0.0,0.1,0.08,0.09,0.08,0.0,0.07,0.08,0.08,0.07,0.08,0.07,0.08,0.07,0.09,0.07,0.06,0.07,0.06,0.07,0.07,0.07,0.07,0.07,0.06,0.06,0.06,0.06,0.06,0.07,0.0,0.06,0.07,0.06,0.06,0.06,0.06,0.06,0.06,0.05,0.05,0.0,1.26,0.06,0.05,0.05,0.05,0.05,0.05,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,97.55
08/19/2021,4.39,4.24,3.91,3.52,3.26,3.37,2.93,3.26,2.64,2.39,2.19,1.9,1.8,1.42,1.7,1.47,1.57,1.53,0.0,1.05,0.99,1.19,1.03,1.01,0.95,0.91,0.97,0.76,0.84,0.79,0.74,0.83,0.75,0.66,0.69,0.67,0.66,0.62,0.65,0.62,0.64,0.57,0.61,0.57,0.55,0.64,0.58,0.6,0.54,0.53,0.44,0.48,0.48,0.46,0.44,0.43,0.47,0.45,0.42,0.4,0.32,0.41,0.4,0.38,0.37,0.36,0.4,0.37,0.34,0.32,0.29,0.28,0.29,0.27,0.24,0.29,0.28,0.28,0.28,0.27,0.27,0.26,0.23,0.24,0.25,0.24,0.23,0.23,0.24,0.19,0.2,0.23,0.23,0.23,0.2,0.2,0.2,0.2,0.2,0.21,0.18,0.2,0.18,0.19,0.19,0.16,0.19,0.17,0.16,0.17,0.17,0.16,0.15,0.15,0.14,0.16,0.14,0.15,0.14,0.14,0.13,0.15,0.14,0.0,0.13,0.13,0.12,0.13,0.13,0.12,0.13,0.12,0.12,0.13,0.11,0.13,0.12,0.1,0.11,0.1,0.0,0.11,0.11,0.11,0.1,0.1,0.12,0.1,0.0,0.1,0.1,0.09,0.1,0.09,0.09,0.09,0.09,0.09,0.0,0.1,0.08,0.09,0.08,0.0,0.07,0.08,0.08,0.07,0.08,0.07,0.08,0.07,0.09,0.07,0.06,0.07,0.06,0.07,0.07,0.07,0.07,0.07,0.06,0.06,0.06,0.06,0.06,0.07,0.0,0.06,0.07,0.06,0.06,0.06,0.06,0.06,0.06,0.05,0.05,0.0,1.26,0.06,0.05,0.05,0.05,0.05,0.05,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,97.55
