,IWM,ENPH,AVTR,MDB,CRL,DVN,CTLT,POOL,TECH,PKI,ZEN,MPWR,AVY,FANG,PLUG,J,VICI,ON,TXG,NVAX,ENTG,NLOK,TXT,NUAN,PTC,MOH,CGNX,FICO,BILL,PHM,AVLR,ELS,CCK,HWM,AAL,XPO,SBNY,FBHS,XTSLA,ALLE,CBOE,BRO,NDSN,IPG,PKG,GGG,MTN,CDAY,FIVN,MASI,CPT,FDS,RH,HST,STLD,GME,LII,MPW,BAH,IRM,TTC,SNA,WSM,CHGG,JKHY,PWR,BKI,FFIV,ZNGA,PNR,AMH,GH,RGEN,CREE,RUN,TPR,AXON,QGEN,RPM,BWA,PENN,TREX,LW,DT,WTRG,MRO,NCLH,LEA,WRB,MOS,CABO,CF,BG,HSIC,DECK,MHK,FND,JAZZ,LPLA,REG,VER,FIVE,DAR,TRGP,FWONK,CSL,JLL,NI,COLD,RE,EWBC,PFPT,OC,HUBB,AZPN,DXC,NRG,NWSA,DOX,NWL,ESTC,GLPI,LAD,ATR,PEN,MKSI,WSO,SYNH,NTRA,Y,SMAR,NBIX,FHN,TPL,LAMR,FRT,WAL,AOS,GL,WU,GWRE,CUBE,CMA,CLF,MIDD,FSLR,UGI,BFAM,RHI,RS,DBX,PNW,AIZ,MANH,OLED,IVZ,SAM,AMED,BLDR,LSI,KIM,G,OHI,GLOB,KSS,NLSN,ACM,VST,SCI,STOR,ARES,ST,CONE,CIEN,BSY,SEE,AGNC,WEX,JNPR,BERY,CBSH,KRC,OGN,EHC,YETI,REXR,ITT,AIRC,APA,VRT,RGA,CG,PLAN,PII,HRC,GNTX,BRKR,NNN,ZION,AGCO,CPRI,ATH,LECO,SITE,VNO,UTHR,ARMK,JBL,OSK,AFG,BYND,KNX,USFD,AMC,NTLA,ARW,DCI,HII,IAA,BC,RGLD,IPGP,VOYA,RNR,PPD,SMG,CHE,PCTY,CROX,TPX,PVH,NYT,MAT,JEF,AA,X,GXO,DKS,USD,CHDN,NTNX,TNDM,XEC,UPST,OPEN,COG,BRKS,XLRN,LSCC,ASAN,TTEK,OVV,RXN,SGMS,BHVN,RBC,CTRA,WOLF,RRX,OLN,BLD,CAR,SAIA,SLAB,SYNA,M,QS,FAF,WH,PBCT,JHG,PSTG,FR,BJ,WSC,THC,EGP,TOL,WMS,MORN,n/a,LITE,ACC,FCNCA,SUM
07/23/2021,44.01,0.35,0.33,0.28,0.3,0.26,0.28,0.27,0.28,0.27,0.25,0.27,0.26,0.21,0.21,0.26,0.26,0.23,0.23,0.24,0.24,0.22,0.23,0.24,0.23,0.22,0.22,0.23,0.22,0.21,0.2,0.22,0.2,0.19,0.2,0.21,0.2,0.2,0.15,0.2,0.19,0.19,0.2,0.19,0.19,0.2,0.19,0.19,0.19,0.21,0.21,0.2,0.17,0.17,0.18,0.17,0.17,0.19,0.19,0.19,0.19,0.18,0.18,0.18,0.2,0.19,0.19,0.17,0.16,0.18,0.18,0.16,0.17,0.16,0.15,0.17,0.18,0.18,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.14,0.13,0.16,0.16,0.16,0.16,0.15,0.16,0.16,0.17,0.16,0.17,0.16,0.16,0.17,0.17,0.16,0.17,0.14,0.15,0.16,0.15,0.15,0.16,0.15,0.15,0.15,0.15,0.16,0.15,0.15,0.15,0.15,0.16,0.16,0.15,0.16,0.16,0.14,0.14,0.14,0.14,0.14,0.13,0.14,0.13,0.14,0.13,0.13,0.14,0.14,0.15,0.14,0.14,0.14,0.15,0.15,0.14,0.14,0.16,0.13,0.15,0.14,0.15,0.15,0.14,0.15,0.14,0.14,0.14,0.13,0.13,0.13,0.13,0.13,0.13,0.14,0.14,0.14,0.12,0.13,0.13,0.13,0.14,0.14,0.13,0.13,0.14,0.13,0.13,0.13,0.13,0.13,0.14,0.13,0.12,0.0,0.12,0.12,0.0,0.0,0.13,0.0,0.0,0.12,0.0,0.0,0.12,0.12,0.0,0.12,0.13,0.13,0.0,0.12,0.0,0.0,0.0,0.12,0.0,0.0,0.0,0.0,0.0,0.13,0.0,0.0,0.12,0.0,0.0,0.13,0.13,0.0,0.0,0.12,0.12,0.12,0.0,0.0,0.0,0.0,0.0,0.12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,77.64
07/26/2021,0.0,0.36,0.32,0.28,0.29,0.27,0.28,0.27,0.27,0.27,0.25,0.28,0.25,0.22,0.21,0.26,0.26,0.24,0.23,0.24,0.24,0.21,0.23,0.24,0.23,0.22,0.22,0.23,0.23,0.21,0.2,0.22,0.2,0.2,0.21,0.21,0.21,0.2,0.25,0.19,0.19,0.19,0.2,0.21,0.19,0.2,0.19,0.19,0.19,0.2,0.21,0.2,0.18,0.17,0.18,0.17,0.17,0.19,0.18,0.19,0.18,0.18,0.18,0.18,0.19,0.19,0.18,0.17,0.16,0.17,0.18,0.16,0.17,0.16,0.16,0.17,0.18,0.17,0.17,0.17,0.17,0.18,0.17,0.17,0.16,0.14,0.15,0.15,0.16,0.16,0.15,0.16,0.16,0.16,0.16,0.17,0.17,0.16,0.17,0.17,0.17,0.16,0.17,0.15,0.14,0.15,0.16,0.15,0.15,0.15,0.15,0.15,0.15,0.16,0.15,0.15,0.15,0.15,0.15,0.16,0.15,0.16,0.16,0.13,0.14,0.14,0.14,0.14,0.14,0.14,0.13,0.14,0.13,0.14,0.14,0.14,0.15,0.14,0.14,0.14,0.15,0.14,0.14,0.15,0.16,0.14,0.14,0.14,0.15,0.14,0.14,0.14,0.14,0.14,0.14,0.13,0.13,0.12,0.14,0.13,0.13,0.13,0.13,0.13,0.12,0.13,0.13,0.13,0.14,0.14,0.13,0.13,0.14,0.13,0.12,0.13,0.13,0.13,0.13,0.13,0.0,0.12,0.0,0.0,0.12,0.12,0.13,0.12,0.0,0.0,0.0,0.0,0.0,0.0,0.12,0.0,0.12,0.13,0.13,0.0,0.0,0.0,0.0,0.0,0.12,0.12,0.12,0.12,0.12,0.13,0.0,0.0,0.0,0.25,0.16,0.13,0.13,0.12,0.12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.959999999999994
07/27/2021,43.88,0.36,0.33,0.29,0.3,0.27,0.29,0.27,0.28,0.27,0.26,0.28,0.25,0.22,0.21,0.26,0.26,0.23,0.24,0.24,0.24,0.22,0.24,0.24,0.24,0.23,0.22,0.24,0.23,0.21,0.21,0.22,0.2,0.19,0.21,0.21,0.2,0.2,0.14,0.19,0.19,0.19,0.2,0.2,0.19,0.2,0.19,0.2,0.2,0.21,0.21,0.2,0.18,0.17,0.18,0.16,0.17,0.19,0.18,0.19,0.18,0.18,0.18,0.19,0.2,0.19,0.18,0.17,0.16,0.17,0.18,0.16,0.17,0.16,0.16,0.17,0.18,0.18,0.17,0.17,0.17,0.18,0.17,0.18,0.16,0.14,0.15,0.15,0.16,0.16,0.16,0.15,0.16,0.17,0.17,0.16,0.18,0.16,0.17,0.17,0.17,0.16,0.17,0.15,0.14,0.15,0.16,0.15,0.15,0.15,0.16,0.15,0.15,0.16,0.15,0.15,0.15,0.15,0.15,0.16,0.15,0.16,0.17,0.13,0.14,0.14,0.14,0.14,0.14,0.14,0.13,0.14,0.13,0.14,0.14,0.14,0.15,0.14,0.14,0.14,0.15,0.15,0.14,0.15,0.16,0.14,0.14,0.14,0.15,0.15,0.14,0.14,0.14,0.14,0.15,0.13,0.14,0.13,0.14,0.13,0.13,0.14,0.13,0.14,0.0,0.13,0.13,0.14,0.14,0.14,0.14,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.14,0.13,0.12,0.0,0.0,0.12,0.0,0.0,0.13,0.0,0.0,0.12,0.0,0.12,0.0,0.12,0.0,0.12,0.13,0.13,0.0,0.12,0.0,0.0,0.12,0.12,0.12,0.13,0.0,0.0,0.0,0.13,0.0,0.0,0.0,0.0,0.0,0.13,0.13,0.0,0.0,0.12,0.12,0.12,0.0,0.0,0.0,0.0,0.0,0.12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,77.74000000000001
07/28/2021,0.0,0.36,0.33,0.29,0.3,0.26,0.29,0.27,0.28,0.28,0.26,0.28,0.25,0.21,0.2,0.26,0.26,0.23,0.23,0.23,0.25,0.22,0.23,0.24,0.25,0.23,0.22,0.24,0.24,0.22,0.21,0.22,0.19,0.19,0.21,0.21,0.21,0.21,0.26,0.19,0.19,0.19,0.2,0.21,0.19,0.2,0.19,0.2,0.19,0.21,0.21,0.2,0.18,0.17,0.18,0.16,0.17,0.19,0.19,0.19,0.18,0.18,0.18,0.19,0.2,0.19,0.19,0.17,0.16,0.17,0.18,0.16,0.18,0.16,0.15,0.17,0.18,0.18,0.17,0.17,0.17,0.18,0.17,0.18,0.17,0.14,0.14,0.15,0.16,0.16,0.16,0.15,0.16,0.17,0.17,0.17,0.19,0.16,0.17,0.17,0.17,0.17,0.16,0.15,0.14,0.16,0.16,0.15,0.15,0.15,0.16,0.15,0.15,0.16,0.15,0.15,0.15,0.15,0.15,0.16,0.16,0.16,0.17,0.14,0.14,0.14,0.15,0.14,0.14,0.14,0.14,0.14,0.13,0.13,0.14,0.14,0.15,0.14,0.14,0.14,0.15,0.15,0.14,0.15,0.16,0.13,0.15,0.14,0.16,0.15,0.14,0.15,0.14,0.14,0.15,0.13,0.0,0.13,0.14,0.13,0.13,0.14,0.13,0.14,0.0,0.13,0.13,0.14,0.14,0.14,0.14,0.13,0.14,0.13,0.13,0.13,0.13,0.14,0.14,0.13,0.0,0.12,0.0,0.0,0.13,0.13,0.13,0.12,0.0,0.0,0.0,0.0,0.12,0.0,0.12,0.0,0.13,0.13,0.12,0.0,0.0,0.0,0.0,0.12,0.0,0.12,0.12,0.13,0.12,0.13,0.0,0.0,0.0,0.23,0.14,0.13,0.12,0.12,0.12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,34.35
07/29/2021,43.85,0.35,0.32,0.29,0.3,0.27,0.28,0.28,0.28,0.29,0.27,0.28,0.26,0.22,0.21,0.26,0.26,0.24,0.23,0.22,0.24,0.21,0.23,0.24,0.24,0.22,0.22,0.23,0.23,0.21,0.22,0.22,0.2,0.19,0.21,0.21,0.2,0.2,0.14,0.19,0.19,0.19,0.2,0.21,0.19,0.19,0.19,0.2,0.2,0.2,0.21,0.2,0.18,0.17,0.19,0.16,0.17,0.18,0.19,0.19,0.18,0.18,0.18,0.19,0.2,0.19,0.19,0.17,0.16,0.17,0.18,0.15,0.17,0.16,0.15,0.17,0.18,0.18,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.14,0.15,0.15,0.16,0.16,0.16,0.16,0.16,0.17,0.17,0.16,0.18,0.16,0.17,0.17,0.17,0.16,0.17,0.15,0.14,0.16,0.16,0.15,0.15,0.15,0.16,0.15,0.15,0.16,0.15,0.15,0.15,0.15,0.15,0.16,0.15,0.16,0.16,0.14,0.13,0.14,0.14,0.14,0.13,0.13,0.14,0.14,0.13,0.13,0.14,0.14,0.15,0.14,0.14,0.15,0.15,0.15,0.14,0.15,0.16,0.13,0.15,0.14,0.16,0.15,0.14,0.15,0.14,0.14,0.14,0.13,0.0,0.0,0.14,0.13,0.13,0.14,0.13,0.14,0.0,0.13,0.13,0.14,0.14,0.14,0.14,0.13,0.14,0.13,0.13,0.13,0.13,0.14,0.14,0.13,0.12,0.0,0.0,0.12,0.13,0.12,0.13,0.0,0.0,0.12,0.0,0.12,0.12,0.0,0.0,0.12,0.13,0.13,0.13,0.12,0.0,0.0,0.12,0.12,0.12,0.0,0.0,0.13,0.0,0.13,0.0,0.12,0.0,0.0,0.0,0.13,0.0,0.0,0.0,0.12,0.12,0.12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,77.67
07/30/2021,43.7,0.35,0.33,0.29,0.3,0.27,0.28,0.28,0.28,0.29,0.27,0.28,0.26,0.22,0.2,0.26,0.26,0.23,0.23,0.2,0.24,0.21,0.24,0.24,0.23,0.23,0.22,0.23,0.23,0.21,0.22,0.22,0.2,0.2,0.21,0.21,0.2,0.21,0.14,0.19,0.19,0.2,0.2,0.21,0.2,0.19,0.19,0.19,0.2,0.21,0.21,0.2,0.18,0.17,0.19,0.16,0.17,0.19,0.19,0.19,0.18,0.18,0.18,0.18,0.2,0.19,0.19,0.19,0.16,0.18,0.18,0.15,0.19,0.16,0.15,0.18,0.18,0.18,0.17,0.17,0.17,0.17,0.15,0.18,0.17,0.14,0.14,0.15,0.16,0.16,0.16,0.16,0.16,0.17,0.17,0.16,0.18,0.16,0.17,0.17,0.17,0.16,0.17,0.15,0.14,0.16,0.17,0.15,0.15,0.15,0.15,0.15,0.15,0.16,0.15,0.15,0.15,0.15,0.15,0.16,0.15,0.16,0.16,0.14,0.14,0.13,0.14,0.14,0.14,0.14,0.13,0.14,0.13,0.13,0.14,0.14,0.14,0.14,0.14,0.15,0.14,0.15,0.14,0.16,0.16,0.13,0.15,0.14,0.16,0.15,0.14,0.15,0.14,0.14,0.14,0.0,0.0,0.13,0.14,0.14,0.13,0.14,0.14,0.14,0.0,0.13,0.13,0.14,0.15,0.14,0.14,0.13,0.14,0.13,0.0,0.13,0.13,0.14,0.14,0.13,0.12,0.0,0.0,0.0,0.13,0.13,0.13,0.0,0.0,0.12,0.0,0.12,0.12,0.12,0.13,0.0,0.13,0.13,0.13,0.0,0.0,0.0,0.0,0.12,0.12,0.13,0.0,0.13,0.13,0.13,0.0,0.0,0.12,0.0,0.0,0.13,0.13,0.0,0.0,0.12,0.12,0.0,0.12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,77.65
08/02/2021,43.89,0.36,0.32,0.29,0.3,0.27,0.29,0.28,0.28,0.3,0.27,0.3,0.26,0.22,0.2,0.27,0.25,0.25,0.23,0.2,0.24,0.2,0.24,0.24,0.21,0.22,0.23,0.22,0.23,0.22,0.22,0.22,0.19,0.2,0.2,0.21,0.2,0.2,0.14,0.18,0.19,0.19,0.2,0.21,0.2,0.19,0.19,0.19,0.21,0.21,0.21,0.2,0.17,0.17,0.2,0.15,0.17,0.18,0.18,0.19,0.18,0.18,0.18,0.19,0.19,0.19,0.19,0.18,0.15,0.18,0.18,0.15,0.2,0.16,0.16,0.17,0.18,0.18,0.17,0.18,0.16,0.17,0.15,0.18,0.17,0.14,0.14,0.16,0.15,0.16,0.15,0.15,0.17,0.17,0.17,0.17,0.19,0.15,0.17,0.17,0.17,0.16,0.17,0.15,0.14,0.16,0.17,0.15,0.15,0.15,0.15,0.15,0.15,0.16,0.15,0.15,0.15,0.14,0.15,0.16,0.15,0.16,0.17,0.14,0.13,0.13,0.14,0.14,0.14,0.13,0.13,0.13,0.13,0.13,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.15,0.15,0.17,0.16,0.13,0.15,0.14,0.16,0.15,0.15,0.15,0.14,0.15,0.15,0.0,0.0,0.0,0.14,0.13,0.13,0.14,0.13,0.14,0.12,0.13,0.13,0.14,0.15,0.13,0.15,0.14,0.13,0.13,0.12,0.13,0.13,0.13,0.13,0.13,0.12,0.0,0.0,0.0,0.0,0.0,0.13,0.0,0.0,0.12,0.0,0.0,0.12,0.0,0.14,0.0,0.13,0.13,0.13,0.12,0.0,0.0,0.12,0.12,0.12,0.0,0.0,0.13,0.0,0.13,0.0,0.12,0.0,0.0,0.0,0.13,0.0,0.0,0.12,0.12,0.12,0.12,0.12,0.0,0.0,0.0,0.0,0.12,0.0,0.12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,77.71000000000001
08/03/2021,43.77,0.38,0.33,0.29,0.31,0.26,0.29,0.28,0.28,0.31,0.23,0.3,0.26,0.21,0.21,0.26,0.25,0.25,0.23,0.2,0.25,0.21,0.24,0.24,0.22,0.24,0.23,0.22,0.23,0.22,0.21,0.22,0.2,0.19,0.2,0.2,0.19,0.2,0.13,0.19,0.19,0.19,0.2,0.21,0.2,0.2,0.18,0.19,0.2,0.21,0.21,0.2,0.17,0.17,0.2,0.14,0.17,0.18,0.18,0.19,0.18,0.18,0.17,0.19,0.19,0.19,0.19,0.19,0.15,0.18,0.18,0.15,0.2,0.16,0.16,0.18,0.18,0.18,0.17,0.18,0.16,0.17,0.15,0.18,0.17,0.14,0.13,0.16,0.15,0.16,0.15,0.15,0.16,0.17,0.17,0.17,0.19,0.15,0.17,0.17,0.17,0.16,0.17,0.14,0.14,0.16,0.17,0.15,0.15,0.15,0.15,0.15,0.15,0.16,0.15,0.15,0.15,0.15,0.15,0.14,0.15,0.16,0.16,0.13,0.14,0.13,0.14,0.14,0.14,0.14,0.13,0.13,0.13,0.13,0.14,0.14,0.14,0.14,0.14,0.14,0.15,0.15,0.14,0.17,0.16,0.14,0.14,0.14,0.16,0.15,0.15,0.14,0.14,0.15,0.15,0.0,0.0,0.13,0.14,0.13,0.13,0.14,0.13,0.14,0.12,0.13,0.13,0.14,0.15,0.13,0.15,0.14,0.13,0.14,0.0,0.13,0.13,0.13,0.14,0.13,0.0,0.12,0.0,0.0,0.0,0.13,0.13,0.0,0.0,0.12,0.0,0.0,0.12,0.0,0.14,0.0,0.13,0.13,0.13,0.0,0.13,0.0,0.0,0.12,0.12,0.12,0.0,0.13,0.0,0.13,0.0,0.12,0.0,0.0,0.0,0.13,0.13,0.0,0.0,0.0,0.12,0.12,0.12,0.0,0.0,0.0,0.0,0.12,0.0,0.12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,77.60000000000001
08/04/2021,43.77,0.38,0.33,0.29,0.31,0.26,0.29,0.28,0.28,0.31,0.23,0.3,0.26,0.21,0.21,0.26,0.25,0.25,0.23,0.2,0.25,0.21,0.24,0.24,0.22,0.24,0.23,0.22,0.23,0.22,0.21,0.22,0.2,0.19,0.2,0.2,0.19,0.2,0.13,0.19,0.19,0.19,0.2,0.21,0.2,0.2,0.18,0.19,0.2,0.21,0.21,0.2,0.17,0.17,0.2,0.14,0.17,0.18,0.18,0.19,0.18,0.18,0.17,0.19,0.19,0.19,0.19,0.19,0.15,0.18,0.18,0.15,0.2,0.16,0.16,0.18,0.18,0.18,0.17,0.18,0.16,0.17,0.15,0.18,0.17,0.14,0.13,0.16,0.15,0.16,0.15,0.15,0.16,0.17,0.17,0.17,0.19,0.15,0.17,0.17,0.17,0.16,0.17,0.14,0.14,0.16,0.17,0.15,0.15,0.15,0.15,0.15,0.15,0.16,0.15,0.15,0.15,0.15,0.15,0.14,0.15,0.16,0.16,0.13,0.14,0.13,0.14,0.14,0.14,0.14,0.13,0.13,0.13,0.13,0.14,0.14,0.14,0.14,0.14,0.14,0.15,0.15,0.14,0.17,0.16,0.14,0.14,0.14,0.16,0.15,0.15,0.14,0.14,0.15,0.15,0.0,0.0,0.13,0.14,0.13,0.13,0.14,0.13,0.14,0.12,0.13,0.13,0.14,0.15,0.13,0.15,0.14,0.13,0.14,0.0,0.13,0.13,0.13,0.14,0.13,0.0,0.12,0.0,0.0,0.0,0.13,0.13,0.0,0.0,0.12,0.0,0.0,0.12,0.0,0.14,0.0,0.13,0.13,0.13,0.0,0.13,0.0,0.0,0.12,0.12,0.12,0.0,0.13,0.0,0.13,0.0,0.12,0.0,0.0,0.0,0.13,0.13,0.0,0.0,0.0,0.12,0.12,0.12,0.0,0.0,0.0,0.0,0.12,0.0,0.12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,77.60000000000001
08/05/2021,0.0,0.38,0.33,0.29,0.31,0.26,0.29,0.28,0.28,0.31,0.23,0.3,0.26,0.21,0.21,0.26,0.25,0.25,0.23,0.2,0.25,0.21,0.24,0.24,0.22,0.24,0.23,0.22,0.23,0.22,0.21,0.22,0.2,0.19,0.2,0.2,0.19,0.2,0.26,0.19,0.19,0.19,0.2,0.21,0.2,0.2,0.18,0.19,0.2,0.21,0.21,0.2,0.17,0.17,0.2,0.14,0.17,0.18,0.18,0.19,0.18,0.18,0.17,0.19,0.19,0.19,0.19,0.19,0.15,0.18,0.18,0.15,0.2,0.16,0.16,0.18,0.18,0.18,0.17,0.18,0.16,0.17,0.15,0.18,0.17,0.14,0.13,0.16,0.15,0.16,0.15,0.15,0.16,0.17,0.17,0.17,0.19,0.15,0.17,0.17,0.17,0.16,0.17,0.14,0.14,0.16,0.17,0.15,0.15,0.15,0.15,0.15,0.15,0.16,0.15,0.15,0.15,0.15,0.15,0.14,0.15,0.16,0.16,0.13,0.14,0.13,0.14,0.14,0.14,0.14,0.13,0.13,0.13,0.13,0.14,0.14,0.14,0.14,0.14,0.14,0.15,0.15,0.14,0.17,0.16,0.14,0.14,0.14,0.16,0.15,0.15,0.14,0.14,0.15,0.15,0.12,0.0,0.13,0.14,0.13,0.13,0.14,0.13,0.14,0.0,0.13,0.13,0.14,0.15,0.13,0.15,0.14,0.13,0.14,0.12,0.13,0.13,0.13,0.14,0.13,0.0,0.0,0.0,0.12,0.12,0.13,0.13,0.12,0.0,0.0,0.0,0.12,0.0,0.0,0.14,0.12,0.13,0.13,0.13,0.12,0.13,0.0,0.0,0.0,0.0,0.0,0.0,0.13,0.12,0.13,0.0,0.0,0.0,0.23,0.14,0.13,0.13,0.0,0.12,0.12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,34.22
08/06/2021,43.7,0.38,0.33,0.29,0.31,0.27,0.3,0.28,0.28,0.31,0.23,0.31,0.27,0.22,0.2,0.25,0.25,0.29,0.23,0.21,0.25,0.2,0.24,0.24,0.21,0.24,0.23,0.22,0.23,0.22,0.21,0.22,0.19,0.2,0.19,0.13,0.2,0.21,0.13,0.19,0.2,0.19,0.2,0.21,0.2,0.2,0.18,0.19,0.2,0.21,0.21,0.2,0.17,0.17,0.2,0.14,0.17,0.18,0.17,0.19,0.19,0.18,0.18,0.19,0.2,0.19,0.19,0.19,0.15,0.19,0.18,0.15,0.21,0.16,0.16,0.18,0.18,0.18,0.17,0.18,0.16,0.17,0.15,0.18,0.17,0.14,0.13,0.16,0.15,0.16,0.16,0.15,0.16,0.17,0.18,0.17,0.19,0.15,0.16,0.16,0.17,0.16,0.17,0.14,0.14,0.16,0.17,0.15,0.15,0.16,0.15,0.15,0.15,0.16,0.15,0.17,0.15,0.14,0.15,0.14,0.15,0.15,0.16,0.13,0.13,0.13,0.14,0.14,0.14,0.13,0.13,0.14,0.13,0.13,0.14,0.14,0.14,0.14,0.14,0.14,0.15,0.15,0.15,0.17,0.16,0.15,0.15,0.13,0.16,0.15,0.15,0.14,0.14,0.16,0.15,0.0,0.0,0.13,0.14,0.14,0.13,0.14,0.0,0.14,0.0,0.13,0.13,0.14,0.16,0.13,0.15,0.14,0.13,0.14,0.13,0.13,0.13,0.0,0.14,0.13,0.0,0.12,0.0,0.0,0.13,0.13,0.13,0.0,0.0,0.12,0.0,0.12,0.12,0.12,0.14,0.0,0.13,0.13,0.13,0.13,0.13,0.12,0.0,0.0,0.0,0.12,0.12,0.13,0.0,0.13,0.0,0.0,0.0,0.0,0.0,0.13,0.13,0.0,0.0,0.0,0.12,0.0,0.12,0.0,0.0,0.0,0.0,0.0,0.0,0.12,0.12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,77.64
