,XEC,GT,AA,AN,SIG,M,DKS,PDCE,LPX,FL,MTDR,CC,SLM,EQT,RRC,SAIA,R,EXP,EVR,SF,MRO,AL,SNX,SM,NAVI,ADS,TKR,SNV,SWN,ANF,CMC,DAN,JBL,IRDM,ENSG,MTG,AR,CRI,WAL,NOV,BKU,BPOP,UMPQ,UFPI,MUR,TRTN,MUSA,UNM,UFS,CBRL,KSS,CPRI,SFBS,GATX,HRI,MTH,WTFC,VSH,AVT,BHF,PRG,NUS,AEO,TPH,RDN,CNO,HP,THG,NSIT,CBT,CPE,PFSI,FNB,MATX,BIG,HTH,AEL,JHG,MTZ,BOH,VSTO,DOOR,SFM,WLL,OMI,UMBF,AX,KMT,SANM,CIT,SCL,BCC,TEX,TDS,VLY,REGI,ATI,AIN,CATY,SHEN,TRN,UNFI,PLXS,MLI,ASB,CCS,WERN,URBN,HXL,IBOC,COOP,ESNT,MGRC,FBC,ETRN,PTEN,SIGI,UCTT,ARNC,VSAT,HIBB,ATKR,THRM,BKD,TBIO,CLH,FBP,PBH,IDCC,HUBG,ARCB,TRGP,AAWW,AMKR,GPI,INT,TCBI,LZB,MHO,DY,UCBI,AXS,LGIH,PIPR,PDCO,WAFD,NPO,KALU,PSMT,MIC,OII,PACW,GDOT,GTN,DDS,BKE,CRS,EGBN,AROC,WWE,SWBI,HCSG,WTM,GNW,WBS,ASTE,NMIH,HNI,CORE,SKYW,CDE,ISBC,SCHN,MYRG,SONO,KFY,ENLC,KFRC,TRMK,BCEI,ABG,FTI,BBBY,SFNC,GBX,OMF,MODV,MBUU,BANR,MGLN,TROX,RCII,CADE,NNI,KOS,IMKTA,TBBK,SUPN,ABCB,OVV,FLO,SAFM,HOME,MCY,HZO,ODP,WD,RGR,MRTN,UNF,AM,FLGT,RIG,QDEL,WIRE,STC,CAL,LKFN,SHYF,TGH,SAH,TMHC,CNX,ATSG,KRA,SYKE,SAGE,PLLDA.AX,MWA,VRTV,PRGO,n/a,CTRA,WGO,HCC,GVA,ASIX,ASO,ARCH,EBS,HEES,CUBI,MGY,APY.UN,PJC,168288,PBF,NEU,COKE,QURE,AGM,INVA,HOG,SUM
07/23/2021,0.83,0.81,0.71,0.86,0.62,0.69,0.74,0.61,0.65,0.66,0.59,0.61,0.67,0.62,0.61,0.59,0.61,0.6,0.53,0.58,0.51,0.58,0.56,0.44,0.61,0.53,0.56,0.53,0.48,0.49,0.56,0.52,0.52,0.54,0.54,0.53,0.48,0.51,0.52,0.47,0.47,0.49,0.5,0.0,0.41,0.47,0.52,0.45,0.47,0.44,0.42,0.0,0.47,0.47,0.45,0.44,0.43,0.43,0.44,0.41,0.41,0.42,0.39,0.4,0.43,0.42,0.36,0.43,0.42,0.39,0.29,0.4,0.38,0.42,0.38,0.36,0.37,0.4,0.37,0.39,0.39,0.38,0.41,0.31,0.42,0.36,0.37,0.36,0.36,0.51,0.37,0.32,0.35,0.38,0.36,0.38,0.33,0.34,0.35,0.34,0.34,0.33,0.33,0.31,0.32,0.31,0.34,0.3,0.17,0.3,0.33,0.31,0.31,0.32,0.29,0.25,0.44,0.28,0.28,0.31,0.29,0.3,0.0,0.29,0.31,0.29,0.27,0.3,0.26,0.26,0.27,0.26,0.27,0.27,0.29,0.26,0.26,0.25,0.26,0.23,0.25,0.41,0.27,0.25,0.17,0.27,0.24,0.0,0.26,0.26,0.2,0.23,0.25,0.22,0.23,0.22,0.23,0.24,0.22,0.21,0.2,0.24,0.25,0.21,0.21,0.22,0.22,0.22,0.23,0.0,0.19,0.21,0.21,0.22,0.2,0.2,0.18,0.2,0.21,0.0,0.23,0.0,0.19,0.2,0.21,0.2,0.0,0.21,0.19,0.0,0.0,0.0,0.23,0.2,0.0,0.21,0.19,0.18,0.29,0.0,0.27,0.33,0.2,0.18,0.19,0.19,0.18,0.18,0.0,0.0,0.22,0.21,0.2,0.17,0.17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,72.30000000000001
07/26/2021,0.82,0.8,0.81,0.91,0.64,0.7,0.77,0.64,0.66,0.69,0.62,0.61,0.64,0.65,0.63,0.6,0.61,0.6,0.56,0.59,0.52,0.6,0.57,0.45,0.61,0.53,0.55,0.52,0.49,0.49,0.56,0.51,0.52,0.58,0.51,0.52,0.51,0.51,0.53,0.47,0.46,0.49,0.51,0.0,0.43,0.47,0.5,0.45,0.46,0.44,0.43,0.0,0.47,0.47,0.48,0.44,0.42,0.43,0.44,0.41,0.4,0.41,0.39,0.43,0.43,0.41,0.37,0.42,0.41,0.37,0.31,0.4,0.38,0.41,0.38,0.34,0.37,0.4,0.37,0.38,0.37,0.38,0.38,0.33,0.42,0.36,0.37,0.36,0.35,0.51,0.35,0.32,0.36,0.36,0.35,0.38,0.34,0.34,0.34,0.33,0.34,0.32,0.32,0.32,0.31,0.31,0.33,0.3,0.18,0.29,0.34,0.31,0.31,0.32,0.29,0.25,0.44,0.3,0.28,0.32,0.29,0.31,0.0,0.28,0.31,0.29,0.28,0.29,0.26,0.26,0.27,0.27,0.26,0.28,0.3,0.25,0.27,0.24,0.26,0.23,0.24,0.4,0.26,0.25,0.0,0.26,0.24,0.0,0.25,0.25,0.21,0.26,0.25,0.23,0.25,0.22,0.24,0.22,0.22,0.21,0.18,0.21,0.24,0.21,0.21,0.21,0.22,0.21,0.22,0.0,0.19,0.2,0.22,0.22,0.2,0.2,0.19,0.19,0.21,0.0,0.23,0.0,0.2,0.19,0.21,0.2,0.0,0.21,0.2,0.0,0.17,0.0,0.22,0.19,0.0,0.2,0.19,0.18,0.28,0.0,0.25,0.32,0.2,0.18,0.2,0.19,0.18,0.17,0.0,0.0,0.23,0.21,0.21,0.19,0.0,0.17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,72.52000000000001
07/27/2021,0.82,0.8,0.8,0.91,0.64,0.69,0.78,0.64,0.66,0.69,0.6,0.61,0.63,0.64,0.63,0.61,0.62,0.6,0.56,0.6,0.5,0.59,0.57,0.44,0.61,0.54,0.55,0.51,0.49,0.48,0.56,0.52,0.53,0.57,0.52,0.53,0.5,0.52,0.53,0.46,0.46,0.49,0.51,0.0,0.43,0.47,0.51,0.45,0.46,0.43,0.42,0.0,0.48,0.47,0.48,0.46,0.42,0.43,0.45,0.41,0.41,0.41,0.31,0.45,0.43,0.41,0.36,0.42,0.42,0.39,0.29,0.4,0.38,0.41,0.38,0.34,0.38,0.4,0.37,0.38,0.37,0.38,0.38,0.33,0.42,0.36,0.37,0.37,0.35,0.52,0.35,0.32,0.36,0.37,0.36,0.37,0.33,0.34,0.35,0.33,0.35,0.32,0.33,0.33,0.32,0.32,0.33,0.3,0.18,0.29,0.34,0.31,0.3,0.31,0.29,0.24,0.44,0.3,0.29,0.32,0.29,0.31,0.0,0.28,0.3,0.29,0.28,0.29,0.25,0.26,0.28,0.27,0.26,0.28,0.29,0.26,0.27,0.25,0.27,0.23,0.24,0.4,0.27,0.25,0.0,0.26,0.24,0.0,0.25,0.25,0.21,0.26,0.25,0.23,0.25,0.22,0.24,0.23,0.22,0.2,0.18,0.2,0.24,0.2,0.21,0.22,0.22,0.21,0.22,0.0,0.18,0.2,0.22,0.23,0.2,0.2,0.19,0.2,0.21,0.0,0.23,0.0,0.19,0.19,0.21,0.21,0.0,0.22,0.2,0.0,0.17,0.0,0.22,0.19,0.0,0.2,0.19,0.18,0.28,0.0,0.26,0.33,0.0,0.18,0.21,0.19,0.18,0.17,0.0,0.0,0.23,0.22,0.2,0.19,0.17,0.17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,72.55000000000001
07/28/2021,0.82,0.8,0.8,0.91,0.64,0.69,0.78,0.64,0.66,0.69,0.6,0.61,0.63,0.64,0.63,0.61,0.62,0.6,0.56,0.6,0.5,0.59,0.57,0.44,0.61,0.54,0.55,0.51,0.49,0.48,0.56,0.52,0.53,0.57,0.52,0.53,0.5,0.52,0.53,0.46,0.46,0.49,0.51,0.0,0.43,0.47,0.51,0.45,0.46,0.43,0.42,0.0,0.48,0.47,0.48,0.46,0.42,0.43,0.45,0.41,0.41,0.41,0.31,0.45,0.43,0.41,0.36,0.42,0.42,0.39,0.29,0.4,0.38,0.41,0.38,0.34,0.38,0.4,0.37,0.38,0.37,0.38,0.38,0.33,0.42,0.36,0.37,0.37,0.35,0.52,0.35,0.32,0.36,0.37,0.36,0.37,0.33,0.34,0.35,0.33,0.35,0.32,0.33,0.33,0.32,0.32,0.33,0.3,0.18,0.29,0.34,0.31,0.3,0.31,0.29,0.24,0.44,0.3,0.29,0.32,0.29,0.31,0.0,0.28,0.3,0.29,0.28,0.29,0.25,0.26,0.28,0.27,0.26,0.28,0.29,0.26,0.27,0.25,0.27,0.23,0.24,0.4,0.27,0.25,0.0,0.26,0.24,0.0,0.25,0.25,0.21,0.26,0.25,0.23,0.25,0.22,0.24,0.23,0.22,0.2,0.18,0.2,0.24,0.2,0.21,0.22,0.22,0.21,0.22,0.0,0.18,0.2,0.22,0.23,0.2,0.2,0.19,0.2,0.21,0.0,0.23,0.0,0.19,0.19,0.21,0.21,0.0,0.22,0.2,0.0,0.17,0.0,0.22,0.19,0.0,0.2,0.19,0.18,0.28,0.0,0.26,0.33,0.0,0.18,0.21,0.19,0.18,0.17,0.0,0.0,0.23,0.22,0.2,0.19,0.17,0.17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,72.55000000000001
07/29/2021,0.83,0.81,0.83,0.88,0.64,0.71,0.77,0.66,0.65,0.68,0.62,0.61,0.61,0.65,0.65,0.6,0.61,0.59,0.55,0.6,0.51,0.59,0.57,0.45,0.61,0.53,0.55,0.51,0.52,0.48,0.57,0.52,0.52,0.57,0.51,0.52,0.53,0.51,0.52,0.48,0.46,0.49,0.51,0.0,0.45,0.48,0.51,0.46,0.45,0.44,0.43,0.0,0.47,0.47,0.49,0.45,0.42,0.43,0.45,0.41,0.41,0.41,0.31,0.45,0.42,0.41,0.37,0.41,0.42,0.39,0.3,0.39,0.38,0.4,0.38,0.33,0.38,0.4,0.37,0.38,0.37,0.38,0.37,0.36,0.42,0.36,0.37,0.37,0.35,0.51,0.35,0.32,0.37,0.37,0.35,0.36,0.34,0.33,0.34,0.33,0.35,0.32,0.32,0.33,0.31,0.31,0.33,0.3,0.18,0.3,0.34,0.31,0.3,0.31,0.3,0.25,0.43,0.29,0.29,0.31,0.29,0.31,0.0,0.28,0.34,0.29,0.28,0.29,0.25,0.25,0.27,0.27,0.26,0.27,0.28,0.26,0.27,0.25,0.26,0.23,0.24,0.4,0.26,0.25,0.0,0.26,0.24,0.0,0.25,0.25,0.21,0.25,0.24,0.23,0.25,0.22,0.24,0.23,0.23,0.2,0.18,0.2,0.24,0.2,0.21,0.21,0.22,0.21,0.22,0.0,0.18,0.2,0.22,0.22,0.2,0.2,0.2,0.19,0.21,0.0,0.23,0.0,0.2,0.19,0.21,0.2,0.0,0.21,0.2,0.0,0.17,0.0,0.22,0.19,0.0,0.2,0.19,0.18,0.28,0.0,0.25,0.32,0.0,0.18,0.2,0.19,0.18,0.0,0.0,0.0,0.23,0.22,0.21,0.17,0.17,0.17,0.17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,72.49
07/30/2021,0.83,0.81,0.83,0.88,0.64,0.71,0.77,0.66,0.65,0.68,0.62,0.61,0.61,0.65,0.65,0.6,0.61,0.59,0.55,0.6,0.51,0.59,0.57,0.45,0.61,0.53,0.55,0.51,0.52,0.48,0.57,0.52,0.52,0.57,0.51,0.52,0.53,0.51,0.52,0.48,0.46,0.49,0.51,0.0,0.45,0.48,0.51,0.46,0.45,0.44,0.43,0.0,0.47,0.47,0.49,0.45,0.42,0.43,0.45,0.41,0.41,0.41,0.31,0.45,0.42,0.41,0.37,0.41,0.42,0.39,0.3,0.39,0.38,0.4,0.38,0.33,0.38,0.4,0.37,0.38,0.37,0.38,0.37,0.36,0.42,0.36,0.37,0.37,0.35,0.51,0.35,0.32,0.37,0.37,0.35,0.36,0.34,0.33,0.34,0.33,0.35,0.32,0.32,0.33,0.31,0.31,0.33,0.3,0.18,0.3,0.34,0.31,0.3,0.31,0.3,0.25,0.43,0.29,0.29,0.31,0.29,0.31,0.0,0.28,0.34,0.29,0.28,0.29,0.25,0.25,0.27,0.27,0.26,0.27,0.28,0.26,0.27,0.25,0.26,0.23,0.24,0.4,0.26,0.25,0.0,0.26,0.24,0.0,0.25,0.25,0.21,0.25,0.24,0.23,0.25,0.22,0.24,0.23,0.23,0.2,0.18,0.2,0.24,0.2,0.21,0.21,0.22,0.21,0.22,0.0,0.18,0.2,0.22,0.22,0.2,0.2,0.2,0.19,0.21,0.0,0.23,0.0,0.2,0.19,0.21,0.2,0.0,0.21,0.2,0.0,0.17,0.0,0.22,0.19,0.0,0.2,0.19,0.18,0.28,0.0,0.25,0.32,0.0,0.18,0.2,0.19,0.18,0.0,0.0,0.0,0.23,0.22,0.21,0.17,0.17,0.17,0.17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,72.49
08/02/2021,0.8,0.8,0.82,0.89,0.61,0.68,0.76,0.65,0.66,0.66,0.62,0.62,0.61,0.65,0.61,0.6,0.62,0.61,0.53,0.6,0.51,0.6,0.57,0.44,0.59,0.53,0.54,0.51,0.51,0.46,0.57,0.52,0.53,0.56,0.51,0.52,0.5,0.5,0.52,0.46,0.47,0.49,0.52,0.0,0.45,0.48,0.52,0.45,0.45,0.42,0.42,0.0,0.48,0.47,0.49,0.45,0.42,0.43,0.45,0.42,0.42,0.41,0.3,0.46,0.43,0.41,0.37,0.41,0.42,0.38,0.29,0.4,0.38,0.4,0.37,0.33,0.38,0.39,0.37,0.39,0.37,0.38,0.37,0.35,0.4,0.37,0.37,0.37,0.35,0.52,0.35,0.32,0.36,0.36,0.36,0.36,0.34,0.34,0.35,0.33,0.35,0.32,0.33,0.32,0.32,0.31,0.33,0.3,0.18,0.29,0.35,0.31,0.3,0.34,0.29,0.25,0.44,0.29,0.3,0.32,0.28,0.31,0.0,0.27,0.36,0.29,0.28,0.29,0.26,0.25,0.27,0.26,0.27,0.29,0.28,0.28,0.27,0.24,0.28,0.24,0.24,0.39,0.26,0.25,0.0,0.26,0.24,0.0,0.25,0.25,0.21,0.25,0.25,0.23,0.25,0.21,0.24,0.23,0.23,0.2,0.18,0.2,0.24,0.2,0.21,0.22,0.22,0.21,0.22,0.0,0.18,0.22,0.22,0.22,0.2,0.2,0.19,0.2,0.21,0.0,0.23,0.0,0.19,0.19,0.21,0.2,0.0,0.21,0.2,0.0,0.0,0.0,0.22,0.19,0.0,0.2,0.2,0.18,0.29,0.0,0.25,0.32,0.0,0.18,0.2,0.19,0.18,0.0,0.0,0.0,0.22,0.23,0.2,0.17,0.19,0.17,0.0,0.18,0.17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,72.41
08/03/2021,0.8,0.8,0.82,0.89,0.61,0.68,0.76,0.65,0.66,0.66,0.62,0.62,0.61,0.65,0.61,0.6,0.62,0.61,0.53,0.6,0.51,0.6,0.57,0.44,0.59,0.53,0.54,0.51,0.51,0.46,0.57,0.52,0.53,0.56,0.51,0.52,0.5,0.5,0.52,0.46,0.47,0.49,0.52,0.0,0.45,0.48,0.52,0.45,0.45,0.42,0.42,0.0,0.48,0.47,0.49,0.45,0.42,0.43,0.45,0.42,0.42,0.41,0.3,0.46,0.43,0.41,0.37,0.41,0.42,0.38,0.29,0.4,0.38,0.4,0.37,0.33,0.38,0.39,0.37,0.39,0.37,0.38,0.37,0.35,0.4,0.37,0.37,0.37,0.35,0.52,0.35,0.32,0.36,0.36,0.36,0.36,0.34,0.34,0.35,0.33,0.35,0.32,0.33,0.32,0.32,0.31,0.33,0.3,0.18,0.29,0.35,0.31,0.3,0.34,0.29,0.25,0.44,0.29,0.3,0.32,0.28,0.31,0.0,0.27,0.36,0.29,0.28,0.29,0.26,0.25,0.27,0.26,0.27,0.29,0.28,0.28,0.27,0.24,0.28,0.24,0.24,0.39,0.26,0.25,0.0,0.26,0.24,0.0,0.25,0.25,0.21,0.25,0.25,0.23,0.25,0.21,0.24,0.23,0.23,0.2,0.18,0.2,0.24,0.2,0.21,0.22,0.22,0.21,0.22,0.0,0.18,0.22,0.22,0.22,0.2,0.2,0.19,0.2,0.21,0.0,0.23,0.0,0.19,0.19,0.21,0.2,0.0,0.21,0.2,0.0,0.0,0.0,0.22,0.19,0.0,0.2,0.2,0.18,0.29,0.0,0.25,0.32,0.0,0.18,0.2,0.19,0.18,0.0,0.0,0.0,0.22,0.23,0.2,0.17,0.19,0.17,0.0,0.18,0.17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,72.41
08/04/2021,0.8,0.8,0.82,0.89,0.61,0.68,0.76,0.65,0.66,0.66,0.62,0.62,0.61,0.65,0.61,0.6,0.62,0.61,0.53,0.6,0.51,0.6,0.57,0.44,0.59,0.53,0.54,0.51,0.51,0.46,0.57,0.52,0.53,0.56,0.51,0.52,0.5,0.5,0.52,0.46,0.47,0.49,0.52,0.0,0.45,0.48,0.52,0.45,0.45,0.42,0.42,0.0,0.48,0.47,0.49,0.45,0.42,0.43,0.45,0.42,0.42,0.41,0.3,0.46,0.43,0.41,0.37,0.41,0.42,0.38,0.29,0.4,0.38,0.4,0.37,0.33,0.38,0.39,0.37,0.39,0.37,0.38,0.37,0.35,0.4,0.37,0.37,0.37,0.35,0.52,0.35,0.32,0.36,0.36,0.36,0.36,0.34,0.34,0.35,0.33,0.35,0.32,0.33,0.32,0.32,0.31,0.33,0.3,0.18,0.29,0.35,0.31,0.3,0.34,0.29,0.25,0.44,0.29,0.3,0.32,0.28,0.31,0.0,0.27,0.36,0.29,0.28,0.29,0.26,0.25,0.27,0.26,0.27,0.29,0.28,0.28,0.27,0.24,0.28,0.24,0.24,0.39,0.26,0.25,0.0,0.26,0.24,0.0,0.25,0.25,0.21,0.25,0.25,0.23,0.25,0.21,0.24,0.23,0.23,0.2,0.18,0.2,0.24,0.2,0.21,0.22,0.22,0.21,0.22,0.0,0.18,0.22,0.22,0.22,0.2,0.2,0.19,0.2,0.21,0.0,0.23,0.0,0.19,0.19,0.21,0.2,0.0,0.21,0.2,0.0,0.0,0.0,0.22,0.19,0.0,0.2,0.2,0.18,0.29,0.0,0.25,0.32,0.0,0.18,0.2,0.19,0.18,0.0,0.0,0.0,0.22,0.23,0.2,0.17,0.19,0.17,0.0,0.18,0.17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,72.41
08/05/2021,0.8,0.8,0.82,0.89,0.61,0.68,0.76,0.65,0.66,0.66,0.62,0.62,0.61,0.65,0.61,0.6,0.62,0.61,0.53,0.6,0.51,0.6,0.57,0.44,0.59,0.53,0.54,0.51,0.51,0.46,0.57,0.52,0.53,0.56,0.51,0.52,0.5,0.5,0.52,0.46,0.47,0.49,0.52,0.0,0.45,0.48,0.52,0.45,0.45,0.42,0.42,0.0,0.48,0.47,0.49,0.45,0.42,0.43,0.45,0.42,0.42,0.41,0.3,0.46,0.43,0.41,0.37,0.41,0.42,0.38,0.29,0.4,0.38,0.4,0.37,0.33,0.38,0.39,0.37,0.39,0.37,0.38,0.37,0.35,0.4,0.37,0.37,0.37,0.35,0.52,0.35,0.32,0.36,0.36,0.36,0.36,0.34,0.34,0.35,0.33,0.35,0.32,0.33,0.32,0.32,0.31,0.33,0.3,0.18,0.29,0.35,0.31,0.3,0.34,0.29,0.25,0.44,0.29,0.3,0.32,0.28,0.31,0.0,0.27,0.36,0.29,0.28,0.29,0.26,0.25,0.27,0.26,0.27,0.29,0.28,0.28,0.27,0.24,0.28,0.24,0.24,0.39,0.26,0.25,0.0,0.26,0.24,0.0,0.25,0.25,0.21,0.25,0.25,0.23,0.25,0.21,0.24,0.23,0.23,0.2,0.18,0.2,0.24,0.2,0.21,0.22,0.22,0.21,0.22,0.0,0.18,0.22,0.22,0.22,0.2,0.2,0.19,0.2,0.21,0.0,0.23,0.0,0.19,0.19,0.21,0.2,0.0,0.21,0.2,0.0,0.0,0.0,0.22,0.19,0.0,0.2,0.2,0.18,0.29,0.0,0.25,0.32,0.0,0.18,0.2,0.19,0.18,0.0,0.0,0.0,0.22,0.23,0.2,0.17,0.19,0.17,0.0,0.18,0.17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,72.41
08/06/2021,0.81,0.79,0.86,0.9,0.61,0.7,0.79,0.64,0.66,0.64,0.57,0.64,0.61,0.55,0.6,0.68,0.65,0.62,0.52,0.59,0.49,0.6,0.57,0.44,0.61,0.49,0.53,0.51,0.47,0.46,0.58,0.53,0.54,0.57,0.5,0.52,0.49,0.52,0.5,0.46,0.47,0.48,0.52,0.0,0.43,0.49,0.52,0.44,0.45,0.41,0.43,0.0,0.48,0.47,0.49,0.52,0.42,0.43,0.46,0.41,0.39,0.41,0.3,0.48,0.43,0.41,0.35,0.42,0.42,0.39,0.27,0.41,0.38,0.43,0.35,0.33,0.38,0.41,0.37,0.38,0.4,0.39,0.36,0.33,0.37,0.37,0.37,0.39,0.35,0.51,0.35,0.33,0.39,0.32,0.35,0.35,0.33,0.35,0.35,0.18,0.36,0.32,0.33,0.32,0.32,0.36,0.34,0.3,0.0,0.29,0.37,0.32,0.3,0.34,0.29,0.24,0.44,0.26,0.29,0.3,0.28,0.36,0.0,0.26,0.37,0.29,0.28,0.29,0.27,0.26,0.3,0.25,0.27,0.31,0.29,0.29,0.26,0.25,0.29,0.24,0.24,0.41,0.26,0.26,0.0,0.26,0.22,0.0,0.25,0.25,0.21,0.25,0.24,0.23,0.23,0.21,0.24,0.23,0.22,0.2,0.19,0.19,0.23,0.2,0.21,0.22,0.22,0.2,0.21,0.0,0.18,0.21,0.22,0.23,0.2,0.2,0.18,0.2,0.2,0.0,0.23,0.0,0.19,0.19,0.21,0.2,0.0,0.22,0.2,0.0,0.0,0.0,0.22,0.2,0.0,0.2,0.2,0.17,0.29,0.0,0.25,0.32,0.0,0.17,0.2,0.19,0.18,0.0,0.0,0.0,0.21,0.24,0.19,0.17,0.19,0.0,0.0,0.18,0.0,0.18,0.17,0.17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,72.31
08/09/2021,0.81,0.78,0.8,0.9,0.58,0.71,0.79,0.61,0.67,0.63,0.56,0.62,0.61,0.56,0.59,0.69,0.64,0.62,0.53,0.6,0.5,0.61,0.59,0.42,0.62,0.49,0.53,0.53,0.47,0.43,0.57,0.52,0.53,0.6,0.5,0.53,0.48,0.52,0.52,0.44,0.48,0.49,0.52,0.0,0.43,0.49,0.53,0.41,0.45,0.41,0.41,0.0,0.49,0.46,0.48,0.51,0.42,0.44,0.45,0.43,0.41,0.42,0.29,0.47,0.43,0.41,0.32,0.42,0.42,0.38,0.24,0.41,0.38,0.44,0.34,0.34,0.37,0.41,0.37,0.38,0.4,0.39,0.37,0.33,0.34,0.38,0.37,0.38,0.36,0.54,0.35,0.34,0.38,0.31,0.35,0.36,0.32,0.34,0.36,0.21,0.36,0.33,0.33,0.32,0.33,0.35,0.33,0.3,0.17,0.31,0.37,0.32,0.28,0.34,0.29,0.22,0.45,0.27,0.28,0.32,0.27,0.36,0.0,0.26,0.37,0.3,0.29,0.3,0.27,0.25,0.31,0.26,0.28,0.32,0.28,0.29,0.27,0.25,0.29,0.25,0.24,0.41,0.25,0.27,0.0,0.26,0.22,0.0,0.25,0.25,0.19,0.25,0.25,0.23,0.23,0.21,0.23,0.23,0.22,0.21,0.19,0.19,0.23,0.21,0.21,0.21,0.22,0.2,0.21,0.0,0.17,0.21,0.21,0.23,0.2,0.2,0.17,0.19,0.2,0.0,0.23,0.0,0.18,0.2,0.21,0.18,0.0,0.22,0.2,0.0,0.0,0.0,0.22,0.2,0.0,0.21,0.21,0.0,0.29,0.0,0.24,0.32,0.0,0.17,0.2,0.18,0.18,0.18,0.0,0.0,0.21,0.27,0.19,0.17,0.2,0.0,0.0,0.19,0.0,0.18,0.0,0.0,0.26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,72.31
