,AAPL,MSFT,AMZN,FB,GOOGL,GOOG,TSLA,NVDA,JNJ,V,UNH,PYPL,HD,PG,DIS,MA,ADBE,XOM,CMCSA,NFLX,VZ,INTC,CRM,CSCO,PFE,KO,ABT,T,PEP,CVX,TMO,ABBV,NKE,MRK,AVGO,WMT,ACN,LLY,TXN,COST,MCD,DHR,MDT,QCOM,PM,HON,UPS,LIN,BMY,UNP,NEE,ORCL,AMGN,LOW,INTU,BA,SBUX,IBM,AMAT,RTX,TGT,CAT,GE,MMM,AMD,DE,CVS,NOW,ISRG,CHTR,MU,ANTM,LRCX,LMT,BKNG,ZTS,FIS,MO,MDLZ,GILD,SYK,TMUS,ADP,COP,TJX,CI,DUK,GM,ATVI,EL,FDX,CSX,BDX,ILMN,CL,NSC,SHW,ITW,ADSK,EW,SO,ADI,FISV,APD,BSX,ETN,REGN,D,F,HUM,EMR,NXPI,GPN,WM,NOC,HCA,TWTR,FCX,IDXX,VRTX,BIIB,ECL,DG,NEM,KLAC,ROP,JCI,EOG,DOW,IQV,KMB,EBAY,A,ALGN,TEL,SLB,ROST,TT,CMG,LHX,EXC,GD,APTV,SNPS,INFO,CNC,SRE,AEP,DXCM,EA,DD,MCHP,APH,ALXN,BAX,PPG,PH,STZ,SYY,CARR,ORLY,MPC,CDNS,PXD,WBA,PSX,Cash,IFF,MSI,GIS,TDG,MAR,CTSH,HPQ,RMD,XLNX,CMI,KMI,XEL,PAYX,CTAS,YUM,HLT,MTD,ADM,ROK,MNST,ZBH,SWK,OTIS,CTVA,WMB,SWKS,FTNT,VLO,GLW,LUV,AME,PCAR,AZO,MRNA,MCK,EFX,ANSS,NUE,AWK,DHI,n/a,KR,FAST,BLL,PEG,KEYS,VRSK,WST,LEN,CPRT,CDW,WEC,ES,MTCH,ODFL,ETSY,ENPH,OXY,SUM
07/23/2021,6.86,6.51,4.74,2.66,2.35,2.28,1.67,1.59,1.38,1.26,1.2,1.09,1.08,1.05,1.02,1.02,0.9,0.85,0.83,0.75,0.74,0.72,0.72,0.71,0.7,0.67,0.66,0.66,0.65,0.65,0.64,0.64,0.63,0.63,0.62,0.62,0.6,0.58,0.56,0.56,0.55,0.54,0.53,0.51,0.49,0.49,0.48,0.48,0.48,0.47,0.46,0.45,0.45,0.44,0.43,0.42,0.42,0.42,0.42,0.41,0.38,0.38,0.38,0.37,0.36,0.35,0.35,0.35,0.35,0.32,0.3,0.3,0.3,0.3,0.28,0.28,0.28,0.28,0.28,0.28,0.27,0.27,0.27,0.26,0.26,0.26,0.24,0.24,0.24,0.24,0.23,0.23,0.23,0.22,0.22,0.21,0.21,0.21,0.2,0.2,0.2,0.2,0.2,0.2,0.19,0.19,0.19,0.19,0.19,0.18,0.18,0.18,0.18,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.15,0.15,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,88.31
07/26/2021,6.86,6.51,4.74,2.66,2.35,2.28,1.67,1.59,1.38,1.26,1.2,1.09,1.08,1.05,1.02,1.02,0.9,0.85,0.83,0.75,0.74,0.72,0.72,0.71,0.7,0.67,0.66,0.66,0.65,0.65,0.64,0.64,0.63,0.63,0.62,0.62,0.6,0.58,0.56,0.56,0.55,0.54,0.53,0.51,0.49,0.49,0.48,0.48,0.48,0.47,0.46,0.45,0.45,0.44,0.43,0.42,0.42,0.42,0.42,0.41,0.38,0.38,0.38,0.37,0.36,0.35,0.35,0.35,0.35,0.32,0.3,0.3,0.3,0.3,0.28,0.28,0.28,0.28,0.28,0.28,0.27,0.27,0.27,0.26,0.26,0.26,0.24,0.24,0.24,0.24,0.23,0.23,0.23,0.22,0.22,0.21,0.21,0.21,0.2,0.2,0.2,0.2,0.2,0.2,0.19,0.19,0.19,0.19,0.19,0.18,0.18,0.18,0.18,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.15,0.15,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,88.31
07/27/2021,6.86,6.51,4.74,2.66,2.35,2.28,1.67,1.59,1.38,1.26,1.2,1.09,1.08,1.05,1.02,1.02,0.9,0.85,0.83,0.75,0.74,0.72,0.72,0.71,0.7,0.67,0.66,0.66,0.65,0.65,0.64,0.64,0.63,0.63,0.62,0.62,0.6,0.58,0.56,0.56,0.55,0.54,0.53,0.51,0.49,0.49,0.48,0.48,0.48,0.47,0.46,0.45,0.45,0.44,0.43,0.42,0.42,0.42,0.42,0.41,0.38,0.38,0.38,0.37,0.36,0.35,0.35,0.35,0.35,0.32,0.3,0.3,0.3,0.3,0.28,0.28,0.28,0.28,0.28,0.28,0.27,0.27,0.27,0.26,0.26,0.26,0.24,0.24,0.24,0.24,0.23,0.23,0.23,0.22,0.22,0.21,0.21,0.21,0.2,0.2,0.2,0.2,0.2,0.2,0.19,0.19,0.19,0.19,0.19,0.18,0.18,0.18,0.18,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.15,0.15,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,88.31
07/28/2021,6.86,6.51,4.74,2.66,2.35,2.28,1.67,1.59,1.38,1.26,1.2,1.09,1.08,1.05,1.02,1.02,0.9,0.85,0.83,0.75,0.74,0.72,0.72,0.71,0.7,0.67,0.66,0.66,0.65,0.65,0.64,0.64,0.63,0.63,0.62,0.62,0.6,0.58,0.56,0.56,0.55,0.54,0.53,0.51,0.49,0.49,0.48,0.48,0.48,0.47,0.46,0.45,0.45,0.44,0.43,0.42,0.42,0.42,0.42,0.41,0.38,0.38,0.38,0.37,0.36,0.35,0.35,0.35,0.35,0.32,0.3,0.3,0.3,0.3,0.28,0.28,0.28,0.28,0.28,0.28,0.27,0.27,0.27,0.26,0.26,0.26,0.24,0.24,0.24,0.24,0.23,0.23,0.23,0.22,0.22,0.21,0.21,0.21,0.2,0.2,0.2,0.2,0.2,0.2,0.19,0.19,0.19,0.19,0.19,0.18,0.18,0.18,0.18,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.15,0.15,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,88.31
07/29/2021,6.86,6.51,4.74,2.66,2.35,2.28,1.67,1.59,1.38,1.26,1.2,1.09,1.08,1.05,1.02,1.02,0.9,0.85,0.83,0.75,0.74,0.72,0.72,0.71,0.7,0.67,0.66,0.66,0.65,0.65,0.64,0.64,0.63,0.63,0.62,0.62,0.6,0.58,0.56,0.56,0.55,0.54,0.53,0.51,0.49,0.49,0.48,0.48,0.48,0.47,0.46,0.45,0.45,0.44,0.43,0.42,0.42,0.42,0.42,0.41,0.38,0.38,0.38,0.37,0.36,0.35,0.35,0.35,0.35,0.32,0.3,0.3,0.3,0.3,0.28,0.28,0.28,0.28,0.28,0.28,0.27,0.27,0.27,0.26,0.26,0.26,0.24,0.24,0.24,0.24,0.23,0.23,0.23,0.22,0.22,0.21,0.21,0.21,0.2,0.2,0.2,0.2,0.2,0.2,0.19,0.19,0.19,0.19,0.19,0.18,0.18,0.18,0.18,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.15,0.15,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,88.31
07/30/2021,6.86,6.51,4.74,2.66,2.35,2.28,1.67,1.59,1.38,1.26,1.2,1.09,1.08,1.05,1.02,1.02,0.9,0.85,0.83,0.75,0.74,0.72,0.72,0.71,0.7,0.67,0.66,0.66,0.65,0.65,0.64,0.64,0.63,0.63,0.62,0.62,0.6,0.58,0.56,0.56,0.55,0.54,0.53,0.51,0.49,0.49,0.48,0.48,0.48,0.47,0.46,0.45,0.45,0.44,0.43,0.42,0.42,0.42,0.42,0.41,0.38,0.38,0.38,0.37,0.36,0.35,0.35,0.35,0.35,0.32,0.3,0.3,0.3,0.3,0.28,0.28,0.28,0.28,0.28,0.28,0.27,0.27,0.27,0.26,0.26,0.26,0.24,0.24,0.24,0.24,0.23,0.23,0.23,0.22,0.22,0.21,0.21,0.21,0.2,0.2,0.2,0.2,0.2,0.2,0.19,0.19,0.19,0.19,0.19,0.18,0.18,0.18,0.18,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.15,0.15,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,88.31
08/02/2021,6.86,6.51,4.74,2.66,2.35,2.28,1.67,1.59,1.38,1.26,1.2,1.09,1.08,1.05,1.02,1.02,0.9,0.85,0.83,0.75,0.74,0.72,0.72,0.71,0.7,0.67,0.66,0.66,0.65,0.65,0.64,0.64,0.63,0.63,0.62,0.62,0.6,0.58,0.56,0.56,0.55,0.54,0.53,0.51,0.49,0.49,0.48,0.48,0.48,0.47,0.46,0.45,0.45,0.44,0.43,0.42,0.42,0.42,0.42,0.41,0.38,0.38,0.38,0.37,0.36,0.35,0.35,0.35,0.35,0.32,0.3,0.3,0.3,0.3,0.28,0.28,0.28,0.28,0.28,0.28,0.27,0.27,0.27,0.26,0.26,0.26,0.24,0.24,0.24,0.24,0.23,0.23,0.23,0.22,0.22,0.21,0.21,0.21,0.2,0.2,0.2,0.2,0.2,0.2,0.19,0.19,0.19,0.19,0.19,0.18,0.18,0.18,0.18,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.15,0.15,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,88.31
08/03/2021,6.86,6.51,4.74,2.66,2.35,2.28,1.67,1.59,1.38,1.26,1.2,1.09,1.08,1.05,1.02,1.02,0.9,0.85,0.83,0.75,0.74,0.72,0.72,0.71,0.7,0.67,0.66,0.66,0.65,0.65,0.64,0.64,0.63,0.63,0.62,0.62,0.6,0.58,0.56,0.56,0.55,0.54,0.53,0.51,0.49,0.49,0.48,0.48,0.48,0.47,0.46,0.45,0.45,0.44,0.43,0.42,0.42,0.42,0.42,0.41,0.38,0.38,0.38,0.37,0.36,0.35,0.35,0.35,0.35,0.32,0.3,0.3,0.3,0.3,0.28,0.28,0.28,0.28,0.28,0.28,0.27,0.27,0.27,0.26,0.26,0.26,0.24,0.24,0.24,0.24,0.23,0.23,0.23,0.22,0.22,0.21,0.21,0.21,0.2,0.2,0.2,0.2,0.2,0.2,0.19,0.19,0.19,0.19,0.19,0.18,0.18,0.18,0.18,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.15,0.15,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,88.31
08/04/2021,6.86,6.51,4.74,2.66,2.35,2.28,1.67,1.59,1.38,1.26,1.2,1.09,1.08,1.05,1.02,1.02,0.9,0.85,0.83,0.75,0.74,0.72,0.72,0.71,0.7,0.67,0.66,0.66,0.65,0.65,0.64,0.64,0.63,0.63,0.62,0.62,0.6,0.58,0.56,0.56,0.55,0.54,0.53,0.51,0.49,0.49,0.48,0.48,0.48,0.47,0.46,0.45,0.45,0.44,0.43,0.42,0.42,0.42,0.42,0.41,0.38,0.38,0.38,0.37,0.36,0.35,0.35,0.35,0.35,0.32,0.3,0.3,0.3,0.3,0.28,0.28,0.28,0.28,0.28,0.28,0.27,0.27,0.27,0.26,0.26,0.26,0.24,0.24,0.24,0.24,0.23,0.23,0.23,0.22,0.22,0.21,0.21,0.21,0.2,0.2,0.2,0.2,0.2,0.2,0.19,0.19,0.19,0.19,0.19,0.18,0.18,0.18,0.18,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.15,0.15,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,88.31
08/05/2021,6.86,6.51,4.74,2.66,2.35,2.28,1.67,1.59,1.38,1.26,1.2,1.09,1.08,1.05,1.02,1.02,0.9,0.85,0.83,0.75,0.74,0.72,0.72,0.71,0.7,0.67,0.66,0.66,0.65,0.65,0.64,0.64,0.63,0.63,0.62,0.62,0.6,0.58,0.56,0.56,0.55,0.54,0.53,0.51,0.49,0.49,0.48,0.48,0.48,0.47,0.46,0.45,0.45,0.44,0.43,0.42,0.42,0.42,0.42,0.41,0.38,0.38,0.38,0.37,0.36,0.35,0.35,0.35,0.35,0.32,0.3,0.3,0.3,0.3,0.28,0.28,0.28,0.28,0.28,0.28,0.27,0.27,0.27,0.26,0.26,0.26,0.24,0.24,0.24,0.24,0.23,0.23,0.23,0.22,0.22,0.21,0.21,0.21,0.2,0.2,0.2,0.2,0.2,0.2,0.19,0.19,0.19,0.19,0.19,0.18,0.18,0.18,0.18,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.15,0.15,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,88.31
08/06/2021,7.11,6.66,4.47,2.65,2.53,2.4,1.64,1.51,1.41,1.29,1.21,1.0,1.08,1.08,0.99,1.05,0.93,0.76,0.84,0.71,0.72,0.67,0.73,0.72,0.74,0.69,0.67,0.62,0.67,0.61,0.66,0.64,0.66,0.6,0.61,0.61,0.63,0.6,0.55,0.59,0.57,0.59,0.55,0.53,0.49,0.51,0.43,0.5,0.47,0.45,0.47,0.49,0.43,0.42,0.45,0.39,0.44,0.39,0.4,0.41,0.4,0.35,0.35,0.36,0.4,0.35,0.34,0.36,0.36,0.32,0.27,0.29,0.28,0.28,0.28,0.3,0.29,0.27,0.27,0.27,0.28,0.26,0.28,0.23,0.26,0.24,0.25,0.22,0.2,0.24,0.21,0.23,0.23,0.23,0.21,0.2,0.22,0.2,0.22,0.22,0.21,0.19,0.21,0.2,0.2,0.2,0.19,0.19,0.17,0.17,0.19,0.18,0.18,0.18,0.17,0.2,0.17,0.17,0.18,0.16,0.15,0.17,0.17,0.16,0.17,0.16,0.16,0.13,0.14,0.15,0.14,0.14,0.15,0.16,0.15,0.12,0.14,0.15,0.17,0.14,0.14,0.14,0.14,0.14,0.14,0.12,0.13,0.14,0.16,0.13,0.12,0.12,0.13,0.0,0.12,0.12,0.13,0.12,0.12,0.14,0.13,0.11,0.13,0.1,0.1,0.1,0.12,0.12,0.12,0.11,0.11,0.12,0.12,0.11,0.12,0.12,0.11,0.1,0.11,0.11,0.11,0.12,0.11,0.11,0.1,0.11,0.11,0.11,0.1,0.11,0.0,0.0,0.0,0.11,0.0,0.1,0.0,0.1,0.0,0.1,0.34,0.1,0.1,0.1,0.1,0.1,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,88.65
08/09/2021,7.11,6.66,4.47,2.65,2.53,2.4,1.64,1.51,1.41,1.29,1.21,1.0,1.08,1.08,0.99,1.05,0.93,0.76,0.84,0.71,0.72,0.67,0.73,0.72,0.74,0.69,0.67,0.62,0.67,0.61,0.66,0.64,0.66,0.6,0.61,0.61,0.63,0.6,0.55,0.59,0.57,0.59,0.55,0.53,0.49,0.51,0.43,0.5,0.47,0.45,0.47,0.49,0.43,0.42,0.45,0.39,0.44,0.39,0.4,0.41,0.4,0.35,0.35,0.36,0.4,0.35,0.34,0.36,0.36,0.32,0.27,0.29,0.28,0.28,0.28,0.3,0.29,0.27,0.27,0.27,0.28,0.26,0.28,0.23,0.26,0.24,0.25,0.22,0.2,0.24,0.21,0.23,0.23,0.23,0.21,0.2,0.22,0.2,0.22,0.22,0.21,0.19,0.21,0.2,0.2,0.2,0.19,0.19,0.17,0.17,0.19,0.18,0.18,0.18,0.17,0.2,0.17,0.17,0.18,0.16,0.15,0.17,0.17,0.16,0.17,0.16,0.16,0.13,0.14,0.15,0.14,0.14,0.15,0.16,0.15,0.12,0.14,0.15,0.17,0.14,0.14,0.14,0.14,0.14,0.14,0.12,0.13,0.14,0.16,0.13,0.12,0.12,0.13,0.0,0.12,0.12,0.13,0.12,0.12,0.14,0.13,0.11,0.13,0.1,0.1,0.1,0.0,0.12,0.12,0.11,0.11,0.12,0.12,0.11,0.12,0.12,0.11,0.1,0.11,0.11,0.11,0.12,0.11,0.11,0.1,0.11,0.11,0.11,0.1,0.11,0.0,0.0,0.0,0.11,0.0,0.1,0.0,0.1,0.0,0.1,0.34,0.1,0.1,0.1,0.1,0.1,0.1,0.12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,88.65
08/10/2021,7.11,6.66,4.47,2.65,2.53,2.4,1.64,1.51,1.41,1.29,1.21,1.0,1.08,1.08,0.99,1.05,0.93,0.76,0.84,0.71,0.72,0.67,0.73,0.72,0.74,0.69,0.67,0.62,0.67,0.61,0.66,0.64,0.66,0.6,0.61,0.61,0.63,0.6,0.55,0.59,0.57,0.59,0.55,0.53,0.49,0.51,0.43,0.5,0.47,0.45,0.47,0.49,0.43,0.42,0.45,0.39,0.44,0.39,0.4,0.41,0.4,0.35,0.35,0.36,0.4,0.35,0.34,0.36,0.36,0.32,0.27,0.29,0.28,0.28,0.28,0.3,0.29,0.27,0.27,0.27,0.28,0.26,0.28,0.23,0.26,0.24,0.25,0.22,0.2,0.24,0.21,0.23,0.23,0.23,0.21,0.2,0.22,0.2,0.22,0.22,0.21,0.19,0.21,0.2,0.2,0.2,0.19,0.19,0.17,0.17,0.19,0.18,0.18,0.18,0.17,0.2,0.17,0.17,0.18,0.16,0.15,0.17,0.17,0.16,0.17,0.16,0.16,0.13,0.14,0.15,0.14,0.14,0.15,0.16,0.15,0.12,0.14,0.15,0.17,0.14,0.14,0.14,0.14,0.14,0.14,0.12,0.13,0.14,0.16,0.13,0.12,0.12,0.13,0.0,0.12,0.12,0.13,0.12,0.12,0.14,0.13,0.11,0.13,0.1,0.1,0.1,0.0,0.12,0.12,0.11,0.11,0.12,0.12,0.11,0.12,0.12,0.11,0.1,0.11,0.11,0.11,0.12,0.11,0.11,0.1,0.11,0.11,0.11,0.1,0.11,0.0,0.0,0.0,0.11,0.0,0.1,0.0,0.1,0.0,0.1,0.34,0.1,0.1,0.1,0.1,0.1,0.1,0.12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,88.65
08/11/2021,7.11,6.66,4.47,2.65,2.53,2.4,1.64,1.51,1.41,1.29,1.21,1.0,1.08,1.08,0.99,1.05,0.93,0.76,0.84,0.71,0.72,0.67,0.73,0.72,0.74,0.69,0.67,0.62,0.67,0.61,0.66,0.64,0.66,0.6,0.61,0.61,0.63,0.6,0.55,0.59,0.57,0.59,0.55,0.53,0.49,0.51,0.43,0.5,0.47,0.45,0.47,0.49,0.43,0.42,0.45,0.39,0.44,0.39,0.4,0.41,0.4,0.35,0.35,0.36,0.4,0.35,0.34,0.36,0.36,0.32,0.27,0.29,0.28,0.28,0.28,0.3,0.29,0.27,0.27,0.27,0.28,0.26,0.28,0.23,0.26,0.24,0.25,0.22,0.2,0.24,0.21,0.23,0.23,0.23,0.21,0.2,0.22,0.2,0.22,0.22,0.21,0.19,0.21,0.2,0.2,0.2,0.19,0.19,0.17,0.17,0.19,0.18,0.18,0.18,0.17,0.2,0.17,0.17,0.18,0.16,0.15,0.17,0.17,0.16,0.17,0.16,0.16,0.13,0.14,0.15,0.14,0.14,0.15,0.16,0.15,0.12,0.14,0.15,0.17,0.14,0.14,0.14,0.14,0.14,0.14,0.12,0.13,0.14,0.16,0.13,0.12,0.12,0.13,0.0,0.12,0.12,0.13,0.12,0.12,0.14,0.13,0.11,0.13,0.1,0.1,0.1,0.0,0.12,0.12,0.11,0.11,0.12,0.12,0.11,0.12,0.12,0.11,0.1,0.11,0.11,0.11,0.12,0.11,0.11,0.1,0.11,0.11,0.11,0.1,0.11,0.0,0.0,0.0,0.11,0.0,0.1,0.0,0.1,0.0,0.1,0.34,0.1,0.1,0.1,0.1,0.1,0.1,0.12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,88.65
