,AMC,OVV,AIRC,THC,XEC,PB,SF,AA,FAF,BRX,SNV,SON,JHG,SLM,DKS,HBI,FL,PRGO,MDU,INGR,NCR,X,VLY,EQT,LPX,NOV,UNM,ACHC,CC,AEO,CUZ,SLG,VNT,JBLU,HUN,NYCB,CHK,KBR,TKR,XTSLA,OZK,ADS,ESNT,NVT,SAIC,TNL,UBSI,SNX,MTG,WBS,THG,NRZ,HFC,IDA,CIT,PACW,QDEL,UMPQ,GT,CR,HIW,NFG,FLO,QRTEA,HE,HLF,PK,BXMT,PDCE,WTFC,WCC,ALSN,HRB,SGMS,FNB,MSM,M,AL,LSI,COMM,KMPR,PNFP,TGNA,RRC,UNVR,NTNX,POR,HWC,SIG,BKH,RHP,BJ,AVT,EVR,LEG,DBRG,OGS,EPR,ADNT,AR,EME,JWN,R,SBRA,CAR,FHB,AXS,MTDR,SSB,MAN,SR,SRCL,CACI,WRI,NJR,BHF,XRX,SABR,BOH,SWX,ASB,MTH,JBGS,CIM,KBH,CDK,AMG,VAC,ALE,OUT,NSIT,CMC,POST,HTA,EXP,MUSA,BPOP,OLN,MUR,TRTN,CATY,AYI,NAVI,CACC,RBC,WH,HP,SWN,ETRN,MC,DEI,FHI,JCOM,IIVI,NWE,APLE,RCII,SIX,TCBI,SLGN,BBBY,NATI,CBT,TMHC,DAN,CNO,RYN,CNX,REGI,FULT,AM,MAC,SJI,BKU,CHNG,SPR,SFM,NHI,MLHR,RIG,URBN,UFS,MDC,MGEE,ASH,EAT,SYNA,LITE,NUS,CW,MIC,SIGI,KMT,BOKF,STAG,HELE,GPI,PBH,CPE,JW.A,VVV,FLS,SNBR,OI,MDRX,KTB,THS,SM,RKT,MYGN,SASR,SITC,IBOC,ODP,AEL,ADC,WSBC,FRME,RPAI,ASGN,PINC,PDCO,GHC,RDN,RL,MD,WERN,4282.T,VNE,TPH,USD,MTX,RXN,PAG,NXST,MRVI,LIVN,SUM
07/23/2021,1.19,0.37,0.44,0.41,0.35,0.36,0.37,0.36,0.38,0.37,0.35,0.36,0.38,0.35,0.35,0.34,0.32,0.33,0.34,0.32,0.32,0.33,0.31,0.3,0.29,0.29,0.31,0.3,0.29,0.29,0.32,0.29,0.3,0.27,0.27,0.29,0.27,0.3,0.28,0.0,0.27,0.26,0.27,0.28,0.28,0.26,0.27,0.26,0.25,0.24,0.26,0.24,0.24,0.29,0.26,0.27,0.29,0.24,0.24,0.25,0.27,0.25,0.26,0.25,0.26,0.25,0.24,0.25,0.2,0.24,0.24,0.24,0.24,0.19,0.23,0.23,0.26,0.24,0.25,0.23,0.23,0.22,0.21,0.21,0.22,0.2,0.23,0.21,0.19,0.23,0.23,0.23,0.21,0.2,0.21,0.19,0.21,0.22,0.21,0.2,0.22,0.2,0.21,0.22,0.21,0.21,0.22,0.18,0.19,0.19,0.2,0.2,0.21,0.21,0.21,0.2,0.2,0.2,0.21,0.22,0.19,0.19,0.2,0.18,0.2,0.19,0.2,0.19,0.2,0.18,0.19,0.2,0.19,0.2,0.17,0.2,0.17,0.18,0.16,0.18,0.18,0.19,0.2,0.2,0.19,0.18,0.17,0.17,0.18,0.19,0.19,0.17,0.17,0.16,0.18,0.17,0.18,0.16,0.17,0.17,0.17,0.17,0.16,0.17,0.18,0.17,0.16,0.15,0.17,0.16,0.15,0.15,0.16,0.18,0.16,0.15,0.17,0.17,0.16,0.0,0.0,0.15,0.15,0.16,0.15,0.0,0.15,0.15,0.15,0.15,0.16,0.16,0.16,0.15,0.17,0.15,0.16,0.15,0.0,0.0,0.0,0.0,0.15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14,0.15,0.15,0.0,0.15,0.0,0.0,0.0,0.0,0.0,0.0,0.14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,45.86
07/26/2021,1.1,0.39,0.43,0.42,0.36,0.36,0.37,0.37,0.38,0.37,0.35,0.35,0.38,0.35,0.36,0.34,0.33,0.33,0.34,0.32,0.32,0.34,0.31,0.31,0.3,0.29,0.31,0.3,0.29,0.29,0.32,0.29,0.3,0.27,0.27,0.29,0.28,0.3,0.29,0.0,0.27,0.27,0.27,0.27,0.27,0.27,0.27,0.26,0.25,0.25,0.26,0.24,0.24,0.28,0.26,0.27,0.29,0.25,0.24,0.25,0.27,0.25,0.25,0.25,0.25,0.24,0.24,0.25,0.21,0.24,0.24,0.24,0.23,0.2,0.23,0.22,0.27,0.24,0.24,0.23,0.23,0.23,0.21,0.22,0.22,0.21,0.23,0.22,0.19,0.23,0.25,0.23,0.22,0.2,0.2,0.18,0.21,0.22,0.21,0.21,0.21,0.2,0.21,0.22,0.22,0.21,0.22,0.19,0.2,0.19,0.2,0.2,0.21,0.21,0.2,0.2,0.21,0.2,0.21,0.22,0.19,0.19,0.2,0.18,0.2,0.19,0.2,0.19,0.2,0.18,0.19,0.2,0.19,0.19,0.17,0.19,0.18,0.18,0.17,0.18,0.18,0.19,0.2,0.19,0.19,0.18,0.17,0.17,0.18,0.19,0.19,0.17,0.17,0.16,0.17,0.17,0.18,0.17,0.18,0.17,0.17,0.17,0.16,0.17,0.18,0.17,0.16,0.15,0.17,0.16,0.15,0.16,0.15,0.18,0.16,0.15,0.16,0.17,0.16,0.0,0.0,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.14,0.15,0.16,0.15,0.16,0.15,0.16,0.14,0.16,0.14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15,0.15,0.0,0.15,0.0,0.0,0.0,0.14,0.14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,45.86
07/27/2021,1.03,0.4,0.44,0.41,0.36,0.36,0.37,0.38,0.39,0.36,0.35,0.34,0.38,0.34,0.36,0.34,0.33,0.33,0.34,0.32,0.32,0.34,0.31,0.31,0.3,0.29,0.31,0.3,0.29,0.29,0.32,0.28,0.3,0.27,0.28,0.29,0.29,0.3,0.29,0.0,0.27,0.27,0.27,0.28,0.28,0.27,0.26,0.26,0.25,0.24,0.26,0.24,0.24,0.28,0.26,0.27,0.32,0.25,0.24,0.25,0.27,0.25,0.25,0.25,0.25,0.24,0.24,0.25,0.21,0.23,0.24,0.23,0.24,0.19,0.23,0.22,0.26,0.24,0.25,0.22,0.23,0.22,0.21,0.22,0.22,0.21,0.23,0.22,0.19,0.23,0.25,0.23,0.21,0.2,0.2,0.18,0.21,0.22,0.21,0.21,0.21,0.19,0.21,0.21,0.22,0.21,0.22,0.19,0.19,0.19,0.2,0.2,0.21,0.21,0.2,0.2,0.21,0.2,0.21,0.22,0.19,0.19,0.2,0.18,0.2,0.19,0.2,0.19,0.2,0.18,0.19,0.2,0.19,0.2,0.17,0.19,0.18,0.18,0.17,0.18,0.18,0.19,0.2,0.2,0.19,0.18,0.17,0.17,0.18,0.2,0.19,0.17,0.17,0.16,0.18,0.17,0.18,0.17,0.18,0.17,0.17,0.17,0.16,0.17,0.18,0.17,0.16,0.15,0.17,0.16,0.16,0.15,0.16,0.18,0.16,0.15,0.16,0.17,0.16,0.0,0.0,0.16,0.15,0.15,0.15,0.0,0.15,0.15,0.0,0.15,0.16,0.15,0.16,0.15,0.16,0.15,0.16,0.15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15,0.15,0.14,0.15,0.0,0.0,0.14,0.0,0.0,0.0,0.0,0.14,0.14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,45.82000000000001
07/28/2021,1.01,0.39,0.44,0.42,0.36,0.36,0.37,0.38,0.39,0.36,0.35,0.34,0.38,0.33,0.37,0.34,0.33,0.34,0.34,0.32,0.32,0.34,0.31,0.31,0.3,0.29,0.31,0.3,0.29,0.28,0.32,0.28,0.3,0.27,0.28,0.29,0.29,0.3,0.29,0.0,0.28,0.27,0.27,0.28,0.28,0.26,0.26,0.27,0.26,0.25,0.26,0.24,0.24,0.29,0.26,0.27,0.32,0.25,0.24,0.25,0.27,0.25,0.25,0.25,0.26,0.25,0.24,0.25,0.21,0.23,0.25,0.24,0.24,0.19,0.23,0.22,0.25,0.24,0.25,0.23,0.23,0.23,0.21,0.22,0.22,0.21,0.23,0.22,0.19,0.23,0.24,0.23,0.22,0.2,0.2,0.18,0.21,0.22,0.21,0.21,0.22,0.18,0.22,0.22,0.22,0.21,0.22,0.19,0.18,0.2,0.2,0.2,0.21,0.21,0.21,0.2,0.21,0.2,0.21,0.22,0.19,0.2,0.2,0.18,0.2,0.19,0.2,0.19,0.2,0.19,0.2,0.2,0.19,0.2,0.18,0.2,0.18,0.18,0.16,0.18,0.18,0.19,0.2,0.2,0.19,0.18,0.17,0.17,0.18,0.2,0.19,0.17,0.17,0.16,0.18,0.17,0.18,0.17,0.18,0.17,0.17,0.18,0.17,0.18,0.18,0.17,0.16,0.15,0.16,0.16,0.16,0.15,0.16,0.18,0.16,0.15,0.16,0.17,0.16,0.0,0.0,0.15,0.15,0.16,0.15,0.0,0.15,0.15,0.15,0.15,0.16,0.15,0.16,0.15,0.17,0.15,0.16,0.14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15,0.15,0.0,0.15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.17,0.16,0.14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,46.04
07/29/2021,1.09,0.4,0.44,0.41,0.37,0.36,0.37,0.39,0.39,0.36,0.34,0.34,0.38,0.33,0.37,0.34,0.33,0.33,0.34,0.32,0.32,0.35,0.31,0.31,0.3,0.3,0.31,0.3,0.29,0.29,0.32,0.28,0.3,0.27,0.28,0.29,0.29,0.3,0.28,0.0,0.28,0.27,0.27,0.28,0.27,0.26,0.27,0.27,0.25,0.24,0.26,0.24,0.25,0.28,0.26,0.27,0.29,0.25,0.24,0.25,0.26,0.25,0.25,0.25,0.25,0.25,0.24,0.25,0.22,0.23,0.24,0.23,0.24,0.19,0.23,0.22,0.26,0.24,0.25,0.23,0.23,0.22,0.21,0.22,0.22,0.21,0.23,0.22,0.19,0.23,0.23,0.23,0.22,0.2,0.2,0.18,0.21,0.21,0.2,0.22,0.21,0.19,0.21,0.21,0.23,0.21,0.22,0.19,0.18,0.2,0.2,0.2,0.21,0.21,0.2,0.2,0.21,0.21,0.21,0.22,0.19,0.19,0.2,0.18,0.2,0.19,0.2,0.19,0.2,0.19,0.2,0.21,0.19,0.19,0.17,0.2,0.18,0.18,0.17,0.18,0.18,0.19,0.2,0.2,0.19,0.18,0.17,0.18,0.18,0.2,0.19,0.17,0.17,0.15,0.18,0.17,0.18,0.17,0.18,0.17,0.17,0.17,0.17,0.17,0.18,0.17,0.16,0.15,0.16,0.16,0.16,0.15,0.16,0.18,0.16,0.15,0.16,0.17,0.16,0.0,0.0,0.15,0.0,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.16,0.15,0.16,0.15,0.16,0.15,0.15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15,0.15,0.0,0.15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16,0.0,0.19,0.15,0.0,0.0,0.0,0.0,0.0,46.010000000000005
07/30/2021,1.04,0.39,0.44,0.42,0.36,0.36,0.37,0.39,0.39,0.36,0.34,0.34,0.38,0.33,0.37,0.35,0.32,0.34,0.34,0.32,0.32,0.35,0.31,0.31,0.3,0.3,0.31,0.3,0.29,0.29,0.32,0.29,0.29,0.26,0.28,0.29,0.29,0.3,0.29,0.16,0.28,0.27,0.27,0.28,0.27,0.26,0.27,0.27,0.25,0.24,0.26,0.24,0.25,0.29,0.26,0.27,0.29,0.26,0.23,0.26,0.26,0.26,0.26,0.25,0.26,0.24,0.24,0.25,0.21,0.24,0.24,0.23,0.24,0.19,0.23,0.22,0.26,0.24,0.25,0.22,0.23,0.23,0.21,0.21,0.22,0.21,0.24,0.22,0.19,0.23,0.23,0.23,0.22,0.2,0.2,0.18,0.22,0.21,0.2,0.21,0.22,0.19,0.22,0.22,0.23,0.21,0.23,0.18,0.18,0.2,0.2,0.2,0.21,0.2,0.21,0.2,0.22,0.2,0.21,0.22,0.19,0.2,0.2,0.18,0.2,0.19,0.2,0.2,0.2,0.19,0.19,0.21,0.19,0.19,0.17,0.2,0.18,0.18,0.17,0.18,0.18,0.19,0.2,0.2,0.19,0.18,0.17,0.18,0.18,0.2,0.19,0.17,0.17,0.15,0.18,0.17,0.18,0.17,0.18,0.17,0.17,0.17,0.17,0.17,0.18,0.17,0.16,0.15,0.15,0.16,0.0,0.15,0.16,0.18,0.16,0.15,0.16,0.17,0.18,0.0,0.0,0.15,0.15,0.16,0.15,0.15,0.0,0.15,0.15,0.15,0.16,0.16,0.16,0.15,0.16,0.15,0.16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15,0.15,0.0,0.15,0.15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16,0.15,0.0,0.15,0.0,0.0,0.0,0.0,0.0,46.04
08/02/2021,1.02,0.37,0.43,0.41,0.35,0.36,0.38,0.39,0.39,0.37,0.34,0.34,0.39,0.33,0.37,0.34,0.31,0.34,0.34,0.32,0.31,0.37,0.31,0.28,0.31,0.3,0.31,0.3,0.29,0.28,0.32,0.28,0.29,0.26,0.28,0.3,0.29,0.29,0.29,0.17,0.28,0.26,0.28,0.28,0.27,0.25,0.26,0.27,0.26,0.24,0.26,0.25,0.25,0.28,0.26,0.27,0.3,0.26,0.24,0.25,0.27,0.25,0.25,0.24,0.25,0.24,0.24,0.25,0.21,0.24,0.25,0.23,0.24,0.19,0.23,0.22,0.25,0.24,0.25,0.23,0.22,0.23,0.21,0.21,0.22,0.21,0.23,0.22,0.18,0.23,0.23,0.23,0.22,0.2,0.2,0.18,0.21,0.2,0.21,0.2,0.22,0.19,0.22,0.21,0.24,0.21,0.22,0.18,0.18,0.2,0.2,0.2,0.21,0.2,0.2,0.2,0.21,0.21,0.21,0.22,0.19,0.21,0.19,0.18,0.2,0.19,0.18,0.18,0.2,0.19,0.2,0.21,0.18,0.19,0.18,0.2,0.18,0.2,0.17,0.19,0.18,0.19,0.2,0.2,0.21,0.19,0.17,0.17,0.18,0.2,0.19,0.17,0.17,0.16,0.17,0.17,0.19,0.17,0.18,0.17,0.17,0.17,0.17,0.18,0.18,0.17,0.16,0.0,0.16,0.16,0.15,0.15,0.15,0.18,0.15,0.15,0.16,0.17,0.18,0.0,0.0,0.15,0.16,0.16,0.15,0.0,0.0,0.15,0.15,0.0,0.16,0.16,0.16,0.16,0.17,0.15,0.16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15,0.0,0.0,0.15,0.15,0.0,0.15,0.15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16,0.15,0.0,0.0,0.15,0.15,0.0,0.0,0.0,45.93
08/03/2021,1.0,0.36,0.44,0.41,0.36,0.36,0.38,0.4,0.4,0.37,0.34,0.34,0.39,0.33,0.37,0.34,0.32,0.34,0.34,0.32,0.31,0.38,0.31,0.28,0.3,0.29,0.31,0.3,0.3,0.28,0.32,0.28,0.29,0.25,0.28,0.3,0.28,0.29,0.29,0.15,0.28,0.25,0.28,0.28,0.27,0.24,0.26,0.27,0.26,0.24,0.26,0.25,0.25,0.29,0.26,0.26,0.29,0.26,0.24,0.26,0.27,0.25,0.25,0.24,0.25,0.24,0.24,0.25,0.21,0.24,0.25,0.23,0.24,0.19,0.22,0.22,0.26,0.24,0.25,0.23,0.22,0.22,0.21,0.21,0.22,0.2,0.23,0.22,0.18,0.23,0.23,0.23,0.22,0.19,0.2,0.18,0.21,0.2,0.21,0.2,0.21,0.19,0.22,0.21,0.23,0.21,0.23,0.18,0.18,0.2,0.2,0.2,0.21,0.21,0.2,0.2,0.21,0.2,0.21,0.22,0.19,0.22,0.19,0.18,0.2,0.19,0.18,0.18,0.2,0.19,0.2,0.21,0.18,0.19,0.18,0.2,0.18,0.19,0.17,0.19,0.18,0.19,0.2,0.2,0.21,0.19,0.17,0.16,0.18,0.2,0.19,0.17,0.17,0.16,0.17,0.17,0.19,0.17,0.18,0.17,0.16,0.18,0.17,0.18,0.19,0.17,0.16,0.0,0.16,0.16,0.15,0.15,0.0,0.18,0.15,0.15,0.16,0.17,0.17,0.0,0.0,0.15,0.16,0.16,0.15,0.0,0.15,0.15,0.15,0.15,0.16,0.16,0.16,0.16,0.17,0.0,0.16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15,0.0,0.15,0.15,0.0,0.0,0.15,0.0,0.0,0.0,0.0,0.0,0.0,0.16,0.15,0.0,0.15,0.15,0.15,0.0,0.0,0.0,45.84
08/04/2021,1.0,0.36,0.44,0.41,0.36,0.36,0.38,0.4,0.4,0.37,0.34,0.34,0.39,0.33,0.37,0.34,0.32,0.34,0.34,0.32,0.31,0.38,0.31,0.28,0.3,0.29,0.31,0.3,0.3,0.28,0.32,0.28,0.29,0.25,0.28,0.3,0.28,0.29,0.29,0.15,0.28,0.25,0.28,0.28,0.27,0.24,0.26,0.27,0.26,0.24,0.26,0.25,0.25,0.29,0.26,0.26,0.29,0.26,0.24,0.26,0.27,0.25,0.25,0.24,0.25,0.24,0.24,0.25,0.21,0.24,0.25,0.23,0.24,0.19,0.22,0.22,0.26,0.24,0.25,0.23,0.22,0.22,0.21,0.21,0.22,0.2,0.23,0.22,0.18,0.23,0.23,0.23,0.22,0.19,0.2,0.18,0.21,0.2,0.21,0.2,0.21,0.19,0.22,0.21,0.23,0.21,0.23,0.18,0.18,0.2,0.2,0.2,0.21,0.21,0.2,0.2,0.21,0.2,0.21,0.22,0.19,0.22,0.19,0.18,0.2,0.19,0.18,0.18,0.2,0.19,0.2,0.21,0.18,0.19,0.18,0.2,0.18,0.19,0.17,0.19,0.18,0.19,0.2,0.2,0.21,0.19,0.17,0.16,0.18,0.2,0.19,0.17,0.17,0.16,0.17,0.17,0.19,0.17,0.18,0.17,0.16,0.18,0.17,0.18,0.19,0.17,0.16,0.0,0.16,0.16,0.15,0.15,0.0,0.18,0.15,0.15,0.16,0.17,0.17,0.0,0.0,0.15,0.16,0.16,0.15,0.0,0.15,0.15,0.15,0.15,0.16,0.16,0.16,0.16,0.17,0.0,0.16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15,0.0,0.15,0.15,0.0,0.0,0.15,0.0,0.0,0.0,0.0,0.0,0.0,0.16,0.15,0.0,0.15,0.15,0.15,0.0,0.0,0.0,45.84
08/05/2021,1.0,0.36,0.44,0.41,0.36,0.36,0.38,0.4,0.4,0.37,0.34,0.34,0.39,0.33,0.37,0.34,0.32,0.34,0.34,0.32,0.31,0.38,0.31,0.28,0.3,0.29,0.31,0.3,0.3,0.28,0.32,0.28,0.29,0.25,0.28,0.3,0.28,0.29,0.29,0.15,0.28,0.25,0.28,0.28,0.27,0.24,0.26,0.27,0.26,0.24,0.26,0.25,0.25,0.29,0.26,0.26,0.29,0.26,0.24,0.26,0.27,0.25,0.25,0.24,0.25,0.24,0.24,0.25,0.21,0.24,0.25,0.23,0.24,0.19,0.22,0.22,0.26,0.24,0.25,0.23,0.22,0.22,0.21,0.21,0.22,0.2,0.23,0.22,0.18,0.23,0.23,0.23,0.22,0.19,0.2,0.18,0.21,0.2,0.21,0.2,0.21,0.19,0.22,0.21,0.23,0.21,0.23,0.18,0.18,0.2,0.2,0.2,0.21,0.21,0.2,0.2,0.21,0.2,0.21,0.22,0.19,0.22,0.19,0.18,0.2,0.19,0.18,0.18,0.2,0.19,0.2,0.21,0.18,0.19,0.18,0.2,0.18,0.19,0.17,0.19,0.18,0.19,0.2,0.2,0.21,0.19,0.17,0.16,0.18,0.2,0.19,0.17,0.17,0.16,0.17,0.17,0.19,0.17,0.18,0.17,0.16,0.18,0.17,0.18,0.19,0.17,0.16,0.0,0.16,0.16,0.15,0.15,0.0,0.18,0.15,0.15,0.16,0.17,0.17,0.0,0.0,0.15,0.16,0.16,0.15,0.0,0.15,0.15,0.15,0.15,0.16,0.16,0.16,0.16,0.17,0.0,0.16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15,0.0,0.15,0.15,0.0,0.0,0.15,0.0,0.0,0.0,0.0,0.0,0.0,0.16,0.15,0.0,0.15,0.15,0.15,0.0,0.0,0.0,45.84
08/06/2021,0.91,0.36,0.44,0.42,0.37,0.35,0.38,0.41,0.4,0.37,0.35,0.35,0.39,0.33,0.38,0.35,0.31,0.35,0.35,0.32,0.31,0.38,0.31,0.27,0.31,0.29,0.3,0.31,0.31,0.28,0.32,0.27,0.3,0.25,0.28,0.31,0.29,0.3,0.28,0.16,0.28,0.25,0.28,0.31,0.26,0.23,0.26,0.27,0.26,0.25,0.26,0.25,0.25,0.29,0.26,0.27,0.3,0.23,0.24,0.26,0.26,0.26,0.25,0.25,0.26,0.24,0.23,0.26,0.21,0.24,0.26,0.24,0.24,0.19,0.23,0.22,0.26,0.25,0.25,0.23,0.21,0.23,0.21,0.21,0.22,0.21,0.24,0.22,0.19,0.24,0.23,0.24,0.23,0.19,0.2,0.18,0.22,0.2,0.21,0.2,0.22,0.2,0.23,0.21,0.25,0.2,0.23,0.18,0.18,0.2,0.2,0.2,0.2,0.0,0.2,0.2,0.21,0.19,0.21,0.23,0.19,0.23,0.19,0.18,0.21,0.19,0.19,0.17,0.2,0.18,0.2,0.21,0.18,0.19,0.18,0.2,0.18,0.19,0.17,0.19,0.18,0.2,0.2,0.22,0.21,0.18,0.17,0.17,0.18,0.2,0.18,0.17,0.17,0.15,0.17,0.17,0.19,0.16,0.18,0.17,0.16,0.18,0.17,0.19,0.19,0.17,0.16,0.0,0.0,0.16,0.0,0.15,0.16,0.18,0.0,0.15,0.16,0.17,0.18,0.0,0.0,0.0,0.16,0.16,0.0,0.0,0.0,0.15,0.15,0.0,0.16,0.16,0.17,0.16,0.17,0.15,0.16,0.15,0.0,0.0,0.0,0.15,0.0,0.0,0.0,0.15,0.0,0.0,0.0,0.15,0.0,0.0,0.0,0.0,0.15,0.15,0.0,0.15,0.0,0.0,0.0,0.0,0.0,0.0,0.16,0.0,0.0,0.0,0.16,0.16,0.0,0.15,0.15,0.16,0.15,0.15,0.0,46.04
08/09/2021,0.91,0.36,0.44,0.4,0.36,0.36,0.39,0.39,0.4,0.38,0.36,0.34,0.4,0.33,0.38,0.37,0.31,0.35,0.35,0.31,0.28,0.37,0.29,0.27,0.31,0.28,0.29,0.3,0.3,0.27,0.32,0.27,0.3,0.26,0.27,0.31,0.29,0.29,0.28,0.0,0.28,0.25,0.29,0.3,0.26,0.24,0.26,0.28,0.26,0.25,0.26,0.25,0.25,0.29,0.28,0.27,0.3,0.23,0.23,0.27,0.26,0.26,0.25,0.24,0.26,0.23,0.24,0.26,0.2,0.24,0.27,0.23,0.25,0.19,0.23,0.22,0.28,0.25,0.26,0.18,0.21,0.23,0.21,0.21,0.22,0.21,0.24,0.22,0.17,0.24,0.23,0.24,0.22,0.19,0.2,0.18,0.22,0.21,0.19,0.2,0.22,0.21,0.22,0.2,0.23,0.21,0.23,0.17,0.18,0.2,0.21,0.2,0.2,0.0,0.2,0.21,0.21,0.2,0.21,0.23,0.2,0.22,0.19,0.19,0.2,0.18,0.19,0.18,0.2,0.19,0.2,0.21,0.18,0.19,0.19,0.2,0.18,0.19,0.17,0.19,0.16,0.2,0.2,0.22,0.21,0.18,0.15,0.17,0.18,0.2,0.18,0.17,0.17,0.16,0.18,0.17,0.19,0.17,0.18,0.17,0.16,0.18,0.16,0.19,0.18,0.17,0.16,0.0,0.16,0.16,0.0,0.0,0.0,0.19,0.15,0.0,0.16,0.17,0.17,0.0,0.0,0.16,0.16,0.16,0.0,0.0,0.0,0.15,0.15,0.15,0.16,0.16,0.17,0.16,0.17,0.15,0.15,0.15,0.0,0.0,0.0,0.15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15,0.0,0.0,0.0,0.0,0.15,0.15,0.0,0.15,0.15,0.15,0.0,0.0,0.0,0.0,0.16,0.0,0.0,0.0,0.2,0.0,0.0,0.15,0.15,0.15,0.0,0.17,0.15,45.91
08/10/2021,0.88,0.36,0.44,0.39,0.36,0.36,0.39,0.41,0.4,0.37,0.36,0.34,0.4,0.33,0.38,0.37,0.3,0.35,0.36,0.31,0.29,0.38,0.29,0.28,0.31,0.28,0.29,0.3,0.3,0.28,0.32,0.27,0.3,0.26,0.28,0.31,0.29,0.29,0.28,0.0,0.29,0.25,0.29,0.3,0.26,0.24,0.27,0.27,0.27,0.26,0.26,0.25,0.24,0.29,0.28,0.27,0.26,0.24,0.24,0.26,0.26,0.26,0.24,0.23,0.26,0.23,0.24,0.26,0.21,0.24,0.27,0.23,0.25,0.19,0.23,0.22,0.29,0.25,0.25,0.18,0.21,0.24,0.21,0.21,0.22,0.21,0.24,0.22,0.18,0.24,0.23,0.24,0.22,0.19,0.2,0.18,0.21,0.2,0.19,0.2,0.22,0.21,0.22,0.2,0.23,0.21,0.23,0.17,0.18,0.2,0.2,0.19,0.2,0.0,0.2,0.22,0.21,0.2,0.21,0.22,0.2,0.22,0.18,0.19,0.2,0.18,0.19,0.18,0.2,0.2,0.19,0.21,0.19,0.19,0.19,0.2,0.18,0.19,0.17,0.19,0.16,0.2,0.21,0.22,0.21,0.18,0.16,0.17,0.18,0.2,0.18,0.17,0.16,0.15,0.17,0.17,0.19,0.17,0.18,0.17,0.16,0.17,0.17,0.19,0.19,0.17,0.16,0.0,0.0,0.16,0.0,0.15,0.15,0.2,0.15,0.15,0.0,0.16,0.17,0.0,0.0,0.0,0.15,0.16,0.15,0.0,0.16,0.15,0.15,0.15,0.16,0.16,0.16,0.16,0.17,0.15,0.0,0.16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15,0.0,0.0,0.0,0.0,0.0,0.15,0.0,0.0,0.15,0.15,0.0,0.0,0.15,0.15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.19,0.15,0.0,0.15,0.15,0.0,0.15,0.17,0.15,45.84
