,AMZN,FB,GOOG,AAPL,MSFT,V,PYPL,NFLX,BABA,MA,NOW,INTU,GPN,UNH,CRM,SE,ISRG,SYK,CI,NVDA,GS,SNAP,GOOGL,FISV,BKNG,DHR,MTCH,DG,State Street Instl US Govt MMkt Premier,NKE,SNPS,TMO,CMG,SPGI,AMD,HCA,VRTX,ROST,LULU,MRVL,FIS,SPOT,ANTM,CSGP,SCHW,ZTS,TXN,SHOP,ROP,SPLK,CNC,CVNA,ZM,ICE,WDAY,WIX,LIN,ETSY,DIS,HUM,GE,YUM,MXIM,CTAS,VEEV,INCY,NSC,PINS,FTV,TEL,CB,TEAM,COUP,SBUX,DOCU,AMAT,PDD,XRAY,UNP,AVY,FTNT,JD,TWLO,PAYC,TMUS,CRWD,TJX,MCHP,APTV,LLY,AZN,MPWR,ALGN,ABT,ROKU,CPNG,PPD,EFX,MSCI,SHW,VFC,MS,QCOM,ADP,ASML,ABBV,MMC,KSU,SQ,DASH,HON,WLTW,SNOW,GNRC,HLT,IACEUR,MCD,EXAS,LYV,CHTR,MAR,DLTR,ABNB,TSM,EL,MDB,BDX,PH,A,UAL,STT,CLVT,CPRT,CHG.BK,GVMXX,IAC/InterActiveCorp Ordinary Shares - New,SDA.AX,002810.KS,IAC,DDOG,TRU,VMEO,RBLX,EXPE,W,ZEN,Cash,603121.SS,n/a,AFRM,BILL,TFX,TOST,SUM
08/06/2021,11.01,7.6,8.14,4.53,7.55,3.2,2.68,1.74,0.78,2.05,2.12,2.77,1.72,1.88,1.83,1.94,1.53,1.17,1.0,1.59,1.07,1.88,1.49,0.79,0.67,1.03,1.05,0.68,0.0,0.55,0.87,0.46,0.71,0.79,0.79,0.73,0.03,0.79,0.72,0.59,0.52,0.44,0.58,0.43,0.45,0.52,0.44,0.59,0.47,0.26,0.33,0.46,0.89,0.02,0.22,0.01,0.27,0.23,0.13,0.12,0.31,0.19,0.12,0.13,0.27,0.18,0.01,0.89,0.0,0.17,0.04,0.28,0.2,0.1,0.54,0.02,0.02,0.24,0.03,0.19,0.43,0.05,0.2,0.06,0.23,0.12,0.15,0.19,0.11,0.03,0.22,0.05,0.09,0.04,0.21,0.03,0.03,0.12,0.1,0.06,0.01,0.09,0.0,0.03,0.8,0.02,0.14,0.0,0.08,0.44,0.0,0.0,0.03,0.21,0.12,0.0,0.04,0.03,0.2,0.0,0.03,0.0,0.0,0.01,0.02,0.45,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.0,0.44,0.0,-0.13,0.0,0.14,0.14,0.13,0.07,0.04,0.04,0.01,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.01
08/09/2021,11.01,7.6,8.14,4.53,7.55,3.2,2.68,1.74,0.78,2.05,2.12,2.77,1.72,1.88,1.83,1.94,1.53,1.17,1.0,1.59,1.07,1.88,1.49,0.79,0.67,1.03,1.05,0.68,0.0,0.55,0.87,0.46,0.71,0.79,0.79,0.73,0.03,0.79,0.72,0.59,0.52,0.44,0.58,0.43,0.45,0.52,0.44,0.59,0.47,0.26,0.33,0.46,0.89,0.02,0.22,0.01,0.27,0.23,0.13,0.12,0.31,0.19,0.12,0.13,0.27,0.18,0.01,0.89,0.0,0.17,0.04,0.28,0.2,0.1,0.54,0.02,0.02,0.24,0.03,0.19,0.43,0.05,0.2,0.06,0.23,0.12,0.15,0.19,0.11,0.03,0.22,0.05,0.09,0.04,0.21,0.03,0.03,0.12,0.1,0.06,0.01,0.09,0.0,0.03,0.8,0.02,0.14,0.0,0.08,0.44,0.0,0.0,0.03,0.21,0.12,0.0,0.04,0.03,0.2,0.0,0.03,0.0,0.0,0.01,0.02,0.45,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.0,0.44,0.0,-0.13,0.0,0.14,0.14,0.13,0.07,0.04,0.04,0.01,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.01
08/10/2021,11.01,7.6,8.14,4.53,7.55,3.2,2.68,1.74,0.78,2.05,2.12,2.77,1.72,1.88,1.83,1.94,1.53,1.17,1.0,1.59,1.07,1.88,1.49,0.79,0.67,1.03,1.05,0.68,0.0,0.55,0.87,0.46,0.71,0.79,0.79,0.73,0.03,0.79,0.72,0.59,0.52,0.44,0.58,0.43,0.45,0.52,0.44,0.59,0.47,0.26,0.33,0.46,0.89,0.02,0.22,0.01,0.27,0.23,0.13,0.12,0.31,0.19,0.12,0.13,0.27,0.18,0.01,0.89,0.0,0.17,0.04,0.28,0.2,0.1,0.54,0.02,0.02,0.24,0.03,0.19,0.43,0.05,0.2,0.06,0.23,0.12,0.15,0.19,0.11,0.03,0.22,0.05,0.09,0.04,0.21,0.03,0.03,0.12,0.1,0.06,0.01,0.09,0.0,0.03,0.8,0.02,0.14,0.0,0.08,0.44,0.0,0.0,0.03,0.21,0.12,0.0,0.04,0.03,0.2,0.0,0.03,0.0,0.0,0.01,0.02,0.45,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.0,0.44,0.0,-0.13,0.0,0.14,0.14,0.13,0.07,0.04,0.04,0.01,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.01
08/11/2021,11.01,7.6,8.14,4.53,7.55,3.2,2.68,1.74,0.78,2.05,2.12,2.77,1.72,1.88,1.83,1.94,1.53,1.17,1.0,1.59,1.07,1.88,1.49,0.79,0.67,1.03,1.05,0.68,0.0,0.55,0.87,0.46,0.71,0.79,0.79,0.73,0.03,0.79,0.72,0.59,0.52,0.44,0.58,0.43,0.45,0.52,0.44,0.59,0.47,0.26,0.33,0.46,0.89,0.02,0.22,0.01,0.27,0.23,0.13,0.12,0.31,0.19,0.12,0.13,0.27,0.18,0.01,0.89,0.0,0.17,0.04,0.28,0.2,0.1,0.54,0.02,0.02,0.24,0.03,0.19,0.43,0.05,0.2,0.06,0.23,0.12,0.15,0.19,0.11,0.03,0.22,0.05,0.09,0.04,0.21,0.03,0.03,0.12,0.1,0.06,0.01,0.09,0.0,0.03,0.8,0.02,0.14,0.0,0.08,0.44,0.0,0.0,0.03,0.21,0.12,0.0,0.04,0.03,0.2,0.0,0.03,0.0,0.0,0.01,0.02,0.45,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.0,0.44,0.0,-0.13,0.0,0.14,0.14,0.13,0.07,0.04,0.04,0.01,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.01
08/12/2021,11.01,7.6,8.14,4.53,7.55,3.2,2.68,1.74,0.78,2.05,2.12,2.77,1.72,1.88,1.83,1.94,1.53,1.17,1.0,1.59,1.07,1.88,1.49,0.79,0.67,1.03,1.05,0.68,0.0,0.55,0.87,0.46,0.71,0.79,0.79,0.73,0.03,0.79,0.72,0.59,0.52,0.44,0.58,0.43,0.45,0.52,0.44,0.59,0.47,0.26,0.33,0.46,0.89,0.02,0.22,0.01,0.27,0.23,0.13,0.12,0.31,0.19,0.12,0.13,0.27,0.18,0.01,0.89,0.0,0.17,0.04,0.28,0.2,0.1,0.54,0.02,0.02,0.24,0.03,0.19,0.43,0.05,0.2,0.06,0.23,0.12,0.15,0.19,0.11,0.03,0.22,0.05,0.09,0.04,0.21,0.03,0.03,0.12,0.1,0.06,0.01,0.09,0.0,0.03,0.8,0.02,0.14,0.0,0.08,0.44,0.0,0.0,0.03,0.21,0.12,0.0,0.04,0.03,0.2,0.0,0.03,0.0,0.0,0.01,0.02,0.45,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.0,0.44,0.0,-0.13,0.0,0.14,0.14,0.13,0.07,0.04,0.04,0.01,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.01
08/13/2021,11.01,7.6,8.14,4.53,7.55,3.2,2.68,1.74,0.78,2.05,2.12,2.77,1.72,1.88,1.83,1.94,1.53,1.17,1.0,1.59,1.07,1.88,1.49,0.79,0.67,1.03,1.05,0.68,0.0,0.55,0.87,0.46,0.71,0.79,0.79,0.73,0.03,0.79,0.72,0.59,0.52,0.44,0.58,0.43,0.45,0.52,0.44,0.59,0.47,0.26,0.33,0.46,0.89,0.02,0.22,0.01,0.27,0.23,0.13,0.12,0.31,0.19,0.12,0.13,0.27,0.18,0.01,0.89,0.0,0.17,0.04,0.28,0.2,0.1,0.54,0.02,0.02,0.24,0.03,0.19,0.43,0.05,0.2,0.06,0.23,0.12,0.15,0.19,0.11,0.03,0.22,0.05,0.09,0.04,0.21,0.03,0.03,0.12,0.1,0.06,0.01,0.09,0.0,0.03,0.8,0.02,0.14,0.0,0.08,0.44,0.0,0.0,0.03,0.21,0.12,0.0,0.04,0.03,0.2,0.0,0.03,0.0,0.0,0.01,0.02,0.45,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.0,0.44,0.0,-0.13,0.0,0.14,0.14,0.13,0.07,0.04,0.04,0.01,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.01
08/16/2021,11.01,7.6,8.14,4.53,7.55,3.2,2.68,1.74,0.78,2.05,2.12,2.77,1.72,1.88,1.83,1.94,1.53,1.17,1.0,1.59,1.07,1.88,1.49,0.79,0.67,1.03,1.05,0.68,0.0,0.55,0.87,0.46,0.71,0.79,0.79,0.73,0.03,0.79,0.72,0.59,0.52,0.44,0.58,0.43,0.45,0.52,0.44,0.59,0.47,0.26,0.33,0.46,0.89,0.02,0.22,0.01,0.27,0.23,0.13,0.12,0.31,0.19,0.12,0.13,0.27,0.18,0.01,0.89,0.0,0.17,0.04,0.28,0.2,0.1,0.54,0.02,0.02,0.24,0.03,0.19,0.43,0.05,0.2,0.06,0.23,0.12,0.15,0.19,0.11,0.03,0.22,0.05,0.09,0.04,0.21,0.03,0.03,0.12,0.1,0.06,0.01,0.09,0.0,0.03,0.8,0.02,0.14,0.0,0.08,0.44,0.0,0.0,0.03,0.21,0.12,0.0,0.04,0.03,0.2,0.0,0.03,0.0,0.0,0.01,0.02,0.45,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.0,0.44,0.0,-0.13,0.0,0.14,0.14,0.13,0.07,0.04,0.04,0.01,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.01
08/17/2021,11.01,7.6,8.14,4.53,7.55,3.2,2.68,1.74,0.78,2.05,2.12,2.77,1.72,1.88,1.83,1.94,1.53,1.17,1.0,1.59,1.07,1.88,1.49,0.79,0.67,1.03,1.05,0.68,0.0,0.55,0.87,0.46,0.71,0.79,0.79,0.73,0.03,0.79,0.72,0.59,0.52,0.44,0.58,0.43,0.45,0.52,0.44,0.59,0.47,0.26,0.33,0.46,0.89,0.02,0.22,0.01,0.27,0.23,0.13,0.12,0.31,0.19,0.12,0.13,0.27,0.18,0.01,0.89,0.0,0.17,0.04,0.28,0.2,0.1,0.54,0.02,0.02,0.24,0.03,0.19,0.43,0.05,0.2,0.06,0.23,0.12,0.15,0.19,0.11,0.03,0.22,0.05,0.09,0.04,0.21,0.03,0.03,0.12,0.1,0.06,0.01,0.09,0.0,0.03,0.8,0.02,0.14,0.0,0.08,0.44,0.0,0.0,0.03,0.21,0.12,0.0,0.04,0.03,0.2,0.0,0.03,0.0,0.0,0.01,0.02,0.45,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.0,0.44,0.0,-0.13,0.0,0.14,0.14,0.13,0.07,0.04,0.04,0.01,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.01
08/18/2021,11.01,7.6,8.14,4.53,7.55,3.2,2.68,1.74,0.78,2.05,2.12,2.77,1.72,1.88,1.83,1.94,1.53,1.17,1.0,1.59,1.07,1.88,1.49,0.79,0.67,1.03,1.05,0.68,0.0,0.55,0.87,0.46,0.71,0.79,0.79,0.73,0.03,0.79,0.72,0.59,0.52,0.44,0.58,0.43,0.45,0.52,0.44,0.59,0.47,0.26,0.33,0.46,0.89,0.02,0.22,0.01,0.27,0.23,0.13,0.12,0.31,0.19,0.12,0.13,0.27,0.18,0.01,0.89,0.0,0.17,0.04,0.28,0.2,0.1,0.54,0.02,0.02,0.24,0.03,0.19,0.43,0.05,0.2,0.06,0.23,0.12,0.15,0.19,0.11,0.03,0.22,0.05,0.09,0.04,0.21,0.03,0.03,0.12,0.1,0.06,0.01,0.09,0.0,0.03,0.8,0.02,0.14,0.0,0.08,0.44,0.0,0.0,0.03,0.21,0.12,0.0,0.04,0.03,0.2,0.0,0.03,0.0,0.0,0.01,0.02,0.45,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.0,0.44,0.0,-0.13,0.0,0.14,0.14,0.13,0.07,0.04,0.04,0.01,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.01
08/19/2021,11.01,7.6,8.14,4.53,7.55,3.2,2.68,1.74,0.78,2.05,2.12,2.77,1.72,1.88,1.83,1.94,1.53,1.17,1.0,1.59,1.07,1.88,1.49,0.79,0.67,1.03,1.05,0.68,0.0,0.55,0.87,0.46,0.71,0.79,0.79,0.73,0.03,0.79,0.72,0.59,0.52,0.44,0.58,0.43,0.45,0.52,0.44,0.59,0.47,0.26,0.33,0.46,0.89,0.02,0.22,0.01,0.27,0.23,0.13,0.12,0.31,0.19,0.12,0.13,0.27,0.18,0.01,0.89,0.0,0.17,0.04,0.28,0.2,0.1,0.54,0.02,0.02,0.24,0.03,0.19,0.43,0.05,0.2,0.06,0.23,0.12,0.15,0.19,0.11,0.03,0.22,0.05,0.09,0.04,0.21,0.03,0.03,0.12,0.1,0.06,0.01,0.09,0.0,0.03,0.8,0.02,0.14,0.0,0.08,0.44,0.0,0.0,0.03,0.21,0.12,0.0,0.04,0.03,0.2,0.0,0.03,0.0,0.0,0.01,0.02,0.45,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.0,0.44,0.0,-0.13,0.0,0.14,0.14,0.13,0.07,0.04,0.04,0.01,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.01
08/20/2021,11.01,7.6,8.14,4.53,7.55,3.2,2.68,1.74,0.78,2.05,2.12,2.77,1.72,1.88,1.83,1.94,1.53,1.17,1.0,1.59,1.07,1.88,1.49,0.79,0.67,1.03,1.05,0.68,0.0,0.55,0.87,0.46,0.71,0.79,0.79,0.73,0.03,0.79,0.72,0.59,0.52,0.44,0.58,0.43,0.45,0.52,0.44,0.59,0.47,0.26,0.33,0.46,0.89,0.02,0.22,0.01,0.27,0.23,0.13,0.12,0.31,0.19,0.12,0.13,0.27,0.18,0.01,0.89,0.0,0.17,0.04,0.28,0.2,0.1,0.54,0.02,0.02,0.24,0.03,0.19,0.43,0.05,0.2,0.06,0.23,0.12,0.15,0.19,0.11,0.03,0.22,0.05,0.09,0.04,0.21,0.03,0.03,0.12,0.1,0.06,0.01,0.09,0.0,0.03,0.8,0.02,0.14,0.0,0.08,0.44,0.0,0.0,0.03,0.21,0.12,0.0,0.04,0.03,0.2,0.0,0.03,0.0,0.0,0.01,0.02,0.45,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.0,0.44,0.0,-0.13,0.0,0.14,0.14,0.13,0.07,0.04,0.04,0.01,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.01
08/23/2021,11.01,7.6,8.14,4.53,7.55,3.2,2.68,1.74,0.78,2.05,2.12,2.77,1.72,1.88,1.83,1.94,1.53,1.17,1.0,1.59,1.07,1.88,1.49,0.79,0.67,1.03,1.05,0.68,0.0,0.55,0.87,0.46,0.71,0.79,0.79,0.73,0.03,0.79,0.72,0.59,0.52,0.44,0.58,0.43,0.45,0.52,0.44,0.59,0.47,0.26,0.33,0.46,0.89,0.02,0.22,0.01,0.27,0.23,0.13,0.12,0.31,0.19,0.12,0.13,0.27,0.18,0.01,0.89,0.0,0.17,0.04,0.28,0.2,0.1,0.54,0.02,0.02,0.24,0.03,0.19,0.43,0.05,0.2,0.06,0.23,0.12,0.15,0.19,0.11,0.03,0.22,0.05,0.09,0.04,0.21,0.03,0.03,0.12,0.1,0.06,0.01,0.09,0.0,0.03,0.8,0.02,0.14,0.0,0.08,0.44,0.0,0.0,0.03,0.21,0.12,0.0,0.04,0.03,0.2,0.0,0.03,0.0,0.0,0.01,0.02,0.45,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.0,0.44,0.0,-0.13,0.0,0.14,0.14,0.13,0.07,0.04,0.04,0.01,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.01
08/24/2021,11.01,7.6,8.14,4.53,7.55,3.2,2.68,1.74,0.78,2.05,2.12,2.77,1.72,1.88,1.83,1.94,1.53,1.17,1.0,1.59,1.07,1.88,1.49,0.79,0.67,1.03,1.05,0.68,0.0,0.55,0.87,0.46,0.71,0.79,0.79,0.73,0.03,0.79,0.72,0.59,0.52,0.44,0.58,0.43,0.45,0.52,0.44,0.59,0.47,0.26,0.33,0.46,0.89,0.02,0.22,0.01,0.27,0.23,0.13,0.12,0.31,0.19,0.12,0.13,0.27,0.18,0.01,0.89,0.0,0.17,0.04,0.28,0.2,0.1,0.54,0.02,0.02,0.24,0.03,0.19,0.43,0.05,0.2,0.06,0.23,0.12,0.15,0.19,0.11,0.03,0.22,0.05,0.09,0.04,0.21,0.03,0.03,0.12,0.1,0.06,0.01,0.09,0.0,0.03,0.8,0.02,0.14,0.0,0.08,0.44,0.0,0.0,0.03,0.21,0.12,0.0,0.04,0.03,0.2,0.0,0.03,0.0,0.0,0.01,0.02,0.45,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.0,0.44,0.0,-0.13,0.0,0.14,0.14,0.13,0.07,0.04,0.04,0.01,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.01
08/25/2021,11.01,7.6,8.14,4.53,7.55,3.2,2.68,1.74,0.78,2.05,2.12,2.77,1.72,1.88,1.83,1.94,1.53,1.17,1.0,1.59,1.07,1.88,1.49,0.79,0.67,1.03,1.05,0.68,0.0,0.55,0.87,0.46,0.71,0.79,0.79,0.73,0.03,0.79,0.72,0.59,0.52,0.44,0.58,0.43,0.45,0.52,0.44,0.59,0.47,0.26,0.33,0.46,0.89,0.02,0.22,0.01,0.27,0.23,0.13,0.12,0.31,0.19,0.12,0.13,0.27,0.18,0.01,0.89,0.0,0.17,0.04,0.28,0.2,0.1,0.54,0.02,0.02,0.24,0.03,0.19,0.43,0.05,0.2,0.06,0.23,0.12,0.15,0.19,0.11,0.03,0.22,0.05,0.09,0.04,0.21,0.03,0.03,0.12,0.1,0.06,0.01,0.09,0.0,0.03,0.8,0.02,0.14,0.0,0.08,0.44,0.0,0.0,0.03,0.21,0.12,0.0,0.04,0.03,0.2,0.0,0.03,0.0,0.0,0.01,0.02,0.45,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.0,0.44,0.0,-0.13,0.0,0.14,0.14,0.13,0.07,0.04,0.04,0.01,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.01
08/26/2021,11.01,7.6,8.14,4.53,7.55,3.2,2.68,1.74,0.78,2.05,2.12,2.77,1.72,1.88,1.83,1.94,1.53,1.17,1.0,1.59,1.07,1.88,1.49,0.79,0.67,1.03,1.05,0.68,0.0,0.55,0.87,0.46,0.71,0.79,0.79,0.73,0.03,0.79,0.72,0.59,0.52,0.44,0.58,0.43,0.45,0.52,0.44,0.59,0.47,0.26,0.33,0.46,0.89,0.02,0.22,0.01,0.27,0.23,0.13,0.12,0.31,0.19,0.12,0.13,0.27,0.18,0.01,0.89,0.0,0.17,0.04,0.28,0.2,0.1,0.54,0.02,0.02,0.24,0.03,0.19,0.43,0.05,0.2,0.06,0.23,0.12,0.15,0.19,0.11,0.03,0.22,0.05,0.09,0.04,0.21,0.03,0.03,0.12,0.1,0.06,0.01,0.09,0.0,0.03,0.8,0.02,0.14,0.0,0.08,0.44,0.0,0.0,0.03,0.21,0.12,0.0,0.04,0.03,0.2,0.0,0.03,0.0,0.0,0.01,0.02,0.45,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.0,0.44,0.0,0.0,0.0,0.14,0.14,0.13,0.07,0.04,0.04,0.01,0.01,0.0,-0.13,0.0,0.0,0.0,0.0,0.0,100.01
08/27/2021,11.01,7.6,8.14,4.53,7.55,3.2,2.68,1.74,0.78,2.05,2.12,2.77,1.72,1.88,1.83,1.94,1.53,1.17,1.0,1.59,1.07,1.88,1.49,0.79,0.67,1.03,1.05,0.68,0.0,0.55,0.87,0.46,0.71,0.79,0.79,0.73,0.03,0.79,0.72,0.59,0.52,0.44,0.58,0.43,0.45,0.52,0.44,0.59,0.47,0.26,0.33,0.46,0.89,0.02,0.22,0.01,0.27,0.23,0.13,0.12,0.31,0.19,0.12,0.13,0.27,0.18,0.01,0.89,0.0,0.17,0.04,0.28,0.2,0.1,0.54,0.02,0.02,0.24,0.03,0.19,0.43,0.05,0.2,0.06,0.23,0.12,0.15,0.19,0.11,0.03,0.22,0.05,0.09,0.04,0.21,0.03,0.03,0.12,0.1,0.06,0.01,0.09,0.0,0.03,0.8,0.02,0.14,0.0,0.08,0.44,0.0,0.0,0.03,0.21,0.12,0.0,0.04,0.03,0.2,0.0,0.03,0.0,0.0,0.01,0.02,0.45,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.0,0.44,0.0,-0.13,0.0,0.14,0.14,0.13,0.07,0.04,0.04,0.01,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.01
08/30/2021,11.01,7.6,8.14,4.53,7.55,3.2,2.68,1.74,0.78,2.05,2.12,2.77,1.72,1.88,1.83,1.94,1.53,1.17,1.0,1.59,1.07,1.88,1.49,0.79,0.67,1.03,1.05,0.68,0.0,0.55,0.87,0.46,0.71,0.79,0.79,0.73,0.03,0.79,0.72,0.59,0.52,0.44,0.58,0.43,0.45,0.52,0.44,0.59,0.47,0.26,0.33,0.46,0.89,0.02,0.22,0.01,0.27,0.23,0.13,0.12,0.31,0.19,0.12,0.13,0.27,0.18,0.01,0.89,0.0,0.17,0.04,0.28,0.2,0.1,0.54,0.02,0.02,0.24,0.03,0.19,0.43,0.05,0.2,0.06,0.23,0.12,0.15,0.19,0.11,0.03,0.22,0.05,0.09,0.04,0.21,0.03,0.03,0.12,0.1,0.06,0.01,0.09,0.0,0.03,0.8,0.02,0.14,0.0,0.08,0.44,0.0,0.0,0.03,0.21,0.12,0.0,0.04,0.03,0.2,0.0,0.03,0.0,0.0,0.01,0.02,0.45,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.0,0.0,0.0,-0.13,0.0,0.14,0.14,0.13,0.07,0.04,0.04,0.01,0.01,0.0,0.0,0.44,0.0,0.0,0.0,0.0,100.01
08/31/2021,11.01,7.6,8.14,4.53,7.55,3.2,2.68,1.74,0.78,2.05,2.12,2.77,1.72,1.88,1.83,1.94,1.53,1.17,1.0,1.59,1.07,1.88,1.49,0.79,0.67,1.03,1.05,0.68,0.0,0.55,0.87,0.46,0.71,0.79,0.79,0.73,0.03,0.79,0.72,0.59,0.52,0.44,0.58,0.43,0.45,0.52,0.44,0.59,0.47,0.26,0.33,0.46,0.89,0.02,0.22,0.01,0.27,0.23,0.13,0.12,0.31,0.19,0.12,0.13,0.27,0.18,0.01,0.89,0.0,0.17,0.04,0.28,0.2,0.1,0.54,0.02,0.02,0.24,0.03,0.19,0.43,0.05,0.2,0.06,0.23,0.12,0.15,0.19,0.11,0.03,0.22,0.05,0.09,0.04,0.21,0.03,0.03,0.12,0.1,0.06,0.01,0.09,0.0,0.03,0.8,0.02,0.14,0.0,0.08,0.44,0.0,0.0,0.03,0.21,0.12,0.0,0.04,0.03,0.2,0.0,0.03,0.0,0.0,0.01,0.02,0.45,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.0,0.0,0.0,0.0,0.0,0.14,0.14,0.13,0.07,0.04,0.04,0.01,0.01,0.0,-0.13,0.44,0.0,0.0,0.0,0.0,100.01
09/01/2021,11.01,7.6,8.14,4.53,7.55,3.2,2.68,1.74,0.78,2.05,2.12,2.77,1.72,1.88,1.83,1.94,1.53,1.17,1.0,1.59,1.07,1.88,1.49,0.79,0.67,1.03,1.05,0.68,0.0,0.55,0.87,0.46,0.71,0.79,0.79,0.73,0.03,0.79,0.72,0.59,0.52,0.44,0.58,0.43,0.45,0.52,0.44,0.59,0.47,0.26,0.33,0.46,0.89,0.02,0.22,0.01,0.27,0.23,0.13,0.12,0.31,0.19,0.12,0.13,0.27,0.18,0.01,0.89,0.0,0.17,0.04,0.28,0.2,0.1,0.54,0.02,0.02,0.24,0.03,0.19,0.43,0.05,0.2,0.06,0.23,0.12,0.15,0.19,0.11,0.03,0.22,0.05,0.09,0.04,0.21,0.03,0.03,0.12,0.1,0.06,0.01,0.09,0.0,0.03,0.8,0.02,0.14,0.0,0.08,0.44,0.0,0.0,0.03,0.21,0.12,0.0,0.04,0.03,0.2,0.0,0.03,0.0,0.0,0.01,0.02,0.45,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.0,0.44,0.0,-0.13,0.0,0.14,0.14,0.13,0.07,0.04,0.04,0.01,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.01
09/02/2021,11.01,7.6,8.14,4.53,7.55,3.2,2.68,1.74,0.78,2.05,2.12,2.77,1.72,1.88,1.83,1.94,1.53,1.17,1.0,1.59,1.07,1.88,1.49,0.79,0.67,1.03,1.05,0.68,0.0,0.55,0.87,0.46,0.71,0.79,0.79,0.73,0.03,0.79,0.72,0.59,0.52,0.44,0.58,0.43,0.45,0.52,0.44,0.59,0.47,0.26,0.33,0.46,0.89,0.02,0.22,0.01,0.27,0.23,0.13,0.12,0.31,0.19,0.12,0.13,0.27,0.18,0.01,0.89,0.0,0.17,0.04,0.28,0.2,0.1,0.54,0.02,0.02,0.24,0.03,0.19,0.43,0.05,0.2,0.06,0.23,0.12,0.15,0.19,0.11,0.03,0.22,0.05,0.09,0.04,0.21,0.03,0.03,0.12,0.1,0.06,0.01,0.09,0.0,0.03,0.8,0.02,0.14,0.0,0.08,0.44,0.0,0.0,0.03,0.21,0.12,0.0,0.04,0.03,0.2,0.0,0.03,0.0,0.0,0.01,0.02,0.45,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.0,0.44,0.0,-0.13,0.0,0.14,0.14,0.13,0.07,0.04,0.04,0.01,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.01
09/03/2021,11.01,7.6,8.14,4.53,7.55,3.2,2.68,1.74,0.78,2.05,2.12,2.77,1.72,1.88,1.83,1.94,1.53,1.17,1.0,1.59,1.07,1.88,1.49,0.79,0.67,1.03,1.05,0.68,0.0,0.55,0.87,0.46,0.71,0.79,0.79,0.73,0.03,0.79,0.72,0.59,0.52,0.44,0.58,0.43,0.45,0.52,0.44,0.59,0.47,0.26,0.33,0.46,0.89,0.02,0.22,0.01,0.27,0.23,0.13,0.12,0.31,0.19,0.12,0.13,0.27,0.18,0.01,0.89,0.0,0.17,0.04,0.28,0.2,0.1,0.54,0.02,0.02,0.24,0.03,0.19,0.43,0.05,0.2,0.06,0.23,0.12,0.15,0.19,0.11,0.03,0.22,0.05,0.09,0.04,0.21,0.03,0.03,0.12,0.1,0.06,0.01,0.09,0.0,0.03,0.8,0.02,0.14,0.0,0.08,0.44,0.0,0.0,0.03,0.21,0.12,0.0,0.04,0.03,0.2,0.0,0.03,0.0,0.0,0.01,0.02,0.45,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.0,0.44,0.0,0.0,0.0,0.14,0.14,0.13,0.07,0.04,0.04,0.01,0.01,0.0,-0.13,0.0,0.0,0.0,0.0,0.0,100.01
