,CTE ? PROSHARES TRUST M,B 0 07/15/21,CASH,B 0 04/15/21,B 0 05/20/21,U.S. DOLLAR FOR FUTURES,B 0 12/03/20,B 0 07/02/20,B 0 06/04/20,B 0 06/11/20,B 0 06/18/20,B 0 06/25/20,CMB,B 0 07/09/20,B 0 11/12/20,B 0 08/13/20,B 0 08/27/20,B 0 09/03/20,B 0 09/10/20,B 0 10/22/20,B 0 10/29/20,B 0 07/16/20,US SDOLLAR CALL A/C,B 0 03/04/21,DJIA MINI E-CBOT EQUITY INDEX 19/JUN/2020 DMM0,DJ Industrial Average SWAP Deutsche Bank AG,UNITS,DJIA MINI E-CBOT EQUITY INDEX 18/SEP/2020 DMU0,DJIA MINI E-CBOT EQUITY INDEX 18/DEC/2020 DMZ0,DJIA MINI E-CBOT EQUITY INDEX 19/MAR/2021 DMH1,LEHMAN SWAP PAYBLE,SPDR Dow Jones Industrial Average  DIA  SWAP Deuts,SPDR Dow Jones Industrial Average  DIA  SWAP Goldm,U.S. DOLLAR,XIB 0 08/11/20,DJIA MINI E-CBOT EQUITY INDEX 18/JUN/2021 DMM1,DJ Industrial Average SWAP Citibank NA,DJ Industrial Average Index SWAP BNP Paribas,DJ Industrial Average SWAP Societe Generale,DJ Industrial Average SWAP Bank of America NA,DJ Industrial Average SWAP UBS AG,DJ Industrial Average SWAP Credit Suisse Internati,DJ Industrial Average SWAP Goldman Sachs Internati,Cash,Dj Industrial Average Swap Bank Of America Na - Cash Offset,Dj Industrial Average Swap Citibank Na - Cash Offset,Dj Industrial Average Swap Goldman Sachs International - Cash Offset,Dj Industrial Average Swap Ubs Ag - Cash Offset,Dj Industrial Average Swap Societe Generale - Cash Offset,Dj Industrial Average Index Swap Bnp Paribas - Cash Offset,Djia Mini 09/17/21 (Dmu1) - Cash Offset,E-mini Dow $5 Future Sept 21,Dj Industrial Average Index Swap Bnp Paribas,Dj Industrial Average Swap Societe Generale,Dj Industrial Average Swap Ubs Ag,Dj Industrial Average Swap Goldman Sachs International,"Dj Industrial Average Swap Citibank, N.A.","Dj Industrial Average Swap Bank Of America, Na",SUM
07/23/2021,67.81,22.72,15.42,9.09,9.09,0.45,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.04,-1.55,-2.14,-3.26,-3.65,-3.95,-4.17,-4.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,101.57
07/26/2021,67.81,22.72,15.42,9.09,9.09,0.45,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.04,-1.55,-2.14,-3.26,-3.65,-3.95,-4.17,-4.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,101.57
07/27/2021,67.81,22.72,15.42,9.09,9.09,0.45,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.04,-1.55,-2.14,-3.26,-3.65,-3.95,-4.17,-4.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,101.57
07/28/2021,67.81,22.72,15.42,9.09,9.09,0.45,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.04,-1.55,-2.14,-3.26,-3.65,-3.95,-4.17,-4.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,101.57
07/29/2021,67.81,22.72,15.42,9.09,9.09,0.45,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.04,-1.55,-2.14,-3.26,-3.65,-3.95,-4.17,-4.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,101.57
07/30/2021,67.81,22.72,15.42,9.09,9.09,0.45,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.04,-1.55,-2.14,-3.26,-3.65,-3.95,-4.17,-4.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,101.57
08/02/2021,67.81,22.72,15.42,9.09,9.09,0.45,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.04,-1.55,-2.14,-3.26,-3.65,-3.95,-4.17,-4.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,101.57
08/03/2021,67.81,22.72,15.42,9.09,9.09,0.45,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.04,-1.55,-2.14,-3.26,-3.65,-3.95,-4.17,-4.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,101.57
08/04/2021,67.81,22.72,15.42,9.09,9.09,0.45,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.04,-1.55,-2.14,-3.26,-3.65,-3.95,-4.17,-4.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,101.57
08/05/2021,67.81,22.72,15.42,9.09,9.09,0.45,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.04,-1.55,-2.14,-3.26,-3.65,-3.95,-4.17,-4.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,101.57
08/06/2021,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,46.93,38.77,32.8,29.46,24.98,16.68,10.35,-10.35,-16.68,-24.98,-29.46,-32.8,-38.77,-46.93,99.99999999999997
