,688202.SS,688202.SS.1,688202.SS.2,Cash,688202.SS.3,688202.SS.4,688202.SS.5,688202.SS.6,688202.SS.7,688202.SS.8,TECH,CGNX,MOH,FICO,SEDG,XPO,SBNY,CPT,GGG,FDS,CDAY,BRO,MASI,WSM,LII,STLD,NDSN,MPW,TREX,TTC,RPM,AXON,RH,CREE,DAR,FIVE,PRAH,DECK,JAZZ,CABO,LAD,OC,WTRG,RGEN,EWBC,TRGP,HUBB,JLL,CSL,CLF,MKSI,UGI,MIDD,RS,LEA,FHN,OLED,SAM,WSO,AZPN,PEN,Y,ACM,ATR,MANH,NBIX,SYNH,LAMR,SCI,RUN,BLDR,CIEN,CONE,WEX,CPRI,ARWR,KSS,AFG,OSK,OHI,ARW,STOR,LSI,NNN,AGCO,UTHR,DCI,GNTX,AMED,G,ITT,PII,CBSH,LECO,SMG,JBL,EHC,BC,RGA,FSLR,LSCC,REXR,IIVI,CROX,CHE,HRC,RGLD,XEC,AIRC,RNR,KRC,IAA,SEIC,WWD,CASY,TPX,PCTY,THC,STAA,BRKS,ORI,HOG,MAT,FFIN,NVST,YETI,CHDN,SLAB,FAF,JEF,SF,VAC,BRX,SLM,WH,FR,OGE,SON,EME,PNFP,HQY,CNXC,SKX,AYI,PB,OLN,JHG,TTEK,EGP,DKS,SRCL,BLD,FOXF,BJ,SNV,TOL,COHR,MAN,X,ACC,AMG,POST,FL,LHCG,CFR,NYT,TXRH,MDU,LFUS,THO,LITE,EQT,LPX,HALO,LSTR,INGR,CDK,PRI,MSA,EXP,GMED,CACI,MTZ,NCR,VVV,JCOM,COR,EVR,CC,EXEL,AEO,ACHC,HELE,KNX,NATI,SLG,DEI,TKR,SRC,VNT,Spdr S&P Midcap 400 (Mdy) Swap Goldman Sachs International,S&P Midcap 400 Index Swap Societe Generale,S&P Midcap 400 Index Swap Citibank Na,S&P Midcap 400 Index Swap Goldman Sachs International,S&P Midcap 400 Index Swap Bank Of America Na,S&P Midcap 400 Index Swap Ubs Ag,S&P Midcap 400 Index Swap Bnp Paribas,E-mini S&P MidCap 400 Future Sept 21,S&P Midcap 400 Index Swap Morgan Stanley & Co. International Plc,SUM
07/23/2021,0.0,0.0,0.0,16.08,0.0,0.0,0.0,0.0,0.0,0.0,0.63,0.53,0.53,0.52,0.51,0.51,0.51,0.46,0.46,0.45,0.45,0.44,0.44,0.44,0.43,0.43,0.42,0.42,0.42,0.42,0.41,0.41,0.41,0.4,0.39,0.39,0.38,0.38,0.38,0.37,0.37,0.37,0.37,0.36,0.36,0.36,0.36,0.36,0.36,0.35,0.35,0.35,0.34,0.34,0.34,0.34,0.34,0.34,0.34,0.33,0.33,0.33,0.33,0.33,0.33,0.33,0.32,0.32,0.32,0.32,0.32,0.32,0.31,0.31,0.31,0.31,0.31,0.31,0.31,0.31,0.3,0.3,0.3,0.29,0.29,0.29,0.29,0.29,0.29,0.28,0.28,0.28,0.28,0.28,0.28,0.28,0.28,0.28,0.28,0.28,0.27,0.27,0.27,0.27,0.27,0.27,0.27,0.27,0.27,0.26,0.26,0.26,0.26,0.26,0.26,0.26,0.26,0.26,0.26,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.23,0.23,0.23,0.23,0.23,0.23,0.23,0.23,0.23,0.23,0.23,0.23,0.23,0.23,0.23,0.23,0.23,0.23,0.23,0.22,0.22,0.22,0.22,0.22,0.22,0.22,0.22,0.22,0.22,0.22,0.22,0.22,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,18.99,18.71,16.24,15.73,14.46,14.19,12.99,3.23,1.53,188.05
07/26/2021,0.0,0.0,0.0,16.08,0.0,0.0,0.0,0.0,0.0,0.0,0.63,0.53,0.53,0.52,0.51,0.51,0.51,0.46,0.46,0.45,0.45,0.44,0.44,0.44,0.43,0.43,0.42,0.42,0.42,0.42,0.41,0.41,0.41,0.4,0.39,0.39,0.38,0.38,0.38,0.37,0.37,0.37,0.37,0.36,0.36,0.36,0.36,0.36,0.36,0.35,0.35,0.35,0.34,0.34,0.34,0.34,0.34,0.34,0.34,0.33,0.33,0.33,0.33,0.33,0.33,0.33,0.32,0.32,0.32,0.32,0.32,0.32,0.31,0.31,0.31,0.31,0.31,0.31,0.31,0.31,0.3,0.3,0.3,0.29,0.29,0.29,0.29,0.29,0.29,0.28,0.28,0.28,0.28,0.28,0.28,0.28,0.28,0.28,0.28,0.28,0.27,0.27,0.27,0.27,0.27,0.27,0.27,0.27,0.27,0.26,0.26,0.26,0.26,0.26,0.26,0.26,0.26,0.26,0.26,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.23,0.23,0.23,0.23,0.23,0.23,0.23,0.23,0.23,0.23,0.23,0.23,0.23,0.23,0.23,0.23,0.23,0.23,0.23,0.22,0.22,0.22,0.22,0.22,0.22,0.22,0.22,0.22,0.22,0.22,0.22,0.22,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,18.99,18.71,16.24,15.73,14.46,14.19,12.99,3.23,1.53,188.05
07/27/2021,0.0,0.0,0.0,16.08,0.0,0.0,0.0,0.0,0.0,0.0,0.63,0.53,0.53,0.52,0.51,0.51,0.51,0.46,0.46,0.45,0.45,0.44,0.44,0.44,0.43,0.43,0.42,0.42,0.42,0.42,0.41,0.41,0.41,0.4,0.39,0.39,0.38,0.38,0.38,0.37,0.37,0.37,0.37,0.36,0.36,0.36,0.36,0.36,0.36,0.35,0.35,0.35,0.34,0.34,0.34,0.34,0.34,0.34,0.34,0.33,0.33,0.33,0.33,0.33,0.33,0.33,0.32,0.32,0.32,0.32,0.32,0.32,0.31,0.31,0.31,0.31,0.31,0.31,0.31,0.31,0.3,0.3,0.3,0.29,0.29,0.29,0.29,0.29,0.29,0.28,0.28,0.28,0.28,0.28,0.28,0.28,0.28,0.28,0.28,0.28,0.27,0.27,0.27,0.27,0.27,0.27,0.27,0.27,0.27,0.26,0.26,0.26,0.26,0.26,0.26,0.26,0.26,0.26,0.26,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.23,0.23,0.23,0.23,0.23,0.23,0.23,0.23,0.23,0.23,0.23,0.23,0.23,0.23,0.23,0.23,0.23,0.23,0.23,0.22,0.22,0.22,0.22,0.22,0.22,0.22,0.22,0.22,0.22,0.22,0.22,0.22,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,18.99,18.71,16.24,15.73,14.46,14.19,12.99,3.23,1.53,188.05
07/28/2021,0.0,0.0,0.0,16.08,0.0,0.0,0.0,0.0,0.0,0.0,0.63,0.53,0.53,0.52,0.51,0.51,0.51,0.46,0.46,0.45,0.45,0.44,0.44,0.44,0.43,0.43,0.42,0.42,0.42,0.42,0.41,0.41,0.41,0.4,0.39,0.39,0.38,0.38,0.38,0.37,0.37,0.37,0.37,0.36,0.36,0.36,0.36,0.36,0.36,0.35,0.35,0.35,0.34,0.34,0.34,0.34,0.34,0.34,0.34,0.33,0.33,0.33,0.33,0.33,0.33,0.33,0.32,0.32,0.32,0.32,0.32,0.32,0.31,0.31,0.31,0.31,0.31,0.31,0.31,0.31,0.3,0.3,0.3,0.29,0.29,0.29,0.29,0.29,0.29,0.28,0.28,0.28,0.28,0.28,0.28,0.28,0.28,0.28,0.28,0.28,0.27,0.27,0.27,0.27,0.27,0.27,0.27,0.27,0.27,0.26,0.26,0.26,0.26,0.26,0.26,0.26,0.26,0.26,0.26,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.23,0.23,0.23,0.23,0.23,0.23,0.23,0.23,0.23,0.23,0.23,0.23,0.23,0.23,0.23,0.23,0.23,0.23,0.23,0.22,0.22,0.22,0.22,0.22,0.22,0.22,0.22,0.22,0.22,0.22,0.22,0.22,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,18.99,18.71,16.24,15.73,14.46,14.19,12.99,3.23,1.53,188.05
07/29/2021,0.0,0.0,0.0,16.08,0.0,0.0,0.0,0.0,0.0,0.0,0.63,0.53,0.53,0.52,0.51,0.51,0.51,0.46,0.46,0.45,0.45,0.44,0.44,0.44,0.43,0.43,0.42,0.42,0.42,0.42,0.41,0.41,0.41,0.4,0.39,0.39,0.38,0.38,0.38,0.37,0.37,0.37,0.37,0.36,0.36,0.36,0.36,0.36,0.36,0.35,0.35,0.35,0.34,0.34,0.34,0.34,0.34,0.34,0.34,0.33,0.33,0.33,0.33,0.33,0.33,0.33,0.32,0.32,0.32,0.32,0.32,0.32,0.31,0.31,0.31,0.31,0.31,0.31,0.31,0.31,0.3,0.3,0.3,0.29,0.29,0.29,0.29,0.29,0.29,0.28,0.28,0.28,0.28,0.28,0.28,0.28,0.28,0.28,0.28,0.28,0.27,0.27,0.27,0.27,0.27,0.27,0.27,0.27,0.27,0.26,0.26,0.26,0.26,0.26,0.26,0.26,0.26,0.26,0.26,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.23,0.23,0.23,0.23,0.23,0.23,0.23,0.23,0.23,0.23,0.23,0.23,0.23,0.23,0.23,0.23,0.23,0.23,0.23,0.22,0.22,0.22,0.22,0.22,0.22,0.22,0.22,0.22,0.22,0.22,0.22,0.22,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,18.99,18.71,16.24,15.73,14.46,14.19,12.99,3.23,1.53,188.05
07/30/2021,0.0,0.0,0.0,16.08,0.0,0.0,0.0,0.0,0.0,0.0,0.63,0.53,0.53,0.52,0.51,0.51,0.51,0.46,0.46,0.45,0.45,0.44,0.44,0.44,0.43,0.43,0.42,0.42,0.42,0.42,0.41,0.41,0.41,0.4,0.39,0.39,0.38,0.38,0.38,0.37,0.37,0.37,0.37,0.36,0.36,0.36,0.36,0.36,0.36,0.35,0.35,0.35,0.34,0.34,0.34,0.34,0.34,0.34,0.34,0.33,0.33,0.33,0.33,0.33,0.33,0.33,0.32,0.32,0.32,0.32,0.32,0.32,0.31,0.31,0.31,0.31,0.31,0.31,0.31,0.31,0.3,0.3,0.3,0.29,0.29,0.29,0.29,0.29,0.29,0.28,0.28,0.28,0.28,0.28,0.28,0.28,0.28,0.28,0.28,0.28,0.27,0.27,0.27,0.27,0.27,0.27,0.27,0.27,0.27,0.26,0.26,0.26,0.26,0.26,0.26,0.26,0.26,0.26,0.26,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.23,0.23,0.23,0.23,0.23,0.23,0.23,0.23,0.23,0.23,0.23,0.23,0.23,0.23,0.23,0.23,0.23,0.23,0.23,0.22,0.22,0.22,0.22,0.22,0.22,0.22,0.22,0.22,0.22,0.22,0.22,0.22,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,18.99,18.71,16.24,15.73,14.46,14.19,12.99,3.23,1.53,188.05
08/02/2021,0.0,0.0,0.0,16.08,0.0,0.0,0.0,0.0,0.0,0.0,0.63,0.53,0.53,0.52,0.51,0.51,0.51,0.46,0.46,0.45,0.45,0.44,0.44,0.44,0.43,0.43,0.42,0.42,0.42,0.42,0.41,0.41,0.41,0.4,0.39,0.39,0.38,0.38,0.38,0.37,0.37,0.37,0.37,0.36,0.36,0.36,0.36,0.36,0.36,0.35,0.35,0.35,0.34,0.34,0.34,0.34,0.34,0.34,0.34,0.33,0.33,0.33,0.33,0.33,0.33,0.33,0.32,0.32,0.32,0.32,0.32,0.32,0.31,0.31,0.31,0.31,0.31,0.31,0.31,0.31,0.3,0.3,0.3,0.29,0.29,0.29,0.29,0.29,0.29,0.28,0.28,0.28,0.28,0.28,0.28,0.28,0.28,0.28,0.28,0.28,0.27,0.27,0.27,0.27,0.27,0.27,0.27,0.27,0.27,0.26,0.26,0.26,0.26,0.26,0.26,0.26,0.26,0.26,0.26,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.23,0.23,0.23,0.23,0.23,0.23,0.23,0.23,0.23,0.23,0.23,0.23,0.23,0.23,0.23,0.23,0.23,0.23,0.23,0.22,0.22,0.22,0.22,0.22,0.22,0.22,0.22,0.22,0.22,0.22,0.22,0.22,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,18.99,18.71,16.24,15.73,14.46,14.19,12.99,3.23,1.53,188.05
08/03/2021,0.0,0.0,0.0,16.08,0.0,0.0,0.0,0.0,0.0,0.0,0.63,0.53,0.53,0.52,0.51,0.51,0.51,0.46,0.46,0.45,0.45,0.44,0.44,0.44,0.43,0.43,0.42,0.42,0.42,0.42,0.41,0.41,0.41,0.4,0.39,0.39,0.38,0.38,0.38,0.37,0.37,0.37,0.37,0.36,0.36,0.36,0.36,0.36,0.36,0.35,0.35,0.35,0.34,0.34,0.34,0.34,0.34,0.34,0.34,0.33,0.33,0.33,0.33,0.33,0.33,0.33,0.32,0.32,0.32,0.32,0.32,0.32,0.31,0.31,0.31,0.31,0.31,0.31,0.31,0.31,0.3,0.3,0.3,0.29,0.29,0.29,0.29,0.29,0.29,0.28,0.28,0.28,0.28,0.28,0.28,0.28,0.28,0.28,0.28,0.28,0.27,0.27,0.27,0.27,0.27,0.27,0.27,0.27,0.27,0.26,0.26,0.26,0.26,0.26,0.26,0.26,0.26,0.26,0.26,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.23,0.23,0.23,0.23,0.23,0.23,0.23,0.23,0.23,0.23,0.23,0.23,0.23,0.23,0.23,0.23,0.23,0.23,0.23,0.22,0.22,0.22,0.22,0.22,0.22,0.22,0.22,0.22,0.22,0.22,0.22,0.22,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,18.99,18.71,16.24,15.73,14.46,14.19,12.99,3.23,1.53,188.05
08/04/2021,0.0,0.0,0.0,16.08,0.0,0.0,0.0,0.0,0.0,0.0,0.63,0.53,0.53,0.52,0.51,0.51,0.51,0.46,0.46,0.45,0.45,0.44,0.44,0.44,0.43,0.43,0.42,0.42,0.42,0.42,0.41,0.41,0.41,0.4,0.39,0.39,0.38,0.38,0.38,0.37,0.37,0.37,0.37,0.36,0.36,0.36,0.36,0.36,0.36,0.35,0.35,0.35,0.34,0.34,0.34,0.34,0.34,0.34,0.34,0.33,0.33,0.33,0.33,0.33,0.33,0.33,0.32,0.32,0.32,0.32,0.32,0.32,0.31,0.31,0.31,0.31,0.31,0.31,0.31,0.31,0.3,0.3,0.3,0.29,0.29,0.29,0.29,0.29,0.29,0.28,0.28,0.28,0.28,0.28,0.28,0.28,0.28,0.28,0.28,0.28,0.27,0.27,0.27,0.27,0.27,0.27,0.27,0.27,0.27,0.26,0.26,0.26,0.26,0.26,0.26,0.26,0.26,0.26,0.26,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.23,0.23,0.23,0.23,0.23,0.23,0.23,0.23,0.23,0.23,0.23,0.23,0.23,0.23,0.23,0.23,0.23,0.23,0.23,0.22,0.22,0.22,0.22,0.22,0.22,0.22,0.22,0.22,0.22,0.22,0.22,0.22,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,18.99,18.71,16.24,15.73,14.46,14.19,12.99,3.23,1.53,188.05
08/05/2021,0.0,0.0,0.0,16.08,0.0,0.0,0.0,0.0,0.0,0.0,0.63,0.53,0.53,0.52,0.51,0.51,0.51,0.46,0.46,0.45,0.45,0.44,0.44,0.44,0.43,0.43,0.42,0.42,0.42,0.42,0.41,0.41,0.41,0.4,0.39,0.39,0.38,0.38,0.38,0.37,0.37,0.37,0.37,0.36,0.36,0.36,0.36,0.36,0.36,0.35,0.35,0.35,0.34,0.34,0.34,0.34,0.34,0.34,0.34,0.33,0.33,0.33,0.33,0.33,0.33,0.33,0.32,0.32,0.32,0.32,0.32,0.32,0.31,0.31,0.31,0.31,0.31,0.31,0.31,0.31,0.3,0.3,0.3,0.29,0.29,0.29,0.29,0.29,0.29,0.28,0.28,0.28,0.28,0.28,0.28,0.28,0.28,0.28,0.28,0.28,0.27,0.27,0.27,0.27,0.27,0.27,0.27,0.27,0.27,0.26,0.26,0.26,0.26,0.26,0.26,0.26,0.26,0.26,0.26,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.23,0.23,0.23,0.23,0.23,0.23,0.23,0.23,0.23,0.23,0.23,0.23,0.23,0.23,0.23,0.23,0.23,0.23,0.23,0.22,0.22,0.22,0.22,0.22,0.22,0.22,0.22,0.22,0.22,0.22,0.22,0.22,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,18.99,18.71,16.24,15.73,14.46,14.19,12.99,3.23,1.53,188.05
