,Swiss Franc - Invesco,1257.HK,018000.KQ,n/a,688008.SS,SUM
07/09/2021,100.0,0.0,0.0,0.0,0.0,100.0
07/12/2021,0.0,100.0,0.0,0.0,0.0,100.0
07/13/2021,0.0,100.0,0.0,0.0,0.0,100.0
07/14/2021,0.0,100.0,0.0,0.0,0.0,100.0
07/15/2021,0.0,100.0,0.0,0.0,0.0,100.0
07/16/2021,0.0,100.0,0.0,0.0,0.0,100.0
07/19/2021,0.0,100.0,0.0,0.0,0.0,100.0
07/20/2021,0.0,100.0,0.0,0.0,0.0,100.0
07/21/2021,0.0,100.0,0.0,0.0,0.0,100.0
07/22/2021,0.0,100.0,0.0,0.0,0.0,100.0
07/23/2021,0.0,100.0,0.0,0.0,0.0,100.0
07/26/2021,0.0,0.0,100.0,0.0,0.0,100.0
07/27/2021,0.0,0.0,100.0,0.0,0.0,100.0
07/28/2021,0.0,100.0,0.0,0.0,0.0,100.0
07/29/2021,0.0,100.0,0.0,0.0,0.0,100.0
07/30/2021,0.0,0.0,100.0,0.0,0.0,100.0
08/02/2021,0.0,0.0,100.0,0.0,0.0,100.0
08/03/2021,0.0,0.0,100.0,0.0,0.0,100.0
08/04/2021,0.0,0.0,100.0,0.0,0.0,100.0
08/05/2021,0.0,0.0,100.0,0.0,0.0,100.0
08/06/2021,0.0,0.0,100.0,0.0,0.0,100.0
08/09/2021,0.0,0.0,100.0,0.0,0.0,100.0
08/10/2021,0.0,0.0,100.0,0.0,0.0,100.0
08/11/2021,0.0,0.0,100.0,0.0,0.0,100.0
08/13/2021,0.0,0.0,100.0,0.0,0.0,100.0
08/16/2021,0.0,0.0,100.0,0.0,0.0,100.0
08/17/2021,0.0,0.0,100.0,0.0,0.0,100.0
08/18/2021,0.0,100.0,0.0,0.0,0.0,100.0
08/19/2021,0.0,100.0,0.0,0.0,0.0,100.0
08/20/2021,0.0,0.0,100.0,0.0,0.0,100.0
08/23/2021,0.0,0.0,100.0,0.0,0.0,100.0
08/24/2021,0.0,0.0,0.0,100.0,0.0,100.0
08/25/2021,0.0,0.0,0.0,0.0,100.0,100.0
08/26/2021,0.0,0.0,0.0,0.0,100.0,100.0
08/27/2021,0.0,0.0,0.0,0.0,100.0,100.0
08/30/2021,0.0,0.0,0.0,0.0,100.0,100.0
08/31/2021,0.0,0.0,0.0,0.0,100.0,100.0
09/01/2021,0.0,0.0,0.0,0.0,100.0,100.0
09/02/2021,0.0,0.0,0.0,0.0,100.0,100.0
09/03/2021,0.0,0.0,0.0,0.0,100.0,100.0
09/06/2021,0.0,0.0,0.0,0.0,100.0,100.0
09/07/2021,0.0,0.0,0.0,100.0,0.0,100.0
09/08/2021,0.0,0.0,0.0,100.0,0.0,100.0
09/09/2021,0.0,0.0,0.0,100.0,0.0,100.0
09/10/2021,0.0,0.0,0.0,100.0,0.0,100.0
09/13/2021,0.0,0.0,0.0,100.0,0.0,100.0
09/14/2021,0.0,0.0,0.0,100.0,0.0,100.0
09/15/2021,0.0,0.0,0.0,100.0,0.0,100.0
09/16/2021,0.0,0.0,0.0,100.0,0.0,100.0
09/17/2021,0.0,0.0,0.0,100.0,0.0,100.0
09/20/2021,0.0,0.0,0.0,100.0,0.0,100.0
09/21/2021,0.0,0.0,0.0,100.0,0.0,100.0
09/22/2021,0.0,0.0,0.0,100.0,0.0,100.0
09/23/2021,0.0,0.0,0.0,100.0,0.0,100.0
09/24/2021,0.0,0.0,0.0,100.0,0.0,100.0
09/27/2021,0.0,0.0,0.0,100.0,0.0,100.0
09/28/2021,0.0,0.0,0.0,100.0,0.0,100.0
09/29/2021,0.0,0.0,0.0,100.0,0.0,100.0
09/30/2021,0.0,0.0,0.0,100.0,0.0,100.0
10/01/2021,0.0,0.0,0.0,100.0,0.0,100.0
10/04/2021,0.0,0.0,0.0,100.0,0.0,100.0
10/08/2021,0.0,0.0,0.0,100.0,0.0,100.0
10/11/2021,0.0,0.0,0.0,100.0,0.0,100.0
10/12/2021,0.0,0.0,0.0,100.0,0.0,100.0
10/13/2021,0.0,0.0,0.0,100.0,0.0,100.0
10/14/2021,0.0,0.0,0.0,100.0,0.0,100.0
10/15/2021,0.0,0.0,0.0,100.0,0.0,100.0
10/18/2021,0.0,0.0,0.0,100.0,0.0,100.0
10/19/2021,0.0,0.0,0.0,100.0,0.0,100.0
10/20/2021,0.0,0.0,0.0,100.0,0.0,100.0
10/21/2021,0.0,0.0,0.0,100.0,0.0,100.0
10/22/2021,0.0,0.0,0.0,100.0,0.0,100.0
10/25/2021,0.0,0.0,0.0,100.0,0.0,100.0
10/26/2021,0.0,0.0,0.0,100.0,0.0,100.0
10/27/2021,0.0,0.0,0.0,100.0,0.0,100.0
