,Cash&Other,n/a,SUM
07/09/2021,99.99,0.0,99.99
07/12/2021,99.99,0.0,99.99
07/13/2021,99.99,0.0,99.99
07/14/2021,99.99,0.0,99.99
07/15/2021,99.99,0.0,99.99
07/16/2021,99.99,0.0,99.99
07/19/2021,99.99,0.0,99.99
07/20/2021,99.99,0.0,99.99
07/21/2021,99.99,0.0,99.99
07/22/2021,99.99,0.0,99.99
07/23/2021,99.99,0.0,99.99
07/26/2021,99.99,0.0,99.99
07/27/2021,99.99,0.0,99.99
07/28/2021,99.99,0.0,99.99
07/29/2021,99.99,0.0,99.99
07/30/2021,99.99,0.0,99.99
08/02/2021,99.99,0.0,99.99
08/03/2021,99.99,0.0,99.99
08/04/2021,99.99,0.0,99.99
08/05/2021,99.99,0.0,99.99
08/06/2021,99.99,0.0,99.99
08/09/2021,0.0,99.99,99.99
08/10/2021,99.99,0.0,99.99
08/11/2021,99.99,0.0,99.99
08/13/2021,99.99,0.0,99.99
08/16/2021,99.99,0.0,99.99
08/17/2021,99.99,0.0,99.99
08/18/2021,99.99,0.0,99.99
08/19/2021,99.99,0.0,99.99
08/20/2021,99.99,0.0,99.99
08/23/2021,99.99,0.0,99.99
08/24/2021,99.99,0.0,99.99
08/25/2021,99.99,0.0,99.99
08/26/2021,99.99,0.0,99.99
08/27/2021,99.99,0.0,99.99
