,MRNA,OMI,LULU,FSLR,TPD.,SM,IDXX,MELI,PDCE,CIEN,DBX,ZM,MIC,TWLO,AMKR,DPZ,FFIV,CTLT,SC,AMCX,CPRT,GLPI,G,BTU,LEVI,IEX,SWX,TW,FUO.,JKHY,DAR,SEIC,BURL,BIG,LAMR,SEM,CSGP,TDY,ALLE,SKX,SEE,CACC,SYNH,HRC,DOCU,LGF.A,RLGY,CRL,DK,ALSN,UAL,GHC,KBH,HE,POR,TKR,HRB,WEX,NFG,SIGI,GEO,TFX,KBR,WST,FLO,CPE,SIRI,VRTV,RBC,ITT,SATS,LII,SFM,LECO,JWN,DDS,ESNT,ASH,CPT,ABM,NVT,LITE,FDS,IIVI,MTN,TTC,ETSY,PTON,UTHR,OI,VIRT,PMT,GNRC,BMRN,AAWW,MIDD,EVR,PTEN,ATR,BKH,DCI,ANDE,LPX,MTH,LW,SR,HZNP,CRI,PINS,FLS,TGNA,GEF,BECN,H,VEEV,POOL,UHAL,RRC,AXTA,ANF,CWK,MMS,NVST,KEX,SAH,JCOM,CR,FCN,NDSN,GTN,CXW,ACHC,PENN,EEFT,CFX,VSAT,CWH,EXPE,LSTR,CW,CONE,HXL,AGPXX,AGR,EPAM,IDA,WWD,DECK,FICO,UFPI,MOG.A,NBR,CMPR,SWN,TTEK,PNM,KAR,REZI,UAA,HIW,AEO,AXL,THS,GGG,NSP,ELS,IHRT,ASGN,SRCL,AMH,MKSI,SAFM,BKI,DXCM,CHE,SMG,ENTG,GME,PSN,CLH,SLGN,LAUR,TMX,BCC,FHI,ALE,ENS,B7S.,CGNX,ZNGA,COLD,BLD,TNL,CLDR,NUAN,FL9.,ROL,IMKTA,MTDR,NUS,CLF,EXP,CBT,TPX,DLB,BKD,NWE,HLI,SUI,MGLN,REGI,GATX,AVA,MTOR,MC,HRI,VMI,LHCG,NATI,PRG,APG,SGEN,CABO,AVNT,GVA,RXN,TEX,TNET,FCFS,MATX,HELE,TDC,MOG/A,SUM
07/23/2021,0.42,0.33,0.29,0.25,0.26,0.21,0.27,0.27,0.22,0.25,0.26,0.23,0.26,0.25,0.25,0.25,0.25,0.25,0.25,0.22,0.26,0.25,0.25,0.28,0.23,0.25,0.26,0.24,0.23,0.25,0.24,0.24,0.23,0.23,0.23,0.23,0.25,0.24,0.24,0.23,0.22,0.24,0.22,0.23,0.23,0.18,0.21,0.23,0.19,0.22,0.2,0.22,0.22,0.22,0.23,0.21,0.22,0.21,0.21,0.22,0.21,0.2,0.23,0.22,0.22,0.16,0.22,0.22,0.21,0.22,0.2,0.2,0.22,0.21,0.19,0.2,0.21,0.21,0.23,0.22,0.21,0.2,0.21,0.2,0.2,0.21,0.21,0.21,0.21,0.19,0.19,0.19,0.21,0.19,0.2,0.22,0.19,0.17,0.2,0.21,0.21,0.19,0.19,0.2,0.19,0.2,0.2,0.19,0.18,0.21,0.19,0.19,0.2,0.19,0.2,0.19,0.19,0.18,0.18,0.17,0.19,0.2,0.18,0.19,0.21,0.19,0.19,0.19,0.2,0.17,0.18,0.19,0.18,0.18,0.18,0.2,0.19,0.18,0.18,0.18,0.19,0.17,0.0,0.19,0.19,0.2,0.18,0.18,0.19,0.18,0.18,0.0,0.2,0.16,0.18,0.18,0.17,0.17,0.16,0.19,0.16,0.16,0.19,0.18,0.18,0.19,0.16,0.18,0.17,0.18,0.16,0.17,0.17,0.17,0.16,0.16,0.17,0.16,0.17,0.17,0.16,0.17,0.17,0.0,0.16,0.17,0.16,0.17,0.16,0.15,0.17,0.17,0.0,0.16,0.16,0.0,0.17,0.16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16,0.16,0.16,0.16,0.0,0.15,0.15,0.16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.47
07/26/2021,0.44,0.33,0.3,0.25,0.0,0.21,0.27,0.27,0.22,0.25,0.26,0.23,0.26,0.26,0.26,0.28,0.25,0.25,0.25,0.21,0.26,0.25,0.25,0.33,0.23,0.25,0.25,0.24,0.0,0.25,0.24,0.23,0.23,0.23,0.23,0.22,0.25,0.24,0.23,0.24,0.22,0.25,0.22,0.23,0.24,0.17,0.21,0.23,0.19,0.22,0.2,0.22,0.22,0.22,0.22,0.21,0.22,0.22,0.21,0.21,0.21,0.21,0.22,0.22,0.21,0.16,0.21,0.22,0.21,0.22,0.2,0.2,0.21,0.21,0.18,0.21,0.2,0.21,0.22,0.22,0.21,0.2,0.21,0.2,0.2,0.2,0.21,0.2,0.21,0.18,0.18,0.19,0.21,0.19,0.2,0.22,0.19,0.18,0.19,0.2,0.2,0.18,0.19,0.2,0.19,0.19,0.21,0.19,0.18,0.21,0.18,0.19,0.19,0.2,0.2,0.19,0.19,0.19,0.18,0.17,0.19,0.2,0.18,0.19,0.21,0.19,0.19,0.19,0.2,0.17,0.18,0.19,0.18,0.18,0.18,0.2,0.19,0.18,0.18,0.18,0.18,0.17,0.0,0.18,0.19,0.19,0.18,0.18,0.19,0.18,0.17,0.0,0.2,0.16,0.18,0.17,0.17,0.17,0.17,0.18,0.16,0.15,0.18,0.18,0.18,0.18,0.17,0.18,0.17,0.18,0.17,0.17,0.17,0.17,0.16,0.16,0.17,0.0,0.17,0.16,0.16,0.16,0.17,0.0,0.16,0.16,0.17,0.0,0.16,0.0,0.16,0.17,0.15,0.16,0.16,0.0,0.17,0.16,0.0,0.0,0.16,0.0,0.0,0.26,0.23,0.16,0.15,0.16,0.15,0.16,0.0,0.0,0.0,0.0,0.16,0.15,0.15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.32
07/27/2021,0.47,0.33,0.3,0.25,0.0,0.2,0.28,0.27,0.22,0.25,0.26,0.23,0.26,0.26,0.25,0.27,0.25,0.25,0.25,0.21,0.26,0.25,0.26,0.33,0.22,0.25,0.25,0.24,0.0,0.25,0.24,0.23,0.23,0.23,0.23,0.22,0.25,0.24,0.23,0.25,0.22,0.24,0.22,0.23,0.24,0.17,0.21,0.23,0.19,0.22,0.2,0.22,0.22,0.22,0.23,0.21,0.23,0.22,0.21,0.21,0.21,0.21,0.22,0.22,0.21,0.15,0.21,0.22,0.22,0.22,0.2,0.2,0.2,0.21,0.18,0.21,0.2,0.21,0.22,0.22,0.21,0.2,0.21,0.2,0.2,0.21,0.22,0.2,0.2,0.18,0.18,0.19,0.21,0.18,0.2,0.22,0.19,0.17,0.19,0.2,0.2,0.18,0.19,0.2,0.19,0.19,0.21,0.19,0.19,0.21,0.18,0.19,0.19,0.19,0.2,0.2,0.19,0.19,0.18,0.16,0.19,0.2,0.18,0.19,0.21,0.19,0.19,0.19,0.2,0.18,0.17,0.19,0.18,0.18,0.18,0.19,0.19,0.18,0.18,0.18,0.19,0.17,0.0,0.18,0.19,0.2,0.18,0.19,0.19,0.18,0.18,0.0,0.2,0.16,0.18,0.17,0.17,0.17,0.17,0.18,0.16,0.15,0.18,0.17,0.18,0.18,0.17,0.18,0.17,0.18,0.17,0.17,0.17,0.17,0.16,0.16,0.17,0.0,0.17,0.16,0.16,0.16,0.18,0.0,0.16,0.16,0.16,0.0,0.16,0.0,0.16,0.17,0.0,0.16,0.16,0.0,0.17,0.16,0.0,0.0,0.16,0.0,0.0,0.26,0.23,0.16,0.15,0.16,0.15,0.15,0.0,0.0,0.0,0.0,0.16,0.0,0.15,0.15,0.15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.34
07/28/2021,0.47,0.33,0.3,0.25,0.0,0.2,0.28,0.27,0.22,0.25,0.26,0.23,0.26,0.26,0.25,0.27,0.25,0.25,0.25,0.21,0.26,0.25,0.26,0.33,0.22,0.25,0.25,0.24,0.0,0.25,0.24,0.23,0.23,0.23,0.23,0.22,0.25,0.24,0.23,0.25,0.22,0.24,0.22,0.23,0.24,0.17,0.21,0.23,0.19,0.22,0.2,0.22,0.22,0.22,0.23,0.21,0.23,0.22,0.21,0.21,0.21,0.21,0.22,0.22,0.21,0.15,0.21,0.22,0.22,0.22,0.2,0.2,0.2,0.21,0.18,0.21,0.2,0.21,0.22,0.22,0.21,0.2,0.21,0.2,0.2,0.21,0.22,0.2,0.2,0.18,0.18,0.19,0.21,0.18,0.2,0.22,0.19,0.17,0.19,0.2,0.2,0.18,0.19,0.2,0.19,0.19,0.21,0.19,0.19,0.21,0.18,0.19,0.19,0.19,0.2,0.2,0.19,0.19,0.18,0.16,0.19,0.2,0.18,0.19,0.21,0.19,0.19,0.19,0.2,0.18,0.17,0.19,0.18,0.18,0.18,0.19,0.19,0.18,0.18,0.18,0.19,0.17,0.0,0.18,0.19,0.2,0.18,0.19,0.19,0.18,0.18,0.0,0.2,0.16,0.18,0.17,0.17,0.17,0.17,0.18,0.16,0.15,0.18,0.17,0.18,0.18,0.17,0.18,0.17,0.18,0.17,0.17,0.17,0.17,0.16,0.16,0.17,0.0,0.17,0.16,0.16,0.16,0.18,0.0,0.16,0.16,0.16,0.0,0.16,0.0,0.16,0.17,0.0,0.16,0.16,0.0,0.17,0.16,0.0,0.0,0.16,0.0,0.0,0.26,0.23,0.16,0.15,0.16,0.15,0.15,0.0,0.0,0.0,0.0,0.16,0.0,0.15,0.15,0.15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.34
07/29/2021,0.45,0.33,0.3,0.24,0.0,0.21,0.27,0.27,0.23,0.25,0.25,0.24,0.26,0.25,0.25,0.28,0.25,0.24,0.25,0.21,0.26,0.24,0.25,0.36,0.23,0.24,0.25,0.24,0.0,0.25,0.24,0.23,0.23,0.23,0.23,0.22,0.25,0.24,0.23,0.25,0.22,0.24,0.21,0.23,0.23,0.17,0.21,0.23,0.19,0.22,0.21,0.21,0.22,0.22,0.23,0.21,0.22,0.22,0.21,0.21,0.21,0.21,0.22,0.22,0.21,0.16,0.21,0.22,0.22,0.22,0.2,0.2,0.2,0.21,0.18,0.21,0.2,0.21,0.22,0.22,0.21,0.2,0.21,0.19,0.2,0.21,0.21,0.2,0.2,0.18,0.18,0.19,0.21,0.18,0.2,0.22,0.19,0.18,0.19,0.2,0.2,0.18,0.19,0.2,0.19,0.19,0.2,0.19,0.19,0.21,0.18,0.2,0.19,0.2,0.2,0.2,0.19,0.19,0.18,0.17,0.19,0.2,0.18,0.19,0.21,0.19,0.18,0.19,0.2,0.18,0.18,0.19,0.18,0.18,0.18,0.19,0.19,0.18,0.18,0.18,0.19,0.17,0.0,0.18,0.19,0.19,0.18,0.19,0.19,0.18,0.18,0.0,0.19,0.17,0.18,0.17,0.17,0.17,0.17,0.18,0.16,0.15,0.18,0.17,0.18,0.18,0.17,0.18,0.17,0.18,0.16,0.17,0.17,0.17,0.16,0.16,0.17,0.0,0.16,0.16,0.16,0.16,0.18,0.0,0.16,0.17,0.16,0.0,0.16,0.0,0.16,0.17,0.0,0.16,0.16,0.0,0.17,0.16,0.0,0.0,0.16,0.0,0.0,0.26,0.23,0.16,0.15,0.16,0.15,0.15,0.0,0.15,0.0,0.15,0.16,0.16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.3
07/30/2021,0.44,0.33,0.3,0.24,0.0,0.2,0.28,0.27,0.23,0.26,0.26,0.23,0.26,0.25,0.26,0.28,0.27,0.25,0.25,0.21,0.26,0.25,0.25,0.31,0.22,0.25,0.26,0.24,0.0,0.25,0.24,0.23,0.23,0.22,0.23,0.22,0.25,0.24,0.23,0.25,0.22,0.24,0.22,0.24,0.23,0.16,0.21,0.23,0.19,0.22,0.21,0.21,0.22,0.22,0.23,0.22,0.23,0.22,0.22,0.21,0.21,0.21,0.22,0.22,0.21,0.0,0.22,0.22,0.22,0.22,0.2,0.21,0.2,0.21,0.18,0.21,0.2,0.21,0.22,0.22,0.21,0.2,0.21,0.18,0.2,0.21,0.21,0.2,0.21,0.18,0.18,0.19,0.21,0.19,0.2,0.22,0.19,0.17,0.19,0.21,0.2,0.18,0.19,0.21,0.16,0.2,0.21,0.19,0.18,0.21,0.19,0.2,0.19,0.2,0.2,0.2,0.19,0.18,0.19,0.16,0.2,0.2,0.18,0.19,0.22,0.19,0.19,0.19,0.2,0.18,0.18,0.19,0.18,0.18,0.18,0.19,0.19,0.18,0.18,0.18,0.19,0.17,0.0,0.19,0.19,0.2,0.18,0.18,0.18,0.18,0.18,0.0,0.19,0.16,0.18,0.17,0.17,0.17,0.17,0.18,0.16,0.15,0.18,0.17,0.18,0.19,0.17,0.18,0.17,0.18,0.16,0.17,0.17,0.17,0.16,0.16,0.16,0.0,0.17,0.17,0.16,0.16,0.18,0.0,0.16,0.17,0.16,0.0,0.16,0.0,0.16,0.17,0.0,0.16,0.16,0.0,0.17,0.16,0.0,0.0,0.16,0.0,0.0,0.25,0.23,0.16,0.15,0.16,0.16,0.15,0.0,0.15,0.15,0.0,0.16,0.16,0.0,0.0,0.0,0.15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.39
08/02/2021,0.46,0.31,0.3,0.25,0.0,0.2,0.28,0.28,0.22,0.26,0.26,0.24,0.25,0.25,0.27,0.27,0.27,0.26,0.25,0.2,0.26,0.24,0.25,0.34,0.23,0.24,0.25,0.24,0.0,0.24,0.24,0.23,0.23,0.21,0.23,0.22,0.24,0.24,0.22,0.25,0.22,0.24,0.22,0.26,0.23,0.16,0.22,0.23,0.2,0.21,0.2,0.22,0.23,0.22,0.23,0.21,0.22,0.21,0.21,0.21,0.21,0.2,0.22,0.23,0.2,0.0,0.21,0.23,0.23,0.22,0.19,0.2,0.2,0.21,0.18,0.21,0.21,0.2,0.22,0.22,0.21,0.2,0.21,0.19,0.19,0.2,0.21,0.19,0.2,0.18,0.18,0.19,0.19,0.18,0.2,0.21,0.19,0.18,0.19,0.2,0.2,0.18,0.19,0.22,0.16,0.19,0.21,0.19,0.17,0.21,0.18,0.2,0.19,0.2,0.2,0.2,0.19,0.18,0.19,0.16,0.2,0.19,0.18,0.19,0.23,0.19,0.19,0.19,0.2,0.18,0.18,0.19,0.17,0.19,0.19,0.2,0.19,0.18,0.18,0.18,0.18,0.16,0.0,0.18,0.19,0.19,0.18,0.19,0.18,0.18,0.18,0.0,0.17,0.16,0.18,0.17,0.17,0.17,0.17,0.18,0.16,0.16,0.17,0.17,0.18,0.18,0.17,0.18,0.17,0.18,0.15,0.17,0.17,0.17,0.16,0.16,0.17,0.0,0.16,0.16,0.16,0.16,0.17,0.0,0.16,0.17,0.16,0.0,0.17,0.0,0.16,0.17,0.0,0.16,0.15,0.0,0.17,0.16,0.0,0.0,0.18,0.15,0.0,0.28,0.22,0.15,0.0,0.16,0.16,0.0,0.0,0.15,0.0,0.16,0.16,0.16,0.15,0.0,0.0,0.0,0.15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.23
08/03/2021,0.47,0.32,0.3,0.25,0.28,0.2,0.27,0.26,0.22,0.26,0.26,0.24,0.26,0.24,0.27,0.27,0.27,0.26,0.25,0.19,0.26,0.24,0.25,0.34,0.23,0.24,0.25,0.24,0.23,0.24,0.24,0.23,0.23,0.21,0.23,0.22,0.25,0.25,0.22,0.25,0.22,0.24,0.22,0.26,0.23,0.16,0.21,0.23,0.19,0.22,0.2,0.22,0.23,0.22,0.23,0.22,0.22,0.21,0.21,0.22,0.21,0.2,0.22,0.23,0.21,0.0,0.21,0.22,0.24,0.22,0.19,0.2,0.2,0.22,0.19,0.21,0.21,0.2,0.22,0.22,0.21,0.2,0.21,0.19,0.19,0.21,0.19,0.19,0.2,0.19,0.18,0.19,0.2,0.18,0.2,0.22,0.19,0.17,0.18,0.2,0.2,0.18,0.19,0.23,0.16,0.19,0.2,0.19,0.0,0.21,0.19,0.2,0.19,0.2,0.2,0.2,0.19,0.18,0.19,0.16,0.2,0.2,0.19,0.18,0.23,0.19,0.19,0.2,0.2,0.18,0.18,0.19,0.17,0.19,0.18,0.19,0.19,0.18,0.18,0.18,0.18,0.16,0.0,0.18,0.2,0.2,0.18,0.19,0.18,0.18,0.17,0.0,0.17,0.15,0.19,0.17,0.17,0.17,0.17,0.18,0.16,0.16,0.17,0.18,0.19,0.19,0.17,0.18,0.17,0.18,0.16,0.17,0.17,0.19,0.16,0.16,0.17,0.0,0.16,0.17,0.16,0.16,0.17,0.0,0.16,0.16,0.17,0.0,0.17,0.0,0.16,0.17,0.0,0.16,0.15,0.0,0.17,0.16,0.0,0.0,0.18,0.15,0.0,0.0,0.0,0.0,0.0,0.17,0.16,0.0,0.0,0.15,0.0,0.16,0.16,0.16,0.16,0.15,0.16,0.0,0.15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.38
08/04/2021,0.47,0.32,0.3,0.25,0.28,0.2,0.27,0.26,0.22,0.26,0.26,0.24,0.26,0.24,0.27,0.27,0.27,0.26,0.25,0.19,0.26,0.24,0.25,0.34,0.23,0.24,0.25,0.24,0.23,0.24,0.24,0.23,0.23,0.21,0.23,0.22,0.25,0.25,0.22,0.25,0.22,0.24,0.22,0.26,0.23,0.16,0.21,0.23,0.19,0.22,0.2,0.22,0.23,0.22,0.23,0.22,0.22,0.21,0.21,0.22,0.21,0.2,0.22,0.23,0.21,0.0,0.21,0.22,0.24,0.22,0.19,0.2,0.2,0.22,0.19,0.21,0.21,0.2,0.22,0.22,0.21,0.2,0.21,0.19,0.19,0.21,0.19,0.19,0.2,0.19,0.18,0.19,0.2,0.18,0.2,0.22,0.19,0.17,0.18,0.2,0.2,0.18,0.19,0.23,0.16,0.19,0.2,0.19,0.0,0.21,0.19,0.2,0.19,0.2,0.2,0.2,0.19,0.18,0.19,0.16,0.2,0.2,0.19,0.18,0.23,0.19,0.19,0.2,0.2,0.18,0.18,0.19,0.17,0.19,0.18,0.19,0.19,0.18,0.18,0.18,0.18,0.16,0.0,0.18,0.2,0.2,0.18,0.19,0.18,0.18,0.17,0.0,0.17,0.15,0.19,0.17,0.17,0.17,0.17,0.18,0.16,0.16,0.17,0.18,0.19,0.19,0.17,0.18,0.17,0.18,0.16,0.17,0.17,0.19,0.16,0.16,0.17,0.0,0.16,0.17,0.16,0.16,0.17,0.0,0.16,0.16,0.17,0.0,0.17,0.0,0.16,0.17,0.0,0.16,0.15,0.0,0.17,0.16,0.0,0.0,0.18,0.15,0.0,0.0,0.0,0.0,0.0,0.17,0.16,0.0,0.0,0.15,0.0,0.16,0.16,0.16,0.16,0.15,0.16,0.0,0.15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.38
08/05/2021,0.46,0.32,0.3,0.26,0.28,0.2,0.27,0.26,0.22,0.26,0.26,0.24,0.26,0.24,0.28,0.28,0.27,0.26,0.25,0.2,0.26,0.24,0.25,0.35,0.24,0.24,0.25,0.24,0.23,0.25,0.24,0.23,0.23,0.21,0.24,0.22,0.25,0.25,0.22,0.25,0.22,0.27,0.22,0.27,0.23,0.16,0.21,0.23,0.19,0.22,0.19,0.22,0.23,0.22,0.23,0.21,0.22,0.2,0.21,0.22,0.21,0.2,0.22,0.24,0.21,0.0,0.21,0.22,0.24,0.22,0.2,0.2,0.2,0.21,0.19,0.2,0.21,0.2,0.23,0.21,0.21,0.2,0.21,0.19,0.19,0.21,0.2,0.2,0.2,0.19,0.18,0.19,0.19,0.18,0.2,0.22,0.19,0.17,0.18,0.2,0.21,0.18,0.19,0.23,0.17,0.19,0.2,0.19,0.0,0.21,0.18,0.2,0.19,0.19,0.2,0.2,0.19,0.18,0.19,0.16,0.2,0.2,0.19,0.18,0.24,0.19,0.19,0.2,0.2,0.18,0.18,0.19,0.17,0.18,0.18,0.19,0.19,0.17,0.18,0.18,0.18,0.16,0.0,0.19,0.2,0.2,0.18,0.2,0.18,0.18,0.17,0.0,0.17,0.0,0.19,0.17,0.17,0.17,0.17,0.18,0.16,0.16,0.17,0.18,0.19,0.19,0.17,0.18,0.17,0.18,0.16,0.17,0.17,0.19,0.16,0.15,0.17,0.0,0.16,0.17,0.16,0.16,0.17,0.0,0.16,0.17,0.17,0.0,0.17,0.0,0.16,0.17,0.0,0.16,0.16,0.0,0.17,0.16,0.0,0.0,0.18,0.15,0.0,0.0,0.0,0.0,0.15,0.17,0.16,0.15,0.0,0.0,0.0,0.15,0.16,0.16,0.15,0.15,0.16,0.0,0.15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.47
08/09/2021,0.56,0.27,0.31,0.27,0.28,0.2,0.28,0.29,0.22,0.25,0.26,0.25,0.26,0.24,0.3,0.28,0.28,0.26,0.25,0.19,0.26,0.25,0.25,0.34,0.23,0.24,0.26,0.24,0.23,0.24,0.24,0.23,0.23,0.2,0.24,0.22,0.24,0.25,0.23,0.25,0.23,0.27,0.21,0.26,0.23,0.16,0.21,0.23,0.19,0.21,0.2,0.21,0.23,0.22,0.23,0.21,0.23,0.2,0.21,0.22,0.23,0.19,0.21,0.24,0.2,0.0,0.21,0.22,0.24,0.22,0.22,0.2,0.2,0.21,0.2,0.2,0.21,0.2,0.22,0.22,0.22,0.2,0.21,0.19,0.19,0.21,0.19,0.2,0.23,0.19,0.18,0.19,0.19,0.18,0.21,0.22,0.19,0.16,0.18,0.21,0.2,0.18,0.19,0.23,0.16,0.2,0.22,0.19,0.0,0.21,0.19,0.2,0.2,0.19,0.2,0.2,0.2,0.18,0.19,0.15,0.21,0.19,0.18,0.18,0.22,0.19,0.2,0.2,0.2,0.18,0.18,0.19,0.18,0.17,0.19,0.2,0.21,0.18,0.18,0.18,0.19,0.16,0.0,0.19,0.21,0.2,0.17,0.2,0.17,0.18,0.17,0.0,0.16,0.15,0.19,0.17,0.19,0.18,0.2,0.18,0.16,0.15,0.15,0.18,0.19,0.19,0.17,0.19,0.17,0.18,0.15,0.16,0.17,0.19,0.16,0.0,0.17,0.0,0.0,0.17,0.16,0.17,0.15,0.0,0.15,0.17,0.16,0.0,0.17,0.0,0.16,0.18,0.0,0.16,0.15,0.0,0.17,0.17,0.0,0.15,0.17,0.16,0.0,0.0,0.0,0.0,0.15,0.16,0.16,0.15,0.0,0.0,0.0,0.15,0.16,0.16,0.16,0.0,0.15,0.0,0.15,0.16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.67
08/10/2021,0.55,0.27,0.3,0.27,0.0,0.2,0.27,0.29,0.22,0.25,0.26,0.24,0.25,0.24,0.3,0.27,0.27,0.26,0.25,0.2,0.25,0.25,0.26,0.36,0.23,0.24,0.26,0.24,0.0,0.24,0.25,0.23,0.23,0.2,0.24,0.21,0.24,0.25,0.23,0.25,0.23,0.28,0.21,0.26,0.23,0.15,0.2,0.23,0.19,0.21,0.2,0.21,0.22,0.22,0.23,0.21,0.23,0.19,0.22,0.22,0.23,0.19,0.21,0.24,0.2,0.0,0.21,0.23,0.23,0.22,0.22,0.2,0.19,0.21,0.2,0.2,0.22,0.2,0.22,0.22,0.22,0.2,0.21,0.19,0.19,0.21,0.18,0.18,0.23,0.19,0.19,0.18,0.19,0.18,0.22,0.22,0.19,0.16,0.18,0.21,0.21,0.19,0.2,0.23,0.16,0.2,0.21,0.19,0.0,0.2,0.18,0.2,0.2,0.19,0.2,0.2,0.2,0.18,0.19,0.15,0.2,0.18,0.18,0.18,0.22,0.18,0.2,0.2,0.2,0.18,0.19,0.19,0.18,0.18,0.19,0.2,0.2,0.16,0.18,0.18,0.19,0.17,0.0,0.19,0.21,0.2,0.16,0.2,0.16,0.18,0.17,0.0,0.16,0.16,0.19,0.17,0.19,0.19,0.2,0.18,0.16,0.15,0.15,0.18,0.19,0.18,0.0,0.19,0.16,0.18,0.16,0.16,0.16,0.19,0.16,0.0,0.17,0.0,0.0,0.17,0.16,0.17,0.15,0.0,0.16,0.17,0.16,0.0,0.16,0.0,0.15,0.18,0.0,0.16,0.15,0.0,0.17,0.17,0.0,0.15,0.18,0.16,0.0,0.27,0.23,0.0,0.15,0.16,0.16,0.15,0.0,0.15,0.0,0.16,0.16,0.16,0.16,0.0,0.15,0.0,0.15,0.15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.510000000000005
08/11/2021,0.55,0.27,0.3,0.27,0.0,0.2,0.27,0.29,0.22,0.25,0.26,0.24,0.25,0.24,0.3,0.27,0.27,0.26,0.25,0.2,0.25,0.25,0.26,0.36,0.23,0.24,0.26,0.24,0.0,0.24,0.25,0.23,0.23,0.2,0.24,0.21,0.24,0.25,0.23,0.25,0.23,0.28,0.21,0.26,0.23,0.15,0.2,0.23,0.19,0.21,0.2,0.21,0.22,0.22,0.23,0.21,0.23,0.19,0.22,0.22,0.23,0.19,0.21,0.24,0.2,0.0,0.21,0.23,0.23,0.22,0.22,0.2,0.19,0.21,0.2,0.2,0.22,0.2,0.22,0.22,0.22,0.2,0.21,0.19,0.19,0.21,0.18,0.18,0.23,0.19,0.19,0.18,0.19,0.18,0.22,0.22,0.19,0.16,0.18,0.21,0.21,0.19,0.2,0.23,0.16,0.2,0.21,0.19,0.0,0.2,0.18,0.2,0.2,0.19,0.2,0.2,0.2,0.18,0.19,0.15,0.2,0.18,0.18,0.18,0.22,0.18,0.2,0.2,0.2,0.18,0.19,0.19,0.18,0.18,0.19,0.2,0.2,0.16,0.18,0.18,0.19,0.17,0.0,0.19,0.21,0.2,0.16,0.2,0.16,0.18,0.17,0.0,0.16,0.16,0.19,0.17,0.19,0.19,0.2,0.18,0.16,0.15,0.15,0.18,0.19,0.18,0.0,0.19,0.16,0.18,0.16,0.16,0.16,0.19,0.16,0.0,0.17,0.0,0.0,0.17,0.16,0.17,0.15,0.0,0.16,0.17,0.16,0.0,0.16,0.0,0.15,0.18,0.0,0.16,0.15,0.0,0.17,0.17,0.0,0.15,0.18,0.16,0.0,0.27,0.23,0.0,0.15,0.16,0.16,0.15,0.0,0.15,0.0,0.16,0.16,0.16,0.16,0.0,0.15,0.0,0.15,0.15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.510000000000005
