,Cash Equivalent,HYG,HYLB,345370CW,345397XL,126307BA,674599CG,67054KAA,501797AL,577081AU,893647BE,410345AL,88033GCY,87264AAU,911365BE,88167AAD,071734AK,097751BT,143658BN,165167DF,527298BN,780153BG,15135BAW,23918KAS,037411BF,28470RAK,629571AB,013092AA,404121AG,80874YBE,337932AC,125581GQ,205768AS,02005NBF,526057CD,852061AS,023771S5,26885BAC,35671DBL,81761LAB,90353TAC,92564RAB,1248EPBT,212015AN,552953CC,247361ZX,46284VAC,98313RAC,U82764AR,131347CN,50077LAD,64110LAJ,12543DBF,817565CD,22819KAB,63938CAF,629377CC,030981AL,85172FAL,66977WAR,87612BBJ,91740PAC,25470XAJ,98954NAA,013817AW,23311VAG,626717AJ,38869AAA,74840LAB,20338QAB,810186AP,983793AG,00164VAE,912909AM,26884LAF,48666KAR,85207UAH,88947EAS,85207UAF,12517MAA,035287AG,058498AV,444454AF,958102AM,038522AQ,55303XAC,163851AD,527288BE,55354GAF,81211KAU,92343EAL,983130AV,86765LAL,500605AH,228701AF,29260FAD,05508RAE,12429TAD,1248EPBM,83001AAB,871503AU,62913TAM,125581GW,20337YAA,031652BK,91911KAP,984121CQ,92553PBD,85571BAL,1248EPBX,085770AA,382550BF,86723CAF,92840VAF,12008RAM,156700BA,25272KAW,829259AW,91831AAC,745867AX,81180WAZ,75508EAA,88167AAC,84762LAU,70014LAA,THC 4.875 01/01/26 144A,URI 5.875 09/15/26,HCA 5.875 05/01/23,BHCCN 6.125 04/15/25 144A,S 7.875 09/15/23,BWY 5.5 04/15/24 144A,575385AE,00109LAA,707569AV,State Street Instl Trs Pls MMkt Premier,Ford Motor Company 9%,Bombardier Inc. 7.88%,NGL Energy Partners LP/ NGL Energy Finance Corp 6.12%,Ford Motor Credit Company LLC 4.13%,"CSC Holdings, LLC 5.75%",Altice France S.A 7.38%,L Brands Inc 6.88%,"Mattel, Inc. 6.2%","TransDigm, Inc. 6.25%",Tenet Healthcare Corporation 4.88%,Hanesbrands Inc. 4.88%,"T-Mobile USA, Inc. 4.5%",Bausch Health Companies Inc 6.25%,Teva Pharmaceutical Finance Netherlands III B.V. 2.8%,"United Rentals (North America), Inc. 5.88%",Chesapeake Energy Corporation 5.5%,"Level 3 Financing, Inc. 4.62%",Centene Corporation 3%,Davita Inc 4.62%,Carnival Corporation 5.75%,Royal Caribbean Group 5.5%,Apa Corporation 4.25%,Caesars Entertainment Inc New 8.12%,ADT Security Corporation 4.12%,Masonite International Corporation 3.5%,"Penn National Gaming, Inc. 4.12%",Albertsons Cos Inc / Safeway Inc / New Albertsons LP / Albertsons LLC 7.5%,HCA Inc. 5.88%,"Scientific Games International, Inc. 7.25%",FirstEnergy Corp. 7.38%,"CIT Group, Inc. 5%","Nabors Industries, Ltd. 7.5%","Comstock Resources, Inc. 6.75%",Lennar Corporation 4.75%,Ally Financial Inc. 5.75%,"Sprint Communications, Inc. 6%","American Airlines, Inc. 11.75%",Equitrans Midstream Corporation 5.5%,Freeport-Mcmoran Inc 4.55%,Uber Technologies Inc 8%,Vici Properties Inc 4.62%,Service Properties Trust 5.5%,MGM Resorts International 6%,"CCO Holdings, LLC/ CCO Holdings Capital Corp. 5.12%",Delta Air Lines Inc 7%,"Continental Resources, Inc. 3.8%",Iron Mountain Incorporated 4.88%,Sirius Xm Radio Inc 4.62%,Wynn Macau Ltd 4.88%,Calpine Corporation 5.12%,Kraft Heinz Foods Company 3%,"Netflix, Inc. 5.5%",Service Corporation International 4.62%,Community Health Systems Incorporated 6.62%,Navient Corporation 6.5%,Crown Americas LLC / Crown Americas Capital Corp. V 4.25%,"NRG Energy, Inc. 6.62%","Amerigas Partners, L.P./Amerigas Finance Corp. 5.75%",OneMain Financial Corporation 5.62%,NOVA Chemicals Corporation 5.25%,USA Compression Partners LP / USA Compression Finance Corp 6.88%,Targa Resources Partners LP/Targa Resources Finance Corporation 5.88%,Ziggo B.V. 5.5%,DISH DBS Corporation 5.88%,"DCP Midstream Operating, LP 5.38%",Murphy Oil Corporation 5.75%,Howmet Aerospace Inc 5.12%,Graphic Packaging International LLC 4.75%,Quicken Loans Inc. 5.25%,The Scotts Miracle-Gro Company 5.25%,"XPO Logistics, Inc. 6.75%",CommScope Holdings Co Inc 5.5%,AMC Networks Inc 4.75%,United States Steel Corporation 6.88%,EQT Corporation 3.9%,KB Home 7.5%,Cemig Geracao e Transmissao S.A. 9.25%,"T-Mobile US, Inc. 7.12%","T-Mobile US, Inc. 7.88%",Toll Brothers Finance Corp. 4.88%,Hughes Satellite Systems Corporation 6.62%,Ball Corporation 4.88%,Western Digital Corp. 4.75%,MGM Growth Properties Operating Partnership LP/ MGP Escrow Co Issuer Inc. 5,"Wynn Las Vegas, LLC/Wynn Las Vegas Capital Corp. 5.5%","Aramark Services, Inc. 5%",MSCI Inc. 5.38%,"Verisign, Inc. 4.75%",Sealed Air Corporation 5.25%,The Chemours Company LLC 7%,Endeavor Energy Resources LP and EER Finance Inc. 5.5%,CrownRock LP 5.62%,"B&G Foods, Inc. 5.25%",Sunoco LP / Sunoco Finance Corp 5.5%,Koppers Incorporated 6%,Nortonlifelock Inc 5%,BWAY Holding Company 5.5%,Six Flags Entertainment Corp. 4.88%,"CIT Group, Inc. 5.25%",CommScope Technologies LLC 6%,"Amkor Technology, Inc. 6.62%",Bausch Health Companies Inc 9%,Berry Global Inc 4.88%,"Starwood Property Trust, Inc. 4.75%",Viacom Inc 5.88%,"CCO Holdings, LLC/ CCO Holdings Capital Corp. 5%",Xerox Corporation 4.38%,Vistra Operations Co LLC 5%,"Builders Firstsource, Inc. 6.75%",Lumen Technologies Inc 7.5%,"Sinclair Television Group, Inc. 5.12%",Bausch Health Companies Inc 6.12%,Pulte Group Inc 5%,Seagate HDD Cayman 4.09%,Rayonier A.M. Prods Inc 5.5%,Park Aerospace Holdings Limited 5.25%,Cash,n/a,SUM
07/23/2021,5.67,4.83,4.64,2.19,1.68,1.64,0.0,1.47,1.37,1.32,1.25,1.22,1.23,1.22,1.18,1.17,1.18,2.08,1.08,1.1,1.1,1.07,1.09,1.09,1.03,1.01,0.93,1.0,1.0,0.99,0.97,0.96,0.9,0.9,0.9,0.89,0.86,0.84,0.84,0.83,0.83,0.83,0.82,0.81,0.83,0.82,0.81,0.79,0.8,0.79,0.77,0.77,0.74,0.74,0.73,0.73,0.72,0.67,0.66,0.65,0.63,0.62,0.62,0.62,0.61,0.61,0.6,0.6,0.58,0.57,0.57,0.57,0.57,0.56,0.54,0.54,0.46,0.45,0.45,0.46,0.0,0.44,0.45,0.44,0.42,0.43,0.42,0.0,0.42,0.42,0.42,0.42,0.41,0.41,0.41,0.4,0.41,0.4,0.0,0.4,0.4,1.69,0.37,0.34,0.29,0.29,0.28,0.29,0.29,0.29,0.29,0.0,0.0,0.28,0.25,0.23,0.0,0.2,0.2,0.19,0.16,0.14,0.08,0.0,0.05,0.0,0.0,0.0,0.0,0.0,0.0,1.01,1.01,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
07/26/2021,5.4,4.85,4.65,2.19,1.69,1.66,0.0,1.46,1.37,1.32,1.25,1.23,1.23,1.22,1.18,1.18,1.19,2.11,1.09,1.11,1.1,1.09,1.1,1.1,1.03,1.02,0.95,1.0,1.0,0.99,0.97,0.96,0.91,0.9,0.91,0.89,0.88,0.85,0.84,0.83,0.84,0.83,0.82,0.82,0.83,0.82,0.81,0.79,0.8,0.79,0.77,0.77,0.74,0.74,0.73,0.73,0.72,0.67,0.66,0.65,0.63,0.63,0.62,0.62,0.61,0.61,0.61,0.6,0.58,0.57,0.57,0.57,0.57,0.56,0.55,0.54,0.46,0.45,0.45,0.46,0.0,0.44,0.45,0.44,0.42,0.43,0.42,0.0,0.42,0.42,0.42,0.43,0.41,0.41,0.41,0.41,0.41,0.4,0.0,0.4,0.4,1.71,0.37,0.34,0.29,0.29,0.28,0.29,0.29,0.29,0.29,0.0,0.0,0.28,0.25,0.23,0.0,0.2,0.2,0.19,0.16,0.14,0.0,0.0,0.05,0.0,0.0,0.0,0.0,0.0,0.0,1.01,1.01,1.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
07/27/2021,5.44,4.85,4.66,2.2,1.68,1.66,0.0,1.46,1.37,1.32,1.25,1.23,1.23,1.22,1.18,1.18,1.19,2.12,1.09,1.11,1.1,1.09,1.1,1.09,1.04,1.02,0.95,1.0,0.99,0.99,0.97,0.96,0.91,0.9,0.9,0.89,0.88,0.85,0.84,0.83,0.84,0.83,0.82,0.81,0.83,0.82,0.81,0.79,0.8,0.79,0.77,0.77,0.73,0.74,0.73,0.73,0.72,0.67,0.66,0.65,0.63,0.63,0.62,0.62,0.61,0.61,0.61,0.6,0.58,0.57,0.57,0.57,0.57,0.56,0.55,0.54,0.46,0.45,0.45,0.46,0.0,0.44,0.45,0.44,0.42,0.43,0.42,0.0,0.42,0.42,0.42,0.43,0.41,0.41,0.41,0.41,0.41,0.4,0.0,0.4,0.4,1.71,0.37,0.34,0.29,0.29,0.28,0.29,0.29,0.28,0.29,0.0,0.0,0.28,0.25,0.23,0.0,0.2,0.2,0.19,0.16,0.14,0.0,0.0,0.05,0.0,0.0,0.0,0.0,0.0,0.0,1.01,1.01,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
07/28/2021,0.0,4.85,4.66,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.75,2.2,2.12,1.71,1.68,1.66,1.46,1.37,1.32,1.25,1.23,1.23,1.22,1.19,1.18,1.18,1.11,1.1,1.1,1.09,1.09,1.09,1.04,1.02,1.01,1.01,1.0,1.0,0.99,0.99,0.97,0.96,0.95,0.91,0.9,0.9,0.89,0.88,0.85,0.84,0.84,0.83,0.83,0.83,0.82,0.82,0.81,0.81,0.8,0.79,0.79,0.77,0.77,0.74,0.73,0.73,0.73,0.72,0.67,0.66,0.65,0.63,0.63,0.62,0.62,0.61,0.61,0.61,0.6,0.58,0.57,0.57,0.57,0.57,0.56,0.55,0.54,0.46,0.46,0.45,0.45,0.45,0.44,0.44,0.43,0.43,0.42,0.42,0.42,0.42,0.42,0.41,0.41,0.41,0.41,0.41,0.4,0.4,0.4,0.37,0.34,0.29,0.29,0.29,0.29,0.29,0.28,0.28,0.28,0.25,0.23,0.2,0.2,0.19,0.16,0.14,0.05,-1.28,0.0,100.03
07/29/2021,5.47,4.84,4.65,2.2,1.69,1.66,0.0,1.46,1.37,1.33,1.25,1.23,1.23,1.22,1.17,1.18,1.19,2.11,1.08,1.11,1.1,1.09,1.1,1.09,1.03,1.01,0.94,1.0,1.0,0.99,0.98,0.96,0.92,0.9,0.9,0.89,0.88,0.85,0.84,0.83,0.83,0.84,0.82,0.82,0.82,0.82,0.81,0.8,0.8,0.79,0.77,0.77,0.74,0.74,0.73,0.73,0.72,0.67,0.66,0.65,0.63,0.63,0.62,0.62,0.61,0.61,0.61,0.6,0.58,0.57,0.57,0.57,0.57,0.56,0.55,0.54,0.46,0.45,0.45,0.46,0.0,0.44,0.45,0.44,0.42,0.43,0.42,0.0,0.42,0.42,0.42,0.42,0.41,0.41,0.41,0.41,0.41,0.4,0.0,0.4,0.4,1.69,0.37,0.34,0.29,0.29,0.28,0.29,0.29,0.28,0.29,0.0,0.0,0.28,0.25,0.23,0.0,0.2,0.2,0.19,0.16,0.14,0.0,0.0,0.05,0.0,0.0,0.0,0.0,0.0,0.0,1.02,1.01,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
07/30/2021,5.46,4.84,4.65,2.2,1.69,1.66,0.0,1.47,1.37,1.33,1.25,1.23,1.23,1.22,1.17,1.18,1.19,2.11,1.08,1.11,1.11,1.08,1.1,1.09,1.03,1.01,0.93,1.0,1.0,0.98,0.98,0.96,0.92,0.9,0.91,0.89,0.88,0.84,0.84,0.83,0.84,0.84,0.82,0.82,0.82,0.82,0.81,0.8,0.8,0.79,0.77,0.77,0.74,0.74,0.73,0.73,0.73,0.68,0.66,0.64,0.63,0.63,0.62,0.62,0.61,0.61,0.61,0.6,0.58,0.57,0.58,0.57,0.57,0.56,0.55,0.54,0.46,0.45,0.45,0.46,0.0,0.44,0.45,0.44,0.42,0.43,0.42,0.0,0.42,0.42,0.42,0.42,0.41,0.41,0.41,0.41,0.41,0.4,0.0,0.4,0.4,1.66,0.37,0.34,0.29,0.29,0.28,0.29,0.29,0.29,0.29,0.0,0.0,0.28,0.25,0.23,0.0,0.2,0.2,0.19,0.16,0.14,0.0,0.0,0.05,0.0,0.0,0.0,0.0,0.0,0.0,1.02,1.02,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
08/02/2021,5.48,4.85,4.66,2.2,1.69,1.65,0.0,1.46,1.36,1.33,1.25,1.23,1.23,1.22,1.17,1.18,1.19,2.1,1.08,1.11,1.1,1.08,1.1,1.1,1.03,1.01,0.96,1.0,0.99,0.99,0.98,0.96,0.92,0.9,0.91,0.89,0.88,0.84,0.85,0.83,0.83,0.84,0.82,0.82,0.82,0.82,0.81,0.79,0.8,0.79,0.77,0.77,0.73,0.74,0.73,0.73,0.73,0.67,0.66,0.65,0.63,0.62,0.62,0.62,0.61,0.61,0.61,0.6,0.58,0.57,0.57,0.57,0.57,0.56,0.55,0.54,0.46,0.45,0.45,0.46,0.0,0.44,0.45,0.44,0.42,0.43,0.42,0.0,0.42,0.42,0.42,0.42,0.41,0.41,0.41,0.41,0.41,0.4,0.0,0.4,0.4,1.67,0.37,0.34,0.29,0.29,0.28,0.29,0.29,0.29,0.29,0.0,0.0,0.28,0.25,0.23,0.0,0.2,0.2,0.19,0.16,0.14,0.0,0.0,0.05,0.0,0.0,0.0,0.0,0.0,0.0,1.02,1.02,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
08/05/2021,5.55,4.82,4.63,2.2,1.69,1.65,0.0,1.46,1.36,1.34,1.25,1.23,1.23,1.22,1.17,1.18,1.18,2.11,1.07,1.11,1.1,1.07,1.1,1.09,1.04,1.01,0.96,1.0,0.99,0.99,0.98,0.96,0.92,0.9,0.91,0.89,0.88,0.85,0.85,0.83,0.83,0.84,0.82,0.82,0.82,0.82,0.81,0.79,0.8,0.79,0.77,0.77,0.73,0.74,0.73,0.73,0.72,0.67,0.66,0.65,0.63,0.63,0.62,0.62,0.61,0.61,0.61,0.6,0.58,0.57,0.58,0.57,0.57,0.56,0.55,0.54,0.46,0.45,0.45,0.46,0.0,0.44,0.45,0.44,0.42,0.43,0.42,0.0,0.42,0.42,0.42,0.42,0.41,0.41,0.41,0.41,0.41,0.4,0.0,0.4,0.4,1.66,0.37,0.34,0.29,0.29,0.28,0.28,0.29,0.29,0.29,0.0,0.0,0.28,0.25,0.23,0.0,0.2,0.2,0.19,0.16,0.14,0.0,0.0,0.05,0.0,0.0,0.0,0.0,0.0,0.0,1.02,1.02,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
08/06/2021,5.97,4.83,4.64,2.2,1.69,1.65,0.0,1.46,1.36,1.34,1.25,1.23,1.23,1.22,1.17,1.18,1.17,2.11,1.06,1.1,1.1,1.06,1.1,1.09,1.03,1.01,0.95,0.99,0.99,0.99,0.98,0.96,0.91,0.9,0.91,0.89,0.88,0.84,0.85,0.83,0.84,0.83,0.82,0.82,0.82,0.49,0.81,0.79,0.8,0.79,0.77,0.77,0.74,0.74,0.73,0.73,0.73,0.68,0.66,0.64,0.63,0.63,0.62,0.62,0.61,0.61,0.61,0.6,0.58,0.57,0.57,0.57,0.57,0.56,0.55,0.54,0.46,0.45,0.45,0.46,0.0,0.44,0.45,0.44,0.42,0.43,0.42,0.0,0.42,0.42,0.42,0.42,0.41,0.41,0.41,0.41,0.41,0.4,0.0,0.4,0.4,1.63,0.37,0.34,0.29,0.29,0.29,0.29,0.29,0.29,0.29,0.0,0.0,0.28,0.25,0.23,0.0,0.2,0.19,0.19,0.16,0.14,0.0,0.0,0.05,0.0,0.0,0.0,0.0,0.0,0.0,1.02,1.02,0.99,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
08/09/2021,0.0,4.84,4.64,2.2,1.69,1.66,0.0,1.46,1.36,1.35,1.25,1.23,1.23,1.22,1.18,1.18,1.17,2.13,1.06,1.1,1.1,1.06,1.1,1.1,1.03,1.01,0.91,1.0,1.0,0.99,0.98,0.96,0.92,0.9,0.91,0.89,0.87,0.84,0.85,0.82,0.84,0.84,0.82,0.82,0.83,0.48,0.81,0.79,0.8,0.79,0.77,0.77,0.74,0.74,0.73,0.73,0.73,0.68,0.66,0.64,0.63,0.63,0.62,0.62,0.61,0.61,0.61,0.6,0.58,0.57,0.57,0.57,0.57,0.56,0.55,0.54,0.46,0.45,0.45,0.46,0.0,0.44,0.45,0.44,0.42,0.43,0.42,0.0,0.42,0.42,0.42,0.42,0.41,0.41,0.41,0.41,0.41,0.4,0.0,0.4,0.4,1.6,0.37,0.34,0.29,0.29,0.29,0.29,0.29,0.29,0.29,0.0,0.0,0.28,0.25,0.23,0.0,0.2,0.19,0.19,0.16,0.14,0.0,0.0,0.05,0.0,0.0,0.0,0.0,0.0,0.0,1.02,1.02,0.99,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.95,100.0
