,600519.SS,300750.SZ,000858.SZ,600036.SS,601318.SS,300760.SZ,601888.SS,603288.SS,000001.SZ,601012.SS,600276.SS,601166.SS,603259.SS,002594.SZ,600809.SS,600900.SS,300015.SZ,000568.SZ,600309.SS,601398.SS,300059.SZ,002475.SZ,002714.SZ,002304.SZ,002352.SZ,300122.SZ,600000.SS,601919.SS,603501.SS,600436.SS,600030.SS,000333.SZ,000002.SZ,600031.SS,002142.SZ,601288.SS,600887.SS,601816.SS,002812.SZ,300124.SZ,000725.SZ,601601.SS,300014.SZ,600438.SS,601899.SS,601328.SS,300782.SZ,002493.SZ,600019.SS,600690.SS,600104.SS,600585.SS,300274.SZ,000661.SZ,600016.SS,601818.SS,600346.SS,000538.SZ,300433.SZ,600048.SS,600196.SS,300759.SZ,002241.SZ,601668.SS,002230.SZ,600999.SS,600028.SS,600703.SS,002311.SZ,002027.SZ,601658.SS,002460.SZ,603799.SS,002371.SZ,600893.SS,600763.SS,601066.SS,600406.SS,601088.SS,601211.SS,000063.SZ,603986.SS,300413.SZ,600745.SS,000338.SZ,601225.SS,000625.SZ,601229.SS,601688.SS,300454.SZ,601100.SS,601857.SS,600837.SS,002129.SZ,601009.SS,603486.SS,600660.SS,601988.SS,600919.SS,601390.SS,600588.SS,000166.SZ,000100.SZ,601169.SS,688208.SS,300601.SZ,688208.SS.1,600570.SS,601336.SS,603659.SS,603806.SS,600132.SS,002709.SZ,601633.SS,000895.SZ,000596.SZ,300142.SZ,002821.SZ,601628.SS,002049.SZ,001979.SZ,300498.SZ,601138.SS,300595.SZ,603993.SS,000776.SZ,600926.SS,000799.SZ,688208.SS.2,002050.SZ,002841.SZ,600989.SS,600600.SS,600741.SS,000963.SZ,600015.SS,603899.SS,300347.SZ,300408.SZ,300628.SZ,002001.SZ,601901.SS,603833.SS,002601.SZ,600111.SS,002736.SZ,600460.SS,603882.SS,688208.SS.3,600547.SS,601877.SS,600010.SS,600779.SS,300529.SZ,603369.SS,002007.SZ,300496.SZ,000786.SZ,600886.SS,600584.SS,601600.SS,603737.SS,002568.SZ,601916.SS,002064.SZ,600426.SS,000876.SZ,601788.SS,601939.SS,002648.SZ,002791.SZ,000157.SZ,000069.SZ,000938.SZ,000301.SZ,002600.SZ,600845.SS,600176.SS,002236.SZ,300316.SZ,601799.SS,600029.SS,002414.SZ,601377.SS,601669.SS,300033.SZ,601966.SS,601360.SS,600958.SS,688208.SS.4,300661.SZ,300003.SZ,600115.SS,002938.SZ,603160.SS,600143.SS,601618.SS,601233.SS,002074.SZ,600061.SS,601766.SS,002459.SZ,600050.SS,688111.SS,300896.SZ,601985.SS,603392.SS,688012.SS,600089.SS,300207.SZ,603290.SS,300999.SZ,300751.SZ,601689.SS,601155.SS,601117.SS,002920.SZ,601865.SS,300223.SZ,002202.SZ,300450.SZ,002013.SZ,601727.SS,688008.SS,603185.SS,601615.SS,688126.SS,600918.SS,002080.SZ,600875.SS,688036.SS,n/a,000723.SZ,300390.SZ,300763.SZ,603260.SS,600039.SS,600188.SS,600011.SS,600233.SS,002120.SZ,002602.SZ,002180.SZ,000733.SZ,601111.SS,002555.SZ,600383.SS,002916.SZ,SUM
12/16/2021,5.46,3.6,1.94,2.36,1.19,0.94,0.89,0.89,0.77,1.01,0.7,0.86,0.82,1.26,0.86,1.04,0.5,0.78,0.67,0.65,0.81,0.61,0.62,0.59,0.66,0.44,0.57,0.5,0.57,0.6,0.58,0.0,0.42,0.43,0.54,0.49,0.52,0.42,0.5,0.39,0.41,0.42,0.62,0.46,0.46,0.41,0.28,0.39,0.35,0.4,0.36,0.35,0.52,0.25,0.31,0.31,0.28,0.25,0.23,0.39,0.24,0.26,0.4,0.45,0.27,0.29,0.3,0.34,0.24,0.23,0.31,0.42,0.37,0.45,0.39,0.14,0.28,0.52,0.31,0.29,0.27,0.25,0.18,0.36,0.27,0.28,0.25,0.23,0.27,0.18,0.23,0.24,0.26,0.3,0.21,0.18,0.2,0.24,0.2,0.25,0.24,0.26,0.19,0.21,0.0,0.17,0.0,0.19,0.18,0.28,0.27,0.16,0.29,0.29,0.19,0.23,0.23,0.27,0.18,0.31,0.22,0.24,0.18,0.0,0.24,0.33,0.18,0.17,0.0,0.2,0.0,0.23,0.16,0.19,0.13,0.16,0.0,0.0,0.17,0.15,0.17,0.14,0.14,0.15,0.45,0.16,0.18,0.0,0.0,0.15,0.25,0.3,0.15,0.0,0.16,0.0,0.15,0.0,0.16,0.0,0.16,0.0,0.0,0.0,0.0,0.14,0.15,0.0,0.0,0.15,0.0,0.0,0.0,0.17,0.18,0.0,0.16,0.16,0.16,0.2,0.14,0.15,0.0,0.14,0.24,0.15,0.0,0.19,0.21,0.0,0.18,0.0,0.0,0.13,0.0,0.0,0.16,0.0,0.18,0.0,0.34,0.3,0.27,0.22,0.26,0.23,0.22,0.21,0.19,0.2,0.0,0.2,0.16,0.16,0.16,0.16,0.15,0.14,0.15,0.14,0.14,0.15,0.14,0.0,0.0,0.0,0.13,0.13,0.14,0.0,0.23,0.18,0.15,0.15,0.14,0.14,0.14,0.14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,75.50999999999999
12/17/2021,5.46,3.6,1.94,2.36,1.19,0.94,0.89,0.89,0.77,1.01,0.7,0.86,0.82,1.26,0.86,1.04,0.5,0.78,0.67,0.65,0.81,0.61,0.62,0.59,0.66,0.44,0.57,0.5,0.57,0.6,0.58,0.0,0.42,0.43,0.54,0.49,0.52,0.42,0.5,0.39,0.41,0.42,0.62,0.46,0.46,0.41,0.28,0.39,0.35,0.4,0.36,0.35,0.52,0.25,0.31,0.31,0.28,0.25,0.23,0.39,0.24,0.26,0.4,0.45,0.27,0.29,0.3,0.34,0.24,0.23,0.31,0.42,0.37,0.45,0.39,0.14,0.28,0.52,0.31,0.29,0.27,0.25,0.18,0.36,0.27,0.28,0.25,0.23,0.27,0.18,0.23,0.24,0.26,0.3,0.21,0.18,0.2,0.24,0.2,0.25,0.24,0.26,0.19,0.21,0.0,0.17,0.0,0.19,0.18,0.28,0.27,0.16,0.29,0.29,0.19,0.23,0.23,0.27,0.18,0.31,0.22,0.24,0.18,0.0,0.24,0.33,0.18,0.17,0.0,0.2,0.0,0.23,0.16,0.19,0.13,0.16,0.0,0.0,0.17,0.15,0.17,0.14,0.14,0.15,0.45,0.16,0.18,0.0,0.0,0.15,0.25,0.3,0.15,0.0,0.16,0.0,0.15,0.0,0.16,0.0,0.16,0.0,0.0,0.0,0.0,0.14,0.15,0.0,0.0,0.15,0.0,0.0,0.0,0.17,0.18,0.0,0.16,0.16,0.16,0.2,0.14,0.15,0.0,0.14,0.24,0.15,0.0,0.19,0.21,0.0,0.18,0.0,0.0,0.13,0.0,0.0,0.16,0.0,0.18,0.0,0.34,0.3,0.27,0.22,0.26,0.23,0.22,0.21,0.19,0.2,0.0,0.2,0.16,0.16,0.16,0.16,0.15,0.14,0.15,0.14,0.14,0.15,0.14,0.0,0.0,0.0,0.13,0.13,0.14,0.0,0.23,0.18,0.15,0.15,0.14,0.14,0.14,0.14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,75.50999999999999
12/20/2021,5.46,3.6,1.94,2.36,1.19,0.94,0.89,0.89,0.77,1.01,0.7,0.86,0.82,1.26,0.86,1.04,0.5,0.78,0.67,0.65,0.81,0.61,0.62,0.59,0.66,0.44,0.57,0.5,0.57,0.6,0.58,0.0,0.42,0.43,0.54,0.49,0.52,0.42,0.5,0.39,0.41,0.42,0.62,0.46,0.46,0.41,0.28,0.39,0.35,0.4,0.36,0.35,0.52,0.25,0.31,0.31,0.28,0.25,0.23,0.39,0.24,0.26,0.4,0.45,0.27,0.29,0.3,0.34,0.24,0.23,0.31,0.42,0.37,0.45,0.39,0.14,0.28,0.52,0.31,0.29,0.27,0.25,0.18,0.36,0.27,0.28,0.25,0.23,0.27,0.18,0.23,0.24,0.26,0.3,0.21,0.18,0.2,0.24,0.2,0.25,0.24,0.26,0.19,0.21,0.0,0.17,0.0,0.19,0.18,0.28,0.27,0.16,0.29,0.29,0.19,0.23,0.23,0.27,0.18,0.31,0.22,0.24,0.18,0.0,0.24,0.33,0.18,0.17,0.0,0.2,0.0,0.23,0.16,0.19,0.13,0.16,0.0,0.0,0.17,0.15,0.17,0.14,0.14,0.15,0.45,0.16,0.18,0.0,0.0,0.15,0.25,0.3,0.15,0.0,0.16,0.0,0.15,0.0,0.16,0.0,0.16,0.0,0.0,0.0,0.0,0.14,0.15,0.0,0.0,0.15,0.0,0.0,0.0,0.17,0.18,0.0,0.16,0.16,0.16,0.2,0.14,0.15,0.0,0.14,0.24,0.15,0.0,0.19,0.21,0.0,0.18,0.0,0.0,0.13,0.0,0.0,0.16,0.0,0.18,0.0,0.34,0.3,0.27,0.22,0.26,0.23,0.22,0.21,0.19,0.2,0.0,0.2,0.16,0.16,0.16,0.16,0.15,0.14,0.15,0.14,0.14,0.15,0.14,0.0,0.0,0.0,0.13,0.13,0.14,0.0,0.23,0.18,0.15,0.15,0.14,0.14,0.14,0.14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,75.50999999999999
12/21/2021,5.89,3.38,2.09,2.34,1.23,0.97,0.97,0.85,0.76,1.02,0.71,0.9,0.71,1.15,0.84,1.11,0.52,0.84,0.72,0.64,0.89,0.72,0.56,0.6,0.69,0.46,0.56,0.52,0.59,0.61,0.63,0.0,0.43,0.45,0.59,0.48,0.58,0.42,0.51,0.42,0.42,0.42,0.57,0.47,0.46,0.39,0.25,0.41,0.37,0.41,0.37,0.35,0.49,0.27,0.31,0.3,0.29,0.26,0.27,0.38,0.23,0.23,0.43,0.46,0.27,0.29,0.3,0.0,0.25,0.26,0.31,0.39,0.32,0.43,0.38,0.14,0.29,0.55,0.33,0.29,0.28,0.25,0.22,0.38,0.28,0.29,0.24,0.23,0.28,0.19,0.25,0.24,0.26,0.3,0.2,0.16,0.2,0.24,0.19,0.26,0.26,0.26,0.2,0.21,0.0,0.17,0.0,0.2,0.18,0.26,0.28,0.17,0.26,0.26,0.19,0.25,0.23,0.24,0.18,0.29,0.22,0.25,0.19,0.0,0.22,0.33,0.18,0.17,0.0,0.19,0.0,0.24,0.16,0.19,0.14,0.16,0.0,0.0,0.18,0.17,0.16,0.14,0.15,0.15,0.4,0.16,0.17,0.0,0.0,0.15,0.26,0.31,0.14,0.0,0.16,0.0,0.14,0.0,0.18,0.0,0.18,0.0,0.0,0.0,0.0,0.15,0.14,0.13,0.0,0.15,0.0,0.0,0.0,0.14,0.17,0.0,0.15,0.16,0.17,0.21,0.13,0.15,0.0,0.15,0.28,0.16,0.0,0.19,0.22,0.0,0.17,0.0,0.0,0.14,0.0,0.0,0.16,0.0,0.16,0.0,0.33,0.34,0.27,0.22,0.29,0.24,0.22,0.2,0.2,0.17,0.15,0.2,0.17,0.0,0.15,0.17,0.14,0.16,0.14,0.14,0.14,0.15,0.13,0.14,0.0,0.0,0.0,0.14,0.14,0.14,0.23,0.18,0.16,0.0,0.14,0.14,0.0,0.15,0.15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,76.34
12/22/2021,5.79,3.41,2.05,2.35,1.23,0.97,0.95,0.86,0.77,1.0,0.72,0.91,0.72,1.14,0.83,1.12,0.52,0.82,0.73,0.65,0.88,0.72,0.56,0.59,0.69,0.46,0.56,0.53,0.57,0.62,0.63,0.0,0.43,0.45,0.6,0.49,0.59,0.43,0.49,0.42,0.43,0.42,0.55,0.46,0.47,0.4,0.26,0.41,0.37,0.42,0.37,0.36,0.48,0.26,0.31,0.31,0.29,0.26,0.26,0.39,0.23,0.23,0.43,0.47,0.27,0.3,0.3,0.0,0.25,0.26,0.32,0.39,0.32,0.41,0.38,0.14,0.29,0.54,0.33,0.29,0.28,0.25,0.22,0.38,0.28,0.28,0.25,0.23,0.28,0.19,0.25,0.24,0.27,0.29,0.2,0.16,0.2,0.24,0.19,0.26,0.26,0.26,0.2,0.21,0.0,0.16,0.0,0.21,0.18,0.26,0.27,0.17,0.26,0.26,0.2,0.24,0.23,0.24,0.19,0.29,0.22,0.25,0.2,0.0,0.23,0.32,0.18,0.17,0.0,0.19,0.0,0.25,0.16,0.19,0.14,0.16,0.0,0.0,0.18,0.17,0.16,0.15,0.15,0.15,0.39,0.16,0.17,0.0,0.0,0.16,0.26,0.32,0.14,0.0,0.16,0.0,0.14,0.0,0.19,0.0,0.18,0.0,0.0,0.0,0.0,0.16,0.15,0.13,0.0,0.15,0.0,0.0,0.0,0.14,0.18,0.0,0.15,0.16,0.17,0.2,0.0,0.15,0.0,0.15,0.29,0.16,0.0,0.19,0.21,0.0,0.17,0.0,0.0,0.14,0.0,0.0,0.17,0.0,0.16,0.0,0.34,0.33,0.28,0.21,0.28,0.25,0.21,0.19,0.2,0.17,0.16,0.2,0.16,0.0,0.15,0.18,0.14,0.16,0.13,0.14,0.14,0.15,0.14,0.14,0.0,0.0,0.0,0.14,0.14,0.14,0.23,0.18,0.16,0.0,0.13,0.13,0.0,0.15,0.15,0.13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,76.30999999999999
12/23/2021,5.9,3.24,2.09,2.39,1.24,1.0,0.95,0.88,0.78,0.99,0.73,0.93,0.67,1.12,0.87,1.13,0.52,0.83,0.72,0.66,0.89,0.71,0.56,0.6,0.71,0.48,0.57,0.55,0.57,0.63,0.63,0.0,0.43,0.45,0.61,0.5,0.6,0.44,0.49,0.42,0.43,0.43,0.53,0.45,0.47,0.41,0.26,0.4,0.37,0.42,0.37,0.37,0.46,0.26,0.31,0.31,0.29,0.28,0.26,0.4,0.23,0.22,0.39,0.48,0.27,0.3,0.3,0.0,0.26,0.26,0.32,0.36,0.31,0.41,0.38,0.14,0.29,0.54,0.33,0.29,0.28,0.25,0.21,0.38,0.28,0.28,0.23,0.23,0.28,0.19,0.25,0.24,0.27,0.29,0.2,0.16,0.2,0.24,0.19,0.27,0.26,0.26,0.2,0.21,0.0,0.16,0.0,0.21,0.19,0.25,0.26,0.17,0.26,0.26,0.2,0.24,0.23,0.23,0.19,0.28,0.23,0.26,0.2,0.0,0.23,0.32,0.18,0.17,0.0,0.18,0.0,0.25,0.16,0.19,0.14,0.16,0.0,0.0,0.19,0.17,0.16,0.15,0.15,0.15,0.4,0.16,0.16,0.0,0.0,0.16,0.25,0.32,0.14,0.0,0.17,0.0,0.14,0.0,0.18,0.0,0.18,0.0,0.0,0.13,0.0,0.16,0.15,0.13,0.0,0.14,0.0,0.0,0.0,0.14,0.17,0.0,0.15,0.15,0.16,0.2,0.13,0.15,0.0,0.15,0.3,0.17,0.0,0.19,0.2,0.0,0.17,0.0,0.0,0.14,0.0,0.0,0.17,0.0,0.16,0.0,0.34,0.31,0.28,0.21,0.27,0.24,0.22,0.19,0.19,0.17,0.15,0.2,0.16,0.0,0.15,0.18,0.14,0.15,0.14,0.0,0.14,0.15,0.14,0.14,0.0,0.0,0.0,0.13,0.0,0.13,0.23,0.18,0.17,0.0,0.0,0.13,0.0,0.14,0.15,0.13,0.13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,76.30999999999999
12/24/2021,5.8,3.19,2.04,2.37,1.25,1.02,0.95,0.85,0.77,0.99,0.73,0.92,0.69,1.13,0.84,1.13,0.53,0.82,0.72,0.66,0.88,0.73,0.55,0.6,0.72,0.48,0.57,0.54,0.57,0.64,0.63,0.0,0.45,0.45,0.6,0.5,0.6,0.44,0.48,0.43,0.43,0.43,0.53,0.46,0.47,0.4,0.26,0.4,0.38,0.42,0.37,0.37,0.45,0.27,0.31,0.31,0.29,0.28,0.27,0.42,0.23,0.22,0.39,0.48,0.27,0.3,0.3,0.0,0.25,0.26,0.32,0.36,0.31,0.41,0.38,0.14,0.29,0.54,0.33,0.3,0.28,0.25,0.21,0.38,0.28,0.28,0.23,0.23,0.29,0.2,0.25,0.24,0.27,0.29,0.2,0.16,0.2,0.24,0.2,0.27,0.26,0.26,0.2,0.21,0.0,0.16,0.0,0.21,0.19,0.25,0.25,0.17,0.26,0.26,0.2,0.24,0.22,0.23,0.19,0.28,0.24,0.26,0.2,0.0,0.23,0.32,0.18,0.16,0.0,0.18,0.0,0.25,0.16,0.19,0.14,0.16,0.0,0.0,0.19,0.17,0.17,0.15,0.15,0.15,0.39,0.16,0.16,0.0,0.0,0.16,0.25,0.32,0.14,0.0,0.17,0.0,0.14,0.0,0.18,0.0,0.18,0.0,0.0,0.13,0.0,0.16,0.15,0.13,0.0,0.14,0.13,0.0,0.0,0.14,0.17,0.0,0.15,0.15,0.16,0.2,0.0,0.15,0.0,0.15,0.29,0.18,0.0,0.19,0.2,0.0,0.16,0.0,0.0,0.14,0.0,0.0,0.17,0.0,0.16,0.0,0.34,0.31,0.28,0.21,0.27,0.26,0.21,0.18,0.19,0.17,0.16,0.2,0.15,0.0,0.16,0.17,0.16,0.14,0.13,0.0,0.13,0.14,0.14,0.14,0.0,0.0,0.0,0.13,0.0,0.13,0.24,0.18,0.16,0.0,0.0,0.13,0.0,0.14,0.15,0.13,0.0,0.13,0.0,0.0,0.0,0.0,0.0,0.0,76.10999999999999
12/27/2021,5.8,3.19,2.04,2.37,1.25,1.02,0.95,0.85,0.77,0.99,0.73,0.92,0.69,1.13,0.84,1.13,0.53,0.82,0.72,0.66,0.88,0.73,0.55,0.6,0.72,0.48,0.57,0.54,0.57,0.64,0.63,0.0,0.45,0.45,0.6,0.5,0.6,0.44,0.48,0.43,0.43,0.43,0.53,0.46,0.47,0.4,0.26,0.4,0.38,0.42,0.37,0.37,0.45,0.27,0.31,0.31,0.29,0.28,0.27,0.42,0.23,0.22,0.39,0.48,0.27,0.3,0.3,0.0,0.25,0.26,0.32,0.36,0.31,0.41,0.38,0.14,0.29,0.54,0.33,0.3,0.28,0.25,0.21,0.38,0.28,0.28,0.23,0.23,0.29,0.2,0.25,0.24,0.27,0.29,0.2,0.16,0.2,0.24,0.2,0.27,0.26,0.26,0.2,0.21,0.0,0.16,0.0,0.21,0.19,0.25,0.25,0.17,0.26,0.26,0.2,0.24,0.22,0.23,0.19,0.28,0.24,0.26,0.2,0.0,0.23,0.32,0.18,0.16,0.0,0.18,0.0,0.25,0.16,0.19,0.14,0.16,0.0,0.0,0.19,0.17,0.17,0.15,0.15,0.15,0.39,0.16,0.16,0.0,0.0,0.16,0.25,0.32,0.14,0.0,0.17,0.0,0.14,0.0,0.18,0.0,0.18,0.0,0.0,0.13,0.0,0.16,0.15,0.13,0.0,0.14,0.13,0.0,0.0,0.14,0.17,0.0,0.15,0.15,0.16,0.2,0.0,0.15,0.0,0.15,0.29,0.18,0.0,0.19,0.2,0.0,0.16,0.0,0.0,0.14,0.0,0.0,0.17,0.0,0.16,0.0,0.34,0.31,0.28,0.21,0.27,0.26,0.21,0.18,0.19,0.17,0.16,0.2,0.15,0.0,0.16,0.17,0.16,0.14,0.13,0.0,0.13,0.14,0.14,0.14,0.0,0.0,0.0,0.13,0.0,0.13,0.24,0.18,0.16,0.0,0.0,0.13,0.0,0.14,0.15,0.13,0.0,0.13,0.0,0.0,0.0,0.0,0.0,0.0,76.10999999999999
12/28/2021,5.82,3.22,2.04,2.33,1.23,1.02,0.94,0.84,0.76,0.98,0.72,0.91,0.67,1.15,0.83,1.13,0.53,0.84,0.72,0.66,0.87,0.76,0.57,0.59,0.74,0.47,0.57,0.53,0.6,0.65,0.62,0.0,0.44,0.45,0.59,0.5,0.6,0.44,0.5,0.42,0.42,0.42,0.53,0.45,0.46,0.4,0.25,0.4,0.37,0.42,0.36,0.37,0.45,0.26,0.31,0.31,0.29,0.28,0.28,0.42,0.22,0.22,0.41,0.47,0.27,0.29,0.3,0.0,0.26,0.26,0.32,0.36,0.31,0.41,0.37,0.14,0.29,0.54,0.33,0.3,0.28,0.26,0.23,0.38,0.28,0.28,0.23,0.23,0.29,0.2,0.24,0.24,0.26,0.29,0.2,0.16,0.21,0.24,0.19,0.27,0.26,0.26,0.2,0.21,0.0,0.16,0.0,0.21,0.18,0.25,0.25,0.17,0.26,0.26,0.2,0.25,0.22,0.23,0.19,0.28,0.23,0.27,0.2,0.0,0.22,0.32,0.18,0.16,0.0,0.19,0.0,0.25,0.16,0.19,0.15,0.16,0.0,0.0,0.19,0.16,0.17,0.15,0.15,0.15,0.38,0.16,0.16,0.0,0.0,0.15,0.25,0.31,0.14,0.0,0.17,0.0,0.14,0.0,0.18,0.0,0.18,0.0,0.0,0.13,0.0,0.16,0.15,0.13,0.0,0.15,0.14,0.0,0.0,0.14,0.17,0.0,0.15,0.16,0.16,0.2,0.13,0.15,0.0,0.15,0.28,0.17,0.0,0.2,0.2,0.0,0.17,0.0,0.0,0.15,0.0,0.0,0.16,0.0,0.22,0.0,0.34,0.31,0.28,0.21,0.27,0.26,0.21,0.18,0.18,0.17,0.16,0.2,0.15,0.0,0.15,0.18,0.16,0.14,0.14,0.0,0.13,0.14,0.14,0.14,0.0,0.0,0.0,0.0,0.13,0.0,0.24,0.14,0.17,0.0,0.0,0.0,0.0,0.14,0.15,0.13,0.14,0.14,0.0,0.0,0.0,0.0,0.0,0.0,76.07999999999998
12/29/2021,5.82,3.22,2.04,2.33,1.23,1.02,0.94,0.84,0.76,0.98,0.72,0.91,0.67,1.15,0.83,1.13,0.53,0.84,0.72,0.66,0.87,0.76,0.57,0.59,0.74,0.47,0.57,0.53,0.6,0.65,0.62,0.0,0.44,0.45,0.59,0.5,0.6,0.44,0.5,0.42,0.42,0.42,0.53,0.45,0.46,0.4,0.25,0.4,0.37,0.42,0.36,0.37,0.45,0.26,0.31,0.31,0.29,0.28,0.28,0.42,0.22,0.22,0.41,0.47,0.27,0.29,0.3,0.0,0.26,0.26,0.32,0.36,0.31,0.41,0.37,0.14,0.29,0.54,0.33,0.3,0.28,0.26,0.23,0.38,0.28,0.28,0.23,0.23,0.29,0.2,0.24,0.24,0.26,0.29,0.2,0.16,0.21,0.24,0.19,0.27,0.26,0.26,0.2,0.21,0.0,0.16,0.0,0.21,0.18,0.25,0.25,0.17,0.26,0.26,0.2,0.25,0.22,0.23,0.19,0.28,0.23,0.27,0.2,0.0,0.22,0.32,0.18,0.16,0.0,0.19,0.0,0.25,0.16,0.19,0.15,0.16,0.0,0.0,0.19,0.16,0.17,0.15,0.15,0.15,0.38,0.16,0.16,0.0,0.0,0.15,0.25,0.31,0.14,0.0,0.17,0.0,0.14,0.0,0.18,0.0,0.18,0.0,0.0,0.13,0.0,0.16,0.15,0.13,0.0,0.15,0.14,0.0,0.0,0.14,0.17,0.0,0.15,0.16,0.16,0.2,0.13,0.15,0.0,0.15,0.28,0.17,0.0,0.2,0.2,0.0,0.17,0.0,0.0,0.15,0.0,0.0,0.16,0.0,0.22,0.0,0.34,0.31,0.28,0.21,0.27,0.26,0.21,0.18,0.18,0.17,0.16,0.2,0.15,0.0,0.15,0.18,0.16,0.14,0.14,0.0,0.13,0.14,0.14,0.14,0.0,0.0,0.0,0.0,0.13,0.0,0.24,0.14,0.17,0.0,0.0,0.0,0.0,0.14,0.15,0.13,0.14,0.14,0.0,0.0,0.0,0.0,0.0,0.0,76.07999999999998
12/30/2021,5.82,3.22,2.04,2.33,1.23,1.02,0.94,0.84,0.76,0.98,0.72,0.91,0.67,1.15,0.83,1.13,0.53,0.84,0.72,0.66,0.87,0.76,0.57,0.59,0.74,0.47,0.57,0.53,0.6,0.65,0.62,0.0,0.44,0.45,0.59,0.5,0.6,0.44,0.5,0.42,0.42,0.42,0.53,0.45,0.46,0.4,0.25,0.4,0.37,0.42,0.36,0.37,0.45,0.26,0.31,0.31,0.29,0.28,0.28,0.42,0.22,0.22,0.41,0.47,0.27,0.29,0.3,0.0,0.26,0.26,0.32,0.36,0.31,0.41,0.37,0.14,0.29,0.54,0.33,0.3,0.28,0.26,0.23,0.38,0.28,0.28,0.23,0.23,0.29,0.2,0.24,0.24,0.26,0.29,0.2,0.16,0.21,0.24,0.19,0.27,0.26,0.26,0.2,0.21,0.0,0.16,0.0,0.21,0.18,0.25,0.25,0.17,0.26,0.26,0.2,0.25,0.22,0.23,0.19,0.28,0.23,0.27,0.2,0.0,0.22,0.32,0.18,0.16,0.0,0.19,0.0,0.25,0.16,0.19,0.15,0.16,0.0,0.0,0.19,0.16,0.17,0.15,0.15,0.15,0.38,0.16,0.16,0.0,0.0,0.15,0.25,0.31,0.14,0.0,0.17,0.0,0.14,0.0,0.18,0.0,0.18,0.0,0.0,0.13,0.0,0.16,0.15,0.13,0.0,0.15,0.14,0.0,0.0,0.14,0.17,0.0,0.15,0.16,0.16,0.2,0.13,0.15,0.0,0.15,0.28,0.17,0.0,0.2,0.2,0.0,0.17,0.0,0.0,0.15,0.0,0.0,0.16,0.0,0.22,0.0,0.34,0.31,0.28,0.21,0.27,0.26,0.21,0.18,0.18,0.17,0.16,0.2,0.15,0.0,0.15,0.18,0.16,0.14,0.14,0.0,0.13,0.14,0.14,0.14,0.0,0.0,0.0,0.0,0.13,0.0,0.24,0.14,0.17,0.0,0.0,0.0,0.0,0.14,0.15,0.13,0.14,0.14,0.0,0.0,0.0,0.0,0.0,0.0,76.07999999999998
12/31/2021,6.04,3.06,2.07,2.3,1.24,1.04,0.98,0.86,0.75,0.99,0.72,0.89,0.69,1.1,0.89,1.14,0.53,0.86,0.72,0.66,0.88,0.76,0.62,0.59,0.75,0.46,0.57,0.56,0.61,0.65,0.62,0.0,0.43,0.45,0.58,0.49,0.6,0.44,0.5,0.42,0.42,0.42,0.52,0.42,0.45,0.4,0.26,0.41,0.36,0.43,0.37,0.37,0.45,0.26,0.31,0.31,0.3,0.28,0.27,0.41,0.22,0.22,0.41,0.47,0.27,0.29,0.3,0.0,0.28,0.27,0.31,0.36,0.31,0.39,0.36,0.14,0.29,0.52,0.33,0.3,0.29,0.26,0.22,0.37,0.28,0.27,0.22,0.23,0.29,0.18,0.24,0.24,0.26,0.3,0.2,0.16,0.22,0.24,0.19,0.26,0.26,0.26,0.2,0.21,0.0,0.16,0.0,0.21,0.18,0.24,0.25,0.17,0.25,0.25,0.21,0.25,0.21,0.25,0.19,0.29,0.23,0.27,0.2,0.0,0.22,0.32,0.17,0.17,0.0,0.2,0.0,0.24,0.17,0.2,0.15,0.16,0.13,0.0,0.18,0.16,0.18,0.14,0.16,0.16,0.38,0.16,0.16,0.0,0.0,0.15,0.23,0.29,0.14,0.0,0.16,0.0,0.14,0.13,0.19,0.0,0.18,0.0,0.0,0.13,0.0,0.15,0.15,0.0,0.0,0.15,0.14,0.0,0.0,0.14,0.15,0.0,0.15,0.17,0.16,0.2,0.14,0.15,0.0,0.15,0.27,0.17,0.0,0.2,0.2,0.0,0.17,0.0,0.0,0.15,0.0,0.0,0.15,0.0,0.2,0.0,0.33,0.34,0.27,0.23,0.27,0.27,0.21,0.17,0.17,0.17,0.15,0.21,0.15,0.13,0.15,0.16,0.15,0.15,0.14,0.0,0.0,0.15,0.14,0.14,0.0,0.0,0.0,0.0,0.0,0.0,0.24,0.0,0.17,0.0,0.0,0.0,0.0,0.14,0.16,0.0,0.14,0.14,0.15,0.14,0.0,0.0,0.0,0.0,76.22
