,MHK,SBNY,TPR,CRL,MOH,CZR,CMA,WSM,DAR,JLL,TFII.TO,ACM,NLSN,DFS,WAL,ARW,BLDR,JAZZ,SYF,CUBE,EXPE,USFD,STX,DECK,LNC,ITT,KRNT,AIZ,ZBRA,DCI,ORI,LH,WRK,HES,CHDN,LNG,MAN,EPAM,LAD,HBAN,WH,SNV,FAF,AES,AZO,EME,CFR,NXST,CROX,ENTG,UHS,WHR,PRI,RNR,AME,CNXC,BJ,VVV,NOMD,EXP,KNX,TLS,RBC,CYBR,AZEK,FCNCA,ACHC,NVST,DEI,ACGL,SYNH,JCOM,APPS,HELE,CNP,FMC,ANSS,SNX,ASGN,FEYE,STL,G,INSP,LSPD.TO,HOLX,BIO,ADNT,CR,ALSN,LNT,LKQ,PAYC,WU,ST,BBY,MASI,RPD,CCMP,RGA,TRNO,WTFC,OC,SMTC,KEX,HGV,BCO,WK,AEIS,FHB,CMC,NSIT,LPLA,LXP,EXLS,OMC,SAFM,NSP,TPX,MUR,ESGR,MPC,RNG,FN,ESI,BECN,MDC,EIX,SC,RCII,UNVR,ITGR,MTB,CW,OI,TENB,FLOW,BOKF,EAT,IPG,SPXC,RLJ,IOSP,KBR,Brookfield Infrastructure Corp Ordinary Shares - Class A (Subordinate Share,RCM,ARGX,RUSHA,XPER,HLF,DY,CACI,TROX,RLGY,SPT,PINC,EXEL,PATK,VRRM,GVA,JELD,ATKR,CMPR,FGEN,PGNY,TTGT,WNS,UIS,TTMI,BRKR,ECPG,CWK,SEB,CRUS,GPRO,NVAX,ARVN,TGTX,TCBK,ASO,EBS,VCEL,CDMO,PTGX,CYTK,ALXN,ACRS,MNRL,IQV,ALXO,PBH,KYMR,SITM,RPRX,AGIO,KURA,PRLD,VTRS,BCAB,KROS,ANNX,Nomad Foods Ltd,BIPC,4880.T,DKS,CC,OLLI,FBHS,AR,OFC,TXG,ESTC,DT,HFC,n/a,4551.T,688185.SS,LSPDEUR,OLN,AYI,COLD,ELS,HUN,PHR,PRMW.TO,NTRA,UTHR,XLRN,IOVA,GBT,OCUL,AVY,OSK,DEN,MNDY,AXNX,ATGE,ALLK,CLDX,ZD,RRX,DOX,ALIT,GNRC,WKME,KFRC,MRVI,MOS,CPRI,PCG,CNNE,EQT,CYXT,FLEX,HZNP,SUM
07/23/2021,1.44,1.38,1.36,1.35,1.24,1.21,1.21,1.18,1.17,1.15,1.14,1.1,1.08,1.06,1.04,1.04,1.03,1.01,0.96,0.95,0.95,0.93,0.9,0.88,0.88,0.88,0.87,0.86,0.85,0.84,0.83,0.83,0.82,0.82,0.82,0.81,0.8,0.8,0.78,0.77,0.77,0.76,0.76,0.75,0.75,0.74,0.74,0.73,0.73,0.73,0.7,0.7,0.7,0.69,0.69,0.68,0.68,0.67,0.0,0.66,0.64,0.63,0.63,0.62,0.62,0.62,0.62,0.61,0.61,0.61,0.6,0.6,0.6,0.6,0.59,0.58,0.58,0.57,0.57,0.57,0.56,0.56,0.54,0.52,0.52,0.52,0.51,0.51,0.51,0.5,0.5,0.5,0.5,0.5,0.5,0.49,0.48,0.47,0.47,0.46,0.45,0.45,0.44,0.43,0.43,0.43,0.42,0.42,0.4,0.4,0.4,0.38,0.37,0.37,0.37,0.36,0.35,0.35,0.35,0.34,0.34,0.34,0.34,0.33,0.33,0.33,0.32,0.32,0.32,0.32,0.32,0.32,0.32,0.31,0.31,0.31,0.31,0.3,0.3,0.29,0.28,0.27,0.26,0.0,0.26,0.25,0.25,0.25,0.25,0.24,0.24,0.23,0.22,0.21,0.21,0.21,0.21,0.21,0.21,0.2,0.2,0.2,0.19,0.19,0.18,0.17,0.17,0.17,0.17,0.16,0.16,0.16,0.16,0.15,0.15,0.14,0.13,0.13,0.12,0.09,0.09,0.07,0.07,0.07,0.06,0.06,0.06,0.06,0.05,0.05,0.05,0.05,0.05,0.04,0.04,0.04,0.04,0.04,0.03,0.03,0.67,0.26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.76
07/26/2021,1.44,1.38,1.36,1.35,1.24,1.21,1.21,1.18,1.17,1.15,1.14,1.1,1.08,1.06,1.04,1.04,1.03,1.01,0.96,0.95,0.95,0.93,0.9,0.88,0.88,0.88,0.87,0.86,0.85,0.84,0.83,0.83,0.82,0.82,0.82,0.81,0.8,0.8,0.78,0.77,0.77,0.76,0.76,0.75,0.75,0.74,0.74,0.73,0.73,0.73,0.7,0.7,0.7,0.69,0.69,0.68,0.68,0.67,0.0,0.66,0.64,0.63,0.63,0.62,0.62,0.62,0.62,0.61,0.61,0.61,0.6,0.6,0.6,0.6,0.59,0.58,0.58,0.57,0.57,0.57,0.56,0.56,0.54,0.52,0.52,0.52,0.51,0.51,0.51,0.5,0.5,0.5,0.5,0.5,0.5,0.49,0.48,0.47,0.47,0.46,0.45,0.45,0.44,0.43,0.43,0.43,0.42,0.42,0.4,0.4,0.4,0.38,0.37,0.37,0.37,0.36,0.35,0.35,0.35,0.34,0.34,0.34,0.34,0.33,0.33,0.33,0.32,0.32,0.32,0.32,0.32,0.32,0.32,0.31,0.31,0.31,0.31,0.3,0.3,0.29,0.28,0.27,0.26,0.0,0.26,0.25,0.25,0.25,0.25,0.24,0.24,0.23,0.22,0.21,0.21,0.21,0.21,0.21,0.21,0.2,0.2,0.2,0.19,0.19,0.18,0.17,0.17,0.17,0.17,0.16,0.16,0.16,0.16,0.15,0.15,0.14,0.13,0.13,0.12,0.09,0.09,0.07,0.07,0.07,0.06,0.06,0.06,0.06,0.05,0.05,0.05,0.05,0.05,0.04,0.04,0.04,0.04,0.04,0.03,0.03,0.67,0.26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.76
07/27/2021,1.44,1.38,1.36,1.35,1.24,1.21,1.21,1.18,1.17,1.15,1.14,1.1,1.08,1.06,1.04,1.04,1.03,1.01,0.96,0.95,0.95,0.93,0.9,0.88,0.88,0.88,0.87,0.86,0.85,0.84,0.83,0.83,0.82,0.82,0.82,0.81,0.8,0.8,0.78,0.77,0.77,0.76,0.76,0.75,0.75,0.74,0.74,0.73,0.73,0.73,0.7,0.7,0.7,0.69,0.69,0.68,0.68,0.67,0.0,0.66,0.64,0.63,0.63,0.62,0.62,0.62,0.62,0.61,0.61,0.61,0.6,0.6,0.6,0.6,0.59,0.58,0.58,0.57,0.57,0.57,0.56,0.56,0.54,0.52,0.52,0.52,0.51,0.51,0.51,0.5,0.5,0.5,0.5,0.5,0.5,0.49,0.48,0.47,0.47,0.46,0.45,0.45,0.44,0.43,0.43,0.43,0.42,0.42,0.4,0.4,0.4,0.38,0.37,0.37,0.37,0.36,0.35,0.35,0.35,0.34,0.34,0.34,0.34,0.33,0.33,0.33,0.32,0.32,0.32,0.32,0.32,0.32,0.32,0.31,0.31,0.31,0.31,0.3,0.3,0.29,0.28,0.27,0.26,0.0,0.26,0.25,0.25,0.25,0.25,0.24,0.24,0.23,0.22,0.21,0.21,0.21,0.21,0.21,0.21,0.2,0.2,0.2,0.19,0.19,0.18,0.17,0.17,0.17,0.17,0.16,0.16,0.16,0.16,0.15,0.15,0.14,0.13,0.13,0.12,0.09,0.09,0.07,0.07,0.07,0.06,0.06,0.06,0.06,0.05,0.05,0.05,0.05,0.05,0.04,0.04,0.04,0.04,0.04,0.03,0.03,0.67,0.26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.76
07/28/2021,1.44,1.38,1.36,1.35,1.24,1.21,1.21,1.18,1.17,1.15,1.14,1.1,1.08,1.06,1.04,1.04,1.03,1.01,0.96,0.95,0.95,0.93,0.9,0.88,0.88,0.88,0.87,0.86,0.85,0.84,0.83,0.83,0.82,0.82,0.82,0.81,0.8,0.8,0.78,0.77,0.77,0.76,0.76,0.75,0.75,0.74,0.74,0.73,0.73,0.73,0.7,0.7,0.7,0.69,0.69,0.68,0.68,0.67,0.0,0.66,0.64,0.63,0.63,0.62,0.62,0.62,0.62,0.61,0.61,0.61,0.6,0.6,0.6,0.6,0.59,0.58,0.58,0.57,0.57,0.57,0.56,0.56,0.54,0.52,0.52,0.52,0.51,0.51,0.51,0.5,0.5,0.5,0.5,0.5,0.5,0.49,0.48,0.47,0.47,0.46,0.45,0.45,0.44,0.43,0.43,0.43,0.42,0.42,0.4,0.4,0.4,0.38,0.37,0.37,0.37,0.36,0.35,0.35,0.35,0.34,0.34,0.34,0.34,0.33,0.33,0.33,0.32,0.32,0.32,0.32,0.32,0.32,0.32,0.31,0.31,0.31,0.31,0.3,0.3,0.29,0.28,0.27,0.26,0.0,0.26,0.25,0.25,0.25,0.25,0.24,0.24,0.23,0.22,0.21,0.21,0.21,0.21,0.21,0.21,0.2,0.2,0.2,0.19,0.19,0.18,0.17,0.17,0.17,0.17,0.16,0.16,0.16,0.16,0.15,0.15,0.14,0.13,0.13,0.12,0.09,0.09,0.07,0.07,0.07,0.06,0.06,0.06,0.06,0.05,0.05,0.05,0.05,0.05,0.04,0.04,0.04,0.04,0.04,0.03,0.03,0.67,0.26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.76
07/29/2021,1.44,1.38,1.36,1.35,1.24,1.21,1.21,1.18,1.17,1.15,1.14,1.1,1.08,1.06,1.04,1.04,1.03,1.01,0.96,0.95,0.95,0.93,0.9,0.88,0.88,0.88,0.87,0.86,0.85,0.84,0.83,0.83,0.82,0.82,0.82,0.81,0.8,0.8,0.78,0.77,0.77,0.76,0.76,0.75,0.75,0.74,0.74,0.73,0.73,0.73,0.7,0.7,0.7,0.69,0.69,0.68,0.68,0.67,0.0,0.66,0.64,0.63,0.63,0.62,0.62,0.62,0.62,0.61,0.61,0.61,0.6,0.6,0.6,0.6,0.59,0.58,0.58,0.57,0.57,0.57,0.56,0.56,0.54,0.52,0.52,0.52,0.51,0.51,0.51,0.5,0.5,0.5,0.5,0.5,0.5,0.49,0.48,0.47,0.47,0.46,0.45,0.45,0.44,0.43,0.43,0.43,0.42,0.42,0.4,0.4,0.4,0.38,0.37,0.37,0.37,0.36,0.35,0.35,0.35,0.34,0.34,0.34,0.34,0.33,0.33,0.33,0.32,0.32,0.32,0.32,0.32,0.32,0.32,0.31,0.31,0.31,0.31,0.3,0.3,0.29,0.28,0.27,0.26,0.0,0.26,0.25,0.25,0.25,0.25,0.24,0.24,0.23,0.22,0.21,0.21,0.21,0.21,0.21,0.21,0.2,0.2,0.2,0.19,0.19,0.18,0.17,0.17,0.17,0.17,0.16,0.16,0.16,0.16,0.15,0.15,0.14,0.13,0.13,0.12,0.09,0.09,0.07,0.07,0.07,0.06,0.06,0.06,0.06,0.05,0.05,0.05,0.05,0.05,0.04,0.04,0.04,0.04,0.04,0.03,0.03,0.67,0.26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.76
07/30/2021,1.44,1.38,1.36,1.35,1.24,1.21,1.21,1.18,1.17,1.15,1.14,1.1,1.08,1.06,1.04,1.04,1.03,1.01,0.96,0.95,0.95,0.93,0.9,0.88,0.88,0.88,0.87,0.86,0.85,0.84,0.83,0.83,0.82,0.82,0.82,0.81,0.8,0.8,0.78,0.77,0.77,0.76,0.76,0.75,0.75,0.74,0.74,0.73,0.73,0.73,0.7,0.7,0.7,0.69,0.69,0.68,0.68,0.67,0.0,0.66,0.64,0.63,0.63,0.62,0.62,0.62,0.62,0.61,0.61,0.61,0.6,0.6,0.6,0.6,0.59,0.58,0.58,0.57,0.57,0.57,0.56,0.56,0.54,0.52,0.52,0.52,0.51,0.51,0.51,0.5,0.5,0.5,0.5,0.5,0.5,0.49,0.48,0.47,0.47,0.46,0.45,0.45,0.44,0.43,0.43,0.43,0.42,0.42,0.4,0.4,0.4,0.38,0.37,0.37,0.37,0.36,0.35,0.35,0.35,0.34,0.34,0.34,0.34,0.33,0.33,0.33,0.32,0.32,0.32,0.32,0.32,0.32,0.32,0.31,0.31,0.31,0.31,0.3,0.3,0.29,0.28,0.27,0.26,0.0,0.26,0.25,0.25,0.25,0.25,0.24,0.24,0.23,0.22,0.21,0.21,0.21,0.21,0.21,0.21,0.2,0.2,0.2,0.19,0.19,0.18,0.17,0.17,0.17,0.17,0.16,0.16,0.16,0.16,0.15,0.15,0.14,0.13,0.13,0.12,0.09,0.09,0.07,0.07,0.07,0.06,0.06,0.06,0.06,0.05,0.05,0.05,0.05,0.05,0.04,0.04,0.04,0.04,0.04,0.03,0.03,0.67,0.26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.76
08/02/2021,1.44,1.38,1.36,1.35,1.24,1.21,1.21,1.18,1.17,1.15,1.14,1.1,1.08,1.06,1.04,1.04,1.03,1.01,0.96,0.95,0.95,0.93,0.9,0.88,0.88,0.88,0.87,0.86,0.85,0.84,0.83,0.83,0.82,0.82,0.82,0.81,0.8,0.8,0.78,0.77,0.77,0.76,0.76,0.75,0.75,0.74,0.74,0.73,0.73,0.73,0.7,0.7,0.7,0.69,0.69,0.68,0.68,0.67,0.0,0.66,0.64,0.63,0.63,0.62,0.62,0.62,0.62,0.61,0.61,0.61,0.6,0.6,0.6,0.6,0.59,0.58,0.58,0.57,0.57,0.57,0.56,0.56,0.54,0.52,0.52,0.52,0.51,0.51,0.51,0.5,0.5,0.5,0.5,0.5,0.5,0.49,0.48,0.47,0.47,0.46,0.45,0.45,0.44,0.43,0.43,0.43,0.42,0.42,0.4,0.4,0.4,0.38,0.37,0.37,0.37,0.36,0.35,0.35,0.35,0.34,0.34,0.34,0.34,0.33,0.33,0.33,0.32,0.32,0.32,0.32,0.32,0.32,0.32,0.31,0.31,0.31,0.31,0.3,0.3,0.29,0.28,0.27,0.26,0.0,0.26,0.25,0.25,0.25,0.25,0.24,0.24,0.23,0.22,0.21,0.21,0.21,0.21,0.21,0.21,0.2,0.2,0.2,0.19,0.19,0.18,0.17,0.17,0.17,0.17,0.16,0.16,0.16,0.16,0.15,0.15,0.14,0.13,0.13,0.12,0.09,0.09,0.07,0.07,0.07,0.06,0.06,0.06,0.06,0.05,0.05,0.05,0.05,0.05,0.04,0.04,0.04,0.04,0.04,0.03,0.03,0.67,0.26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.76
08/03/2021,1.44,1.38,1.36,1.35,1.24,1.21,1.21,1.18,1.17,1.15,1.14,1.1,1.08,1.06,1.04,1.04,1.03,1.01,0.96,0.95,0.95,0.93,0.9,0.88,0.88,0.88,0.87,0.86,0.85,0.84,0.83,0.83,0.82,0.82,0.82,0.81,0.8,0.8,0.78,0.77,0.77,0.76,0.76,0.75,0.75,0.74,0.74,0.73,0.73,0.73,0.7,0.7,0.7,0.69,0.69,0.68,0.68,0.67,0.0,0.66,0.64,0.63,0.63,0.62,0.62,0.62,0.62,0.61,0.61,0.61,0.6,0.6,0.6,0.6,0.59,0.58,0.58,0.57,0.57,0.57,0.56,0.56,0.54,0.52,0.52,0.52,0.51,0.51,0.51,0.5,0.5,0.5,0.5,0.5,0.5,0.49,0.48,0.47,0.47,0.46,0.45,0.45,0.44,0.43,0.43,0.43,0.42,0.42,0.4,0.4,0.4,0.38,0.37,0.37,0.37,0.36,0.35,0.35,0.35,0.34,0.34,0.34,0.34,0.33,0.33,0.33,0.32,0.32,0.32,0.32,0.32,0.32,0.32,0.31,0.31,0.31,0.31,0.3,0.3,0.29,0.28,0.27,0.26,0.0,0.26,0.25,0.25,0.25,0.25,0.24,0.24,0.23,0.22,0.21,0.21,0.21,0.21,0.21,0.21,0.2,0.2,0.2,0.19,0.19,0.18,0.17,0.17,0.17,0.17,0.16,0.16,0.16,0.16,0.15,0.15,0.14,0.13,0.13,0.12,0.09,0.09,0.07,0.07,0.07,0.06,0.06,0.06,0.06,0.05,0.05,0.05,0.05,0.05,0.04,0.04,0.04,0.04,0.04,0.03,0.03,0.67,0.26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.76
08/04/2021,1.44,1.38,1.36,1.35,1.24,1.21,1.21,1.18,1.17,1.15,1.14,1.1,1.08,1.06,1.04,1.04,1.03,1.01,0.96,0.95,0.95,0.93,0.9,0.88,0.88,0.88,0.87,0.86,0.85,0.84,0.83,0.83,0.82,0.82,0.82,0.81,0.8,0.8,0.78,0.77,0.77,0.76,0.76,0.75,0.75,0.74,0.74,0.73,0.73,0.73,0.7,0.7,0.7,0.69,0.69,0.68,0.68,0.67,0.0,0.66,0.64,0.63,0.63,0.62,0.62,0.62,0.62,0.61,0.61,0.61,0.6,0.6,0.6,0.6,0.59,0.58,0.58,0.57,0.57,0.57,0.56,0.56,0.54,0.52,0.52,0.52,0.51,0.51,0.51,0.5,0.5,0.5,0.5,0.5,0.5,0.49,0.48,0.47,0.47,0.46,0.45,0.45,0.44,0.43,0.43,0.43,0.42,0.42,0.4,0.4,0.4,0.38,0.37,0.37,0.37,0.36,0.35,0.35,0.35,0.34,0.34,0.34,0.34,0.33,0.33,0.33,0.32,0.32,0.32,0.32,0.32,0.32,0.32,0.31,0.31,0.31,0.31,0.3,0.3,0.29,0.28,0.27,0.26,0.0,0.26,0.25,0.25,0.25,0.25,0.24,0.24,0.23,0.22,0.21,0.21,0.21,0.21,0.21,0.21,0.2,0.2,0.2,0.19,0.19,0.18,0.17,0.17,0.17,0.17,0.16,0.16,0.16,0.16,0.15,0.15,0.14,0.13,0.13,0.12,0.09,0.09,0.07,0.07,0.07,0.06,0.06,0.06,0.06,0.05,0.05,0.05,0.05,0.05,0.04,0.04,0.04,0.04,0.04,0.03,0.03,0.67,0.26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.76
08/05/2021,1.44,1.38,1.36,1.35,1.24,1.21,1.21,1.18,1.17,1.15,1.14,1.1,1.08,1.06,1.04,1.04,1.03,1.01,0.96,0.95,0.95,0.93,0.9,0.88,0.88,0.88,0.87,0.86,0.85,0.84,0.83,0.83,0.82,0.82,0.82,0.81,0.8,0.8,0.78,0.77,0.77,0.76,0.76,0.75,0.75,0.74,0.74,0.73,0.73,0.73,0.7,0.7,0.7,0.69,0.69,0.68,0.68,0.67,0.0,0.66,0.64,0.63,0.63,0.62,0.62,0.62,0.62,0.61,0.61,0.61,0.6,0.6,0.6,0.6,0.59,0.58,0.58,0.57,0.57,0.57,0.56,0.56,0.54,0.52,0.52,0.52,0.51,0.51,0.51,0.5,0.5,0.5,0.5,0.5,0.5,0.49,0.48,0.47,0.47,0.46,0.45,0.45,0.44,0.43,0.43,0.43,0.42,0.42,0.4,0.4,0.4,0.38,0.37,0.37,0.37,0.36,0.35,0.35,0.35,0.34,0.34,0.34,0.34,0.33,0.33,0.33,0.32,0.32,0.32,0.32,0.32,0.32,0.32,0.31,0.31,0.31,0.31,0.3,0.3,0.29,0.28,0.27,0.26,0.0,0.26,0.25,0.25,0.25,0.25,0.24,0.24,0.23,0.22,0.21,0.21,0.21,0.21,0.21,0.21,0.2,0.2,0.2,0.19,0.19,0.18,0.17,0.17,0.17,0.17,0.16,0.16,0.16,0.16,0.15,0.15,0.14,0.13,0.13,0.12,0.09,0.09,0.07,0.07,0.07,0.06,0.06,0.06,0.06,0.05,0.05,0.05,0.05,0.05,0.04,0.04,0.04,0.04,0.04,0.03,0.03,0.67,0.26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.76
08/06/2021,1.31,1.35,1.31,1.47,1.24,1.16,1.09,1.11,1.15,1.11,1.08,1.06,0.98,1.06,0.96,0.98,0.98,1.0,0.98,1.0,0.04,0.91,0.83,0.96,0.79,0.85,1.04,0.82,0.9,0.86,0.79,0.83,0.75,0.85,0.81,0.82,0.78,0.85,0.04,0.69,0.74,0.67,0.73,0.77,0.79,0.72,0.68,0.71,0.83,0.78,0.64,0.0,0.66,0.0,0.68,0.71,0.69,0.66,0.0,0.64,0.61,0.65,0.59,0.64,0.6,0.59,0.6,0.58,0.59,0.59,0.61,0.66,0.68,0.64,0.57,0.53,0.59,0.55,0.54,0.51,0.52,0.55,0.0,0.61,0.55,0.55,0.46,0.49,0.48,0.49,0.48,0.55,0.47,0.48,0.49,0.55,0.54,0.46,0.42,0.47,0.42,0.41,0.48,0.4,0.39,0.43,0.49,0.46,0.4,0.39,0.38,0.34,0.36,0.38,0.35,0.41,0.34,0.35,0.37,0.32,0.33,0.37,0.36,0.55,0.31,0.29,0.33,0.31,0.27,0.44,0.33,0.29,0.3,0.27,0.3,0.29,0.29,0.3,0.29,0.28,0.27,0.0,0.24,0.0,0.25,0.27,0.22,0.25,0.25,0.0,0.24,0.22,0.22,0.27,0.22,0.17,0.18,0.22,0.21,0.19,0.19,0.22,0.24,0.18,0.2,0.18,0.17,0.16,0.18,0.17,0.14,0.17,0.16,0.16,0.21,0.14,0.15,0.11,0.13,0.1,0.08,0.09,0.08,0.06,0.06,0.05,0.07,0.0,0.05,0.05,0.05,0.06,0.05,0.04,0.04,0.0,0.0,0.0,0.0,0.0,0.61,0.27,1.01,0.63,0.55,0.54,0.48,0.41,0.31,0.29,0.28,0.28,0.12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.45000000000002
08/09/2021,1.31,1.35,1.31,1.47,1.24,1.16,1.09,1.11,1.15,1.11,1.08,1.06,0.98,1.06,0.96,0.98,0.98,1.0,0.98,1.0,0.04,0.91,0.83,0.96,0.79,0.85,1.04,0.82,0.9,0.86,0.79,0.83,0.75,0.85,0.81,0.82,0.78,0.85,0.04,0.69,0.74,0.67,0.73,0.77,0.79,0.72,0.68,0.71,0.83,0.78,0.64,0.0,0.66,0.0,0.68,0.71,0.69,0.66,0.0,0.64,0.61,0.65,0.59,0.64,0.6,0.59,0.6,0.58,0.59,0.59,0.61,0.66,0.68,0.64,0.57,0.53,0.59,0.55,0.54,0.51,0.52,0.55,0.0,0.61,0.55,0.55,0.46,0.49,0.48,0.49,0.48,0.55,0.47,0.48,0.49,0.55,0.54,0.46,0.42,0.47,0.42,0.41,0.48,0.4,0.39,0.43,0.49,0.46,0.4,0.39,0.38,0.34,0.36,0.38,0.35,0.41,0.34,0.35,0.37,0.32,0.33,0.37,0.36,0.55,0.31,0.29,0.33,0.31,0.27,0.44,0.33,0.29,0.3,0.27,0.3,0.29,0.29,0.3,0.29,0.28,0.27,0.0,0.24,0.0,0.25,0.27,0.22,0.25,0.25,0.0,0.24,0.22,0.22,0.27,0.22,0.17,0.18,0.22,0.21,0.19,0.19,0.22,0.24,0.18,0.2,0.18,0.17,0.16,0.18,0.17,0.14,0.17,0.16,0.16,0.21,0.14,0.15,0.11,0.13,0.1,0.08,0.09,0.08,0.06,0.06,0.05,0.07,0.0,0.05,0.05,0.05,0.06,0.05,0.04,0.04,0.0,0.0,0.0,0.0,0.0,0.0,0.27,1.01,0.63,0.55,0.54,0.48,0.41,0.31,0.29,0.28,0.28,0.12,0.61,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.45000000000002
