,JCOM,LITE,AZPN,SGMS,COR,NATI,YELP,NCR,CIEN,TRIP,HELE,CONE,COTY,SMG,SABR,ENR,NUS,CABO,SBRA,IRDM,COHR,OHI,HALO,LGND,CCMP,MKSI,MPW,VSAT,HR,UTHR,BRKS,JBL,SYNA,EBS,NBIX,TDS,SLAB,MCY,CRUS,NKTR,JAZZ,LSCC,XRX,NTCT,SMTC,KMPR,BHF,CNO,PRI,LANC,FLO,TR,EXEL,CHX,WING,PZZA,GO,FLR,IBKR,SAM,SF,FICO,BJ,TGNA,TXRH,DECK,CBRL,WEN,ARWR,ACIW,CNK,ENV,CDK,WWE,JACK,AEO,CROX,SFM,GMED,JWN,AXON,URBN,SYNH,RGEN,SKX,CPRI,NUVA,MEDP,FL,RUN,KSS,LIVN,CRI,COLM,NYT,TTC,LAD,TECH,AMED,CGNX,STAA,NVST,IAA,FIVE,MOH,AN,MASI,AGCO,DKS,THC,MSA,TPH,LHCG,OLLI,TOL,EHC,JW.A,QDEL,CHE,WAFD,KAR,TMHC,HAIN,POST,KBH,BOH,TCBI,FHI,VNT,ACHC,PGNY,WBS,THS,JBLU,BRO,NEOG,SEIC,JHG,FDS,TREE,PRG,SAFM,PNM,AMG,ALE,SEDG,CAR,LECO,IDA,OGE,NSA,MIDD,LSI,HE,HRB,CFX,JLL,NDSN,CPT,NWE,ACC,KMT,RNR,MTG,AIRC,PII,BCO,XEC,MUR,ESNT,BC,ENS,HCSG,RGA,688208.SS,SWX,AM,HOG,MUSA,WERN,VC,NVT,CLH,GNTX,UGI,LSTR,THO,KNX,Y,XPO,WTRG,OGS,LFUS,SRCL,INGR,SR,TRGP,PPC,NFG,CNXC,DTM WI,BKH,GGG,DCI,CASY,EQT,DAR,G,SCI,CACI,NAVI,PCTY,INT,TEX,VSCO WI,CDAY,DTM,VSCO,WSM,EXP,ETRN,SAIA,MIME,RAMP,PFGC,APPS,CHDN,FCFS,QLYS,ICLR,PRGO,GME,UNM,HFC,GHC,LOPE,NOV,TNDM,OPCH,ASB,CNX,NJR,n/a,BYD,ADS,COG,SPWR,ZD,KRG,KD WI,SUM
07/09/2021,0.87,0.83,0.83,0.82,0.81,0.81,0.81,0.81,0.79,0.75,0.74,0.72,0.71,0.71,0.7,0.69,0.68,0.66,0.61,0.61,0.6,0.59,0.58,0.58,0.58,0.57,0.57,0.57,0.57,0.56,0.56,0.54,0.54,0.54,0.54,0.53,0.53,0.52,0.52,0.52,0.52,0.52,0.51,0.5,0.49,0.49,0.47,0.46,0.45,0.45,0.45,0.44,0.43,0.43,0.42,0.42,0.41,0.41,0.41,0.4,0.4,0.4,0.4,0.4,0.39,0.39,0.39,0.39,0.38,0.38,0.38,0.38,0.38,0.37,0.37,0.36,0.36,0.35,0.35,0.35,0.35,0.34,0.34,0.34,0.34,0.33,0.33,0.33,0.33,0.33,0.33,0.33,0.32,0.32,0.32,0.32,0.32,0.32,0.32,0.32,0.32,0.32,0.31,0.31,0.31,0.31,0.31,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.29,0.29,0.29,0.29,0.29,0.29,0.29,0.29,0.28,0.28,0.28,0.28,0.28,0.28,0.28,0.28,0.28,0.28,0.27,0.27,0.27,0.27,0.27,0.26,0.26,0.26,0.26,0.26,0.26,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.23,0.23,0.23,0.23,0.23,0.23,0.23,0.23,0.23,0.23,0.23,0.23,0.23,0.22,0.22,0.22,0.22,0.22,0.22,0.22,0.22,0.22,0.22,0.22,0.22,0.22,0.22,0.22,0.22,0.22,0.22,0.22,0.22,0.22,0.21,0.21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,74.94
07/12/2021,0.9,0.83,0.86,0.78,0.84,0.81,0.77,0.79,0.79,0.73,0.75,0.75,0.71,0.71,0.69,0.7,0.69,0.68,0.62,0.61,0.6,0.6,0.58,0.57,0.58,0.57,0.57,0.57,0.58,0.57,0.54,0.54,0.54,0.53,0.54,0.53,0.53,0.51,0.52,0.51,0.53,0.51,0.52,0.5,0.48,0.49,0.45,0.47,0.44,0.46,0.45,0.45,0.43,0.4,0.42,0.42,0.41,0.39,0.4,0.41,0.4,0.42,0.4,0.39,0.4,0.39,0.38,0.38,0.39,0.39,0.35,0.38,0.38,0.37,0.37,0.34,0.35,0.36,0.37,0.33,0.35,0.33,0.36,0.35,0.33,0.32,0.34,0.33,0.33,0.32,0.31,0.33,0.32,0.33,0.32,0.33,0.32,0.33,0.33,0.33,0.32,0.32,0.32,0.31,0.32,0.31,0.32,0.3,0.3,0.3,0.31,0.31,0.31,0.31,0.3,0.3,0.29,0.28,0.29,0.28,0.29,0.29,0.29,0.29,0.28,0.28,0.28,0.28,0.28,0.29,0.29,0.27,0.28,0.27,0.28,0.27,0.27,0.27,0.27,0.26,0.25,0.26,0.26,0.29,0.26,0.25,0.24,0.26,0.26,0.25,0.26,0.25,0.26,0.25,0.24,0.24,0.24,0.25,0.25,0.25,0.25,0.23,0.24,0.23,0.24,0.24,0.23,0.22,0.22,0.23,0.23,0.23,0.23,0.23,0.0,0.23,0.22,0.22,0.22,0.23,0.0,0.22,0.22,0.22,0.22,0.22,0.22,0.24,0.22,0.22,0.23,0.22,0.22,0.22,0.23,0.22,0.0,0.22,0.22,0.0,0.31,0.22,0.22,0.21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,75.13000000000001
07/13/2021,0.9,0.83,0.86,0.78,0.84,0.81,0.77,0.79,0.79,0.73,0.75,0.75,0.71,0.71,0.69,0.7,0.69,0.68,0.62,0.61,0.6,0.6,0.58,0.57,0.58,0.57,0.57,0.57,0.58,0.57,0.54,0.54,0.54,0.53,0.54,0.53,0.53,0.51,0.52,0.51,0.53,0.51,0.52,0.5,0.48,0.49,0.45,0.47,0.44,0.46,0.45,0.45,0.43,0.4,0.42,0.42,0.41,0.39,0.4,0.41,0.4,0.42,0.4,0.39,0.4,0.39,0.38,0.38,0.39,0.39,0.35,0.38,0.38,0.37,0.37,0.34,0.35,0.36,0.37,0.33,0.35,0.33,0.36,0.35,0.33,0.32,0.34,0.33,0.33,0.32,0.31,0.33,0.32,0.33,0.32,0.33,0.32,0.33,0.33,0.33,0.32,0.32,0.32,0.31,0.32,0.31,0.32,0.3,0.3,0.3,0.31,0.31,0.31,0.31,0.3,0.3,0.29,0.28,0.29,0.28,0.29,0.29,0.29,0.29,0.28,0.28,0.28,0.28,0.28,0.29,0.29,0.27,0.28,0.27,0.28,0.27,0.27,0.27,0.27,0.26,0.25,0.26,0.26,0.29,0.26,0.25,0.24,0.26,0.26,0.25,0.26,0.25,0.26,0.25,0.24,0.24,0.24,0.25,0.25,0.25,0.25,0.23,0.24,0.23,0.24,0.24,0.23,0.22,0.22,0.23,0.23,0.23,0.23,0.23,0.0,0.23,0.22,0.22,0.22,0.23,0.0,0.22,0.22,0.22,0.22,0.22,0.22,0.24,0.22,0.22,0.23,0.22,0.22,0.22,0.23,0.22,0.0,0.22,0.22,0.0,0.31,0.22,0.22,0.21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,75.13000000000001
07/14/2021,0.89,0.83,0.84,0.76,0.84,0.82,0.78,0.79,0.79,0.73,0.69,0.75,0.72,0.7,0.67,0.7,0.67,0.67,0.62,0.61,0.59,0.6,0.58,0.57,0.59,0.56,0.57,0.59,0.58,0.57,0.55,0.54,0.54,0.51,0.54,0.53,0.52,0.5,0.53,0.53,0.53,0.51,0.51,0.51,0.48,0.48,0.45,0.46,0.44,0.45,0.44,0.44,0.42,0.42,0.43,0.44,0.42,0.41,0.41,0.41,0.4,0.41,0.41,0.39,0.4,0.39,0.38,0.39,0.41,0.38,0.36,0.38,0.38,0.37,0.37,0.35,0.36,0.37,0.36,0.34,0.35,0.34,0.35,0.35,0.33,0.32,0.32,0.34,0.34,0.31,0.32,0.32,0.33,0.32,0.32,0.33,0.33,0.33,0.33,0.33,0.31,0.32,0.31,0.31,0.31,0.32,0.32,0.3,0.31,0.3,0.3,0.29,0.31,0.31,0.29,0.3,0.29,0.29,0.29,0.29,0.28,0.27,0.29,0.29,0.28,0.29,0.29,0.28,0.28,0.28,0.28,0.27,0.29,0.27,0.27,0.27,0.27,0.27,0.27,0.26,0.25,0.26,0.26,0.29,0.26,0.25,0.24,0.25,0.26,0.25,0.26,0.25,0.26,0.25,0.25,0.24,0.24,0.25,0.26,0.24,0.25,0.24,0.24,0.23,0.24,0.24,0.23,0.23,0.23,0.22,0.23,0.23,0.23,0.22,0.0,0.23,0.23,0.22,0.23,0.22,0.0,0.22,0.22,0.22,0.22,0.22,0.22,0.24,0.22,0.22,0.22,0.22,0.22,0.22,0.22,0.22,0.22,0.22,0.0,0.0,0.31,0.22,0.0,0.0,0.21,0.21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,75.02000000000001
07/15/2021,0.89,0.83,0.83,0.76,0.85,0.82,0.78,0.78,0.78,0.71,0.68,0.76,0.71,0.69,0.68,0.7,0.67,0.66,0.63,0.62,0.59,0.6,0.57,0.55,0.6,0.56,0.57,0.59,0.58,0.57,0.55,0.54,0.55,0.51,0.53,0.52,0.52,0.51,0.52,0.53,0.53,0.51,0.51,0.51,0.48,0.48,0.46,0.46,0.44,0.45,0.44,0.44,0.42,0.42,0.42,0.44,0.41,0.4,0.4,0.42,0.41,0.41,0.41,0.39,0.4,0.39,0.38,0.38,0.4,0.38,0.34,0.38,0.38,0.36,0.37,0.36,0.36,0.36,0.36,0.34,0.35,0.35,0.35,0.35,0.33,0.32,0.33,0.34,0.34,0.32,0.33,0.32,0.33,0.33,0.32,0.33,0.33,0.32,0.32,0.32,0.31,0.32,0.32,0.31,0.31,0.33,0.32,0.3,0.3,0.31,0.3,0.29,0.31,0.31,0.29,0.3,0.29,0.29,0.29,0.29,0.28,0.27,0.29,0.29,0.28,0.29,0.29,0.28,0.28,0.28,0.28,0.27,0.29,0.27,0.27,0.27,0.27,0.28,0.27,0.26,0.25,0.25,0.26,0.3,0.25,0.25,0.24,0.25,0.26,0.25,0.26,0.25,0.26,0.25,0.25,0.24,0.24,0.24,0.26,0.24,0.25,0.24,0.24,0.23,0.24,0.23,0.23,0.23,0.22,0.23,0.23,0.23,0.23,0.23,0.0,0.23,0.22,0.22,0.23,0.22,0.0,0.22,0.23,0.22,0.22,0.22,0.22,0.24,0.22,0.22,0.22,0.22,0.22,0.22,0.22,0.22,0.22,0.21,0.21,0.0,0.32,0.22,0.0,0.0,0.0,0.0,0.21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,74.92
07/16/2021,0.89,0.83,0.83,0.76,0.85,0.82,0.78,0.78,0.78,0.71,0.68,0.76,0.71,0.69,0.68,0.7,0.67,0.66,0.63,0.62,0.59,0.6,0.57,0.55,0.6,0.56,0.57,0.59,0.58,0.57,0.55,0.54,0.55,0.51,0.53,0.52,0.52,0.51,0.52,0.53,0.53,0.51,0.51,0.51,0.48,0.48,0.46,0.46,0.44,0.45,0.44,0.44,0.42,0.42,0.42,0.44,0.41,0.4,0.4,0.42,0.41,0.41,0.41,0.39,0.4,0.39,0.38,0.38,0.4,0.38,0.34,0.38,0.38,0.36,0.37,0.36,0.36,0.36,0.36,0.34,0.35,0.35,0.35,0.35,0.33,0.32,0.33,0.34,0.34,0.32,0.33,0.32,0.33,0.33,0.32,0.33,0.33,0.32,0.32,0.32,0.31,0.32,0.32,0.31,0.31,0.33,0.32,0.3,0.3,0.31,0.3,0.29,0.31,0.31,0.29,0.3,0.29,0.29,0.29,0.29,0.28,0.27,0.29,0.29,0.28,0.29,0.29,0.28,0.28,0.28,0.28,0.27,0.29,0.27,0.27,0.27,0.27,0.28,0.27,0.26,0.25,0.25,0.26,0.3,0.25,0.25,0.24,0.25,0.26,0.25,0.26,0.25,0.26,0.25,0.25,0.24,0.24,0.24,0.26,0.24,0.25,0.24,0.24,0.23,0.24,0.23,0.23,0.23,0.22,0.23,0.23,0.23,0.23,0.23,0.0,0.23,0.22,0.22,0.23,0.22,0.0,0.22,0.23,0.22,0.22,0.22,0.22,0.24,0.22,0.22,0.22,0.22,0.22,0.22,0.22,0.22,0.22,0.21,0.21,0.0,0.32,0.22,0.0,0.0,0.0,0.0,0.21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,74.92
07/19/2021,0.89,0.84,0.85,0.71,0.86,0.82,0.77,0.78,0.8,0.7,0.71,0.77,0.71,0.69,0.65,0.69,0.66,0.66,0.63,0.59,0.6,0.61,0.56,0.52,0.58,0.57,0.58,0.58,0.59,0.58,0.54,0.54,0.53,0.53,0.53,0.52,0.52,0.51,0.53,0.52,0.53,0.5,0.51,0.52,0.47,0.48,0.46,0.47,0.45,0.47,0.46,0.46,0.42,0.4,0.43,0.45,0.42,0.39,0.41,0.41,0.41,0.42,0.42,0.39,0.4,0.39,0.38,0.38,0.39,0.38,0.29,0.38,0.38,0.34,0.36,0.34,0.36,0.36,0.36,0.32,0.35,0.33,0.35,0.34,0.33,0.3,0.33,0.35,0.31,0.28,0.32,0.32,0.32,0.33,0.32,0.33,0.33,0.33,0.32,0.33,0.29,0.31,0.33,0.3,0.33,0.33,0.33,0.3,0.31,0.31,0.31,0.28,0.31,0.32,0.28,0.3,0.28,0.28,0.29,0.3,0.28,0.26,0.3,0.29,0.28,0.3,0.29,0.28,0.28,0.28,0.27,0.27,0.29,0.26,0.28,0.27,0.27,0.28,0.27,0.24,0.25,0.26,0.26,0.29,0.27,0.23,0.24,0.26,0.27,0.26,0.27,0.27,0.26,0.26,0.25,0.24,0.25,0.25,0.27,0.26,0.26,0.24,0.25,0.23,0.25,0.23,0.24,0.22,0.0,0.23,0.23,0.23,0.23,0.23,0.0,0.24,0.22,0.22,0.24,0.24,0.0,0.22,0.23,0.22,0.23,0.23,0.22,0.25,0.22,0.22,0.23,0.23,0.22,0.22,0.22,0.23,0.0,0.22,0.22,0.0,0.34,0.23,0.0,0.22,0.22,0.0,0.22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,74.99000000000001
07/20/2021,0.9,0.84,0.86,0.68,0.87,0.82,0.76,0.77,0.79,0.69,0.72,0.78,0.71,0.71,0.64,0.69,0.66,0.68,0.64,0.59,0.61,0.62,0.55,0.51,0.57,0.56,0.6,0.59,0.61,0.58,0.54,0.53,0.52,0.55,0.54,0.53,0.51,0.51,0.53,0.51,0.52,0.49,0.5,0.52,0.46,0.49,0.45,0.46,0.45,0.48,0.47,0.46,0.41,0.39,0.43,0.45,0.43,0.38,0.41,0.41,0.41,0.43,0.42,0.39,0.4,0.39,0.38,0.38,0.4,0.38,0.29,0.39,0.38,0.34,0.37,0.34,0.36,0.37,0.37,0.32,0.35,0.33,0.35,0.35,0.32,0.29,0.33,0.35,0.31,0.28,0.31,0.32,0.32,0.33,0.32,0.33,0.33,0.34,0.32,0.32,0.29,0.31,0.34,0.3,0.32,0.33,0.33,0.3,0.3,0.31,0.31,0.28,0.31,0.32,0.28,0.3,0.28,0.3,0.3,0.3,0.28,0.26,0.3,0.29,0.28,0.3,0.29,0.29,0.28,0.27,0.26,0.26,0.29,0.25,0.29,0.27,0.28,0.28,0.28,0.24,0.25,0.26,0.27,0.29,0.27,0.23,0.24,0.26,0.28,0.26,0.27,0.27,0.27,0.26,0.25,0.24,0.25,0.25,0.27,0.26,0.26,0.23,0.25,0.24,0.26,0.23,0.23,0.22,0.0,0.23,0.23,0.23,0.23,0.23,0.0,0.25,0.22,0.0,0.25,0.24,0.0,0.22,0.23,0.22,0.23,0.23,0.22,0.25,0.23,0.22,0.23,0.23,0.22,0.22,0.22,0.23,0.0,0.22,0.22,0.0,0.33,0.23,0.22,0.22,0.22,0.0,0.0,0.22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,75.1
07/21/2021,0.9,0.84,0.86,0.68,0.87,0.82,0.76,0.77,0.79,0.69,0.72,0.78,0.71,0.71,0.64,0.69,0.66,0.68,0.64,0.59,0.61,0.62,0.55,0.51,0.57,0.56,0.6,0.59,0.61,0.58,0.54,0.53,0.52,0.55,0.54,0.53,0.51,0.51,0.53,0.51,0.52,0.49,0.5,0.52,0.46,0.49,0.45,0.46,0.45,0.48,0.47,0.46,0.41,0.39,0.43,0.45,0.43,0.38,0.41,0.41,0.41,0.43,0.42,0.39,0.4,0.39,0.38,0.38,0.4,0.38,0.29,0.39,0.38,0.34,0.37,0.34,0.36,0.37,0.37,0.32,0.35,0.33,0.35,0.35,0.32,0.29,0.33,0.35,0.31,0.28,0.31,0.32,0.32,0.33,0.32,0.33,0.33,0.34,0.32,0.32,0.29,0.31,0.34,0.3,0.32,0.33,0.33,0.3,0.3,0.31,0.31,0.28,0.31,0.32,0.28,0.3,0.28,0.3,0.3,0.3,0.28,0.26,0.3,0.29,0.28,0.3,0.29,0.29,0.28,0.27,0.26,0.26,0.29,0.25,0.29,0.27,0.28,0.28,0.28,0.24,0.25,0.26,0.27,0.29,0.27,0.23,0.24,0.26,0.28,0.26,0.27,0.27,0.27,0.26,0.25,0.24,0.25,0.25,0.27,0.26,0.26,0.23,0.25,0.24,0.26,0.23,0.23,0.22,0.0,0.23,0.23,0.23,0.23,0.23,0.0,0.25,0.22,0.0,0.25,0.24,0.0,0.22,0.23,0.22,0.23,0.23,0.22,0.25,0.23,0.22,0.23,0.23,0.22,0.22,0.22,0.23,0.0,0.22,0.22,0.0,0.33,0.23,0.22,0.22,0.22,0.0,0.0,0.22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,75.1
07/22/2021,0.9,0.84,0.86,0.68,0.87,0.82,0.76,0.77,0.79,0.69,0.72,0.78,0.71,0.71,0.64,0.69,0.66,0.68,0.64,0.59,0.61,0.62,0.55,0.51,0.57,0.56,0.6,0.59,0.61,0.58,0.54,0.53,0.52,0.55,0.54,0.53,0.51,0.51,0.53,0.51,0.52,0.49,0.5,0.52,0.46,0.49,0.45,0.46,0.45,0.48,0.47,0.46,0.41,0.39,0.43,0.45,0.43,0.38,0.41,0.41,0.41,0.43,0.42,0.39,0.4,0.39,0.38,0.38,0.4,0.38,0.29,0.39,0.38,0.34,0.37,0.34,0.36,0.37,0.37,0.32,0.35,0.33,0.35,0.35,0.32,0.29,0.33,0.35,0.31,0.28,0.31,0.32,0.32,0.33,0.32,0.33,0.33,0.34,0.32,0.32,0.29,0.31,0.34,0.3,0.32,0.33,0.33,0.3,0.3,0.31,0.31,0.28,0.31,0.32,0.28,0.3,0.28,0.3,0.3,0.3,0.28,0.26,0.3,0.29,0.28,0.3,0.29,0.29,0.28,0.27,0.26,0.26,0.29,0.25,0.29,0.27,0.28,0.28,0.28,0.24,0.25,0.26,0.27,0.29,0.27,0.23,0.24,0.26,0.28,0.26,0.27,0.27,0.27,0.26,0.25,0.24,0.25,0.25,0.27,0.26,0.26,0.23,0.25,0.24,0.26,0.23,0.23,0.22,0.0,0.23,0.23,0.23,0.23,0.23,0.0,0.25,0.22,0.0,0.25,0.24,0.0,0.22,0.23,0.22,0.23,0.23,0.22,0.25,0.23,0.22,0.23,0.23,0.22,0.22,0.22,0.23,0.0,0.22,0.22,0.0,0.33,0.23,0.22,0.22,0.22,0.0,0.0,0.22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,75.1
07/23/2021,0.9,0.85,0.88,0.68,0.88,0.82,0.75,0.76,0.78,0.68,0.73,0.78,0.71,0.71,0.65,0.7,0.66,0.68,0.63,0.61,0.62,0.61,0.55,0.56,0.57,0.55,0.59,0.6,0.61,0.59,0.55,0.53,0.53,0.57,0.54,0.55,0.51,0.5,0.53,0.53,0.52,0.5,0.49,0.51,0.46,0.48,0.44,0.46,0.44,0.48,0.47,0.47,0.4,0.38,0.44,0.46,0.44,0.39,0.41,0.43,0.4,0.43,0.43,0.38,0.39,0.39,0.37,0.39,0.42,0.38,0.28,0.39,0.38,0.34,0.36,0.34,0.36,0.38,0.37,0.31,0.36,0.32,0.35,0.36,0.32,0.29,0.32,0.34,0.31,0.29,0.3,0.32,0.31,0.33,0.33,0.33,0.33,0.34,0.32,0.32,0.31,0.31,0.34,0.3,0.32,0.35,0.34,0.29,0.3,0.3,0.31,0.28,0.32,0.33,0.29,0.3,0.28,0.33,0.3,0.3,0.28,0.26,0.31,0.29,0.29,0.29,0.28,0.28,0.28,0.27,0.28,0.26,0.3,0.25,0.29,0.27,0.27,0.28,0.28,0.24,0.25,0.27,0.27,0.28,0.27,0.23,0.23,0.26,0.28,0.26,0.27,0.27,0.27,0.26,0.25,0.23,0.24,0.25,0.27,0.26,0.26,0.23,0.25,0.23,0.25,0.23,0.23,0.0,0.0,0.23,0.23,0.23,0.23,0.22,0.0,0.25,0.21,0.0,0.25,0.23,0.0,0.22,0.23,0.22,0.23,0.22,0.22,0.24,0.22,0.22,0.23,0.23,0.22,0.22,0.22,0.22,0.0,0.0,0.22,0.0,0.33,0.23,0.22,0.22,0.22,0.0,0.0,0.22,0.22,0.21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,75.21000000000001
07/26/2021,0.91,0.85,0.86,0.68,0.84,0.82,0.76,0.77,0.78,0.69,0.72,0.74,0.72,0.71,0.67,0.68,0.64,0.67,0.63,0.65,0.6,0.61,0.55,0.55,0.57,0.57,0.6,0.6,0.61,0.58,0.56,0.53,0.53,0.55,0.55,0.53,0.51,0.49,0.53,0.51,0.51,0.52,0.51,0.51,0.46,0.47,0.45,0.45,0.44,0.46,0.45,0.45,0.41,0.38,0.46,0.48,0.4,0.4,0.39,0.41,0.41,0.45,0.43,0.37,0.41,0.41,0.38,0.39,0.42,0.37,0.29,0.39,0.37,0.33,0.37,0.34,0.41,0.35,0.37,0.31,0.36,0.32,0.35,0.36,0.35,0.3,0.32,0.34,0.32,0.31,0.31,0.33,0.31,0.32,0.31,0.33,0.35,0.34,0.32,0.33,0.3,0.31,0.35,0.32,0.32,0.37,0.34,0.29,0.31,0.32,0.3,0.3,0.31,0.33,0.29,0.29,0.28,0.36,0.29,0.29,0.28,0.27,0.29,0.28,0.29,0.28,0.28,0.27,0.29,0.28,0.27,0.26,0.28,0.26,0.28,0.26,0.27,0.28,0.28,0.25,0.24,0.26,0.26,0.28,0.26,0.25,0.26,0.26,0.27,0.25,0.27,0.28,0.26,0.25,0.26,0.24,0.26,0.25,0.27,0.25,0.25,0.23,0.25,0.23,0.25,0.24,0.22,0.0,0.0,0.23,0.24,0.24,0.0,0.22,0.0,0.24,0.22,0.0,0.24,0.23,0.0,0.22,0.23,0.22,0.22,0.21,0.23,0.24,0.22,0.22,0.23,0.22,0.22,0.22,0.21,0.0,0.0,0.0,0.0,0.0,0.33,0.22,0.21,0.22,0.21,0.0,0.22,0.22,0.22,0.21,0.22,0.21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,75.16
