,TPL,CRL,PSK.TO,FNV.TO,DB1.DE,ASX.AX,ICE,WPM.TO,ADM,MNRL,VNOM,BAM.A.TO,MMC,WFG.TO,CBRE,S68.SI,OR.TO,WY,ENX.PA,X.TO,CACI,VRSK,NTR.TO,CNS,SSL.TO,CME,JOE,F34.SI,DRR.AX,MSB,RPRX,934.HK,FRU.TO,ALS.TO,8697.T,DMLP,TPZ.TO,LIF.TO,Brookfield Asset Management Reinsurance Partners Ltd Class A,934.HK.1,934.HK.2,Us Bank Mmda - Usbgfs 7,Topaz Energy Corp Ordinary Shares,Canadian Dollar,Japanese Yen,BAMR,Euro,BAM,n/a,GLEN.L,LNG,SII.TO,PBT,SUM
07/09/2021,6.31,5.82,5.17,4.56,4.38,4.24,4.23,4.01,3.83,3.8,3.44,3.29,3.11,2.98,2.93,2.76,2.55,2.53,2.5,2.21,2.21,2.18,1.96,1.86,1.78,1.76,1.68,1.45,1.44,1.43,1.41,1.38,1.31,1.0,0.98,0.77,0.39,0.36,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.02
07/12/2021,5.85,6.06,5.03,4.78,4.47,4.23,4.25,4.13,3.82,3.61,3.25,3.28,3.15,3.12,2.9,2.8,2.58,2.6,2.55,2.2,2.25,2.27,1.92,1.86,1.79,1.72,1.64,1.48,1.39,1.42,1.42,0.0,1.31,0.99,1.0,0.76,0.0,0.37,0.0,0.0,0.0,1.34,0.39,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.99
07/13/2021,5.85,6.06,5.03,4.78,4.47,4.23,4.25,4.13,3.82,3.61,3.25,3.28,3.15,3.12,2.9,2.8,2.58,2.6,2.55,2.2,2.25,2.27,1.92,1.86,1.79,1.72,1.64,1.48,1.39,1.42,1.42,0.0,1.31,0.99,1.0,0.76,0.0,0.37,0.0,0.0,0.0,1.34,0.39,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.99
07/14/2021,5.95,6.07,5.03,4.66,4.35,4.19,4.28,4.09,3.84,3.68,3.31,3.29,3.14,3.13,2.91,2.8,2.52,2.67,2.49,2.19,2.27,2.26,1.97,1.83,1.77,1.74,1.67,1.47,1.42,1.46,1.41,0.0,1.3,0.98,0.99,0.75,0.38,0.37,0.0,0.0,0.0,1.35,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.99
07/15/2021,6.08,6.05,5.05,4.67,4.41,4.17,4.27,4.03,3.81,3.63,3.29,3.27,3.12,3.1,2.91,2.81,2.54,2.65,2.52,2.19,2.26,2.23,1.97,1.86,1.77,1.74,1.64,1.47,1.44,1.48,1.41,0.0,1.29,0.98,1.02,0.77,0.38,0.37,0.0,0.0,0.0,1.34,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
07/16/2021,6.04,6.06,4.99,4.76,4.42,4.19,4.28,4.12,3.78,3.61,3.3,3.25,3.12,3.05,2.83,2.86,2.55,2.58,2.53,2.2,2.27,2.26,1.99,1.86,1.79,1.75,1.6,1.49,1.43,1.46,1.42,0.0,1.29,0.97,1.05,0.77,0.39,0.37,0.0,0.0,0.0,1.35,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.04
07/19/2021,5.88,6.09,4.88,4.8,4.4,4.28,4.29,4.19,3.78,3.47,3.22,3.29,3.14,3.06,2.86,2.86,2.6,2.61,2.51,2.22,2.29,2.29,2.0,1.86,1.81,1.76,1.59,1.5,1.44,1.45,1.4,0.0,1.26,0.97,1.08,0.78,0.38,0.38,0.0,0.0,0.0,1.36,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.04
09/21/2021,4.87,6.89,4.74,4.41,4.26,4.54,4.27,3.83,4.0,3.32,3.62,0.0,3.49,3.24,3.3,2.53,2.26,2.65,2.88,2.31,2.18,2.51,2.03,1.98,1.43,1.56,1.62,1.4,1.31,1.28,1.3,0.0,1.31,0.93,1.23,0.74,0.41,0.36,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.54,1.47,0.0,0.0,0.0,0.0,100.0
09/22/2021,4.87,6.89,4.74,4.41,4.26,4.54,4.27,3.83,4.0,3.32,3.62,0.0,3.49,3.24,3.3,2.53,2.26,2.65,2.88,2.31,2.18,2.51,2.03,1.98,1.43,1.56,1.62,1.4,1.31,1.28,1.3,0.0,1.31,0.93,1.23,0.74,0.41,0.36,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.54,1.47,0.0,0.0,0.0,0.0,100.0
09/23/2021,4.87,6.89,4.74,4.41,4.26,4.54,4.27,3.83,4.0,3.32,3.62,0.0,3.49,3.24,3.3,2.53,2.26,2.65,2.88,2.31,2.18,2.51,2.03,1.98,1.43,1.56,1.62,1.4,1.31,1.28,1.3,0.0,1.31,0.93,1.23,0.74,0.41,0.36,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.54,1.47,0.0,0.0,0.0,0.0,100.0
09/24/2021,5.13,6.97,4.62,4.32,4.19,4.55,4.25,3.8,3.98,3.36,3.74,0.0,3.45,3.27,3.26,2.55,2.24,2.7,2.83,2.29,2.2,2.51,2.04,2.0,1.42,1.57,1.62,1.42,1.28,1.24,1.31,0.0,1.29,0.9,1.23,0.73,0.41,0.34,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.48,1.49,0.0,0.0,0.0,0.0,99.98
09/28/2021,5.12,7.17,4.56,4.2,4.32,4.55,4.27,3.63,3.83,3.35,3.78,0.0,3.49,3.37,3.26,2.53,2.14,2.77,2.77,2.3,2.18,2.59,2.08,1.97,1.36,1.6,1.58,1.43,1.36,1.17,1.25,0.0,1.31,0.9,1.18,0.73,0.44,0.35,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.61,1.47,0.0,0.0,0.0,0.0,99.97
09/29/2021,5.12,7.17,4.56,4.2,4.32,4.55,4.27,3.63,3.83,3.35,3.78,0.0,3.49,3.37,3.26,2.53,2.14,2.77,2.77,2.3,2.18,2.59,2.08,1.97,1.36,1.6,1.58,1.43,1.36,1.17,1.25,0.0,1.31,0.9,1.18,0.73,0.44,0.35,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.61,1.47,0.0,0.0,0.0,0.0,99.97
