,NESN.SW,ROG.SW,ASML.AS,MC.PA,7203.T,NOVN.SW,RYDBF,AZN.L,6758.T,RY.TO,ULVR.L,NOVO B.CO,1299.HK,SAP.DE,BHP.AX,CBA.AX,TTE.PA,TD.TO,DGE.L,9984.T,HSBA.L,RIO.L,6098.T,CSL.AX,GSK.L,BP.L,SAN.PA,ALV.DE,DTE.DE,SHOP,DAI.DE,BNS.TO,4503.T,OR.PA,388.HK,9434.T,AIR.PA,BATS.L,DPW.DE,AI.PA,CNR.TO,SIE.DE,ENB.TO,AD.AS,BMO.TO,ADS.DE,9433.T,CNQ.TO,VOW3.DE,SU.PA,IBE.MC,ENEL.MI,NAB.AX,BHP.L,BAS.DE,BAYN.DE,ABI.BR,BNP.PA,DG.PA,WBC.AX,KER.PA,SU.TO,6857.T,8306.T,SAN.MC,RKT.L,BBVA.MC,DSV.CO,CM.TO,6981.T,4901.T,RITN.,2413.T,4519.T,8316.T,REL.L,ANZ.AX,9020.T,UBSG.SW,ABBN.SW,TRP.TO,7267.T,4502.T,CRH.L,ZURN.SW,NTR.TO,BN.PA,6902.T,CPG.L,4452.T,BMW.DE,CP.TO,Brookfield Asset Management Inc,AHT.L,LLOY.L,IFX.DE,GLEN.L,6501.T,4911.T,INGA.AS,4307.T,VOLV B.ST,8001.T,RMS.PA,WES.AX,ATCO A.ST,CS.PA,SIKA.SW,SGO.PA,SAF.PA,7733.T,BARC.L,8058.T,PHIA.AS,NOKIA.HE,CAP.PA,ALC.SW,6861.T,ISP.MI,AAL.L,DB1.DE,ERIC B.ST,VOD.L,EL.PA,4543.T,WOW.AX,NG.L,4751.T,FERG.L,BT.A.L,WKL.AS,ITX.MC,GLE.PA,8015.T,DSM.AS,2.HK,ML.PA,LR.PA,HOLN.SW,PRU.L,ATD/A.NE,MG.TO,GIVN.SW,3382.T,NA.TO,2502.T,9613.T,4704.T,EXPN.L,6723.T,8766.T,PGHN.SW,GEBN.SW,5020.T,RCI/A.NE,9104.T,CSU.TO,6925.T,6504.T,5108.T,8304.T,D05.SI,MFC.TO,ENI.MI,4568.T,MUV2.DE,6752.T,TSCO.L,PRX.AS,UG,FMG.AX,IBAB.BR,ORA.PA,RI.PA,GMAB.CO,3.HK,NDA SE.ST,TEF.MC,AMS.MC,1308.HK,DBK.DE,UCG.MI,RIO.AX,SREN.SW,3064.T,VNA.DE,6479.T,FRE.DE,8113.T,5713.T,MQG.AX,1.HK,U11.SI,RWE.DE,8630.T,KNEBV.HE,7701.T,HEIA.AS,BA.L,IMB.L,ISCN.TA,VWS.CO,LONN.SW,SCMN.SW,AGR.VI,ABX.TO,RACE.MI,MT.AS,n/a,5201.T,SUM
07/23/2021,1.56,1.3,1.09,0.96,0.93,0.86,0.71,0.69,0.7,0.69,0.68,0.7,0.61,0.61,0.6,0.53,0.5,0.5,0.47,0.45,0.45,0.44,0.45,0.42,0.42,0.38,0.42,0.4,0.41,0.4,0.36,0.35,0.37,0.37,0.43,0.38,0.35,0.36,0.35,0.34,0.33,0.31,0.31,0.32,0.3,0.31,0.31,0.27,0.29,0.3,0.3,0.29,0.29,0.31,0.29,0.29,0.27,0.27,0.27,0.26,0.27,0.24,0.26,0.26,0.25,0.26,0.25,0.27,0.25,0.27,0.25,0.25,0.23,0.23,0.24,0.24,0.23,0.23,0.23,0.24,0.22,0.22,0.22,0.22,0.22,0.21,0.21,0.21,0.2,0.21,0.21,0.2,0.21,0.22,0.2,0.19,0.2,0.21,0.19,0.19,0.2,0.2,0.2,0.2,0.2,0.2,0.19,0.2,0.19,0.18,0.2,0.18,0.19,0.18,0.2,0.19,0.18,0.18,0.18,0.18,0.18,0.17,0.17,0.18,0.17,0.18,0.18,0.17,0.18,0.17,0.18,0.16,0.17,0.17,0.17,0.17,0.17,0.17,0.16,0.16,0.17,0.15,0.17,0.16,0.16,0.16,0.17,0.16,0.17,0.17,0.16,0.16,0.17,0.16,0.16,0.15,0.16,0.15,0.16,0.14,0.15,0.15,0.15,0.15,0.14,0.15,0.15,0.16,0.14,0.15,0.16,0.0,0.15,0.14,0.15,0.15,0.14,0.13,0.13,0.15,0.13,0.13,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.13,0.13,0.13,0.0,0.14,0.14,0.13,0.13,0.13,0.13,0.0,0.0,0.0,0.13,0.15,0.0,0.0,0.0,0.0,0.0,54.09
07/26/2021,1.57,1.3,1.12,0.98,0.92,0.85,0.7,0.7,0.69,0.69,0.66,0.71,0.6,0.58,0.57,0.53,0.5,0.5,0.47,0.44,0.45,0.44,0.46,0.44,0.42,0.38,0.43,0.4,0.41,0.44,0.36,0.35,0.38,0.37,0.44,0.38,0.36,0.34,0.35,0.35,0.33,0.32,0.31,0.32,0.3,0.3,0.31,0.28,0.29,0.31,0.3,0.28,0.29,0.31,0.29,0.29,0.27,0.27,0.27,0.26,0.27,0.24,0.26,0.25,0.25,0.26,0.26,0.27,0.26,0.26,0.25,0.25,0.23,0.23,0.23,0.24,0.23,0.22,0.24,0.24,0.22,0.22,0.22,0.21,0.22,0.21,0.21,0.21,0.2,0.21,0.21,0.2,0.21,0.22,0.2,0.2,0.2,0.2,0.19,0.19,0.21,0.2,0.2,0.21,0.2,0.21,0.2,0.2,0.18,0.19,0.21,0.18,0.19,0.18,0.21,0.19,0.19,0.17,0.18,0.18,0.18,0.16,0.17,0.18,0.17,0.18,0.18,0.17,0.18,0.16,0.19,0.16,0.17,0.17,0.18,0.17,0.17,0.17,0.16,0.16,0.17,0.15,0.17,0.16,0.16,0.16,0.17,0.17,0.17,0.16,0.16,0.17,0.17,0.15,0.15,0.15,0.16,0.15,0.16,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.16,0.14,0.15,0.16,0.0,0.15,0.14,0.15,0.15,0.15,0.13,0.13,0.14,0.14,0.13,0.14,0.14,0.14,0.14,0.14,0.14,0.15,0.13,0.13,0.0,0.13,0.0,0.14,0.14,0.14,0.13,0.13,0.0,0.0,0.0,0.13,0.14,0.15,0.13,0.0,0.0,0.0,0.0,54.22
07/27/2021,1.55,1.25,1.18,0.99,0.91,0.86,0.69,0.7,0.68,0.68,0.63,0.72,0.6,0.57,0.58,0.53,0.49,0.49,0.47,0.43,0.44,0.44,0.45,0.44,0.42,0.37,0.43,0.4,0.4,0.45,0.38,0.35,0.37,0.38,0.43,0.38,0.35,0.35,0.36,0.35,0.33,0.32,0.31,0.32,0.3,0.31,0.3,0.27,0.29,0.32,0.31,0.27,0.29,0.32,0.29,0.29,0.27,0.27,0.27,0.26,0.27,0.23,0.26,0.25,0.25,0.25,0.26,0.27,0.25,0.26,0.24,0.26,0.23,0.23,0.23,0.24,0.23,0.22,0.24,0.25,0.22,0.21,0.22,0.21,0.22,0.21,0.21,0.21,0.2,0.21,0.21,0.2,0.21,0.22,0.2,0.2,0.2,0.2,0.19,0.19,0.2,0.2,0.2,0.21,0.2,0.21,0.19,0.21,0.18,0.19,0.21,0.18,0.19,0.19,0.2,0.19,0.19,0.16,0.18,0.18,0.18,0.16,0.17,0.18,0.16,0.18,0.18,0.16,0.18,0.16,0.19,0.17,0.17,0.16,0.18,0.17,0.17,0.17,0.16,0.16,0.17,0.14,0.17,0.16,0.16,0.15,0.17,0.17,0.18,0.16,0.16,0.17,0.17,0.15,0.15,0.15,0.16,0.15,0.15,0.14,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.16,0.14,0.15,0.16,0.0,0.15,0.15,0.16,0.15,0.15,0.14,0.13,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.15,0.0,0.13,0.0,0.13,0.0,0.14,0.14,0.13,0.13,0.14,0.0,0.0,0.0,0.14,0.13,0.15,0.0,0.13,0.13,0.0,0.0,54.08
07/28/2021,1.55,1.25,1.18,0.99,0.91,0.86,0.69,0.7,0.68,0.68,0.63,0.72,0.6,0.57,0.58,0.53,0.49,0.49,0.47,0.43,0.44,0.44,0.45,0.44,0.42,0.37,0.43,0.4,0.4,0.45,0.38,0.35,0.37,0.38,0.43,0.38,0.35,0.35,0.36,0.35,0.33,0.32,0.31,0.32,0.3,0.31,0.3,0.27,0.29,0.32,0.31,0.27,0.29,0.32,0.29,0.29,0.27,0.27,0.27,0.26,0.27,0.23,0.26,0.25,0.25,0.25,0.26,0.27,0.25,0.26,0.24,0.26,0.23,0.23,0.23,0.24,0.23,0.22,0.24,0.25,0.22,0.21,0.22,0.21,0.22,0.21,0.21,0.21,0.2,0.21,0.21,0.2,0.21,0.22,0.2,0.2,0.2,0.2,0.19,0.19,0.2,0.2,0.2,0.21,0.2,0.21,0.19,0.21,0.18,0.19,0.21,0.18,0.19,0.19,0.2,0.19,0.19,0.16,0.18,0.18,0.18,0.16,0.17,0.18,0.16,0.18,0.18,0.16,0.18,0.16,0.19,0.17,0.17,0.16,0.18,0.17,0.17,0.17,0.16,0.16,0.17,0.14,0.17,0.16,0.16,0.15,0.17,0.17,0.18,0.16,0.16,0.17,0.17,0.15,0.15,0.15,0.16,0.15,0.15,0.14,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.16,0.14,0.15,0.16,0.0,0.15,0.15,0.16,0.15,0.15,0.14,0.13,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.15,0.0,0.13,0.0,0.13,0.0,0.14,0.14,0.13,0.13,0.14,0.0,0.0,0.0,0.14,0.13,0.15,0.0,0.13,0.13,0.0,0.0,54.08
07/29/2021,1.53,1.24,1.17,0.98,0.92,0.85,0.7,0.68,0.68,0.68,0.61,0.7,0.59,0.57,0.59,0.53,0.5,0.49,0.46,0.42,0.44,0.45,0.46,0.44,0.41,0.38,0.43,0.4,0.4,0.44,0.38,0.35,0.37,0.37,0.41,0.38,0.35,0.34,0.35,0.34,0.32,0.32,0.31,0.32,0.3,0.3,0.3,0.27,0.28,0.32,0.3,0.27,0.29,0.32,0.29,0.29,0.27,0.27,0.27,0.26,0.27,0.24,0.26,0.25,0.26,0.25,0.27,0.27,0.26,0.27,0.25,0.26,0.23,0.23,0.23,0.24,0.22,0.22,0.24,0.24,0.22,0.21,0.22,0.21,0.22,0.21,0.2,0.21,0.2,0.21,0.21,0.2,0.21,0.22,0.21,0.2,0.21,0.2,0.19,0.2,0.2,0.2,0.2,0.21,0.2,0.21,0.19,0.2,0.18,0.18,0.21,0.19,0.19,0.18,0.2,0.19,0.18,0.17,0.18,0.19,0.18,0.16,0.17,0.18,0.17,0.18,0.18,0.17,0.18,0.16,0.19,0.17,0.17,0.17,0.18,0.17,0.17,0.17,0.16,0.16,0.17,0.14,0.17,0.16,0.16,0.16,0.17,0.17,0.17,0.15,0.16,0.17,0.17,0.15,0.15,0.15,0.16,0.15,0.16,0.14,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.16,0.0,0.15,0.16,0.0,0.15,0.14,0.15,0.15,0.15,0.14,0.13,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.15,0.14,0.15,0.13,0.14,0.0,0.13,0.0,0.14,0.14,0.14,0.13,0.14,0.0,0.0,0.0,0.13,0.13,0.15,0.0,0.13,0.13,0.0,0.0,53.95
07/30/2021,1.53,1.24,1.17,0.98,0.92,0.85,0.7,0.68,0.68,0.68,0.61,0.7,0.59,0.57,0.59,0.53,0.5,0.49,0.46,0.42,0.44,0.45,0.46,0.44,0.41,0.38,0.43,0.4,0.4,0.44,0.38,0.35,0.37,0.37,0.41,0.38,0.35,0.34,0.35,0.34,0.32,0.32,0.31,0.32,0.3,0.3,0.3,0.27,0.28,0.32,0.3,0.27,0.29,0.32,0.29,0.29,0.27,0.27,0.27,0.26,0.27,0.24,0.26,0.25,0.26,0.25,0.27,0.27,0.26,0.27,0.25,0.26,0.23,0.23,0.23,0.24,0.22,0.22,0.24,0.24,0.22,0.21,0.22,0.21,0.22,0.21,0.2,0.21,0.2,0.21,0.21,0.2,0.21,0.22,0.21,0.2,0.21,0.2,0.19,0.2,0.2,0.2,0.2,0.21,0.2,0.21,0.19,0.2,0.18,0.18,0.21,0.19,0.19,0.18,0.2,0.19,0.18,0.17,0.18,0.19,0.18,0.16,0.17,0.18,0.17,0.18,0.18,0.17,0.18,0.16,0.19,0.17,0.17,0.17,0.18,0.17,0.17,0.17,0.16,0.16,0.17,0.14,0.17,0.16,0.16,0.16,0.17,0.17,0.17,0.15,0.16,0.17,0.17,0.15,0.15,0.15,0.16,0.15,0.16,0.14,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.16,0.0,0.15,0.16,0.0,0.15,0.14,0.15,0.15,0.15,0.14,0.13,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.15,0.14,0.15,0.13,0.14,0.0,0.13,0.0,0.14,0.14,0.14,0.13,0.14,0.0,0.0,0.0,0.13,0.13,0.15,0.0,0.13,0.13,0.0,0.0,53.95
08/02/2021,1.53,1.25,1.18,1.01,0.92,0.86,0.71,0.68,0.69,0.68,0.61,0.72,0.56,0.59,0.59,0.53,0.5,0.5,0.47,0.4,0.44,0.45,0.46,0.43,0.41,0.38,0.43,0.4,0.4,0.42,0.37,0.35,0.37,0.38,0.38,0.38,0.37,0.34,0.35,0.34,0.33,0.32,0.31,0.32,0.3,0.3,0.3,0.27,0.28,0.31,0.3,0.27,0.29,0.33,0.29,0.28,0.27,0.27,0.27,0.26,0.28,0.23,0.26,0.26,0.25,0.22,0.26,0.27,0.26,0.27,0.25,0.26,0.23,0.23,0.23,0.24,0.22,0.22,0.24,0.24,0.22,0.22,0.22,0.21,0.22,0.21,0.2,0.21,0.2,0.21,0.2,0.2,0.22,0.21,0.21,0.19,0.21,0.2,0.19,0.19,0.2,0.2,0.2,0.21,0.2,0.21,0.19,0.2,0.18,0.19,0.21,0.19,0.19,0.18,0.2,0.2,0.19,0.17,0.18,0.19,0.17,0.16,0.17,0.18,0.17,0.18,0.18,0.17,0.17,0.16,0.19,0.16,0.17,0.17,0.18,0.18,0.17,0.17,0.16,0.16,0.17,0.14,0.17,0.16,0.16,0.16,0.17,0.17,0.17,0.15,0.16,0.17,0.17,0.15,0.15,0.15,0.16,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.16,0.0,0.15,0.16,0.0,0.15,0.14,0.15,0.15,0.15,0.14,0.13,0.13,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.15,0.14,0.13,0.0,0.13,0.0,0.14,0.14,0.13,0.13,0.14,0.0,0.0,0.0,0.13,0.14,0.15,0.13,0.0,0.13,0.0,0.0,53.92999999999999
08/03/2021,1.53,1.25,1.18,1.01,0.92,0.86,0.71,0.68,0.69,0.68,0.61,0.72,0.56,0.59,0.59,0.53,0.5,0.5,0.47,0.4,0.44,0.45,0.46,0.43,0.41,0.38,0.43,0.4,0.4,0.42,0.37,0.35,0.37,0.38,0.38,0.38,0.37,0.34,0.35,0.34,0.33,0.32,0.31,0.32,0.3,0.3,0.3,0.27,0.28,0.31,0.3,0.27,0.29,0.33,0.29,0.28,0.27,0.27,0.27,0.26,0.28,0.23,0.26,0.26,0.25,0.22,0.26,0.27,0.26,0.27,0.25,0.26,0.23,0.23,0.23,0.24,0.22,0.22,0.24,0.24,0.22,0.22,0.22,0.21,0.22,0.21,0.2,0.21,0.2,0.21,0.2,0.2,0.22,0.21,0.21,0.19,0.21,0.2,0.19,0.19,0.2,0.2,0.2,0.21,0.2,0.21,0.19,0.2,0.18,0.19,0.21,0.19,0.19,0.18,0.2,0.2,0.19,0.17,0.18,0.19,0.17,0.16,0.17,0.18,0.17,0.18,0.18,0.17,0.17,0.16,0.19,0.16,0.17,0.17,0.18,0.18,0.17,0.17,0.16,0.16,0.17,0.14,0.17,0.16,0.16,0.16,0.17,0.17,0.17,0.15,0.16,0.17,0.17,0.15,0.15,0.15,0.16,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.16,0.0,0.15,0.16,0.0,0.15,0.14,0.15,0.15,0.15,0.14,0.13,0.13,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.15,0.14,0.13,0.0,0.13,0.0,0.14,0.14,0.13,0.13,0.14,0.0,0.0,0.0,0.13,0.14,0.15,0.13,0.0,0.13,0.0,0.0,53.92999999999999
08/04/2021,1.53,1.25,1.18,1.01,0.92,0.86,0.71,0.68,0.69,0.68,0.61,0.72,0.56,0.59,0.59,0.53,0.5,0.5,0.47,0.4,0.44,0.45,0.46,0.43,0.41,0.38,0.43,0.4,0.4,0.42,0.37,0.35,0.37,0.38,0.38,0.38,0.37,0.34,0.35,0.34,0.33,0.32,0.31,0.32,0.3,0.3,0.3,0.27,0.28,0.31,0.3,0.27,0.29,0.33,0.29,0.28,0.27,0.27,0.27,0.26,0.28,0.23,0.26,0.26,0.25,0.22,0.26,0.27,0.26,0.27,0.25,0.26,0.23,0.23,0.23,0.24,0.22,0.22,0.24,0.24,0.22,0.22,0.22,0.21,0.22,0.21,0.2,0.21,0.2,0.21,0.2,0.2,0.22,0.21,0.21,0.19,0.21,0.2,0.19,0.19,0.2,0.2,0.2,0.21,0.2,0.21,0.19,0.2,0.18,0.19,0.21,0.19,0.19,0.18,0.2,0.2,0.19,0.17,0.18,0.19,0.17,0.16,0.17,0.18,0.17,0.18,0.18,0.17,0.17,0.16,0.19,0.16,0.17,0.17,0.18,0.18,0.17,0.17,0.16,0.16,0.17,0.14,0.17,0.16,0.16,0.16,0.17,0.17,0.17,0.15,0.16,0.17,0.17,0.15,0.15,0.15,0.16,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.16,0.0,0.15,0.16,0.0,0.15,0.14,0.15,0.15,0.15,0.14,0.13,0.13,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.15,0.14,0.13,0.0,0.13,0.0,0.14,0.14,0.13,0.13,0.14,0.0,0.0,0.0,0.13,0.14,0.15,0.13,0.0,0.13,0.0,0.0,53.92999999999999
08/05/2021,1.53,1.25,1.18,1.01,0.92,0.86,0.71,0.68,0.69,0.68,0.61,0.72,0.56,0.59,0.59,0.53,0.5,0.5,0.47,0.4,0.44,0.45,0.46,0.43,0.41,0.38,0.43,0.4,0.4,0.42,0.37,0.35,0.37,0.38,0.38,0.38,0.37,0.34,0.35,0.34,0.33,0.32,0.31,0.32,0.3,0.3,0.3,0.27,0.28,0.31,0.3,0.27,0.29,0.33,0.29,0.28,0.27,0.27,0.27,0.26,0.28,0.23,0.26,0.26,0.25,0.22,0.26,0.27,0.26,0.27,0.25,0.26,0.23,0.23,0.23,0.24,0.22,0.22,0.24,0.24,0.22,0.22,0.22,0.21,0.22,0.21,0.2,0.21,0.2,0.21,0.2,0.2,0.22,0.21,0.21,0.19,0.21,0.2,0.19,0.19,0.2,0.2,0.2,0.21,0.2,0.21,0.19,0.2,0.18,0.19,0.21,0.19,0.19,0.18,0.2,0.2,0.19,0.17,0.18,0.19,0.17,0.16,0.17,0.18,0.17,0.18,0.18,0.17,0.17,0.16,0.19,0.16,0.17,0.17,0.18,0.18,0.17,0.17,0.16,0.16,0.17,0.14,0.17,0.16,0.16,0.16,0.17,0.17,0.17,0.15,0.16,0.17,0.17,0.15,0.15,0.15,0.16,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.16,0.0,0.15,0.16,0.0,0.15,0.14,0.15,0.15,0.15,0.14,0.13,0.13,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.15,0.14,0.13,0.0,0.13,0.0,0.14,0.14,0.13,0.13,0.14,0.0,0.0,0.0,0.13,0.14,0.15,0.13,0.0,0.13,0.0,0.0,53.92999999999999
08/06/2021,1.54,1.26,1.23,1.0,0.93,0.85,0.73,0.67,0.71,0.67,0.61,0.72,0.58,0.58,0.6,0.53,0.5,0.49,0.48,0.41,0.43,0.45,0.46,0.43,0.42,0.37,0.42,0.37,0.39,0.41,0.38,0.34,0.36,0.38,0.41,0.37,0.37,0.33,0.34,0.33,0.33,0.32,0.31,0.32,0.29,0.3,0.29,0.27,0.28,0.32,0.3,0.26,0.29,0.32,0.28,0.28,0.24,0.27,0.27,0.26,0.28,0.22,0.27,0.26,0.24,0.23,0.26,0.27,0.25,0.27,0.25,0.26,0.22,0.23,0.23,0.25,0.23,0.21,0.25,0.24,0.22,0.22,0.22,0.22,0.22,0.2,0.22,0.22,0.2,0.21,0.2,0.2,0.22,0.2,0.2,0.2,0.21,0.19,0.18,0.19,0.21,0.19,0.21,0.21,0.2,0.21,0.2,0.2,0.18,0.18,0.21,0.19,0.19,0.18,0.21,0.2,0.19,0.18,0.18,0.2,0.17,0.16,0.17,0.19,0.17,0.18,0.17,0.15,0.17,0.15,0.19,0.17,0.17,0.17,0.18,0.17,0.17,0.18,0.16,0.16,0.17,0.14,0.17,0.15,0.16,0.16,0.16,0.16,0.18,0.16,0.16,0.18,0.17,0.15,0.15,0.19,0.16,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.14,0.15,0.15,0.16,0.0,0.16,0.15,0.0,0.14,0.14,0.16,0.15,0.15,0.14,0.13,0.14,0.14,0.14,0.14,0.14,0.13,0.14,0.14,0.13,0.15,0.14,0.13,0.0,0.0,0.0,0.14,0.14,0.14,0.13,0.14,0.0,0.0,0.0,0.14,0.14,0.15,0.13,0.13,0.14,0.0,0.0,53.95
08/10/2021,1.5,1.28,1.26,1.0,0.92,0.84,0.74,0.68,0.7,0.68,0.6,0.79,0.57,0.6,0.59,0.54,0.51,0.49,0.48,0.4,0.44,0.44,0.45,0.43,0.42,0.39,0.41,0.36,0.39,0.42,0.37,0.35,0.35,0.38,0.42,0.38,0.36,0.33,0.34,0.33,0.33,0.34,0.31,0.32,0.3,0.3,0.29,0.27,0.28,0.33,0.29,0.25,0.29,0.31,0.29,0.26,0.24,0.27,0.27,0.26,0.28,0.21,0.28,0.25,0.25,0.22,0.27,0.27,0.25,0.27,0.24,0.26,0.21,0.22,0.23,0.25,0.23,0.21,0.25,0.24,0.22,0.22,0.21,0.22,0.22,0.2,0.22,0.22,0.2,0.21,0.19,0.2,0.0,0.2,0.2,0.21,0.21,0.19,0.18,0.2,0.21,0.19,0.21,0.21,0.2,0.21,0.2,0.21,0.19,0.17,0.21,0.19,0.19,0.17,0.21,0.2,0.19,0.17,0.18,0.2,0.17,0.16,0.17,0.19,0.17,0.18,0.18,0.15,0.17,0.15,0.19,0.16,0.18,0.17,0.18,0.17,0.17,0.18,0.16,0.16,0.17,0.14,0.17,0.15,0.16,0.15,0.16,0.16,0.18,0.16,0.16,0.18,0.17,0.15,0.15,0.21,0.17,0.15,0.15,0.15,0.16,0.15,0.15,0.15,0.13,0.15,0.15,0.15,0.0,0.17,0.14,0.0,0.14,0.14,0.16,0.15,0.15,0.14,0.0,0.13,0.14,0.14,0.14,0.14,0.13,0.14,0.15,0.13,0.16,0.14,0.13,0.0,0.13,0.0,0.14,0.14,0.14,0.0,0.14,0.0,0.0,0.0,0.14,0.14,0.15,0.13,0.14,0.14,0.22,0.13,54.03
