,VNA.DE,GMG.AX,8801.T,16.HK,8802.T,DWNI.DE,823.HK,1925.T,SGRO.L,8830.T,1113.HK,URW.AS,SCG.AX,LEG.DE,8951.T,1997.HK,AT1.DE,8952.T,DXSDB.AX,MGR.AX,GFC.PA,3283.T,SGP.AX,1878.T,3462.T,8953.T,SPSN.SW,3281.T,C38U.SI,A17U.SI,17.HK,LAND.L,C31.SI,GPT.AX,BALD B.ST,CAST.ST,BLND.L,12.HK,UTG.L,4.HK,8984.T,LLC.AX,3003.T,H78.SI,PSPN.SW,WDP.BR,8954.T,DLN.L,LI.PA,CHC.AX,83.HK,TEG.DE,AED.BR,BBOX.L,3269.T,8960.T,COFB.BR,M44U.SI,VCX.AX,FABG.ST,101.HK,COV.PA,CAR.UN.TO,ME8U.SI,3249.T,ENTRA.OL,SBB B.ST,8955.T,3289.T,3309.T,MRL.MC,N2IU.SI,WALL B.ST,AOX.DE,3279.T,3231.T,8972.T,1972.HK,BUOU.SI,BYG.L,WIHL.ST,8804.T,CAI.VI,3466.T,LMP.L,3226.T,PHP.L,SAFE.L,GYC.DE,AGR.L,8967.T,ALLN.SW,REI.UN.TO,8985.T,ICAD.PA,GRI.L,3471.T,COL.MC,U14.SI,GPOR.L,AZRG.TA,T82U.SI,TCN.TO,3234.T,NYF.ST,AJBU.SI,J69U.SI,C09.SI,SHB.L,NXI.PA,8963.T,ADJ.DE,14.HK,8986.T,8964.T,8976.T,IIA.VI,HMSO.L,KLED.ST,3292.T,AP.UN.TO,10.HK,GRT.UN.TO,3278.T,MOBN.SW,3295.T,HUFV A.ST,3282.T,CAPC.L,683.HK,SCP.AX,ALHE.TA,8956.T,CLW.AX,HR.UN.TO,GMT.NZ,CHP.UN.TO,3296.T,8987.T,MVNE.TA,K71U.SI,3481.T,8957.T,3298.T,SRE.L,SRU.UN.TO,NSR.AX,RW0U.SI,FCR.UN.TO,WKP.L,778.HK,BWP.AX,SMP.L,CATE.ST,3453.T,8905.T,MLSR.TA,GVYM.TA,8966.T,3287.T,CQR.AX,8919.T,WPR.AX,VGP.BR,HMN.SI,INS.DE,PCT.NZ,8975.T,8961.T,AUD,INA.AX,C2PU.SI,CMW.AX,DIGS.L,CNI.AX,8968.T,KPG.NZ,CIP.AX,SUPR.L,SHUR.BR,AMOT.TA,BTOU.SI,DIR-U.NE,SMU.UN.TO,MONT.BR,ATRLJ B.ST,JPY,41.HK,LXI.L,8803.T,BIG.TA,DEQ.DE,SPI.VI,8977.T,LIC.AX,ARPT.TA,BEFB.BR,2778.HK,XIOR.BR,8958.T,DXS.AX,PLAZ B.ST,CIBUS.ST,EUR,BCPT.L,CSH.L,GBP,HBRN.IR,RIT1.TA,AU8U.SI,IIP.UN.TO,777.DE,ARG.NZ,2979.T,ARF.AX,ABP.AX,8850.T,CLI SP Equity,SGD,HMC.AX,HKD,SAGAB.ST,CLI.SI,KOJAMO.HE,CTPNV.AS,NWH.UN.TO,3468.T,KMP.UN.TO,K2LU.SI,n/a,XTSLA,9CI.SI,DIR.UN.TO,AVN.AX,BEI.UN.TO,DIOS.ST,PNDX B.ST,NP3.ST,WPRDA.AX,J91U.SI,SUM
07/27/2021,4.05,2.82,2.28,2.34,2.21,2.21,2.08,2.08,2.03,1.61,1.39,1.21,1.01,1.16,1.07,1.03,0.94,0.88,0.0,0.85,0.88,0.86,0.8,0.85,0.75,0.73,0.81,0.78,0.72,0.76,0.7,0.73,0.76,0.69,0.71,0.7,0.67,0.65,0.63,0.57,0.61,0.61,0.58,0.56,0.57,0.59,0.53,0.56,0.51,0.54,0.52,0.5,0.52,0.5,0.5,0.46,0.47,0.46,0.44,0.47,0.46,0.45,0.42,0.42,0.42,0.4,0.43,0.38,0.35,0.38,0.37,0.35,0.36,0.37,0.31,0.3,0.31,0.33,0.33,0.33,0.32,0.32,0.3,0.32,0.31,0.32,0.3,0.31,0.29,0.29,0.29,0.3,0.28,0.27,0.29,0.28,0.28,0.27,0.26,0.26,0.28,0.24,0.25,0.25,0.27,0.25,0.24,0.24,0.25,0.25,0.24,0.22,0.25,0.24,0.22,0.22,0.22,0.21,0.24,0.23,0.23,0.21,0.23,0.22,0.22,0.21,0.21,0.22,0.2,0.19,0.2,0.2,0.19,0.2,0.19,0.19,0.19,0.19,0.18,0.18,0.18,0.18,0.18,0.18,0.17,0.17,0.17,0.16,0.16,0.15,0.16,0.15,0.16,0.17,0.16,0.16,0.15,0.14,0.14,0.14,0.15,0.15,0.15,0.16,0.14,0.15,0.14,0.14,0.14,0.14,0.13,0.14,0.13,0.14,0.13,0.12,0.13,0.13,0.13,0.14,0.12,0.11,0.12,0.13,0.13,0.11,0.12,0.12,0.13,0.12,0.13,0.12,0.0,0.0,0.11,0.11,0.11,0.11,0.12,0.11,0.85,0.11,0.11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,89.9
07/29/2021,3.85,2.87,2.3,2.31,2.22,2.26,2.06,2.1,2.02,1.61,1.38,1.24,0.97,1.15,1.06,1.02,0.96,0.87,0.0,0.83,0.88,0.87,0.79,0.84,0.74,0.73,0.82,0.77,0.72,0.76,0.7,0.75,0.76,0.67,0.71,0.7,0.68,0.64,0.64,0.55,0.6,0.63,0.58,0.56,0.57,0.59,0.53,0.57,0.53,0.55,0.52,0.5,0.51,0.51,0.49,0.45,0.48,0.46,0.43,0.48,0.46,0.46,0.42,0.42,0.42,0.4,0.43,0.37,0.35,0.38,0.38,0.35,0.36,0.38,0.31,0.3,0.31,0.31,0.33,0.33,0.32,0.32,0.21,0.32,0.32,0.32,0.3,0.31,0.28,0.29,0.29,0.3,0.29,0.27,0.29,0.29,0.28,0.28,0.26,0.27,0.28,0.24,0.25,0.25,0.27,0.25,0.24,0.24,0.25,0.25,0.24,0.22,0.25,0.23,0.22,0.22,0.23,0.22,0.25,0.23,0.23,0.22,0.23,0.22,0.23,0.21,0.22,0.22,0.2,0.19,0.2,0.2,0.19,0.21,0.19,0.19,0.19,0.19,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.16,0.16,0.15,0.16,0.15,0.16,0.17,0.16,0.16,0.15,0.14,0.14,0.14,0.15,0.15,0.15,0.16,0.14,0.15,0.15,0.14,0.14,0.13,0.13,0.14,0.12,0.14,0.13,0.12,0.13,0.13,0.14,0.14,0.12,0.11,0.12,0.13,0.13,0.12,0.12,0.12,0.13,0.12,0.13,0.12,0.0,0.0,0.12,0.11,0.11,0.11,0.12,0.11,0.84,0.12,0.0,0.14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,89.82999999999998
07/30/2021,3.83,2.88,2.37,2.28,2.25,2.25,2.06,2.12,2.03,1.63,1.39,1.21,0.98,1.14,1.07,1.01,0.95,0.88,0.0,0.84,0.87,0.88,0.79,0.85,0.75,0.75,0.82,0.79,0.72,0.75,0.69,0.75,0.76,0.69,0.71,0.7,0.68,0.63,0.65,0.53,0.61,0.62,0.59,0.56,0.58,0.59,0.54,0.58,0.52,0.57,0.5,0.49,0.52,0.5,0.49,0.46,0.48,0.45,0.43,0.48,0.45,0.46,0.43,0.42,0.43,0.4,0.43,0.39,0.36,0.39,0.38,0.35,0.36,0.38,0.32,0.31,0.31,0.31,0.32,0.34,0.32,0.33,0.21,0.32,0.32,0.33,0.3,0.31,0.28,0.29,0.29,0.3,0.29,0.27,0.3,0.29,0.29,0.28,0.26,0.27,0.28,0.24,0.25,0.25,0.28,0.25,0.24,0.24,0.25,0.25,0.24,0.22,0.25,0.24,0.23,0.23,0.23,0.22,0.25,0.23,0.23,0.22,0.23,0.22,0.23,0.21,0.22,0.22,0.2,0.18,0.2,0.2,0.19,0.2,0.19,0.19,0.19,0.19,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.17,0.16,0.16,0.16,0.16,0.15,0.16,0.17,0.16,0.16,0.15,0.14,0.14,0.14,0.14,0.16,0.15,0.16,0.15,0.15,0.14,0.14,0.14,0.11,0.13,0.13,0.12,0.14,0.13,0.12,0.13,0.13,0.14,0.14,0.12,0.11,0.12,0.13,0.13,0.12,0.0,0.12,0.13,0.12,0.14,0.12,0.0,0.0,0.12,0.11,0.11,0.11,0.12,0.11,0.84,0.11,0.11,0.0,0.11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,90.03999999999999
08/02/2021,3.84,2.85,2.31,2.27,2.23,2.28,2.04,2.11,2.04,1.59,1.37,1.22,0.99,1.15,1.09,1.01,0.96,0.88,0.0,0.83,0.88,0.89,0.78,0.86,0.77,0.75,0.82,0.8,0.73,0.78,0.69,0.76,0.76,0.67,0.71,0.7,0.69,0.63,0.65,0.53,0.6,0.63,0.59,0.54,0.58,0.59,0.54,0.58,0.51,0.56,0.51,0.49,0.52,0.51,0.49,0.47,0.49,0.47,0.44,0.48,0.48,0.46,0.43,0.43,0.41,0.43,0.43,0.4,0.35,0.39,0.38,0.36,0.35,0.38,0.32,0.31,0.32,0.31,0.33,0.34,0.32,0.33,0.21,0.33,0.32,0.32,0.31,0.31,0.28,0.3,0.29,0.3,0.29,0.27,0.29,0.29,0.29,0.27,0.26,0.27,0.29,0.24,0.25,0.25,0.27,0.25,0.24,0.24,0.26,0.25,0.25,0.21,0.25,0.24,0.23,0.23,0.23,0.23,0.25,0.23,0.23,0.22,0.22,0.22,0.23,0.22,0.22,0.21,0.21,0.18,0.2,0.2,0.19,0.2,0.19,0.19,0.19,0.19,0.18,0.18,0.17,0.19,0.18,0.0,0.18,0.18,0.17,0.16,0.16,0.16,0.16,0.15,0.16,0.17,0.16,0.16,0.16,0.14,0.15,0.15,0.14,0.15,0.15,0.16,0.15,0.15,0.14,0.14,0.14,0.14,0.13,0.14,0.12,0.14,0.13,0.12,0.13,0.13,0.14,0.14,0.12,0.11,0.12,0.13,0.13,0.12,0.34,0.12,0.13,0.12,0.14,0.12,0.0,0.0,0.12,0.11,0.11,0.11,0.12,0.0,0.83,0.11,0.11,0.0,0.11,0.11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,90.35
08/03/2021,3.85,2.86,2.29,2.24,2.22,2.29,2.03,2.07,2.07,1.57,1.36,1.18,1.01,1.16,1.08,0.99,0.96,0.89,0.0,0.85,0.88,0.87,0.79,0.82,0.76,0.75,0.83,0.79,0.73,0.77,0.69,0.76,0.76,0.68,0.72,0.7,0.68,0.62,0.66,0.53,0.61,0.62,0.58,0.54,0.58,0.6,0.53,0.58,0.5,0.57,0.5,0.5,0.53,0.51,0.48,0.47,0.48,0.46,0.45,0.48,0.49,0.46,0.43,0.44,0.41,0.42,0.43,0.38,0.35,0.39,0.38,0.36,0.35,0.38,0.32,0.3,0.32,0.31,0.33,0.34,0.32,0.32,0.21,0.33,0.32,0.3,0.31,0.32,0.28,0.3,0.28,0.3,0.29,0.28,0.29,0.29,0.29,0.28,0.26,0.28,0.3,0.24,0.25,0.25,0.28,0.25,0.24,0.24,0.25,0.25,0.24,0.21,0.24,0.24,0.23,0.22,0.23,0.22,0.25,0.22,0.23,0.22,0.23,0.22,0.23,0.21,0.22,0.21,0.21,0.18,0.2,0.2,0.19,0.2,0.19,0.19,0.19,0.2,0.18,0.18,0.18,0.19,0.17,0.0,0.18,0.18,0.17,0.16,0.16,0.16,0.16,0.15,0.16,0.17,0.17,0.16,0.16,0.14,0.14,0.14,0.14,0.15,0.16,0.16,0.15,0.15,0.14,0.14,0.14,0.14,0.13,0.13,0.12,0.14,0.13,0.12,0.13,0.13,0.14,0.14,0.12,0.11,0.12,0.13,0.14,0.12,0.5,0.11,0.13,0.12,0.14,0.12,0.0,0.0,0.12,0.11,0.11,0.11,0.12,0.0,0.83,0.12,0.11,0.0,0.11,0.11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,90.29
08/04/2021,3.85,2.86,2.29,2.24,2.22,2.29,2.03,2.07,2.07,1.57,1.36,1.18,1.01,1.16,1.08,0.99,0.96,0.89,0.0,0.85,0.88,0.87,0.79,0.82,0.76,0.75,0.83,0.79,0.73,0.77,0.69,0.76,0.76,0.68,0.72,0.7,0.68,0.62,0.66,0.53,0.61,0.62,0.58,0.54,0.58,0.6,0.53,0.58,0.5,0.57,0.5,0.5,0.53,0.51,0.48,0.47,0.48,0.46,0.45,0.48,0.49,0.46,0.43,0.44,0.41,0.42,0.43,0.38,0.35,0.39,0.38,0.36,0.35,0.38,0.32,0.3,0.32,0.31,0.33,0.34,0.32,0.32,0.21,0.33,0.32,0.3,0.31,0.32,0.28,0.3,0.28,0.3,0.29,0.28,0.29,0.29,0.29,0.28,0.26,0.28,0.3,0.24,0.25,0.25,0.28,0.25,0.24,0.24,0.25,0.25,0.24,0.21,0.24,0.24,0.23,0.22,0.23,0.22,0.25,0.22,0.23,0.22,0.23,0.22,0.23,0.21,0.22,0.21,0.21,0.18,0.2,0.2,0.19,0.2,0.19,0.19,0.19,0.2,0.18,0.18,0.18,0.19,0.17,0.0,0.18,0.18,0.17,0.16,0.16,0.16,0.16,0.15,0.16,0.17,0.17,0.16,0.16,0.14,0.14,0.14,0.14,0.15,0.16,0.16,0.15,0.15,0.14,0.14,0.14,0.14,0.13,0.13,0.12,0.14,0.13,0.12,0.13,0.13,0.14,0.14,0.12,0.11,0.12,0.13,0.14,0.12,0.5,0.11,0.13,0.12,0.14,0.12,0.0,0.0,0.12,0.11,0.11,0.11,0.12,0.0,0.83,0.12,0.11,0.0,0.11,0.11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,90.29
08/05/2021,3.85,2.86,2.29,2.24,2.22,2.29,2.03,2.07,2.07,1.57,1.36,1.18,1.01,1.16,1.08,0.99,0.96,0.89,0.0,0.85,0.88,0.87,0.79,0.82,0.76,0.75,0.83,0.79,0.73,0.77,0.69,0.76,0.76,0.68,0.72,0.7,0.68,0.62,0.66,0.53,0.61,0.62,0.58,0.54,0.58,0.6,0.53,0.58,0.5,0.57,0.5,0.5,0.53,0.51,0.48,0.47,0.48,0.46,0.45,0.48,0.49,0.46,0.43,0.44,0.41,0.42,0.43,0.38,0.35,0.39,0.38,0.36,0.35,0.38,0.32,0.3,0.32,0.31,0.33,0.34,0.32,0.32,0.21,0.33,0.32,0.3,0.31,0.32,0.28,0.3,0.28,0.3,0.29,0.28,0.29,0.29,0.29,0.28,0.26,0.28,0.3,0.24,0.25,0.25,0.28,0.25,0.24,0.24,0.25,0.25,0.24,0.21,0.24,0.24,0.23,0.22,0.23,0.22,0.25,0.22,0.23,0.22,0.23,0.22,0.23,0.21,0.22,0.21,0.21,0.18,0.2,0.2,0.19,0.2,0.19,0.19,0.19,0.2,0.18,0.18,0.18,0.19,0.17,0.0,0.18,0.18,0.17,0.16,0.16,0.16,0.16,0.15,0.16,0.17,0.17,0.16,0.16,0.14,0.14,0.14,0.14,0.15,0.16,0.16,0.15,0.15,0.14,0.14,0.14,0.14,0.13,0.13,0.12,0.14,0.13,0.12,0.13,0.13,0.14,0.14,0.12,0.11,0.12,0.13,0.14,0.12,0.5,0.11,0.13,0.12,0.14,0.12,0.0,0.0,0.12,0.11,0.11,0.11,0.12,0.0,0.83,0.12,0.11,0.0,0.11,0.11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,90.29
08/06/2021,3.92,2.84,2.32,2.24,2.23,2.28,2.03,2.11,2.06,1.58,1.37,1.19,1.0,1.17,1.09,0.92,0.97,0.88,0.0,0.84,0.87,0.88,0.79,0.81,0.75,0.74,0.83,0.8,0.73,0.77,0.69,0.76,0.76,0.67,0.73,0.7,0.68,0.63,0.66,0.56,0.61,0.61,0.59,0.54,0.58,0.6,0.53,0.58,0.49,0.57,0.53,0.5,0.52,0.51,0.47,0.47,0.49,0.46,0.47,0.49,0.52,0.45,0.42,0.43,0.41,0.42,0.44,0.38,0.34,0.39,0.38,0.35,0.36,0.38,0.31,0.31,0.31,0.31,0.33,0.34,0.33,0.32,0.21,0.33,0.32,0.3,0.31,0.31,0.29,0.29,0.28,0.3,0.28,0.27,0.29,0.29,0.28,0.27,0.26,0.27,0.29,0.24,0.25,0.24,0.29,0.25,0.24,0.24,0.26,0.25,0.23,0.21,0.24,0.23,0.23,0.22,0.24,0.22,0.26,0.22,0.23,0.23,0.22,0.22,0.23,0.21,0.22,0.2,0.21,0.18,0.2,0.2,0.19,0.2,0.19,0.19,0.19,0.19,0.18,0.19,0.17,0.19,0.17,0.0,0.18,0.17,0.17,0.16,0.16,0.16,0.16,0.15,0.16,0.17,0.16,0.16,0.15,0.15,0.14,0.13,0.14,0.16,0.16,0.16,0.14,0.15,0.14,0.14,0.14,0.14,0.13,0.13,0.12,0.14,0.13,0.12,0.13,0.13,0.14,0.14,0.12,0.11,0.12,0.13,0.14,0.12,0.34,0.11,0.13,0.12,0.14,0.12,0.0,0.0,0.13,0.11,0.11,0.11,0.12,0.11,0.84,0.12,0.11,0.0,0.11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,90.17
08/10/2021,3.96,2.94,2.3,2.22,2.2,2.26,2.0,2.07,2.1,1.57,1.34,1.29,1.02,1.14,1.09,0.86,0.98,0.88,0.0,0.87,0.88,0.9,0.79,0.78,0.74,0.71,0.82,0.81,0.73,0.77,0.69,0.76,0.76,0.68,0.74,0.7,0.7,0.62,0.69,0.5,0.62,0.63,0.58,0.52,0.57,0.61,0.51,0.59,0.51,0.59,0.51,0.5,0.53,0.53,0.48,0.47,0.48,0.46,0.46,0.48,0.5,0.46,0.43,0.43,0.42,0.42,0.45,0.36,0.34,0.38,0.39,0.35,0.35,0.38,0.3,0.31,0.3,0.3,0.32,0.35,0.33,0.32,0.21,0.33,0.32,0.3,0.31,0.32,0.29,0.29,0.28,0.3,0.28,0.26,0.29,0.29,0.29,0.28,0.26,0.28,0.28,0.23,0.25,0.24,0.28,0.25,0.24,0.23,0.27,0.25,0.22,0.21,0.23,0.23,0.22,0.21,0.24,0.22,0.26,0.22,0.23,0.23,0.22,0.21,0.23,0.21,0.22,0.2,0.21,0.18,0.21,0.2,0.19,0.2,0.19,0.19,0.19,0.18,0.17,0.18,0.16,0.19,0.16,0.0,0.18,0.17,0.17,0.16,0.16,0.16,0.16,0.14,0.0,0.18,0.16,0.15,0.15,0.15,0.14,0.13,0.15,0.16,0.16,0.17,0.14,0.15,0.14,0.14,0.14,0.14,0.13,0.14,0.12,0.14,0.13,0.12,0.13,0.13,0.14,0.14,0.12,0.11,0.12,0.13,0.14,0.12,0.27,0.11,0.13,0.12,0.13,0.12,0.0,0.0,0.13,0.12,0.11,0.11,0.12,0.11,0.85,0.13,0.11,0.0,0.0,0.11,0.23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,90.11
08/11/2021,3.96,2.94,2.3,2.22,2.2,2.26,2.0,2.07,2.1,1.57,1.34,1.29,1.02,1.14,1.09,0.86,0.98,0.88,0.0,0.87,0.88,0.9,0.79,0.78,0.74,0.71,0.82,0.81,0.73,0.77,0.69,0.76,0.76,0.68,0.74,0.7,0.7,0.62,0.69,0.5,0.62,0.63,0.58,0.52,0.57,0.61,0.51,0.59,0.51,0.59,0.51,0.5,0.53,0.53,0.48,0.47,0.48,0.46,0.46,0.48,0.5,0.46,0.43,0.43,0.42,0.42,0.45,0.36,0.34,0.38,0.39,0.35,0.35,0.38,0.3,0.31,0.3,0.3,0.32,0.35,0.33,0.32,0.21,0.33,0.32,0.3,0.31,0.32,0.29,0.29,0.28,0.3,0.28,0.26,0.29,0.29,0.29,0.28,0.26,0.28,0.28,0.23,0.25,0.24,0.28,0.25,0.24,0.23,0.27,0.25,0.22,0.21,0.23,0.23,0.22,0.21,0.24,0.22,0.26,0.22,0.23,0.23,0.22,0.21,0.23,0.21,0.22,0.2,0.21,0.18,0.21,0.2,0.19,0.2,0.19,0.19,0.19,0.18,0.17,0.18,0.16,0.19,0.16,0.0,0.18,0.17,0.17,0.16,0.16,0.16,0.16,0.14,0.0,0.18,0.16,0.15,0.15,0.15,0.14,0.13,0.15,0.16,0.16,0.17,0.14,0.15,0.14,0.14,0.14,0.14,0.13,0.14,0.12,0.14,0.13,0.12,0.13,0.13,0.14,0.14,0.12,0.11,0.12,0.13,0.14,0.12,0.27,0.11,0.13,0.12,0.13,0.12,0.0,0.0,0.13,0.12,0.11,0.11,0.12,0.11,0.85,0.13,0.11,0.0,0.0,0.11,0.23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,90.11
08/13/2021,3.92,2.99,2.24,2.2,2.19,2.27,1.98,2.0,2.11,1.57,1.32,1.24,1.01,1.15,1.09,0.89,0.98,0.87,0.0,0.87,0.87,0.9,0.79,0.77,0.74,0.71,0.82,0.8,0.74,0.78,0.69,0.76,0.76,0.67,0.75,0.7,0.69,0.63,0.67,0.53,0.62,0.63,0.58,0.52,0.57,0.61,0.51,0.6,0.5,0.59,0.52,0.5,0.53,0.53,0.48,0.47,0.48,0.47,0.45,0.49,0.5,0.46,0.42,0.43,0.41,0.42,0.44,0.36,0.35,0.38,0.38,0.35,0.36,0.38,0.3,0.31,0.3,0.3,0.33,0.35,0.33,0.32,0.21,0.33,0.32,0.3,0.31,0.32,0.29,0.29,0.28,0.3,0.28,0.27,0.28,0.29,0.29,0.28,0.26,0.28,0.29,0.24,0.25,0.24,0.28,0.25,0.24,0.23,0.27,0.25,0.22,0.21,0.23,0.23,0.22,0.21,0.24,0.22,0.26,0.22,0.22,0.23,0.23,0.21,0.23,0.21,0.22,0.2,0.21,0.18,0.21,0.2,0.19,0.21,0.19,0.2,0.19,0.18,0.17,0.18,0.17,0.19,0.17,0.0,0.18,0.18,0.18,0.16,0.16,0.17,0.17,0.15,0.0,0.18,0.16,0.15,0.16,0.15,0.14,0.13,0.15,0.16,0.16,0.17,0.14,0.15,0.14,0.13,0.14,0.14,0.13,0.14,0.12,0.14,0.13,0.12,0.13,0.13,0.14,0.14,0.12,0.11,0.12,0.13,0.13,0.12,0.27,0.11,0.13,0.12,0.13,0.12,0.0,0.0,0.13,0.12,0.11,0.11,0.12,0.11,0.85,0.13,0.11,0.0,0.11,0.0,0.23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,90.01999999999998
08/16/2021,3.94,2.83,2.24,2.21,2.22,2.26,1.97,2.09,2.08,1.62,1.32,1.23,1.01,1.17,1.11,0.89,0.98,0.88,0.0,0.87,0.86,0.9,0.79,0.78,0.74,0.71,0.82,0.8,0.73,0.77,0.69,0.76,0.76,0.67,0.76,0.71,0.69,0.63,0.68,0.51,0.62,0.64,0.59,0.51,0.57,0.62,0.52,0.58,0.5,0.58,0.5,0.51,0.53,0.54,0.48,0.46,0.49,0.46,0.46,0.49,0.5,0.46,0.42,0.42,0.41,0.43,0.45,0.36,0.36,0.38,0.39,0.34,0.36,0.38,0.3,0.33,0.31,0.3,0.32,0.35,0.33,0.33,0.21,0.32,0.33,0.3,0.31,0.33,0.29,0.29,0.28,0.3,0.28,0.27,0.28,0.3,0.29,0.28,0.25,0.28,0.29,0.23,0.26,0.24,0.29,0.24,0.24,0.23,0.27,0.25,0.23,0.21,0.22,0.23,0.22,0.21,0.24,0.21,0.26,0.21,0.22,0.23,0.23,0.21,0.23,0.21,0.22,0.2,0.21,0.18,0.21,0.2,0.19,0.21,0.19,0.2,0.19,0.18,0.17,0.19,0.17,0.19,0.16,0.0,0.18,0.18,0.18,0.16,0.16,0.17,0.17,0.14,0.0,0.18,0.16,0.16,0.15,0.15,0.14,0.13,0.14,0.16,0.16,0.17,0.14,0.15,0.15,0.14,0.14,0.14,0.13,0.14,0.12,0.14,0.13,0.12,0.13,0.13,0.14,0.14,0.12,0.11,0.12,0.14,0.13,0.12,0.27,0.11,0.12,0.12,0.13,0.12,0.0,0.0,0.13,0.12,0.11,0.11,0.12,0.11,0.84,0.13,0.11,0.0,0.11,0.0,0.23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,90.07
