,NESN.SW,ASML.AS,ROG.SW,NOVN.SW,MC.PA,7203.T,2327.T,1299.HK,ULVR.L,SAP.DE,AZN.L,CBA.AX,HSBA.L,SIE.DE,NOVO B.CO,6758.T,9984.T,SAN.PA,TTE.PA,DGE.L,BHP.AX,ALV.DE,OR.PA,CSL.AX,GSK.L,6861.T,RIO.L,SE,BATS.L,BP.L,6098.T,SU.PA,AI.PA,AIR.PA,IBE.MC,BNP.PA,RDSA.AS,DAI.DE,ENEL.MI,BAS.DE,WBC.AX,8306.T,388.HK,SAN.MC,7974.T,ADYEN.AS,NAB.AX,4063.T,RYDBF,DTE.DE,8035.T,KER.PA,ADS.DE,RKT.L,DPW.DE,ABBN.SW,ABI.BR,BHP.L,RITN.,ANZ.AX,ZURN.SW,6594.T,UBSG.SW,BAYN.DE,AAL.L,6367.T,CS.PA,9433.T,DG.PA,PRU.L,9983.T,7267.T,INGA.AS,4502.T,SAF.PA,IFX.DE,EL.PA,REL.L,PHIA.AS,ISP.MI,6501.T,NG.L,VOW3.DE,8316.T,LLOY.L,DSV.CO,GLEN.L,7741.T,BN.PA,6981.T,VOD.L,RMS.PA,WES.AX,LONN.SW,6954.T,SIKA.SW,RI.PA,PRX.AS,ITX.MC,STLA.MI,8001.T,BARC.L,4568.T,VOLV B.ST,INVE B.ST,BBVA.MC,D05.SI,CRH.L,WOW.AX,CPG.L,6273.T,MUV2.DE,MQG.AX,VWS.CO,ATCO A.ST,8411.T,8058.T,O39.SI,NDA SE.ST,8031.T,SGO.PA,ERIC B.ST,GIVN.SW,VNA.DE,6902.T,EXPN.L,RIO.AX,SSJXX,3382.T,ALC.SW,9432.T,LSEG.L,4661.T,AMS.MC,BMW.DE,6503.T,DSM.AS,CLNX.MC,8766.T,KNEBV.HE,AHT.L,669.HK,AD.AS,DSY.PA,FERG.L,VIV.PA,DBK.DE,DB1.DE,ENI.MI,TEAM,U11.SI,HOLN.SW,ASSA B.ST,9022.T,EVO.ST,CAP.PA,4503.T,6702.T,NOKIA.HE,6301.T,4452.T,TCL.AX,4911.T,2413.T,SAND.ST,FLTR.L,SPOT,NESTE.HE,FMG.AX,PGHN.SW,HEIA.AS,HEXA B.ST,LR.PA,4543.T,4901.T,ORSTED.CO,KBC.BR,7733.T,SREN.SW,2327.T.1,ML.PA,5108.T,UCG.MI,RACE.MI,GEBN.SW,GMAB.CO,6752.T,6326.T,ENGI.PA,9020.T,ORA.PA,TEF.MC,RWE.DE,WKL.AS,CSGN.SW,GLE.PA,7751.T,G.MI,GMG.AX,STM.PA,Msci Eafe Jun21 Xnli 20210618,E.ON SE,State Street Instl Treasury MMkt Instl,Msci Eafe Sep21 Xnli 20210917,Aust And Nz Banking Group Common Stock,DSYA.,4523.T,Jpy,4519.T,MRK.DE,DHER.DE,n/a,CFR.SW,9434.T,EOAN.DE,TSCO.L,EQNR.OL,GMG,SAMPO.HE,SEB A.ST,8591.T,STMN.SW,SUM
07/23/2021,1.99,1.6,1.47,1.25,1.16,1.24,0.0,0.83,0.85,0.86,0.87,0.74,0.66,0.71,0.76,0.68,0.49,0.67,0.63,0.62,0.6,0.57,0.6,0.54,0.55,0.51,0.49,0.56,0.49,0.49,0.47,0.47,0.46,0.44,0.4,0.4,0.45,0.41,0.4,0.4,0.39,0.39,0.39,0.37,0.37,0.41,0.36,0.37,0.4,0.38,0.37,0.36,0.38,0.36,0.37,0.36,0.34,0.34,0.35,0.0,0.34,0.35,0.33,0.33,0.3,0.31,0.29,0.28,0.29,0.28,0.28,0.31,0.29,0.29,0.27,0.29,0.31,0.29,0.25,0.27,0.31,0.27,0.26,0.26,0.25,0.26,0.26,0.27,0.27,0.27,0.25,0.28,0.28,0.29,0.26,0.26,0.25,0.23,0.22,0.24,0.23,0.21,0.22,0.21,0.23,0.23,0.22,0.22,0.2,0.21,0.22,0.21,0.22,0.22,0.22,0.2,0.21,0.2,0.21,0.2,0.19,0.19,0.21,0.2,0.2,0.2,0.2,0.0,0.21,0.19,0.19,0.2,0.17,0.18,0.19,0.17,0.18,0.19,0.18,0.18,0.18,0.17,0.17,0.0,0.18,0.16,0.15,0.18,0.17,0.19,0.16,0.17,0.17,0.17,0.14,0.17,0.18,0.19,0.17,0.13,0.16,0.16,0.16,0.18,0.15,0.15,0.18,0.15,0.16,0.16,0.16,0.16,0.16,0.16,0.17,0.14,0.14,0.14,0.14,0.0,0.16,0.16,0.14,0.15,0.15,0.15,0.15,0.0,0.14,0.15,0.0,0.13,0.14,0.15,0.14,0.0,0.13,0.14,0.15,0.0,0.0,0.14,0.0,0.74,0.33,0.19,0.16,0.15,0.14,0.14,0.14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,64.58
07/26/2021,1.99,1.6,1.47,1.25,1.16,1.24,0.0,0.83,0.85,0.86,0.87,0.74,0.66,0.71,0.76,0.68,0.49,0.67,0.63,0.62,0.6,0.57,0.6,0.54,0.55,0.51,0.49,0.56,0.49,0.49,0.47,0.47,0.46,0.44,0.4,0.4,0.45,0.41,0.4,0.4,0.39,0.39,0.39,0.37,0.37,0.41,0.36,0.37,0.4,0.38,0.37,0.36,0.38,0.36,0.37,0.36,0.34,0.34,0.35,0.0,0.34,0.35,0.33,0.33,0.3,0.31,0.29,0.28,0.29,0.28,0.28,0.31,0.29,0.29,0.27,0.29,0.31,0.29,0.25,0.27,0.31,0.27,0.26,0.26,0.25,0.26,0.26,0.27,0.27,0.27,0.25,0.28,0.28,0.29,0.26,0.26,0.25,0.23,0.22,0.24,0.23,0.21,0.22,0.21,0.23,0.23,0.22,0.22,0.2,0.21,0.22,0.21,0.22,0.22,0.22,0.2,0.21,0.2,0.21,0.2,0.19,0.19,0.21,0.2,0.2,0.2,0.2,0.0,0.21,0.19,0.19,0.2,0.17,0.18,0.19,0.17,0.18,0.19,0.18,0.18,0.18,0.17,0.17,0.0,0.18,0.16,0.15,0.18,0.17,0.19,0.16,0.17,0.17,0.17,0.14,0.17,0.18,0.19,0.17,0.13,0.16,0.16,0.16,0.18,0.15,0.15,0.18,0.15,0.16,0.16,0.16,0.16,0.16,0.16,0.17,0.14,0.14,0.14,0.14,0.0,0.16,0.16,0.14,0.15,0.15,0.15,0.15,0.0,0.14,0.15,0.0,0.13,0.14,0.15,0.14,0.0,0.13,0.14,0.15,0.0,0.0,0.14,0.0,0.74,0.33,0.19,0.16,0.15,0.14,0.14,0.14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,64.58
07/27/2021,1.99,1.6,1.47,1.25,1.16,1.24,0.0,0.83,0.85,0.86,0.87,0.74,0.66,0.71,0.76,0.68,0.49,0.67,0.63,0.62,0.6,0.57,0.6,0.54,0.55,0.51,0.49,0.56,0.49,0.49,0.47,0.47,0.46,0.44,0.4,0.4,0.45,0.41,0.4,0.4,0.39,0.39,0.39,0.37,0.37,0.41,0.36,0.37,0.4,0.38,0.37,0.36,0.38,0.36,0.37,0.36,0.34,0.34,0.35,0.0,0.34,0.35,0.33,0.33,0.3,0.31,0.29,0.28,0.29,0.28,0.28,0.31,0.29,0.29,0.27,0.29,0.31,0.29,0.25,0.27,0.31,0.27,0.26,0.26,0.25,0.26,0.26,0.27,0.27,0.27,0.25,0.28,0.28,0.29,0.26,0.26,0.25,0.23,0.22,0.24,0.23,0.21,0.22,0.21,0.23,0.23,0.22,0.22,0.2,0.21,0.22,0.21,0.22,0.22,0.22,0.2,0.21,0.2,0.21,0.2,0.19,0.19,0.21,0.2,0.2,0.2,0.2,0.0,0.21,0.19,0.19,0.2,0.17,0.18,0.19,0.17,0.18,0.19,0.18,0.18,0.18,0.17,0.17,0.0,0.18,0.16,0.15,0.18,0.17,0.19,0.16,0.17,0.17,0.17,0.14,0.17,0.18,0.19,0.17,0.13,0.16,0.16,0.16,0.18,0.15,0.15,0.18,0.15,0.16,0.16,0.16,0.16,0.16,0.16,0.17,0.14,0.14,0.14,0.14,0.0,0.16,0.16,0.14,0.15,0.15,0.15,0.15,0.0,0.14,0.15,0.0,0.13,0.14,0.15,0.14,0.0,0.13,0.14,0.15,0.0,0.0,0.14,0.0,0.74,0.33,0.19,0.16,0.15,0.14,0.14,0.14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,64.58
07/28/2021,1.99,1.6,1.47,1.25,1.16,1.24,0.0,0.83,0.85,0.86,0.87,0.74,0.66,0.71,0.76,0.68,0.49,0.67,0.63,0.62,0.6,0.57,0.6,0.54,0.55,0.51,0.49,0.56,0.49,0.49,0.47,0.47,0.46,0.44,0.4,0.4,0.45,0.41,0.4,0.4,0.39,0.39,0.39,0.37,0.37,0.41,0.36,0.37,0.4,0.38,0.37,0.36,0.38,0.36,0.37,0.36,0.34,0.34,0.35,0.0,0.34,0.35,0.33,0.33,0.3,0.31,0.29,0.28,0.29,0.28,0.28,0.31,0.29,0.29,0.27,0.29,0.31,0.29,0.25,0.27,0.31,0.27,0.26,0.26,0.25,0.26,0.26,0.27,0.27,0.27,0.25,0.28,0.28,0.29,0.26,0.26,0.25,0.23,0.22,0.24,0.23,0.21,0.22,0.21,0.23,0.23,0.22,0.22,0.2,0.21,0.22,0.21,0.22,0.22,0.22,0.2,0.21,0.2,0.21,0.2,0.19,0.19,0.21,0.2,0.2,0.2,0.2,0.0,0.21,0.19,0.19,0.2,0.17,0.18,0.19,0.17,0.18,0.19,0.18,0.18,0.18,0.17,0.17,0.0,0.18,0.16,0.15,0.18,0.17,0.19,0.16,0.17,0.17,0.17,0.14,0.17,0.18,0.19,0.17,0.13,0.16,0.16,0.16,0.18,0.15,0.15,0.18,0.15,0.16,0.16,0.16,0.16,0.16,0.16,0.17,0.14,0.14,0.14,0.14,0.0,0.16,0.16,0.14,0.15,0.15,0.15,0.15,0.0,0.14,0.15,0.0,0.13,0.14,0.15,0.14,0.0,0.13,0.14,0.15,0.0,0.0,0.14,0.0,0.74,0.33,0.19,0.16,0.15,0.14,0.14,0.14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,64.58
07/29/2021,1.99,1.6,1.47,1.25,1.16,1.24,0.0,0.83,0.85,0.86,0.87,0.74,0.66,0.71,0.76,0.68,0.49,0.67,0.63,0.62,0.6,0.57,0.6,0.54,0.55,0.51,0.49,0.56,0.49,0.49,0.47,0.47,0.46,0.44,0.4,0.4,0.45,0.41,0.4,0.4,0.39,0.39,0.39,0.37,0.37,0.41,0.36,0.37,0.4,0.38,0.37,0.36,0.38,0.36,0.37,0.36,0.34,0.34,0.35,0.0,0.34,0.35,0.33,0.33,0.3,0.31,0.29,0.28,0.29,0.28,0.28,0.31,0.29,0.29,0.27,0.29,0.31,0.29,0.25,0.27,0.31,0.27,0.26,0.26,0.25,0.26,0.26,0.27,0.27,0.27,0.25,0.28,0.28,0.29,0.26,0.26,0.25,0.23,0.22,0.24,0.23,0.21,0.22,0.21,0.23,0.23,0.22,0.22,0.2,0.21,0.22,0.21,0.22,0.22,0.22,0.2,0.21,0.2,0.21,0.2,0.19,0.19,0.21,0.2,0.2,0.2,0.2,0.0,0.21,0.19,0.19,0.2,0.17,0.18,0.19,0.17,0.18,0.19,0.18,0.18,0.18,0.17,0.17,0.0,0.18,0.16,0.15,0.18,0.17,0.19,0.16,0.17,0.17,0.17,0.14,0.17,0.18,0.19,0.17,0.13,0.16,0.16,0.16,0.18,0.15,0.15,0.18,0.15,0.16,0.16,0.16,0.16,0.16,0.16,0.17,0.14,0.14,0.14,0.14,0.0,0.16,0.16,0.14,0.15,0.15,0.15,0.15,0.0,0.14,0.15,0.0,0.13,0.14,0.15,0.14,0.0,0.13,0.14,0.15,0.0,0.0,0.14,0.0,0.74,0.33,0.19,0.16,0.15,0.14,0.14,0.14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,64.58
07/30/2021,1.99,1.6,1.47,1.25,1.16,1.24,0.0,0.83,0.85,0.86,0.87,0.74,0.66,0.71,0.76,0.68,0.49,0.67,0.63,0.62,0.6,0.57,0.6,0.54,0.55,0.51,0.49,0.56,0.49,0.49,0.47,0.47,0.46,0.44,0.4,0.4,0.45,0.41,0.4,0.4,0.39,0.39,0.39,0.37,0.37,0.41,0.36,0.37,0.4,0.38,0.37,0.36,0.38,0.36,0.37,0.36,0.34,0.34,0.35,0.0,0.34,0.35,0.33,0.33,0.3,0.31,0.29,0.28,0.29,0.28,0.28,0.31,0.29,0.29,0.27,0.29,0.31,0.29,0.25,0.27,0.31,0.27,0.26,0.26,0.25,0.26,0.26,0.27,0.27,0.27,0.25,0.28,0.28,0.29,0.26,0.26,0.25,0.23,0.22,0.24,0.23,0.21,0.22,0.21,0.23,0.23,0.22,0.22,0.2,0.21,0.22,0.21,0.22,0.22,0.22,0.2,0.21,0.2,0.21,0.2,0.19,0.19,0.21,0.2,0.2,0.2,0.2,0.0,0.21,0.19,0.19,0.2,0.17,0.18,0.19,0.17,0.18,0.19,0.18,0.18,0.18,0.17,0.17,0.0,0.18,0.16,0.15,0.18,0.17,0.19,0.16,0.17,0.17,0.17,0.14,0.17,0.18,0.19,0.17,0.13,0.16,0.16,0.16,0.18,0.15,0.15,0.18,0.15,0.16,0.16,0.16,0.16,0.16,0.16,0.17,0.14,0.14,0.14,0.14,0.0,0.16,0.16,0.14,0.15,0.15,0.15,0.15,0.0,0.14,0.15,0.0,0.13,0.14,0.15,0.14,0.0,0.13,0.14,0.15,0.0,0.0,0.14,0.0,0.74,0.33,0.19,0.16,0.15,0.14,0.14,0.14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,64.58
08/02/2021,1.99,1.6,1.47,1.25,1.16,1.24,0.0,0.83,0.85,0.86,0.87,0.74,0.66,0.71,0.76,0.68,0.49,0.67,0.63,0.62,0.6,0.57,0.6,0.54,0.55,0.51,0.49,0.56,0.49,0.49,0.47,0.47,0.46,0.44,0.4,0.4,0.45,0.41,0.4,0.4,0.39,0.39,0.39,0.37,0.37,0.41,0.36,0.37,0.4,0.38,0.37,0.36,0.38,0.36,0.37,0.36,0.34,0.34,0.35,0.0,0.34,0.35,0.33,0.33,0.3,0.31,0.29,0.28,0.29,0.28,0.28,0.31,0.29,0.29,0.27,0.29,0.31,0.29,0.25,0.27,0.31,0.27,0.26,0.26,0.25,0.26,0.26,0.27,0.27,0.27,0.25,0.28,0.28,0.29,0.26,0.26,0.25,0.23,0.22,0.24,0.23,0.21,0.22,0.21,0.23,0.23,0.22,0.22,0.2,0.21,0.22,0.21,0.22,0.22,0.22,0.2,0.21,0.2,0.21,0.2,0.19,0.19,0.21,0.2,0.2,0.2,0.2,0.0,0.21,0.19,0.19,0.2,0.17,0.18,0.19,0.17,0.18,0.19,0.18,0.18,0.18,0.17,0.17,0.0,0.18,0.16,0.15,0.18,0.17,0.19,0.16,0.17,0.17,0.17,0.14,0.17,0.18,0.19,0.17,0.13,0.16,0.16,0.16,0.18,0.15,0.15,0.18,0.15,0.16,0.16,0.16,0.16,0.16,0.16,0.17,0.14,0.14,0.14,0.14,0.0,0.16,0.16,0.14,0.15,0.15,0.15,0.15,0.0,0.14,0.15,0.0,0.13,0.14,0.15,0.14,0.0,0.13,0.14,0.15,0.0,0.0,0.14,0.0,0.74,0.33,0.19,0.16,0.15,0.14,0.14,0.14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,64.58
08/03/2021,1.99,1.6,1.47,1.25,1.16,1.24,0.0,0.83,0.85,0.86,0.87,0.74,0.66,0.71,0.76,0.68,0.49,0.67,0.63,0.62,0.6,0.57,0.6,0.54,0.55,0.51,0.49,0.56,0.49,0.49,0.47,0.47,0.46,0.44,0.4,0.4,0.45,0.41,0.4,0.4,0.39,0.39,0.39,0.37,0.37,0.41,0.36,0.37,0.4,0.38,0.37,0.36,0.38,0.36,0.37,0.36,0.34,0.34,0.35,0.0,0.34,0.35,0.33,0.33,0.3,0.31,0.29,0.28,0.29,0.28,0.28,0.31,0.29,0.29,0.27,0.29,0.31,0.29,0.25,0.27,0.31,0.27,0.26,0.26,0.25,0.26,0.26,0.27,0.27,0.27,0.25,0.28,0.28,0.29,0.26,0.26,0.25,0.23,0.22,0.24,0.23,0.21,0.22,0.21,0.23,0.23,0.22,0.22,0.2,0.21,0.22,0.21,0.22,0.22,0.22,0.2,0.21,0.2,0.21,0.2,0.19,0.19,0.21,0.2,0.2,0.2,0.2,0.0,0.21,0.19,0.19,0.2,0.17,0.18,0.19,0.17,0.18,0.19,0.18,0.18,0.18,0.17,0.17,0.0,0.18,0.16,0.15,0.18,0.17,0.19,0.16,0.17,0.17,0.17,0.14,0.17,0.18,0.19,0.17,0.13,0.16,0.16,0.16,0.18,0.15,0.15,0.18,0.15,0.16,0.16,0.16,0.16,0.16,0.16,0.17,0.14,0.14,0.14,0.14,0.0,0.16,0.16,0.14,0.15,0.15,0.15,0.15,0.0,0.14,0.15,0.0,0.13,0.14,0.15,0.14,0.0,0.13,0.14,0.15,0.0,0.0,0.14,0.0,0.74,0.33,0.19,0.16,0.15,0.14,0.14,0.14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,64.58
08/04/2021,1.99,1.6,1.47,1.25,1.16,1.24,0.0,0.83,0.85,0.86,0.87,0.74,0.66,0.71,0.76,0.68,0.49,0.67,0.63,0.62,0.6,0.57,0.6,0.54,0.55,0.51,0.49,0.56,0.49,0.49,0.47,0.47,0.46,0.44,0.4,0.4,0.45,0.41,0.4,0.4,0.39,0.39,0.39,0.37,0.37,0.41,0.36,0.37,0.4,0.38,0.37,0.36,0.38,0.36,0.37,0.36,0.34,0.34,0.35,0.0,0.34,0.35,0.33,0.33,0.3,0.31,0.29,0.28,0.29,0.28,0.28,0.31,0.29,0.29,0.27,0.29,0.31,0.29,0.25,0.27,0.31,0.27,0.26,0.26,0.25,0.26,0.26,0.27,0.27,0.27,0.25,0.28,0.28,0.29,0.26,0.26,0.25,0.23,0.22,0.24,0.23,0.21,0.22,0.21,0.23,0.23,0.22,0.22,0.2,0.21,0.22,0.21,0.22,0.22,0.22,0.2,0.21,0.2,0.21,0.2,0.19,0.19,0.21,0.2,0.2,0.2,0.2,0.0,0.21,0.19,0.19,0.2,0.17,0.18,0.19,0.17,0.18,0.19,0.18,0.18,0.18,0.17,0.17,0.0,0.18,0.16,0.15,0.18,0.17,0.19,0.16,0.17,0.17,0.17,0.14,0.17,0.18,0.19,0.17,0.13,0.16,0.16,0.16,0.18,0.15,0.15,0.18,0.15,0.16,0.16,0.16,0.16,0.16,0.16,0.17,0.14,0.14,0.14,0.14,0.0,0.16,0.16,0.14,0.15,0.15,0.15,0.15,0.0,0.14,0.15,0.0,0.13,0.14,0.15,0.14,0.0,0.13,0.14,0.15,0.0,0.0,0.14,0.0,0.74,0.33,0.19,0.16,0.15,0.14,0.14,0.14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,64.58
08/05/2021,1.99,1.6,1.47,1.25,1.16,1.24,0.0,0.83,0.85,0.86,0.87,0.74,0.66,0.71,0.76,0.68,0.49,0.67,0.63,0.62,0.6,0.57,0.6,0.54,0.55,0.51,0.49,0.56,0.49,0.49,0.47,0.47,0.46,0.44,0.4,0.4,0.45,0.41,0.4,0.4,0.39,0.39,0.39,0.37,0.37,0.41,0.36,0.37,0.4,0.38,0.37,0.36,0.38,0.36,0.37,0.36,0.34,0.34,0.35,0.0,0.34,0.35,0.33,0.33,0.3,0.31,0.29,0.28,0.29,0.28,0.28,0.31,0.29,0.29,0.27,0.29,0.31,0.29,0.25,0.27,0.31,0.27,0.26,0.26,0.25,0.26,0.26,0.27,0.27,0.27,0.25,0.28,0.28,0.29,0.26,0.26,0.25,0.23,0.22,0.24,0.23,0.21,0.22,0.21,0.23,0.23,0.22,0.22,0.2,0.21,0.22,0.21,0.22,0.22,0.22,0.2,0.21,0.2,0.21,0.2,0.19,0.19,0.21,0.2,0.2,0.2,0.2,0.0,0.21,0.19,0.19,0.2,0.17,0.18,0.19,0.17,0.18,0.19,0.18,0.18,0.18,0.17,0.17,0.0,0.18,0.16,0.15,0.18,0.17,0.19,0.16,0.17,0.17,0.17,0.14,0.17,0.18,0.19,0.17,0.13,0.16,0.16,0.16,0.18,0.15,0.15,0.18,0.15,0.16,0.16,0.16,0.16,0.16,0.16,0.17,0.14,0.14,0.14,0.14,0.0,0.16,0.16,0.14,0.15,0.15,0.15,0.15,0.0,0.14,0.15,0.0,0.13,0.14,0.15,0.14,0.0,0.13,0.14,0.15,0.0,0.0,0.14,0.0,0.74,0.33,0.19,0.16,0.15,0.14,0.14,0.14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,64.58
08/06/2021,1.99,1.6,1.47,1.25,1.16,1.24,0.0,0.83,0.85,0.86,0.87,0.74,0.66,0.71,0.76,0.68,0.49,0.67,0.63,0.62,0.6,0.57,0.6,0.54,0.55,0.51,0.49,0.56,0.49,0.49,0.47,0.47,0.46,0.44,0.4,0.4,0.45,0.41,0.4,0.4,0.39,0.39,0.39,0.37,0.37,0.41,0.36,0.37,0.4,0.38,0.37,0.36,0.38,0.36,0.37,0.36,0.34,0.34,0.35,0.0,0.34,0.35,0.33,0.33,0.3,0.31,0.29,0.28,0.29,0.28,0.28,0.31,0.29,0.29,0.27,0.29,0.31,0.29,0.25,0.27,0.31,0.27,0.26,0.26,0.25,0.26,0.26,0.27,0.27,0.27,0.25,0.28,0.28,0.29,0.26,0.26,0.25,0.23,0.22,0.24,0.23,0.21,0.22,0.21,0.23,0.23,0.22,0.22,0.2,0.21,0.22,0.21,0.22,0.22,0.22,0.2,0.21,0.2,0.21,0.2,0.19,0.19,0.21,0.2,0.2,0.2,0.2,0.0,0.21,0.19,0.19,0.2,0.17,0.18,0.19,0.17,0.18,0.19,0.18,0.18,0.18,0.17,0.17,0.0,0.18,0.16,0.15,0.18,0.17,0.19,0.16,0.17,0.17,0.17,0.14,0.17,0.18,0.19,0.17,0.13,0.16,0.16,0.16,0.18,0.15,0.15,0.18,0.15,0.16,0.16,0.16,0.16,0.16,0.16,0.17,0.14,0.14,0.14,0.14,0.0,0.16,0.16,0.14,0.15,0.15,0.15,0.15,0.0,0.14,0.15,0.0,0.13,0.14,0.15,0.14,0.0,0.13,0.14,0.15,0.0,0.0,0.14,0.0,0.74,0.33,0.19,0.16,0.15,0.14,0.14,0.14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,64.58
11/24/2021,1.97,1.79,1.46,1.08,1.12,1.22,0.0,0.72,0.75,0.85,1.02,0.72,0.67,0.69,0.95,0.81,0.37,0.62,0.66,0.62,0.43,0.51,0.6,0.56,0.56,0.62,0.35,0.61,0.42,0.52,0.61,0.52,0.42,0.41,0.37,0.42,0.5,0.44,0.34,0.35,0.35,0.38,0.38,0.35,0.29,0.48,0.37,0.38,0.45,0.32,0.39,0.29,0.32,0.32,0.33,0.31,0.27,0.29,0.0,0.32,0.36,0.33,0.36,0.3,0.28,0.35,0.32,0.27,0.3,0.3,0.22,0.28,0.32,0.24,0.25,0.33,0.34,0.33,0.23,0.26,0.3,0.27,0.22,0.24,0.26,0.27,0.29,0.3,0.24,0.26,0.21,0.3,0.26,0.33,0.21,0.26,0.25,0.41,0.22,0.24,0.23,0.23,0.24,0.2,0.23,0.26,0.23,0.2,0.18,0.2,0.2,0.22,0.27,0.23,0.22,0.18,0.25,0.19,0.23,0.2,0.2,0.17,0.2,0.19,0.2,0.24,0.13,0.0,0.18,0.22,0.19,0.17,0.2,0.16,0.17,0.15,0.2,0.19,0.2,0.14,0.2,0.19,0.18,0.21,0.19,0.0,0.14,0.17,0.2,0.32,0.16,0.14,0.16,0.16,0.16,0.2,0.17,0.17,0.16,0.14,0.15,0.17,0.14,0.13,0.15,0.15,0.22,0.0,0.0,0.21,0.14,0.17,0.16,0.18,0.16,0.15,0.17,0.15,0.15,0.0,0.15,0.14,0.16,0.17,0.15,0.15,0.15,0.13,0.13,0.0,0.0,0.0,0.14,0.15,0.15,0.14,0.0,0.14,0.0,0.17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16,0.0,0.83,0.35,0.2,0.15,0.15,0.15,0.15,0.14,0.14,0.13,0.13,64.50999999999999
