,2330.TW,700.HK,9988.HK,005930.KS,Cash & Cash Equivalents,3690.HK,VALE3.SA,NPN.JO,RIGDS.,939.HK,NIO,JD,000660.KS,2318.HK,HDFC.NS,2269.HK,005935.KQ,2317.TW,BIDU,2454.TW,PDD,1810.HK,GAZP.ME,035420.KS,NTES,SBER.ME,035720.KS,TCS.NS,INFY.NS,1120.SR,006400.KS,051910.KS,INFY,1398.HK,1180.SR,M4B.,ICICIBANK.NS,005380.KS,2010.SR,3988.HK,YUMC,ITUB4.SA,HINDUNILVR.NS,AMXL.MX,2331.HK,PETR4.SA,2020.HK,BY6.,600519.SS,BBCA.JK,BAJFINANCE.NS,LKOH.ME,068270.KS,BBDC4.SA,2303.TW,005490.KS,QNBK.QA,2382.HK,2308.TW,YNDX,2603.TW,GMKN.ME,PETR3.SA,7010.SR,000270.KS,NVTK.L,2222.SR,2313.HK,NBK.,FAB.,105560.KS,B3SA3.SA,175.HK,FSR.JO,BILI,TCOM,2881.TW,BHARTIARTL.NS,AXB.L,2002.TW,012330.KS,FEMSAUBD.MX,ABEV3.SA,GFNORTEO.MX,WALMEX.MX,2319.HK,LI,2412.TW,066570.KS,1303.TW,2882.TW,055550.KS,ASIANPAINT.NS,BBRI.JK,LUKOY,BGNE,6098.HK,BEKE,PBBANK.KL,2891.TW,CHL.,1301.TW,XPEV,GMEXICOB.MX,2688.HK,LT.NS,HCLTECH.NS,051900.KS,3711.TW,IMP.JO,MARUTI.NS,KOTAKBANK.NS,IBN,ZLAB,1801.HK,207940.KS,2886.TW,ZTO,1109.HK,036570.KS,1216.TW,096770.KS,2609.TW,MTN.JO,CEMEXCPO.MX,291.HK,EDU,OTP.BD,KFH.,WEGE3.SA,MGLU3.SA,SSW.JO,300750.SZ,017670.KS,SBK.JO,086790.KS,3008.TW,SNPMF,1093.HK,PTT-R.BK,2333.HK,011200.KS,CPALL-R.BK,NTCO3.SA,TCS.L,TATN.ME,600036.SS,1326.TW,028260.KS,SBIN.NS,857.HK,3034.TW,2884.TW,6415.TW,960.HK,ETISALAT.,000858.SZ,TATASTEEL.NS,TLKM.JK,968.HK,1010.SR,009150.KS,384.HK,ITSA4.SA,TME,1288.HK,RDY,HTHT,2357.TW,EMIRATESNBD.DB,CPI.JO,1177.HK,ULTRACEMCO.NS,1101.TW,2885.TW,5871.TW,688.HK,TECHM.NS,033780.KS,992.HK,2379.TW,M&M.NS,GNDI3.SA,PKO.WA,VIPS,2007.HK,ANG.JO,TAL,OJS1.,2601.HK,HINDALCO.NS,GFI.JO,GLOB,1918.HK,AOT-R.BK,DIVISLAB.NS,091990.KQ,ITC.NS,SOL.JO,SUZB3.SA,BAP,2382.TW,268.HK,2359.HK,241.HK,JSWSTEEL.NS,RENT3.SA,NESTLEIND.NS,2327.TW,DMART.NS,1211.SR,TITAN.NS,2892.TW,BJFIN.NS,SUNPHARMA.NS,5880.TW,n/a,BMRI.JK,SLM.JO,2899.HK,RLNIY US,AXB LI,LKOD. L,IBN US,OJSCF US,BAJAJFINSV.NS,323410.KS,MAYBANK.KL,CIMB.KL,ABG.JO,6969.HK,6690.HK,1088.HK,ASII.JK,2020.SR,SQM/B.SN,HDFCLIFE.NS,TTM,586.HK,NTPC.NS,916.HK,POWERGRID.NS,CLV.,WIPRO.NS,SUM
09/13/2021,6.59,4.26,3.77,3.69,0.0,1.55,0.86,0.44,1.08,0.84,0.63,0.84,0.58,0.58,0.79,0.67,0.61,0.58,0.55,0.58,0.55,0.52,0.63,0.5,0.43,0.58,0.41,0.57,0.5,0.49,0.42,0.35,0.42,0.38,0.43,0.4,0.43,0.29,0.35,0.33,0.31,0.33,0.38,0.39,0.36,0.28,0.27,0.33,0.23,0.3,0.33,0.26,0.27,0.23,0.34,0.27,0.28,0.26,0.23,0.28,0.14,0.25,0.23,0.26,0.23,0.29,0.24,0.22,0.25,0.26,0.21,0.19,0.24,0.25,0.17,0.19,0.24,0.27,0.21,0.2,0.19,0.19,0.18,0.19,0.22,0.23,0.2,0.19,0.15,0.19,0.2,0.17,0.21,0.18,0.17,0.19,0.14,0.0,0.18,0.18,0.15,0.16,0.18,0.16,0.19,0.19,0.21,0.13,0.18,0.12,0.15,0.16,0.16,0.13,0.11,0.16,0.15,0.16,0.14,0.11,0.14,0.13,0.0,0.18,0.14,0.14,0.0,0.17,0.15,0.15,0.13,0.12,0.14,0.0,0.16,0.13,0.12,0.14,0.13,0.13,0.16,0.1,0.13,0.11,0.13,0.12,0.12,0.12,0.11,0.13,0.11,0.11,0.13,0.13,0.1,0.14,0.0,0.17,0.13,0.13,0.12,0.11,0.11,0.11,0.0,0.11,0.0,0.11,0.0,0.12,0.13,0.1,0.13,0.1,0.1,0.15,0.11,0.15,0.1,0.1,0.11,0.1,0.1,0.12,0.0,0.1,0.0,0.0,0.1,0.1,0.12,0.0,0.15,0.0,0.1,0.12,0.0,0.11,0.1,0.1,0.0,0.0,0.1,0.0,0.0,0.1,0.0,0.11,0.0,0.11,0.11,0.11,0.0,0.0,0.11,0.0,2.09,0.1,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.11,0.0,0.0,0.0,0.0,0.12,0.1,0.1,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,67.43
09/14/2021,6.59,4.26,3.77,3.69,0.0,1.55,0.86,0.44,1.08,0.84,0.63,0.84,0.58,0.58,0.79,0.67,0.61,0.58,0.55,0.58,0.55,0.52,0.63,0.5,0.43,0.58,0.41,0.57,0.5,0.49,0.42,0.35,0.42,0.38,0.43,0.4,0.43,0.29,0.35,0.33,0.31,0.33,0.38,0.39,0.36,0.28,0.27,0.33,0.23,0.3,0.33,0.26,0.27,0.23,0.34,0.27,0.28,0.26,0.23,0.28,0.14,0.25,0.23,0.26,0.23,0.29,0.24,0.22,0.25,0.26,0.21,0.19,0.24,0.25,0.17,0.19,0.24,0.27,0.21,0.2,0.19,0.19,0.18,0.19,0.22,0.23,0.2,0.19,0.15,0.19,0.2,0.17,0.21,0.18,0.17,0.19,0.14,0.0,0.18,0.18,0.15,0.16,0.18,0.16,0.19,0.19,0.21,0.13,0.18,0.12,0.15,0.16,0.16,0.13,0.11,0.16,0.15,0.16,0.14,0.11,0.14,0.13,0.0,0.18,0.14,0.14,0.0,0.17,0.15,0.15,0.13,0.12,0.14,0.0,0.16,0.13,0.12,0.14,0.13,0.13,0.16,0.1,0.13,0.11,0.13,0.12,0.12,0.12,0.11,0.13,0.11,0.11,0.13,0.13,0.1,0.14,0.0,0.17,0.13,0.13,0.12,0.11,0.11,0.11,0.0,0.11,0.0,0.11,0.0,0.12,0.13,0.1,0.13,0.1,0.1,0.15,0.11,0.15,0.1,0.1,0.11,0.1,0.1,0.12,0.0,0.1,0.0,0.0,0.1,0.1,0.12,0.0,0.15,0.0,0.1,0.12,0.0,0.11,0.1,0.1,0.0,0.0,0.1,0.0,0.0,0.1,0.0,0.11,0.0,0.11,0.11,0.11,0.0,0.0,0.11,0.0,2.09,0.1,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.11,0.0,0.0,0.0,0.0,0.12,0.1,0.1,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,67.43
09/15/2021,6.59,4.32,3.91,3.67,0.0,1.6,0.85,0.43,1.07,0.85,0.62,0.84,0.59,0.58,0.79,0.65,0.6,0.58,0.54,0.6,0.55,0.53,0.63,0.52,0.43,0.57,0.41,0.57,0.5,0.49,0.42,0.35,0.42,0.39,0.42,0.41,0.42,0.29,0.35,0.34,0.31,0.32,0.37,0.39,0.36,0.27,0.28,0.32,0.24,0.3,0.33,0.25,0.26,0.23,0.35,0.27,0.28,0.26,0.23,0.29,0.15,0.25,0.22,0.26,0.22,0.29,0.24,0.22,0.25,0.26,0.21,0.19,0.24,0.24,0.16,0.19,0.24,0.27,0.21,0.2,0.18,0.19,0.17,0.2,0.22,0.24,0.19,0.18,0.16,0.19,0.2,0.17,0.21,0.18,0.17,0.2,0.14,0.0,0.18,0.18,0.15,0.16,0.18,0.16,0.18,0.19,0.21,0.13,0.18,0.12,0.14,0.16,0.16,0.13,0.12,0.16,0.15,0.16,0.15,0.11,0.14,0.13,0.0,0.18,0.14,0.14,0.0,0.17,0.15,0.15,0.11,0.12,0.13,0.0,0.16,0.13,0.11,0.14,0.13,0.13,0.17,0.1,0.13,0.11,0.13,0.12,0.13,0.12,0.11,0.13,0.11,0.11,0.13,0.14,0.1,0.14,0.1,0.17,0.13,0.14,0.12,0.11,0.11,0.11,0.0,0.11,0.0,0.11,0.0,0.12,0.13,0.11,0.13,0.1,0.1,0.15,0.11,0.14,0.1,0.1,0.11,0.1,0.1,0.12,0.0,0.1,0.0,0.0,0.1,0.1,0.12,0.0,0.15,0.0,0.1,0.11,0.0,0.11,0.1,0.1,0.0,0.0,0.1,0.0,0.0,0.1,0.0,0.11,0.0,0.11,0.11,0.11,0.0,0.0,0.11,0.0,2.06,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11,0.0,0.0,0.0,0.0,0.12,0.1,0.1,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,67.56
09/16/2021,6.54,4.23,3.76,3.71,0.0,1.54,0.86,0.43,1.05,0.86,0.63,0.83,0.59,0.57,0.8,0.64,0.6,0.57,0.54,0.6,0.55,0.52,0.64,0.51,0.43,0.58,0.39,0.58,0.5,0.48,0.42,0.35,0.42,0.39,0.42,0.41,0.42,0.29,0.35,0.34,0.31,0.33,0.37,0.39,0.34,0.28,0.27,0.32,0.24,0.3,0.33,0.26,0.26,0.23,0.34,0.28,0.28,0.26,0.22,0.29,0.15,0.26,0.23,0.26,0.22,0.3,0.24,0.22,0.25,0.26,0.21,0.2,0.24,0.25,0.16,0.18,0.25,0.28,0.2,0.21,0.18,0.19,0.18,0.2,0.22,0.24,0.19,0.19,0.15,0.19,0.2,0.17,0.21,0.18,0.17,0.2,0.14,0.0,0.18,0.18,0.15,0.16,0.18,0.16,0.18,0.19,0.21,0.13,0.18,0.12,0.15,0.17,0.16,0.13,0.11,0.16,0.15,0.16,0.15,0.1,0.14,0.13,0.0,0.18,0.14,0.13,0.0,0.17,0.15,0.15,0.12,0.12,0.14,0.0,0.16,0.13,0.12,0.15,0.13,0.13,0.16,0.1,0.13,0.11,0.13,0.12,0.13,0.12,0.11,0.13,0.12,0.11,0.13,0.14,0.1,0.13,0.0,0.17,0.13,0.13,0.12,0.11,0.11,0.11,0.0,0.12,0.0,0.11,0.0,0.12,0.13,0.1,0.13,0.11,0.1,0.15,0.11,0.14,0.1,0.0,0.11,0.1,0.1,0.12,0.0,0.1,0.0,0.0,0.1,0.1,0.13,0.0,0.15,0.0,0.1,0.12,0.0,0.11,0.11,0.1,0.0,0.0,0.1,0.0,0.0,0.1,0.0,0.11,0.0,0.11,0.11,0.11,0.0,0.0,0.11,0.0,2.16,0.1,0.1,0.1,0.0,0.0,0.0,0.0,0.0,0.11,0.0,0.0,0.0,0.0,0.1,0.1,0.11,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,67.41000000000001
09/17/2021,6.54,4.2,3.71,3.76,0.0,1.53,0.85,0.43,1.05,0.84,0.62,0.81,0.6,0.56,0.79,0.65,0.61,0.58,0.54,0.62,0.54,0.52,0.66,0.51,0.41,0.58,0.4,0.59,0.5,0.48,0.43,0.35,0.43,0.38,0.43,0.4,0.42,0.29,0.35,0.34,0.31,0.33,0.37,0.39,0.34,0.28,0.27,0.33,0.24,0.3,0.33,0.27,0.26,0.23,0.34,0.28,0.28,0.26,0.22,0.3,0.14,0.25,0.23,0.26,0.22,0.3,0.25,0.22,0.25,0.26,0.21,0.19,0.24,0.25,0.16,0.17,0.25,0.28,0.21,0.21,0.19,0.2,0.18,0.2,0.22,0.23,0.19,0.19,0.15,0.19,0.2,0.18,0.21,0.18,0.18,0.21,0.13,0.0,0.17,0.18,0.15,0.17,0.18,0.16,0.18,0.19,0.22,0.13,0.18,0.12,0.15,0.17,0.16,0.13,0.12,0.16,0.15,0.16,0.14,0.11,0.14,0.13,0.0,0.18,0.14,0.13,0.0,0.17,0.15,0.15,0.11,0.12,0.14,0.0,0.16,0.13,0.11,0.15,0.13,0.13,0.17,0.1,0.13,0.11,0.13,0.12,0.12,0.12,0.11,0.13,0.12,0.11,0.13,0.15,0.1,0.14,0.0,0.17,0.14,0.13,0.12,0.11,0.11,0.11,0.0,0.11,0.0,0.1,0.1,0.12,0.13,0.1,0.13,0.11,0.1,0.16,0.11,0.15,0.1,0.1,0.11,0.1,0.1,0.12,0.0,0.0,0.0,0.0,0.1,0.1,0.13,0.1,0.15,0.0,0.1,0.12,0.0,0.11,0.11,0.1,0.0,0.0,0.1,0.0,0.0,0.1,0.0,0.11,0.0,0.11,0.11,0.11,0.0,0.0,0.11,0.0,2.18,0.1,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.11,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,67.45
09/20/2021,6.49,4.06,3.6,3.78,0.0,1.47,0.81,0.43,1.1,0.85,0.62,0.82,0.59,0.56,0.8,0.66,0.62,0.59,0.54,0.62,0.54,0.51,0.67,0.52,0.42,0.59,0.39,0.6,0.51,0.49,0.42,0.34,0.43,0.39,0.43,0.39,0.44,0.3,0.36,0.34,0.29,0.33,0.38,0.39,0.35,0.29,0.26,0.31,0.24,0.3,0.34,0.28,0.27,0.23,0.34,0.28,0.29,0.25,0.22,0.3,0.14,0.25,0.23,0.26,0.23,0.29,0.25,0.22,0.26,0.27,0.21,0.2,0.23,0.25,0.15,0.18,0.26,0.29,0.21,0.2,0.19,0.2,0.18,0.2,0.23,0.24,0.19,0.19,0.15,0.2,0.2,0.18,0.21,0.18,0.18,0.22,0.12,0.0,0.18,0.19,0.15,0.17,0.18,0.17,0.17,0.2,0.23,0.13,0.18,0.11,0.15,0.17,0.17,0.12,0.11,0.16,0.16,0.16,0.14,0.1,0.14,0.13,0.0,0.18,0.14,0.13,0.0,0.17,0.16,0.16,0.11,0.11,0.14,0.0,0.15,0.14,0.11,0.15,0.13,0.13,0.15,0.1,0.14,0.1,0.13,0.13,0.12,0.13,0.11,0.14,0.13,0.11,0.14,0.14,0.1,0.14,0.0,0.17,0.14,0.13,0.12,0.11,0.11,0.12,0.0,0.11,0.1,0.1,0.1,0.12,0.13,0.1,0.13,0.11,0.1,0.15,0.1,0.15,0.1,0.0,0.11,0.1,0.11,0.12,0.0,0.0,0.0,0.0,0.11,0.0,0.13,0.0,0.15,0.0,0.1,0.12,0.0,0.12,0.11,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.11,0.0,0.12,0.11,0.12,0.0,0.0,0.11,0.1,2.26,0.1,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.11,0.0,0.1,0.0,0.0,0.0,0.0,0.1,0.1,0.1,0.1,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,67.48
09/21/2021,6.47,4.15,3.67,3.82,0.0,1.52,0.79,0.43,1.07,0.85,0.62,0.82,0.61,0.53,0.8,0.69,0.61,0.59,0.55,0.62,0.54,0.52,0.66,0.51,0.41,0.6,0.38,0.59,0.5,0.49,0.41,0.33,0.43,0.38,0.43,0.39,0.43,0.3,0.36,0.34,0.28,0.32,0.37,0.38,0.36,0.27,0.27,0.32,0.24,0.31,0.34,0.27,0.27,0.22,0.34,0.27,0.29,0.26,0.22,0.3,0.15,0.25,0.22,0.26,0.23,0.28,0.25,0.22,0.26,0.27,0.21,0.2,0.24,0.25,0.15,0.18,0.25,0.3,0.21,0.2,0.19,0.2,0.17,0.2,0.23,0.25,0.19,0.19,0.15,0.2,0.2,0.18,0.21,0.18,0.18,0.23,0.12,0.0,0.18,0.18,0.15,0.17,0.18,0.16,0.17,0.2,0.23,0.13,0.17,0.11,0.15,0.18,0.17,0.12,0.12,0.17,0.15,0.17,0.14,0.1,0.15,0.13,0.0,0.18,0.13,0.13,0.0,0.16,0.16,0.15,0.11,0.11,0.14,0.0,0.15,0.13,0.11,0.15,0.13,0.13,0.16,0.1,0.14,0.1,0.13,0.12,0.12,0.12,0.11,0.14,0.13,0.11,0.13,0.14,0.0,0.14,0.0,0.16,0.14,0.13,0.12,0.11,0.11,0.11,0.0,0.11,0.0,0.1,0.1,0.12,0.12,0.1,0.13,0.11,0.1,0.14,0.1,0.15,0.1,0.1,0.11,0.1,0.1,0.12,0.0,0.0,0.0,0.0,0.11,0.0,0.13,0.0,0.15,0.0,0.1,0.12,0.1,0.12,0.1,0.0,0.0,0.0,0.1,0.1,0.0,0.1,0.0,0.11,0.0,0.12,0.11,0.12,0.0,0.0,0.11,0.0,2.39,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11,0.0,0.0,0.0,0.0,0.1,0.1,0.1,0.1,0.1,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,67.59
09/22/2021,6.47,4.15,3.67,3.82,0.0,1.52,0.79,0.43,1.07,0.85,0.62,0.82,0.61,0.53,0.8,0.69,0.61,0.59,0.55,0.62,0.54,0.52,0.66,0.51,0.41,0.6,0.38,0.59,0.5,0.49,0.41,0.33,0.43,0.38,0.43,0.39,0.43,0.3,0.36,0.34,0.28,0.32,0.37,0.38,0.36,0.27,0.27,0.32,0.24,0.31,0.34,0.27,0.27,0.22,0.34,0.27,0.29,0.26,0.22,0.3,0.15,0.25,0.22,0.26,0.23,0.28,0.25,0.22,0.26,0.27,0.21,0.2,0.24,0.25,0.15,0.18,0.25,0.3,0.21,0.2,0.19,0.2,0.17,0.2,0.23,0.25,0.19,0.19,0.15,0.2,0.2,0.18,0.21,0.18,0.18,0.23,0.12,0.0,0.18,0.18,0.15,0.17,0.18,0.16,0.17,0.2,0.23,0.13,0.17,0.11,0.15,0.18,0.17,0.12,0.12,0.17,0.15,0.17,0.14,0.1,0.15,0.13,0.0,0.18,0.13,0.13,0.0,0.16,0.16,0.15,0.11,0.11,0.14,0.0,0.15,0.13,0.11,0.15,0.13,0.13,0.16,0.1,0.14,0.1,0.13,0.12,0.12,0.12,0.11,0.14,0.13,0.11,0.13,0.14,0.0,0.14,0.0,0.16,0.14,0.13,0.12,0.11,0.11,0.11,0.0,0.11,0.0,0.1,0.1,0.12,0.12,0.1,0.13,0.11,0.1,0.14,0.1,0.15,0.1,0.1,0.11,0.1,0.1,0.12,0.0,0.0,0.0,0.0,0.11,0.0,0.13,0.0,0.15,0.0,0.1,0.12,0.1,0.12,0.1,0.0,0.0,0.0,0.1,0.1,0.0,0.1,0.0,0.11,0.0,0.12,0.11,0.12,0.0,0.0,0.11,0.0,2.39,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11,0.0,0.0,0.0,0.0,0.1,0.1,0.1,0.1,0.1,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,67.59
09/23/2021,6.57,4.14,3.64,3.87,0.0,1.5,0.77,0.42,1.08,0.82,0.59,0.79,0.62,0.51,0.79,0.69,0.62,0.6,0.53,0.63,0.51,0.52,0.65,0.52,0.4,0.59,0.39,0.59,0.51,0.49,0.42,0.34,0.43,0.38,0.43,0.35,0.43,0.3,0.36,0.33,0.28,0.31,0.38,0.38,0.34,0.27,0.26,0.31,0.25,0.31,0.34,0.27,0.28,0.21,0.34,0.28,0.29,0.25,0.22,0.3,0.15,0.24,0.22,0.26,0.23,0.28,0.25,0.22,0.27,0.26,0.21,0.19,0.22,0.24,0.14,0.18,0.25,0.3,0.21,0.2,0.19,0.2,0.17,0.19,0.23,0.25,0.18,0.19,0.15,0.2,0.2,0.18,0.21,0.18,0.18,0.23,0.11,0.0,0.18,0.19,0.14,0.17,0.17,0.15,0.17,0.2,0.23,0.13,0.18,0.11,0.15,0.19,0.17,0.12,0.13,0.17,0.16,0.16,0.14,0.11,0.15,0.13,0.0,0.18,0.13,0.13,0.0,0.16,0.16,0.15,0.11,0.11,0.14,0.0,0.15,0.14,0.11,0.15,0.13,0.13,0.15,0.11,0.14,0.1,0.13,0.12,0.12,0.12,0.11,0.13,0.12,0.11,0.14,0.14,0.0,0.14,0.0,0.15,0.14,0.13,0.12,0.11,0.11,0.11,0.0,0.11,0.0,0.1,0.1,0.13,0.13,0.1,0.12,0.11,0.1,0.14,0.1,0.15,0.1,0.1,0.11,0.1,0.1,0.11,0.0,0.0,0.0,0.0,0.1,0.0,0.12,0.0,0.15,0.0,0.1,0.12,0.1,0.12,0.1,0.0,0.0,0.0,0.1,0.1,0.0,0.0,0.0,0.12,0.0,0.13,0.12,0.12,0.0,0.0,0.11,0.1,2.55,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12,0.0,0.1,0.1,0.0,0.1,0.0,0.1,0.1,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,67.57000000000001
09/24/2021,6.55,4.09,3.56,3.86,0.0,1.47,0.78,0.43,1.09,0.82,0.59,0.79,0.61,0.52,0.8,0.69,0.62,0.6,0.54,0.63,0.52,0.53,0.66,0.52,0.4,0.59,0.39,0.6,0.52,0.49,0.42,0.34,0.44,0.37,0.43,0.35,0.43,0.3,0.36,0.33,0.28,0.31,0.39,0.38,0.34,0.28,0.26,0.31,0.25,0.31,0.36,0.27,0.28,0.22,0.34,0.28,0.29,0.25,0.22,0.29,0.15,0.24,0.22,0.26,0.23,0.28,0.25,0.22,0.26,0.26,0.21,0.19,0.23,0.25,0.14,0.18,0.25,0.3,0.21,0.2,0.19,0.2,0.17,0.19,0.23,0.24,0.18,0.19,0.15,0.2,0.2,0.18,0.21,0.18,0.18,0.22,0.12,0.0,0.18,0.19,0.15,0.17,0.17,0.15,0.17,0.2,0.23,0.13,0.18,0.11,0.15,0.19,0.17,0.12,0.13,0.17,0.16,0.17,0.15,0.11,0.15,0.13,0.0,0.18,0.13,0.13,0.0,0.16,0.16,0.16,0.11,0.11,0.14,0.0,0.15,0.14,0.11,0.15,0.13,0.13,0.16,0.11,0.14,0.11,0.13,0.12,0.12,0.12,0.11,0.13,0.13,0.11,0.14,0.14,0.0,0.14,0.0,0.15,0.14,0.13,0.12,0.11,0.11,0.11,0.0,0.11,0.0,0.1,0.1,0.12,0.13,0.1,0.13,0.11,0.1,0.14,0.1,0.15,0.1,0.1,0.11,0.1,0.1,0.11,0.0,0.0,0.0,0.0,0.1,0.0,0.12,0.0,0.16,0.0,0.1,0.12,0.1,0.12,0.1,0.0,0.0,0.0,0.1,0.1,0.0,0.1,0.0,0.11,0.0,0.13,0.11,0.12,0.0,0.0,0.11,0.1,2.51,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12,0.0,0.1,0.0,0.0,0.1,0.1,0.1,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,67.54
09/27/2021,6.35,4.18,3.53,3.84,0.0,1.53,0.72,0.44,1.12,0.83,0.6,0.81,0.6,0.52,0.8,0.68,0.62,0.58,0.54,0.6,0.53,0.51,0.68,0.51,0.4,0.59,0.37,0.59,0.52,0.49,0.42,0.36,0.45,0.37,0.42,0.36,0.43,0.3,0.35,0.33,0.29,0.33,0.38,0.38,0.33,0.29,0.25,0.31,0.24,0.31,0.36,0.28,0.28,0.23,0.34,0.26,0.29,0.25,0.22,0.3,0.15,0.25,0.24,0.26,0.23,0.29,0.25,0.22,0.26,0.27,0.21,0.19,0.21,0.25,0.15,0.18,0.25,0.3,0.21,0.19,0.18,0.2,0.17,0.2,0.23,0.25,0.18,0.19,0.15,0.2,0.2,0.18,0.21,0.23,0.19,0.22,0.13,0.0,0.18,0.18,0.15,0.17,0.17,0.15,0.16,0.21,0.24,0.13,0.17,0.12,0.15,0.19,0.17,0.12,0.13,0.16,0.16,0.17,0.15,0.1,0.14,0.13,0.0,0.19,0.14,0.13,0.0,0.16,0.16,0.16,0.11,0.11,0.13,0.0,0.15,0.13,0.11,0.15,0.13,0.14,0.15,0.1,0.14,0.1,0.13,0.12,0.12,0.12,0.11,0.14,0.13,0.11,0.13,0.14,0.1,0.14,0.0,0.16,0.14,0.13,0.12,0.11,0.11,0.11,0.0,0.11,0.0,0.1,0.1,0.12,0.13,0.1,0.12,0.11,0.1,0.14,0.11,0.16,0.1,0.1,0.1,0.1,0.1,0.12,0.0,0.0,0.0,0.0,0.11,0.0,0.13,0.0,0.16,0.0,0.1,0.12,0.1,0.12,0.11,0.0,0.0,0.0,0.1,0.1,0.0,0.1,0.0,0.11,0.0,0.13,0.11,0.12,0.0,0.0,0.11,0.0,2.53,0.1,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.13,0.0,0.0,0.0,0.0,0.1,0.0,0.1,0.0,0.1,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,67.53
09/28/2021,6.35,4.18,3.53,3.84,0.0,1.53,0.72,0.44,1.12,0.83,0.6,0.81,0.6,0.52,0.8,0.68,0.62,0.58,0.54,0.6,0.53,0.51,0.68,0.51,0.4,0.59,0.37,0.59,0.52,0.49,0.42,0.36,0.45,0.37,0.42,0.36,0.43,0.3,0.35,0.33,0.29,0.33,0.38,0.38,0.33,0.29,0.25,0.31,0.24,0.31,0.36,0.28,0.28,0.23,0.34,0.26,0.29,0.25,0.22,0.3,0.15,0.25,0.24,0.26,0.23,0.29,0.25,0.22,0.26,0.27,0.21,0.19,0.21,0.25,0.15,0.18,0.25,0.3,0.21,0.19,0.18,0.2,0.17,0.2,0.23,0.25,0.18,0.19,0.15,0.2,0.2,0.18,0.21,0.23,0.19,0.22,0.13,0.0,0.18,0.18,0.15,0.17,0.17,0.15,0.16,0.21,0.24,0.13,0.17,0.12,0.15,0.19,0.17,0.12,0.13,0.16,0.16,0.17,0.15,0.1,0.14,0.13,0.0,0.19,0.14,0.13,0.0,0.16,0.16,0.16,0.11,0.11,0.13,0.0,0.15,0.13,0.11,0.15,0.13,0.14,0.15,0.1,0.14,0.1,0.13,0.12,0.12,0.12,0.11,0.14,0.13,0.11,0.13,0.14,0.1,0.14,0.0,0.16,0.14,0.13,0.12,0.11,0.11,0.11,0.0,0.11,0.0,0.1,0.1,0.12,0.13,0.1,0.12,0.11,0.1,0.14,0.11,0.16,0.1,0.1,0.1,0.1,0.1,0.12,0.0,0.0,0.0,0.0,0.11,0.0,0.13,0.0,0.16,0.0,0.1,0.12,0.1,0.12,0.11,0.0,0.0,0.0,0.1,0.1,0.0,0.1,0.0,0.11,0.0,0.13,0.11,0.12,0.0,0.0,0.11,0.0,2.53,0.1,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.13,0.0,0.0,0.0,0.0,0.1,0.0,0.1,0.0,0.1,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,67.53
