,JPMORGAN US GOVT MMKT FUN,NTLA,SOFI,OVV,AIRC,PACB,OMCL,VRNS,DKS,NCR,SPCE,SWAV,RXN,EQT,HELE,M,RPD,QTWO,SAIA,CC,SSB,BHVN,APPN,ZI,EVBG,UPWK,QTS,GTLS,NEO,TDC,WK,POWI,MEDP,MSTR,IIPR,SAIL,SSD,ADC,CIT,NOVT,NEOG,CDNA,EXPO,CRNC,GT,WING,IRDM,AMN,TRNO,WCC,ITRI,UFPI,SEM,CHX,DDD,PDCE,TGTX,HASI,ENSG,SMTC,JBT,BCPC,HLI,ARNA,AEIS,REZI,RRC,CNMD,TRUP,ENV,SIG,SFIX,APLS,ALKS,EYE,TGNA,ALRM,GKOS,PPBI,SABR,AIMC,SHAK,AR,HL,CBU,LPSN,CDLX,AQUA,WTS,DOC,SAFM,KFY,ATRC,CMC,DEN,BOX,SPSC,EBC,ROG,FOUR,MTDR,AMBA,BNL,ELY,OSTK,KNSL,MTH,KLIC,PZZA,NSIT,KTOS,SONO,WDFC,LGIH,PCH,KBH,CLDR,NSA,AJRD,QLYS,EXLS,FUL,MUR,BEAM,APG,TMHC,MUSA,EDIT,SAVE,LCII,SHOO,HI,CSOD,MED,WMG,AIT,UNF,SAVA,TRTN,SWN,ONTO,HP,FN,VG,MC,ARNC,LXP,ABG,NAVI,DIOD,ABCB,SMPL,MMSI,OMI,RCII,CWST,KWR,ITGR,NKTR,TPTX,TEX,INSM,CCOI,BAND,OFC,ALTR,BBBY,MIME,WBT,TWOU,ATKR,EPRT,AM,REGI,MAC,VSH,SJI,IHRT,CWT,FSR,BMI,ABM,MTSI,MDLA,BCRX,CNNE,TENB,MXL,NWE,DORM,FELE,SFBS,SFNC,PTCT,SHEN,LTHM,EGHT,AWR,HLNE,GPI,ITCI,MATX,GO,WD,CASH OR CASH COLLATERAL,UCBI,EAT,SPXC,AUB,KTB,MGEE,ONB,MLHR,CATY,FLOW,EBS,PRFT,HRI,SKY,FMF.,ARVN,MDC,ANSGR.IS,VNE,RIOT,TPH,VCYT,SHLS,n/a,SPT,INOV,MD,AEL,DOOR,FUBO,SUM
07/23/2021,1.51,0.54,0.39,0.37,0.45,0.32,0.36,0.36,0.36,0.32,0.24,0.3,0.34,0.3,0.3,0.29,0.33,0.31,0.3,0.3,0.3,0.39,0.27,0.3,0.29,0.28,0.3,0.3,0.29,0.29,0.3,0.27,0.28,0.22,0.28,0.25,0.27,0.28,0.26,0.26,0.27,0.24,0.27,0.23,0.24,0.26,0.27,0.26,0.26,0.25,0.23,0.25,0.24,0.22,0.19,0.21,0.25,0.24,0.25,0.22,0.24,0.24,0.24,0.22,0.21,0.22,0.21,0.21,0.21,0.22,0.19,0.2,0.21,0.22,0.23,0.21,0.21,0.0,0.2,0.2,0.21,0.19,0.2,0.19,0.22,0.23,0.23,0.22,0.22,0.23,0.2,0.2,0.2,0.2,0.18,0.19,0.2,0.19,0.21,0.2,0.18,0.19,0.22,0.2,0.2,0.2,0.19,0.18,0.21,0.19,0.18,0.18,0.19,0.2,0.19,0.2,0.2,0.21,0.2,0.19,0.2,0.18,0.16,0.16,0.18,0.17,0.2,0.0,0.16,0.2,0.17,0.19,0.17,0.18,0.19,0.19,0.19,0.19,0.18,0.17,0.18,0.17,0.19,0.19,0.19,0.18,0.2,0.21,0.2,0.18,0.18,0.17,0.17,0.2,0.18,0.18,0.17,0.16,0.17,0.17,0.17,0.17,0.18,0.17,0.19,0.17,0.17,0.18,0.17,0.19,0.18,0.19,0.16,0.17,0.16,0.16,0.16,0.0,0.17,0.0,0.0,0.17,0.0,0.16,0.0,0.0,0.0,0.16,0.18,0.17,0.18,0.18,0.0,0.17,0.0,0.16,0.16,0.18,0.17,0.0,0.0,0.16,0.18,0.17,0.22,0.0,0.0,0.0,0.16,0.0,0.16,0.0,0.18,0.0,0.18,0.17,0.0,0.16,0.16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,44.95
07/26/2021,1.67,0.55,0.41,0.4,0.45,0.35,0.37,0.37,0.37,0.32,0.23,0.31,0.35,0.32,0.3,0.29,0.35,0.31,0.29,0.29,0.29,0.38,0.28,0.31,0.3,0.28,0.3,0.3,0.29,0.3,0.3,0.28,0.28,0.24,0.28,0.26,0.26,0.28,0.26,0.26,0.26,0.25,0.27,0.22,0.24,0.28,0.27,0.26,0.26,0.25,0.24,0.25,0.23,0.23,0.18,0.21,0.25,0.25,0.24,0.22,0.24,0.23,0.24,0.22,0.22,0.23,0.22,0.22,0.21,0.22,0.19,0.2,0.21,0.22,0.23,0.21,0.2,0.0,0.2,0.21,0.21,0.2,0.21,0.2,0.21,0.22,0.23,0.22,0.22,0.22,0.2,0.2,0.2,0.21,0.18,0.18,0.2,0.19,0.2,0.19,0.19,0.19,0.22,0.21,0.2,0.2,0.19,0.19,0.22,0.19,0.18,0.18,0.18,0.2,0.19,0.2,0.2,0.23,0.2,0.19,0.2,0.18,0.17,0.16,0.17,0.18,0.2,0.0,0.17,0.2,0.18,0.18,0.17,0.18,0.19,0.19,0.18,0.26,0.18,0.17,0.18,0.18,0.19,0.19,0.2,0.18,0.2,0.21,0.2,0.18,0.18,0.17,0.18,0.2,0.18,0.17,0.17,0.16,0.17,0.16,0.17,0.16,0.18,0.17,0.19,0.17,0.17,0.19,0.17,0.19,0.18,0.19,0.0,0.17,0.0,0.16,0.16,0.16,0.17,0.0,0.16,0.17,0.16,0.16,0.17,0.0,0.17,0.16,0.17,0.16,0.17,0.18,0.16,0.0,0.0,0.17,0.16,0.17,0.17,0.0,0.0,0.16,0.16,0.17,0.16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.18,0.0,0.18,0.0,0.0,0.16,0.0,0.16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,45.36
07/27/2021,1.63,0.51,0.4,0.4,0.45,0.33,0.36,0.37,0.38,0.32,0.22,0.31,0.35,0.31,0.3,0.29,0.35,0.31,0.3,0.29,0.27,0.39,0.27,0.31,0.3,0.28,0.3,0.29,0.3,0.3,0.3,0.28,0.28,0.23,0.28,0.26,0.27,0.28,0.26,0.27,0.26,0.25,0.27,0.23,0.24,0.28,0.27,0.26,0.26,0.25,0.24,0.25,0.23,0.23,0.18,0.21,0.24,0.25,0.25,0.22,0.24,0.24,0.24,0.22,0.22,0.23,0.22,0.22,0.21,0.22,0.19,0.21,0.22,0.22,0.24,0.21,0.21,0.0,0.2,0.21,0.21,0.2,0.21,0.19,0.21,0.22,0.24,0.22,0.22,0.22,0.2,0.2,0.2,0.21,0.18,0.19,0.2,0.19,0.2,0.19,0.19,0.19,0.22,0.21,0.2,0.2,0.2,0.19,0.22,0.19,0.18,0.18,0.18,0.2,0.2,0.2,0.2,0.24,0.2,0.19,0.2,0.18,0.17,0.0,0.17,0.18,0.2,0.0,0.17,0.2,0.18,0.19,0.17,0.18,0.2,0.19,0.18,0.25,0.18,0.17,0.18,0.17,0.19,0.19,0.2,0.18,0.2,0.21,0.2,0.18,0.18,0.18,0.18,0.19,0.18,0.17,0.18,0.17,0.17,0.16,0.18,0.0,0.18,0.17,0.19,0.17,0.17,0.18,0.17,0.19,0.19,0.19,0.16,0.16,0.0,0.16,0.16,0.16,0.17,0.0,0.0,0.17,0.16,0.16,0.17,0.0,0.17,0.0,0.18,0.17,0.18,0.18,0.16,0.0,0.0,0.17,0.0,0.18,0.17,0.16,0.0,0.16,0.16,0.17,0.16,0.0,0.0,0.16,0.0,0.0,0.0,0.0,0.18,0.0,0.18,0.0,0.0,0.0,0.16,0.16,0.17,0.16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,45.41
07/28/2021,0.0,0.51,0.4,0.39,0.45,0.33,0.36,0.37,0.38,0.32,0.22,0.31,0.35,0.31,0.3,0.29,0.35,0.31,0.3,0.29,0.27,0.39,0.27,0.31,0.3,0.28,0.3,0.29,0.3,0.3,0.3,0.28,0.28,0.23,0.28,0.26,0.27,0.28,0.26,0.27,0.26,0.25,0.27,0.23,0.24,0.28,0.27,0.26,0.26,0.25,0.24,0.25,0.23,0.23,0.18,0.21,0.24,0.25,0.25,0.22,0.24,0.24,0.24,0.22,0.22,0.23,0.22,0.22,0.21,0.22,0.19,0.21,0.22,0.22,0.24,0.21,0.21,0.0,0.2,0.21,0.21,0.2,0.21,0.19,0.21,0.22,0.24,0.22,0.22,0.22,0.2,0.2,0.2,0.21,0.18,0.19,0.2,0.19,0.2,0.19,0.19,0.19,0.22,0.21,0.2,0.2,0.2,0.19,0.22,0.19,0.18,0.18,0.18,0.2,0.2,0.2,0.2,0.24,0.2,0.19,0.2,0.18,0.17,0.0,0.17,0.18,0.2,0.0,0.17,0.2,0.18,0.19,0.17,0.18,0.2,0.19,0.18,0.25,0.18,0.17,0.18,0.17,0.19,0.19,0.2,0.18,0.2,0.21,0.2,0.18,0.18,0.18,0.18,0.19,0.18,0.17,0.18,0.17,0.17,0.0,0.18,0.0,0.18,0.17,0.19,0.17,0.17,0.18,0.17,0.19,0.19,0.19,0.16,0.16,0.0,0.16,0.16,0.16,0.17,0.0,0.16,0.17,0.0,0.16,0.17,0.0,0.17,0.16,0.18,0.17,0.18,0.18,0.16,0.16,0.0,0.17,0.16,0.18,0.17,0.16,0.0,0.0,0.16,0.17,0.0,0.0,0.0,0.16,0.0,0.0,0.0,0.0,0.18,0.0,0.18,0.16,0.0,0.16,0.0,0.0,0.17,0.0,1.63,0.16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,45.39
07/29/2021,1.61,0.49,0.4,0.41,0.45,0.33,0.36,0.37,0.38,0.33,0.22,0.3,0.35,0.32,0.3,0.3,0.35,0.31,0.3,0.29,0.28,0.37,0.27,0.31,0.29,0.29,0.29,0.28,0.29,0.31,0.31,0.28,0.28,0.29,0.28,0.26,0.27,0.28,0.26,0.26,0.26,0.24,0.27,0.23,0.25,0.27,0.27,0.26,0.26,0.25,0.24,0.25,0.23,0.23,0.17,0.22,0.23,0.24,0.24,0.22,0.24,0.24,0.24,0.21,0.21,0.23,0.23,0.22,0.21,0.22,0.2,0.2,0.22,0.22,0.24,0.21,0.2,0.0,0.2,0.21,0.2,0.21,0.22,0.2,0.22,0.23,0.24,0.22,0.22,0.22,0.2,0.2,0.2,0.21,0.18,0.18,0.2,0.19,0.2,0.19,0.19,0.19,0.22,0.21,0.2,0.2,0.2,0.19,0.21,0.19,0.19,0.18,0.18,0.19,0.19,0.2,0.2,0.23,0.19,0.19,0.2,0.18,0.18,0.0,0.17,0.18,0.2,0.0,0.17,0.2,0.19,0.19,0.17,0.18,0.19,0.19,0.18,0.24,0.19,0.19,0.18,0.18,0.19,0.19,0.2,0.19,0.2,0.21,0.2,0.18,0.18,0.17,0.17,0.2,0.18,0.17,0.17,0.17,0.0,0.0,0.18,0.0,0.18,0.17,0.18,0.17,0.18,0.18,0.17,0.19,0.19,0.19,0.0,0.0,0.16,0.16,0.16,0.16,0.17,0.0,0.16,0.17,0.0,0.0,0.17,0.0,0.17,0.16,0.17,0.16,0.18,0.18,0.16,0.16,0.0,0.17,0.16,0.18,0.17,0.16,0.0,0.16,0.16,0.17,0.18,0.0,0.0,0.0,0.16,0.0,0.0,0.0,0.18,0.0,0.19,0.16,0.0,0.17,0.0,0.0,0.17,0.0,0.0,0.17,0.16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,45.400000000000006
07/30/2021,1.64,0.49,0.39,0.39,0.45,0.33,0.36,0.37,0.38,0.32,0.22,0.3,0.35,0.32,0.3,0.3,0.35,0.31,0.3,0.3,0.28,0.38,0.25,0.31,0.29,0.28,0.3,0.28,0.29,0.31,0.3,0.27,0.26,0.27,0.28,0.25,0.26,0.29,0.27,0.26,0.26,0.24,0.28,0.22,0.24,0.28,0.26,0.26,0.26,0.25,0.23,0.25,0.23,0.23,0.17,0.22,0.22,0.24,0.25,0.21,0.24,0.24,0.24,0.21,0.21,0.23,0.22,0.22,0.21,0.23,0.19,0.2,0.21,0.22,0.24,0.21,0.2,0.0,0.2,0.21,0.2,0.21,0.21,0.19,0.22,0.22,0.23,0.22,0.22,0.23,0.2,0.2,0.2,0.21,0.17,0.18,0.2,0.19,0.2,0.19,0.19,0.18,0.22,0.21,0.19,0.21,0.2,0.18,0.21,0.19,0.19,0.18,0.19,0.2,0.2,0.2,0.2,0.24,0.19,0.18,0.2,0.19,0.17,0.0,0.19,0.18,0.2,0.0,0.17,0.2,0.19,0.19,0.0,0.18,0.19,0.19,0.18,0.26,0.18,0.18,0.18,0.18,0.19,0.19,0.2,0.18,0.2,0.21,0.2,0.18,0.18,0.17,0.18,0.2,0.19,0.17,0.18,0.18,0.0,0.0,0.18,0.0,0.18,0.17,0.18,0.17,0.17,0.18,0.17,0.19,0.19,0.19,0.0,0.16,0.0,0.16,0.16,0.16,0.17,0.0,0.16,0.17,0.0,0.0,0.17,0.16,0.17,0.16,0.18,0.0,0.17,0.18,0.0,0.0,0.0,0.16,0.16,0.18,0.16,0.16,0.0,0.16,0.0,0.17,0.21,0.0,0.0,0.16,0.16,0.0,0.16,0.0,0.18,0.0,0.19,0.16,0.16,0.17,0.16,0.0,0.17,0.16,0.0,0.16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,45.28
08/02/2021,1.65,0.5,0.4,0.37,0.44,0.34,0.33,0.36,0.38,0.31,0.22,0.31,0.37,0.28,0.3,0.28,0.35,0.3,0.32,0.3,0.27,0.38,0.25,0.31,0.29,0.29,0.29,0.29,0.29,0.3,0.3,0.28,0.27,0.27,0.28,0.25,0.27,0.28,0.26,0.27,0.26,0.25,0.28,0.22,0.24,0.28,0.27,0.26,0.26,0.26,0.24,0.25,0.23,0.24,0.19,0.22,0.23,0.25,0.24,0.22,0.25,0.24,0.25,0.21,0.21,0.23,0.21,0.22,0.21,0.23,0.19,0.2,0.21,0.22,0.24,0.21,0.21,0.0,0.2,0.21,0.21,0.2,0.21,0.2,0.21,0.22,0.23,0.22,0.22,0.22,0.2,0.2,0.21,0.22,0.18,0.19,0.2,0.19,0.21,0.19,0.18,0.19,0.22,0.2,0.17,0.21,0.22,0.18,0.21,0.19,0.19,0.18,0.19,0.2,0.19,0.21,0.19,0.23,0.19,0.19,0.2,0.18,0.18,0.0,0.2,0.19,0.2,0.0,0.17,0.21,0.18,0.19,0.16,0.18,0.19,0.19,0.18,0.21,0.19,0.17,0.18,0.17,0.19,0.19,0.2,0.2,0.2,0.21,0.2,0.19,0.19,0.17,0.17,0.19,0.19,0.17,0.18,0.18,0.0,0.16,0.18,0.0,0.18,0.0,0.18,0.17,0.17,0.18,0.0,0.19,0.19,0.19,0.0,0.16,0.0,0.16,0.16,0.16,0.17,0.0,0.16,0.17,0.0,0.16,0.16,0.16,0.16,0.18,0.17,0.16,0.17,0.18,0.16,0.0,0.0,0.17,0.0,0.18,0.16,0.16,0.0,0.16,0.0,0.17,0.18,0.0,0.0,0.0,0.16,0.0,0.0,0.0,0.18,0.16,0.19,0.0,0.17,0.17,0.0,0.0,0.19,0.16,0.0,0.16,0.0,0.16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,45.330000000000005
08/03/2021,1.64,0.52,0.39,0.37,0.45,0.35,0.35,0.36,0.37,0.32,0.22,0.32,0.37,0.28,0.3,0.29,0.34,0.3,0.33,0.3,0.27,0.38,0.25,0.3,0.29,0.26,0.29,0.3,0.3,0.3,0.3,0.32,0.27,0.27,0.28,0.25,0.27,0.28,0.26,0.27,0.26,0.24,0.31,0.22,0.24,0.28,0.27,0.26,0.26,0.26,0.24,0.25,0.23,0.24,0.19,0.22,0.22,0.24,0.24,0.22,0.26,0.24,0.25,0.21,0.22,0.23,0.22,0.22,0.21,0.22,0.18,0.19,0.21,0.23,0.24,0.21,0.21,0.0,0.2,0.21,0.21,0.2,0.21,0.2,0.21,0.22,0.23,0.22,0.23,0.22,0.2,0.2,0.21,0.22,0.18,0.18,0.21,0.19,0.2,0.19,0.19,0.2,0.22,0.2,0.16,0.21,0.23,0.18,0.21,0.19,0.18,0.18,0.18,0.21,0.19,0.21,0.19,0.23,0.19,0.19,0.21,0.19,0.17,0.0,0.19,0.19,0.2,0.16,0.16,0.2,0.18,0.19,0.16,0.18,0.19,0.19,0.18,0.0,0.19,0.17,0.19,0.17,0.19,0.18,0.2,0.19,0.2,0.22,0.2,0.19,0.19,0.17,0.19,0.19,0.19,0.18,0.18,0.18,0.16,0.0,0.18,0.0,0.18,0.0,0.18,0.17,0.17,0.18,0.17,0.18,0.19,0.19,0.0,0.16,0.0,0.0,0.16,0.16,0.17,0.0,0.0,0.17,0.16,0.16,0.16,0.16,0.16,0.18,0.17,0.16,0.17,0.18,0.0,0.0,0.0,0.17,0.0,0.18,0.16,0.16,0.0,0.16,0.16,0.17,0.0,0.0,0.0,0.17,0.0,0.0,0.0,0.0,0.17,0.16,0.19,0.0,0.17,0.17,0.16,0.16,0.18,0.0,0.0,0.0,0.0,0.16,0.16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,45.36
08/04/2021,1.64,0.52,0.39,0.37,0.45,0.35,0.35,0.36,0.37,0.32,0.22,0.32,0.37,0.28,0.3,0.29,0.34,0.3,0.33,0.3,0.27,0.38,0.25,0.3,0.29,0.26,0.29,0.3,0.3,0.3,0.3,0.32,0.27,0.27,0.28,0.25,0.27,0.28,0.26,0.27,0.26,0.24,0.31,0.22,0.24,0.28,0.27,0.26,0.26,0.26,0.24,0.25,0.23,0.24,0.19,0.22,0.22,0.24,0.24,0.22,0.26,0.24,0.25,0.21,0.22,0.23,0.22,0.22,0.21,0.22,0.18,0.19,0.21,0.23,0.24,0.21,0.21,0.0,0.2,0.21,0.21,0.2,0.21,0.2,0.21,0.22,0.23,0.22,0.23,0.22,0.2,0.2,0.21,0.22,0.18,0.18,0.21,0.19,0.2,0.19,0.19,0.2,0.22,0.2,0.16,0.21,0.23,0.18,0.21,0.19,0.18,0.18,0.18,0.21,0.19,0.21,0.19,0.23,0.19,0.19,0.21,0.19,0.17,0.0,0.19,0.19,0.2,0.16,0.16,0.2,0.18,0.19,0.16,0.18,0.19,0.19,0.18,0.0,0.19,0.17,0.19,0.17,0.19,0.18,0.2,0.19,0.2,0.22,0.2,0.19,0.19,0.17,0.19,0.19,0.19,0.18,0.18,0.18,0.16,0.0,0.18,0.0,0.18,0.0,0.18,0.17,0.17,0.18,0.17,0.18,0.19,0.19,0.0,0.16,0.0,0.0,0.16,0.16,0.17,0.0,0.0,0.17,0.16,0.16,0.16,0.16,0.16,0.18,0.17,0.16,0.17,0.18,0.0,0.0,0.0,0.17,0.0,0.18,0.16,0.16,0.0,0.16,0.16,0.17,0.0,0.0,0.0,0.17,0.0,0.0,0.0,0.0,0.17,0.16,0.19,0.0,0.17,0.17,0.16,0.16,0.18,0.0,0.0,0.0,0.0,0.16,0.16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,45.36
08/05/2021,1.68,0.5,0.4,0.36,0.45,0.34,0.35,0.36,0.38,0.32,0.23,0.3,0.37,0.27,0.3,0.29,0.35,0.29,0.32,0.31,0.27,0.36,0.25,0.31,0.29,0.26,0.29,0.31,0.3,0.3,0.3,0.32,0.27,0.27,0.28,0.26,0.26,0.28,0.26,0.27,0.26,0.24,0.31,0.22,0.24,0.28,0.27,0.26,0.26,0.26,0.24,0.25,0.23,0.24,0.19,0.21,0.18,0.24,0.24,0.22,0.25,0.24,0.25,0.2,0.22,0.23,0.21,0.22,0.21,0.22,0.19,0.19,0.2,0.24,0.24,0.21,0.21,0.0,0.2,0.2,0.2,0.2,0.2,0.19,0.21,0.23,0.23,0.22,0.23,0.22,0.2,0.2,0.21,0.21,0.18,0.19,0.22,0.19,0.2,0.19,0.18,0.2,0.22,0.21,0.16,0.21,0.23,0.19,0.21,0.19,0.18,0.18,0.19,0.21,0.19,0.21,0.2,0.23,0.19,0.19,0.21,0.18,0.16,0.0,0.19,0.19,0.2,0.16,0.16,0.2,0.18,0.18,0.17,0.18,0.19,0.19,0.18,0.0,0.19,0.0,0.19,0.17,0.19,0.19,0.2,0.19,0.2,0.22,0.2,0.19,0.19,0.17,0.18,0.19,0.19,0.18,0.18,0.17,0.16,0.0,0.18,0.0,0.18,0.0,0.18,0.17,0.17,0.18,0.17,0.18,0.19,0.19,0.0,0.0,0.0,0.16,0.16,0.16,0.18,0.0,0.16,0.17,0.16,0.0,0.16,0.16,0.17,0.18,0.17,0.16,0.17,0.18,0.0,0.0,0.0,0.18,0.16,0.18,0.17,0.0,0.0,0.16,0.16,0.17,0.22,0.0,0.0,0.0,0.0,0.0,0.16,0.0,0.18,0.0,0.19,0.16,0.17,0.17,0.16,0.0,0.18,0.0,0.0,0.16,0.0,0.16,0.16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,45.35
08/06/2021,1.72,0.51,0.38,0.37,0.45,0.33,0.35,0.34,0.39,0.32,0.23,0.3,0.37,0.27,0.31,0.3,0.35,0.29,0.34,0.31,0.27,0.36,0.24,0.32,0.29,0.26,0.29,0.32,0.3,0.31,0.3,0.32,0.27,0.27,0.28,0.25,0.27,0.28,0.26,0.27,0.26,0.23,0.31,0.22,0.24,0.28,0.27,0.27,0.26,0.26,0.24,0.25,0.23,0.24,0.18,0.22,0.16,0.25,0.24,0.22,0.25,0.23,0.24,0.2,0.22,0.24,0.21,0.21,0.21,0.22,0.19,0.19,0.21,0.25,0.24,0.21,0.21,0.0,0.2,0.19,0.2,0.19,0.21,0.19,0.21,0.23,0.21,0.23,0.24,0.22,0.2,0.2,0.21,0.21,0.18,0.19,0.22,0.19,0.2,0.19,0.18,0.19,0.22,0.21,0.0,0.2,0.23,0.18,0.21,0.19,0.18,0.18,0.19,0.2,0.19,0.21,0.19,0.23,0.19,0.19,0.22,0.19,0.17,0.0,0.19,0.19,0.21,0.16,0.16,0.2,0.18,0.18,0.17,0.18,0.19,0.19,0.18,0.17,0.19,0.17,0.19,0.17,0.19,0.19,0.2,0.19,0.2,0.21,0.2,0.2,0.19,0.17,0.18,0.18,0.19,0.18,0.19,0.17,0.16,0.0,0.19,0.0,0.18,0.0,0.18,0.18,0.17,0.19,0.0,0.17,0.22,0.19,0.0,0.16,0.0,0.0,0.16,0.16,0.18,0.0,0.0,0.17,0.16,0.16,0.16,0.0,0.17,0.18,0.17,0.16,0.17,0.19,0.17,0.0,0.0,0.17,0.16,0.18,0.0,0.16,0.0,0.17,0.0,0.17,0.18,0.0,0.0,0.16,0.0,0.0,0.16,0.0,0.18,0.16,0.19,0.16,0.18,0.17,0.0,0.0,0.18,0.0,0.0,0.0,0.0,0.16,0.16,0.16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,45.45
08/10/2021,0.0,0.6,0.42,0.36,0.44,0.35,0.37,0.34,0.38,0.29,0.24,0.32,0.38,0.28,0.3,0.31,0.34,0.26,0.34,0.3,0.28,0.37,0.22,0.53,0.29,0.22,0.29,0.32,0.3,0.29,0.3,0.33,0.27,0.32,0.3,0.25,0.27,0.28,0.28,0.27,0.26,0.23,0.33,0.22,0.25,0.29,0.27,0.27,0.26,0.28,0.19,0.25,0.22,0.24,0.19,0.21,0.0,0.25,0.24,0.23,0.25,0.24,0.24,0.18,0.2,0.25,0.21,0.2,0.18,0.23,0.18,0.16,0.2,0.25,0.24,0.21,0.22,0.0,0.21,0.2,0.2,0.18,0.21,0.18,0.22,0.21,0.16,0.23,0.24,0.22,0.2,0.2,0.21,0.21,0.19,0.19,0.22,0.19,0.2,0.19,0.18,0.2,0.23,0.21,0.16,0.22,0.22,0.22,0.22,0.19,0.17,0.18,0.18,0.19,0.19,0.2,0.19,0.23,0.19,0.19,0.22,0.19,0.17,0.17,0.19,0.19,0.2,0.2,0.0,0.2,0.18,0.19,0.19,0.17,0.18,0.18,0.18,0.19,0.19,0.17,0.21,0.0,0.19,0.19,0.2,0.18,0.2,0.2,0.21,0.21,0.19,0.17,0.18,0.16,0.19,0.18,0.19,0.17,0.16,0.0,0.19,0.16,0.18,0.0,0.17,0.18,0.16,0.19,0.16,0.17,0.22,0.19,0.0,0.16,0.0,0.0,0.0,0.0,0.18,0.0,0.16,0.17,0.16,0.16,0.17,0.16,0.0,0.19,0.17,0.0,0.17,0.19,0.17,0.0,0.0,0.19,0.0,0.18,0.0,0.0,0.0,0.17,0.0,0.17,0.0,0.0,0.0,0.16,0.16,0.0,0.16,0.0,0.17,0.0,0.18,0.0,0.18,0.17,0.17,0.0,0.17,0.16,0.0,0.2,0.16,0.0,0.17,0.16,1.7,0.16,0.16,0.0,0.0,0.0,0.0,45.760000000000005
08/11/2021,0.0,0.6,0.42,0.36,0.44,0.35,0.37,0.34,0.38,0.29,0.24,0.32,0.38,0.28,0.3,0.31,0.34,0.26,0.34,0.3,0.28,0.37,0.22,0.53,0.29,0.22,0.29,0.32,0.3,0.29,0.3,0.33,0.27,0.32,0.3,0.25,0.27,0.28,0.28,0.27,0.26,0.23,0.33,0.22,0.25,0.29,0.27,0.27,0.26,0.28,0.19,0.25,0.22,0.24,0.19,0.21,0.0,0.25,0.24,0.23,0.25,0.24,0.24,0.18,0.2,0.25,0.21,0.2,0.18,0.23,0.18,0.16,0.2,0.25,0.24,0.21,0.22,0.0,0.21,0.2,0.2,0.18,0.21,0.18,0.22,0.21,0.16,0.23,0.24,0.22,0.2,0.2,0.21,0.21,0.19,0.19,0.22,0.19,0.2,0.19,0.18,0.2,0.23,0.21,0.16,0.22,0.22,0.22,0.22,0.19,0.17,0.18,0.18,0.19,0.19,0.2,0.19,0.23,0.19,0.19,0.22,0.19,0.17,0.17,0.19,0.19,0.2,0.2,0.0,0.2,0.18,0.19,0.19,0.17,0.18,0.18,0.18,0.19,0.19,0.17,0.21,0.0,0.19,0.19,0.2,0.18,0.2,0.2,0.21,0.21,0.19,0.17,0.18,0.16,0.19,0.18,0.19,0.17,0.16,0.0,0.19,0.16,0.18,0.0,0.17,0.18,0.16,0.19,0.16,0.17,0.22,0.19,0.0,0.16,0.0,0.0,0.0,0.0,0.18,0.0,0.16,0.17,0.16,0.16,0.17,0.16,0.0,0.19,0.17,0.0,0.17,0.19,0.17,0.0,0.0,0.19,0.0,0.18,0.0,0.0,0.0,0.17,0.0,0.17,0.0,0.0,0.0,0.16,0.16,0.0,0.16,0.0,0.17,0.0,0.18,0.0,0.18,0.17,0.17,0.0,0.17,0.16,0.0,0.2,0.16,0.0,0.17,0.16,1.7,0.16,0.16,0.0,0.0,0.0,0.0,45.760000000000005
