,B 0 08/31/21,B 0 07/20/21,CMBR 0 08/19/21,FNCL 2.5 8/11,FNCL 2 8/13,B 0 07/15/21,B 0 08/12/21,B 0 07/22/21,CMB 0 10/05/21,US 5YR NOTE (CBT) Sep21,B 0 08/05/21,SURF 2006-AB3 A2C,NMRR 2014-1R 1A13,TF 0 10/31/22,B 0 07/08/21,SPRNTS 4.738 03/20/25 144A,CBASS 2006-CB5 A3,ARSI 2005-W3 M2,GE 4.418 11/15/35,SVHE 2007-OPT1 2A3,FHMS KF85 AL,OAKC 2019-3A AR,ACE 2007-WM2 A1,FHMS KF87 AL,TMCL 2020-2A A,CEDF 2021-14A A,CSMC 2021-RPL4 A1,ECMC 2017-2A A,MSAC 2007-NC3 A2D,NAVSL 2016-5A A,PROG 2018-SFR3 E,SAMI 2006-AR6 2A1,RALI 2005-QO1 A1,GPMT 2021-FL3 A,LXS 2007-16N 1A1,BALTA 2006-1 21A2,EATON 2019-1A AR,CIM 2021-R3 A1A,WMALT 2006-AR6 2A,LXS 2006-15 A4,SAST 2006-1 M1,SLMA 2008-5 A4,AHMA 2006-1 1A1,GCI 2021-1 A,MLMI 2006-HE6 A2C,AIGIM 2018-1A BR,F 3.339 03/28/22,DBALT 2007-AR3 2A5,CWL 2005-17 MV2,FHMS KF88 AL,FHMS KW01 X1,OCP 2021-21A B,MEX 2.659 05/24/31,RBSCF 2013-GSP A,SANUK V1.673 06/14/27,CBASS 2007-CB1 AF2,CBASS 2007-CB1 AF3,JPMCC 2021-1440 B,JPM V0.969 06/23/25,RAMP 2006-NC2 M1,SLMA 2008-9 A,CMLTI 2009-10 2A2,SDCP 2020-1 A2,SASC 2006-BC3 A3,NEUB 2021-43A A,NYT 2019-NYT D,FFMER 2007-1 A1,GT 1999-3 A8,FE 3.4 03/01/50 C,GSAMP 2006-HE4 A2D,HLM 10A-16 A1RR,MSAC 2006-HE8 A2B,PROG 2019-SFR3 F,GLM 2019-4A AR,RALI 2007-QH4 A1,MSC 2018-MP A,BXMT 2020-FL3 A,FHMS KF66 A,FNA 2018-M10 A1,AGL 2021-12A A1,LIFE 2021-BMR G,RALI 2007-QH9 A1,PROG 2019-SFR1 F,GSMS 2014-GC18 A3,IHSFR 2018-SFR4 A,ET 5.4 10/01/47,BALTA 2004-8 M1,COMM 2012-CR4 AM,PROG 2018-SFR3 G,SAMI 2006-AR8 A1A,RAMP 2006-RZ2 M1,WFCM 2021-SAVE XCP,ULFP 3.15 04/05/22 144A,DROP 2021-FILE B,LBMLT 2006-8 2A3,CAMB 2019-LIFE F,BAYNGR 4.375 12/15/28 144A,ABFC 2007-WMC1 A1A,LXS 2007-11 A3,TMUS 2.25 02/15/26 144A,SLMA 2008-4 A4,MSCCG 2015-ALDR A2,MOH 3.875 11/15/30 144A,LMAT 2020-GS2 A1,CGCMT 2020-WSS B,GS V1.431 03/09/27,FLAT 2021-1A B,FHMS KF84 AL,CBASS 2006-MH1 B1,GSAMP 2007-FM2 A1,FHMR 2021-P009 X,WAMU 2007-OA5 1A,PRIHEA 7.25 11/01/25 144A,MHP 2020-HILL F,KHC 4.875 10/01/49,FARMER 8.625 05/01/24,FHMS KLU1 X3,CMLTI 2006-HE3 A2B,ARSI 2006-W2 A2B,AHMA 2007-1 A1,CWALT 2005-13CB A8,RALI 2006-QO10 A1,NHEL 2007-2 A1A,WMHE 2007-HE2 2A3,SOAF 4.85 09/30/29,BRAZIL 3.875 06/12/30,LXS 2006-2N 2A1,BNCMT 2006-2 A4,CWALT 2007-15CB A6,CIM 2020-R7 A1A,IDASAL 6.53 11/15/28 144A,PANAMA 3.16 01/23/30,WMALT 2007-OC1 A4,SUN 4.5 05/15/29 144A,SLMA 2008-9 B,SLMA 2007-7 B,SBGI 4.125 12/01/30 144A,BATSLN 5.85 08/15/45,TAH 2017-SFR1 D,MASSMU 3.4 03/08/26 144A,CWALT 2005-65CB 2A4,BCAP 2015-RR2 25A3,BAYC 2005-4A A1,BBCMS 2020-BID A,BAC V2.087 06/14/29 MTN,ACE 2006-HE3 A2C,HVMLT 2007-7 1A1,JPMAC 2007-CH2 AF6,VMC 2021-FL4 B,ROMANI 3 02/14/31 REGS,COLOM 3 01/30/30,MARM 2004-14 B1,CSMC 2014-8R 3A2,FHAMS 2007-FA1 A4,BFLD 2021-FPM A,BAC V1.734 07/22/27,BAFC 2007-1 TA3A,T 2.55 12/01/33 144A,GPMF 2007-AR2 2A1,SAMI 2007-AR6 A1,SARM 2007-4 1A1,PRMWCN 4.375 04/30/29 144A,LXS 2007-12N 1A3A,JPMCC 2021-1440 C,AMSI 2002-AR1 M1,FHMS KF86 AL,CONE 3.45 11/15/29,STBARN 4 07/01/28 2012,T 4.85 03/01/39,T 4.75 05/15/46,FHMS K026 X3,PETMK 3.5 04/21/30 144A,CA LOSUTL 6.01 07/01/2039,CA LOSSCD 5.75 07/01/2034,NWIDE V3.622 04/26/23 144A,SARM 2007-4 1A2,"Skyline Aircraft Finance LLC Series 2020-1, Class A, 3.229%, due 5/10/2038",SLMA 2008-5 B,QATAR 3.75 04/16/30 REGS,JPMAC 2006-CH2 AF6,TMUS 3.75 04/15/27,LVLT 4.625 09/15/27 144A,LMT 2006-1 1A5,JBLU 4 11/15/32 1A,DOMREP 4.5 01/30/30 144A,AHM 2005-4 1A1,AREIT 2020-CRE4 B,JPALT 2006-S1 3A4,CNC 3 10/15/30,DBWF 2016-85T A,BSMF 2006-AR1 1A1,FHMS K056 X3,FG WN0006,GILD F 09/29/23,GLPI 5.25 06/01/25,INFO 4.75 02/15/25 144A,HCA 5.25 06/15/49,BA 1.433 02/04/24,QATAR 4.5 04/23/28 REGS,S 7.875 09/15/23,B 0 08/19/21,FNCL 2 9/13,B 0 10/07/21,FNCL 2.5 9/11,TAL 2020-1A A,HILT 2016-SFP C,GOCAP 2021-54A A,COLOM 4.5 01/28/26,MEX 3.75 01/11/28,SIDC 2019-1A A2,PHILIP 2.457 05/05/30,SUN 4.5 05/15/29,BRAZIL 2.875 06/06/25,"SAUDI ARABIAN OIL CO 1.625%, due 11/24/2025",KZOKZ 3.5 04/14/33 REGS,OMAN 6.75 10/28/27 REGS,FFMER 2007-5 1A,FHAMS 2005-AA4 2A1,ACE 2007-HE1 A1,MS V1.512 07/20/27 GMTN,INDX 2005-16IP A1,CSMC 2019-UVIL D,COMM 2014-CR14 A2,BATSLN 4.54 08/15/47,CS V2.193 06/05/26 144A,NCMS 2018-850T A,CVS 5.05 03/25/48,T 3.8 12/01/57 144A,ILMN 2.55 03/23/31,PAA 4.5 12/15/26,NATMUT V0 12/15/24,AER 3.5 01/15/25,ORCL 3.95 03/25/51,MIK 7.875 05/01/29 144A,BACARD 4.7 05/15/28 144A,AVOL 2.875 02/15/25 144A,"INDONESIA ASAHAN ALUMINIUM 4.75%, due 05/15/2025",VOD 4.25 09/17/50,XIB 0 08/31/21,B 0 01/06/22,B 0 01/20/22,OPMAC 2006-1 1AC1,BAC V1.658 03/11/27 N,MARM 2007-HF2 A2,ACE 2006-ASP6 A2C,FN AM9897,WSLT 2006-1 B,MSC 2018-H4 XA,BMARK 2018-B6 A2,MSAC 2006-HE8 A2C,CSMC 2020-TMIC A,CSMC 2021-980M X,FHMS K723 X3,MABS 2006-NC2 A3,CNC 2.45 07/15/28,VENTGL 4.125 08/15/31 144A,JPM V1.578 04/22/27,XIB 0 10/05/21,n/a,TAH 2017-SFR2 E,SLCLT 2008-1 A4A,BDS 2020-FL6 D,HCRX 4.5 08/01/29 144A,LUMN 5.375 06/15/29 144A,B 0 10/05/21,FNCL 2.5 10/11,INFO 5 11/01/22 144A,HSBC V2.206 08/17/29,SUM
07/09/2021,6.56,6.06,5.52,4.25,4.24,3.84,3.79,2.88,2.85,1.28,0.67,0.54,0.47,0.47,0.46,0.45,0.42,0.4,0.4,0.39,0.39,0.39,0.39,0.38,0.37,0.36,0.36,0.36,0.36,0.36,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.34,0.34,0.33,0.33,0.32,0.32,0.32,0.31,0.31,0.31,0.31,0.3,0.3,0.29,0.29,0.28,0.27,0.27,0.26,0.26,0.26,0.26,0.26,0.26,0.26,0.25,0.25,0.25,0.25,0.25,0.24,0.24,0.24,0.24,0.24,0.24,0.23,0.23,0.23,0.23,0.23,0.23,0.23,0.22,0.22,0.22,0.22,0.22,0.22,0.22,0.21,0.21,0.21,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.19,0.19,0.19,0.19,0.19,0.19,0.19,0.19,0.19,0.19,0.19,0.19,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.12,0.12,0.12,0.12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,83.25999999999999
07/12/2021,6.68,5.78,0.0,4.4,4.23,3.66,3.61,2.75,2.72,1.22,0.64,0.52,0.45,0.45,0.0,0.43,0.4,0.38,0.38,0.37,0.37,0.37,0.37,0.36,0.35,0.34,0.34,0.34,0.35,0.34,0.33,0.33,0.33,0.34,0.33,0.33,0.33,0.32,0.32,0.31,0.32,0.3,0.3,0.3,0.3,0.3,0.29,0.29,0.29,0.28,0.27,0.28,0.27,0.25,0.26,0.25,0.25,0.25,0.25,0.25,0.25,0.24,0.24,0.24,0.24,0.24,0.23,0.23,0.23,0.23,0.23,0.23,0.23,0.22,0.22,0.22,0.22,0.22,0.22,0.22,0.21,0.21,0.21,0.21,0.21,0.2,0.21,0.2,0.2,0.2,0.19,0.18,0.19,0.19,0.19,0.19,0.19,0.19,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.19,0.18,0.18,0.18,0.17,0.17,0.18,0.17,0.18,0.17,0.17,0.17,0.18,0.17,0.17,0.17,0.17,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.15,0.0,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.16,0.15,0.15,0.15,0.15,0.16,0.14,0.15,0.14,0.15,0.15,0.14,0.15,0.15,0.14,0.14,0.14,0.13,0.14,0.14,0.13,0.14,0.13,0.13,0.14,0.13,0.13,0.13,0.14,0.13,0.22,0.13,0.13,0.12,0.13,0.13,0.0,0.13,0.12,0.13,0.12,0.13,0.12,0.0,0.0,0.13,0.13,0.0,0.0,0.13,0.0,0.0,0.0,0.0,0.0,0.0,0.12,0.0,0.0,5.26,0.77,0.68,0.61,0.43,0.31,0.29,0.27,0.18,0.17,0.17,0.15,0.14,0.13,0.12,0.12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,82.81
07/13/2021,6.68,5.78,0.0,4.4,4.23,3.66,3.61,2.75,2.72,1.22,0.64,0.52,0.45,0.45,0.0,0.43,0.4,0.38,0.38,0.37,0.37,0.37,0.37,0.36,0.35,0.34,0.34,0.34,0.35,0.34,0.33,0.33,0.33,0.34,0.33,0.33,0.33,0.32,0.32,0.31,0.32,0.3,0.3,0.3,0.3,0.3,0.29,0.29,0.29,0.28,0.27,0.28,0.27,0.25,0.26,0.25,0.25,0.25,0.25,0.25,0.25,0.24,0.24,0.24,0.24,0.24,0.23,0.23,0.23,0.23,0.23,0.23,0.23,0.22,0.22,0.22,0.22,0.22,0.22,0.22,0.21,0.21,0.21,0.21,0.21,0.2,0.21,0.2,0.2,0.2,0.19,0.18,0.19,0.19,0.19,0.19,0.19,0.19,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.19,0.18,0.18,0.18,0.17,0.17,0.18,0.17,0.18,0.17,0.17,0.17,0.18,0.17,0.17,0.17,0.17,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.15,0.0,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.16,0.15,0.15,0.15,0.15,0.16,0.14,0.15,0.14,0.15,0.15,0.14,0.15,0.15,0.14,0.14,0.14,0.13,0.14,0.14,0.13,0.14,0.13,0.13,0.14,0.13,0.13,0.13,0.14,0.13,0.22,0.13,0.13,0.12,0.13,0.13,0.0,0.13,0.12,0.13,0.12,0.13,0.12,0.0,0.0,0.13,0.13,0.0,0.0,0.13,0.0,0.0,0.0,0.0,0.0,0.0,0.12,0.0,0.0,5.26,0.77,0.68,0.61,0.43,0.31,0.29,0.27,0.18,0.17,0.17,0.15,0.14,0.13,0.12,0.12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,82.81
07/22/2021,6.62,5.72,0.0,1.38,2.0,0.0,3.58,2.72,2.69,1.21,0.63,0.51,0.44,0.45,0.0,0.42,0.39,0.38,0.55,0.37,0.36,0.37,0.37,0.36,0.35,0.34,0.34,0.34,0.35,0.34,0.33,0.33,0.33,0.33,0.33,0.33,0.33,0.32,0.32,0.31,0.32,0.3,0.3,0.3,0.3,0.29,0.29,0.29,0.29,0.28,0.27,0.28,0.27,0.25,0.33,0.25,0.25,0.24,0.24,0.25,0.24,0.24,0.24,0.24,0.24,0.24,0.23,0.23,0.23,0.22,0.23,0.23,0.23,0.22,0.22,0.22,0.22,0.22,0.22,0.22,0.21,0.2,0.21,0.21,0.21,0.2,0.21,0.2,0.19,0.2,0.19,0.18,0.19,0.19,0.18,0.19,0.19,0.19,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.28,0.18,0.18,0.18,0.18,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.15,0.0,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.16,0.15,0.15,0.15,0.15,0.16,0.14,0.14,0.18,0.14,0.14,0.14,0.15,0.14,0.14,0.14,0.14,0.0,0.14,0.14,0.0,0.14,0.0,0.0,0.14,0.0,0.0,0.14,0.14,0.0,0.22,0.13,0.0,0.0,0.0,0.0,0.0,0.13,0.0,0.13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.0,5.22,2.98,1.98,3.59,0.43,0.3,0.29,0.27,0.18,0.17,0.17,0.15,0.18,0.0,0.0,0.0,0.53,0.4,0.31,0.3,0.3,0.3,0.28,0.25,0.24,0.2,0.2,0.2,0.19,0.18,0.18,0.18,0.17,0.16,0.15,0.15,0.14,0.13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,82.85
08/03/2021,0.0,0.0,0.0,0.0,0.0,0.0,3.5,0.0,2.63,1.19,0.62,0.49,0.42,0.44,0.0,0.41,0.38,0.38,0.54,0.36,0.36,0.36,0.35,0.35,0.34,0.33,0.33,0.33,0.35,0.33,0.32,0.32,0.3,0.33,0.32,0.31,0.32,0.3,0.31,0.3,0.3,0.3,0.28,0.29,0.29,0.29,0.28,0.28,0.28,0.27,0.26,0.27,0.26,0.25,0.32,0.24,0.24,0.24,0.24,0.24,0.24,0.22,0.23,0.23,0.23,0.23,0.22,0.22,0.23,0.21,0.22,0.22,0.22,0.22,0.21,0.22,0.21,0.21,0.21,0.22,0.2,0.2,0.2,0.21,0.21,0.2,0.2,0.19,0.19,0.19,0.19,0.17,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.17,0.17,0.18,0.18,0.17,0.18,0.27,0.18,0.17,0.18,0.17,0.16,0.16,0.17,0.16,0.17,0.17,0.16,0.17,0.17,0.16,0.16,0.16,0.15,0.16,0.16,0.15,0.15,0.15,0.15,0.16,0.15,0.15,0.14,0.0,0.15,0.15,0.2,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.0,0.15,0.14,0.14,0.18,0.18,0.14,0.14,0.14,0.14,0.14,0.14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.0,5.1,4.87,1.94,4.87,0.42,0.3,0.28,0.26,0.18,0.16,0.17,0.15,0.18,0.0,0.0,0.0,0.52,0.39,0.3,0.29,0.29,0.29,0.27,0.24,0.24,0.2,0.2,0.19,0.19,0.17,0.18,0.17,0.17,0.16,0.0,0.15,0.14,0.0,6.48,4.46,2.95,0.49,0.42,0.41,0.32,0.31,0.3,0.27,0.23,0.22,0.22,0.21,0.19,0.17,0.17,0.16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,82.39000000000001
08/04/2021,0.0,0.0,0.0,0.0,0.0,0.0,3.5,0.0,2.63,1.19,0.62,0.49,0.42,0.44,0.0,0.41,0.38,0.38,0.54,0.36,0.36,0.36,0.35,0.35,0.34,0.33,0.33,0.33,0.35,0.33,0.32,0.32,0.3,0.33,0.32,0.31,0.32,0.3,0.31,0.3,0.3,0.3,0.28,0.29,0.29,0.29,0.28,0.28,0.28,0.27,0.26,0.27,0.26,0.25,0.32,0.24,0.24,0.24,0.24,0.24,0.24,0.22,0.23,0.23,0.23,0.23,0.22,0.22,0.23,0.21,0.22,0.22,0.22,0.22,0.21,0.22,0.21,0.21,0.21,0.22,0.2,0.2,0.2,0.21,0.21,0.2,0.2,0.19,0.19,0.19,0.19,0.17,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.17,0.17,0.18,0.18,0.17,0.18,0.27,0.18,0.17,0.18,0.17,0.16,0.16,0.17,0.16,0.17,0.17,0.16,0.17,0.17,0.16,0.16,0.16,0.15,0.16,0.16,0.15,0.15,0.15,0.15,0.16,0.15,0.15,0.14,0.0,0.15,0.15,0.2,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.0,0.15,0.14,0.14,0.18,0.18,0.14,0.14,0.14,0.14,0.14,0.14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.0,5.1,4.87,1.94,4.87,0.42,0.3,0.28,0.26,0.18,0.16,0.17,0.15,0.18,0.0,0.0,0.0,0.52,0.39,0.3,0.29,0.29,0.29,0.27,0.24,0.24,0.2,0.2,0.19,0.19,0.17,0.18,0.17,0.17,0.16,0.0,0.15,0.14,0.0,6.48,4.46,2.95,0.49,0.42,0.41,0.32,0.31,0.3,0.27,0.23,0.22,0.22,0.21,0.19,0.17,0.17,0.16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,82.39000000000001
08/05/2021,0.0,0.0,0.0,0.0,0.0,0.0,3.5,0.0,2.63,1.19,0.62,0.49,0.42,0.44,0.0,0.41,0.38,0.38,0.54,0.36,0.36,0.36,0.35,0.35,0.34,0.33,0.33,0.33,0.35,0.33,0.32,0.32,0.3,0.33,0.32,0.31,0.32,0.3,0.31,0.3,0.3,0.3,0.28,0.29,0.29,0.29,0.28,0.28,0.28,0.27,0.26,0.27,0.26,0.25,0.32,0.24,0.24,0.24,0.24,0.24,0.24,0.22,0.23,0.23,0.23,0.23,0.22,0.22,0.23,0.21,0.22,0.22,0.22,0.22,0.21,0.22,0.21,0.21,0.21,0.22,0.2,0.2,0.2,0.21,0.21,0.2,0.2,0.19,0.19,0.19,0.19,0.17,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.17,0.17,0.18,0.18,0.17,0.18,0.27,0.18,0.17,0.18,0.17,0.16,0.16,0.17,0.16,0.17,0.17,0.16,0.17,0.17,0.16,0.16,0.16,0.15,0.16,0.16,0.15,0.15,0.15,0.15,0.16,0.15,0.15,0.14,0.0,0.15,0.15,0.2,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.0,0.15,0.14,0.14,0.18,0.18,0.14,0.14,0.14,0.14,0.14,0.14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.0,5.1,4.87,1.94,4.87,0.42,0.3,0.28,0.26,0.18,0.16,0.17,0.15,0.18,0.0,0.0,0.0,0.52,0.39,0.3,0.29,0.29,0.29,0.27,0.24,0.24,0.2,0.2,0.19,0.19,0.17,0.18,0.17,0.17,0.16,0.0,0.15,0.14,0.0,6.48,4.46,2.95,0.49,0.42,0.41,0.32,0.31,0.3,0.27,0.23,0.22,0.22,0.21,0.19,0.17,0.17,0.16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,82.39000000000001
08/06/2021,6.36,0.0,0.0,0.0,0.0,0.0,3.44,0.0,2.59,1.17,0.61,0.49,0.41,0.43,0.0,0.41,0.38,0.37,0.53,0.35,0.35,0.35,0.34,0.35,0.33,0.33,0.32,0.32,0.34,0.33,0.32,0.32,0.29,0.32,0.32,0.31,0.32,0.3,0.3,0.29,0.3,0.29,0.28,0.29,0.28,0.28,0.28,0.27,0.28,0.27,0.26,0.27,0.26,0.24,0.32,0.24,0.23,0.23,0.24,0.24,0.23,0.22,0.23,0.22,0.23,0.23,0.22,0.22,0.23,0.21,0.22,0.22,0.22,0.21,0.21,0.21,0.21,0.2,0.21,0.21,0.2,0.19,0.2,0.2,0.2,0.2,0.2,0.19,0.19,0.19,0.18,0.16,0.18,0.18,0.18,0.18,0.18,0.18,0.17,0.17,0.17,0.17,0.17,0.16,0.18,0.27,0.18,0.16,0.18,0.17,0.16,0.16,0.17,0.16,0.17,0.16,0.16,0.17,0.17,0.16,0.16,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.14,0.0,0.14,0.15,0.2,0.14,0.15,0.15,0.14,0.15,0.14,0.15,0.15,0.0,0.15,0.14,0.14,0.18,0.17,0.14,0.14,0.14,0.14,0.14,0.14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.19,0.0,0.0,0.0,0.0,5.01,4.79,1.9,4.79,0.41,0.29,0.28,0.26,0.18,0.16,0.17,0.14,0.17,0.0,0.0,0.0,0.51,0.38,0.29,0.29,0.28,0.29,0.26,0.24,0.23,0.19,0.19,0.19,0.18,0.17,0.18,0.17,0.17,0.15,0.0,0.0,0.14,0.0,0.0,4.38,2.9,0.48,0.42,0.4,0.32,0.31,0.29,0.27,0.22,0.21,0.21,0.21,0.18,0.17,0.17,0.16,0.21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,81.06
08/10/2021,6.25,0.0,0.0,0.0,0.0,0.0,3.38,0.0,0.0,0.0,0.0,0.48,0.41,0.42,0.0,0.4,0.37,0.37,0.52,0.34,0.34,0.35,0.33,0.34,0.33,0.32,0.32,0.32,0.33,0.32,0.31,0.3,0.29,0.32,0.31,0.3,0.31,0.29,0.3,0.29,0.29,0.29,0.27,0.28,0.28,0.28,0.27,0.27,0.27,0.24,0.25,0.26,0.25,0.24,0.31,0.23,0.23,0.23,0.23,0.24,0.22,0.22,0.22,0.22,0.23,0.23,0.22,0.21,0.22,0.21,0.21,0.21,0.21,0.21,0.2,0.21,0.21,0.2,0.2,0.21,0.2,0.19,0.2,0.2,0.2,0.19,0.19,0.18,0.18,0.19,0.37,0.16,0.18,0.17,0.17,0.17,0.18,0.17,0.17,0.17,0.16,0.17,0.17,0.16,0.17,0.26,0.17,0.16,0.17,0.16,0.16,0.16,0.16,0.16,0.17,0.16,0.16,0.16,0.16,0.16,0.15,0.34,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.14,0.0,0.14,0.14,0.2,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.0,0.14,0.0,0.14,0.17,0.17,0.14,0.0,0.14,0.14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.19,0.0,0.0,0.0,0.0,4.93,4.68,1.87,4.7,0.4,0.29,0.27,0.26,0.17,0.16,0.16,0.14,0.17,0.0,0.0,0.0,0.5,0.37,0.29,0.28,0.28,0.28,0.26,0.23,0.23,0.19,0.19,0.18,0.18,0.17,0.17,0.17,0.16,0.15,0.14,0.0,0.0,0.0,0.0,4.31,2.85,0.47,0.41,0.4,0.31,0.3,0.29,0.26,0.22,0.21,0.21,0.2,0.18,0.16,0.17,0.15,0.2,2.54,1.14,0.25,0.21,0.2,0.19,0.15,0.0,0.0,0.0,0.0,79.7
