,B 0 05/27/21,B 0 08/19/21,WIB 0 09/02/21,B 0 08/05/21,B 0 04/29/21,B 0 07/08/21,B 0 07/29/21,B 0 05/20/21,WIB 0 08/26/21,B 0 04/22/21,B 0 06/17/21,B 0 07/15/21,B 0 04/08/21,B 0 04/15/21,B 0 09/09/21,B 0 09/23/21,B 0 04/01/21,B 0 05/13/21,B 0 07/22/21,TBILL,B 0 09/16/21,B 0 06/03/21,CMB 0 04/27/21,CMB 0 06/29/21,B 0 06/24/21,CMB 0 05/11/21,B 0 08/12/21,NQM1 INDEX,USM1 COMDTY,TUM1 COMDTY,RTYM1 INDEX,FAM1 INDEX,MFSM1 INDEX,MESM1 INDEX,JYM1 CURNCY,EDU2 COMDTY,ECM1 CURNCY,DXM1 CURNCY,CDM1 CURNCY,BPM1 CURNCY,WNM1 COMDTY,B 0 11/26/21,B 0 11/04/21,B 0 10/07/21,B 0 09/30/21,B 0 10/28/21,B 0 10/21/21,B 0 11/12/21,B 0 01/06/22,B 0 11/18/21,B 0 12/23/21,B 0 10/14/21,B 0 01/13/22,BPU1 CURNCY,NQU1 INDEX,USU1 COMDTY,TUU1 COMDTY,RTYU1 INDEX,MFSU1 INDEX,CDU1 CURNCY,MESU1 INDEX,JYU1 CURNCY,FAU1 INDEX,EDZ2 COMDTY,ECU1 CURNCY,DXU1 CURNCY,WNU1 COMDTY,SUM
07/23/2021,16.37,9.97,6.32,5.77,4.19,3.37,3.09,3.06,3.03,2.57,2.51,2.39,2.14,2.13,1.93,1.69,1.68,1.61,1.19,1.06,0.99,0.94,0.72,0.54,0.31,0.19,0.19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,79.95
07/26/2021,16.37,9.97,6.32,5.77,4.19,3.37,3.09,3.06,3.03,2.57,2.51,2.39,2.14,2.13,1.93,1.69,1.68,1.61,1.19,1.06,0.99,0.94,0.72,0.54,0.31,0.19,0.19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,79.95
07/27/2021,16.37,9.97,6.32,5.77,4.19,3.37,3.09,3.06,3.03,2.57,2.51,2.39,2.14,2.13,1.93,1.69,1.68,1.61,1.19,1.06,0.99,0.94,0.72,0.54,0.31,0.19,0.19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,79.95
07/28/2021,16.37,9.97,6.32,5.77,4.19,3.37,3.09,3.06,3.03,2.57,2.51,2.39,2.14,2.13,1.93,1.69,1.68,1.61,1.19,1.06,0.99,0.94,0.72,0.54,0.31,0.19,0.19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,79.95
07/29/2021,16.37,9.97,6.32,5.77,4.19,3.37,3.09,3.06,3.03,2.57,2.51,2.39,2.14,2.13,1.93,1.69,1.68,1.61,1.19,1.06,0.99,0.94,0.72,0.54,0.31,0.19,0.19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,79.95
07/30/2021,16.37,9.97,6.32,5.77,4.19,3.37,3.09,3.06,3.03,2.57,2.51,2.39,2.14,2.13,1.93,1.69,1.68,1.61,1.19,1.06,0.99,0.94,0.72,0.54,0.31,0.19,0.19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,79.95
08/02/2021,16.37,9.97,6.32,5.77,4.19,3.37,3.09,3.06,3.03,2.57,2.51,2.39,2.14,2.13,1.93,1.69,1.68,1.61,1.19,1.06,0.99,0.94,0.72,0.54,0.31,0.19,0.19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,79.95
08/03/2021,16.37,9.97,6.32,5.77,4.19,3.37,3.09,3.06,3.03,2.57,2.51,2.39,2.14,2.13,1.93,1.69,1.68,1.61,1.19,1.06,0.99,0.94,0.72,0.54,0.31,0.19,0.19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,79.95
08/04/2021,16.37,9.97,6.32,5.77,4.19,3.37,3.09,3.06,3.03,2.57,2.51,2.39,2.14,2.13,1.93,1.69,1.68,1.61,1.19,1.06,0.99,0.94,0.72,0.54,0.31,0.19,0.19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,79.95
08/05/2021,16.37,9.97,6.32,5.77,4.19,3.37,3.09,3.06,3.03,2.57,2.51,2.39,2.14,2.13,1.93,1.69,1.68,1.61,1.19,1.06,0.99,0.94,0.72,0.54,0.31,0.19,0.19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,79.95
08/06/2021,16.37,9.97,6.32,5.77,4.19,3.37,3.09,3.06,3.03,2.57,2.51,2.39,2.14,2.13,1.93,1.69,1.68,1.61,1.19,1.06,0.99,0.94,0.72,0.54,0.31,0.19,0.19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,79.95
08/10/2021,16.37,9.97,6.32,5.77,4.19,3.37,3.09,3.06,3.03,2.57,2.51,2.39,2.14,2.13,1.93,1.69,1.68,1.61,1.19,1.06,0.99,0.94,0.72,0.54,0.31,0.19,0.19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,79.95
08/11/2021,16.37,9.97,6.32,5.77,4.19,3.37,3.09,3.06,3.03,2.57,2.51,2.39,2.14,2.13,1.93,1.69,1.68,1.61,1.19,1.06,0.99,0.94,0.72,0.54,0.31,0.19,0.19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,79.95
08/12/2021,16.37,9.97,6.32,5.77,4.19,3.37,3.09,3.06,3.03,2.57,2.51,2.39,2.14,2.13,1.93,1.69,1.68,1.61,1.19,1.06,0.99,0.94,0.72,0.54,0.31,0.19,0.19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,79.95
08/13/2021,16.37,9.97,6.32,5.77,4.19,3.37,3.09,3.06,3.03,2.57,2.51,2.39,2.14,2.13,1.93,1.69,1.68,1.61,1.19,1.06,0.99,0.94,0.72,0.54,0.31,0.19,0.19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,79.95
08/16/2021,16.37,9.97,6.32,5.77,4.19,3.37,3.09,3.06,3.03,2.57,2.51,2.39,2.14,2.13,1.93,1.69,1.68,1.61,1.19,1.06,0.99,0.94,0.72,0.54,0.31,0.19,0.19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,79.95
08/17/2021,16.37,9.97,6.32,5.77,4.19,3.37,3.09,3.06,3.03,2.57,2.51,2.39,2.14,2.13,1.93,1.69,1.68,1.61,1.19,1.06,0.99,0.94,0.72,0.54,0.31,0.19,0.19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,79.95
08/18/2021,16.37,9.97,6.32,5.77,4.19,3.37,3.09,3.06,3.03,2.57,2.51,2.39,2.14,2.13,1.93,1.69,1.68,1.61,1.19,1.06,0.99,0.94,0.72,0.54,0.31,0.19,0.19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,79.95
08/19/2021,16.37,9.97,6.32,5.77,4.19,3.37,3.09,3.06,3.03,2.57,2.51,2.39,2.14,2.13,1.93,1.69,1.68,1.61,1.19,1.06,0.99,0.94,0.72,0.54,0.31,0.19,0.19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,79.95
08/20/2021,16.37,9.97,6.32,5.77,4.19,3.37,3.09,3.06,3.03,2.57,2.51,2.39,2.14,2.13,1.93,1.69,1.68,1.61,1.19,1.06,0.99,0.94,0.72,0.54,0.31,0.19,0.19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,79.95
08/23/2021,16.37,9.97,6.32,5.77,4.19,3.37,3.09,3.06,3.03,2.57,2.51,2.39,2.14,2.13,1.93,1.69,1.68,1.61,1.19,1.06,0.99,0.94,0.72,0.54,0.31,0.19,0.19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,79.95
08/24/2021,16.37,9.97,6.32,5.77,4.19,3.37,3.09,3.06,3.03,2.57,2.51,2.39,2.14,2.13,1.93,1.69,1.68,1.61,1.19,1.06,0.99,0.94,0.72,0.54,0.31,0.19,0.19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,79.95
08/25/2021,16.37,9.97,6.32,5.77,4.19,3.37,3.09,3.06,3.03,2.57,2.51,2.39,2.14,2.13,1.93,1.69,1.68,1.61,1.19,1.06,0.99,0.94,0.72,0.54,0.31,0.19,0.19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,79.95
08/26/2021,16.37,9.97,6.32,5.77,4.19,3.37,3.09,3.06,3.03,2.57,2.51,2.39,2.14,2.13,1.93,1.69,1.68,1.61,1.19,1.06,0.99,0.94,0.72,0.54,0.31,0.19,0.19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,79.95
08/27/2021,16.37,9.97,6.32,5.77,4.19,3.37,3.09,3.06,3.03,2.57,2.51,2.39,2.14,2.13,1.93,1.69,1.68,1.61,1.19,1.06,0.99,0.94,0.72,0.54,0.31,0.19,0.19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,79.95
08/30/2021,16.37,9.97,6.32,5.77,4.19,3.37,3.09,3.06,3.03,2.57,2.51,2.39,2.14,2.13,1.93,1.69,1.68,1.61,1.19,1.06,0.99,0.94,0.72,0.54,0.31,0.19,0.19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,79.95
08/31/2021,16.37,9.97,6.32,5.77,4.19,3.37,3.09,3.06,3.03,2.57,2.51,2.39,2.14,2.13,1.93,1.69,1.68,1.61,1.19,1.06,0.99,0.94,0.72,0.54,0.31,0.19,0.19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,79.95
09/01/2021,16.37,9.97,6.32,5.77,4.19,3.37,3.09,3.06,3.03,2.57,2.51,2.39,2.14,2.13,1.93,1.69,1.68,1.61,1.19,1.06,0.99,0.94,0.72,0.54,0.31,0.19,0.19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,79.95
09/02/2021,16.37,9.97,6.32,5.77,4.19,3.37,3.09,3.06,3.03,2.57,2.51,2.39,2.14,2.13,1.93,1.69,1.68,1.61,1.19,1.06,0.99,0.94,0.72,0.54,0.31,0.19,0.19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,79.95
09/03/2021,0.0,8.33,6.08,4.82,0.0,0.0,0.0,0.0,6.8,0.0,0.0,0.0,0.0,0.0,1.62,1.41,0.0,0.0,0.0,1.7,1.8,0.0,0.0,0.0,0.0,0.0,0.16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.67,9.92,3.93,3.62,3.28,2.92,2.42,2.24,1.38,1.19,0.81,0.38,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,79.48
09/06/2021,0.0,8.33,6.08,4.82,0.0,0.0,0.0,0.0,6.8,0.0,0.0,0.0,0.0,0.0,1.62,1.41,0.0,0.0,0.0,1.7,1.8,0.0,0.0,0.0,0.0,0.0,0.16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.67,9.92,3.93,3.62,3.28,2.92,2.42,2.24,1.38,1.19,0.81,0.38,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,79.48
09/07/2021,0.0,8.33,6.08,4.82,0.0,0.0,0.0,0.0,6.8,0.0,0.0,0.0,0.0,0.0,1.62,1.41,0.0,0.0,0.0,1.7,1.8,0.0,0.0,0.0,0.0,0.0,0.16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.67,9.92,3.93,3.62,3.28,2.92,2.42,2.24,1.38,1.19,0.81,0.38,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,79.48
09/08/2021,0.0,8.33,6.08,4.82,0.0,0.0,0.0,0.0,6.8,0.0,0.0,0.0,0.0,0.0,1.62,1.41,0.0,0.0,0.0,1.7,1.8,0.0,0.0,0.0,0.0,0.0,0.16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.67,9.92,3.93,3.62,3.28,2.92,2.42,2.24,1.38,1.19,0.81,0.38,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,79.48
09/09/2021,0.0,8.33,6.08,4.82,0.0,0.0,0.0,0.0,6.8,0.0,0.0,0.0,0.0,0.0,1.62,1.41,0.0,0.0,0.0,1.7,1.8,0.0,0.0,0.0,0.0,0.0,0.16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.67,9.92,3.93,3.62,3.28,2.92,2.42,2.24,1.38,1.19,0.81,0.38,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,79.48
09/10/2021,0.0,8.33,6.08,4.82,0.0,0.0,0.0,0.0,6.8,0.0,0.0,0.0,0.0,0.0,1.62,1.41,0.0,0.0,0.0,1.7,1.8,0.0,0.0,0.0,0.0,0.0,0.16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.67,9.92,3.93,3.62,3.28,2.92,2.42,2.24,1.38,1.19,0.81,0.38,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,79.48
