,Taiwan Semiconductor Manufacturing Co. Ltd. Sponsored ADR,700.HK,NESN.SW,Alibaba Group Holding Ltd.,Samsung Electronics Co. Ltd. Sponsored GDR,ASML.AS,ROG.SW,MC.PA,NOVN.SW,7203.T,ULVR.L,SHOP.NE,NOVOB.CO,RY.TO,SAP.DE,AZN.L,1299.HK,TD.TO,CBA.AX,SIE.DE,6758.T,3690.HK,DGE.L,OR.PA,SAN.PA,BHP.AX,ALV.DE,HSBA.L,TTE.PA,SU.PA,AI.PA,IBE.MC,GSK.L,RIO.L,CSL.AX,Reliance Industries Limited Sponsored GDR 144A,Infosys Limited Sponsored ADR,CNR.TO,BATS.L,DPW.DE,BP.L,NPN.JO,9984.T,388.HK,BMO.TO,ABBN.SW,DTE.DE,BNS.TO,GIVN.SW,Royal Dutch Shell Plc Class B,ADS.DE,6861.T,Vale S.A. Sponsored ADR,DAI.DE,KER.PA,AIR.PA,BAS.DE,BAM.A.TO,Hon Hai Precision Industry Co. Ltd. Sponsored GDR RegS,Royal Dutch Shell Plc Class A,WBC.AX,DSV.CO,ZURN.SW,ENEL.MI,4063.T,Compagnie Financiere Richemont SA,7974.T,CP.TO,BNP.PA,Atlas Copco AB Class B,8035.T,D05.SI,ANZ.AX,UBSG.SW,NG.L,DG.PA,7741.T,6501.T,6981.T,000660.KS,BAYN.DE,NIO,8306.T,035420.KS,ENB.TO,RKT.L,BHP.L,NAB.AX,6594.T,PHIA.AS,SAN.MC,WES.AX,RI.PA,U11.SI,JD,China Construction Bank Corporation Class H,6954.T,CM.TO,AAL.L,Oil company LUKOIL PJSC Sponsored ADR,4502.T,EL.PA,WKL.AS,LONN.SW,2454.TW,SSGA FDS/USA STIF USD,MQG.AX,BIDU,9433.T,China Merchants Bank Co. Ltd. Class H,MUV2.DE,DSM.AS,ABI.BR,REL.L,CRH Plc,8001.T,VWS.CO,7267.T,ERIC B.ST,BN.PA,GLEN.L,ADYEN.AS,Public Joint-Stock Company Gazprom Sponsored ADR,Ping An Insurance (Group) Company of China Ltd. Class H,6702.T,HDFC.NS,2269.HK,DB1.DE,6098.T,MRK.DE,6367.T,CPG.L,CNQ.TO,GEBN.SW,VOD.L,ITX.MC,CS.PA,WOW.AX,ASSA B.ST,PDD,INGA.AS,8058.T,NTR.TO,SAF.PA,VIV.PA,NA.TO,8031.T,4503.T,SIKA.SW,9983.T,1398.HK,PRX.AS,HEIA.AS,EXPN.L,CAP.PA,AD.AS,1810.HK,TRP.TO,Chunghwa Telecom Co. Ltd Sponsored ADR,3382.T,NTES,BARC.L,823.HK,Petroleo Brasileiro SA Sponsored ADR Pfd,9432.T,4543.T,SLF.TO,ABX.TO,SU.TO,RACE.MI,VOLV B.ST,6902.T,035720.KS,8766.T,FERG.L,TRI.TO,BBVA.MC,MFC.TO,HINDUNILVR.NS,4901.T,RIO.AX,PRU.L,ISP.MI,4568.T,5108.T,LLOY.L,BMW.DE,SSE.L,FMG.AX,United Microelectronics Corp. Sponsored ADR,6971.T,ICICI Bank Limited Sponsored ADR,6273.T,KNEBV.HE,SAND.ST,KRZ.IR,6503.T,4452.T,AKZA.AS,ALC.SW,SGSN.SW,RCI.B.TO,Itau Unibanco Holding S.A. Sponsored ADR Pfd,TSM,SSU.,9988.HK,NOVO B.CO,SHOP,INFY,RIGDS.,RYDBF,VALE,RDSA.AS,HHPD.L,RITN.,ATCOB.ST,9933.TW,LUKOY,Muenchener Rueckve,CRH.L,M4B.,939.HK,OGZD.L,2318.HK,CHT,PJX.,UMC,IBN,VOW3.DE,RCI/A.NE,BVXB.,BBD,Banco Bradesco S.A. Sponsored ADR Pfd,SGO.PA,NDA SE.ST,L.TO,JHX.AX,Hon Hai Precision Industry Co Ltd DR,Chunghwa Telecom Co Ltd ADR,U.S. Dollar,Industrial and Commercial Bank of China Limited Class H,DSY.PA,n/a,669.HK,DSYA.,MAERSK B.CO,SREN.SW,TCS.NS,SUM
07/23/2021,0.0,1.57,1.5,0.0,0.0,1.17,1.1,0.84,0.8,0.71,0.64,0.0,0.0,0.61,0.64,0.58,0.57,0.51,0.53,0.5,0.51,0.47,0.47,0.48,0.47,0.47,0.43,0.41,0.4,0.39,0.4,0.38,0.38,0.37,0.37,0.0,0.0,0.35,0.34,0.34,0.31,0.35,0.33,0.37,0.31,0.32,0.31,0.29,0.32,0.0,0.3,0.3,0.0,0.29,0.29,0.28,0.29,0.27,0.0,0.0,0.27,0.28,0.28,0.27,0.26,0.0,0.25,0.24,0.24,0.0,0.24,0.24,0.0,0.24,0.25,0.23,0.24,0.24,0.24,0.23,0.23,0.21,0.23,0.25,0.22,0.24,0.23,0.22,0.23,0.22,0.21,0.23,0.22,0.22,0.23,0.0,0.21,0.21,0.21,0.0,0.22,0.21,0.22,0.21,0.21,0.0,0.2,0.2,0.22,0.0,0.0,0.21,0.2,0.21,0.0,0.21,0.18,0.2,0.18,0.19,0.19,0.2,0.0,0.0,0.19,0.19,0.22,0.19,0.19,0.19,0.2,0.17,0.16,0.19,0.17,0.17,0.18,0.18,0.18,0.17,0.17,0.18,0.17,0.16,0.17,0.17,0.17,0.18,0.18,0.16,0.17,0.18,0.17,0.18,0.17,0.17,0.18,0.16,0.0,0.16,0.17,0.15,0.16,0.0,0.16,0.15,0.15,0.15,0.0,0.15,0.15,0.15,0.15,0.16,0.15,0.15,0.14,0.14,0.15,0.15,0.15,0.14,0.14,0.14,0.0,0.14,0.14,0.14,0.16,0.0,0.14,0.0,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.0,0.14,0.0,0.0,1.96,1.3,1.39,0.66,0.6,0.35,0.35,0.28,0.3,0.26,0.3,0.27,0.27,0.24,0.2,0.2,0.19,0.21,0.2,0.18,0.19,0.16,0.15,0.14,0.14,0.0,0.14,0.0,0.0,0.0,0.0,0.0,0.14,0.14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,58.79
07/26/2021,0.0,1.53,1.46,0.0,0.0,1.24,1.04,0.85,0.8,0.69,0.59,0.0,0.0,0.61,0.61,0.58,0.58,0.51,0.54,0.52,0.5,0.47,0.47,0.48,0.47,0.47,0.44,0.42,0.4,0.4,0.4,0.38,0.37,0.37,0.38,0.0,0.0,0.35,0.34,0.35,0.31,0.35,0.32,0.38,0.31,0.33,0.31,0.3,0.32,0.0,0.3,0.3,0.0,0.29,0.29,0.29,0.29,0.29,0.0,0.0,0.27,0.28,0.28,0.28,0.26,0.0,0.24,0.25,0.25,0.0,0.24,0.24,0.0,0.26,0.24,0.23,0.24,0.23,0.24,0.22,0.24,0.22,0.22,0.25,0.23,0.22,0.24,0.23,0.23,0.23,0.22,0.23,0.22,0.22,0.23,0.0,0.2,0.22,0.22,0.0,0.21,0.21,0.23,0.21,0.21,0.0,0.21,0.2,0.21,0.0,0.0,0.22,0.2,0.21,0.0,0.2,0.2,0.19,0.18,0.19,0.2,0.21,0.0,0.0,0.19,0.19,0.2,0.19,0.19,0.19,0.19,0.17,0.17,0.2,0.18,0.17,0.18,0.19,0.19,0.17,0.17,0.17,0.18,0.17,0.17,0.17,0.17,0.18,0.18,0.16,0.16,0.18,0.17,0.18,0.17,0.17,0.18,0.16,0.0,0.15,0.16,0.15,0.16,0.0,0.16,0.15,0.16,0.15,0.0,0.15,0.15,0.15,0.14,0.15,0.15,0.15,0.15,0.15,0.14,0.14,0.15,0.14,0.14,0.14,0.0,0.14,0.14,0.14,0.15,0.0,0.14,0.0,0.14,0.15,0.14,0.14,0.14,0.14,0.0,0.14,0.14,0.0,0.0,1.96,1.31,1.4,0.65,0.65,0.35,0.36,0.29,0.3,0.27,0.28,0.28,0.27,0.24,0.2,0.2,0.2,0.21,0.19,0.19,0.19,0.16,0.15,0.14,0.14,0.0,0.0,0.0,0.0,0.0,0.0,0.14,0.14,0.14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,58.92
07/27/2021,0.0,1.5,1.47,0.0,0.0,1.27,1.05,0.87,0.8,0.69,0.61,0.0,0.0,0.61,0.6,0.58,0.58,0.51,0.53,0.52,0.5,0.46,0.48,0.49,0.47,0.47,0.44,0.42,0.4,0.41,0.4,0.38,0.38,0.38,0.38,0.0,0.0,0.36,0.34,0.35,0.31,0.34,0.32,0.37,0.31,0.34,0.31,0.3,0.32,0.0,0.31,0.3,0.0,0.3,0.3,0.29,0.3,0.29,0.0,0.0,0.27,0.28,0.28,0.28,0.26,0.0,0.24,0.25,0.25,0.0,0.24,0.24,0.0,0.26,0.24,0.24,0.24,0.23,0.24,0.22,0.24,0.21,0.22,0.26,0.23,0.23,0.24,0.23,0.23,0.23,0.22,0.23,0.22,0.22,0.22,0.0,0.2,0.22,0.22,0.0,0.21,0.21,0.23,0.22,0.21,0.0,0.21,0.19,0.21,0.0,0.0,0.22,0.2,0.21,0.0,0.2,0.18,0.19,0.18,0.19,0.2,0.21,0.0,0.0,0.19,0.19,0.2,0.19,0.19,0.19,0.19,0.17,0.17,0.2,0.18,0.18,0.18,0.19,0.19,0.15,0.17,0.17,0.18,0.17,0.17,0.17,0.16,0.17,0.18,0.16,0.16,0.17,0.17,0.18,0.18,0.17,0.17,0.16,0.0,0.15,0.15,0.15,0.16,0.0,0.16,0.15,0.16,0.15,0.0,0.16,0.15,0.14,0.14,0.15,0.15,0.16,0.15,0.15,0.14,0.14,0.15,0.14,0.14,0.14,0.0,0.14,0.14,0.14,0.15,0.0,0.14,0.0,0.14,0.15,0.14,0.14,0.0,0.0,0.14,0.14,0.14,0.0,0.0,1.96,1.3,1.39,0.66,0.67,0.36,0.36,0.29,0.3,0.27,0.0,0.29,0.28,0.24,0.2,0.2,0.2,0.2,0.19,0.19,0.19,0.0,0.15,0.14,0.15,0.0,0.0,0.0,0.0,0.0,0.14,0.14,0.14,0.14,0.27,0.17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,59.03
07/28/2021,0.0,1.5,1.47,0.0,0.0,1.27,1.05,0.87,0.8,0.69,0.61,0.0,0.0,0.61,0.6,0.58,0.58,0.51,0.53,0.52,0.5,0.46,0.48,0.49,0.47,0.47,0.44,0.42,0.4,0.41,0.4,0.38,0.38,0.38,0.38,0.0,0.0,0.36,0.34,0.35,0.31,0.34,0.32,0.37,0.31,0.34,0.31,0.3,0.32,0.0,0.31,0.3,0.0,0.3,0.3,0.29,0.3,0.29,0.0,0.0,0.27,0.28,0.28,0.28,0.26,0.0,0.24,0.25,0.25,0.0,0.24,0.24,0.0,0.26,0.24,0.24,0.24,0.23,0.24,0.22,0.24,0.21,0.22,0.26,0.23,0.23,0.24,0.23,0.23,0.23,0.22,0.23,0.22,0.22,0.22,0.0,0.2,0.22,0.22,0.0,0.21,0.21,0.23,0.22,0.21,0.0,0.21,0.19,0.21,0.0,0.0,0.22,0.2,0.21,0.0,0.2,0.18,0.19,0.18,0.19,0.2,0.21,0.0,0.0,0.19,0.19,0.2,0.19,0.19,0.19,0.19,0.17,0.17,0.2,0.18,0.18,0.18,0.19,0.19,0.15,0.17,0.17,0.18,0.17,0.17,0.17,0.16,0.17,0.18,0.16,0.16,0.17,0.17,0.18,0.18,0.17,0.17,0.16,0.0,0.15,0.15,0.15,0.16,0.0,0.16,0.15,0.16,0.15,0.0,0.16,0.15,0.14,0.14,0.15,0.15,0.16,0.15,0.15,0.14,0.14,0.15,0.14,0.14,0.14,0.0,0.14,0.14,0.14,0.15,0.0,0.14,0.0,0.14,0.15,0.14,0.14,0.0,0.0,0.14,0.14,0.14,0.0,0.0,1.96,1.3,1.39,0.66,0.67,0.36,0.36,0.29,0.3,0.27,0.27,0.29,0.28,0.24,0.2,0.2,0.2,0.2,0.19,0.19,0.19,0.17,0.15,0.14,0.15,0.0,0.0,0.0,0.0,0.0,0.14,0.14,0.14,0.14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,59.03
07/29/2021,0.0,1.39,1.47,0.0,0.0,1.28,1.05,0.87,0.8,0.7,0.6,0.0,0.0,0.61,0.6,0.58,0.56,0.52,0.54,0.53,0.5,0.4,0.48,0.49,0.47,0.48,0.45,0.42,0.42,0.41,0.4,0.38,0.37,0.39,0.39,0.0,0.0,0.35,0.35,0.35,0.32,0.32,0.32,0.35,0.32,0.34,0.32,0.3,0.32,0.0,0.3,0.31,0.0,0.31,0.3,0.3,0.3,0.29,0.0,0.0,0.27,0.28,0.29,0.29,0.26,0.0,0.24,0.25,0.26,0.0,0.24,0.24,0.0,0.26,0.25,0.24,0.24,0.24,0.25,0.22,0.24,0.2,0.23,0.26,0.23,0.23,0.25,0.23,0.23,0.22,0.23,0.24,0.22,0.22,0.2,0.0,0.2,0.22,0.23,0.0,0.21,0.21,0.23,0.22,0.21,0.0,0.21,0.18,0.21,0.0,0.0,0.22,0.2,0.21,0.0,0.21,0.19,0.19,0.18,0.19,0.21,0.21,0.0,0.0,0.19,0.19,0.18,0.19,0.19,0.19,0.2,0.18,0.17,0.2,0.18,0.18,0.19,0.19,0.19,0.14,0.18,0.18,0.18,0.17,0.17,0.17,0.17,0.18,0.18,0.16,0.16,0.16,0.17,0.18,0.18,0.17,0.17,0.16,0.0,0.15,0.0,0.16,0.16,0.0,0.16,0.15,0.16,0.15,0.14,0.16,0.15,0.15,0.14,0.16,0.15,0.16,0.15,0.15,0.14,0.15,0.15,0.15,0.15,0.14,0.0,0.15,0.14,0.15,0.15,0.0,0.14,0.0,0.14,0.15,0.14,0.14,0.14,0.0,0.0,0.0,0.14,0.0,0.0,1.95,1.31,1.3,0.65,0.64,0.36,0.35,0.3,0.31,0.27,0.28,0.29,0.28,0.24,0.2,0.2,0.2,0.2,0.19,0.19,0.18,0.16,0.16,0.15,0.15,0.0,0.0,0.14,0.0,0.0,0.14,0.15,0.14,0.14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,59.03
07/30/2021,0.0,1.27,1.49,0.0,0.0,1.26,1.06,0.88,0.81,0.71,0.61,0.0,0.0,0.62,0.61,0.58,0.55,0.52,0.55,0.53,0.51,0.33,0.49,0.5,0.47,0.49,0.45,0.43,0.42,0.41,0.4,0.38,0.38,0.39,0.39,0.0,0.0,0.36,0.35,0.35,0.32,0.3,0.32,0.33,0.32,0.34,0.32,0.3,0.32,0.0,0.3,0.31,0.0,0.3,0.3,0.3,0.3,0.3,0.0,0.0,0.28,0.28,0.29,0.28,0.27,0.0,0.25,0.25,0.26,0.0,0.25,0.24,0.0,0.27,0.25,0.24,0.25,0.24,0.25,0.22,0.24,0.19,0.23,0.26,0.23,0.21,0.26,0.23,0.23,0.22,0.23,0.24,0.23,0.22,0.2,0.0,0.21,0.22,0.23,0.0,0.22,0.21,0.23,0.22,0.21,0.0,0.21,0.18,0.21,0.0,0.0,0.22,0.2,0.21,0.0,0.21,0.18,0.2,0.18,0.19,0.21,0.21,0.0,0.0,0.19,0.19,0.17,0.19,0.2,0.2,0.2,0.18,0.17,0.2,0.18,0.18,0.19,0.19,0.19,0.0,0.18,0.18,0.18,0.17,0.17,0.18,0.17,0.18,0.18,0.16,0.17,0.15,0.17,0.19,0.18,0.17,0.16,0.17,0.0,0.16,0.0,0.16,0.16,0.0,0.16,0.15,0.16,0.15,0.0,0.16,0.15,0.15,0.14,0.16,0.15,0.16,0.15,0.15,0.14,0.15,0.16,0.14,0.15,0.15,0.14,0.15,0.14,0.15,0.16,0.0,0.15,0.0,0.14,0.15,0.15,0.14,0.14,0.14,0.0,0.0,0.14,0.0,0.0,1.93,1.29,1.23,0.66,0.64,0.37,0.35,0.3,0.31,0.28,0.28,0.29,0.28,0.25,0.2,0.21,0.2,0.19,0.2,0.19,0.17,0.17,0.16,0.14,0.15,0.0,0.0,0.14,0.0,0.0,0.14,0.15,0.14,0.14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,59.00999999999999
08/02/2021,0.0,1.27,1.48,0.0,0.0,1.29,1.06,0.9,0.81,0.7,0.6,0.0,0.0,0.62,0.62,0.58,0.54,0.52,0.54,0.52,0.51,0.35,0.49,0.5,0.47,0.48,0.45,0.42,0.42,0.41,0.4,0.38,0.38,0.4,0.38,0.0,0.0,0.36,0.34,0.35,0.32,0.32,0.3,0.33,0.32,0.34,0.32,0.3,0.32,0.0,0.3,0.31,0.0,0.3,0.31,0.31,0.3,0.3,0.0,0.0,0.27,0.28,0.29,0.29,0.26,0.0,0.24,0.25,0.26,0.0,0.24,0.24,0.0,0.26,0.25,0.24,0.24,0.24,0.24,0.21,0.24,0.2,0.23,0.25,0.23,0.2,0.26,0.23,0.22,0.22,0.22,0.23,0.23,0.22,0.22,0.0,0.21,0.22,0.24,0.0,0.22,0.21,0.23,0.22,0.2,0.0,0.21,0.19,0.21,0.0,0.0,0.22,0.2,0.21,0.0,0.21,0.18,0.19,0.18,0.19,0.21,0.22,0.0,0.0,0.19,0.19,0.18,0.18,0.19,0.2,0.2,0.18,0.17,0.2,0.18,0.18,0.18,0.19,0.19,0.15,0.18,0.18,0.18,0.17,0.17,0.18,0.17,0.18,0.18,0.16,0.17,0.16,0.17,0.19,0.18,0.17,0.16,0.17,0.0,0.16,0.15,0.16,0.16,0.0,0.16,0.15,0.16,0.16,0.0,0.16,0.15,0.15,0.14,0.16,0.15,0.16,0.15,0.15,0.14,0.15,0.15,0.14,0.15,0.14,0.0,0.15,0.14,0.15,0.16,0.0,0.14,0.0,0.14,0.14,0.14,0.14,0.0,0.0,0.0,0.14,0.14,0.0,0.0,1.95,1.3,1.25,0.67,0.63,0.37,0.35,0.3,0.32,0.28,0.0,0.29,0.28,0.24,0.21,0.2,0.2,0.2,0.2,0.19,0.17,0.0,0.16,0.15,0.15,0.0,0.0,0.15,0.14,0.0,0.14,0.15,0.14,0.0,0.28,0.17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,58.99
08/03/2021,1.93,1.38,1.46,1.32,1.31,1.28,1.06,0.88,0.8,0.7,0.61,0.61,0.66,0.62,0.62,0.57,0.55,0.52,0.53,0.52,0.53,0.38,0.49,0.49,0.46,0.49,0.45,0.42,0.42,0.4,0.39,0.39,0.38,0.4,0.38,0.35,0.36,0.36,0.34,0.35,0.32,0.33,0.31,0.35,0.32,0.34,0.31,0.3,0.32,0.31,0.3,0.3,0.31,0.31,0.31,0.31,0.29,0.3,0.28,0.29,0.27,0.28,0.29,0.28,0.26,0.29,0.23,0.25,0.26,0.28,0.24,0.24,0.24,0.27,0.25,0.24,0.25,0.24,0.25,0.21,0.24,0.2,0.23,0.25,0.23,0.2,0.26,0.22,0.22,0.22,0.22,0.23,0.23,0.22,0.22,0.19,0.21,0.22,0.25,0.2,0.22,0.21,0.23,0.22,0.21,0.0,0.21,0.18,0.21,0.2,0.2,0.22,0.19,0.21,0.2,0.2,0.18,0.2,0.18,0.2,0.21,0.22,0.19,0.17,0.19,0.19,0.19,0.18,0.19,0.19,0.2,0.18,0.17,0.2,0.18,0.18,0.18,0.18,0.19,0.14,0.18,0.18,0.18,0.17,0.17,0.18,0.17,0.17,0.18,0.15,0.0,0.16,0.17,0.19,0.19,0.17,0.17,0.16,0.17,0.15,0.15,0.16,0.15,0.16,0.16,0.15,0.16,0.16,0.0,0.16,0.15,0.15,0.14,0.16,0.15,0.16,0.15,0.15,0.14,0.14,0.15,0.15,0.15,0.14,0.0,0.15,0.14,0.14,0.16,0.15,0.14,0.15,0.14,0.14,0.14,0.15,0.0,0.0,0.0,0.14,0.14,0.0,0.15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14,0.0,0.14,0.14,0.0,0.0,0.0,0.16,0.16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,59.06
08/04/2021,1.96,1.35,1.49,1.28,1.3,1.28,1.08,0.88,0.81,0.7,0.62,0.61,0.68,0.62,0.62,0.58,0.57,0.52,0.54,0.52,0.52,0.36,0.49,0.5,0.47,0.49,0.45,0.42,0.42,0.41,0.39,0.39,0.38,0.39,0.38,0.35,0.37,0.37,0.34,0.34,0.32,0.33,0.3,0.35,0.31,0.34,0.31,0.3,0.33,0.31,0.3,0.32,0.29,0.31,0.31,0.31,0.29,0.3,0.28,0.28,0.27,0.28,0.29,0.28,0.26,0.29,0.23,0.25,0.26,0.28,0.24,0.24,0.24,0.27,0.26,0.24,0.25,0.23,0.25,0.21,0.24,0.21,0.23,0.25,0.23,0.2,0.26,0.22,0.22,0.22,0.22,0.23,0.23,0.22,0.22,0.19,0.2,0.22,0.24,0.2,0.21,0.22,0.24,0.23,0.2,0.14,0.21,0.18,0.2,0.19,0.2,0.22,0.18,0.22,0.2,0.2,0.18,0.2,0.18,0.2,0.21,0.21,0.19,0.18,0.17,0.19,0.18,0.18,0.19,0.2,0.2,0.18,0.17,0.2,0.18,0.18,0.19,0.18,0.19,0.14,0.18,0.18,0.18,0.16,0.18,0.18,0.17,0.16,0.18,0.15,0.0,0.16,0.17,0.19,0.19,0.18,0.16,0.16,0.17,0.15,0.15,0.16,0.16,0.15,0.16,0.15,0.16,0.16,0.0,0.16,0.15,0.15,0.14,0.16,0.15,0.16,0.15,0.15,0.14,0.14,0.15,0.15,0.15,0.0,0.0,0.14,0.14,0.0,0.15,0.16,0.14,0.15,0.14,0.14,0.14,0.14,0.0,0.0,0.14,0.14,0.14,0.0,0.14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14,0.14,0.15,0.0,0.0,0.0,0.0,0.16,0.14,0.0,0.0,0.0,0.0,0.0,0.0,59.040000000000006
08/05/2021,1.95,1.33,1.48,1.29,1.3,1.3,1.07,0.89,0.8,0.72,0.61,0.6,0.67,0.61,0.62,0.57,0.56,0.51,0.54,0.53,0.53,0.36,0.49,0.5,0.46,0.49,0.41,0.41,0.42,0.41,0.38,0.38,0.38,0.4,0.38,0.35,0.37,0.36,0.34,0.34,0.32,0.33,0.31,0.36,0.31,0.33,0.31,0.3,0.32,0.31,0.31,0.33,0.29,0.31,0.31,0.31,0.29,0.3,0.28,0.28,0.27,0.28,0.29,0.27,0.27,0.3,0.23,0.25,0.25,0.28,0.25,0.24,0.24,0.27,0.25,0.24,0.26,0.23,0.25,0.22,0.24,0.21,0.23,0.24,0.23,0.2,0.26,0.23,0.22,0.22,0.22,0.23,0.22,0.22,0.22,0.19,0.2,0.22,0.25,0.2,0.21,0.23,0.23,0.23,0.21,0.14,0.21,0.18,0.2,0.19,0.2,0.22,0.18,0.22,0.2,0.21,0.19,0.2,0.18,0.21,0.21,0.21,0.19,0.18,0.18,0.19,0.18,0.18,0.19,0.2,0.2,0.18,0.17,0.2,0.18,0.18,0.19,0.19,0.19,0.14,0.18,0.18,0.18,0.16,0.17,0.18,0.17,0.17,0.18,0.15,0.0,0.16,0.17,0.19,0.19,0.17,0.17,0.16,0.17,0.15,0.15,0.16,0.15,0.15,0.16,0.15,0.16,0.16,0.0,0.16,0.15,0.16,0.0,0.16,0.15,0.16,0.15,0.15,0.14,0.14,0.15,0.15,0.15,0.0,0.14,0.15,0.14,0.0,0.15,0.16,0.14,0.15,0.14,0.14,0.14,0.14,0.14,0.0,0.0,0.14,0.14,0.0,0.14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14,0.14,0.15,0.0,0.0,0.0,0.0,0.16,0.14,0.0,0.0,0.0,0.0,0.0,0.0,59.02
08/06/2021,1.97,1.25,1.47,1.3,1.33,1.29,1.08,0.9,0.8,0.72,0.61,0.61,0.68,0.61,0.62,0.57,0.56,0.51,0.54,0.52,0.53,0.35,0.49,0.5,0.46,0.48,0.41,0.42,0.43,0.42,0.39,0.39,0.38,0.4,0.38,0.35,0.38,0.36,0.34,0.34,0.33,0.31,0.31,0.36,0.31,0.34,0.31,0.3,0.32,0.31,0.31,0.33,0.3,0.31,0.31,0.3,0.29,0.3,0.28,0.29,0.27,0.27,0.29,0.27,0.27,0.3,0.23,0.25,0.25,0.28,0.25,0.24,0.24,0.27,0.25,0.24,0.26,0.23,0.25,0.22,0.23,0.21,0.23,0.24,0.23,0.2,0.26,0.23,0.23,0.22,0.22,0.23,0.22,0.21,0.21,0.19,0.2,0.22,0.25,0.2,0.21,0.23,0.23,0.23,0.21,0.14,0.2,0.18,0.21,0.2,0.2,0.22,0.18,0.22,0.2,0.21,0.19,0.2,0.18,0.21,0.21,0.21,0.19,0.18,0.18,0.2,0.19,0.18,0.19,0.2,0.21,0.18,0.17,0.2,0.18,0.18,0.19,0.19,0.19,0.14,0.18,0.18,0.17,0.16,0.18,0.18,0.18,0.16,0.18,0.15,0.0,0.15,0.16,0.19,0.19,0.18,0.17,0.16,0.17,0.15,0.0,0.16,0.15,0.15,0.16,0.15,0.16,0.16,0.0,0.15,0.15,0.16,0.0,0.16,0.15,0.16,0.16,0.14,0.14,0.14,0.15,0.15,0.15,0.0,0.14,0.15,0.0,0.14,0.14,0.16,0.14,0.15,0.14,0.14,0.14,0.14,0.14,0.0,0.14,0.14,0.14,0.0,0.14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14,0.14,0.15,0.0,0.0,0.0,0.0,0.16,0.14,0.0,0.0,0.0,0.0,0.0,0.0,59.03
