,BRK.B,JPM,JNJ,BAC,DIS,CMCSA,XOM,INTC,VZ,CSCO,PFE,T,CVX,PG,WMT,WFC,HD,MDT,C,HON,DHR,GOOGL,GOOG,LIN,PM,MCD,NEE,BA,CAT,BLK,IBM,MS,RTX,ABT,GS,GE,TGT,CVS,AXP,DE,SCHW,BMY,MU,FIS,MDLZ,KO,TXN,PLD,TFC,GILD,USB,PNC,TMUS,CME,FDX,CB,TMO,CSX,COP,GM,UNP,DUK,ANTM,COF,NSC,CL,BDX,SO,UNH,CI,D,FCX,BSX,SYK,NEM,ETN,APD,GPN,EMR,F,SBUX,PEP,ADI,UPS,WM,MO,DOW,MET,JCI,GD,FISV,EOG,LHX,AIG,DD,TWTR,ATVI,TT,KMB,EXC,SLB,ECL,AEP,DLR,PPG,PRU,ALL,BK,PGR,SRE,ICE,ITW,ROP,APTV,TRV,MPC,PH,MMM,AFL,STZ,MAR,A,WBA,GIS,CMI,SPGI,HPQ,XEL,ADM,PSX,LUV,DFS,KMI,CTSH,IFF,EA,HUM,ZBH,HLT,CTVA,SWK,YUM,WLTW,FRC,VLO,GLW,TROW,MRVL,OTIS,WMB,ALXN,DHI,PEG,WELL,MSI,PCAR,AME,NUE,PXD,STT,AMP,DAL,SIVB,KKR,FITB,CNC,WEC,AJG,CBRE,AVB,LYB,EQR,WY,SBAC,BIIB,KHC,IQV,AWK,KR,SWKS,ES,SYF,HCA,KSU,TDG,LEN,LBRDK,DTE,ED,KDP,CARR,O,YUMC,LH,IP,BAX,VMC,DELL,VFC,MRK,CRM,4338.SR,MMC,REGN,NOC,TWLO,INFO,LLY,NXPI,ACN,VRTX,DG,ORLY,ARE,VIAC,MCK,AZO,AMGN,OKE,TDOC,NTRS,CERN,RSG,DLTR,OXY,ALB,DOV,AON,GRMN,FTV,INVH,HIG,TRMB,MLM,-,MRVL.UW,DVN,HBAN,TSN,NDAQ,n/a,SUM
07/09/2021,2.71,2.47,1.92,1.63,1.6,1.29,1.23,1.16,1.16,1.12,1.07,1.04,1.0,0.9,0.9,0.88,0.85,0.84,0.81,0.81,0.8,0.79,0.79,0.78,0.75,0.74,0.71,0.66,0.65,0.64,0.63,0.63,0.63,0.62,0.61,0.61,0.56,0.56,0.52,0.51,0.51,0.47,0.47,0.46,0.44,0.44,0.44,0.43,0.41,0.41,0.41,0.41,0.39,0.39,0.38,0.38,0.38,0.38,0.38,0.37,0.37,0.37,0.37,0.36,0.35,0.35,0.35,0.34,0.32,0.32,0.31,0.31,0.3,0.3,0.29,0.29,0.29,0.29,0.28,0.28,0.28,0.27,0.26,0.26,0.26,0.26,0.25,0.25,0.24,0.24,0.24,0.23,0.23,0.23,0.23,0.22,0.22,0.22,0.22,0.22,0.22,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.19,0.19,0.19,0.19,0.19,0.19,0.19,0.19,0.19,0.19,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,74.53
07/12/2021,2.71,2.47,1.92,1.63,1.6,1.29,1.23,1.16,1.16,1.12,1.07,1.04,1.0,0.9,0.9,0.88,0.85,0.84,0.81,0.81,0.8,0.79,0.79,0.78,0.75,0.74,0.71,0.66,0.65,0.64,0.63,0.63,0.63,0.62,0.61,0.61,0.56,0.56,0.52,0.51,0.51,0.47,0.47,0.46,0.44,0.44,0.44,0.43,0.41,0.41,0.41,0.41,0.39,0.39,0.38,0.38,0.38,0.38,0.38,0.37,0.37,0.37,0.37,0.36,0.35,0.35,0.35,0.34,0.32,0.32,0.31,0.31,0.3,0.3,0.29,0.29,0.29,0.29,0.28,0.28,0.28,0.27,0.26,0.26,0.26,0.26,0.25,0.25,0.24,0.24,0.24,0.23,0.23,0.23,0.23,0.22,0.22,0.22,0.22,0.22,0.22,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.19,0.19,0.19,0.19,0.19,0.19,0.19,0.19,0.19,0.19,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,74.53
07/13/2021,2.71,2.47,1.92,1.63,1.6,1.29,1.23,1.16,1.16,1.12,1.07,1.04,1.0,0.9,0.9,0.88,0.85,0.84,0.81,0.81,0.8,0.79,0.79,0.78,0.75,0.74,0.71,0.66,0.65,0.64,0.63,0.63,0.63,0.62,0.61,0.61,0.56,0.56,0.52,0.51,0.51,0.47,0.47,0.46,0.44,0.44,0.44,0.43,0.41,0.41,0.41,0.41,0.39,0.39,0.38,0.38,0.38,0.38,0.38,0.37,0.37,0.37,0.37,0.36,0.35,0.35,0.35,0.34,0.32,0.32,0.31,0.31,0.3,0.3,0.29,0.29,0.29,0.29,0.28,0.28,0.28,0.27,0.26,0.26,0.26,0.26,0.25,0.25,0.24,0.24,0.24,0.23,0.23,0.23,0.23,0.22,0.22,0.22,0.22,0.22,0.22,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.19,0.19,0.19,0.19,0.19,0.19,0.19,0.19,0.19,0.19,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,74.53
07/14/2021,2.71,2.47,1.92,1.63,1.6,1.29,1.23,1.16,1.16,1.12,1.07,1.04,1.0,0.9,0.9,0.88,0.85,0.84,0.81,0.81,0.8,0.79,0.79,0.78,0.75,0.74,0.71,0.66,0.65,0.64,0.63,0.63,0.63,0.62,0.61,0.61,0.56,0.56,0.52,0.51,0.51,0.47,0.47,0.46,0.44,0.44,0.44,0.43,0.41,0.41,0.41,0.41,0.39,0.39,0.38,0.38,0.38,0.38,0.38,0.37,0.37,0.37,0.37,0.36,0.35,0.35,0.35,0.34,0.32,0.32,0.31,0.31,0.3,0.3,0.29,0.29,0.29,0.29,0.28,0.28,0.28,0.27,0.26,0.26,0.26,0.26,0.25,0.25,0.24,0.24,0.24,0.23,0.23,0.23,0.23,0.22,0.22,0.22,0.22,0.22,0.22,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.19,0.19,0.19,0.19,0.19,0.19,0.19,0.19,0.19,0.19,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,74.53
07/15/2021,2.71,2.47,1.92,1.63,1.6,1.29,1.23,1.16,1.16,1.12,1.07,1.04,1.0,0.9,0.9,0.88,0.85,0.84,0.81,0.81,0.8,0.79,0.79,0.78,0.75,0.74,0.71,0.66,0.65,0.64,0.63,0.63,0.63,0.62,0.61,0.61,0.56,0.56,0.52,0.51,0.51,0.47,0.47,0.46,0.44,0.44,0.44,0.43,0.41,0.41,0.41,0.41,0.39,0.39,0.38,0.38,0.38,0.38,0.38,0.37,0.37,0.37,0.37,0.36,0.35,0.35,0.35,0.34,0.32,0.32,0.31,0.31,0.3,0.3,0.29,0.29,0.29,0.29,0.28,0.28,0.28,0.27,0.26,0.26,0.26,0.26,0.25,0.25,0.24,0.24,0.24,0.23,0.23,0.23,0.23,0.22,0.22,0.22,0.22,0.22,0.22,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.19,0.19,0.19,0.19,0.19,0.19,0.19,0.19,0.19,0.19,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,74.53
07/16/2021,2.71,2.47,1.92,1.63,1.6,1.29,1.23,1.16,1.16,1.12,1.07,1.04,1.0,0.9,0.9,0.88,0.85,0.84,0.81,0.81,0.8,0.79,0.79,0.78,0.75,0.74,0.71,0.66,0.65,0.64,0.63,0.63,0.63,0.62,0.61,0.61,0.56,0.56,0.52,0.51,0.51,0.47,0.47,0.46,0.44,0.44,0.44,0.43,0.41,0.41,0.41,0.41,0.39,0.39,0.38,0.38,0.38,0.38,0.38,0.37,0.37,0.37,0.37,0.36,0.35,0.35,0.35,0.34,0.32,0.32,0.31,0.31,0.3,0.3,0.29,0.29,0.29,0.29,0.28,0.28,0.28,0.27,0.26,0.26,0.26,0.26,0.25,0.25,0.24,0.24,0.24,0.23,0.23,0.23,0.23,0.22,0.22,0.22,0.22,0.22,0.22,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.19,0.19,0.19,0.19,0.19,0.19,0.19,0.19,0.19,0.19,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,74.53
07/19/2021,2.58,2.31,2.15,1.54,1.5,1.29,1.32,1.12,1.15,1.11,1.08,1.02,1.0,1.63,0.92,0.93,0.0,0.82,0.72,0.59,0.8,0.5,0.49,0.0,0.76,0.7,0.71,0.64,0.0,0.62,0.65,0.63,0.64,0.5,0.59,0.58,0.33,0.54,0.19,0.0,0.57,0.74,0.41,0.43,0.43,0.31,0.33,0.43,0.37,0.43,0.38,0.4,0.42,0.38,0.2,0.35,0.89,0.36,0.41,0.4,0.27,0.38,0.46,0.34,0.33,0.16,0.35,0.32,1.74,0.4,0.29,0.19,0.3,0.26,0.25,0.29,0.31,0.27,0.28,0.29,0.0,0.17,0.27,0.0,0.25,0.19,0.22,0.22,0.24,0.23,0.29,0.21,0.22,0.2,0.2,0.24,0.37,0.0,0.0,0.21,0.22,0.0,0.21,0.21,0.11,0.2,0.19,0.2,0.28,0.21,0.33,0.0,0.24,0.17,0.19,0.2,0.16,0.49,0.18,0.19,0.0,0.0,0.19,0.18,0.18,0.14,0.12,0.18,0.17,0.19,0.16,0.0,0.18,0.18,0.18,0.2,0.28,0.17,0.0,0.16,0.16,0.16,0.15,0.16,0.16,0.0,0.15,0.23,0.17,0.16,0.2,0.0,0.15,0.17,0.18,0.15,0.15,0.14,0.0,0.14,0.0,0.0,0.15,0.16,0.13,0.21,0.14,0.14,0.13,0.14,0.12,0.14,0.13,0.14,0.26,0.13,0.12,0.14,0.14,0.0,0.14,0.11,0.0,0.0,0.12,0.13,0.13,0.12,0.12,0.12,0.0,0.12,0.13,0.13,0.12,0.2,0.11,0.0,0.0,0.98,0.9,0.58,0.31,0.25,0.25,0.23,0.21,0.2,0.19,0.18,0.16,0.15,0.13,0.13,0.13,0.13,0.13,0.12,0.12,0.12,0.12,0.12,0.11,0.11,0.11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,74.61
07/20/2021,2.58,2.31,2.15,1.54,1.5,1.29,1.32,1.12,1.15,1.11,1.08,1.02,1.0,1.63,0.92,0.93,0.0,0.82,0.72,0.59,0.8,0.5,0.49,0.0,0.76,0.7,0.71,0.64,0.0,0.62,0.65,0.63,0.64,0.5,0.59,0.58,0.33,0.54,0.19,0.0,0.57,0.74,0.41,0.43,0.43,0.31,0.33,0.43,0.37,0.43,0.38,0.4,0.42,0.38,0.2,0.35,0.89,0.36,0.41,0.4,0.27,0.38,0.46,0.34,0.33,0.16,0.35,0.32,1.74,0.4,0.29,0.19,0.3,0.26,0.25,0.29,0.31,0.27,0.28,0.29,0.0,0.17,0.27,0.0,0.25,0.19,0.22,0.22,0.24,0.23,0.29,0.21,0.22,0.2,0.2,0.24,0.37,0.0,0.0,0.21,0.22,0.0,0.21,0.21,0.11,0.2,0.19,0.2,0.28,0.21,0.33,0.0,0.24,0.17,0.19,0.2,0.16,0.49,0.18,0.19,0.0,0.0,0.19,0.18,0.18,0.14,0.12,0.18,0.17,0.19,0.16,0.0,0.18,0.18,0.18,0.2,0.28,0.17,0.0,0.16,0.16,0.16,0.15,0.16,0.16,0.0,0.15,0.23,0.17,0.16,0.2,0.0,0.15,0.17,0.18,0.15,0.15,0.14,0.0,0.14,0.0,0.0,0.15,0.16,0.13,0.21,0.14,0.14,0.13,0.14,0.12,0.14,0.13,0.14,0.26,0.13,0.12,0.14,0.14,0.0,0.14,0.11,0.0,0.0,0.12,0.13,0.13,0.12,0.12,0.12,0.0,0.12,0.13,0.13,0.12,0.2,0.11,0.0,0.0,0.98,0.9,0.58,0.31,0.25,0.25,0.23,0.21,0.2,0.19,0.18,0.16,0.15,0.13,0.13,0.13,0.13,0.13,0.12,0.12,0.12,0.12,0.12,0.11,0.11,0.11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,74.61
07/21/2021,2.58,2.31,2.15,1.54,1.5,1.29,1.32,1.12,1.15,1.11,1.08,1.02,1.0,1.63,0.92,0.93,0.0,0.82,0.72,0.59,0.8,0.5,0.49,0.0,0.76,0.7,0.71,0.64,0.0,0.62,0.65,0.63,0.64,0.5,0.59,0.58,0.33,0.54,0.19,0.0,0.57,0.74,0.41,0.43,0.43,0.31,0.33,0.43,0.37,0.43,0.38,0.4,0.42,0.38,0.2,0.35,0.89,0.36,0.41,0.4,0.27,0.38,0.46,0.34,0.33,0.16,0.35,0.32,1.74,0.4,0.29,0.19,0.3,0.26,0.25,0.29,0.31,0.27,0.28,0.29,0.0,0.17,0.27,0.0,0.25,0.19,0.22,0.22,0.24,0.23,0.29,0.21,0.22,0.2,0.2,0.24,0.37,0.0,0.0,0.21,0.22,0.0,0.21,0.21,0.11,0.2,0.19,0.2,0.28,0.21,0.33,0.0,0.24,0.17,0.19,0.2,0.16,0.49,0.18,0.19,0.0,0.0,0.19,0.18,0.18,0.14,0.12,0.18,0.17,0.19,0.16,0.0,0.18,0.18,0.18,0.2,0.28,0.17,0.0,0.16,0.16,0.16,0.15,0.16,0.16,0.0,0.15,0.23,0.17,0.16,0.2,0.0,0.15,0.17,0.18,0.15,0.15,0.14,0.0,0.14,0.0,0.0,0.15,0.16,0.13,0.21,0.14,0.14,0.13,0.14,0.12,0.14,0.13,0.14,0.26,0.13,0.12,0.14,0.14,0.0,0.14,0.11,0.0,0.0,0.12,0.13,0.13,0.12,0.12,0.12,0.0,0.12,0.13,0.13,0.12,0.2,0.11,0.0,0.0,0.98,0.9,0.58,0.31,0.25,0.25,0.23,0.21,0.2,0.19,0.18,0.16,0.15,0.13,0.13,0.13,0.13,0.13,0.12,0.12,0.12,0.12,0.12,0.11,0.11,0.11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,74.61
07/22/2021,2.58,2.31,2.15,1.54,1.5,1.29,1.32,1.12,1.15,1.11,1.08,1.02,1.0,1.63,0.92,0.93,0.0,0.82,0.72,0.59,0.8,0.5,0.49,0.0,0.76,0.7,0.71,0.64,0.0,0.62,0.65,0.63,0.64,0.5,0.59,0.58,0.33,0.54,0.19,0.0,0.57,0.74,0.41,0.43,0.43,0.31,0.33,0.43,0.37,0.43,0.38,0.4,0.42,0.38,0.2,0.35,0.89,0.36,0.41,0.4,0.27,0.38,0.46,0.34,0.33,0.16,0.35,0.32,1.74,0.4,0.29,0.19,0.3,0.26,0.25,0.29,0.31,0.27,0.28,0.29,0.0,0.17,0.27,0.0,0.25,0.19,0.22,0.22,0.24,0.23,0.29,0.21,0.22,0.2,0.2,0.24,0.37,0.0,0.0,0.21,0.22,0.0,0.21,0.21,0.11,0.2,0.19,0.2,0.28,0.21,0.33,0.0,0.24,0.17,0.19,0.2,0.16,0.49,0.18,0.19,0.0,0.0,0.19,0.18,0.18,0.14,0.12,0.18,0.17,0.19,0.16,0.0,0.18,0.18,0.18,0.2,0.28,0.17,0.0,0.16,0.16,0.16,0.15,0.16,0.16,0.0,0.15,0.23,0.17,0.16,0.2,0.0,0.15,0.17,0.18,0.15,0.15,0.14,0.0,0.14,0.0,0.0,0.15,0.16,0.13,0.21,0.14,0.14,0.13,0.14,0.12,0.14,0.13,0.14,0.26,0.13,0.12,0.14,0.14,0.0,0.14,0.11,0.0,0.0,0.12,0.13,0.13,0.12,0.12,0.12,0.0,0.12,0.13,0.13,0.12,0.2,0.11,0.0,0.0,0.98,0.9,0.58,0.31,0.25,0.25,0.23,0.21,0.2,0.19,0.18,0.16,0.15,0.13,0.13,0.13,0.13,0.13,0.12,0.12,0.12,0.12,0.12,0.11,0.11,0.11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,74.61
