,CTE ? PROSHARES TRUST M,CASH,B 0 07/15/21,B 0 04/15/21,U.S. DOLLAR FOR FUTURES,B 0 06/04/20,B 0 06/11/20,B 0 06/18/20,B 0 06/25/20,B 0 07/02/20,B 0 07/09/20,B 0 07/16/20,B 0 08/13/20,B 0 09/03/20,B 0 09/10/20,B 0 10/22/20,B 0 10/29/20,B 0 11/12/20,B 0 12/03/20,CMB,B 0 03/04/21,iShares Russell 2000  IWM  SWAP Deutsche Bank AG,XIB 0 08/11/20,E-MINI RUSS 2000 EQUITY INDEX 19/MAR/2021 RTYH1,US SDOLLAR CALL A/C,UNITS,U.S. DOLLAR,E-MINI RUSS 2000 EQUITY INDEX 18/DEC/2020 RTYZ0,E-MINI RUSS 2000 EQUITY INDEX 18/SEP/2020 RTYU0,Russell 2000 Index SWAP Deutsche Bank AG,USD FUTURES INCOME,E-MINI RUSS 2000 EQUITY INDEX 19/JUN/2020 RTYM0,Russell 2000 Index SWAP Goldman Sachs Internationa,E-MINI RUSS 2000 EQUITY INDEX 18/JUN/2021 RTYM1,Russell 2000 Index SWAP Credit Suisse Internationa,iShares Russell 2000  IWM  SWAP Morgan Stanley & C,Russell 2000 Index SWAP Morgan Stanley & Co. Inter,Russell 2000 Index SWAP Bank of America NA,Russell 2000 Index SWAP Citibank NA,Russell 2000 Index SWAP BNP Paribas,Russell 2000 Index SWAP Societe Generale,Russell 2000 Index SWAP UBS AG,Cash,Russell 2000 Index Swap Societe Generale - Cash Offset,Russell 2000 Index Swap Morgan Stanley & Co. International Plc - Cash Offse,Russell 2000 Index Swap Citibank Na - Cash Offset,Russell 2000 Index Swap Bank Of America Na - Cash Offset,Russell 2000 Index Swap Ubs Ag - Cash Offset,Ishares Russell 2000 (Iwm) Swap Morgan Stanley & Co. International Plc - Ca,Russell 2000 Index Swap Bnp Paribas - Cash Offset,Russell 2000 09/17/2021 (Rtyu1) - Cash Offset,Russell 2000 Index Swap Goldman Sachs International - Cash Offset,Russell 2000 Index Swap Goldman Sachs International,E-mini Russell 2000 Index Future Sept 21,Russell 2000 Index Swap Bnp Paribas,Ishares Russell 2000 (Iwm) Swap Morgan Stanley & Co. International Plc,Russell 2000 Index Swap Ubs Ag,Russell 2000 Index Swap Bank Of America Na,Russell 2000 Index Swap Citibank Na,Russell 2000 Index Swap Morgan Stanley & Co. International Plc,Russell 2000 Index Swap Societe Generale,SUM
07/23/2021,99.5,20.03,12.93,2.82,0.61,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.16,-0.17,-0.27,-2.0,-2.48,-4.0,-4.27,-4.75,-5.72,-11.93,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.14
07/26/2021,99.5,20.03,12.93,2.82,0.61,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.16,-0.17,-0.27,-2.0,-2.48,-4.0,-4.27,-4.75,-5.72,-11.93,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.14
07/27/2021,99.5,20.03,12.93,2.82,0.61,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.16,-0.17,-0.27,-2.0,-2.48,-4.0,-4.27,-4.75,-5.72,-11.93,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.14
07/28/2021,99.5,20.03,12.93,2.82,0.61,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.16,-0.17,-0.27,-2.0,-2.48,-4.0,-4.27,-4.75,-5.72,-11.93,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.14
07/29/2021,99.5,20.03,12.93,2.82,0.61,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.16,-0.17,-0.27,-2.0,-2.48,-4.0,-4.27,-4.75,-5.72,-11.93,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.14
07/30/2021,99.5,20.03,12.93,2.82,0.61,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.16,-0.17,-0.27,-2.0,-2.48,-4.0,-4.27,-4.75,-5.72,-11.93,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.14
08/02/2021,99.5,20.03,12.93,2.82,0.61,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.16,-0.17,-0.27,-2.0,-2.48,-4.0,-4.27,-4.75,-5.72,-11.93,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.14
08/03/2021,99.5,20.03,12.93,2.82,0.61,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.16,-0.17,-0.27,-2.0,-2.48,-4.0,-4.27,-4.75,-5.72,-11.93,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.14
08/04/2021,99.5,20.03,12.93,2.82,0.61,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.16,-0.17,-0.27,-2.0,-2.48,-4.0,-4.27,-4.75,-5.72,-11.93,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.14
08/05/2021,99.5,20.03,12.93,2.82,0.61,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.16,-0.17,-0.27,-2.0,-2.48,-4.0,-4.27,-4.75,-5.72,-11.93,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.14
08/06/2021,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,37.25,34.62,33.8,24.13,21.93,17.36,15.5,13.35,2.08,-2.08,-13.35,-15.5,-17.36,-21.93,-24.13,-33.8,-34.62,-37.25,100.0
