,AMC,NTLA,OVV,IIVI,LSCC,CROX,THC,SGMS,DNLI,UPWK,SLAB,TTEK,STAA,BBIO,FATE,FOXF,SWAV,HALO,EME,OMCL,HQY,XTSLA,NVTA,EGP,TXRH,FFIN,BL,PFGC,STAG,PACB,LHCG,RDFN,ARWR,VRNS,BJ,JCOM,TWST,RXN,APPS,SAIA,SYNA,QTWO,SSB,AEO,HELE,MMS,VLY,M,BEAM,CHK,MEDP,KBR,NVRO,QTS,APPN,GTLS,RPD,BHVN,INSP,ESNT,TGTX,MSTR,BPMC,POWI,WK,ASAN,NEO,WSC,GBCI,SSD,SAIL,EXPO,IRDM,CRNC,SIGI,WING,ADC,ASGN,ROLL,NOVT,CHX,NEOG,CIT,IIPR,APLS,HLI,DDD,ACIW,HR,ITRI,WCC,HASI,UBSI,CDNA,TRNO,SEM,AMN,GT,TRUP,ENSG,PDCE,SIG,BKH,ENS,AIMC,ALKS,ALRM,AR,ENV,SBRA,TGNA,DOC,RHP,SPT,CCMP,EYE,JBT,LPRO,BXMT,RDN,SONO,SMTC,ARNA,POR,AVNT,AEIS,UFPI,BCPC,RLI,PNM,REZI,FUBO,SWX,NJR,DBRG,ARNC,AQUA,ELY,OSTK,SAFM,MTDR,KNSL,SFIX,BKU,CBU,APG,ONEM,CDLX,CAR,ADNT,PGNY,CNMD,LIVN,SHAK,WTS,LPSN,BOX,UMBF,HL,OGS,TENB,VIAV,SHOO,EXLS,WDFC,VG,PCH,AGIO,SAVA,STMP,ATRC,CBRL,MAC,NUVA,BNL,ETRN,HGV,PZZA,CIM,MTH,KTOS,DIOD,RCII,MC,NSIT,LGIH,SWN,ALE,KBH,NSA,OUT,RRC,SPSC,ROG,CLDR,GKOS,DEN,LANC,BLKB,FELE,RETA,PD,AMBA,ABG,MUSA,SDGR,AIT,NAVI,HOMB,MGNI,SR,QLYS,SXT,BCO,HWC,AJRD,EBC,MUR,ARVN,CMC,KFY,LXP,ONTO,TPTX,FN,NSP,SFBS,DAN,TRTN,FUL,TCBI,EPRT,LCII,ESGR,OMI,CCOI,CVLT,MIME,HI,AMEH,KLIC,OFC,ATKR,MLHR,NGVT,FLOW,KWR,CWST,TMHC,TNET,MXL,EDIT,MMSI,CELH,TEX,AWR,LTHM,MARA,ABCB,PPBI,FCFS,CSOD,PRFT,NWE,UNF,CWT,ALTR,OPCH,MATX,VCYT,ALLK,HAE,BIPC,RAMP,WD,DOCN,CRC,KOD,ASO,USD,APLE,HRI,n/a,GPI,ISBC,SI,RBC,SM,ZWS,ZD,HP,FOCS,KRG,BE,LC,NOVA,PSB,CADE,CALX,HLNE,INSM,SKY,INDB,SITM,FSR,MTSI,BOOT,GATX,ORA,SUM
07/23/2021,0.61,0.34,0.23,0.26,0.24,0.26,0.26,0.21,0.2,0.22,0.22,0.24,0.22,0.23,0.23,0.23,0.2,0.21,0.23,0.22,0.21,0.23,0.2,0.24,0.23,0.22,0.21,0.21,0.23,0.2,0.22,0.21,0.24,0.22,0.23,0.21,0.2,0.21,0.18,0.19,0.18,0.2,0.18,0.18,0.19,0.19,0.18,0.17,0.15,0.17,0.18,0.19,0.18,0.19,0.17,0.19,0.2,0.24,0.16,0.17,0.17,0.14,0.17,0.17,0.18,0.18,0.17,0.18,0.17,0.17,0.15,0.17,0.17,0.14,0.16,0.16,0.17,0.17,0.17,0.16,0.15,0.17,0.16,0.17,0.14,0.15,0.0,0.15,0.16,0.14,0.15,0.15,0.15,0.14,0.16,0.15,0.16,0.15,0.15,0.16,0.13,0.12,0.15,0.14,0.14,0.13,0.13,0.13,0.14,0.14,0.13,0.14,0.14,0.13,0.14,0.14,0.15,0.14,0.15,0.15,0.14,0.14,0.14,0.15,0.15,0.13,0.15,0.15,0.15,0.14,0.14,0.0,0.14,0.13,0.12,0.12,0.13,0.13,0.0,0.13,0.0,0.13,0.12,0.0,0.13,0.13,0.0,0.14,0.13,0.13,0.0,0.13,0.14,0.12,0.14,0.14,0.12,0.13,0.12,0.13,0.13,0.13,0.12,0.12,0.12,0.12,0.12,0.0,0.0,0.2,0.0,0.12,0.12,0.0,0.13,0.0,0.12,0.13,0.12,0.12,0.0,0.0,0.0,0.12,0.12,0.0,0.0,0.13,0.13,0.13,0.0,0.0,0.12,0.13,0.13,0.0,0.0,0.13,0.12,0.13,0.0,0.0,0.0,0.13,0.12,0.0,0.12,0.12,0.12,0.0,0.13,0.0,0.12,0.13,0.13,0.12,0.0,0.0,0.12,0.13,0.12,0.0,0.0,0.0,0.12,0.12,0.0,0.12,0.0,0.0,0.0,0.12,0.0,0.0,0.12,0.0,0.12,0.0,0.12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32.45
07/26/2021,0.57,0.35,0.24,0.26,0.25,0.26,0.26,0.21,0.2,0.22,0.22,0.23,0.22,0.23,0.23,0.23,0.2,0.2,0.22,0.22,0.21,0.26,0.2,0.24,0.23,0.22,0.21,0.21,0.22,0.21,0.22,0.21,0.24,0.22,0.23,0.21,0.2,0.22,0.18,0.18,0.18,0.2,0.19,0.18,0.19,0.18,0.18,0.17,0.16,0.18,0.18,0.19,0.18,0.18,0.17,0.2,0.21,0.23,0.16,0.17,0.17,0.15,0.17,0.17,0.18,0.18,0.17,0.18,0.17,0.17,0.15,0.17,0.17,0.14,0.16,0.16,0.17,0.17,0.17,0.16,0.16,0.16,0.16,0.17,0.15,0.15,0.0,0.14,0.15,0.14,0.16,0.15,0.15,0.14,0.16,0.15,0.16,0.15,0.15,0.15,0.13,0.12,0.15,0.14,0.14,0.13,0.13,0.14,0.14,0.14,0.13,0.14,0.15,0.14,0.14,0.14,0.15,0.14,0.15,0.15,0.14,0.14,0.14,0.15,0.15,0.14,0.15,0.14,0.15,0.14,0.14,0.12,0.14,0.13,0.0,0.13,0.13,0.13,0.12,0.13,0.12,0.12,0.0,0.12,0.13,0.13,0.0,0.14,0.13,0.13,0.12,0.13,0.14,0.12,0.14,0.14,0.0,0.13,0.12,0.13,0.13,0.13,0.0,0.12,0.0,0.12,0.12,0.0,0.15,0.2,0.12,0.0,0.0,0.0,0.12,0.0,0.12,0.13,0.0,0.12,0.0,0.0,0.12,0.12,0.0,0.12,0.0,0.13,0.12,0.13,0.12,0.13,0.12,0.12,0.12,0.0,0.0,0.13,0.12,0.13,0.12,0.0,0.0,0.13,0.12,0.0,0.0,0.12,0.0,0.0,0.12,0.0,0.12,0.13,0.13,0.12,0.0,0.0,0.0,0.13,0.12,0.12,0.0,0.0,0.12,0.0,0.12,0.0,0.0,0.0,0.0,0.12,0.12,0.12,0.0,0.0,0.0,0.0,0.0,0.13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32.489999999999995
07/27/2021,0.52,0.35,0.25,0.26,0.25,0.29,0.26,0.21,0.2,0.22,0.22,0.24,0.22,0.23,0.24,0.23,0.2,0.21,0.22,0.23,0.21,0.29,0.2,0.24,0.23,0.22,0.21,0.2,0.22,0.21,0.22,0.21,0.24,0.23,0.24,0.21,0.2,0.22,0.19,0.18,0.18,0.2,0.18,0.18,0.19,0.19,0.18,0.17,0.15,0.18,0.18,0.19,0.18,0.19,0.17,0.19,0.21,0.23,0.16,0.17,0.17,0.15,0.17,0.17,0.19,0.19,0.18,0.18,0.17,0.16,0.16,0.17,0.17,0.14,0.16,0.17,0.17,0.17,0.17,0.16,0.15,0.16,0.16,0.17,0.15,0.15,0.0,0.14,0.16,0.15,0.15,0.15,0.15,0.15,0.16,0.15,0.16,0.15,0.15,0.15,0.13,0.0,0.15,0.14,0.14,0.13,0.13,0.14,0.14,0.14,0.13,0.14,0.15,0.14,0.14,0.15,0.15,0.14,0.15,0.15,0.14,0.14,0.14,0.15,0.15,0.13,0.15,0.14,0.15,0.14,0.14,0.12,0.14,0.13,0.0,0.13,0.13,0.13,0.0,0.13,0.12,0.0,0.12,0.12,0.13,0.12,0.0,0.14,0.14,0.13,0.0,0.13,0.14,0.13,0.14,0.14,0.12,0.13,0.0,0.13,0.14,0.13,0.12,0.0,0.0,0.12,0.12,0.0,0.17,0.2,0.12,0.12,0.0,0.0,0.0,0.12,0.12,0.14,0.12,0.12,0.0,0.0,0.12,0.12,0.12,0.12,0.0,0.13,0.13,0.13,0.12,0.13,0.0,0.12,0.13,0.0,0.0,0.13,0.12,0.13,0.0,0.12,0.0,0.13,0.0,0.0,0.12,0.12,0.0,0.0,0.0,0.12,0.12,0.12,0.13,0.0,0.0,0.0,0.13,0.13,0.0,0.0,0.0,0.0,0.12,0.12,0.12,0.0,0.0,0.0,0.0,0.12,0.12,0.0,0.12,0.0,0.12,0.12,0.0,0.0,0.12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32.67
07/28/2021,0.52,0.32,0.25,0.26,0.25,0.29,0.26,0.2,0.2,0.22,0.22,0.24,0.21,0.22,0.24,0.24,0.2,0.21,0.23,0.22,0.21,0.28,0.19,0.24,0.24,0.22,0.21,0.2,0.22,0.2,0.23,0.2,0.24,0.23,0.24,0.22,0.19,0.22,0.19,0.19,0.18,0.2,0.17,0.18,0.19,0.19,0.18,0.17,0.15,0.19,0.18,0.19,0.18,0.19,0.17,0.18,0.22,0.24,0.17,0.17,0.17,0.15,0.17,0.18,0.19,0.18,0.18,0.18,0.17,0.17,0.16,0.17,0.17,0.14,0.16,0.17,0.17,0.17,0.18,0.17,0.15,0.16,0.17,0.17,0.15,0.16,0.0,0.14,0.16,0.15,0.16,0.15,0.15,0.15,0.16,0.15,0.16,0.15,0.15,0.16,0.13,0.12,0.15,0.14,0.14,0.14,0.13,0.13,0.14,0.14,0.13,0.14,0.15,0.14,0.14,0.15,0.15,0.13,0.15,0.15,0.14,0.14,0.14,0.15,0.15,0.13,0.15,0.15,0.15,0.14,0.14,0.12,0.14,0.13,0.0,0.13,0.13,0.13,0.12,0.13,0.0,0.13,0.0,0.12,0.13,0.13,0.0,0.15,0.14,0.13,0.12,0.13,0.14,0.13,0.14,0.14,0.12,0.13,0.12,0.13,0.14,0.13,0.12,0.12,0.0,0.12,0.12,0.0,0.16,0.2,0.12,0.0,0.0,0.0,0.13,0.0,0.0,0.13,0.0,0.12,0.0,0.0,0.13,0.13,0.0,0.13,0.0,0.13,0.13,0.15,0.0,0.13,0.13,0.13,0.13,0.0,0.0,0.13,0.12,0.13,0.12,0.0,0.0,0.13,0.12,0.0,0.0,0.12,0.0,0.0,0.12,0.0,0.12,0.13,0.13,0.12,0.0,0.0,0.14,0.13,0.12,0.12,0.0,0.0,0.0,0.0,0.12,0.0,0.0,0.0,0.0,0.12,0.12,0.12,0.0,0.0,0.12,0.0,0.0,0.14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32.83
07/29/2021,0.56,0.31,0.25,0.24,0.25,0.29,0.26,0.21,0.17,0.23,0.22,0.24,0.2,0.21,0.23,0.23,0.2,0.2,0.23,0.22,0.21,0.23,0.19,0.24,0.24,0.22,0.21,0.21,0.22,0.2,0.22,0.21,0.23,0.23,0.23,0.22,0.19,0.22,0.18,0.19,0.18,0.2,0.17,0.18,0.19,0.19,0.18,0.18,0.14,0.19,0.18,0.19,0.18,0.18,0.17,0.18,0.22,0.23,0.16,0.17,0.16,0.18,0.16,0.17,0.19,0.19,0.17,0.18,0.17,0.17,0.16,0.17,0.17,0.14,0.16,0.17,0.17,0.17,0.2,0.16,0.16,0.16,0.17,0.17,0.15,0.16,0.0,0.14,0.16,0.15,0.16,0.15,0.15,0.14,0.16,0.15,0.16,0.15,0.15,0.15,0.14,0.0,0.15,0.14,0.13,0.13,0.13,0.14,0.14,0.14,0.13,0.14,0.15,0.14,0.14,0.15,0.15,0.13,0.15,0.15,0.14,0.13,0.13,0.15,0.15,0.13,0.15,0.15,0.15,0.14,0.14,0.0,0.14,0.13,0.0,0.13,0.13,0.13,0.12,0.13,0.0,0.13,0.12,0.0,0.13,0.13,0.0,0.14,0.14,0.13,0.12,0.13,0.14,0.13,0.14,0.14,0.12,0.13,0.0,0.13,0.14,0.13,0.0,0.0,0.0,0.12,0.12,0.0,0.16,0.2,0.0,0.12,0.0,0.0,0.13,0.12,0.12,0.13,0.12,0.0,0.0,0.12,0.13,0.13,0.12,0.0,0.0,0.13,0.13,0.15,0.0,0.13,0.0,0.13,0.13,0.0,0.0,0.13,0.0,0.13,0.12,0.0,0.0,0.13,0.13,0.0,0.12,0.13,0.0,0.0,0.0,0.12,0.13,0.13,0.13,0.0,0.0,0.0,0.14,0.13,0.0,0.0,0.0,0.0,0.12,0.12,0.0,0.12,0.12,0.0,0.0,0.12,0.0,0.13,0.12,0.0,0.0,0.0,0.12,0.14,0.12,0.12,0.12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32.67
07/30/2021,0.54,0.31,0.25,0.24,0.25,0.29,0.26,0.2,0.15,0.22,0.21,0.24,0.2,0.2,0.22,0.23,0.2,0.2,0.23,0.23,0.21,0.29,0.19,0.24,0.25,0.22,0.21,0.21,0.23,0.2,0.22,0.2,0.23,0.23,0.24,0.22,0.18,0.22,0.18,0.19,0.18,0.2,0.17,0.18,0.19,0.19,0.18,0.17,0.14,0.19,0.17,0.19,0.18,0.19,0.16,0.18,0.22,0.23,0.16,0.17,0.15,0.17,0.17,0.17,0.19,0.17,0.17,0.18,0.17,0.16,0.15,0.17,0.16,0.14,0.16,0.18,0.18,0.18,0.2,0.16,0.16,0.16,0.17,0.17,0.15,0.16,0.0,0.14,0.16,0.15,0.16,0.15,0.15,0.15,0.16,0.15,0.16,0.15,0.15,0.16,0.14,0.0,0.15,0.14,0.13,0.13,0.13,0.14,0.14,0.14,0.13,0.14,0.14,0.14,0.14,0.15,0.15,0.13,0.15,0.15,0.14,0.13,0.13,0.15,0.15,0.13,0.15,0.15,0.15,0.14,0.14,0.0,0.14,0.13,0.0,0.13,0.13,0.13,0.12,0.13,0.12,0.13,0.0,0.13,0.13,0.14,0.0,0.14,0.14,0.13,0.12,0.14,0.14,0.13,0.14,0.14,0.0,0.14,0.12,0.14,0.14,0.13,0.0,0.0,0.12,0.12,0.0,0.0,0.17,0.2,0.0,0.12,0.0,0.12,0.13,0.12,0.0,0.13,0.12,0.13,0.0,0.0,0.13,0.0,0.12,0.0,0.12,0.13,0.13,0.15,0.0,0.0,0.12,0.13,0.13,0.0,0.0,0.13,0.12,0.13,0.12,0.0,0.0,0.13,0.13,0.0,0.12,0.13,0.0,0.0,0.13,0.12,0.13,0.13,0.13,0.0,0.0,0.0,0.14,0.13,0.0,0.0,0.0,0.0,0.12,0.0,0.0,0.0,0.0,0.12,0.0,0.0,0.0,0.13,0.0,0.0,0.0,0.0,0.12,0.12,0.0,0.12,0.12,0.12,0.12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32.66
08/02/2021,0.53,0.32,0.23,0.25,0.25,0.3,0.26,0.2,0.16,0.23,0.22,0.24,0.2,0.2,0.23,0.23,0.2,0.2,0.23,0.21,0.21,0.26,0.19,0.24,0.23,0.22,0.21,0.21,0.23,0.21,0.22,0.2,0.24,0.22,0.23,0.21,0.19,0.23,0.18,0.2,0.18,0.19,0.17,0.18,0.19,0.19,0.18,0.16,0.14,0.19,0.17,0.19,0.18,0.18,0.16,0.19,0.22,0.23,0.16,0.17,0.16,0.17,0.17,0.17,0.19,0.18,0.18,0.18,0.17,0.17,0.15,0.18,0.17,0.14,0.16,0.18,0.17,0.18,0.2,0.16,0.16,0.16,0.17,0.17,0.15,0.16,0.0,0.14,0.15,0.15,0.16,0.15,0.15,0.15,0.16,0.15,0.16,0.15,0.15,0.15,0.13,0.12,0.15,0.14,0.14,0.14,0.13,0.13,0.14,0.14,0.13,0.14,0.14,0.14,0.14,0.15,0.16,0.13,0.15,0.15,0.14,0.13,0.13,0.15,0.15,0.13,0.15,0.15,0.15,0.14,0.15,0.0,0.14,0.13,0.0,0.14,0.13,0.13,0.0,0.13,0.12,0.13,0.0,0.0,0.13,0.14,0.0,0.14,0.15,0.13,0.12,0.14,0.15,0.13,0.14,0.14,0.0,0.14,0.12,0.13,0.14,0.13,0.0,0.0,0.12,0.12,0.0,0.0,0.13,0.2,0.13,0.0,0.0,0.0,0.13,0.12,0.12,0.13,0.12,0.14,0.0,0.12,0.13,0.13,0.12,0.13,0.0,0.13,0.13,0.14,0.0,0.0,0.0,0.13,0.12,0.0,0.0,0.13,0.12,0.13,0.0,0.0,0.12,0.13,0.13,0.0,0.12,0.12,0.0,0.0,0.0,0.12,0.13,0.13,0.13,0.0,0.0,0.0,0.16,0.13,0.13,0.0,0.0,0.0,0.12,0.0,0.0,0.12,0.12,0.0,0.0,0.0,0.13,0.12,0.0,0.0,0.0,0.0,0.12,0.0,0.0,0.12,0.12,0.0,0.0,0.12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32.690000000000005
08/03/2021,0.52,0.33,0.23,0.25,0.26,0.3,0.26,0.2,0.16,0.21,0.23,0.25,0.21,0.2,0.23,0.23,0.21,0.2,0.23,0.22,0.21,0.29,0.19,0.24,0.22,0.22,0.21,0.21,0.23,0.21,0.23,0.2,0.24,0.22,0.24,0.21,0.2,0.23,0.18,0.21,0.18,0.19,0.17,0.18,0.19,0.19,0.18,0.17,0.15,0.18,0.17,0.19,0.18,0.18,0.16,0.19,0.21,0.23,0.17,0.17,0.15,0.17,0.18,0.2,0.19,0.18,0.18,0.18,0.17,0.17,0.15,0.19,0.17,0.14,0.17,0.18,0.17,0.18,0.2,0.17,0.16,0.16,0.17,0.18,0.14,0.16,0.0,0.14,0.16,0.15,0.16,0.15,0.15,0.14,0.16,0.15,0.16,0.15,0.15,0.15,0.13,0.0,0.15,0.14,0.14,0.14,0.13,0.13,0.14,0.14,0.13,0.14,0.14,0.13,0.14,0.15,0.16,0.14,0.15,0.15,0.14,0.14,0.13,0.15,0.15,0.14,0.15,0.15,0.15,0.14,0.15,0.12,0.14,0.13,0.0,0.14,0.13,0.13,0.0,0.13,0.12,0.13,0.0,0.0,0.13,0.14,0.0,0.14,0.14,0.14,0.0,0.14,0.14,0.13,0.14,0.14,0.0,0.14,0.0,0.13,0.13,0.13,0.0,0.13,0.0,0.12,0.12,0.0,0.0,0.2,0.13,0.0,0.0,0.0,0.13,0.12,0.12,0.13,0.12,0.14,0.0,0.0,0.13,0.13,0.0,0.13,0.0,0.13,0.13,0.15,0.0,0.0,0.13,0.12,0.13,0.0,0.0,0.13,0.12,0.13,0.12,0.0,0.12,0.14,0.13,0.0,0.12,0.0,0.0,0.0,0.0,0.12,0.13,0.13,0.13,0.0,0.0,0.0,0.15,0.13,0.13,0.13,0.12,0.0,0.0,0.0,0.0,0.0,0.0,0.12,0.0,0.0,0.12,0.0,0.0,0.0,0.0,0.0,0.12,0.0,0.0,0.0,0.0,0.0,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32.870000000000005
08/04/2021,0.52,0.33,0.23,0.25,0.26,0.3,0.26,0.2,0.16,0.21,0.23,0.25,0.21,0.2,0.23,0.23,0.21,0.2,0.23,0.22,0.21,0.29,0.19,0.24,0.22,0.22,0.21,0.21,0.23,0.21,0.23,0.2,0.24,0.22,0.24,0.21,0.2,0.23,0.18,0.21,0.18,0.19,0.17,0.18,0.19,0.19,0.18,0.17,0.15,0.18,0.17,0.19,0.18,0.18,0.16,0.19,0.21,0.23,0.17,0.17,0.15,0.17,0.18,0.2,0.19,0.18,0.18,0.18,0.17,0.17,0.15,0.19,0.17,0.14,0.17,0.18,0.17,0.18,0.2,0.17,0.16,0.16,0.17,0.18,0.14,0.16,0.0,0.14,0.16,0.15,0.16,0.15,0.15,0.14,0.16,0.15,0.16,0.15,0.15,0.15,0.13,0.0,0.15,0.14,0.14,0.14,0.13,0.13,0.14,0.14,0.13,0.14,0.14,0.13,0.14,0.15,0.16,0.14,0.15,0.15,0.14,0.14,0.13,0.15,0.15,0.14,0.15,0.15,0.15,0.14,0.15,0.12,0.14,0.13,0.0,0.14,0.13,0.13,0.0,0.13,0.12,0.13,0.0,0.0,0.13,0.14,0.0,0.14,0.14,0.14,0.0,0.14,0.14,0.13,0.14,0.14,0.0,0.14,0.0,0.13,0.13,0.13,0.0,0.13,0.0,0.12,0.12,0.0,0.0,0.2,0.13,0.0,0.0,0.0,0.13,0.12,0.12,0.13,0.12,0.14,0.0,0.0,0.13,0.13,0.0,0.13,0.0,0.13,0.13,0.15,0.0,0.0,0.13,0.12,0.13,0.0,0.0,0.13,0.12,0.13,0.12,0.0,0.12,0.14,0.13,0.0,0.12,0.0,0.0,0.0,0.0,0.12,0.13,0.13,0.13,0.0,0.0,0.0,0.15,0.13,0.13,0.13,0.12,0.0,0.0,0.0,0.0,0.0,0.0,0.12,0.0,0.0,0.12,0.0,0.0,0.0,0.0,0.0,0.12,0.0,0.0,0.0,0.0,0.0,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32.870000000000005
08/05/2021,0.52,0.33,0.23,0.25,0.26,0.3,0.26,0.2,0.16,0.21,0.23,0.25,0.21,0.2,0.23,0.23,0.21,0.2,0.23,0.22,0.21,0.29,0.19,0.24,0.22,0.22,0.21,0.21,0.23,0.21,0.23,0.2,0.24,0.22,0.24,0.21,0.2,0.23,0.18,0.21,0.18,0.19,0.17,0.18,0.19,0.19,0.18,0.17,0.15,0.18,0.17,0.19,0.18,0.18,0.16,0.19,0.21,0.23,0.17,0.17,0.15,0.17,0.18,0.2,0.19,0.18,0.18,0.18,0.17,0.17,0.15,0.19,0.17,0.14,0.17,0.18,0.17,0.18,0.2,0.17,0.16,0.16,0.17,0.18,0.14,0.16,0.0,0.14,0.16,0.15,0.16,0.15,0.15,0.14,0.16,0.15,0.16,0.15,0.15,0.15,0.13,0.0,0.15,0.14,0.14,0.14,0.13,0.13,0.14,0.14,0.13,0.14,0.14,0.13,0.14,0.15,0.16,0.14,0.15,0.15,0.14,0.14,0.13,0.15,0.15,0.14,0.15,0.15,0.15,0.14,0.15,0.12,0.14,0.13,0.0,0.14,0.13,0.13,0.0,0.13,0.12,0.13,0.0,0.0,0.13,0.14,0.0,0.14,0.14,0.14,0.0,0.14,0.14,0.13,0.14,0.14,0.0,0.14,0.0,0.13,0.13,0.13,0.0,0.13,0.0,0.12,0.12,0.0,0.0,0.2,0.13,0.0,0.0,0.0,0.13,0.12,0.12,0.13,0.12,0.14,0.0,0.0,0.13,0.13,0.0,0.13,0.0,0.13,0.13,0.15,0.0,0.0,0.13,0.12,0.13,0.0,0.0,0.13,0.12,0.13,0.12,0.0,0.12,0.14,0.13,0.0,0.12,0.0,0.0,0.0,0.0,0.12,0.13,0.13,0.13,0.0,0.0,0.0,0.15,0.13,0.13,0.13,0.12,0.0,0.0,0.0,0.0,0.0,0.0,0.12,0.0,0.0,0.12,0.0,0.0,0.0,0.0,0.0,0.12,0.0,0.0,0.0,0.0,0.0,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32.870000000000005
