,XTSLA,GME,OMCL,SAIA,NEO,GTLS,POWI,MSTR,ADC,IIPR,EXPO,AMN,DDD,ENSG,SEM,UFPI,ITRI,JBT,BCPC,AEIS,REZI,CNMD,SIG,TRUP,LPSN,VIAV,ALRM,WTS,SHAK,GKOS,M,FHB,ROG,KFY,SPSC,STMP,LGIH,EXLS,MTH,HP,ARNC,FN,ONTO,VG,AIT,NSIT,WDFC,KLIC,LXP,ABG,DIOD,UNF,FUL,MED,SHOO,LCII,HI,EPRT,BBBY,CCOI,SMPL,KWR,RCII,MMSI,OMI,ITGR,FELE,LTHM,SFBS,SHEN,EGHT,REGI,ABM,BMI,DORM,SJI,MXL,WD,AWR,CWT,FIX,PRFT,ACA,WWW,UFS,FORM,SPXC,MATX,ALGT,EAT,ANF,MDC,CBU,EVTC,IBTX,RMBS,IBP,SNBR,BRC,AIN,FLOW,KTB,GPI,PRLB,PLXS,OI,SITC,PCRX,AAON,CVET,SCL,PPBI,BKU,MDRX,PBH,ATI,MD,JJSF,BOOT,FWRD,CAKE,SBH,MYGN,ESE,ODP,UNIT,ROCK,SANM,VCEL,IRBT,RPAI,B,CORT,HSKA,EPC,BDN,AX,MLI,FSS,CELH,WGO,SSTK,UCTT,COOP,HUBG,ABCB,HTH,VICR,THRM,RLGY,SKYW,SYKE,FCPT,BLMN,IOSP,XPER,TSE,IDCC,AVAV,BCC,PRGS,XHR,MODV,PMT,SFNC,WSFS,RAVN,PSMT,ROIC,CPK,MNRO,ISBC,WRE,CYH,NPO,AGO,VRTS,AVA,FBC,UNFI,ARI,BIG,XNCR,BGS,GMS,DLX,CCS,PIPR,CENTA,KN,AAWW,KRG,MEI,KALU,PLAY,HNI,NMIH,GNW,SKT,CVCO,AEL,CADE,COLB,LNTH,IRT,FBP,GVA,AMCX,CRS,ONB,AAT,AKR,TTEC,COKE,DEA,UCBI,GDOT,CVBF,INDB,CTRE,MGLN,FFBC,FMBI,RNST,DRH,CYTK,FOE,ILPT,COHU,AVNS,PATK,PRAA,STAR,TTGT,FLGT,MHO,LNN,MDP,MTOR,WIRE,TBK,MYRG,AMEH,INT,TWO,ARCB,MSEX,SVC,ATGE,BANR,VBTX,SBCF,LKFN,ACLS,PRK,VRTV,CRVL,BSIG,LGND,NTCT,THS,EPAY,TRMK,CSGS,EXTR,PTEN,CNK,NXRT,IPAR,MTRN,GCP,GNL,APOG,TNC,CASH,ANDE,JOE,BANF,RWT,AZZ,PBF,ASTE,PFS,SGH,HSC,SXI,UIS,FBNC,FCF,LZB,CALM,EGBN,LTC,TTMI,GWB,AIR,HCSG,USPH,NBTB,CXW,TBBK,DCOM,GIII,PGTI,MMI,SUM
07/23/2021,3.84,1.11,0.68,0.55,0.54,0.56,0.51,0.41,0.53,0.52,0.51,0.49,0.35,0.47,0.45,0.46,0.43,0.45,0.44,0.4,0.41,0.4,0.36,0.39,0.42,0.4,0.38,0.42,0.36,0.23,0.51,0.38,0.38,0.37,0.37,0.62,0.37,0.38,0.36,0.32,0.33,0.36,0.33,0.35,0.36,0.36,0.36,0.34,0.37,0.39,0.33,0.35,0.34,0.34,0.33,0.37,0.35,0.35,0.32,0.34,0.32,0.32,0.33,0.31,0.37,0.31,0.33,0.31,0.34,0.28,0.3,0.32,0.32,0.31,0.31,0.3,0.3,0.31,0.33,0.32,0.28,0.29,0.27,0.28,0.29,0.28,0.3,0.3,0.29,0.28,0.26,0.28,0.27,0.26,0.26,0.27,0.27,0.29,0.27,0.26,0.34,0.27,0.3,0.25,0.26,0.24,0.27,0.26,0.26,0.26,0.27,0.25,0.35,0.26,0.27,0.26,0.27,0.26,0.24,0.25,0.24,0.26,0.25,0.25,0.26,0.28,0.25,0.25,0.25,0.26,0.27,0.24,0.22,0.26,0.23,0.25,0.25,0.25,0.24,0.23,0.24,0.23,0.23,0.24,0.23,0.23,0.23,0.24,0.24,0.21,0.21,0.22,0.23,0.21,0.22,0.22,0.21,0.21,0.23,0.2,0.21,0.21,0.21,0.2,0.2,0.0,0.22,0.21,0.22,0.22,0.22,0.27,0.22,0.2,0.2,0.27,0.0,0.21,0.21,0.0,0.21,0.2,0.2,0.21,0.2,0.2,0.19,0.0,0.19,0.0,0.19,0.0,0.0,0.19,0.0,0.19,0.0,0.0,0.19,0.2,0.28,0.23,0.24,0.0,0.21,0.2,0.0,0.0,0.19,0.19,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.22,0.0,0.19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,63.66000000000001
07/26/2021,3.83,1.03,0.68,0.55,0.55,0.57,0.52,0.45,0.52,0.53,0.5,0.48,0.34,0.46,0.44,0.47,0.44,0.45,0.44,0.4,0.42,0.4,0.36,0.39,0.42,0.39,0.38,0.41,0.38,0.24,0.51,0.37,0.37,0.37,0.37,0.62,0.37,0.37,0.36,0.33,0.33,0.35,0.34,0.35,0.35,0.36,0.33,0.35,0.37,0.39,0.33,0.34,0.34,0.34,0.33,0.37,0.35,0.35,0.33,0.33,0.32,0.32,0.34,0.33,0.37,0.31,0.32,0.32,0.33,0.27,0.3,0.32,0.32,0.3,0.31,0.29,0.3,0.31,0.33,0.32,0.28,0.29,0.26,0.28,0.29,0.29,0.3,0.29,0.29,0.28,0.26,0.29,0.27,0.27,0.26,0.27,0.27,0.25,0.27,0.26,0.33,0.27,0.3,0.25,0.25,0.23,0.26,0.27,0.26,0.26,0.26,0.24,0.35,0.25,0.27,0.26,0.26,0.26,0.25,0.25,0.25,0.26,0.26,0.25,0.26,0.27,0.24,0.25,0.26,0.26,0.26,0.24,0.22,0.26,0.23,0.25,0.25,0.25,0.24,0.23,0.24,0.24,0.23,0.25,0.22,0.22,0.22,0.24,0.24,0.21,0.21,0.22,0.23,0.22,0.22,0.22,0.21,0.21,0.22,0.2,0.21,0.21,0.21,0.2,0.2,0.0,0.22,0.21,0.22,0.22,0.22,0.26,0.22,0.0,0.19,0.27,0.2,0.21,0.21,0.0,0.21,0.2,0.2,0.2,0.21,0.19,0.19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.19,0.19,0.28,0.23,0.24,0.0,0.21,0.21,0.0,0.0,0.19,0.0,0.19,0.19,0.19,0.2,0.19,0.0,0.0,0.0,0.0,0.24,0.23,0.0,0.0,0.0,0.0,0.22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,63.52
07/27/2021,3.83,1.03,0.68,0.55,0.55,0.57,0.52,0.45,0.52,0.53,0.5,0.48,0.34,0.46,0.44,0.47,0.44,0.45,0.44,0.4,0.42,0.4,0.36,0.39,0.42,0.39,0.38,0.41,0.38,0.24,0.51,0.37,0.37,0.37,0.37,0.62,0.37,0.37,0.36,0.33,0.33,0.35,0.34,0.35,0.35,0.36,0.33,0.35,0.37,0.39,0.33,0.34,0.34,0.34,0.33,0.37,0.35,0.35,0.33,0.33,0.32,0.32,0.34,0.33,0.37,0.31,0.32,0.32,0.33,0.27,0.3,0.32,0.32,0.3,0.31,0.29,0.3,0.31,0.33,0.32,0.28,0.29,0.26,0.28,0.29,0.29,0.3,0.29,0.29,0.28,0.26,0.29,0.27,0.27,0.26,0.27,0.27,0.25,0.27,0.26,0.33,0.27,0.3,0.25,0.25,0.23,0.26,0.27,0.26,0.26,0.26,0.24,0.35,0.25,0.27,0.26,0.26,0.26,0.25,0.25,0.25,0.26,0.26,0.25,0.26,0.27,0.24,0.25,0.26,0.26,0.26,0.24,0.22,0.26,0.23,0.25,0.25,0.25,0.24,0.23,0.24,0.24,0.23,0.25,0.22,0.22,0.22,0.24,0.24,0.21,0.21,0.22,0.23,0.22,0.22,0.22,0.21,0.21,0.22,0.2,0.21,0.21,0.21,0.2,0.2,0.0,0.22,0.21,0.22,0.22,0.22,0.26,0.22,0.0,0.19,0.27,0.2,0.21,0.21,0.0,0.21,0.2,0.2,0.2,0.21,0.19,0.19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.19,0.19,0.28,0.23,0.24,0.0,0.21,0.21,0.0,0.0,0.19,0.0,0.19,0.19,0.19,0.2,0.19,0.0,0.0,0.0,0.0,0.24,0.23,0.0,0.0,0.0,0.0,0.22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,63.52
07/28/2021,3.56,1.04,0.68,0.57,0.56,0.54,0.53,0.44,0.53,0.53,0.51,0.48,0.34,0.46,0.44,0.47,0.45,0.45,0.44,0.4,0.43,0.4,0.37,0.4,0.42,0.39,0.39,0.42,0.38,0.24,0.54,0.38,0.38,0.37,0.38,0.62,0.38,0.37,0.38,0.32,0.34,0.35,0.34,0.35,0.36,0.36,0.34,0.35,0.37,0.39,0.34,0.34,0.34,0.34,0.34,0.37,0.35,0.36,0.32,0.34,0.33,0.33,0.35,0.33,0.37,0.32,0.33,0.31,0.34,0.27,0.3,0.31,0.32,0.3,0.31,0.3,0.3,0.31,0.33,0.32,0.28,0.29,0.26,0.29,0.29,0.29,0.3,0.29,0.29,0.27,0.25,0.3,0.4,0.27,0.26,0.27,0.28,0.24,0.27,0.26,0.33,0.27,0.3,0.25,0.26,0.24,0.27,0.27,0.26,0.26,0.26,0.37,0.37,0.25,0.27,0.26,0.26,0.26,0.25,0.25,0.25,0.26,0.25,0.25,0.26,0.27,0.25,0.25,0.26,0.26,0.27,0.24,0.22,0.26,0.23,0.25,0.25,0.26,0.24,0.22,0.24,0.24,0.24,0.25,0.23,0.33,0.22,0.24,0.25,0.22,0.21,0.22,0.23,0.22,0.22,0.22,0.21,0.21,0.22,0.2,0.21,0.21,0.21,0.2,0.3,0.21,0.22,0.21,0.22,0.22,0.22,0.3,0.22,0.0,0.0,0.36,0.2,0.31,0.21,0.0,0.21,0.2,0.0,0.2,0.21,0.19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.19,0.28,0.24,0.26,0.0,0.21,0.26,0.0,0.0,0.0,0.28,0.0,0.0,0.0,0.2,0.0,0.26,0.26,0.26,0.24,0.24,0.23,0.23,0.21,0.21,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,64.88000000000001
07/29/2021,3.53,1.05,0.68,0.56,0.54,0.51,0.53,0.55,0.52,0.52,0.51,0.48,0.32,0.45,0.43,0.47,0.44,0.45,0.44,0.4,0.43,0.4,0.37,0.39,0.42,0.39,0.38,0.42,0.39,0.23,0.52,0.38,0.38,0.37,0.37,0.61,0.36,0.37,0.37,0.33,0.35,0.35,0.34,0.35,0.35,0.36,0.34,0.35,0.37,0.39,0.34,0.34,0.34,0.34,0.35,0.38,0.35,0.35,0.33,0.33,0.33,0.33,0.34,0.32,0.37,0.32,0.33,0.31,0.34,0.27,0.3,0.3,0.32,0.3,0.3,0.3,0.3,0.31,0.33,0.32,0.28,0.29,0.26,0.29,0.28,0.29,0.3,0.29,0.29,0.28,0.25,0.29,0.27,0.27,0.26,0.27,0.27,0.25,0.27,0.26,0.36,0.28,0.29,0.24,0.26,0.23,0.27,0.27,0.25,0.26,0.26,0.25,0.35,0.25,0.27,0.27,0.26,0.27,0.25,0.25,0.26,0.27,0.25,0.25,0.26,0.27,0.24,0.25,0.25,0.26,0.27,0.24,0.22,0.25,0.23,0.25,0.25,0.26,0.24,0.23,0.24,0.25,0.23,0.24,0.23,0.23,0.21,0.25,0.24,0.22,0.21,0.22,0.23,0.22,0.22,0.22,0.21,0.21,0.22,0.2,0.21,0.21,0.21,0.2,0.2,0.19,0.22,0.21,0.22,0.22,0.22,0.26,0.22,0.19,0.0,0.27,0.2,0.21,0.21,0.19,0.21,0.2,0.19,0.2,0.21,0.0,0.19,0.0,0.0,0.0,0.19,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.19,0.2,0.28,0.23,0.24,0.0,0.21,0.21,0.0,0.0,0.0,0.0,0.0,0.19,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.23,0.23,0.0,0.0,0.0,0.0,0.24,0.0,0.0,0.19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,63.49
07/30/2021,3.47,1.03,0.68,0.56,0.53,0.53,0.51,0.51,0.53,0.52,0.52,0.49,0.32,0.46,0.43,0.47,0.43,0.44,0.45,0.39,0.43,0.41,0.36,0.4,0.41,0.39,0.38,0.42,0.39,0.23,0.52,0.38,0.38,0.38,0.37,0.62,0.37,0.37,0.38,0.33,0.34,0.35,0.33,0.35,0.35,0.36,0.35,0.34,0.37,0.39,0.33,0.34,0.35,0.33,0.35,0.38,0.35,0.36,0.32,0.34,0.32,0.33,0.35,0.33,0.37,0.33,0.32,0.31,0.34,0.27,0.29,0.29,0.32,0.3,0.3,0.3,0.29,0.31,0.33,0.33,0.28,0.29,0.27,0.29,0.29,0.28,0.3,0.29,0.29,0.29,0.25,0.29,0.27,0.27,0.26,0.27,0.28,0.25,0.27,0.27,0.36,0.27,0.29,0.24,0.26,0.24,0.27,0.27,0.25,0.26,0.26,0.25,0.36,0.25,0.27,0.27,0.26,0.26,0.25,0.25,0.26,0.26,0.25,0.25,0.27,0.27,0.24,0.25,0.26,0.26,0.28,0.24,0.22,0.26,0.23,0.25,0.25,0.25,0.24,0.22,0.24,0.23,0.23,0.25,0.22,0.23,0.21,0.24,0.24,0.21,0.21,0.22,0.23,0.22,0.22,0.22,0.21,0.21,0.22,0.2,0.21,0.21,0.21,0.2,0.2,0.19,0.22,0.21,0.22,0.23,0.22,0.26,0.22,0.19,0.2,0.27,0.2,0.21,0.21,0.0,0.21,0.2,0.19,0.2,0.21,0.0,0.19,0.0,0.0,0.0,0.19,0.0,0.0,0.0,0.0,0.0,0.19,0.0,0.19,0.2,0.28,0.23,0.24,0.0,0.0,0.21,0.0,0.0,0.19,0.19,0.0,0.19,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.24,0.23,0.0,0.0,0.0,0.0,0.24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,63.400000000000006
08/02/2021,3.41,0.93,0.62,0.59,0.55,0.54,0.53,0.49,0.52,0.52,0.53,0.48,0.35,0.44,0.43,0.47,0.45,0.47,0.44,0.4,0.43,0.41,0.35,0.4,0.41,0.39,0.39,0.42,0.38,0.23,0.49,0.37,0.39,0.38,0.37,0.61,0.38,0.37,0.41,0.32,0.37,0.35,0.34,0.35,0.35,0.36,0.35,0.35,0.37,0.4,0.35,0.34,0.34,0.34,0.34,0.39,0.35,0.36,0.31,0.33,0.32,0.34,0.35,0.33,0.35,0.34,0.32,0.32,0.34,0.27,0.29,0.3,0.32,0.3,0.29,0.29,0.34,0.31,0.33,0.33,0.28,0.32,0.27,0.29,0.28,0.29,0.31,0.29,0.29,0.27,0.24,0.3,0.27,0.26,0.26,0.27,0.28,0.25,0.27,0.27,0.35,0.27,0.29,0.22,0.26,0.24,0.28,0.27,0.26,0.26,0.26,0.25,0.36,0.25,0.27,0.28,0.26,0.25,0.25,0.25,0.22,0.23,0.25,0.25,0.26,0.27,0.25,0.25,0.25,0.25,0.27,0.24,0.22,0.25,0.23,0.24,0.25,0.25,0.25,0.23,0.24,0.24,0.24,0.26,0.23,0.23,0.21,0.25,0.27,0.22,0.21,0.22,0.22,0.21,0.22,0.22,0.22,0.21,0.23,0.2,0.2,0.21,0.21,0.2,0.2,0.19,0.21,0.21,0.22,0.22,0.2,0.28,0.21,0.0,0.2,0.27,0.2,0.2,0.22,0.0,0.2,0.0,0.19,0.0,0.22,0.19,0.2,0.0,0.0,0.19,0.0,0.0,0.19,0.2,0.0,0.0,0.0,0.0,0.0,0.21,0.28,0.23,0.24,0.19,0.2,0.21,0.0,0.0,0.0,0.0,0.19,0.19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.23,0.22,0.0,0.0,0.0,0.0,0.24,0.0,0.0,0.0,0.19,0.19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,63.31999999999999
08/03/2021,3.0,0.91,0.65,0.61,0.56,0.56,0.6,0.49,0.52,0.52,0.57,0.49,0.35,0.45,0.43,0.47,0.45,0.47,0.45,0.41,0.43,0.41,0.34,0.39,0.42,0.39,0.38,0.42,0.37,0.24,0.43,0.37,0.36,0.38,0.4,0.61,0.38,0.39,0.42,0.32,0.36,0.36,0.35,0.34,0.36,0.36,0.34,0.34,0.37,0.4,0.35,0.34,0.34,0.34,0.34,0.38,0.35,0.36,0.31,0.33,0.32,0.34,0.35,0.35,0.36,0.33,0.32,0.32,0.34,0.27,0.29,0.3,0.32,0.3,0.3,0.29,0.34,0.31,0.33,0.33,0.28,0.32,0.27,0.28,0.28,0.3,0.31,0.3,0.28,0.25,0.24,0.3,0.23,0.27,0.26,0.27,0.28,0.25,0.27,0.27,0.35,0.27,0.3,0.22,0.26,0.24,0.27,0.26,0.26,0.26,0.26,0.21,0.3,0.25,0.27,0.27,0.26,0.25,0.26,0.25,0.21,0.22,0.25,0.25,0.26,0.28,0.25,0.26,0.25,0.25,0.28,0.24,0.22,0.24,0.23,0.24,0.25,0.25,0.24,0.23,0.25,0.25,0.24,0.26,0.23,0.2,0.21,0.25,0.28,0.21,0.21,0.22,0.22,0.21,0.22,0.22,0.21,0.21,0.23,0.21,0.2,0.2,0.21,0.2,0.0,0.0,0.21,0.21,0.21,0.22,0.2,0.24,0.21,0.0,0.2,0.23,0.2,0.0,0.22,0.19,0.2,0.19,0.0,0.19,0.21,0.19,0.21,0.0,0.0,0.19,0.19,0.0,0.19,0.2,0.0,0.0,0.0,0.0,0.0,0.2,0.28,0.2,0.21,0.0,0.2,0.0,0.0,0.0,0.19,0.0,0.19,0.19,0.0,0.19,0.0,0.0,0.0,0.0,0.0,0.2,0.22,0.0,0.0,0.0,0.0,0.25,0.0,0.0,0.0,0.19,0.19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,62.67
08/04/2021,3.0,0.91,0.65,0.61,0.56,0.56,0.6,0.49,0.52,0.52,0.57,0.49,0.35,0.45,0.43,0.47,0.45,0.47,0.45,0.41,0.43,0.41,0.34,0.39,0.42,0.39,0.38,0.42,0.37,0.24,0.43,0.37,0.36,0.38,0.4,0.61,0.38,0.39,0.42,0.32,0.36,0.36,0.35,0.34,0.36,0.36,0.34,0.34,0.37,0.4,0.35,0.34,0.34,0.34,0.34,0.38,0.35,0.36,0.31,0.33,0.32,0.34,0.35,0.35,0.36,0.33,0.32,0.32,0.34,0.27,0.29,0.3,0.32,0.3,0.3,0.29,0.34,0.31,0.33,0.33,0.28,0.32,0.27,0.28,0.28,0.3,0.31,0.3,0.28,0.25,0.24,0.3,0.23,0.27,0.26,0.27,0.28,0.25,0.27,0.27,0.35,0.27,0.3,0.22,0.26,0.24,0.27,0.26,0.26,0.26,0.26,0.21,0.3,0.25,0.27,0.27,0.26,0.25,0.26,0.25,0.21,0.22,0.25,0.25,0.26,0.28,0.25,0.26,0.25,0.25,0.28,0.24,0.22,0.24,0.23,0.24,0.25,0.25,0.24,0.23,0.25,0.25,0.24,0.26,0.23,0.2,0.21,0.25,0.28,0.21,0.21,0.22,0.22,0.21,0.22,0.22,0.21,0.21,0.23,0.21,0.2,0.2,0.21,0.2,0.0,0.0,0.21,0.21,0.21,0.22,0.2,0.24,0.21,0.0,0.2,0.23,0.2,0.0,0.22,0.19,0.2,0.19,0.0,0.19,0.21,0.19,0.21,0.0,0.0,0.19,0.19,0.0,0.19,0.2,0.0,0.0,0.0,0.0,0.0,0.2,0.28,0.2,0.21,0.0,0.2,0.0,0.0,0.0,0.19,0.0,0.19,0.19,0.0,0.19,0.0,0.0,0.0,0.0,0.0,0.2,0.22,0.0,0.0,0.0,0.0,0.25,0.0,0.0,0.0,0.19,0.19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,62.67
08/05/2021,3.0,0.91,0.65,0.61,0.56,0.56,0.6,0.49,0.52,0.52,0.57,0.49,0.35,0.45,0.43,0.47,0.45,0.47,0.45,0.41,0.43,0.41,0.34,0.39,0.42,0.39,0.38,0.42,0.37,0.24,0.43,0.37,0.36,0.38,0.4,0.61,0.38,0.39,0.42,0.32,0.36,0.36,0.35,0.34,0.36,0.36,0.34,0.34,0.37,0.4,0.35,0.34,0.34,0.34,0.34,0.38,0.35,0.36,0.31,0.33,0.32,0.34,0.35,0.35,0.36,0.33,0.32,0.32,0.34,0.27,0.29,0.3,0.32,0.3,0.3,0.29,0.34,0.31,0.33,0.33,0.28,0.32,0.27,0.28,0.28,0.3,0.31,0.3,0.28,0.25,0.24,0.3,0.23,0.27,0.26,0.27,0.28,0.25,0.27,0.27,0.35,0.27,0.3,0.22,0.26,0.24,0.27,0.26,0.26,0.26,0.26,0.21,0.3,0.25,0.27,0.27,0.26,0.25,0.26,0.25,0.21,0.22,0.25,0.25,0.26,0.28,0.25,0.26,0.25,0.25,0.28,0.24,0.22,0.24,0.23,0.24,0.25,0.25,0.24,0.23,0.25,0.25,0.24,0.26,0.23,0.2,0.21,0.25,0.28,0.21,0.21,0.22,0.22,0.21,0.22,0.22,0.21,0.21,0.23,0.21,0.2,0.2,0.21,0.2,0.0,0.0,0.21,0.21,0.21,0.22,0.2,0.24,0.21,0.0,0.2,0.23,0.2,0.0,0.22,0.19,0.2,0.19,0.0,0.19,0.21,0.19,0.21,0.0,0.0,0.19,0.19,0.0,0.19,0.2,0.0,0.0,0.0,0.0,0.0,0.2,0.28,0.2,0.21,0.0,0.2,0.0,0.0,0.0,0.19,0.0,0.19,0.19,0.0,0.19,0.0,0.0,0.0,0.0,0.0,0.2,0.22,0.0,0.0,0.0,0.0,0.25,0.0,0.0,0.0,0.19,0.19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,62.67
