,UNH,CVS,ANTM,HUM,HCA,CNC,CI,LH,TDOC,DGX,MOH,UHS,GH,AMED,DVA,EHC,CHE,THC,HQY,LHCG,ACHC,NEO,CHNG,INSP,ENSG,SEM,RCM,SDGR,INOV,MD,ONEM,PINC,PHR,PGNY,OPCH,MPLN,GDRX,MODV,MGLN,SGRY,CYH,HCAT,FLGT,RDNT,BKD,USPH,XTSLA,CSTL,ADUS,CRVL,CLOV,TRHC,PNTG,CERT,TVTY,HNGR,ACCD,NHC,AMWL,SGFY,HIMS,HSTM,GTS,SGAFT,IXCU1,USD,AMEH,AGTI,PRVA,IXCZ1,SUM
07/09/2021,22.67,11.99,9.6,4.76,4.57,4.55,4.31,4.13,3.26,2.65,2.27,1.78,1.62,1.33,1.29,1.22,1.17,1.1,1.02,0.99,0.85,0.8,0.79,0.77,0.69,0.68,0.47,0.42,0.4,0.39,0.39,0.38,0.37,0.35,0.34,0.32,0.31,0.31,0.31,0.29,0.29,0.29,0.24,0.23,0.23,0.23,0.2,0.2,0.2,0.19,0.17,0.16,0.16,0.16,0.15,0.15,0.14,0.13,0.11,0.11,0.11,0.11,0.08,0.01,0.0,0.0,0.0,0.0,0.0,0.0,99.96
07/12/2021,22.83,11.94,9.65,4.8,4.59,4.53,4.27,4.14,3.17,2.68,2.26,1.79,1.59,1.35,1.29,1.23,1.16,1.1,0.99,1.03,0.86,0.81,0.79,0.75,0.69,0.67,0.47,0.42,0.4,0.39,0.37,0.38,0.37,0.34,0.34,0.29,0.32,0.32,0.31,0.29,0.3,0.3,0.23,0.23,0.23,0.22,0.18,0.2,0.19,0.19,0.16,0.17,0.16,0.16,0.15,0.14,0.13,0.13,0.11,0.11,0.1,0.11,0.08,0.01,0.0,0.02,0.0,0.0,0.0,0.0,99.98
07/13/2021,22.83,11.94,9.65,4.8,4.59,4.53,4.27,4.14,3.17,2.68,2.26,1.79,1.59,1.35,1.29,1.23,1.16,1.1,0.99,1.03,0.86,0.81,0.79,0.75,0.69,0.67,0.47,0.42,0.4,0.39,0.37,0.38,0.37,0.34,0.34,0.29,0.32,0.32,0.31,0.29,0.3,0.3,0.23,0.23,0.23,0.22,0.18,0.2,0.19,0.19,0.16,0.17,0.16,0.16,0.15,0.14,0.13,0.13,0.11,0.11,0.1,0.11,0.08,0.01,0.0,0.02,0.0,0.0,0.0,0.0,99.98
07/14/2021,22.73,11.99,9.66,4.77,4.65,4.54,4.29,4.16,3.16,2.67,2.28,1.82,1.61,1.33,1.3,1.23,1.15,1.12,1.0,1.01,0.86,0.81,0.78,0.77,0.69,0.67,0.47,0.42,0.39,0.39,0.37,0.38,0.36,0.33,0.34,0.28,0.31,0.32,0.31,0.29,0.3,0.29,0.24,0.23,0.24,0.23,0.18,0.21,0.19,0.19,0.16,0.17,0.15,0.16,0.15,0.14,0.13,0.13,0.11,0.1,0.1,0.11,0.08,0.01,0.0,0.02,0.0,0.0,0.0,0.0,100.03
07/16/2021,23.02,12.0,9.87,4.8,4.64,4.59,4.29,4.13,3.06,2.67,2.27,1.8,1.57,1.3,1.29,1.21,1.15,1.1,0.99,0.98,0.83,0.81,0.76,0.77,0.68,0.67,0.44,0.38,0.4,0.38,0.35,0.38,0.37,0.32,0.33,0.27,0.3,0.31,0.31,0.29,0.29,0.28,0.22,0.23,0.24,0.22,0.19,0.2,0.19,0.19,0.15,0.16,0.15,0.16,0.15,0.14,0.13,0.13,0.1,0.1,0.1,0.11,0.08,0.01,0.0,0.0,0.0,0.0,0.0,0.0,100.0
07/19/2021,23.28,12.16,9.9,4.91,4.7,4.55,4.31,4.12,2.92,2.67,2.32,1.82,1.49,1.27,1.28,1.21,1.15,1.09,0.97,0.98,0.82,0.76,0.77,0.72,0.68,0.64,0.43,0.38,0.38,0.37,0.32,0.38,0.35,0.31,0.31,0.28,0.29,0.31,0.31,0.27,0.28,0.28,0.21,0.22,0.24,0.22,0.19,0.18,0.19,0.19,0.14,0.16,0.14,0.15,0.14,0.14,0.12,0.14,0.1,0.1,0.1,0.11,0.08,0.01,0.0,0.01,0.0,0.0,0.0,0.0,100.02
07/20/2021,23.28,12.16,9.9,4.91,4.7,4.55,4.31,4.12,2.92,2.67,2.32,1.82,1.49,1.27,1.28,1.21,1.15,1.09,0.97,0.98,0.82,0.76,0.77,0.72,0.68,0.64,0.43,0.38,0.38,0.37,0.32,0.38,0.35,0.31,0.31,0.28,0.29,0.31,0.31,0.27,0.28,0.28,0.21,0.22,0.24,0.22,0.19,0.18,0.19,0.19,0.14,0.16,0.14,0.15,0.14,0.14,0.12,0.14,0.1,0.1,0.1,0.11,0.08,0.01,0.0,0.01,0.0,0.0,0.0,0.0,100.02
07/22/2021,23.08,12.16,9.78,4.93,4.73,4.51,4.26,4.16,3.08,2.76,2.26,1.77,1.56,1.29,1.28,1.2,1.16,1.07,0.94,1.0,0.81,0.8,0.79,0.74,0.69,0.63,0.43,0.39,0.39,0.38,0.33,0.39,0.37,0.32,0.32,0.29,0.29,0.31,0.32,0.27,0.27,0.29,0.23,0.22,0.23,0.22,0.19,0.19,0.19,0.19,0.14,0.16,0.14,0.15,0.14,0.14,0.12,0.14,0.1,0.11,0.1,0.11,0.09,0.01,0.0,0.0,0.0,0.0,0.0,0.0,100.11
07/23/2021,22.84,12.09,9.73,4.83,5.3,4.44,4.25,4.11,3.09,2.71,2.26,1.82,1.53,1.28,1.27,1.21,1.15,1.14,0.95,1.0,0.84,0.79,0.78,0.7,0.68,0.65,0.43,0.39,0.39,0.39,0.32,0.38,0.36,0.32,0.32,0.3,0.29,0.31,0.37,0.27,0.29,0.29,0.22,0.22,0.23,0.22,0.23,0.19,0.19,0.19,0.14,0.16,0.14,0.15,0.14,0.14,0.12,0.14,0.1,0.1,0.09,0.11,0.09,0.01,0.0,0.0,0.0,0.0,0.0,0.0,100.18
07/27/2021,22.92,12.17,9.55,4.85,5.24,4.51,4.24,4.16,3.04,2.73,2.28,1.78,1.55,1.27,1.28,1.19,1.15,1.13,0.94,1.0,0.83,0.8,0.77,0.73,0.66,0.63,0.43,0.39,0.39,0.38,0.33,0.38,0.37,0.32,0.33,0.31,0.3,0.3,0.38,0.26,0.27,0.29,0.23,0.22,0.22,0.21,0.04,0.19,0.19,0.19,0.15,0.15,0.13,0.16,0.14,0.14,0.12,0.14,0.1,0.1,0.09,0.11,0.08,0.0,0.0,0.06,0.0,0.0,0.0,0.0,99.99
07/29/2021,22.9,12.26,9.45,4.91,5.24,4.5,4.19,4.17,2.99,2.75,2.29,1.83,1.46,1.26,1.28,1.22,1.16,1.16,0.95,1.0,0.84,0.8,0.77,0.72,0.67,0.64,0.44,0.38,0.39,0.38,0.32,0.38,0.37,0.31,0.32,0.31,0.3,0.3,0.38,0.26,0.28,0.28,0.25,0.23,0.22,0.2,0.04,0.19,0.19,0.19,0.14,0.14,0.13,0.16,0.14,0.14,0.12,0.14,0.1,0.1,0.08,0.11,0.09,0.0,0.0,0.05,0.0,0.0,0.0,0.0,99.96
07/30/2021,22.89,12.33,9.52,4.89,5.26,4.35,4.18,4.19,3.01,2.77,2.3,1.88,1.43,1.26,1.28,1.22,1.16,1.16,0.94,0.99,0.84,0.78,0.76,0.7,0.67,0.63,0.43,0.37,0.44,0.38,0.32,0.38,0.38,0.3,0.32,0.31,0.3,0.3,0.38,0.26,0.27,0.28,0.25,0.23,0.22,0.23,0.04,0.18,0.19,0.19,0.14,0.14,0.13,0.16,0.14,0.14,0.12,0.14,0.1,0.1,0.08,0.11,0.09,0.0,0.0,0.05,0.0,0.0,0.0,0.0,99.98
08/02/2021,22.72,12.36,9.51,4.65,5.26,4.34,4.18,4.22,3.04,2.79,2.31,1.88,1.47,1.26,1.27,1.23,1.11,1.17,0.96,1.0,0.85,0.81,0.77,0.74,0.68,0.64,0.44,0.39,0.44,0.39,0.33,0.39,0.39,0.31,0.32,0.32,0.31,0.31,0.38,0.26,0.27,0.29,0.26,0.23,0.22,0.23,0.05,0.19,0.19,0.19,0.14,0.15,0.13,0.16,0.14,0.14,0.12,0.14,0.1,0.1,0.08,0.11,0.09,0.0,0.0,0.05,0.0,0.0,0.0,0.0,99.97
08/03/2021,22.78,12.17,9.57,4.47,5.28,4.25,4.21,4.39,2.96,2.81,2.42,1.9,1.43,1.29,1.28,1.26,1.15,1.17,0.94,1.04,0.84,0.83,0.75,0.76,0.67,0.65,0.45,0.38,0.45,0.38,0.32,0.38,0.38,0.32,0.32,0.32,0.31,0.31,0.38,0.25,0.25,0.29,0.25,0.24,0.21,0.23,0.06,0.2,0.2,0.19,0.14,0.15,0.13,0.16,0.14,0.14,0.12,0.15,0.1,0.09,0.08,0.11,0.09,0.0,0.0,0.04,0.0,0.0,0.0,0.0,99.98
08/04/2021,22.78,12.17,9.57,4.47,5.28,4.25,4.21,4.39,2.96,2.81,2.42,1.9,1.43,1.29,1.28,1.26,1.15,1.17,0.94,1.04,0.84,0.83,0.75,0.76,0.67,0.65,0.45,0.38,0.45,0.38,0.32,0.38,0.38,0.32,0.32,0.32,0.31,0.31,0.38,0.25,0.25,0.29,0.25,0.24,0.21,0.23,0.06,0.2,0.2,0.19,0.14,0.15,0.13,0.16,0.14,0.14,0.12,0.15,0.1,0.09,0.08,0.11,0.09,0.0,0.0,0.04,0.0,0.0,0.0,0.0,99.98
08/06/2021,22.93,12.2,9.69,4.39,5.31,4.22,4.22,4.37,2.97,2.84,2.42,1.87,1.42,1.26,1.29,1.25,1.13,1.15,0.9,1.02,0.85,0.81,0.75,0.76,0.66,0.64,0.44,0.37,0.44,0.39,0.33,0.38,0.37,0.31,0.33,0.3,0.3,0.32,0.37,0.26,0.25,0.29,0.27,0.25,0.2,0.23,0.13,0.19,0.21,0.21,0.13,0.14,0.13,0.16,0.15,0.15,0.12,0.14,0.1,0.09,0.08,0.11,0.09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.04999999999998
08/10/2021,23.16,12.12,9.55,4.44,5.37,4.17,3.87,4.46,3.01,2.94,2.37,1.83,1.5,0.96,1.43,1.23,1.14,1.13,0.94,0.91,0.86,0.85,0.75,0.89,0.67,0.62,0.44,0.36,0.47,0.44,0.34,0.39,0.39,0.28,0.41,0.29,0.3,0.33,0.39,0.24,0.24,0.29,0.29,0.26,0.2,0.23,0.06,0.2,0.21,0.23,0.14,0.13,0.13,0.17,0.13,0.14,0.12,0.15,0.1,0.1,0.08,0.12,0.09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.05
08/11/2021,23.16,12.12,9.55,4.44,5.37,4.17,3.87,4.46,3.01,2.94,2.37,1.83,1.5,0.96,1.43,1.23,1.14,1.13,0.94,0.91,0.86,0.85,0.75,0.89,0.67,0.62,0.44,0.36,0.47,0.44,0.34,0.39,0.39,0.28,0.41,0.29,0.3,0.33,0.39,0.24,0.24,0.29,0.29,0.26,0.2,0.23,0.06,0.2,0.21,0.23,0.14,0.13,0.13,0.17,0.13,0.14,0.12,0.15,0.1,0.1,0.08,0.12,0.09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.05
08/13/2021,23.24,12.56,9.61,4.44,5.23,4.11,3.95,4.57,2.99,3.01,2.32,1.78,1.4,0.98,1.44,1.23,1.14,1.08,0.93,0.9,0.88,0.77,0.76,0.79,0.68,0.6,0.42,0.37,0.45,0.44,0.3,0.4,0.38,0.27,0.4,0.28,0.3,0.34,0.39,0.22,0.24,0.28,0.27,0.23,0.19,0.22,0.04,0.2,0.21,0.22,0.15,0.13,0.12,0.17,0.13,0.13,0.12,0.15,0.1,0.09,0.08,0.12,0.09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.03
