,IMCD.AS,VACN.SW,ENX.PA,ICP.L,GETI B.ST,SIGN.SW,SMDS.L,RMV.L,LIGHT.AS,MOCORP.HE,INDT.ST,BME.L,ECM.L,HWDN.L,TOM.OL,WEIR.L,DPH.L,MIN.AX,RBREW.CO,AER,FVRR,IMI.L,RMG.L,CAST.ST,ITV.L,TECN.SW,FI-N.SW,6976.T,PSPN.SW,BWY.L,DLG.DE,LIFCO B.ST,TREL B.ST,AMS.SW,1308.HK,VALMT.HE,EVT.DE,TYRES.HE,UTG.L,CHC.AX,GAW.L,TPK.L,EKTA B.ST,SXS.L,WDP.BR,BLD.AX,BESI.AS,CTEC.L,ASRNL.AS,OZL.AX,KRNT,9104.T,DPLM.L,BIRG.IR,RXL.PA,FUTR.L,SIM.CO,DOM.ST,AALB.AS,THULE.ST,ALQ.AX,HUH1V.HE,NOD.OL,6361.T,ADDT B.ST,DLN.L,BBOX.L,TEG.DE,SOI.PA,ASC.L,MGGT.L,NETC.CO,TATE.L,FABG.ST,3269.T,IGG.L,BOO.L,BAKKA.OL,CEN.NZ,HOLM B.ST,WIE.VI,BEIJ B.ST,GNS.L,3563.T,AED.BR,BEAN.SW,SAGAB.ST,ALX.AX,AVST.L,PNN.L,FBU.NZ,ROR.L,HSX.L,1999.HK,BEN.AX,JBH.AX,NXT.AX,RUI.PA,CWY.AX,TIGO.ST,COFB.BR,CAR.AX,MKS.L,CNA.L,IGO.AX,STB.OL,INCH.L,522.HK,BAMI.MI,TKA.DE,6532.T,IP.MI,JPY,QUB.AX,ABC.L,RHM.DE,SFZN.SW,EVD.DE,EMG.L,ANDR.VI,MRL.MC,HAS.L,BILL.ST,SBB B.ST,UDG.L,FEVR.L,SWEC B.ST,4004.T,VTY.L,3249.T,4403.T,LYC.AX,GRG.L,SALM.OL,AAK.ST,ME8U.SI,IFT.NZ,ISS.CO,AZA.ST,TUI1.DE,ACKB.BR,HELN.SW,ATE.PA,GFTU.L,BG.VI,HSV.L,ANN.AX,KIND SDB.ST,FDR.MC,BOQ.AX,BUCN.SW,IEL.AX,3309.T,9048.T,NEL.OL,6113.T,FHZN.SW,1808.T,VMUK.L,DUFN.SW,CSP.L,CRBN.AS,GL9.IR,GALE.SW,BVIC.L,GBP,IPL.AX,3088.T,3289.T,2768.T,SAB.MC,7936.T,QLT.L,SOBI.ST,ELIS.PA,8252.T,CCL.L,REY.MI,7735.T,GXI.DE,ANA.MC,3288.T,7013.T,A2A.MI,9142.T,BYG.L,3279.T,AOX.DE,GLPG.AS,3197.T,8972.T,BRAV.ST,AFRY.ST,BFSA.DE,VCT.L,NDA.DE,9508.T,7731.T,WIHL.ST,7012.T,BOSS.DE,NENT B.ST,AUD,RWC.AX,2871.T,AGK.L,SESG.PA,CBG.L,LDO.MI,HPOL B.ST,6302.T,SCATC.OL,COL.MC,ENTRA.OL,8955.T,ARCAD.AS,DIE.BR,EUR,ROSE.SW,ALK B.CO,IWG.L,SKI.AX,BKT.MC,SAFE.L,RILBA.CO,VAR1.DE,BANB.SW,PETS.L,ALU.AX,7518.T,KOJAMO.HE,HER.MI,VITR.ST,CMBN.SW,SPIE.PA,NVMI,SCT.L,BEZ.L,ILU.AX,AWC.AX,SOP.PA,ULE.L,FNTN.DE,MTS.AX,IG.MI,PSM.DE,1721.T,PLS.AX,DLG.MI,3471.T,AIXA.DE,8354.T,DOW.AX,LMP.L,PHP.L,ORE.AX,SDF.AX,QTCOM.HE,OSB.L,3994.T,NEC.AX,2412.T,INMD,HKD,SUM
07/27/2021,0.3,0.31,0.27,0.27,0.29,0.28,0.25,0.25,0.24,0.22,0.26,0.22,0.21,0.23,0.22,0.21,0.23,0.23,0.2,0.21,0.2,0.2,0.18,0.21,0.19,0.2,0.2,0.18,0.19,0.18,0.18,0.21,0.18,0.16,0.18,0.18,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.18,0.17,0.17,0.18,0.18,0.16,0.17,0.15,0.16,0.15,0.16,0.18,0.18,0.15,0.17,0.17,0.14,0.15,0.17,0.14,0.16,0.15,0.15,0.15,0.16,0.12,0.14,0.15,0.15,0.14,0.15,0.14,0.12,0.14,0.14,0.15,0.15,0.16,0.15,0.13,0.15,0.15,0.16,0.14,0.17,0.15,0.13,0.13,0.13,0.11,0.13,0.13,0.13,0.12,0.12,0.13,0.13,0.13,0.12,0.12,0.14,0.12,0.14,0.13,0.13,0.12,0.15,0.13,0.15,0.12,0.12,0.13,0.12,0.12,0.12,0.12,0.12,0.11,0.12,0.13,0.12,0.11,0.1,0.11,0.11,0.12,0.11,0.13,0.12,0.12,0.13,0.12,0.12,0.11,0.12,0.11,0.12,0.13,0.12,0.12,0.12,0.12,0.12,0.12,0.13,0.12,0.11,0.11,0.11,0.0,0.0,0.11,0.0,0.11,0.0,0.0,0.11,0.0,0.11,0.12,0.11,0.0,0.11,0.12,0.11,0.11,0.11,0.11,0.12,0.12,0.0,0.11,0.0,0.11,0.0,0.0,0.12,0.11,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.1,0.1,0.1,0.0,0.0,0.0,0.11,0.13,0.0,0.1,0.0,0.1,0.1,0.0,0.0,0.11,0.1,0.0,0.0,0.1,0.1,0.1,0.11,0.13,0.0,0.0,0.0,0.11,0.11,0.0,0.1,0.1,0.0,0.0,0.0,0.0,0.0,0.11,0.1,0.1,0.1,0.1,0.1,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29.14
07/29/2021,0.3,0.32,0.26,0.28,0.3,0.27,0.25,0.25,0.22,0.22,0.26,0.22,0.21,0.23,0.21,0.21,0.23,0.23,0.2,0.21,0.2,0.2,0.18,0.2,0.19,0.21,0.2,0.18,0.19,0.17,0.17,0.21,0.18,0.16,0.17,0.18,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.18,0.17,0.18,0.18,0.18,0.17,0.17,0.15,0.16,0.15,0.16,0.17,0.17,0.16,0.19,0.17,0.14,0.16,0.17,0.14,0.16,0.16,0.15,0.15,0.16,0.12,0.15,0.15,0.15,0.14,0.14,0.14,0.12,0.14,0.14,0.15,0.15,0.16,0.15,0.13,0.15,0.15,0.16,0.14,0.17,0.15,0.13,0.13,0.13,0.11,0.13,0.13,0.14,0.12,0.12,0.13,0.13,0.14,0.12,0.12,0.14,0.12,0.14,0.13,0.13,0.13,0.16,0.14,0.0,0.12,0.12,0.13,0.12,0.12,0.12,0.12,0.12,0.11,0.12,0.13,0.12,0.0,0.0,0.11,0.12,0.12,0.11,0.15,0.12,0.12,0.13,0.12,0.12,0.11,0.12,0.11,0.12,0.13,0.13,0.12,0.13,0.12,0.12,0.12,0.13,0.12,0.11,0.11,0.11,0.0,0.0,0.11,0.0,0.11,0.11,0.1,0.11,0.1,0.11,0.12,0.11,0.0,0.12,0.12,0.11,0.11,0.12,0.11,0.12,0.12,0.11,0.11,0.0,0.11,0.0,0.0,0.12,0.12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.1,0.0,0.1,0.0,0.0,0.0,0.11,0.13,0.0,0.0,0.0,0.1,0.1,0.0,0.1,0.11,0.1,0.0,0.0,0.1,0.1,0.1,0.11,0.0,0.11,0.0,0.0,0.0,0.11,0.0,0.1,0.1,0.0,0.11,0.0,0.0,0.0,0.11,0.0,0.0,0.1,0.0,0.1,0.0,0.1,0.1,0.1,0.1,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29.21
07/30/2021,0.3,0.32,0.26,0.27,0.3,0.28,0.25,0.25,0.21,0.22,0.27,0.22,0.21,0.23,0.21,0.21,0.23,0.23,0.2,0.21,0.2,0.2,0.18,0.21,0.19,0.21,0.2,0.18,0.19,0.17,0.17,0.21,0.18,0.16,0.15,0.18,0.17,0.17,0.17,0.17,0.16,0.17,0.17,0.17,0.18,0.17,0.17,0.18,0.18,0.18,0.17,0.15,0.16,0.15,0.16,0.17,0.17,0.15,0.19,0.17,0.14,0.16,0.17,0.15,0.16,0.16,0.15,0.15,0.15,0.11,0.15,0.15,0.15,0.14,0.14,0.14,0.12,0.14,0.14,0.15,0.14,0.16,0.15,0.14,0.15,0.15,0.16,0.14,0.16,0.15,0.13,0.13,0.13,0.1,0.13,0.13,0.13,0.12,0.12,0.13,0.13,0.14,0.12,0.12,0.14,0.12,0.14,0.12,0.13,0.12,0.16,0.13,0.0,0.12,0.12,0.13,0.12,0.12,0.12,0.12,0.12,0.11,0.13,0.13,0.12,0.0,0.0,0.11,0.11,0.12,0.11,0.14,0.12,0.12,0.13,0.12,0.12,0.11,0.12,0.11,0.12,0.13,0.12,0.12,0.13,0.12,0.12,0.12,0.13,0.12,0.11,0.11,0.11,0.0,0.0,0.11,0.0,0.11,0.11,0.0,0.11,0.1,0.0,0.12,0.11,0.0,0.12,0.12,0.11,0.11,0.12,0.11,0.12,0.12,0.11,0.11,0.0,0.11,0.0,0.0,0.12,0.12,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.1,0.1,0.0,0.1,0.0,0.0,0.0,0.11,0.12,0.0,0.1,0.0,0.1,0.1,0.0,0.1,0.11,0.1,0.0,0.0,0.0,0.1,0.1,0.11,0.1,0.0,0.0,0.0,0.0,0.11,0.0,0.1,0.0,0.0,0.11,0.0,0.0,0.0,0.11,0.0,0.1,0.1,0.0,0.1,0.0,0.1,0.1,0.0,0.1,0.0,0.1,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29.059999999999995
08/02/2021,0.3,0.32,0.26,0.28,0.3,0.29,0.25,0.26,0.22,0.22,0.27,0.22,0.21,0.23,0.21,0.2,0.23,0.23,0.2,0.21,0.21,0.2,0.17,0.2,0.18,0.21,0.2,0.19,0.19,0.18,0.17,0.21,0.18,0.16,0.17,0.18,0.17,0.17,0.17,0.17,0.16,0.17,0.17,0.18,0.18,0.16,0.18,0.18,0.18,0.18,0.18,0.15,0.16,0.16,0.16,0.17,0.17,0.16,0.19,0.16,0.14,0.16,0.17,0.15,0.17,0.16,0.15,0.15,0.16,0.12,0.16,0.15,0.15,0.14,0.14,0.14,0.12,0.13,0.14,0.15,0.15,0.16,0.15,0.14,0.15,0.16,0.16,0.14,0.16,0.15,0.13,0.14,0.13,0.11,0.12,0.13,0.13,0.12,0.12,0.13,0.13,0.13,0.12,0.12,0.14,0.12,0.15,0.12,0.13,0.13,0.16,0.13,0.17,0.12,0.12,0.13,0.12,0.12,0.12,0.12,0.12,0.11,0.13,0.13,0.12,0.11,0.0,0.11,0.12,0.11,0.11,0.15,0.12,0.12,0.13,0.13,0.12,0.12,0.12,0.12,0.12,0.13,0.14,0.12,0.13,0.12,0.12,0.12,0.13,0.12,0.11,0.0,0.11,0.1,0.0,0.11,0.0,0.11,0.11,0.1,0.11,0.0,0.11,0.12,0.11,0.0,0.12,0.11,0.0,0.11,0.12,0.11,0.12,0.12,0.11,0.0,0.0,0.11,0.0,0.1,0.12,0.12,0.0,0.0,0.0,0.0,0.0,0.11,0.0,0.0,0.0,0.1,0.1,0.1,0.1,0.0,0.0,0.0,0.1,0.0,0.11,0.13,0.0,0.1,0.1,0.0,0.0,0.0,0.1,0.11,0.1,0.0,0.0,0.1,0.1,0.0,0.11,0.0,0.0,0.0,0.0,0.11,0.11,0.0,0.1,0.1,0.0,0.0,0.0,0.0,0.0,0.11,0.0,0.1,0.0,0.0,0.1,0.0,0.1,0.0,0.0,0.1,0.0,0.0,0.1,0.1,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29.340000000000003
08/03/2021,0.31,0.33,0.28,0.27,0.31,0.29,0.25,0.26,0.22,0.22,0.28,0.21,0.21,0.23,0.21,0.19,0.23,0.23,0.21,0.21,0.21,0.21,0.17,0.2,0.17,0.21,0.21,0.19,0.19,0.17,0.17,0.21,0.19,0.16,0.17,0.17,0.17,0.17,0.17,0.17,0.16,0.16,0.17,0.18,0.18,0.0,0.18,0.16,0.18,0.18,0.18,0.17,0.16,0.16,0.16,0.17,0.17,0.16,0.19,0.16,0.14,0.16,0.17,0.14,0.17,0.16,0.16,0.15,0.16,0.11,0.16,0.15,0.15,0.14,0.14,0.14,0.11,0.13,0.14,0.15,0.15,0.16,0.16,0.14,0.15,0.16,0.16,0.14,0.17,0.16,0.13,0.13,0.13,0.11,0.13,0.13,0.13,0.12,0.12,0.13,0.13,0.13,0.11,0.11,0.14,0.12,0.14,0.12,0.13,0.13,0.16,0.14,0.17,0.12,0.13,0.13,0.12,0.12,0.12,0.12,0.12,0.11,0.13,0.13,0.12,0.11,0.0,0.11,0.11,0.11,0.11,0.15,0.12,0.12,0.13,0.13,0.12,0.12,0.13,0.11,0.12,0.13,0.14,0.13,0.13,0.12,0.11,0.12,0.12,0.12,0.11,0.11,0.11,0.1,0.0,0.11,0.0,0.11,0.11,0.0,0.11,0.0,0.11,0.12,0.11,0.0,0.12,0.11,0.0,0.11,0.12,0.0,0.12,0.12,0.0,0.0,0.1,0.11,0.0,0.0,0.12,0.12,0.0,0.0,0.0,0.0,0.0,0.11,0.0,0.0,0.1,0.1,0.1,0.1,0.1,0.1,0.0,0.0,0.0,0.0,0.11,0.12,0.15,0.0,0.1,0.1,0.0,0.0,0.1,0.11,0.0,0.0,0.0,0.1,0.1,0.1,0.11,0.0,0.0,0.0,0.0,0.11,0.11,0.1,0.1,0.1,0.11,0.1,0.0,0.0,0.0,0.11,0.0,0.1,0.0,0.0,0.1,0.0,0.1,0.0,0.0,0.1,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29.33
08/04/2021,0.31,0.33,0.28,0.27,0.31,0.29,0.25,0.26,0.22,0.22,0.28,0.21,0.21,0.23,0.21,0.19,0.23,0.23,0.21,0.21,0.21,0.21,0.17,0.2,0.17,0.21,0.21,0.19,0.19,0.17,0.17,0.21,0.19,0.16,0.17,0.17,0.17,0.17,0.17,0.17,0.16,0.16,0.17,0.18,0.18,0.0,0.18,0.16,0.18,0.18,0.18,0.17,0.16,0.16,0.16,0.17,0.17,0.16,0.19,0.16,0.14,0.16,0.17,0.14,0.17,0.16,0.16,0.15,0.16,0.11,0.16,0.15,0.15,0.14,0.14,0.14,0.11,0.13,0.14,0.15,0.15,0.16,0.16,0.14,0.15,0.16,0.16,0.14,0.17,0.16,0.13,0.13,0.13,0.11,0.13,0.13,0.13,0.12,0.12,0.13,0.13,0.13,0.11,0.11,0.14,0.12,0.14,0.12,0.13,0.13,0.16,0.14,0.17,0.12,0.13,0.13,0.12,0.12,0.12,0.12,0.12,0.11,0.13,0.13,0.12,0.11,0.0,0.11,0.11,0.11,0.11,0.15,0.12,0.12,0.13,0.13,0.12,0.12,0.13,0.11,0.12,0.13,0.14,0.13,0.13,0.12,0.11,0.12,0.12,0.12,0.11,0.11,0.11,0.1,0.0,0.11,0.0,0.11,0.11,0.0,0.11,0.0,0.11,0.12,0.11,0.0,0.12,0.11,0.0,0.11,0.12,0.0,0.12,0.12,0.0,0.0,0.1,0.11,0.0,0.0,0.12,0.12,0.0,0.0,0.0,0.0,0.0,0.11,0.0,0.0,0.1,0.1,0.1,0.1,0.1,0.1,0.0,0.0,0.0,0.0,0.11,0.12,0.15,0.0,0.1,0.1,0.0,0.0,0.1,0.11,0.0,0.0,0.0,0.1,0.1,0.1,0.11,0.0,0.0,0.0,0.0,0.11,0.11,0.1,0.1,0.1,0.11,0.1,0.0,0.0,0.0,0.11,0.0,0.1,0.0,0.0,0.1,0.0,0.1,0.0,0.0,0.1,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29.33
08/05/2021,0.31,0.33,0.28,0.27,0.31,0.29,0.25,0.26,0.22,0.22,0.28,0.21,0.21,0.23,0.21,0.19,0.23,0.23,0.21,0.21,0.21,0.21,0.17,0.2,0.17,0.21,0.21,0.19,0.19,0.17,0.17,0.21,0.19,0.16,0.17,0.17,0.17,0.17,0.17,0.17,0.16,0.16,0.17,0.18,0.18,0.0,0.18,0.16,0.18,0.18,0.18,0.17,0.16,0.16,0.16,0.17,0.17,0.16,0.19,0.16,0.14,0.16,0.17,0.14,0.17,0.16,0.16,0.15,0.16,0.11,0.16,0.15,0.15,0.14,0.14,0.14,0.11,0.13,0.14,0.15,0.15,0.16,0.16,0.14,0.15,0.16,0.16,0.14,0.17,0.16,0.13,0.13,0.13,0.11,0.13,0.13,0.13,0.12,0.12,0.13,0.13,0.13,0.11,0.11,0.14,0.12,0.14,0.12,0.13,0.13,0.16,0.14,0.17,0.12,0.13,0.13,0.12,0.12,0.12,0.12,0.12,0.11,0.13,0.13,0.12,0.11,0.0,0.11,0.11,0.11,0.11,0.15,0.12,0.12,0.13,0.13,0.12,0.12,0.13,0.11,0.12,0.13,0.14,0.13,0.13,0.12,0.11,0.12,0.12,0.12,0.11,0.11,0.11,0.1,0.0,0.11,0.0,0.11,0.11,0.0,0.11,0.0,0.11,0.12,0.11,0.0,0.12,0.11,0.0,0.11,0.12,0.0,0.12,0.12,0.0,0.0,0.1,0.11,0.0,0.0,0.12,0.12,0.0,0.0,0.0,0.0,0.0,0.11,0.0,0.0,0.1,0.1,0.1,0.1,0.1,0.1,0.0,0.0,0.0,0.0,0.11,0.12,0.15,0.0,0.1,0.1,0.0,0.0,0.1,0.11,0.0,0.0,0.0,0.1,0.1,0.1,0.11,0.0,0.0,0.0,0.0,0.11,0.11,0.1,0.1,0.1,0.11,0.1,0.0,0.0,0.0,0.11,0.0,0.1,0.0,0.0,0.1,0.0,0.1,0.0,0.0,0.1,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29.33
08/06/2021,0.31,0.32,0.27,0.27,0.31,0.3,0.25,0.27,0.22,0.22,0.28,0.21,0.2,0.23,0.21,0.19,0.23,0.22,0.2,0.21,0.19,0.2,0.17,0.2,0.17,0.22,0.2,0.19,0.19,0.17,0.17,0.21,0.19,0.17,0.18,0.17,0.17,0.16,0.17,0.17,0.16,0.16,0.17,0.18,0.18,0.0,0.18,0.15,0.18,0.17,0.17,0.2,0.16,0.17,0.16,0.17,0.17,0.16,0.19,0.17,0.14,0.16,0.18,0.15,0.17,0.16,0.15,0.15,0.16,0.12,0.24,0.15,0.15,0.14,0.14,0.14,0.11,0.13,0.14,0.15,0.15,0.16,0.16,0.14,0.15,0.15,0.16,0.14,0.16,0.15,0.13,0.12,0.14,0.11,0.13,0.13,0.14,0.11,0.12,0.12,0.13,0.13,0.11,0.12,0.15,0.12,0.15,0.12,0.12,0.12,0.15,0.14,0.16,0.12,0.13,0.13,0.12,0.12,0.13,0.12,0.12,0.11,0.13,0.13,0.12,0.11,0.1,0.11,0.12,0.11,0.11,0.16,0.12,0.12,0.13,0.12,0.11,0.12,0.13,0.11,0.12,0.13,0.14,0.13,0.13,0.12,0.12,0.11,0.13,0.12,0.11,0.11,0.11,0.1,0.0,0.11,0.1,0.11,0.11,0.0,0.11,0.0,0.11,0.12,0.11,0.0,0.12,0.11,0.0,0.11,0.12,0.0,0.12,0.12,0.0,0.0,0.0,0.12,0.11,0.0,0.11,0.12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.1,0.0,0.0,0.0,0.11,0.12,0.19,0.1,0.1,0.0,0.0,0.0,0.1,0.11,0.1,0.0,0.0,0.1,0.1,0.1,0.11,0.0,0.1,0.0,0.11,0.11,0.11,0.0,0.1,0.1,0.11,0.1,0.0,0.0,0.0,0.11,0.0,0.1,0.0,0.0,0.1,0.0,0.0,0.1,0.0,0.1,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29.42
08/10/2021,0.33,0.32,0.27,0.27,0.31,0.29,0.25,0.27,0.22,0.21,0.28,0.22,0.21,0.24,0.21,0.19,0.23,0.21,0.19,0.22,0.14,0.2,0.17,0.2,0.18,0.21,0.21,0.2,0.19,0.18,0.17,0.21,0.19,0.18,0.16,0.17,0.18,0.16,0.18,0.18,0.17,0.17,0.17,0.19,0.18,0.0,0.19,0.16,0.18,0.17,0.17,0.21,0.16,0.18,0.16,0.17,0.16,0.16,0.19,0.17,0.14,0.16,0.17,0.15,0.17,0.16,0.16,0.15,0.16,0.12,0.24,0.15,0.15,0.14,0.14,0.14,0.11,0.13,0.13,0.15,0.15,0.16,0.16,0.14,0.15,0.15,0.17,0.13,0.16,0.15,0.13,0.12,0.14,0.11,0.13,0.13,0.14,0.11,0.12,0.12,0.13,0.14,0.12,0.12,0.15,0.13,0.15,0.12,0.13,0.13,0.16,0.14,0.15,0.12,0.13,0.13,0.12,0.12,0.13,0.12,0.12,0.11,0.12,0.14,0.0,0.11,0.0,0.11,0.12,0.12,0.11,0.15,0.12,0.11,0.13,0.12,0.12,0.12,0.14,0.11,0.12,0.13,0.14,0.13,0.13,0.12,0.12,0.11,0.13,0.12,0.11,0.11,0.11,0.0,0.0,0.11,0.0,0.11,0.11,0.0,0.11,0.1,0.0,0.12,0.11,0.22,0.12,0.11,0.0,0.11,0.13,0.11,0.12,0.12,0.11,0.0,0.0,0.11,0.11,0.0,0.11,0.12,0.0,0.0,0.0,0.11,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.0,0.1,0.0,0.0,0.1,0.0,0.1,0.11,0.12,0.16,0.0,0.0,0.0,0.0,0.0,0.0,0.11,0.1,0.0,0.1,0.1,0.0,0.0,0.11,0.0,0.0,0.0,0.0,0.11,0.12,0.1,0.0,0.11,0.11,0.1,0.1,0.0,0.0,0.11,0.0,0.1,0.0,0.0,0.0,0.11,0.0,0.1,0.0,0.0,0.0,0.1,0.0,0.0,0.1,0.11,0.1,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29.67
08/11/2021,0.33,0.32,0.27,0.27,0.31,0.29,0.25,0.27,0.22,0.21,0.28,0.22,0.21,0.24,0.21,0.19,0.23,0.21,0.19,0.22,0.14,0.2,0.17,0.2,0.18,0.21,0.21,0.2,0.19,0.18,0.17,0.21,0.19,0.18,0.16,0.17,0.18,0.16,0.18,0.18,0.17,0.17,0.17,0.19,0.18,0.0,0.19,0.16,0.18,0.17,0.17,0.21,0.16,0.18,0.16,0.17,0.16,0.16,0.19,0.17,0.14,0.16,0.17,0.15,0.17,0.16,0.16,0.15,0.16,0.12,0.24,0.15,0.15,0.14,0.14,0.14,0.11,0.13,0.13,0.15,0.15,0.16,0.16,0.14,0.15,0.15,0.17,0.13,0.16,0.15,0.13,0.12,0.14,0.11,0.13,0.13,0.14,0.11,0.12,0.12,0.13,0.14,0.12,0.12,0.15,0.13,0.15,0.12,0.13,0.13,0.16,0.14,0.15,0.12,0.13,0.13,0.12,0.12,0.13,0.12,0.12,0.11,0.12,0.14,0.0,0.11,0.0,0.11,0.12,0.12,0.11,0.15,0.12,0.11,0.13,0.12,0.12,0.12,0.14,0.11,0.12,0.13,0.14,0.13,0.13,0.12,0.12,0.11,0.13,0.12,0.11,0.11,0.11,0.0,0.0,0.11,0.0,0.11,0.11,0.0,0.11,0.1,0.0,0.12,0.11,0.22,0.12,0.11,0.0,0.11,0.13,0.11,0.12,0.12,0.11,0.0,0.0,0.11,0.11,0.0,0.11,0.12,0.0,0.0,0.0,0.11,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.0,0.1,0.0,0.0,0.1,0.0,0.1,0.11,0.12,0.16,0.0,0.0,0.0,0.0,0.0,0.0,0.11,0.1,0.0,0.1,0.1,0.0,0.0,0.11,0.0,0.0,0.0,0.0,0.11,0.12,0.1,0.0,0.11,0.11,0.1,0.1,0.0,0.0,0.11,0.0,0.1,0.0,0.0,0.0,0.11,0.0,0.1,0.0,0.0,0.0,0.1,0.0,0.0,0.1,0.11,0.1,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29.67
08/12/2021,0.32,0.32,0.27,0.27,0.3,0.29,0.25,0.26,0.22,0.21,0.27,0.22,0.2,0.24,0.21,0.18,0.23,0.21,0.19,0.21,0.15,0.2,0.17,0.2,0.18,0.22,0.2,0.2,0.19,0.17,0.17,0.21,0.18,0.17,0.17,0.17,0.18,0.16,0.17,0.18,0.17,0.17,0.17,0.19,0.18,0.0,0.19,0.16,0.19,0.17,0.18,0.21,0.16,0.18,0.16,0.17,0.16,0.16,0.19,0.17,0.14,0.16,0.17,0.15,0.17,0.16,0.16,0.15,0.16,0.12,0.24,0.15,0.14,0.14,0.14,0.14,0.11,0.13,0.13,0.15,0.15,0.16,0.16,0.14,0.15,0.15,0.17,0.13,0.16,0.16,0.13,0.12,0.14,0.11,0.13,0.13,0.14,0.11,0.12,0.12,0.13,0.14,0.12,0.12,0.15,0.13,0.15,0.12,0.13,0.13,0.16,0.14,0.15,0.12,0.13,0.13,0.12,0.12,0.13,0.12,0.12,0.11,0.12,0.13,0.0,0.11,0.0,0.11,0.11,0.12,0.11,0.16,0.13,0.11,0.13,0.12,0.12,0.12,0.14,0.11,0.12,0.13,0.14,0.13,0.13,0.12,0.12,0.11,0.13,0.13,0.11,0.11,0.11,0.0,0.0,0.11,0.0,0.11,0.11,0.0,0.11,0.0,0.0,0.12,0.11,0.22,0.12,0.11,0.0,0.11,0.13,0.11,0.13,0.12,0.11,0.1,0.0,0.11,0.11,0.0,0.12,0.12,0.0,0.0,0.0,0.11,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.1,0.1,0.0,0.0,0.1,0.0,0.1,0.11,0.12,0.16,0.0,0.0,0.0,0.0,0.0,0.0,0.11,0.1,0.0,0.1,0.1,0.0,0.0,0.11,0.0,0.11,0.0,0.0,0.11,0.12,0.1,0.0,0.11,0.11,0.0,0.0,0.0,0.0,0.11,0.0,0.1,0.0,0.1,0.0,0.11,0.0,0.1,0.0,0.0,0.1,0.1,0.0,0.0,0.0,0.11,0.0,0.1,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29.64
