,2330.TW,700.HK,9988.HK,005930.KS,1299.HK,3690.HK,RELIANCE.NS,388.HK,INFY.NS,939.HK,NIO,JD,2318.HK,000660.KS,HDFC.NS,2269.HK,005935.KQ,2454.TW,2317.TW,BIDU,PDD,XTSLA,1810.HK,035420.KS,ICICIBANK.NS,NTES,035720.KS,D05.SI,TCS.NS,006400.KS,051910.KS,1398.HK,M4B.,O39.SI,005380.KS,3988.HK,YUMC,HINDUNILVR.NS,HKD,2020.HK,2331.HK,600519.SS,AXISBANK.NS,669.HK,U11.SI,BY6.,2303.TW,068270.KS,BAJFINANCE.NS,005490.KS,BBCA.JK,2308.TW,2382.HK,000270.KS,16.HK,2313.HK,1.HK,823.HK,2603.TW,105560.KS,27.HK,175.HK,2319.HK,3.HK,BILI,2002.TW,2881.TW,BHARTIARTL.NS,TCOM,012330.KS,6098.HK,066570.KS,1303.TW,2.HK,LI,ASIANPAINT.NS,055550.KS,11.HK,051900.KS,PBBANK.KL,2412.TW,2882.TW,Z74.SI,BEKE,2688.HK,BBRI.JK,1301.TW,BGNE,XPEV,HCLTECH.NS,1113.HK,2891.TW,CHL.,1801.HK,LT.NS,291.HK,MARUTI.NS,1216.TW,207940.KS,SNPMF,2609.TW,096770.KS,ZLAB,2388.HK,J36.SI,ZTO,3711.TW,INR,1109.HK,KOTAKBANK.NS,2886.TW,PTT-R.BK,036570.KS,086790.KS,EDU,2884.TW,011200.KS,CPALL-R.BK,2357.TW,1326.TW,017670.KS,1093.HK,TLKM.JK,028260.KS,2885.TW,3008.TW,3034.TW,000858.SZ,SBIN.NS,857.HK,2333.HK,600036.SS,1997.HK,TME,1177.HK,300750.SZ,HTHT,960.HK,968.HK,WIPRO.NS,SCVUF,1928.HK,TATASTEEL.NS,ULTRACEMCO.NS,2892.TW,2327.TW,TAL,6.HK,688.HK,DRREDDY.NS,2899.HK,1101.TW,5871.TW,66.HK,2382.TW,TECHM.NS,M&M.NS,268.HK,6415.TW,1288.HK,384.HK,009150.KS,288.HK,241.HK,ITC.NS,NESTLEIND.NS,992.HK,17.HK,DIVISLAB.NS,2007.HK,HINDALCO.NS,091990.KQ,033780.KS,VIPS,TITAN.NS,2601.HK,AOT-R.BK,BMRI.JK,TATAMOTORS.NS,A17U.SI,NTPC.NS,2379.TW,DMART.NS,FUTU,C31.SI,C38U.SI,MAYBANK.KL,12.HK,1918.HK,SUNPHARMA.NS,SMPH.PM,003550.KS,JSWSTEEL.NS,034730.KS,5880.TW,1821.HK,6862.HK,586.HK,2409.TW,3481.TW,BDMS-R.BK,1919.HK,2883.TW,HDFCLIFE.NS,090430.KS,POWERGRID.NS,1088.HK,TWD,KRW,6969.HK,6690.HK,F34.SI,853.HK,DELTA-R.BK,TATACONSUM.NS,9930.TW,2359.HK,6186.HK,5876.TW,ASII.JK,CNH,CIMB.KL,BJFIN.NS,SBILIFE.NS,S68.SI,267.HK,2880.TW,916.HK,868.HK,AQE.,1658.HK,APOLLOHOSP.NS,NVAA.,BAJAJFINSV.NS,2887.TW,SE,1548.HK,1772.HK,NAUKRI.NS,6488,CLI.SI,2912.TW,3037.TW,2207.TW,CLV.,9CI.SI,GRASIM.NS,ADANITRANS.NS,SUM
09/07/2021,7.59,4.99,4.43,4.34,1.99,1.75,1.28,1.07,1.09,0.96,0.76,0.95,0.67,0.7,0.89,0.74,0.7,0.71,0.7,0.62,0.62,0.41,0.65,0.66,0.7,0.51,0.58,0.56,0.67,0.5,0.4,0.44,0.45,0.4,0.36,0.38,0.36,0.43,0.0,0.32,0.39,0.29,0.35,0.43,0.31,0.36,0.41,0.32,0.39,0.31,0.35,0.27,0.31,0.27,0.23,0.26,0.26,0.26,0.16,0.25,0.18,0.29,0.27,0.25,0.19,0.22,0.27,0.31,0.22,0.22,0.18,0.2,0.23,0.22,0.22,0.24,0.2,0.19,0.16,0.2,0.2,0.23,0.2,0.0,0.22,0.21,0.2,0.21,0.21,0.24,0.18,0.2,0.17,0.14,0.22,0.18,0.17,0.17,0.19,0.17,0.1,0.15,0.15,0.16,0.16,0.18,0.2,0.24,0.17,0.19,0.17,0.16,0.12,0.16,0.0,0.16,0.12,0.16,0.13,0.15,0.0,0.16,0.16,0.13,0.12,0.14,0.14,0.11,0.15,0.13,0.18,0.14,0.11,0.0,0.13,0.15,0.12,0.12,0.16,0.17,0.14,0.11,0.19,0.15,0.11,0.1,0.0,0.12,0.12,0.11,0.11,0.12,0.16,0.13,0.11,0.17,0.12,0.12,0.16,0.12,0.13,0.12,0.0,0.1,0.11,0.13,0.11,0.1,0.13,0.12,0.14,0.12,0.11,0.1,0.14,0.11,0.11,0.11,0.0,0.1,0.1,0.11,0.12,0.0,0.11,0.1,0.11,0.1,0.0,0.13,0.1,0.1,0.11,0.1,0.11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.11,0.0,0.0,0.1,0.0,0.0,0.12,0.12,0.0,0.0,0.1,0.0,0.0,0.0,0.1,0.0,0.1,0.0,0.1,0.0,0.1,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.12,0.0,0.34,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,74.0
09/08/2021,7.59,4.99,4.43,4.34,1.99,1.75,1.28,1.07,1.09,0.96,0.76,0.95,0.67,0.7,0.89,0.74,0.7,0.71,0.7,0.62,0.62,0.41,0.65,0.66,0.7,0.51,0.58,0.56,0.67,0.5,0.4,0.44,0.45,0.4,0.36,0.38,0.36,0.43,0.0,0.32,0.39,0.29,0.35,0.43,0.31,0.36,0.41,0.32,0.39,0.31,0.35,0.27,0.31,0.27,0.23,0.26,0.26,0.26,0.16,0.25,0.18,0.29,0.27,0.25,0.19,0.22,0.27,0.31,0.22,0.22,0.18,0.2,0.23,0.22,0.22,0.24,0.2,0.19,0.16,0.2,0.2,0.23,0.2,0.0,0.22,0.21,0.2,0.21,0.21,0.24,0.18,0.2,0.17,0.14,0.22,0.18,0.17,0.17,0.19,0.17,0.1,0.15,0.15,0.16,0.16,0.18,0.2,0.24,0.17,0.19,0.17,0.16,0.12,0.16,0.0,0.16,0.12,0.16,0.13,0.15,0.0,0.16,0.16,0.13,0.12,0.14,0.14,0.11,0.15,0.13,0.18,0.14,0.11,0.0,0.13,0.15,0.12,0.12,0.16,0.17,0.14,0.11,0.19,0.15,0.11,0.1,0.0,0.12,0.12,0.11,0.11,0.12,0.16,0.13,0.11,0.17,0.12,0.12,0.16,0.12,0.13,0.12,0.0,0.1,0.11,0.13,0.11,0.1,0.13,0.12,0.14,0.12,0.11,0.1,0.14,0.11,0.11,0.11,0.0,0.1,0.1,0.11,0.12,0.0,0.11,0.1,0.11,0.1,0.0,0.13,0.1,0.1,0.11,0.1,0.11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.11,0.0,0.0,0.1,0.0,0.0,0.12,0.12,0.0,0.0,0.1,0.0,0.0,0.0,0.1,0.0,0.1,0.0,0.1,0.0,0.1,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.12,0.0,0.34,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,74.0
09/09/2021,7.68,5.11,4.47,4.35,2.01,1.75,1.29,1.08,1.1,0.96,0.75,0.94,0.67,0.68,0.89,0.77,0.7,0.69,0.69,0.62,0.61,0.4,0.63,0.66,0.69,0.51,0.57,0.56,0.66,0.5,0.41,0.44,0.44,0.4,0.36,0.38,0.36,0.43,0.0,0.32,0.39,0.29,0.34,0.43,0.31,0.39,0.4,0.32,0.38,0.3,0.34,0.27,0.3,0.27,0.23,0.26,0.26,0.26,0.15,0.24,0.18,0.3,0.26,0.25,0.19,0.22,0.27,0.3,0.22,0.22,0.18,0.19,0.23,0.22,0.22,0.24,0.2,0.19,0.16,0.2,0.2,0.22,0.2,0.0,0.22,0.21,0.2,0.21,0.21,0.24,0.17,0.2,0.17,0.14,0.22,0.19,0.17,0.17,0.19,0.17,0.0,0.15,0.15,0.16,0.15,0.18,0.2,0.0,0.17,0.18,0.17,0.16,0.12,0.16,0.0,0.16,0.12,0.15,0.13,0.15,0.0,0.16,0.16,0.13,0.12,0.14,0.13,0.11,0.14,0.13,0.18,0.14,0.11,0.0,0.13,0.15,0.12,0.11,0.15,0.17,0.14,0.11,0.19,0.15,0.11,0.1,0.0,0.12,0.12,0.11,0.11,0.12,0.16,0.12,0.11,0.17,0.12,0.12,0.15,0.12,0.12,0.12,0.1,0.0,0.11,0.13,0.11,0.1,0.13,0.12,0.14,0.12,0.11,0.1,0.13,0.11,0.11,0.11,0.0,0.1,0.1,0.11,0.12,0.0,0.11,0.1,0.11,0.1,0.0,0.12,0.0,0.1,0.11,0.1,0.11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.11,0.0,0.1,0.11,0.0,0.0,0.11,0.11,0.0,0.0,0.1,0.1,0.0,0.0,0.0,0.0,0.11,0.0,0.1,0.0,0.1,0.0,0.1,0.0,0.09,0.0,0.1,0.0,0.0,0.1,0.12,0.0,0.33,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,73.84
09/10/2021,7.57,5.22,4.52,4.27,2.02,1.82,1.29,1.09,1.08,0.96,0.75,0.98,0.67,0.67,0.9,0.76,0.7,0.69,0.67,0.63,0.64,0.52,0.63,0.65,0.68,0.52,0.56,0.56,0.65,0.5,0.41,0.44,0.45,0.4,0.35,0.38,0.36,0.42,0.0,0.32,0.42,0.28,0.34,0.43,0.31,0.38,0.39,0.32,0.38,0.31,0.34,0.27,0.3,0.27,0.23,0.26,0.25,0.25,0.16,0.24,0.18,0.3,0.27,0.25,0.2,0.22,0.27,0.31,0.22,0.22,0.17,0.19,0.23,0.22,0.23,0.24,0.2,0.19,0.16,0.2,0.2,0.22,0.2,0.11,0.22,0.21,0.2,0.22,0.22,0.24,0.17,0.2,0.17,0.14,0.21,0.18,0.17,0.17,0.19,0.17,0.1,0.15,0.16,0.16,0.16,0.19,0.19,0.0,0.17,0.18,0.17,0.15,0.12,0.16,0.0,0.16,0.12,0.15,0.13,0.15,0.0,0.16,0.16,0.13,0.12,0.14,0.13,0.11,0.14,0.13,0.18,0.14,0.12,0.0,0.12,0.15,0.13,0.11,0.15,0.17,0.14,0.11,0.19,0.15,0.11,0.1,0.0,0.12,0.12,0.1,0.11,0.12,0.16,0.12,0.11,0.17,0.12,0.12,0.15,0.12,0.12,0.12,0.1,0.0,0.11,0.13,0.11,0.1,0.13,0.11,0.14,0.12,0.11,0.1,0.13,0.11,0.11,0.11,0.0,0.1,0.0,0.11,0.12,0.0,0.11,0.1,0.11,0.1,0.0,0.12,0.1,0.1,0.11,0.1,0.11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.11,0.0,0.1,0.11,0.0,0.0,0.12,0.11,0.0,0.0,0.1,0.1,0.0,0.0,0.0,0.0,0.1,0.0,0.1,0.0,0.1,0.0,0.1,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.12,0.0,0.33,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,74.06
09/13/2021,7.64,4.95,4.37,4.27,2.02,1.79,1.31,1.09,1.09,0.98,0.73,0.97,0.67,0.67,0.92,0.78,0.71,0.7,0.67,0.63,0.64,0.53,0.61,0.59,0.7,0.5,0.48,0.57,0.66,0.49,0.41,0.44,0.46,0.4,0.35,0.39,0.36,0.44,0.11,0.33,0.41,0.28,0.34,0.42,0.31,0.38,0.4,0.31,0.38,0.32,0.35,0.27,0.3,0.27,0.24,0.26,0.25,0.26,0.16,0.24,0.19,0.29,0.28,0.25,0.19,0.23,0.28,0.32,0.22,0.22,0.17,0.18,0.23,0.22,0.23,0.24,0.2,0.19,0.15,0.2,0.2,0.23,0.2,0.0,0.22,0.2,0.2,0.22,0.21,0.25,0.17,0.2,0.17,0.13,0.22,0.18,0.17,0.16,0.18,0.16,0.0,0.15,0.14,0.16,0.15,0.19,0.2,0.0,0.17,0.19,0.17,0.16,0.12,0.16,0.0,0.16,0.12,0.15,0.13,0.15,0.0,0.16,0.16,0.13,0.12,0.14,0.13,0.11,0.15,0.13,0.18,0.14,0.12,0.0,0.12,0.15,0.13,0.11,0.15,0.17,0.13,0.12,0.2,0.15,0.11,0.1,0.0,0.12,0.12,0.11,0.11,0.12,0.17,0.13,0.11,0.17,0.12,0.11,0.16,0.13,0.12,0.12,0.0,0.0,0.12,0.13,0.11,0.1,0.13,0.11,0.14,0.11,0.11,0.0,0.14,0.11,0.11,0.12,0.0,0.1,0.1,0.11,0.12,0.0,0.11,0.1,0.11,0.1,0.0,0.12,0.1,0.1,0.11,0.1,0.11,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.1,0.11,0.0,0.0,0.11,0.0,0.0,0.13,0.11,0.0,0.0,0.1,0.1,0.0,0.0,0.0,0.0,0.11,0.0,0.1,0.0,0.1,0.0,0.0,0.0,0.1,0.0,0.1,0.0,0.0,0.1,0.12,0.0,0.31,0.1,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,73.75
09/14/2021,7.63,5.01,4.51,4.23,2.04,1.85,1.3,1.1,1.08,0.98,0.71,0.96,0.66,0.68,0.91,0.76,0.69,0.71,0.67,0.63,0.63,0.38,0.61,0.6,0.69,0.49,0.48,0.57,0.66,0.49,0.4,0.44,0.47,0.41,0.34,0.4,0.35,0.43,0.11,0.34,0.41,0.29,0.34,0.42,0.31,0.37,0.4,0.3,0.38,0.31,0.34,0.27,0.3,0.26,0.24,0.26,0.26,0.26,0.17,0.24,0.19,0.29,0.28,0.25,0.19,0.23,0.27,0.32,0.22,0.21,0.17,0.19,0.23,0.22,0.22,0.24,0.2,0.19,0.15,0.2,0.2,0.23,0.21,0.0,0.22,0.2,0.2,0.22,0.2,0.24,0.17,0.2,0.17,0.14,0.21,0.18,0.17,0.17,0.18,0.16,0.1,0.15,0.14,0.16,0.15,0.18,0.21,0.0,0.17,0.19,0.17,0.16,0.12,0.16,0.0,0.16,0.12,0.15,0.13,0.15,0.0,0.16,0.16,0.13,0.12,0.13,0.14,0.11,0.15,0.13,0.18,0.14,0.12,0.0,0.13,0.15,0.12,0.12,0.15,0.17,0.13,0.11,0.19,0.15,0.11,0.1,0.0,0.12,0.12,0.11,0.12,0.12,0.17,0.13,0.11,0.17,0.12,0.11,0.16,0.13,0.12,0.12,0.0,0.0,0.11,0.13,0.11,0.1,0.13,0.12,0.14,0.11,0.11,0.0,0.14,0.11,0.11,0.11,0.0,0.1,0.1,0.11,0.12,0.0,0.11,0.1,0.11,0.0,0.0,0.12,0.1,0.1,0.11,0.0,0.11,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.1,0.11,0.0,0.0,0.11,0.0,0.0,0.12,0.11,0.0,0.0,0.1,0.1,0.0,0.0,0.0,0.0,0.11,0.0,0.1,0.0,0.1,0.0,0.1,0.0,0.1,0.0,0.1,0.0,0.0,0.1,0.12,0.0,0.31,0.1,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,73.67
09/15/2021,7.63,5.01,4.51,4.23,2.04,1.85,1.3,1.1,1.08,0.98,0.71,0.96,0.66,0.68,0.91,0.76,0.69,0.71,0.67,0.63,0.63,0.38,0.61,0.6,0.69,0.49,0.48,0.57,0.66,0.49,0.4,0.44,0.47,0.41,0.34,0.4,0.35,0.43,0.11,0.34,0.41,0.29,0.34,0.42,0.31,0.37,0.4,0.3,0.38,0.31,0.34,0.27,0.3,0.26,0.24,0.26,0.26,0.26,0.17,0.24,0.19,0.29,0.28,0.25,0.19,0.23,0.27,0.32,0.22,0.21,0.17,0.19,0.23,0.22,0.22,0.24,0.2,0.19,0.15,0.2,0.2,0.23,0.21,0.0,0.22,0.2,0.2,0.22,0.2,0.24,0.17,0.2,0.17,0.14,0.21,0.18,0.17,0.17,0.18,0.16,0.1,0.15,0.14,0.16,0.15,0.18,0.21,0.0,0.17,0.19,0.17,0.16,0.12,0.16,0.0,0.16,0.12,0.15,0.13,0.15,0.0,0.16,0.16,0.13,0.12,0.13,0.14,0.11,0.15,0.13,0.18,0.14,0.12,0.0,0.13,0.15,0.12,0.12,0.15,0.17,0.13,0.11,0.19,0.15,0.11,0.1,0.0,0.12,0.12,0.11,0.12,0.12,0.17,0.13,0.11,0.17,0.12,0.11,0.16,0.13,0.12,0.12,0.0,0.0,0.11,0.13,0.11,0.1,0.13,0.12,0.14,0.11,0.11,0.0,0.14,0.11,0.11,0.11,0.0,0.1,0.1,0.11,0.12,0.0,0.11,0.1,0.11,0.0,0.0,0.12,0.1,0.1,0.11,0.0,0.11,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.1,0.11,0.0,0.0,0.11,0.0,0.0,0.12,0.11,0.0,0.0,0.1,0.1,0.0,0.0,0.0,0.0,0.11,0.0,0.1,0.0,0.1,0.0,0.1,0.0,0.1,0.0,0.1,0.0,0.0,0.1,0.12,0.0,0.31,0.1,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,73.67
09/16/2021,7.6,4.93,4.36,4.3,2.04,1.79,1.28,1.12,1.09,1.0,0.73,0.97,0.66,0.69,0.92,0.75,0.69,0.72,0.67,0.63,0.63,0.39,0.6,0.6,0.69,0.49,0.46,0.57,0.67,0.48,0.41,0.45,0.47,0.4,0.34,0.4,0.36,0.43,0.11,0.33,0.4,0.29,0.34,0.43,0.31,0.37,0.39,0.3,0.38,0.33,0.35,0.27,0.3,0.26,0.24,0.26,0.26,0.25,0.17,0.24,0.18,0.29,0.28,0.25,0.18,0.24,0.29,0.32,0.21,0.21,0.17,0.18,0.23,0.22,0.22,0.24,0.2,0.19,0.15,0.2,0.2,0.23,0.21,0.0,0.22,0.2,0.2,0.23,0.21,0.25,0.18,0.2,0.17,0.14,0.22,0.17,0.17,0.17,0.18,0.17,0.1,0.15,0.14,0.16,0.15,0.19,0.2,0.0,0.17,0.19,0.17,0.16,0.12,0.16,0.0,0.16,0.12,0.15,0.13,0.15,0.0,0.16,0.16,0.13,0.12,0.14,0.13,0.11,0.15,0.13,0.18,0.15,0.11,0.0,0.13,0.15,0.12,0.12,0.15,0.17,0.14,0.11,0.2,0.15,0.11,0.1,0.0,0.12,0.12,0.11,0.13,0.12,0.17,0.13,0.11,0.17,0.12,0.11,0.16,0.13,0.12,0.12,0.1,0.0,0.12,0.13,0.1,0.1,0.13,0.11,0.15,0.11,0.11,0.0,0.14,0.11,0.11,0.11,0.0,0.1,0.1,0.11,0.12,0.0,0.11,0.1,0.11,0.1,0.0,0.12,0.1,0.1,0.11,0.1,0.11,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.1,0.11,0.0,0.0,0.12,0.0,0.0,0.1,0.11,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.11,0.0,0.1,0.0,0.1,0.0,0.0,0.0,0.1,0.0,0.1,0.0,0.0,0.1,0.13,0.0,0.31,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,73.57
09/17/2021,7.61,4.9,4.32,4.36,2.04,1.78,1.28,1.12,1.09,0.98,0.72,0.94,0.65,0.7,0.92,0.77,0.71,0.74,0.68,0.62,0.62,0.21,0.6,0.59,0.69,0.47,0.46,0.58,0.68,0.5,0.4,0.44,0.46,0.41,0.35,0.4,0.36,0.43,0.0,0.33,0.4,0.29,0.35,0.42,0.31,0.38,0.39,0.3,0.38,0.32,0.35,0.27,0.29,0.26,0.23,0.26,0.26,0.26,0.16,0.25,0.18,0.29,0.27,0.25,0.18,0.24,0.29,0.32,0.2,0.21,0.16,0.18,0.23,0.22,0.22,0.25,0.2,0.19,0.15,0.2,0.2,0.23,0.21,0.0,0.21,0.2,0.21,0.24,0.21,0.26,0.18,0.2,0.17,0.14,0.22,0.17,0.18,0.17,0.18,0.17,0.1,0.16,0.14,0.16,0.15,0.18,0.2,0.0,0.17,0.2,0.17,0.16,0.12,0.16,0.0,0.16,0.12,0.15,0.13,0.15,0.0,0.16,0.17,0.13,0.12,0.13,0.13,0.11,0.15,0.14,0.18,0.14,0.11,0.0,0.13,0.16,0.12,0.11,0.15,0.18,0.13,0.11,0.2,0.15,0.12,0.1,0.0,0.12,0.12,0.11,0.12,0.13,0.18,0.13,0.11,0.17,0.12,0.11,0.17,0.13,0.12,0.13,0.1,0.0,0.12,0.13,0.11,0.1,0.13,0.11,0.15,0.11,0.11,0.0,0.14,0.11,0.11,0.11,0.1,0.1,0.1,0.11,0.12,0.0,0.0,0.11,0.11,0.1,0.0,0.12,0.1,0.0,0.11,0.1,0.11,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.1,0.11,0.0,0.1,0.11,0.0,0.0,0.0,0.11,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.11,0.0,0.1,0.0,0.1,0.0,0.1,0.1,0.0,0.0,0.1,0.0,0.0,0.1,0.12,0.0,0.32,0.1,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,73.41
09/20/2021,7.58,4.76,4.2,4.41,1.95,1.72,1.34,1.11,1.13,0.99,0.72,0.95,0.66,0.69,0.93,0.77,0.72,0.74,0.69,0.63,0.62,0.25,0.59,0.6,0.72,0.48,0.46,0.58,0.7,0.49,0.4,0.45,0.45,0.41,0.35,0.4,0.33,0.44,0.0,0.32,0.4,0.29,0.36,0.42,0.32,0.37,0.4,0.31,0.39,0.33,0.35,0.27,0.29,0.27,0.23,0.26,0.26,0.25,0.16,0.25,0.14,0.28,0.28,0.26,0.17,0.23,0.29,0.34,0.21,0.22,0.14,0.18,0.24,0.23,0.22,0.25,0.2,0.19,0.16,0.2,0.21,0.24,0.21,0.0,0.21,0.2,0.21,0.25,0.21,0.27,0.17,0.21,0.17,0.14,0.23,0.17,0.18,0.17,0.18,0.17,0.1,0.15,0.14,0.16,0.15,0.19,0.2,0.0,0.16,0.2,0.17,0.17,0.12,0.17,0.0,0.16,0.12,0.16,0.14,0.16,0.0,0.15,0.17,0.13,0.12,0.13,0.13,0.11,0.16,0.15,0.16,0.14,0.11,0.0,0.12,0.15,0.12,0.11,0.15,0.18,0.14,0.0,0.2,0.15,0.12,0.1,0.0,0.12,0.12,0.11,0.12,0.13,0.18,0.13,0.11,0.18,0.13,0.11,0.16,0.13,0.12,0.12,0.1,0.0,0.13,0.13,0.11,0.1,0.13,0.0,0.15,0.12,0.11,0.0,0.15,0.11,0.11,0.12,0.0,0.11,0.11,0.11,0.13,0.0,0.0,0.11,0.11,0.1,0.0,0.13,0.1,0.1,0.11,0.11,0.11,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.11,0.11,0.0,0.11,0.11,0.0,0.0,0.1,0.1,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.11,0.0,0.1,0.0,0.1,0.0,0.1,0.1,0.0,0.0,0.0,0.0,0.1,0.1,0.13,0.1,0.34,0.1,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,73.46000000000001
09/21/2021,7.54,4.85,4.28,4.44,1.94,1.77,1.31,1.11,1.12,0.99,0.73,0.95,0.62,0.71,0.93,0.81,0.72,0.74,0.69,0.64,0.63,0.22,0.6,0.6,0.71,0.47,0.45,0.58,0.68,0.48,0.39,0.44,0.44,0.41,0.35,0.4,0.33,0.43,0.0,0.33,0.43,0.3,0.36,0.41,0.32,0.38,0.39,0.32,0.39,0.32,0.35,0.26,0.3,0.27,0.23,0.26,0.25,0.25,0.16,0.25,0.15,0.28,0.29,0.25,0.17,0.23,0.29,0.35,0.21,0.21,0.15,0.18,0.24,0.22,0.22,0.24,0.2,0.19,0.15,0.2,0.21,0.23,0.21,0.0,0.21,0.25,0.21,0.26,0.21,0.27,0.17,0.2,0.17,0.15,0.23,0.17,0.18,0.17,0.19,0.17,0.1,0.15,0.14,0.16,0.15,0.19,0.19,0.0,0.17,0.21,0.17,0.16,0.12,0.16,0.0,0.16,0.12,0.16,0.14,0.15,0.0,0.16,0.17,0.13,0.12,0.13,0.13,0.11,0.16,0.15,0.17,0.14,0.11,0.0,0.12,0.16,0.12,0.11,0.15,0.18,0.14,0.0,0.19,0.15,0.12,0.1,0.0,0.12,0.11,0.11,0.11,0.13,0.17,0.13,0.11,0.18,0.13,0.11,0.16,0.13,0.12,0.12,0.1,0.0,0.13,0.13,0.11,0.0,0.13,0.1,0.15,0.12,0.11,0.0,0.14,0.11,0.11,0.11,0.0,0.11,0.11,0.11,0.13,0.0,0.0,0.11,0.11,0.1,0.0,0.12,0.1,0.1,0.11,0.11,0.11,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.1,0.11,0.0,0.11,0.11,0.0,0.0,0.1,0.11,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.11,0.0,0.1,0.0,0.1,0.0,0.1,0.1,0.1,0.0,0.1,0.0,0.1,0.0,0.13,0.0,0.33,0.1,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,73.56
09/22/2021,7.54,4.85,4.28,4.44,1.94,1.77,1.31,1.11,1.12,0.99,0.73,0.95,0.62,0.71,0.93,0.81,0.72,0.74,0.69,0.64,0.63,0.22,0.6,0.6,0.71,0.47,0.45,0.58,0.68,0.48,0.39,0.44,0.44,0.41,0.35,0.4,0.33,0.43,0.0,0.33,0.43,0.3,0.36,0.41,0.32,0.38,0.39,0.32,0.39,0.32,0.35,0.26,0.3,0.27,0.23,0.26,0.25,0.25,0.16,0.25,0.15,0.28,0.29,0.25,0.17,0.23,0.29,0.35,0.21,0.21,0.15,0.18,0.24,0.22,0.22,0.24,0.2,0.19,0.15,0.2,0.21,0.23,0.21,0.0,0.21,0.25,0.21,0.26,0.21,0.27,0.17,0.2,0.17,0.15,0.23,0.17,0.18,0.17,0.19,0.17,0.1,0.15,0.14,0.16,0.15,0.19,0.19,0.0,0.17,0.21,0.17,0.16,0.12,0.16,0.0,0.16,0.12,0.16,0.14,0.15,0.0,0.16,0.17,0.13,0.12,0.13,0.13,0.11,0.16,0.15,0.17,0.14,0.11,0.0,0.12,0.16,0.12,0.11,0.15,0.18,0.14,0.0,0.19,0.15,0.12,0.1,0.0,0.12,0.11,0.11,0.11,0.13,0.17,0.13,0.11,0.18,0.13,0.11,0.16,0.13,0.12,0.12,0.1,0.0,0.13,0.13,0.11,0.0,0.13,0.1,0.15,0.12,0.11,0.0,0.14,0.11,0.11,0.11,0.0,0.11,0.11,0.11,0.13,0.0,0.0,0.11,0.11,0.1,0.0,0.12,0.1,0.1,0.11,0.11,0.11,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.1,0.11,0.0,0.11,0.11,0.0,0.0,0.1,0.11,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.11,0.0,0.1,0.0,0.1,0.0,0.1,0.1,0.1,0.0,0.1,0.0,0.1,0.0,0.13,0.0,0.33,0.1,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,73.56
