,CARR,DFS,IFF,MSI,CTVA,WLTW,GLW,DHI,VLO,WELL,FCX,NUE,KKR,DAL,AMP,FITB,WEC,STT,AVB,EQR,AJG,WY,AWK,CBRE,ES,MXIM,LEN,BBY,LH,DTE,KEYS,ED,SYF,IP,CCL,OXY,URI,NTRS,CDW,OKE,TSN,HIG,FTV,VIAC,AIG,RF,PPL,KEY,CLX,WDC,GRMN,DOV,CFG,EIX,SPG,ETR,AEE,VTR,QRVO,MTB,HPE,FE,GWW,ALLY,STX,APTV,RCL,MPC,ALB,NDAQ,ESS,HAL,GPC,CE,KMX,DRI,IR,CINF,ADM,VTRS,J,ALXN,PSX,MAA,AVY,UAL,LUV,CMS,PEAK,PFG,OMC,CAG,DGX,HLT,DRE,NTAP,EMN,OTIS,ELAN,MGM,AES,BKR,K,BXP,CAH,ABC,RJF,HOLX,HBAN,AZO,WMB,TXT,ACGL,WRK,ROK,MCK,NLOK,LUMN,PCG,LYB,WHR,NEM,XRAY,PHM,SJM,LNT,UDR,PKG,EVRG,CCK,EQH,SNA,CNP,BLL,KR,L,WPC,FNF,CHRW,LBRDK,NLY,O,IRM,HAS,FOXA,AAP,NWSA,BWA,CPT,UHS,RPRX,HES,HSIC,DISH,RE,WRB,BEN,WU,NI,GL,CPB,DISCK,DVA,MKL,VST,AAL,FMC,FBHS,LSXMK,DKNG,IPG,HRL,LNC,HST,MHK,LEA,FFIV,CF,FOX,VER,TAP,HUBB,AGNC,DISCA,PNW,Y,ARMK,JNPR,NRG,LDOS,LSXMA,AGR,XPO,OPEN,LBRDA,QS,WLK,AGL,NWS,LEN.B,AMC,DLTR,STE,LB,GME,CBOE,REG,LBEUR,n/a,SUM
07/23/2021,1.28,1.09,1.13,1.12,0.99,0.9,0.95,0.89,0.97,1.05,0.0,0.87,0.5,0.84,0.88,0.82,0.85,0.83,0.88,0.83,0.88,0.78,0.85,0.83,0.84,0.86,0.83,0.79,0.82,0.76,0.86,0.75,0.86,0.73,0.66,0.84,0.7,0.69,0.74,0.75,0.66,0.67,0.68,0.79,0.62,0.59,0.62,0.61,0.68,0.63,0.67,0.66,0.59,0.67,0.65,0.61,0.62,0.65,0.67,0.57,0.58,0.61,0.59,0.56,0.55,0.0,0.28,0.6,0.6,0.61,0.59,0.59,0.55,0.52,0.64,0.58,0.56,0.54,0.51,0.52,0.53,0.62,0.57,0.59,0.53,0.51,0.48,0.52,0.54,0.52,0.52,0.53,0.52,0.25,0.54,0.55,0.48,0.53,0.5,0.27,0.53,0.51,0.5,0.49,0.5,0.5,0.49,0.52,0.64,0.5,0.49,0.47,0.45,0.43,0.5,0.46,0.46,0.46,0.46,0.42,0.41,0.0,0.42,0.41,0.41,0.42,0.44,0.39,0.42,0.42,0.4,0.37,0.43,0.4,0.4,0.37,0.4,0.36,0.38,0.4,0.38,0.38,0.37,0.37,0.37,0.41,0.36,0.35,0.39,0.33,0.39,0.37,0.32,0.31,0.31,0.3,0.29,0.29,0.29,0.27,0.27,0.28,0.25,0.25,0.27,0.21,0.21,0.21,0.22,0.0,0.19,0.39,0.17,0.18,0.16,0.16,0.17,0.17,0.16,0.16,0.15,0.15,0.13,0.15,0.14,0.13,0.14,0.14,0.15,0.22,0.1,0.12,0.1,0.12,0.06,0.06,0.0,0.07,0.0,0.0,0.85,0.35,0.3,0.24,0.19,0.19,0.08,0.0,0.0,99.77
07/26/2021,1.28,1.09,1.13,1.12,0.99,0.9,0.95,0.89,0.97,1.05,0.0,0.87,0.5,0.84,0.88,0.82,0.85,0.83,0.88,0.83,0.88,0.78,0.85,0.83,0.84,0.86,0.83,0.79,0.82,0.76,0.86,0.75,0.86,0.73,0.66,0.84,0.7,0.69,0.74,0.75,0.66,0.67,0.68,0.79,0.62,0.59,0.62,0.61,0.68,0.63,0.67,0.66,0.59,0.67,0.65,0.61,0.62,0.65,0.67,0.57,0.58,0.61,0.59,0.56,0.55,0.0,0.28,0.6,0.6,0.61,0.59,0.59,0.55,0.52,0.64,0.58,0.56,0.54,0.51,0.52,0.53,0.62,0.57,0.59,0.53,0.51,0.48,0.52,0.54,0.52,0.52,0.53,0.52,0.25,0.54,0.55,0.48,0.53,0.5,0.27,0.53,0.51,0.5,0.49,0.5,0.5,0.49,0.52,0.64,0.5,0.49,0.47,0.45,0.43,0.5,0.46,0.46,0.46,0.46,0.42,0.41,0.0,0.42,0.41,0.41,0.42,0.44,0.39,0.42,0.42,0.4,0.37,0.43,0.4,0.4,0.37,0.4,0.36,0.38,0.4,0.38,0.38,0.37,0.37,0.37,0.41,0.36,0.35,0.39,0.33,0.39,0.37,0.32,0.31,0.31,0.3,0.29,0.29,0.29,0.27,0.27,0.28,0.25,0.25,0.27,0.21,0.21,0.21,0.22,0.0,0.19,0.39,0.17,0.18,0.16,0.16,0.17,0.17,0.16,0.16,0.15,0.15,0.13,0.15,0.14,0.13,0.14,0.14,0.15,0.22,0.1,0.12,0.1,0.12,0.06,0.06,0.0,0.07,0.0,0.0,0.85,0.35,0.3,0.24,0.19,0.19,0.08,0.0,0.0,99.77
07/27/2021,1.28,1.09,1.13,1.12,0.99,0.9,0.95,0.89,0.97,1.05,0.0,0.87,0.5,0.84,0.88,0.82,0.85,0.83,0.88,0.83,0.88,0.78,0.85,0.83,0.84,0.86,0.83,0.79,0.82,0.76,0.86,0.75,0.86,0.73,0.66,0.84,0.7,0.69,0.74,0.75,0.66,0.67,0.68,0.79,0.62,0.59,0.62,0.61,0.68,0.63,0.67,0.66,0.59,0.67,0.65,0.61,0.62,0.65,0.67,0.57,0.58,0.61,0.59,0.56,0.55,0.0,0.28,0.6,0.6,0.61,0.59,0.59,0.55,0.52,0.64,0.58,0.56,0.54,0.51,0.52,0.53,0.62,0.57,0.59,0.53,0.51,0.48,0.52,0.54,0.52,0.52,0.53,0.52,0.25,0.54,0.55,0.48,0.53,0.5,0.27,0.53,0.51,0.5,0.49,0.5,0.5,0.49,0.52,0.64,0.5,0.49,0.47,0.45,0.43,0.5,0.46,0.46,0.46,0.46,0.42,0.41,0.0,0.42,0.41,0.41,0.42,0.44,0.39,0.42,0.42,0.4,0.37,0.43,0.4,0.4,0.37,0.4,0.36,0.38,0.4,0.38,0.38,0.37,0.37,0.37,0.41,0.36,0.35,0.39,0.33,0.39,0.37,0.32,0.31,0.31,0.3,0.29,0.29,0.29,0.27,0.27,0.28,0.25,0.25,0.27,0.21,0.21,0.21,0.22,0.0,0.19,0.39,0.17,0.18,0.16,0.16,0.17,0.17,0.16,0.16,0.15,0.15,0.13,0.15,0.14,0.13,0.14,0.14,0.15,0.22,0.1,0.12,0.1,0.12,0.06,0.06,0.0,0.07,0.0,0.0,0.85,0.35,0.3,0.24,0.19,0.19,0.08,0.0,0.0,99.77
07/28/2021,1.28,1.09,1.13,1.12,0.99,0.9,0.95,0.89,0.97,1.05,0.0,0.87,0.5,0.84,0.88,0.82,0.85,0.83,0.88,0.83,0.88,0.78,0.85,0.83,0.84,0.86,0.83,0.79,0.82,0.76,0.86,0.75,0.86,0.73,0.66,0.84,0.7,0.69,0.74,0.75,0.66,0.67,0.68,0.79,0.62,0.59,0.62,0.61,0.68,0.63,0.67,0.66,0.59,0.67,0.65,0.61,0.62,0.65,0.67,0.57,0.58,0.61,0.59,0.56,0.55,0.0,0.28,0.6,0.6,0.61,0.59,0.59,0.55,0.52,0.64,0.58,0.56,0.54,0.51,0.52,0.53,0.62,0.57,0.59,0.53,0.51,0.48,0.52,0.54,0.52,0.52,0.53,0.52,0.25,0.54,0.55,0.48,0.53,0.5,0.27,0.53,0.51,0.5,0.49,0.5,0.5,0.49,0.52,0.64,0.5,0.49,0.47,0.45,0.43,0.5,0.46,0.46,0.46,0.46,0.42,0.41,0.0,0.42,0.41,0.41,0.42,0.44,0.39,0.42,0.42,0.4,0.37,0.43,0.4,0.4,0.37,0.4,0.36,0.38,0.4,0.38,0.38,0.37,0.37,0.37,0.41,0.36,0.35,0.39,0.33,0.39,0.37,0.32,0.31,0.31,0.3,0.29,0.29,0.29,0.27,0.27,0.28,0.25,0.25,0.27,0.21,0.21,0.21,0.22,0.0,0.19,0.39,0.17,0.18,0.16,0.16,0.17,0.17,0.16,0.16,0.15,0.15,0.13,0.15,0.14,0.13,0.14,0.14,0.15,0.22,0.1,0.12,0.1,0.12,0.06,0.06,0.0,0.07,0.0,0.0,0.85,0.35,0.3,0.24,0.19,0.19,0.08,0.0,0.0,99.77
07/29/2021,1.28,1.09,1.13,1.12,0.99,0.9,0.95,0.89,0.97,1.05,0.0,0.87,0.5,0.84,0.88,0.82,0.85,0.83,0.88,0.83,0.88,0.78,0.85,0.83,0.84,0.86,0.83,0.79,0.82,0.76,0.86,0.75,0.86,0.73,0.66,0.84,0.7,0.69,0.74,0.75,0.66,0.67,0.68,0.79,0.62,0.59,0.62,0.61,0.68,0.63,0.67,0.66,0.59,0.67,0.65,0.61,0.62,0.65,0.67,0.57,0.58,0.61,0.59,0.56,0.55,0.0,0.28,0.6,0.6,0.61,0.59,0.59,0.55,0.52,0.64,0.58,0.56,0.54,0.51,0.52,0.53,0.62,0.57,0.59,0.53,0.51,0.48,0.52,0.54,0.52,0.52,0.53,0.52,0.25,0.54,0.55,0.48,0.53,0.5,0.27,0.53,0.51,0.5,0.49,0.5,0.5,0.49,0.52,0.64,0.5,0.49,0.47,0.45,0.43,0.5,0.46,0.46,0.46,0.46,0.42,0.41,0.0,0.42,0.41,0.41,0.42,0.44,0.39,0.42,0.42,0.4,0.37,0.43,0.4,0.4,0.37,0.4,0.36,0.38,0.4,0.38,0.38,0.37,0.37,0.37,0.41,0.36,0.35,0.39,0.33,0.39,0.37,0.32,0.31,0.31,0.3,0.29,0.29,0.29,0.27,0.27,0.28,0.25,0.25,0.27,0.21,0.21,0.21,0.22,0.0,0.19,0.39,0.17,0.18,0.16,0.16,0.17,0.17,0.16,0.16,0.15,0.15,0.13,0.15,0.14,0.13,0.14,0.14,0.15,0.22,0.1,0.12,0.1,0.12,0.06,0.06,0.0,0.07,0.0,0.0,0.85,0.35,0.3,0.24,0.19,0.19,0.08,0.0,0.0,99.77
07/30/2021,1.28,1.09,1.13,1.12,0.99,0.9,0.95,0.89,0.97,1.05,0.0,0.87,0.5,0.84,0.88,0.82,0.85,0.83,0.88,0.83,0.88,0.78,0.85,0.83,0.84,0.86,0.83,0.79,0.82,0.76,0.86,0.75,0.86,0.73,0.66,0.84,0.7,0.69,0.74,0.75,0.66,0.67,0.68,0.79,0.62,0.59,0.62,0.61,0.68,0.63,0.67,0.66,0.59,0.67,0.65,0.61,0.62,0.65,0.67,0.57,0.58,0.61,0.59,0.56,0.55,0.0,0.28,0.6,0.6,0.61,0.59,0.59,0.55,0.52,0.64,0.58,0.56,0.54,0.51,0.52,0.53,0.62,0.57,0.59,0.53,0.51,0.48,0.52,0.54,0.52,0.52,0.53,0.52,0.25,0.54,0.55,0.48,0.53,0.5,0.27,0.53,0.51,0.5,0.49,0.5,0.5,0.49,0.52,0.64,0.5,0.49,0.47,0.45,0.43,0.5,0.46,0.46,0.46,0.46,0.42,0.41,0.0,0.42,0.41,0.41,0.42,0.44,0.39,0.42,0.42,0.4,0.37,0.43,0.4,0.4,0.37,0.4,0.36,0.38,0.4,0.38,0.38,0.37,0.37,0.37,0.41,0.36,0.35,0.39,0.33,0.39,0.37,0.32,0.31,0.31,0.3,0.29,0.29,0.29,0.27,0.27,0.28,0.25,0.25,0.27,0.21,0.21,0.21,0.22,0.0,0.19,0.39,0.17,0.18,0.16,0.16,0.17,0.17,0.16,0.16,0.15,0.15,0.13,0.15,0.14,0.13,0.14,0.14,0.15,0.22,0.1,0.12,0.1,0.12,0.06,0.06,0.0,0.07,0.0,0.0,0.85,0.35,0.3,0.24,0.19,0.19,0.08,0.0,0.0,99.77
08/02/2021,1.28,1.09,1.13,1.12,0.99,0.9,0.95,0.89,0.97,1.05,0.0,0.87,0.5,0.84,0.88,0.82,0.85,0.83,0.88,0.83,0.88,0.78,0.85,0.83,0.84,0.86,0.83,0.79,0.82,0.76,0.86,0.75,0.86,0.73,0.66,0.84,0.7,0.69,0.74,0.75,0.66,0.67,0.68,0.79,0.62,0.59,0.62,0.61,0.68,0.63,0.67,0.66,0.59,0.67,0.65,0.61,0.62,0.65,0.67,0.57,0.58,0.61,0.59,0.56,0.55,0.0,0.28,0.6,0.6,0.61,0.59,0.59,0.55,0.52,0.64,0.58,0.56,0.54,0.51,0.52,0.53,0.62,0.57,0.59,0.53,0.51,0.48,0.52,0.54,0.52,0.52,0.53,0.52,0.25,0.54,0.55,0.48,0.53,0.5,0.27,0.53,0.51,0.5,0.49,0.5,0.5,0.49,0.52,0.64,0.5,0.49,0.47,0.45,0.43,0.5,0.46,0.46,0.46,0.46,0.42,0.41,0.0,0.42,0.41,0.41,0.42,0.44,0.39,0.42,0.42,0.4,0.37,0.43,0.4,0.4,0.37,0.4,0.36,0.38,0.4,0.38,0.38,0.37,0.37,0.37,0.41,0.36,0.35,0.39,0.33,0.39,0.37,0.32,0.31,0.31,0.3,0.29,0.29,0.29,0.27,0.27,0.28,0.25,0.25,0.27,0.21,0.21,0.21,0.22,0.0,0.19,0.39,0.17,0.18,0.16,0.16,0.17,0.17,0.16,0.16,0.15,0.15,0.13,0.15,0.14,0.13,0.14,0.14,0.15,0.22,0.1,0.12,0.1,0.12,0.06,0.06,0.0,0.07,0.0,0.0,0.85,0.35,0.3,0.24,0.19,0.19,0.08,0.0,0.0,99.77
08/03/2021,1.28,1.09,1.13,1.12,0.99,0.9,0.95,0.89,0.97,1.05,0.0,0.87,0.5,0.84,0.88,0.82,0.85,0.83,0.88,0.83,0.88,0.78,0.85,0.83,0.84,0.86,0.83,0.79,0.82,0.76,0.86,0.75,0.86,0.73,0.66,0.84,0.7,0.69,0.74,0.75,0.66,0.67,0.68,0.79,0.62,0.59,0.62,0.61,0.68,0.63,0.67,0.66,0.59,0.67,0.65,0.61,0.62,0.65,0.67,0.57,0.58,0.61,0.59,0.56,0.55,0.0,0.28,0.6,0.6,0.61,0.59,0.59,0.55,0.52,0.64,0.58,0.56,0.54,0.51,0.52,0.53,0.62,0.57,0.59,0.53,0.51,0.48,0.52,0.54,0.52,0.52,0.53,0.52,0.25,0.54,0.55,0.48,0.53,0.5,0.27,0.53,0.51,0.5,0.49,0.5,0.5,0.49,0.52,0.64,0.5,0.49,0.47,0.45,0.43,0.5,0.46,0.46,0.46,0.46,0.42,0.41,0.0,0.42,0.41,0.41,0.42,0.44,0.39,0.42,0.42,0.4,0.37,0.43,0.4,0.4,0.37,0.4,0.36,0.38,0.4,0.38,0.38,0.37,0.37,0.37,0.41,0.36,0.35,0.39,0.33,0.39,0.37,0.32,0.31,0.31,0.3,0.29,0.29,0.29,0.27,0.27,0.28,0.25,0.25,0.27,0.21,0.21,0.21,0.22,0.0,0.19,0.39,0.17,0.18,0.16,0.16,0.17,0.17,0.16,0.16,0.15,0.15,0.13,0.15,0.14,0.13,0.14,0.14,0.15,0.22,0.1,0.12,0.1,0.12,0.06,0.06,0.0,0.07,0.0,0.0,0.85,0.35,0.3,0.24,0.19,0.19,0.08,0.0,0.0,99.77
08/04/2021,1.28,1.09,1.13,1.12,0.99,0.9,0.95,0.89,0.97,1.05,0.0,0.87,0.5,0.84,0.88,0.82,0.85,0.83,0.88,0.83,0.88,0.78,0.85,0.83,0.84,0.86,0.83,0.79,0.82,0.76,0.86,0.75,0.86,0.73,0.66,0.84,0.7,0.69,0.74,0.75,0.66,0.67,0.68,0.79,0.62,0.59,0.62,0.61,0.68,0.63,0.67,0.66,0.59,0.67,0.65,0.61,0.62,0.65,0.67,0.57,0.58,0.61,0.59,0.56,0.55,0.0,0.28,0.6,0.6,0.61,0.59,0.59,0.55,0.52,0.64,0.58,0.56,0.54,0.51,0.52,0.53,0.62,0.57,0.59,0.53,0.51,0.48,0.52,0.54,0.52,0.52,0.53,0.52,0.25,0.54,0.55,0.48,0.53,0.5,0.27,0.53,0.51,0.5,0.49,0.5,0.5,0.49,0.52,0.64,0.5,0.49,0.47,0.45,0.43,0.5,0.46,0.46,0.46,0.46,0.42,0.41,0.0,0.42,0.41,0.41,0.42,0.44,0.39,0.42,0.42,0.4,0.37,0.43,0.4,0.4,0.37,0.4,0.36,0.38,0.4,0.38,0.38,0.37,0.37,0.37,0.41,0.36,0.35,0.39,0.33,0.39,0.37,0.32,0.31,0.31,0.3,0.29,0.29,0.29,0.27,0.27,0.28,0.25,0.25,0.27,0.21,0.21,0.21,0.22,0.0,0.19,0.39,0.17,0.18,0.16,0.16,0.17,0.17,0.16,0.16,0.15,0.15,0.13,0.15,0.14,0.13,0.14,0.14,0.15,0.22,0.1,0.12,0.1,0.12,0.06,0.06,0.0,0.07,0.0,0.0,0.85,0.35,0.3,0.24,0.19,0.19,0.08,0.0,0.0,99.77
08/05/2021,1.28,1.09,1.13,1.12,0.99,0.9,0.95,0.89,0.97,1.05,0.0,0.87,0.5,0.84,0.88,0.82,0.85,0.83,0.88,0.83,0.88,0.78,0.85,0.83,0.84,0.86,0.83,0.79,0.82,0.76,0.86,0.75,0.86,0.73,0.66,0.84,0.7,0.69,0.74,0.75,0.66,0.67,0.68,0.79,0.62,0.59,0.62,0.61,0.68,0.63,0.67,0.66,0.59,0.67,0.65,0.61,0.62,0.65,0.67,0.57,0.58,0.61,0.59,0.56,0.55,0.0,0.28,0.6,0.6,0.61,0.59,0.59,0.55,0.52,0.64,0.58,0.56,0.54,0.51,0.52,0.53,0.62,0.57,0.59,0.53,0.51,0.48,0.52,0.54,0.52,0.52,0.53,0.52,0.25,0.54,0.55,0.48,0.53,0.5,0.27,0.53,0.51,0.5,0.49,0.5,0.5,0.49,0.52,0.64,0.5,0.49,0.47,0.45,0.43,0.5,0.46,0.46,0.46,0.46,0.42,0.41,0.0,0.42,0.41,0.41,0.42,0.44,0.39,0.42,0.42,0.4,0.37,0.43,0.4,0.4,0.37,0.4,0.36,0.38,0.4,0.38,0.38,0.37,0.37,0.37,0.41,0.36,0.35,0.39,0.33,0.39,0.37,0.32,0.31,0.31,0.3,0.29,0.29,0.29,0.27,0.27,0.28,0.25,0.25,0.27,0.21,0.21,0.21,0.22,0.0,0.19,0.39,0.17,0.18,0.16,0.16,0.17,0.17,0.16,0.16,0.15,0.15,0.13,0.15,0.14,0.13,0.14,0.14,0.15,0.22,0.1,0.12,0.1,0.12,0.06,0.06,0.0,0.07,0.0,0.0,0.85,0.35,0.3,0.24,0.19,0.19,0.08,0.0,0.0,99.77
08/06/2021,1.28,1.09,1.13,1.12,0.99,0.9,0.95,0.89,0.97,1.05,0.0,0.87,0.5,0.84,0.88,0.82,0.85,0.83,0.88,0.83,0.88,0.78,0.85,0.83,0.84,0.86,0.83,0.79,0.82,0.76,0.86,0.75,0.86,0.73,0.66,0.84,0.7,0.69,0.74,0.75,0.66,0.67,0.68,0.79,0.62,0.59,0.62,0.61,0.68,0.63,0.67,0.66,0.59,0.67,0.65,0.61,0.62,0.65,0.67,0.57,0.58,0.61,0.59,0.56,0.55,0.0,0.28,0.6,0.6,0.61,0.59,0.59,0.55,0.52,0.64,0.58,0.56,0.54,0.51,0.52,0.53,0.62,0.57,0.59,0.53,0.51,0.48,0.52,0.54,0.52,0.52,0.53,0.52,0.25,0.54,0.55,0.48,0.53,0.5,0.27,0.53,0.51,0.5,0.49,0.5,0.5,0.49,0.52,0.64,0.5,0.49,0.47,0.45,0.43,0.5,0.46,0.46,0.46,0.46,0.42,0.41,0.0,0.42,0.41,0.41,0.42,0.44,0.39,0.42,0.42,0.4,0.37,0.43,0.4,0.4,0.37,0.4,0.36,0.38,0.4,0.38,0.38,0.37,0.37,0.37,0.41,0.36,0.35,0.39,0.33,0.39,0.37,0.32,0.31,0.31,0.3,0.29,0.29,0.29,0.27,0.27,0.28,0.25,0.25,0.27,0.21,0.21,0.21,0.22,0.0,0.19,0.39,0.17,0.18,0.16,0.16,0.17,0.17,0.16,0.16,0.15,0.15,0.13,0.15,0.14,0.13,0.14,0.14,0.15,0.22,0.1,0.12,0.1,0.12,0.06,0.06,0.0,0.07,0.0,0.0,0.85,0.35,0.3,0.24,0.19,0.19,0.08,0.0,0.0,99.77
08/09/2021,1.28,1.09,1.13,1.12,0.99,0.9,0.95,0.89,0.97,1.05,0.0,0.87,0.5,0.84,0.88,0.82,0.85,0.83,0.88,0.83,0.88,0.78,0.85,0.83,0.84,0.86,0.83,0.79,0.82,0.76,0.86,0.75,0.86,0.73,0.66,0.84,0.7,0.69,0.74,0.75,0.66,0.67,0.68,0.79,0.62,0.59,0.62,0.61,0.68,0.63,0.67,0.66,0.59,0.67,0.65,0.61,0.62,0.65,0.67,0.57,0.58,0.61,0.59,0.56,0.55,0.0,0.28,0.6,0.6,0.61,0.59,0.59,0.55,0.52,0.64,0.58,0.56,0.54,0.51,0.52,0.53,0.62,0.57,0.59,0.53,0.51,0.48,0.52,0.54,0.52,0.52,0.53,0.52,0.25,0.54,0.55,0.48,0.53,0.5,0.27,0.53,0.51,0.5,0.49,0.5,0.5,0.49,0.52,0.64,0.5,0.49,0.47,0.45,0.43,0.5,0.46,0.46,0.46,0.46,0.42,0.41,0.0,0.42,0.41,0.41,0.42,0.44,0.39,0.42,0.42,0.4,0.37,0.43,0.4,0.4,0.37,0.4,0.36,0.38,0.4,0.38,0.38,0.37,0.37,0.37,0.41,0.36,0.35,0.39,0.33,0.39,0.37,0.32,0.31,0.31,0.3,0.29,0.29,0.29,0.27,0.27,0.28,0.25,0.25,0.27,0.21,0.21,0.21,0.22,0.0,0.19,0.39,0.17,0.18,0.16,0.16,0.17,0.17,0.16,0.16,0.15,0.15,0.13,0.15,0.14,0.13,0.14,0.14,0.15,0.22,0.1,0.12,0.1,0.12,0.06,0.06,0.0,0.07,0.0,0.0,0.85,0.35,0.3,0.24,0.19,0.19,0.08,0.0,0.0,99.77
08/10/2021,1.28,1.09,1.13,1.12,0.99,0.9,0.95,0.89,0.97,1.05,0.0,0.87,0.5,0.84,0.88,0.82,0.85,0.83,0.88,0.83,0.88,0.78,0.85,0.83,0.84,0.86,0.83,0.79,0.82,0.76,0.86,0.75,0.86,0.73,0.66,0.84,0.7,0.69,0.74,0.75,0.66,0.67,0.68,0.79,0.62,0.59,0.62,0.61,0.68,0.63,0.67,0.66,0.59,0.67,0.65,0.61,0.62,0.65,0.67,0.57,0.58,0.61,0.59,0.56,0.55,0.0,0.28,0.6,0.6,0.61,0.59,0.59,0.55,0.52,0.64,0.58,0.56,0.54,0.51,0.52,0.53,0.62,0.57,0.59,0.53,0.51,0.48,0.52,0.54,0.52,0.52,0.53,0.52,0.25,0.54,0.55,0.48,0.53,0.5,0.27,0.53,0.51,0.5,0.49,0.5,0.5,0.49,0.52,0.64,0.5,0.49,0.47,0.45,0.43,0.5,0.46,0.46,0.46,0.46,0.42,0.41,0.0,0.42,0.41,0.41,0.42,0.44,0.39,0.42,0.42,0.4,0.37,0.43,0.4,0.4,0.37,0.4,0.36,0.38,0.4,0.38,0.38,0.37,0.37,0.37,0.41,0.36,0.35,0.39,0.33,0.39,0.37,0.32,0.31,0.31,0.3,0.29,0.29,0.29,0.27,0.27,0.28,0.25,0.25,0.27,0.21,0.21,0.21,0.22,0.0,0.19,0.39,0.17,0.18,0.16,0.16,0.17,0.17,0.16,0.16,0.15,0.15,0.13,0.15,0.14,0.13,0.14,0.14,0.15,0.22,0.1,0.12,0.1,0.12,0.06,0.06,0.0,0.07,0.0,0.0,0.85,0.35,0.3,0.24,0.19,0.19,0.08,0.0,0.0,99.77
08/11/2021,1.28,1.09,1.13,1.12,0.99,0.9,0.95,0.89,0.97,1.05,0.0,0.87,0.5,0.84,0.88,0.82,0.85,0.83,0.88,0.83,0.88,0.78,0.85,0.83,0.84,0.86,0.83,0.79,0.82,0.76,0.86,0.75,0.86,0.73,0.66,0.84,0.7,0.69,0.74,0.75,0.66,0.67,0.68,0.79,0.62,0.59,0.62,0.61,0.68,0.63,0.67,0.66,0.59,0.67,0.65,0.61,0.62,0.65,0.67,0.57,0.58,0.61,0.59,0.56,0.55,0.0,0.28,0.6,0.6,0.61,0.59,0.59,0.55,0.52,0.64,0.58,0.56,0.54,0.51,0.52,0.53,0.62,0.57,0.59,0.53,0.51,0.48,0.52,0.54,0.52,0.52,0.53,0.52,0.25,0.54,0.55,0.48,0.53,0.5,0.27,0.53,0.51,0.5,0.49,0.5,0.5,0.49,0.52,0.64,0.5,0.49,0.47,0.45,0.43,0.5,0.46,0.46,0.46,0.46,0.42,0.41,0.0,0.42,0.41,0.41,0.42,0.44,0.39,0.42,0.42,0.4,0.37,0.43,0.4,0.4,0.37,0.4,0.36,0.38,0.4,0.38,0.38,0.37,0.37,0.37,0.41,0.36,0.35,0.39,0.33,0.39,0.37,0.32,0.31,0.31,0.3,0.29,0.29,0.29,0.27,0.27,0.28,0.25,0.25,0.27,0.21,0.21,0.21,0.22,0.0,0.19,0.39,0.17,0.18,0.16,0.16,0.17,0.17,0.16,0.16,0.15,0.15,0.13,0.15,0.14,0.13,0.14,0.14,0.15,0.22,0.1,0.12,0.1,0.12,0.06,0.06,0.0,0.07,0.0,0.0,0.85,0.35,0.3,0.24,0.19,0.19,0.08,0.0,0.0,99.77
08/13/2021,1.28,1.09,1.13,1.12,0.99,0.9,0.95,0.89,0.97,1.05,0.0,0.87,0.5,0.84,0.88,0.82,0.85,0.83,0.88,0.83,0.88,0.78,0.85,0.83,0.84,0.86,0.83,0.79,0.82,0.76,0.86,0.75,0.86,0.73,0.66,0.84,0.7,0.69,0.74,0.75,0.66,0.67,0.68,0.79,0.62,0.59,0.62,0.61,0.68,0.63,0.67,0.66,0.59,0.67,0.65,0.61,0.62,0.65,0.67,0.57,0.58,0.61,0.59,0.56,0.55,0.0,0.28,0.6,0.6,0.61,0.59,0.59,0.55,0.52,0.64,0.58,0.56,0.54,0.51,0.52,0.53,0.62,0.57,0.59,0.53,0.51,0.48,0.52,0.54,0.52,0.52,0.53,0.52,0.25,0.54,0.55,0.48,0.53,0.5,0.27,0.53,0.51,0.5,0.49,0.5,0.5,0.49,0.52,0.64,0.5,0.49,0.47,0.45,0.43,0.5,0.46,0.46,0.46,0.46,0.42,0.41,0.0,0.42,0.41,0.41,0.42,0.44,0.39,0.42,0.42,0.4,0.37,0.43,0.4,0.4,0.37,0.4,0.36,0.38,0.4,0.38,0.38,0.37,0.37,0.37,0.41,0.36,0.35,0.39,0.33,0.39,0.37,0.32,0.31,0.31,0.3,0.29,0.29,0.29,0.27,0.27,0.28,0.25,0.25,0.27,0.21,0.21,0.21,0.22,0.0,0.19,0.39,0.17,0.18,0.16,0.16,0.17,0.17,0.16,0.16,0.15,0.15,0.13,0.15,0.14,0.13,0.14,0.14,0.15,0.22,0.1,0.12,0.1,0.12,0.06,0.06,0.0,0.07,0.0,0.0,0.85,0.35,0.3,0.24,0.19,0.19,0.08,0.0,0.0,99.77
