,AAPL,MSFT,AMZN,FB,GOOGL,GOOG,TSLA,V,NVDA,UNH,MA,PYPL,ADBE,NFLX,CRM,ABBV,ACN,AVGO,HD,NKE,LLY,MRK,QCOM,PEP,COST,PG,LOW,AMGN,ORCL,AMAT,KO,AMT,INTU,TMO,UPS,ISRG,BKNG,LMT,LRCX,NOW,AMD,CHTR,TXN,SQ,ABT,UNP,SBUX,ZTS,MMM,CCI,ADP,SHW,TJX,EQIX,EL,JNJ,ILMN,EW,ZM,AON,MCO,MMC,VRTX,BMY,SPGI,UBER,MRNA,NOC,DG,KLAC,REGN,IDXX,ALGN,ADSK,WDAY,TWLO,MO,VEEV,CMG,ROKU,MSCI,ORLY,LULU,DOCU,EBAY,ROST,SNPS,CDNS,MNST,PANW,DXCM,CSGP,SPG,SPOT,ITW,MTCH,XLNX,TEAM,HCA,RMD,ATVI,MCHP,FTNT,ANSS,SYK,MTD,SYY,PSA,CTAS,VRSK,CPRT,OKTA,PAYX,WST,ANTM,EPAM,CRWD,MCD,FAST,BLL,TTD,CI,ZBRA,CERN,CDW,APH,INFO,MCK,FLT,ODFL,ICE,WORK,TER,PINS,HUM,CHD,EFX,TSCO,HUBS,RNG,NVCR,FISV,IT,W,LNG,SPLK,SGEN,TTWO,HSY,ETSY,AZO,BURL,TRU,GNRC,BR,PODD,BAX,ULTA,IQV,MKTX,POOL,PGR,DPZ,COUP,ANET,HZNP,CAH,ALNY,PAYC,AVTR,TYL,ZEN,CLX,INCY,MPWR,MDB,TDOC,AKAM,ENPH,TECH,ROK,NLOK,CVNA,GWW,CRL,ENTG,EXAS,FICO,CARR,ZS,PTC,DDOG,GDDY,EXR,CGNX,STNE,VRSN,EXPD,LYV,BMRN,CAT,DE,AXP,BX,TGT,ECL,PLTR,A,MAR,CL,HON,PTON,FDX,DAL,SNOW,MXIM,NET,EXPE,KMB,HLT,TT,Z,DFS,WAT,LVS,NXPI,PLUG,VFC,PPG,LYFT,TXG,DIS,AMP,U,FCX,DKNG,NVAX,PXD,WIX,SWKS,TROW,BILL,XYL,ABMD,AVLR,ADI,KEYS,RGEN,DASH,n/a,UPST,CZR,TREX,FDS,HPQ,JBHT,ON,DHI,APO,MU,DT,DHR,WM,FIVE,IRM,ARES,PEN,FND,GLOB,NVR,SUM
07/23/2021,10.2,9.69,7.08,3.95,2.99,2.92,2.5,1.88,2.27,0.12,1.52,1.62,1.33,1.08,0.16,0.94,0.71,0.9,1.63,0.91,0.73,0.0,0.76,0.81,0.78,0.0,0.66,0.55,0.6,0.62,0.7,0.58,0.59,0.08,0.71,0.52,0.43,0.39,0.44,0.51,0.54,0.43,0.52,0.45,0.48,0.44,0.62,0.4,0.08,0.4,0.37,0.32,0.39,0.24,0.35,0.0,0.33,0.3,0.39,0.15,0.26,0.0,0.1,0.0,0.33,0.33,0.38,0.0,0.11,0.24,0.0,0.25,0.23,0.3,0.21,0.09,0.23,0.2,0.21,0.25,0.14,0.0,0.2,0.25,0.23,0.21,0.13,0.18,0.15,0.17,0.2,0.12,0.18,0.18,0.3,0.21,0.17,0.16,0.26,0.15,0.0,0.15,0.15,0.0,0.18,0.15,0.18,0.16,0.15,0.08,0.13,0.14,0.14,0.13,0.0,0.13,0.19,0.15,0.13,0.0,0.16,0.0,0.13,0.0,0.12,0.13,0.0,0.0,0.0,0.11,0.0,0.1,0.11,0.2,0.0,0.0,0.0,0.1,0.12,0.11,0.11,0.0,0.1,0.0,0.1,0.11,0.09,0.0,0.1,0.12,0.0,0.1,0.07,0.12,0.08,0.09,0.0,0.09,0.11,0.08,0.08,0.0,0.0,0.09,0.09,0.0,0.0,0.09,0.09,0.1,0.07,0.08,0.09,0.0,0.08,0.09,0.0,0.0,0.11,0.08,0.1,0.0,0.11,0.08,0.08,0.08,0.09,0.0,0.09,0.08,0.07,0.11,0.0,0.0,0.07,0.0,0.0,0.07,0.0,0.0,0.49,0.47,0.32,0.31,0.26,0.21,0.2,0.19,0.18,0.17,0.16,0.16,0.15,0.13,0.13,0.13,0.12,0.11,0.11,0.1,0.1,0.09,0.09,0.09,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.07,0.07,0.07,0.07,0.07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,92.52
07/26/2021,10.2,9.69,7.08,3.95,2.99,2.92,2.5,1.88,2.27,0.12,1.52,1.62,1.33,1.08,0.16,0.94,0.71,0.9,1.63,0.91,0.73,0.0,0.76,0.81,0.78,0.0,0.66,0.55,0.6,0.62,0.7,0.58,0.59,0.08,0.71,0.52,0.43,0.39,0.44,0.51,0.54,0.43,0.52,0.45,0.48,0.44,0.62,0.4,0.08,0.4,0.37,0.32,0.39,0.24,0.35,0.0,0.33,0.3,0.39,0.15,0.26,0.0,0.1,0.0,0.33,0.33,0.38,0.0,0.11,0.24,0.0,0.25,0.23,0.3,0.21,0.09,0.23,0.2,0.21,0.25,0.14,0.0,0.2,0.25,0.23,0.21,0.13,0.18,0.15,0.17,0.2,0.12,0.18,0.18,0.3,0.21,0.17,0.16,0.26,0.15,0.0,0.15,0.15,0.0,0.18,0.15,0.18,0.16,0.15,0.08,0.13,0.14,0.14,0.13,0.0,0.13,0.19,0.15,0.13,0.0,0.16,0.0,0.13,0.0,0.12,0.13,0.0,0.0,0.0,0.11,0.0,0.1,0.11,0.2,0.0,0.0,0.0,0.1,0.12,0.11,0.11,0.0,0.1,0.0,0.1,0.11,0.09,0.0,0.1,0.12,0.0,0.1,0.07,0.12,0.08,0.09,0.0,0.09,0.11,0.08,0.08,0.0,0.0,0.09,0.09,0.0,0.0,0.09,0.09,0.1,0.07,0.08,0.09,0.0,0.08,0.09,0.0,0.0,0.11,0.08,0.1,0.0,0.11,0.08,0.08,0.08,0.09,0.0,0.09,0.08,0.07,0.11,0.0,0.0,0.07,0.0,0.0,0.07,0.0,0.0,0.49,0.47,0.32,0.31,0.26,0.21,0.2,0.19,0.18,0.17,0.16,0.16,0.15,0.13,0.13,0.13,0.12,0.11,0.11,0.1,0.1,0.09,0.09,0.09,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.07,0.07,0.07,0.07,0.07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,92.52
07/27/2021,10.2,9.69,7.08,3.95,2.99,2.92,2.5,1.88,2.27,0.12,1.52,1.62,1.33,1.08,0.16,0.94,0.71,0.9,1.63,0.91,0.73,0.0,0.76,0.81,0.78,0.0,0.66,0.55,0.6,0.62,0.7,0.58,0.59,0.08,0.71,0.52,0.43,0.39,0.44,0.51,0.54,0.43,0.52,0.45,0.48,0.44,0.62,0.4,0.08,0.4,0.37,0.32,0.39,0.24,0.35,0.0,0.33,0.3,0.39,0.15,0.26,0.0,0.1,0.0,0.33,0.33,0.38,0.0,0.11,0.24,0.0,0.25,0.23,0.3,0.21,0.09,0.23,0.2,0.21,0.25,0.14,0.0,0.2,0.25,0.23,0.21,0.13,0.18,0.15,0.17,0.2,0.12,0.18,0.18,0.3,0.21,0.17,0.16,0.26,0.15,0.0,0.15,0.15,0.0,0.18,0.15,0.18,0.16,0.15,0.08,0.13,0.14,0.14,0.13,0.0,0.13,0.19,0.15,0.13,0.0,0.16,0.0,0.13,0.0,0.12,0.13,0.0,0.0,0.0,0.11,0.0,0.1,0.11,0.2,0.0,0.0,0.0,0.1,0.12,0.11,0.11,0.0,0.1,0.0,0.1,0.11,0.09,0.0,0.1,0.12,0.0,0.1,0.07,0.12,0.08,0.09,0.0,0.09,0.11,0.08,0.08,0.0,0.0,0.09,0.09,0.0,0.0,0.09,0.09,0.1,0.07,0.08,0.09,0.0,0.08,0.09,0.0,0.0,0.11,0.08,0.1,0.0,0.11,0.08,0.08,0.08,0.09,0.0,0.09,0.08,0.07,0.11,0.0,0.0,0.07,0.0,0.0,0.07,0.0,0.0,0.49,0.47,0.32,0.31,0.26,0.21,0.2,0.19,0.18,0.17,0.16,0.16,0.15,0.13,0.13,0.13,0.12,0.11,0.11,0.1,0.1,0.09,0.09,0.09,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.07,0.07,0.07,0.07,0.07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,92.52
07/28/2021,10.2,9.69,7.08,3.95,2.99,2.92,2.5,1.88,2.27,0.12,1.52,1.62,1.33,1.08,0.16,0.94,0.71,0.9,1.63,0.91,0.73,0.0,0.76,0.81,0.78,0.0,0.66,0.55,0.6,0.62,0.7,0.58,0.59,0.08,0.71,0.52,0.43,0.39,0.44,0.51,0.54,0.43,0.52,0.45,0.48,0.44,0.62,0.4,0.08,0.4,0.37,0.32,0.39,0.24,0.35,0.0,0.33,0.3,0.39,0.15,0.26,0.0,0.1,0.0,0.33,0.33,0.38,0.0,0.11,0.24,0.0,0.25,0.23,0.3,0.21,0.09,0.23,0.2,0.21,0.25,0.14,0.0,0.2,0.25,0.23,0.21,0.13,0.18,0.15,0.17,0.2,0.12,0.18,0.18,0.3,0.21,0.17,0.16,0.26,0.15,0.0,0.15,0.15,0.0,0.18,0.15,0.18,0.16,0.15,0.08,0.13,0.14,0.14,0.13,0.0,0.13,0.19,0.15,0.13,0.0,0.16,0.0,0.13,0.0,0.12,0.13,0.0,0.0,0.0,0.11,0.0,0.1,0.11,0.2,0.0,0.0,0.0,0.1,0.12,0.11,0.11,0.0,0.1,0.0,0.1,0.11,0.09,0.0,0.1,0.12,0.0,0.1,0.07,0.12,0.08,0.09,0.0,0.09,0.11,0.08,0.08,0.0,0.0,0.09,0.09,0.0,0.0,0.09,0.09,0.1,0.07,0.08,0.09,0.0,0.08,0.09,0.0,0.0,0.11,0.08,0.1,0.0,0.11,0.08,0.08,0.08,0.09,0.0,0.09,0.08,0.07,0.11,0.0,0.0,0.07,0.0,0.0,0.07,0.0,0.0,0.49,0.47,0.32,0.31,0.26,0.21,0.2,0.19,0.18,0.17,0.16,0.16,0.15,0.13,0.13,0.13,0.12,0.11,0.11,0.1,0.1,0.09,0.09,0.09,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.07,0.07,0.07,0.07,0.07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,92.52
07/29/2021,10.2,9.69,7.08,3.95,2.99,2.92,2.5,1.88,2.27,0.12,1.52,1.62,1.33,1.08,0.16,0.94,0.71,0.9,1.63,0.91,0.73,0.0,0.76,0.81,0.78,0.0,0.66,0.55,0.6,0.62,0.7,0.58,0.59,0.08,0.71,0.52,0.43,0.39,0.44,0.51,0.54,0.43,0.52,0.45,0.48,0.44,0.62,0.4,0.08,0.4,0.37,0.32,0.39,0.24,0.35,0.0,0.33,0.3,0.39,0.15,0.26,0.0,0.1,0.0,0.33,0.33,0.38,0.0,0.11,0.24,0.0,0.25,0.23,0.3,0.21,0.09,0.23,0.2,0.21,0.25,0.14,0.0,0.2,0.25,0.23,0.21,0.13,0.18,0.15,0.17,0.2,0.12,0.18,0.18,0.3,0.21,0.17,0.16,0.26,0.15,0.0,0.15,0.15,0.0,0.18,0.15,0.18,0.16,0.15,0.08,0.13,0.14,0.14,0.13,0.0,0.13,0.19,0.15,0.13,0.0,0.16,0.0,0.13,0.0,0.12,0.13,0.0,0.0,0.0,0.11,0.0,0.1,0.11,0.2,0.0,0.0,0.0,0.1,0.12,0.11,0.11,0.0,0.1,0.0,0.1,0.11,0.09,0.0,0.1,0.12,0.0,0.1,0.07,0.12,0.08,0.09,0.0,0.09,0.11,0.08,0.08,0.0,0.0,0.09,0.09,0.0,0.0,0.09,0.09,0.1,0.07,0.08,0.09,0.0,0.08,0.09,0.0,0.0,0.11,0.08,0.1,0.0,0.11,0.08,0.08,0.08,0.09,0.0,0.09,0.08,0.07,0.11,0.0,0.0,0.07,0.0,0.0,0.07,0.0,0.0,0.49,0.47,0.32,0.31,0.26,0.21,0.2,0.19,0.18,0.17,0.16,0.16,0.15,0.13,0.13,0.13,0.12,0.11,0.11,0.1,0.1,0.09,0.09,0.09,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.07,0.07,0.07,0.07,0.07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,92.52
07/30/2021,10.2,9.69,7.08,3.95,2.99,2.92,2.5,1.88,2.27,0.12,1.52,1.62,1.33,1.08,0.16,0.94,0.71,0.9,1.63,0.91,0.73,0.0,0.76,0.81,0.78,0.0,0.66,0.55,0.6,0.62,0.7,0.58,0.59,0.08,0.71,0.52,0.43,0.39,0.44,0.51,0.54,0.43,0.52,0.45,0.48,0.44,0.62,0.4,0.08,0.4,0.37,0.32,0.39,0.24,0.35,0.0,0.33,0.3,0.39,0.15,0.26,0.0,0.1,0.0,0.33,0.33,0.38,0.0,0.11,0.24,0.0,0.25,0.23,0.3,0.21,0.09,0.23,0.2,0.21,0.25,0.14,0.0,0.2,0.25,0.23,0.21,0.13,0.18,0.15,0.17,0.2,0.12,0.18,0.18,0.3,0.21,0.17,0.16,0.26,0.15,0.0,0.15,0.15,0.0,0.18,0.15,0.18,0.16,0.15,0.08,0.13,0.14,0.14,0.13,0.0,0.13,0.19,0.15,0.13,0.0,0.16,0.0,0.13,0.0,0.12,0.13,0.0,0.0,0.0,0.11,0.0,0.1,0.11,0.2,0.0,0.0,0.0,0.1,0.12,0.11,0.11,0.0,0.1,0.0,0.1,0.11,0.09,0.0,0.1,0.12,0.0,0.1,0.07,0.12,0.08,0.09,0.0,0.09,0.11,0.08,0.08,0.0,0.0,0.09,0.09,0.0,0.0,0.09,0.09,0.1,0.07,0.08,0.09,0.0,0.08,0.09,0.0,0.0,0.11,0.08,0.1,0.0,0.11,0.08,0.08,0.08,0.09,0.0,0.09,0.08,0.07,0.11,0.0,0.0,0.07,0.0,0.0,0.07,0.0,0.0,0.49,0.47,0.32,0.31,0.26,0.21,0.2,0.19,0.18,0.17,0.16,0.16,0.15,0.13,0.13,0.13,0.12,0.11,0.11,0.1,0.1,0.09,0.09,0.09,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.07,0.07,0.07,0.07,0.07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,92.52
08/02/2021,10.2,9.69,7.08,3.95,2.99,2.92,2.5,1.88,2.27,0.12,1.52,1.62,1.33,1.08,0.16,0.94,0.71,0.9,1.63,0.91,0.73,0.0,0.76,0.81,0.78,0.0,0.66,0.55,0.6,0.62,0.7,0.58,0.59,0.08,0.71,0.52,0.43,0.39,0.44,0.51,0.54,0.43,0.52,0.45,0.48,0.44,0.62,0.4,0.08,0.4,0.37,0.32,0.39,0.24,0.35,0.0,0.33,0.3,0.39,0.15,0.26,0.0,0.1,0.0,0.33,0.33,0.38,0.0,0.11,0.24,0.0,0.25,0.23,0.3,0.21,0.09,0.23,0.2,0.21,0.25,0.14,0.0,0.2,0.25,0.23,0.21,0.13,0.18,0.15,0.17,0.2,0.12,0.18,0.18,0.3,0.21,0.17,0.16,0.26,0.15,0.0,0.15,0.15,0.0,0.18,0.15,0.18,0.16,0.15,0.08,0.13,0.14,0.14,0.13,0.0,0.13,0.19,0.15,0.13,0.0,0.16,0.0,0.13,0.0,0.12,0.13,0.0,0.0,0.0,0.11,0.0,0.1,0.11,0.2,0.0,0.0,0.0,0.1,0.12,0.11,0.11,0.0,0.1,0.0,0.1,0.11,0.09,0.0,0.1,0.12,0.0,0.1,0.07,0.12,0.08,0.09,0.0,0.09,0.11,0.08,0.08,0.0,0.0,0.09,0.09,0.0,0.0,0.09,0.09,0.1,0.07,0.08,0.09,0.0,0.08,0.09,0.0,0.0,0.11,0.08,0.1,0.0,0.11,0.08,0.08,0.08,0.09,0.0,0.09,0.08,0.07,0.11,0.0,0.0,0.07,0.0,0.0,0.07,0.0,0.0,0.49,0.47,0.32,0.31,0.26,0.21,0.2,0.19,0.18,0.17,0.16,0.16,0.15,0.13,0.13,0.13,0.12,0.11,0.11,0.1,0.1,0.09,0.09,0.09,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.07,0.07,0.07,0.07,0.07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,92.52
08/03/2021,10.2,9.69,7.08,3.95,2.99,2.92,2.5,1.88,2.27,0.12,1.52,1.62,1.33,1.08,0.16,0.94,0.71,0.9,1.63,0.91,0.73,0.0,0.76,0.81,0.78,0.0,0.66,0.55,0.6,0.62,0.7,0.58,0.59,0.08,0.71,0.52,0.43,0.39,0.44,0.51,0.54,0.43,0.52,0.45,0.48,0.44,0.62,0.4,0.08,0.4,0.37,0.32,0.39,0.24,0.35,0.0,0.33,0.3,0.39,0.15,0.26,0.0,0.1,0.0,0.33,0.33,0.38,0.0,0.11,0.24,0.0,0.25,0.23,0.3,0.21,0.09,0.23,0.2,0.21,0.25,0.14,0.0,0.2,0.25,0.23,0.21,0.13,0.18,0.15,0.17,0.2,0.12,0.18,0.18,0.3,0.21,0.17,0.16,0.26,0.15,0.0,0.15,0.15,0.0,0.18,0.15,0.18,0.16,0.15,0.08,0.13,0.14,0.14,0.13,0.0,0.13,0.19,0.15,0.13,0.0,0.16,0.0,0.13,0.0,0.12,0.13,0.0,0.0,0.0,0.11,0.0,0.1,0.11,0.2,0.0,0.0,0.0,0.1,0.12,0.11,0.11,0.0,0.1,0.0,0.1,0.11,0.09,0.0,0.1,0.12,0.0,0.1,0.07,0.12,0.08,0.09,0.0,0.09,0.11,0.08,0.08,0.0,0.0,0.09,0.09,0.0,0.0,0.09,0.09,0.1,0.07,0.08,0.09,0.0,0.08,0.09,0.0,0.0,0.11,0.08,0.1,0.0,0.11,0.08,0.08,0.08,0.09,0.0,0.09,0.08,0.07,0.11,0.0,0.0,0.07,0.0,0.0,0.07,0.0,0.0,0.49,0.47,0.32,0.31,0.26,0.21,0.2,0.19,0.18,0.17,0.16,0.16,0.15,0.13,0.13,0.13,0.12,0.11,0.11,0.1,0.1,0.09,0.09,0.09,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.07,0.07,0.07,0.07,0.07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,92.52
08/04/2021,10.2,9.69,7.08,3.95,2.99,2.92,2.5,1.88,2.27,0.12,1.52,1.62,1.33,1.08,0.16,0.94,0.71,0.9,1.63,0.91,0.73,0.0,0.76,0.81,0.78,0.0,0.66,0.55,0.6,0.62,0.7,0.58,0.59,0.08,0.71,0.52,0.43,0.39,0.44,0.51,0.54,0.43,0.52,0.45,0.48,0.44,0.62,0.4,0.08,0.4,0.37,0.32,0.39,0.24,0.35,0.0,0.33,0.3,0.39,0.15,0.26,0.0,0.1,0.0,0.33,0.33,0.38,0.0,0.11,0.24,0.0,0.25,0.23,0.3,0.21,0.09,0.23,0.2,0.21,0.25,0.14,0.0,0.2,0.25,0.23,0.21,0.13,0.18,0.15,0.17,0.2,0.12,0.18,0.18,0.3,0.21,0.17,0.16,0.26,0.15,0.0,0.15,0.15,0.0,0.18,0.15,0.18,0.16,0.15,0.08,0.13,0.14,0.14,0.13,0.0,0.13,0.19,0.15,0.13,0.0,0.16,0.0,0.13,0.0,0.12,0.13,0.0,0.0,0.0,0.11,0.0,0.1,0.11,0.2,0.0,0.0,0.0,0.1,0.12,0.11,0.11,0.0,0.1,0.0,0.1,0.11,0.09,0.0,0.1,0.12,0.0,0.1,0.07,0.12,0.08,0.09,0.0,0.09,0.11,0.08,0.08,0.0,0.0,0.09,0.09,0.0,0.0,0.09,0.09,0.1,0.07,0.08,0.09,0.0,0.08,0.09,0.0,0.0,0.11,0.08,0.1,0.0,0.11,0.08,0.08,0.08,0.09,0.0,0.09,0.08,0.07,0.11,0.0,0.0,0.07,0.0,0.0,0.07,0.0,0.0,0.49,0.47,0.32,0.31,0.26,0.21,0.2,0.19,0.18,0.17,0.16,0.16,0.15,0.13,0.13,0.13,0.12,0.11,0.11,0.1,0.1,0.09,0.09,0.09,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.07,0.07,0.07,0.07,0.07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,92.52
08/05/2021,10.2,9.69,7.08,3.95,2.99,2.92,2.5,1.88,2.27,0.12,1.52,1.62,1.33,1.08,0.16,0.94,0.71,0.9,1.63,0.91,0.73,0.0,0.76,0.81,0.78,0.0,0.66,0.55,0.6,0.62,0.7,0.58,0.59,0.08,0.71,0.52,0.43,0.39,0.44,0.51,0.54,0.43,0.52,0.45,0.48,0.44,0.62,0.4,0.08,0.4,0.37,0.32,0.39,0.24,0.35,0.0,0.33,0.3,0.39,0.15,0.26,0.0,0.1,0.0,0.33,0.33,0.38,0.0,0.11,0.24,0.0,0.25,0.23,0.3,0.21,0.09,0.23,0.2,0.21,0.25,0.14,0.0,0.2,0.25,0.23,0.21,0.13,0.18,0.15,0.17,0.2,0.12,0.18,0.18,0.3,0.21,0.17,0.16,0.26,0.15,0.0,0.15,0.15,0.0,0.18,0.15,0.18,0.16,0.15,0.08,0.13,0.14,0.14,0.13,0.0,0.13,0.19,0.15,0.13,0.0,0.16,0.0,0.13,0.0,0.12,0.13,0.0,0.0,0.0,0.11,0.0,0.1,0.11,0.2,0.0,0.0,0.0,0.1,0.12,0.11,0.11,0.0,0.1,0.0,0.1,0.11,0.09,0.0,0.1,0.12,0.0,0.1,0.07,0.12,0.08,0.09,0.0,0.09,0.11,0.08,0.08,0.0,0.0,0.09,0.09,0.0,0.0,0.09,0.09,0.1,0.07,0.08,0.09,0.0,0.08,0.09,0.0,0.0,0.11,0.08,0.1,0.0,0.11,0.08,0.08,0.08,0.09,0.0,0.09,0.08,0.07,0.11,0.0,0.0,0.07,0.0,0.0,0.07,0.0,0.0,0.49,0.47,0.32,0.31,0.26,0.21,0.2,0.19,0.18,0.17,0.16,0.16,0.15,0.13,0.13,0.13,0.12,0.11,0.11,0.1,0.1,0.09,0.09,0.09,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.07,0.07,0.07,0.07,0.07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,92.52
08/06/2021,10.2,9.69,7.08,3.95,2.99,2.92,2.5,1.88,2.27,0.12,1.52,1.62,1.33,1.08,0.16,0.94,0.71,0.9,1.63,0.91,0.73,0.0,0.76,0.81,0.78,0.0,0.66,0.55,0.6,0.62,0.7,0.58,0.59,0.08,0.71,0.52,0.43,0.39,0.44,0.51,0.54,0.43,0.52,0.45,0.48,0.44,0.62,0.4,0.08,0.4,0.37,0.32,0.39,0.24,0.35,0.0,0.33,0.3,0.39,0.15,0.26,0.0,0.1,0.0,0.33,0.33,0.38,0.0,0.11,0.24,0.0,0.25,0.23,0.3,0.21,0.09,0.23,0.2,0.21,0.25,0.14,0.0,0.2,0.25,0.23,0.21,0.13,0.18,0.15,0.17,0.2,0.12,0.18,0.18,0.3,0.21,0.17,0.16,0.26,0.15,0.0,0.15,0.15,0.0,0.18,0.15,0.18,0.16,0.15,0.08,0.13,0.14,0.14,0.13,0.0,0.13,0.19,0.15,0.13,0.0,0.16,0.0,0.13,0.0,0.12,0.13,0.0,0.0,0.0,0.11,0.0,0.1,0.11,0.2,0.0,0.0,0.0,0.1,0.12,0.11,0.11,0.0,0.1,0.0,0.1,0.11,0.09,0.0,0.1,0.12,0.0,0.1,0.07,0.12,0.08,0.09,0.0,0.09,0.11,0.08,0.08,0.0,0.0,0.09,0.09,0.0,0.0,0.09,0.09,0.1,0.07,0.08,0.09,0.0,0.08,0.09,0.0,0.0,0.11,0.08,0.1,0.0,0.11,0.08,0.08,0.08,0.09,0.0,0.09,0.08,0.07,0.11,0.0,0.0,0.07,0.0,0.0,0.07,0.0,0.0,0.49,0.47,0.32,0.31,0.26,0.21,0.2,0.19,0.18,0.17,0.16,0.16,0.15,0.13,0.13,0.13,0.12,0.11,0.11,0.1,0.1,0.09,0.09,0.09,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.07,0.07,0.07,0.07,0.07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,92.52
