,700.HK,9988.HK,2330.TW,TSM,3690.HK,NPN.JO,RELIANCE.NS,939.HK,INFY.NS,2318.HK,JD,HDFC.NS,VALE3.SA,BIDU,1398.HK,2454.TW,NIO,2317.TW,2269.HK,NTES,SBER.ME,TCS.NS,M4B.,GAZP.ME,PDD,1120.SR,2010.SR,1180.SR,600519.SS,LKOH.ME,3988.HK,HINDUNILVR.NS,2222.SR,AMXL.MX,AXISBANK.NS,PETR3.SA,2308.TW,2020.HK,QNBK.QA,BBCA.JK,B3SA3.SA,TCOM,FSR.JO,2313.HK,GFNORTEO.MX,2331.HK,7010.SR,ITUB4.SA,FAB.,2881.TW,NBK.,BBDC4.SA,BY6.,2319.HK,PTT/F.BK,1301.TW,BAJFINANCE.NS,1303.TW,2382.HK,BILI,BHARTIARTL.NS,WALMEX.MX,2002.TW,2882.TW,ASIANPAINT.NS,CHL.,PBBANK.KL,TAL,PETR4.SA,GMEXICOB.MX,BBRI.JK,1801.HK,2891.TW,FEMSAUBD.MX,EDU,ABEV3.SA,NVTK.ME,SNPMF,HCLTECH.NS,2688.HK,291.HK,ICICIBANK.NS,6098.HK,175.HK,3711.TW,IMP.JO,MTN.JO,SSW.JO,1109.HK,2303.TW,000858.SZ,2886.TW,ZTO,ZLAB,1288.HK,1093.HK,1216.TW,CEMEXCPO.MX,SBK.JO,OTP.BD,LT.NS,MARUTI.NS,241.HK,MAYBANK.KL,384.HK,2601.HK,VALE,2884.TW,2885.TW,1177.HK,GMKN.ME,ULTRACEMCO.NS,960.HK,HTHT,3034.TW,KFH.,3008.TW,TLKM.JK,GFI.JO,1326.TW,SUNPHARMA.NS,CPI.JO,MGLU3.SA,1010.SR,M&M.NS,ETISALAT.,LI,ANG.JO,2357.TW,JSWSTEEL.NS,SM.PM,268.HK,VIPS,5871.TW,WEGE3.SA,TATASTEEL.NS,CPALL/F.BK,2333.HK,2007.HK,SOL.JO,2412.TW,TENAGA.KL,688.HK,ITSA4.SA,AOT/F.BK,1918.HK,EMIRATESNBD.DB,ITC.NS,1101.TW,UMC,2379.TW,2899.HK,BLA.BK,GNDI3.SA,SUZB3.SA,2603.TW,NESTLEIND.NS,2382.TW,SCB/F.BK,BVXB.,6690.HK,NTCO3.SA,601318.SS,LREN3.SA,2327.TW,ADANIPORTS.NS,6030.HK,NILSY,857.HK,AQE.,GDS,2892.TW,TITAN.NS,SBIN.NS,1088.HK,586.HK,968.HK,BMRI.JK,AMS.JO,TECHM.NS,6415.TW,5880.TW,601888.SS,TME,1060.SR,ABG.JO,ASII.JK,CIMB.KL,6186.HK,600036.SS,POWERGRID.NS,BID.JO,WIPRO.NS,SLM.JO,1919.HK,1024.HK,GRASIM.NS,SCVUF,NVTK.L,3481.TW,1810.HK,XPEV,BEKE,2609.TW,6969.HK,2615.TW,RENT3.SA,DIVISLAB.NS,DMART.NS,2207.TW,6488,CSAN3.SA,688027.SS,SUM
07/23/2021,5.29,4.73,4.58,1.7,1.88,1.01,1.06,0.84,0.91,0.68,0.57,0.69,0.92,0.65,0.54,0.6,0.81,0.56,0.69,0.39,0.51,0.54,0.43,0.47,0.55,0.43,0.35,0.39,0.31,0.4,0.33,0.36,0.27,0.27,0.28,0.33,0.27,0.31,0.25,0.23,0.25,0.21,0.22,0.23,0.22,0.31,0.25,0.25,0.23,0.23,0.23,0.22,0.28,0.22,0.21,0.21,0.22,0.2,0.24,0.35,0.19,0.2,0.21,0.19,0.22,0.18,0.18,0.13,0.26,0.17,0.17,0.18,0.17,0.18,0.14,0.18,0.19,0.16,0.17,0.17,0.17,0.16,0.17,0.2,0.16,0.15,0.15,0.14,0.13,0.16,0.14,0.15,0.0,0.12,0.12,0.14,0.15,0.15,0.13,0.14,0.16,0.15,0.12,0.14,0.11,0.11,0.14,0.13,0.13,0.11,0.12,0.13,0.12,0.12,0.12,0.13,0.13,0.12,0.09,0.12,0.12,0.11,0.14,0.12,0.11,0.12,0.18,0.09,0.11,0.11,0.12,0.1,0.1,0.11,0.12,0.14,0.1,0.13,0.1,0.1,0.1,0.11,0.1,0.12,0.11,0.1,0.11,0.1,0.11,0.1,0.1,0.09,0.0,0.11,0.1,0.21,0.1,0.1,0.09,0.1,0.08,0.12,0.08,0.09,0.11,0.09,0.08,0.09,0.11,0.0,0.1,0.09,0.11,0.09,0.0,0.0,0.11,0.09,0.0,0.1,0.1,0.08,0.0,0.1,0.09,0.0,0.08,0.09,0.0,0.0,0.08,0.08,0.08,0.08,0.1,0.0,0.08,0.0,0.08,0.0,0.53,0.2,0.13,0.11,0.11,0.1,0.09,0.09,0.08,0.08,0.08,0.08,0.12,58.98
07/26/2021,5.29,4.73,4.58,1.7,1.88,1.01,1.06,0.84,0.91,0.68,0.57,0.69,0.92,0.65,0.54,0.6,0.81,0.56,0.69,0.39,0.51,0.54,0.43,0.47,0.55,0.43,0.35,0.39,0.31,0.4,0.33,0.36,0.27,0.27,0.28,0.33,0.27,0.31,0.25,0.23,0.25,0.21,0.22,0.23,0.22,0.31,0.25,0.25,0.23,0.23,0.23,0.22,0.28,0.22,0.21,0.21,0.22,0.2,0.24,0.35,0.19,0.2,0.21,0.19,0.22,0.18,0.18,0.13,0.26,0.17,0.17,0.18,0.17,0.18,0.14,0.18,0.19,0.16,0.17,0.17,0.17,0.16,0.17,0.2,0.16,0.15,0.15,0.14,0.13,0.16,0.14,0.15,0.0,0.12,0.12,0.14,0.15,0.15,0.13,0.14,0.16,0.15,0.12,0.14,0.11,0.11,0.14,0.13,0.13,0.11,0.12,0.13,0.12,0.12,0.12,0.13,0.13,0.12,0.09,0.12,0.12,0.11,0.14,0.12,0.11,0.12,0.18,0.09,0.11,0.11,0.12,0.1,0.1,0.11,0.12,0.14,0.1,0.13,0.1,0.1,0.1,0.11,0.1,0.12,0.11,0.1,0.11,0.1,0.11,0.1,0.1,0.09,0.0,0.11,0.1,0.21,0.1,0.1,0.09,0.1,0.08,0.12,0.08,0.09,0.11,0.09,0.08,0.09,0.11,0.0,0.1,0.09,0.11,0.09,0.0,0.0,0.11,0.09,0.0,0.1,0.1,0.08,0.0,0.1,0.09,0.0,0.08,0.09,0.0,0.0,0.08,0.08,0.08,0.08,0.1,0.0,0.08,0.0,0.08,0.0,0.53,0.2,0.13,0.11,0.11,0.1,0.09,0.09,0.08,0.08,0.08,0.08,0.12,58.98
07/27/2021,5.29,4.73,4.58,1.7,1.88,1.01,1.06,0.84,0.91,0.68,0.57,0.69,0.92,0.65,0.54,0.6,0.81,0.56,0.69,0.39,0.51,0.54,0.43,0.47,0.55,0.43,0.35,0.39,0.31,0.4,0.33,0.36,0.27,0.27,0.28,0.33,0.27,0.31,0.25,0.23,0.25,0.21,0.22,0.23,0.22,0.31,0.25,0.25,0.23,0.23,0.23,0.22,0.28,0.22,0.21,0.21,0.22,0.2,0.24,0.35,0.19,0.2,0.21,0.19,0.22,0.18,0.18,0.13,0.26,0.17,0.17,0.18,0.17,0.18,0.14,0.18,0.19,0.16,0.17,0.17,0.17,0.16,0.17,0.2,0.16,0.15,0.15,0.14,0.13,0.16,0.14,0.15,0.0,0.12,0.12,0.14,0.15,0.15,0.13,0.14,0.16,0.15,0.12,0.14,0.11,0.11,0.14,0.13,0.13,0.11,0.12,0.13,0.12,0.12,0.12,0.13,0.13,0.12,0.09,0.12,0.12,0.11,0.14,0.12,0.11,0.12,0.18,0.09,0.11,0.11,0.12,0.1,0.1,0.11,0.12,0.14,0.1,0.13,0.1,0.1,0.1,0.11,0.1,0.12,0.11,0.1,0.11,0.1,0.11,0.1,0.1,0.09,0.0,0.11,0.1,0.21,0.1,0.1,0.09,0.1,0.08,0.12,0.08,0.09,0.11,0.09,0.08,0.09,0.11,0.0,0.1,0.09,0.11,0.09,0.0,0.0,0.11,0.09,0.0,0.1,0.1,0.08,0.0,0.1,0.09,0.0,0.08,0.09,0.0,0.0,0.08,0.08,0.08,0.08,0.1,0.0,0.08,0.0,0.08,0.0,0.53,0.2,0.13,0.11,0.11,0.1,0.09,0.09,0.08,0.08,0.08,0.08,0.12,58.98
07/28/2021,5.29,4.73,4.58,1.7,1.88,1.01,1.06,0.84,0.91,0.68,0.57,0.69,0.92,0.65,0.54,0.6,0.81,0.56,0.69,0.39,0.51,0.54,0.43,0.47,0.55,0.43,0.35,0.39,0.31,0.4,0.33,0.36,0.27,0.27,0.28,0.33,0.27,0.31,0.25,0.23,0.25,0.21,0.22,0.23,0.22,0.31,0.25,0.25,0.23,0.23,0.23,0.22,0.28,0.22,0.21,0.21,0.22,0.2,0.24,0.35,0.19,0.2,0.21,0.19,0.22,0.18,0.18,0.13,0.26,0.17,0.17,0.18,0.17,0.18,0.14,0.18,0.19,0.16,0.17,0.17,0.17,0.16,0.17,0.2,0.16,0.15,0.15,0.14,0.13,0.16,0.14,0.15,0.0,0.12,0.12,0.14,0.15,0.15,0.13,0.14,0.16,0.15,0.12,0.14,0.11,0.11,0.14,0.13,0.13,0.11,0.12,0.13,0.12,0.12,0.12,0.13,0.13,0.12,0.09,0.12,0.12,0.11,0.14,0.12,0.11,0.12,0.18,0.09,0.11,0.11,0.12,0.1,0.1,0.11,0.12,0.14,0.1,0.13,0.1,0.1,0.1,0.11,0.1,0.12,0.11,0.1,0.11,0.1,0.11,0.1,0.1,0.09,0.0,0.11,0.1,0.21,0.1,0.1,0.09,0.1,0.08,0.12,0.08,0.09,0.11,0.09,0.08,0.09,0.11,0.0,0.1,0.09,0.11,0.09,0.0,0.0,0.11,0.09,0.0,0.1,0.1,0.08,0.0,0.1,0.09,0.0,0.08,0.09,0.0,0.0,0.08,0.08,0.08,0.08,0.1,0.0,0.08,0.0,0.08,0.0,0.53,0.2,0.13,0.11,0.11,0.1,0.09,0.09,0.08,0.08,0.08,0.08,0.12,58.98
07/29/2021,5.29,4.73,4.58,1.7,1.88,1.01,1.06,0.84,0.91,0.68,0.57,0.69,0.92,0.65,0.54,0.6,0.81,0.56,0.69,0.39,0.51,0.54,0.43,0.47,0.55,0.43,0.35,0.39,0.31,0.4,0.33,0.36,0.27,0.27,0.28,0.33,0.27,0.31,0.25,0.23,0.25,0.21,0.22,0.23,0.22,0.31,0.25,0.25,0.23,0.23,0.23,0.22,0.28,0.22,0.21,0.21,0.22,0.2,0.24,0.35,0.19,0.2,0.21,0.19,0.22,0.18,0.18,0.13,0.26,0.17,0.17,0.18,0.17,0.18,0.14,0.18,0.19,0.16,0.17,0.17,0.17,0.16,0.17,0.2,0.16,0.15,0.15,0.14,0.13,0.16,0.14,0.15,0.0,0.12,0.12,0.14,0.15,0.15,0.13,0.14,0.16,0.15,0.12,0.14,0.11,0.11,0.14,0.13,0.13,0.11,0.12,0.13,0.12,0.12,0.12,0.13,0.13,0.12,0.09,0.12,0.12,0.11,0.14,0.12,0.11,0.12,0.18,0.09,0.11,0.11,0.12,0.1,0.1,0.11,0.12,0.14,0.1,0.13,0.1,0.1,0.1,0.11,0.1,0.12,0.11,0.1,0.11,0.1,0.11,0.1,0.1,0.09,0.0,0.11,0.1,0.21,0.1,0.1,0.09,0.1,0.08,0.12,0.08,0.09,0.11,0.09,0.08,0.09,0.11,0.0,0.1,0.09,0.11,0.09,0.0,0.0,0.11,0.09,0.0,0.1,0.1,0.08,0.0,0.1,0.09,0.0,0.08,0.09,0.0,0.0,0.08,0.08,0.08,0.08,0.1,0.0,0.08,0.0,0.08,0.0,0.53,0.2,0.13,0.11,0.11,0.1,0.09,0.09,0.08,0.08,0.08,0.08,0.12,58.98
07/30/2021,5.29,4.73,4.58,1.7,1.88,1.01,1.06,0.84,0.91,0.68,0.57,0.69,0.92,0.65,0.54,0.6,0.81,0.56,0.69,0.39,0.51,0.54,0.43,0.47,0.55,0.43,0.35,0.39,0.31,0.4,0.33,0.36,0.27,0.27,0.28,0.33,0.27,0.31,0.25,0.23,0.25,0.21,0.22,0.23,0.22,0.31,0.25,0.25,0.23,0.23,0.23,0.22,0.28,0.22,0.21,0.21,0.22,0.2,0.24,0.35,0.19,0.2,0.21,0.19,0.22,0.18,0.18,0.13,0.26,0.17,0.17,0.18,0.17,0.18,0.14,0.18,0.19,0.16,0.17,0.17,0.17,0.16,0.17,0.2,0.16,0.15,0.15,0.14,0.13,0.16,0.14,0.15,0.0,0.12,0.12,0.14,0.15,0.15,0.13,0.14,0.16,0.15,0.12,0.14,0.11,0.11,0.14,0.13,0.13,0.11,0.12,0.13,0.12,0.12,0.12,0.13,0.13,0.12,0.09,0.12,0.12,0.11,0.14,0.12,0.11,0.12,0.18,0.09,0.11,0.11,0.12,0.1,0.1,0.11,0.12,0.14,0.1,0.13,0.1,0.1,0.1,0.11,0.1,0.12,0.11,0.1,0.11,0.1,0.11,0.1,0.1,0.09,0.0,0.11,0.1,0.21,0.1,0.1,0.09,0.1,0.08,0.12,0.08,0.09,0.11,0.09,0.08,0.09,0.11,0.0,0.1,0.09,0.11,0.09,0.0,0.0,0.11,0.09,0.0,0.1,0.1,0.08,0.0,0.1,0.09,0.0,0.08,0.09,0.0,0.0,0.08,0.08,0.08,0.08,0.1,0.0,0.08,0.0,0.08,0.0,0.53,0.2,0.13,0.11,0.11,0.1,0.09,0.09,0.08,0.08,0.08,0.08,0.12,58.98
08/02/2021,5.29,4.73,4.58,1.7,1.88,1.01,1.06,0.84,0.91,0.68,0.57,0.69,0.92,0.65,0.54,0.6,0.81,0.56,0.69,0.39,0.51,0.54,0.43,0.47,0.55,0.43,0.35,0.39,0.31,0.4,0.33,0.36,0.27,0.27,0.28,0.33,0.27,0.31,0.25,0.23,0.25,0.21,0.22,0.23,0.22,0.31,0.25,0.25,0.23,0.23,0.23,0.22,0.28,0.22,0.21,0.21,0.22,0.2,0.24,0.35,0.19,0.2,0.21,0.19,0.22,0.18,0.18,0.13,0.26,0.17,0.17,0.18,0.17,0.18,0.14,0.18,0.19,0.16,0.17,0.17,0.17,0.16,0.17,0.2,0.16,0.15,0.15,0.14,0.13,0.16,0.14,0.15,0.0,0.12,0.12,0.14,0.15,0.15,0.13,0.14,0.16,0.15,0.12,0.14,0.11,0.11,0.14,0.13,0.13,0.11,0.12,0.13,0.12,0.12,0.12,0.13,0.13,0.12,0.09,0.12,0.12,0.11,0.14,0.12,0.11,0.12,0.18,0.09,0.11,0.11,0.12,0.1,0.1,0.11,0.12,0.14,0.1,0.13,0.1,0.1,0.1,0.11,0.1,0.12,0.11,0.1,0.11,0.1,0.11,0.1,0.1,0.09,0.0,0.11,0.1,0.21,0.1,0.1,0.09,0.1,0.08,0.12,0.08,0.09,0.11,0.09,0.08,0.09,0.11,0.0,0.1,0.09,0.11,0.09,0.0,0.0,0.11,0.09,0.0,0.1,0.1,0.08,0.0,0.1,0.09,0.0,0.08,0.09,0.0,0.0,0.08,0.08,0.08,0.08,0.1,0.0,0.08,0.0,0.08,0.0,0.53,0.2,0.13,0.11,0.11,0.1,0.09,0.09,0.08,0.08,0.08,0.08,0.12,58.98
08/03/2021,5.29,4.73,4.58,1.7,1.88,1.01,1.06,0.84,0.91,0.68,0.57,0.69,0.92,0.65,0.54,0.6,0.81,0.56,0.69,0.39,0.51,0.54,0.43,0.47,0.55,0.43,0.35,0.39,0.31,0.4,0.33,0.36,0.27,0.27,0.28,0.33,0.27,0.31,0.25,0.23,0.25,0.21,0.22,0.23,0.22,0.31,0.25,0.25,0.23,0.23,0.23,0.22,0.28,0.22,0.21,0.21,0.22,0.2,0.24,0.35,0.19,0.2,0.21,0.19,0.22,0.18,0.18,0.13,0.26,0.17,0.17,0.18,0.17,0.18,0.14,0.18,0.19,0.16,0.17,0.17,0.17,0.16,0.17,0.2,0.16,0.15,0.15,0.14,0.13,0.16,0.14,0.15,0.0,0.12,0.12,0.14,0.15,0.15,0.13,0.14,0.16,0.15,0.12,0.14,0.11,0.11,0.14,0.13,0.13,0.11,0.12,0.13,0.12,0.12,0.12,0.13,0.13,0.12,0.09,0.12,0.12,0.11,0.14,0.12,0.11,0.12,0.18,0.09,0.11,0.11,0.12,0.1,0.1,0.11,0.12,0.14,0.1,0.13,0.1,0.1,0.1,0.11,0.1,0.12,0.11,0.1,0.11,0.1,0.11,0.1,0.1,0.09,0.0,0.11,0.1,0.21,0.1,0.1,0.09,0.1,0.08,0.12,0.08,0.09,0.11,0.09,0.08,0.09,0.11,0.0,0.1,0.09,0.11,0.09,0.0,0.0,0.11,0.09,0.0,0.1,0.1,0.08,0.0,0.1,0.09,0.0,0.08,0.09,0.0,0.0,0.08,0.08,0.08,0.08,0.1,0.0,0.08,0.0,0.08,0.0,0.53,0.2,0.13,0.11,0.11,0.1,0.09,0.09,0.08,0.08,0.08,0.08,0.12,58.98
08/04/2021,5.29,4.73,4.58,1.7,1.88,1.01,1.06,0.84,0.91,0.68,0.57,0.69,0.92,0.65,0.54,0.6,0.81,0.56,0.69,0.39,0.51,0.54,0.43,0.47,0.55,0.43,0.35,0.39,0.31,0.4,0.33,0.36,0.27,0.27,0.28,0.33,0.27,0.31,0.25,0.23,0.25,0.21,0.22,0.23,0.22,0.31,0.25,0.25,0.23,0.23,0.23,0.22,0.28,0.22,0.21,0.21,0.22,0.2,0.24,0.35,0.19,0.2,0.21,0.19,0.22,0.18,0.18,0.13,0.26,0.17,0.17,0.18,0.17,0.18,0.14,0.18,0.19,0.16,0.17,0.17,0.17,0.16,0.17,0.2,0.16,0.15,0.15,0.14,0.13,0.16,0.14,0.15,0.0,0.12,0.12,0.14,0.15,0.15,0.13,0.14,0.16,0.15,0.12,0.14,0.11,0.11,0.14,0.13,0.13,0.11,0.12,0.13,0.12,0.12,0.12,0.13,0.13,0.12,0.09,0.12,0.12,0.11,0.14,0.12,0.11,0.12,0.18,0.09,0.11,0.11,0.12,0.1,0.1,0.11,0.12,0.14,0.1,0.13,0.1,0.1,0.1,0.11,0.1,0.12,0.11,0.1,0.11,0.1,0.11,0.1,0.1,0.09,0.0,0.11,0.1,0.21,0.1,0.1,0.09,0.1,0.08,0.12,0.08,0.09,0.11,0.09,0.08,0.09,0.11,0.0,0.1,0.09,0.11,0.09,0.0,0.0,0.11,0.09,0.0,0.1,0.1,0.08,0.0,0.1,0.09,0.0,0.08,0.09,0.0,0.0,0.08,0.08,0.08,0.08,0.1,0.0,0.08,0.0,0.08,0.0,0.53,0.2,0.13,0.11,0.11,0.1,0.09,0.09,0.08,0.08,0.08,0.08,0.12,58.98
08/05/2021,5.29,4.73,4.58,1.7,1.88,1.01,1.06,0.84,0.91,0.68,0.57,0.69,0.92,0.65,0.54,0.6,0.81,0.56,0.69,0.39,0.51,0.54,0.43,0.47,0.55,0.43,0.35,0.39,0.31,0.4,0.33,0.36,0.27,0.27,0.28,0.33,0.27,0.31,0.25,0.23,0.25,0.21,0.22,0.23,0.22,0.31,0.25,0.25,0.23,0.23,0.23,0.22,0.28,0.22,0.21,0.21,0.22,0.2,0.24,0.35,0.19,0.2,0.21,0.19,0.22,0.18,0.18,0.13,0.26,0.17,0.17,0.18,0.17,0.18,0.14,0.18,0.19,0.16,0.17,0.17,0.17,0.16,0.17,0.2,0.16,0.15,0.15,0.14,0.13,0.16,0.14,0.15,0.0,0.12,0.12,0.14,0.15,0.15,0.13,0.14,0.16,0.15,0.12,0.14,0.11,0.11,0.14,0.13,0.13,0.11,0.12,0.13,0.12,0.12,0.12,0.13,0.13,0.12,0.09,0.12,0.12,0.11,0.14,0.12,0.11,0.12,0.18,0.09,0.11,0.11,0.12,0.1,0.1,0.11,0.12,0.14,0.1,0.13,0.1,0.1,0.1,0.11,0.1,0.12,0.11,0.1,0.11,0.1,0.11,0.1,0.1,0.09,0.0,0.11,0.1,0.21,0.1,0.1,0.09,0.1,0.08,0.12,0.08,0.09,0.11,0.09,0.08,0.09,0.11,0.0,0.1,0.09,0.11,0.09,0.0,0.0,0.11,0.09,0.0,0.1,0.1,0.08,0.0,0.1,0.09,0.0,0.08,0.09,0.0,0.0,0.08,0.08,0.08,0.08,0.1,0.0,0.08,0.0,0.08,0.0,0.53,0.2,0.13,0.11,0.11,0.1,0.09,0.09,0.08,0.08,0.08,0.08,0.12,58.980000000000004
