,GME,AZO,WMT,COST,CVS,EBAY,AAP,ORLY,TGT,DG,DLTR,KR,DKS,LOW,HD,BBY,TSCO,CPRT,WSM,KSS,LB,KMX,ETSY,SFIX,CLNE,CVNA,CHWY,AMZN,CHGG,BBBY,LYFT,JWN,RH,AEO,BURL,FIVE,OSTK,ULTA,ABC,M,OLLI,ROST,TJX,UBER,W,LAD,MCK,GPS,SYY,WBA,US Dollar,Us Dollars,VSCO WI,n/a,BBWI WI,VSCO,LBEUR,SUM
07/09/2021,7.03,6.59,6.2,6.17,5.63,4.43,4.3,4.24,4.23,4.21,3.97,3.95,3.92,3.91,3.91,3.72,3.02,2.65,2.26,2.0,1.75,0.61,0.46,0.45,0.45,0.45,0.44,0.43,0.43,0.41,0.41,0.41,0.41,0.4,0.4,0.4,0.4,0.39,0.38,0.38,0.38,0.38,0.38,0.38,0.38,0.37,0.37,0.37,0.35,0.35,0.07,0.0,0.0,0.0,0.0,0.0,0.0,99.98
07/12/2021,6.69,6.64,6.18,6.33,5.6,4.43,4.37,4.29,4.25,4.22,3.96,4.02,4.03,3.89,3.92,3.7,3.01,2.67,2.29,1.98,1.74,0.61,0.45,0.43,0.44,0.46,0.44,0.44,0.42,0.4,0.4,0.41,0.41,0.39,0.39,0.4,0.43,0.38,0.38,0.39,0.39,0.37,0.38,0.37,0.37,0.39,0.37,0.37,0.36,0.34,0.02,0.0,0.0,0.0,0.0,0.0,0.0,100.01
07/13/2021,6.69,6.64,6.18,6.33,5.6,4.43,4.37,4.29,4.25,4.22,3.96,4.02,4.03,3.89,3.92,3.7,3.01,2.67,2.29,1.98,1.74,0.61,0.45,0.43,0.44,0.46,0.44,0.44,0.42,0.4,0.4,0.41,0.41,0.39,0.39,0.4,0.43,0.38,0.38,0.39,0.39,0.37,0.38,0.37,0.37,0.39,0.37,0.37,0.36,0.34,0.02,0.0,0.0,0.0,0.0,0.0,0.0,100.01
07/14/2021,6.68,6.64,6.17,6.33,5.6,4.43,4.37,4.29,4.25,4.22,3.96,4.02,4.03,3.89,3.92,3.7,3.01,2.67,2.29,1.98,1.74,0.61,0.45,0.43,0.44,0.46,0.44,0.44,0.42,0.4,0.4,0.41,0.41,0.39,0.39,0.4,0.43,0.38,0.38,0.39,0.39,0.37,0.38,0.37,0.37,0.39,0.37,0.37,0.36,0.34,0.0,0.06,0.0,0.0,0.0,0.0,0.0,100.03
07/15/2021,6.62,6.69,6.17,6.27,5.64,4.4,4.34,4.29,4.31,4.2,3.94,4.02,3.99,3.9,3.92,3.71,3.01,2.69,2.31,1.99,1.82,0.61,0.45,0.43,0.43,0.46,0.43,0.44,0.42,0.41,0.38,0.41,0.42,0.4,0.39,0.4,0.43,0.38,0.38,0.4,0.39,0.37,0.38,0.36,0.37,0.39,0.37,0.37,0.35,0.34,0.0,0.06,0.0,0.0,0.0,0.0,0.0,100.05
07/16/2021,6.36,6.68,6.26,6.32,5.68,4.43,4.32,4.32,4.35,4.25,3.94,4.04,4.02,3.91,3.9,3.71,3.04,2.7,2.3,1.96,1.78,0.6,0.44,0.43,0.41,0.47,0.44,0.44,0.42,0.4,0.38,0.4,0.42,0.39,0.39,0.39,0.43,0.38,0.38,0.39,0.39,0.37,0.38,0.36,0.36,0.39,0.38,0.36,0.35,0.34,0.0,0.06,0.0,0.0,0.0,0.0,0.0,100.01
07/19/2021,5.91,6.87,6.32,6.41,5.73,4.41,4.34,4.39,4.39,4.3,3.98,4.13,3.99,3.95,3.98,3.79,3.09,2.73,2.23,1.91,1.78,0.6,0.42,0.39,0.37,0.45,0.4,0.43,0.41,0.38,0.37,0.38,0.4,0.37,0.39,0.39,0.39,0.38,0.38,0.37,0.4,0.38,0.39,0.35,0.36,0.38,0.38,0.34,0.34,0.34,0.0,0.01,0.0,0.0,0.0,0.0,0.0,99.97
07/20/2021,6.02,6.94,6.35,6.42,5.74,4.43,4.29,4.44,4.38,4.33,3.98,4.21,3.86,3.98,3.99,3.76,3.1,2.76,2.19,1.86,1.76,0.61,0.43,0.38,0.37,0.46,0.4,0.43,0.41,0.37,0.36,0.38,0.4,0.37,0.38,0.38,0.37,0.37,0.38,0.36,0.39,0.36,0.38,0.35,0.35,0.37,0.38,0.33,0.34,0.34,0.0,0.01,0.0,0.0,0.0,0.0,0.0,100.0
07/21/2021,6.02,6.94,6.35,6.42,5.74,4.43,4.29,4.44,4.38,4.33,3.98,4.21,3.86,3.98,3.99,3.76,3.1,2.76,2.19,1.86,1.76,0.61,0.43,0.38,0.37,0.46,0.4,0.43,0.41,0.37,0.36,0.38,0.4,0.37,0.38,0.38,0.37,0.37,0.38,0.36,0.39,0.36,0.38,0.35,0.35,0.37,0.38,0.33,0.34,0.34,0.0,0.01,0.0,0.0,0.0,0.0,0.0,100.0
07/22/2021,6.02,6.94,6.35,6.42,5.74,4.43,4.29,4.44,4.38,4.33,3.98,4.21,3.86,3.98,3.99,3.76,3.1,2.76,2.19,1.86,1.76,0.61,0.43,0.38,0.37,0.46,0.4,0.43,0.41,0.37,0.36,0.38,0.4,0.37,0.38,0.38,0.37,0.37,0.38,0.36,0.39,0.36,0.38,0.35,0.35,0.37,0.38,0.33,0.34,0.34,0.0,0.01,0.0,0.0,0.0,0.0,0.0,100.0
07/23/2021,6.2,6.87,6.35,6.5,5.68,4.47,4.3,4.41,4.39,4.38,3.99,4.41,3.86,3.93,3.97,3.7,2.98,2.76,2.2,1.8,1.7,0.6,0.45,0.4,0.37,0.45,0.43,0.43,0.42,0.37,0.35,0.36,0.39,0.36,0.37,0.38,0.37,0.36,0.38,0.34,0.4,0.35,0.37,0.35,0.36,0.37,0.38,0.32,0.34,0.33,0.0,0.01,0.0,0.0,0.0,0.0,0.0,100.01
07/26/2021,6.25,6.76,6.22,6.41,5.69,4.59,4.3,4.41,4.39,4.31,3.95,4.17,4.03,3.92,3.97,3.67,2.94,2.81,2.15,1.84,1.81,0.61,0.46,0.4,0.37,0.48,0.43,0.43,0.43,0.4,0.36,0.36,0.4,0.37,0.38,0.4,0.37,0.37,0.39,0.35,0.4,0.36,0.38,0.35,0.35,0.4,0.39,0.33,0.34,0.33,0.0,0.02,0.0,0.0,0.0,0.0,0.0,100.0
