,Cash,688202.SS,688202.SS.1,688202.SS.2,688202.SS.3,688202.SS.4,688202.SS.5,688202.SS.6,688202.SS.7,688202.SS.8,688202.SS.9,688202.SS.10,688202.SS.11,688202.SS.12,688202.SS.13,688202.SS.14,688202.SS.15,688202.SS.16,688202.SS.17,688202.SS.18,688202.SS.19,688202.SS.20,688202.SS.21,688202.SS.22,688202.SS.23,688202.SS.24,688202.SS.25,688202.SS.26,688202.SS.27,688202.SS.28,688202.SS.29,688202.SS.30,688202.SS.31,688202.SS.32,688202.SS.33,688202.SS.34,688202.SS.35,688202.SS.36,688202.SS.37,688202.SS.38,688202.SS.39,688202.SS.40,688202.SS.41,688202.SS.42,688202.SS.43,688202.SS.44,688202.SS.45,688202.SS.46,688202.SS.47,Us 10 Yr Note Future 09/21/2021 (Tyu1) - Cash Offset,Us Long Future 09/21/2021 (Usu1) - Cash Offset,Live Cattle 08/31/2021 (Lcq1) - Cash Offset,Jpn Yen Curr 09/13/2021 (Jyu1) - Cash Offset,Swiss Franc Future Sept 21,British Pound Sept21,Canadian Dollar Sept21,E-mini Euro FX Future Sept 21,Australian Dollar Future Sept 21,Cocoa Future 09/15/2021(Ccu1) - Cash Offset,Soybean Nov21,Cotton No.2 12/08/2021 (Ctz1) - Cash Offset,Lean Hog Future Aug 21,AEX Index Future Sept 21,Mini Gold Future 08/27/2021 (Xgq1),Copper Future Sept 21,Sugar No. 11 Futures Sept21,ATHX,Corn July22,NY Harbor ULSD Future Dec 21,E-mini Crude Oil Future Aug 21,Wheat Future 12/14/2021 (W Z1),Coffee C Future Sept 21,Mini Silver Future Sept 21,Mini Silver Future 09/28/2021 (Ysu1) - Cash Offset,Coffee 'C' 09/20/2021 (Kcu1) - Cash Offset,Wheat Future 12/14/2021 (W Z1) - Cash Offset,E-Mini Wti Crude 07/19/2021 (Ecq1) - Cash Offset,Ny Harb Ulsd 11/30/2021 (Hoz1) - Cash Offset,Corn Future 07/14/2022 (C N2) - Cash Offset,Gasoline Rbob 07/30/2021 (Xbq1) - Cash Offset,Sugar #11 09/30/2021 (Sbv1) - Cash Offset,Copper Future 09/28/2021 (Hgu1) - Cash Offset,Mini Gold Future 08/27/2021 (Xgq1) - Cash Offset,E-Mini Natural Gas 08/26/2021 (Eou1) - Cash Offset,Lean Hogs 08/13/2021 (Lhq1) - Cash Offset,Cotton No 2 Future Dec 21,Soybean Future 11/12/2021 (S X1) - Cash Offset,Cocoa Future Sept 21,Audusd Crncy 09/13/2021 (Adu1) - Cash Offset,Euro E-Mini 09/13/2021 (Eeu1) - Cash Offset,C$ Currency 09/14/2021 (Cdu1) - Cash Offset,Bp Currency 09/13/2021 (Bpu1) - Cash Offset,Chf Currency 09/13/2021 (Sfu1) - Cash Offset,Japanese Yen Future Sept 21,Live Cattle Future Aug 21,US Treasury Bond Future Sept 21,10 Year Treasury Note Future Sept 21,Live Cattle Future Oct 21,Lean Hogs 10/14/2021 (Lhv1) - Cash Offset,Mini Gold Future 12/29/2021 (Xgz1) - Cash Offset,Wheat Future 09/14/2021 (W U1) - Cash Offset,Gasoline Rbob 08/31/21 (Xbu1),E-mini Crude Oil Future Sept 21,E-Mini Wti Crude 08/19/2021 (Ecu1) - Cash Offset,Gasoline Rbob 08/31/21 (Xbu1) - Cash Offset,Wheat Future 09/14/2021 (W U1),Mini Gold Futures Dec21,Lean Hog Future Oct 21,Canadian Dollar Future Sept 21,Live Cattle 10/29/2021 (Lcv1) - Cash Offset,n/a,SUM
07/23/2021,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.01,13.76,7.35,7.23,5.79,5.54,5.18,4.76,3.21,3.07,2.99,2.73,2.65,2.52,2.44,2.29,2.14,2.01,1.92,1.91,1.57,1.47,1.28,1.12,-1.12,-1.28,-1.47,-1.57,-1.91,-1.92,-2.01,-2.14,-2.29,-2.44,-2.52,-2.65,-2.73,-2.99,-3.07,-3.21,-4.76,-5.18,-5.54,-5.79,-7.23,-7.35,-13.76,-17.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
07/26/2021,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.01,13.76,7.35,7.23,5.79,5.54,5.18,4.76,3.21,3.07,2.99,2.73,2.65,2.52,2.44,2.29,2.14,2.01,1.92,1.91,1.57,1.47,1.28,1.12,-1.12,-1.28,-1.47,-1.57,-1.91,-1.92,-2.01,-2.14,-2.29,-2.44,-2.52,-2.65,-2.73,-2.99,-3.07,-3.21,-4.76,-5.18,-5.54,-5.79,-7.23,-7.35,-13.76,-17.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
07/27/2021,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.01,13.76,7.35,7.23,5.79,5.54,5.18,4.76,3.21,3.07,2.99,2.73,2.65,2.52,2.44,2.29,2.14,2.01,1.92,1.91,1.57,1.47,1.28,1.12,-1.12,-1.28,-1.47,-1.57,-1.91,-1.92,-2.01,-2.14,-2.29,-2.44,-2.52,-2.65,-2.73,-2.99,-3.07,-3.21,-4.76,-5.18,-5.54,-5.79,-7.23,-7.35,-13.76,-17.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
07/28/2021,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.01,13.76,7.35,7.23,5.79,5.54,5.18,4.76,3.21,3.07,2.99,2.73,2.65,2.52,2.44,2.29,2.14,2.01,1.92,1.91,1.57,1.47,1.28,1.12,-1.12,-1.28,-1.47,-1.57,-1.91,-1.92,-2.01,-2.14,-2.29,-2.44,-2.52,-2.65,-2.73,-2.99,-3.07,-3.21,-4.76,-5.18,-5.54,-5.79,-7.23,-7.35,-13.76,-17.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
07/29/2021,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.01,13.76,7.35,7.23,5.79,5.54,5.18,4.76,3.21,3.07,2.99,2.73,2.65,2.52,2.44,2.29,2.14,2.01,1.92,1.91,1.57,1.47,1.28,1.12,-1.12,-1.28,-1.47,-1.57,-1.91,-1.92,-2.01,-2.14,-2.29,-2.44,-2.52,-2.65,-2.73,-2.99,-3.07,-3.21,-4.76,-5.18,-5.54,-5.79,-7.23,-7.35,-13.76,-17.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
07/30/2021,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.01,13.76,7.35,7.23,5.79,5.54,5.18,4.76,3.21,3.07,2.99,2.73,2.65,2.52,2.44,2.29,2.14,2.01,1.92,1.91,1.57,1.47,1.28,1.12,-1.12,-1.28,-1.47,-1.57,-1.91,-1.92,-2.01,-2.14,-2.29,-2.44,-2.52,-2.65,-2.73,-2.99,-3.07,-3.21,-4.76,-5.18,-5.54,-5.79,-7.23,-7.35,-13.76,-17.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
08/02/2021,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.01,13.76,7.35,7.23,5.79,5.54,5.18,4.76,3.21,3.07,2.99,2.73,2.65,2.52,2.44,2.29,2.14,2.01,1.92,1.91,1.57,1.47,1.28,1.12,-1.12,-1.28,-1.47,-1.57,-1.91,-1.92,-2.01,-2.14,-2.29,-2.44,-2.52,-2.65,-2.73,-2.99,-3.07,-3.21,-4.76,-5.18,-5.54,-5.79,-7.23,-7.35,-13.76,-17.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
08/03/2021,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.01,13.76,7.35,7.23,5.79,5.54,5.18,4.76,3.21,3.07,2.99,2.73,2.65,2.52,2.44,2.29,2.14,2.01,1.92,1.91,1.57,1.47,1.28,1.12,-1.12,-1.28,-1.47,-1.57,-1.91,-1.92,-2.01,-2.14,-2.29,-2.44,-2.52,-2.65,-2.73,-2.99,-3.07,-3.21,-4.76,-5.18,-5.54,-5.79,-7.23,-7.35,-13.76,-17.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
08/04/2021,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.01,13.76,7.35,7.23,5.79,5.54,5.18,4.76,3.21,3.07,2.99,2.73,2.65,2.52,2.44,2.29,2.14,2.01,1.92,1.91,1.57,1.47,1.28,1.12,-1.12,-1.28,-1.47,-1.57,-1.91,-1.92,-2.01,-2.14,-2.29,-2.44,-2.52,-2.65,-2.73,-2.99,-3.07,-3.21,-4.76,-5.18,-5.54,-5.79,-7.23,-7.35,-13.76,-17.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
08/05/2021,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.01,13.76,7.35,7.23,5.79,5.54,5.18,4.76,3.21,3.07,2.99,2.73,2.65,2.52,2.44,2.29,2.14,2.01,1.92,1.91,1.57,1.47,1.28,1.12,-1.12,-1.28,-1.47,-1.57,-1.91,-1.92,-2.01,-2.14,-2.29,-2.44,-2.52,-2.65,-2.73,-2.99,-3.07,-3.21,-4.76,-5.18,-5.54,-5.79,-7.23,-7.35,-13.76,-17.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
08/06/2021,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-17.13,-13.11,0.0,9.07,-6.6,-5.53,0.0,-5.9,-3.5,3.01,-2.15,-2.14,0.0,2.49,0.0,-1.78,2.24,0.0,1.33,1.47,0.0,0.0,2.14,-0.81,0.81,-2.14,0.0,0.0,-1.47,-1.33,0.0,-2.24,1.78,0.0,-2.49,0.0,2.14,2.15,-3.01,3.5,5.9,6.38,5.53,6.6,-9.07,0.0,13.11,17.13,6.48,2.8,2.79,1.68,1.56,1.18,-1.18,-1.56,-1.68,-2.79,-2.8,-6.38,-6.48,0.0,100.0
