,2330.TW,700.HK,9988.HK,NESN.SW,005930.KS,ASML.AS,ROG.SW,7203.T,MC.PA,NOVN.SW,SAP.DE,1299.HK,ULVR.L,AZN.L,RY.TO,3690.HK,SHOP,CBA.AX,HSBA.L,TD.TO,NOVO B.CO,SIE.DE,6758.T,SAN.PA,TTE.PA,DGE.L,BHP.AX,ALV.DE,9984.T,CSL.AX,GSK.L,RIO.L,NPN.JO,RELIANCE.NS,L'Oreal,6861.T,BATS.L,BP.L,SU.PA,BNS.TO,CNR.TO,IBE.MC,DAI.DE,388.HK,RDSA.AS,ENB.TO,ENEL.MI,939.HK,WBC.AX,BAS.DE,BNP.PA,AIR.PA,SAN.MC,8306.T,VALE3.SA,ADS.DE,INFY.NS,6098.T,NAB.AX,4063.T,RYDBF,KER.PA,VWO,DTE.DE,BAM.A.TO,BMO.TO,DPW.DE,2318.HK,Air Liquide(L'),7974.T,8035.T,ANZ.AX,ABI.BR,BHP.L,ADYEN.AS,BAYN.DE,ZURN.SW,JD,RITN.,HDFC.NS,9433.T,000660.KS,ABBN.SW,RKT.L,PRU.L,005935.KQ,CP.TO,AAL.L,INGA.AS,UBSG.SW,BIDU,7267.T,6594.T,6367.T,CS.PA,1398.HK,IFX.DE,CM.TO,PHIA.AS,DG.PA,EL.PA,2454.TW,4502.T,VOW3.DE,LLOY.L,TRP.TO,GLEN.L,DSV.CO,6501.T,REL.L,VOD.L,WES.AX,NIO,SAF.PA,LONN.SW,7741.T,2317.TW,NG.L,8316.T,2269.HK,INVE B.ST,6954.T,RI.PA,ISP.MI,BARC.L,PRX.AS,VOLV B.ST,SIKA.SW,NTES,4568.T,6981.T,SBER.ME,TCS.NS,RMS.PA,BN.PA,035420.KS,ABX.TO,9983.T,BBVA.MC,GIVN.SW,WOW.AX,D05.SI,CRH.L,8001.T,ITX.MC,ERIC B.ST,CPG.L,MUV2.DE,MFC.TO,STLA.MI,CNQ.TO,8411.T,VWS.CO,LSEG.L,ATCO A.ST,NDA SE.ST,MQG.AX,GAZP.ME,M4B.,PDD,8031.T,9434.T,VNA.DE,NTR.TO,RIO.AX,SU.TO,051910.KS,EXPN.L,6273.T,BMW.DE,3382.T,PGHN.SW,1120.SR,O39.SI,8058.T,AHT.L,ALC.SW,9432.T,AMS.MC,KNEBV.HE,WCN.TO,SGO.PA,DSM.AS,SLF.TO,6902.T,AD.AS,6503.T,6702.T,DBK.DE,FLTR.L,8766.T,HOLN.SW,FERG.L,006400.KS,DSY.PA,ENI.MI,DB1.DE,ATD.B.TO,2010.SR,1180.SR,1810.HK,035720.KS,CLNX.MC,LKOH.ME,PETR4.SA,4503.T,DSYA.,2413.T,CAP.PA,BILI,OR.PA,AI.PA,BAM,CFR.SW,UG,NOKIA.HE,HINDUNILVR.NS,CSU.TO,HEXA B.ST,LR.PA,MRK.DE,SUM
07/23/2021,1.62,1.41,1.26,1.1,1.05,0.86,0.81,0.67,0.61,0.6,0.49,0.47,0.48,0.49,0.45,0.5,0.52,0.42,0.37,0.4,0.42,0.37,0.38,0.36,0.34,0.34,0.34,0.32,0.3,0.3,0.3,0.28,0.27,0.29,0.28,0.28,0.28,0.27,0.26,0.25,0.19,0.22,0.23,0.24,0.26,0.25,0.23,0.23,0.22,0.23,0.21,0.22,0.2,0.21,0.29,0.22,0.24,0.2,0.2,0.21,0.22,0.2,0.21,0.21,0.21,0.21,0.21,0.19,0.21,0.19,0.2,0.19,0.19,0.19,0.22,0.19,0.19,0.15,0.19,0.18,0.16,0.18,0.18,0.18,0.16,0.17,0.16,0.15,0.16,0.16,0.17,0.17,0.17,0.15,0.15,0.15,0.16,0.16,0.14,0.16,0.17,0.16,0.16,0.14,0.14,0.15,0.16,0.14,0.17,0.15,0.15,0.16,0.22,0.15,0.16,0.15,0.15,0.14,0.14,0.18,0.15,0.14,0.14,0.14,0.13,0.13,0.13,0.14,0.1,0.13,0.14,0.13,0.14,0.14,0.13,0.16,0.11,0.12,0.13,0.13,0.11,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.13,0.11,0.12,0.13,0.12,0.12,0.12,0.13,0.11,0.15,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.12,0.11,0.11,0.1,0.1,0.1,0.1,0.1,0.0,0.1,0.1,0.1,0.1,0.0,0.1,0.0,0.0,0.11,0.0,0.0,0.0,0.1,0.1,0.1,0.0,0.1,0.1,0.0,0.0,0.1,0.14,0.12,0.12,0.11,0.1,0.1,0.1,0.1,0.09,0.09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,44.95
07/26/2021,1.62,1.41,1.26,1.1,1.05,0.86,0.81,0.67,0.61,0.6,0.49,0.47,0.48,0.49,0.45,0.5,0.52,0.42,0.37,0.4,0.42,0.37,0.38,0.36,0.34,0.34,0.34,0.32,0.3,0.3,0.3,0.28,0.27,0.29,0.28,0.28,0.28,0.27,0.26,0.25,0.19,0.22,0.23,0.24,0.26,0.25,0.23,0.23,0.22,0.23,0.21,0.22,0.2,0.21,0.29,0.22,0.24,0.2,0.2,0.21,0.22,0.2,0.21,0.21,0.21,0.21,0.21,0.19,0.21,0.19,0.2,0.19,0.19,0.19,0.22,0.19,0.19,0.15,0.19,0.18,0.16,0.18,0.18,0.18,0.16,0.17,0.16,0.15,0.16,0.16,0.17,0.17,0.17,0.15,0.15,0.15,0.16,0.16,0.14,0.16,0.17,0.16,0.16,0.14,0.14,0.15,0.16,0.14,0.17,0.15,0.15,0.16,0.22,0.15,0.16,0.15,0.15,0.14,0.14,0.18,0.15,0.14,0.14,0.14,0.13,0.13,0.13,0.14,0.1,0.13,0.14,0.13,0.14,0.14,0.13,0.16,0.11,0.12,0.13,0.13,0.11,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.13,0.11,0.12,0.13,0.12,0.12,0.12,0.13,0.11,0.15,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.12,0.11,0.11,0.1,0.1,0.1,0.1,0.1,0.0,0.1,0.1,0.1,0.1,0.0,0.1,0.0,0.0,0.11,0.0,0.0,0.0,0.1,0.1,0.1,0.0,0.1,0.1,0.0,0.0,0.1,0.14,0.12,0.12,0.11,0.1,0.1,0.1,0.1,0.09,0.09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,44.95
07/27/2021,1.62,1.41,1.26,1.1,1.05,0.86,0.81,0.67,0.61,0.6,0.49,0.47,0.48,0.49,0.45,0.5,0.52,0.42,0.37,0.4,0.42,0.37,0.38,0.36,0.34,0.34,0.34,0.32,0.3,0.3,0.3,0.28,0.27,0.29,0.28,0.28,0.28,0.27,0.26,0.25,0.19,0.22,0.23,0.24,0.26,0.25,0.23,0.23,0.22,0.23,0.21,0.22,0.2,0.21,0.29,0.22,0.24,0.2,0.2,0.21,0.22,0.2,0.21,0.21,0.21,0.21,0.21,0.19,0.21,0.19,0.2,0.19,0.19,0.19,0.22,0.19,0.19,0.15,0.19,0.18,0.16,0.18,0.18,0.18,0.16,0.17,0.16,0.15,0.16,0.16,0.17,0.17,0.17,0.15,0.15,0.15,0.16,0.16,0.14,0.16,0.17,0.16,0.16,0.14,0.14,0.15,0.16,0.14,0.17,0.15,0.15,0.16,0.22,0.15,0.16,0.15,0.15,0.14,0.14,0.18,0.15,0.14,0.14,0.14,0.13,0.13,0.13,0.14,0.1,0.13,0.14,0.13,0.14,0.14,0.13,0.16,0.11,0.12,0.13,0.13,0.11,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.13,0.11,0.12,0.13,0.12,0.12,0.12,0.13,0.11,0.15,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.12,0.11,0.11,0.1,0.1,0.1,0.1,0.1,0.0,0.1,0.1,0.1,0.1,0.0,0.1,0.0,0.0,0.11,0.0,0.0,0.0,0.1,0.1,0.1,0.0,0.1,0.1,0.0,0.0,0.1,0.14,0.12,0.12,0.11,0.1,0.1,0.1,0.1,0.09,0.09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,44.95
07/28/2021,1.62,1.41,1.26,1.1,1.05,0.86,0.81,0.67,0.61,0.6,0.49,0.47,0.48,0.49,0.45,0.5,0.52,0.42,0.37,0.4,0.42,0.37,0.38,0.36,0.34,0.34,0.34,0.32,0.3,0.3,0.3,0.28,0.27,0.29,0.28,0.28,0.28,0.27,0.26,0.25,0.19,0.22,0.23,0.24,0.26,0.25,0.23,0.23,0.22,0.23,0.21,0.22,0.2,0.21,0.29,0.22,0.24,0.2,0.2,0.21,0.22,0.2,0.21,0.21,0.21,0.21,0.21,0.19,0.21,0.19,0.2,0.19,0.19,0.19,0.22,0.19,0.19,0.15,0.19,0.18,0.16,0.18,0.18,0.18,0.16,0.17,0.16,0.15,0.16,0.16,0.17,0.17,0.17,0.15,0.15,0.15,0.16,0.16,0.14,0.16,0.17,0.16,0.16,0.14,0.14,0.15,0.16,0.14,0.17,0.15,0.15,0.16,0.22,0.15,0.16,0.15,0.15,0.14,0.14,0.18,0.15,0.14,0.14,0.14,0.13,0.13,0.13,0.14,0.1,0.13,0.14,0.13,0.14,0.14,0.13,0.16,0.11,0.12,0.13,0.13,0.11,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.13,0.11,0.12,0.13,0.12,0.12,0.12,0.13,0.11,0.15,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.12,0.11,0.11,0.1,0.1,0.1,0.1,0.1,0.0,0.1,0.1,0.1,0.1,0.0,0.1,0.0,0.0,0.11,0.0,0.0,0.0,0.1,0.1,0.1,0.0,0.1,0.1,0.0,0.0,0.1,0.14,0.12,0.12,0.11,0.1,0.1,0.1,0.1,0.09,0.09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,44.95
07/29/2021,1.62,1.41,1.26,1.1,1.05,0.86,0.81,0.67,0.61,0.6,0.49,0.47,0.48,0.49,0.45,0.5,0.52,0.42,0.37,0.4,0.42,0.37,0.38,0.36,0.34,0.34,0.34,0.32,0.3,0.3,0.3,0.28,0.27,0.29,0.28,0.28,0.28,0.27,0.26,0.25,0.19,0.22,0.23,0.24,0.26,0.25,0.23,0.23,0.22,0.23,0.21,0.22,0.2,0.21,0.29,0.22,0.24,0.2,0.2,0.21,0.22,0.2,0.21,0.21,0.21,0.21,0.21,0.19,0.21,0.19,0.2,0.19,0.19,0.19,0.22,0.19,0.19,0.15,0.19,0.18,0.16,0.18,0.18,0.18,0.16,0.17,0.16,0.15,0.16,0.16,0.17,0.17,0.17,0.15,0.15,0.15,0.16,0.16,0.14,0.16,0.17,0.16,0.16,0.14,0.14,0.15,0.16,0.14,0.17,0.15,0.15,0.16,0.22,0.15,0.16,0.15,0.15,0.14,0.14,0.18,0.15,0.14,0.14,0.14,0.13,0.13,0.13,0.14,0.1,0.13,0.14,0.13,0.14,0.14,0.13,0.16,0.11,0.12,0.13,0.13,0.11,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.13,0.11,0.12,0.13,0.12,0.12,0.12,0.13,0.11,0.15,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.12,0.11,0.11,0.1,0.1,0.1,0.1,0.1,0.0,0.1,0.1,0.1,0.1,0.0,0.1,0.0,0.0,0.11,0.0,0.0,0.0,0.1,0.1,0.1,0.0,0.1,0.1,0.0,0.0,0.1,0.14,0.12,0.12,0.11,0.1,0.1,0.1,0.1,0.09,0.09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,44.95
07/30/2021,1.62,1.41,1.26,1.1,1.05,0.86,0.81,0.67,0.61,0.6,0.49,0.47,0.48,0.49,0.45,0.5,0.52,0.42,0.37,0.4,0.42,0.37,0.38,0.36,0.34,0.34,0.34,0.32,0.3,0.3,0.3,0.28,0.27,0.29,0.28,0.28,0.28,0.27,0.26,0.25,0.19,0.22,0.23,0.24,0.26,0.25,0.23,0.23,0.22,0.23,0.21,0.22,0.2,0.21,0.29,0.22,0.24,0.2,0.2,0.21,0.22,0.2,0.21,0.21,0.21,0.21,0.21,0.19,0.21,0.19,0.2,0.19,0.19,0.19,0.22,0.19,0.19,0.15,0.19,0.18,0.16,0.18,0.18,0.18,0.16,0.17,0.16,0.15,0.16,0.16,0.17,0.17,0.17,0.15,0.15,0.15,0.16,0.16,0.14,0.16,0.17,0.16,0.16,0.14,0.14,0.15,0.16,0.14,0.17,0.15,0.15,0.16,0.22,0.15,0.16,0.15,0.15,0.14,0.14,0.18,0.15,0.14,0.14,0.14,0.13,0.13,0.13,0.14,0.1,0.13,0.14,0.13,0.14,0.14,0.13,0.16,0.11,0.12,0.13,0.13,0.11,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.13,0.11,0.12,0.13,0.12,0.12,0.12,0.13,0.11,0.15,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.12,0.11,0.11,0.1,0.1,0.1,0.1,0.1,0.0,0.1,0.1,0.1,0.1,0.0,0.1,0.0,0.0,0.11,0.0,0.0,0.0,0.1,0.1,0.1,0.0,0.1,0.1,0.0,0.0,0.1,0.14,0.12,0.12,0.11,0.1,0.1,0.1,0.1,0.09,0.09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,44.95
08/02/2021,1.62,1.41,1.26,1.1,1.05,0.86,0.81,0.67,0.61,0.6,0.49,0.47,0.48,0.49,0.45,0.5,0.52,0.42,0.37,0.4,0.42,0.37,0.38,0.36,0.34,0.34,0.34,0.32,0.3,0.3,0.3,0.28,0.27,0.29,0.28,0.28,0.28,0.27,0.26,0.25,0.19,0.22,0.23,0.24,0.26,0.25,0.23,0.23,0.22,0.23,0.21,0.22,0.2,0.21,0.29,0.22,0.24,0.2,0.2,0.21,0.22,0.2,0.21,0.21,0.21,0.21,0.21,0.19,0.21,0.19,0.2,0.19,0.19,0.19,0.22,0.19,0.19,0.15,0.19,0.18,0.16,0.18,0.18,0.18,0.16,0.17,0.16,0.15,0.16,0.16,0.17,0.17,0.17,0.15,0.15,0.15,0.16,0.16,0.14,0.16,0.17,0.16,0.16,0.14,0.14,0.15,0.16,0.14,0.17,0.15,0.15,0.16,0.22,0.15,0.16,0.15,0.15,0.14,0.14,0.18,0.15,0.14,0.14,0.14,0.13,0.13,0.13,0.14,0.1,0.13,0.14,0.13,0.14,0.14,0.13,0.16,0.11,0.12,0.13,0.13,0.11,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.13,0.11,0.12,0.13,0.12,0.12,0.12,0.13,0.11,0.15,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.12,0.11,0.11,0.1,0.1,0.1,0.1,0.1,0.0,0.1,0.1,0.1,0.1,0.0,0.1,0.0,0.0,0.11,0.0,0.0,0.0,0.1,0.1,0.1,0.0,0.1,0.1,0.0,0.0,0.1,0.14,0.12,0.12,0.11,0.1,0.1,0.1,0.1,0.09,0.09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,44.95
08/03/2021,1.62,1.41,1.26,1.1,1.05,0.86,0.81,0.67,0.61,0.6,0.49,0.47,0.48,0.49,0.45,0.5,0.52,0.42,0.37,0.4,0.42,0.37,0.38,0.36,0.34,0.34,0.34,0.32,0.3,0.3,0.3,0.28,0.27,0.29,0.28,0.28,0.28,0.27,0.26,0.25,0.19,0.22,0.23,0.24,0.26,0.25,0.23,0.23,0.22,0.23,0.21,0.22,0.2,0.21,0.29,0.22,0.24,0.2,0.2,0.21,0.22,0.2,0.21,0.21,0.21,0.21,0.21,0.19,0.21,0.19,0.2,0.19,0.19,0.19,0.22,0.19,0.19,0.15,0.19,0.18,0.16,0.18,0.18,0.18,0.16,0.17,0.16,0.15,0.16,0.16,0.17,0.17,0.17,0.15,0.15,0.15,0.16,0.16,0.14,0.16,0.17,0.16,0.16,0.14,0.14,0.15,0.16,0.14,0.17,0.15,0.15,0.16,0.22,0.15,0.16,0.15,0.15,0.14,0.14,0.18,0.15,0.14,0.14,0.14,0.13,0.13,0.13,0.14,0.1,0.13,0.14,0.13,0.14,0.14,0.13,0.16,0.11,0.12,0.13,0.13,0.11,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.13,0.11,0.12,0.13,0.12,0.12,0.12,0.13,0.11,0.15,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.12,0.11,0.11,0.1,0.1,0.1,0.1,0.1,0.0,0.1,0.1,0.1,0.1,0.0,0.1,0.0,0.0,0.11,0.0,0.0,0.0,0.1,0.1,0.1,0.0,0.1,0.1,0.0,0.0,0.1,0.14,0.12,0.12,0.11,0.1,0.1,0.1,0.1,0.09,0.09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,44.95
08/04/2021,1.62,1.41,1.26,1.1,1.05,0.86,0.81,0.67,0.61,0.6,0.49,0.47,0.48,0.49,0.45,0.5,0.52,0.42,0.37,0.4,0.42,0.37,0.38,0.36,0.34,0.34,0.34,0.32,0.3,0.3,0.3,0.28,0.27,0.29,0.28,0.28,0.28,0.27,0.26,0.25,0.19,0.22,0.23,0.24,0.26,0.25,0.23,0.23,0.22,0.23,0.21,0.22,0.2,0.21,0.29,0.22,0.24,0.2,0.2,0.21,0.22,0.2,0.21,0.21,0.21,0.21,0.21,0.19,0.21,0.19,0.2,0.19,0.19,0.19,0.22,0.19,0.19,0.15,0.19,0.18,0.16,0.18,0.18,0.18,0.16,0.17,0.16,0.15,0.16,0.16,0.17,0.17,0.17,0.15,0.15,0.15,0.16,0.16,0.14,0.16,0.17,0.16,0.16,0.14,0.14,0.15,0.16,0.14,0.17,0.15,0.15,0.16,0.22,0.15,0.16,0.15,0.15,0.14,0.14,0.18,0.15,0.14,0.14,0.14,0.13,0.13,0.13,0.14,0.1,0.13,0.14,0.13,0.14,0.14,0.13,0.16,0.11,0.12,0.13,0.13,0.11,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.13,0.11,0.12,0.13,0.12,0.12,0.12,0.13,0.11,0.15,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.12,0.11,0.11,0.1,0.1,0.1,0.1,0.1,0.0,0.1,0.1,0.1,0.1,0.0,0.1,0.0,0.0,0.11,0.0,0.0,0.0,0.1,0.1,0.1,0.0,0.1,0.1,0.0,0.0,0.1,0.14,0.12,0.12,0.11,0.1,0.1,0.1,0.1,0.09,0.09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,44.95
08/05/2021,1.62,1.41,1.26,1.1,1.05,0.86,0.81,0.67,0.61,0.6,0.49,0.47,0.48,0.49,0.45,0.5,0.52,0.42,0.37,0.4,0.42,0.37,0.38,0.36,0.34,0.34,0.34,0.32,0.3,0.3,0.3,0.28,0.27,0.29,0.28,0.28,0.28,0.27,0.26,0.25,0.19,0.22,0.23,0.24,0.26,0.25,0.23,0.23,0.22,0.23,0.21,0.22,0.2,0.21,0.29,0.22,0.24,0.2,0.2,0.21,0.22,0.2,0.21,0.21,0.21,0.21,0.21,0.19,0.21,0.19,0.2,0.19,0.19,0.19,0.22,0.19,0.19,0.15,0.19,0.18,0.16,0.18,0.18,0.18,0.16,0.17,0.16,0.15,0.16,0.16,0.17,0.17,0.17,0.15,0.15,0.15,0.16,0.16,0.14,0.16,0.17,0.16,0.16,0.14,0.14,0.15,0.16,0.14,0.17,0.15,0.15,0.16,0.22,0.15,0.16,0.15,0.15,0.14,0.14,0.18,0.15,0.14,0.14,0.14,0.13,0.13,0.13,0.14,0.1,0.13,0.14,0.13,0.14,0.14,0.13,0.16,0.11,0.12,0.13,0.13,0.11,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.13,0.11,0.12,0.13,0.12,0.12,0.12,0.13,0.11,0.15,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.12,0.11,0.11,0.1,0.1,0.1,0.1,0.1,0.0,0.1,0.1,0.1,0.1,0.0,0.1,0.0,0.0,0.11,0.0,0.0,0.0,0.1,0.1,0.1,0.0,0.1,0.1,0.0,0.0,0.1,0.14,0.12,0.12,0.11,0.1,0.1,0.1,0.1,0.09,0.09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,44.95
08/06/2021,1.62,1.41,1.26,1.1,1.05,0.86,0.81,0.67,0.61,0.6,0.49,0.47,0.48,0.49,0.45,0.5,0.52,0.42,0.37,0.4,0.42,0.37,0.38,0.36,0.34,0.34,0.34,0.32,0.3,0.3,0.3,0.28,0.27,0.29,0.28,0.28,0.28,0.27,0.26,0.25,0.19,0.22,0.23,0.24,0.26,0.25,0.23,0.23,0.22,0.23,0.21,0.22,0.2,0.21,0.29,0.22,0.24,0.2,0.2,0.21,0.22,0.2,0.21,0.21,0.21,0.21,0.21,0.19,0.21,0.19,0.2,0.19,0.19,0.19,0.22,0.19,0.19,0.15,0.19,0.18,0.16,0.18,0.18,0.18,0.16,0.17,0.16,0.15,0.16,0.16,0.17,0.17,0.17,0.15,0.15,0.15,0.16,0.16,0.14,0.16,0.17,0.16,0.16,0.14,0.14,0.15,0.16,0.14,0.17,0.15,0.15,0.16,0.22,0.15,0.16,0.15,0.15,0.14,0.14,0.18,0.15,0.14,0.14,0.14,0.13,0.13,0.13,0.14,0.1,0.13,0.14,0.13,0.14,0.14,0.13,0.16,0.11,0.12,0.13,0.13,0.11,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.13,0.11,0.12,0.13,0.12,0.12,0.12,0.13,0.11,0.15,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.12,0.11,0.11,0.1,0.1,0.1,0.1,0.1,0.0,0.1,0.1,0.1,0.1,0.0,0.1,0.0,0.0,0.11,0.0,0.0,0.0,0.1,0.1,0.1,0.0,0.1,0.1,0.0,0.0,0.1,0.14,0.12,0.12,0.11,0.1,0.1,0.1,0.1,0.09,0.09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,44.95
09/20/2021,1.65,1.16,0.93,1.11,0.96,1.03,0.86,0.67,0.58,0.61,0.52,0.45,0.46,0.57,0.46,0.39,0.54,0.4,0.34,0.37,0.51,0.39,0.4,0.35,0.34,0.35,0.3,0.3,0.24,0.32,0.31,0.25,0.11,0.3,0.0,0.34,0.27,0.25,0.3,0.23,0.22,0.23,0.22,0.25,0.25,0.25,0.22,0.21,0.22,0.22,0.21,0.24,0.2,0.21,0.24,0.21,0.26,0.25,0.21,0.2,0.23,0.18,0.2,0.21,0.0,0.2,0.22,0.15,0.0,0.16,0.2,0.18,0.16,0.2,0.29,0.17,0.2,0.15,0.0,0.21,0.16,0.15,0.2,0.15,0.17,0.16,0.14,0.16,0.17,0.17,0.13,0.16,0.17,0.21,0.17,0.14,0.17,0.16,0.13,0.17,0.18,0.15,0.16,0.13,0.13,0.15,0.17,0.16,0.16,0.17,0.15,0.15,0.16,0.14,0.2,0.18,0.15,0.14,0.14,0.16,0.15,0.13,0.14,0.15,0.13,0.24,0.12,0.16,0.0,0.14,0.15,0.14,0.17,0.14,0.14,0.16,0.11,0.11,0.14,0.14,0.12,0.12,0.13,0.13,0.11,0.11,0.12,0.13,0.12,0.0,0.12,0.11,0.13,0.12,0.14,0.13,0.12,0.14,0.1,0.12,0.11,0.11,0.12,0.11,0.0,0.0,0.0,0.13,0.11,0.0,0.1,0.12,0.12,0.0,0.11,0.11,0.12,0.1,0.0,0.1,0.11,0.11,0.11,0.0,0.1,0.1,0.0,0.11,0.0,0.1,0.1,0.0,0.1,0.11,0.12,0.1,0.1,0.1,0.0,0.11,0.13,0.11,0.13,0.1,0.0,0.1,0.0,0.0,0.11,0.0,0.31,0.26,0.24,0.18,0.13,0.11,0.1,0.1,0.1,0.1,0.1,44.760000000000005
09/21/2021,1.65,1.16,0.93,1.11,0.96,1.03,0.86,0.67,0.58,0.61,0.52,0.45,0.46,0.57,0.46,0.39,0.54,0.4,0.34,0.37,0.51,0.39,0.4,0.35,0.34,0.35,0.3,0.3,0.24,0.32,0.31,0.25,0.11,0.3,0.0,0.34,0.27,0.25,0.3,0.23,0.22,0.23,0.22,0.25,0.25,0.25,0.22,0.21,0.22,0.22,0.21,0.24,0.2,0.21,0.24,0.21,0.26,0.25,0.21,0.2,0.23,0.18,0.2,0.21,0.0,0.2,0.22,0.15,0.0,0.16,0.2,0.18,0.16,0.2,0.29,0.17,0.2,0.15,0.0,0.21,0.16,0.15,0.2,0.15,0.17,0.16,0.14,0.16,0.17,0.17,0.13,0.16,0.17,0.21,0.17,0.14,0.17,0.16,0.13,0.17,0.18,0.15,0.16,0.13,0.13,0.15,0.17,0.16,0.16,0.17,0.15,0.15,0.16,0.14,0.2,0.18,0.15,0.14,0.14,0.16,0.15,0.13,0.14,0.15,0.13,0.24,0.12,0.16,0.0,0.14,0.15,0.14,0.17,0.14,0.14,0.16,0.11,0.11,0.14,0.14,0.12,0.12,0.13,0.13,0.11,0.11,0.12,0.13,0.12,0.0,0.12,0.11,0.13,0.12,0.14,0.13,0.12,0.14,0.1,0.12,0.11,0.11,0.12,0.11,0.0,0.0,0.0,0.13,0.11,0.0,0.1,0.12,0.12,0.0,0.11,0.11,0.12,0.1,0.0,0.1,0.11,0.11,0.11,0.0,0.1,0.1,0.0,0.11,0.0,0.1,0.1,0.0,0.1,0.11,0.12,0.1,0.1,0.1,0.0,0.11,0.13,0.11,0.13,0.1,0.0,0.1,0.0,0.0,0.11,0.0,0.31,0.26,0.24,0.18,0.13,0.11,0.1,0.1,0.1,0.1,0.1,44.760000000000005
09/22/2021,1.65,1.16,0.93,1.11,0.96,1.03,0.86,0.67,0.58,0.61,0.52,0.45,0.46,0.57,0.46,0.39,0.54,0.4,0.34,0.37,0.51,0.39,0.4,0.35,0.34,0.35,0.3,0.3,0.24,0.32,0.31,0.25,0.11,0.3,0.0,0.34,0.27,0.25,0.3,0.23,0.22,0.23,0.22,0.25,0.25,0.25,0.22,0.21,0.22,0.22,0.21,0.24,0.2,0.21,0.24,0.21,0.26,0.25,0.21,0.2,0.23,0.18,0.2,0.21,0.0,0.2,0.22,0.15,0.0,0.16,0.2,0.18,0.16,0.2,0.29,0.17,0.2,0.15,0.0,0.21,0.16,0.15,0.2,0.15,0.17,0.16,0.14,0.16,0.17,0.17,0.13,0.16,0.17,0.21,0.17,0.14,0.17,0.16,0.13,0.17,0.18,0.15,0.16,0.13,0.13,0.15,0.17,0.16,0.16,0.17,0.15,0.15,0.16,0.14,0.2,0.18,0.15,0.14,0.14,0.16,0.15,0.13,0.14,0.15,0.13,0.24,0.12,0.16,0.0,0.14,0.15,0.14,0.17,0.14,0.14,0.16,0.11,0.11,0.14,0.14,0.12,0.12,0.13,0.13,0.11,0.11,0.12,0.13,0.12,0.0,0.12,0.11,0.13,0.12,0.14,0.13,0.12,0.14,0.1,0.12,0.11,0.11,0.12,0.11,0.0,0.0,0.0,0.13,0.11,0.0,0.1,0.12,0.12,0.0,0.11,0.11,0.12,0.1,0.0,0.1,0.11,0.11,0.11,0.0,0.1,0.1,0.0,0.11,0.0,0.1,0.1,0.0,0.1,0.11,0.12,0.1,0.1,0.1,0.0,0.11,0.13,0.11,0.13,0.1,0.0,0.1,0.0,0.0,0.11,0.0,0.31,0.26,0.24,0.18,0.13,0.11,0.1,0.1,0.1,0.1,0.1,44.760000000000005
