,AAPL,MSFT,AMZN,FB,GOOGL,GOOG,JPM,TSLA,700.HK,JNJ,BRK.B,UNH,NVDA,V,9988.HK,2330.TW,NESN.SW,HD,BAC,PG,DIS,MA,PYPL,ASML.AS,CMCSA,XOM,ADBE,INTC,VZ,ROG.SW,CSCO,PFE,NFLX,KO,T,CRM,PEP,7203.T,ABT,CVX,MC.PA,ABBV,WMT,MRK,NOVN.SW,AVGO,TMO,ACN,WFC,TXN,MCD,TSM,NKE,MDT,LLY,COST,C,1299.HK,SSU.,HON,005930.KS,DHR,LIN,SAP.DE,UPS,ULVR.L,QCOM,UNP,AZN.L,PM,BMY,RY.TO,ORCL,NEE,LOW,AMGN,SHOP,CBA.AX,3690.HK,SBUX,BA,HSBA.L,CAT,TD.TO,BLK,IBM,MS,NOVO B.CO,AMAT,RTX,SIE.DE,GS,6758.T,GE,BRK.A,SAN.PA,AMT,MMM,DE,TGT,CVS,TTE.PA,INTU,DGE.L,BHP.AX,ALV.DE,9984.T,AXP,SCHW,CSL.AX,ANTM,ISRG,CHTR,AMD,BKNG,LMT,GSK.L,RIO.L,NPN.JO,LRCX,MU,NOW,FIS,MO,SPGI,6861.T,CI,MDLZ,SYK,BP.L,PLD,SU.PA,ZTS,ADP,GILD,TFC,PNC,SQ,USB,IBE.MC,TJX,BNS.TO,CNR.TO,RDSA.AS,388.HK,CCI,DAI.DE,BATS.L,ENB.TO,TMUS,CME,FDX,ENEL.MI,939.HK,CB,CSX,COP,WBC.AX,BAS.DE,ATVI,GM,BNP.PA,DUK,AIR.PA,COF,ITW,8306.T,ADS.DE,SAN.MC,UBER,NSC,CL,SHW,BDX,MMC,6098.T,EL,4063.T,005935.KQ,NAB.AX,FISV,KER.PA,BAM.A.TO,SO,BMO.TO,DTE.DE,RYDBF,DPW.DE,APD,EQIX,7974.T,8035.T,JD,SDA.AX,ADSK,ADYEN.AS,ABI.BR,BAYN.DE,ANZ.AX,BHP.L,4338.SR,ZM,MRNA,MELI,NIO,ILMN,ICE,VALE3.SA,EW,TWLO,BAM,CFR.SW,HCA,BSX,4340.SR,n/a,ADI,AI.PA,PRX.AS,ETN,REGN,HDFC.NS,6367.T,WM,AON,SUM
07/23/2021,2.85,2.71,1.98,1.1,0.97,0.95,0.62,0.7,0.6,0.58,0.54,0.5,0.64,0.52,0.53,0.49,0.46,0.45,0.41,0.43,0.42,0.42,0.46,0.36,0.35,0.35,0.37,0.3,0.31,0.33,0.3,0.29,0.3,0.28,0.27,0.29,0.27,0.29,0.27,0.27,0.26,0.26,0.27,0.26,0.26,0.25,0.26,0.25,0.25,0.24,0.23,0.23,0.25,0.22,0.26,0.23,0.19,0.2,0.21,0.2,0.21,0.23,0.2,0.21,0.2,0.2,0.21,0.19,0.21,0.2,0.2,0.19,0.18,0.19,0.18,0.19,0.22,0.18,0.21,0.17,0.17,0.16,0.16,0.17,0.17,0.17,0.17,0.18,0.17,0.17,0.16,0.17,0.16,0.16,0.15,0.15,0.16,0.15,0.13,0.16,0.15,0.15,0.17,0.15,0.14,0.14,0.13,0.14,0.15,0.13,0.12,0.14,0.13,0.15,0.12,0.12,0.13,0.12,0.11,0.12,0.13,0.14,0.12,0.12,0.13,0.12,0.11,0.12,0.12,0.12,0.12,0.11,0.12,0.11,0.11,0.1,0.11,0.13,0.1,0.09,0.11,0.1,0.0,0.11,0.1,0.11,0.1,0.1,0.11,0.11,0.1,0.1,0.1,0.1,0.09,0.1,0.11,0.09,0.1,0.1,0.11,0.09,0.1,0.1,0.09,0.09,0.09,0.09,0.09,0.11,0.09,0.09,0.09,0.09,0.09,0.09,0.1,0.09,0.09,0.09,0.08,0.09,0.09,0.08,0.09,0.09,0.09,0.09,0.0,0.1,0.0,0.0,0.0,0.0,0.09,0.09,0.0,0.0,0.0,0.0,0.09,0.11,0.11,0.09,0.09,0.09,0.09,0.09,0.09,0.08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,47.28
07/26/2021,2.85,2.71,1.98,1.1,0.97,0.95,0.62,0.7,0.6,0.58,0.54,0.5,0.64,0.52,0.53,0.49,0.46,0.45,0.41,0.43,0.42,0.42,0.46,0.36,0.35,0.35,0.37,0.3,0.31,0.33,0.3,0.29,0.3,0.28,0.27,0.29,0.27,0.29,0.27,0.27,0.26,0.26,0.27,0.26,0.26,0.25,0.26,0.25,0.25,0.24,0.23,0.23,0.25,0.22,0.26,0.23,0.19,0.2,0.21,0.2,0.21,0.23,0.2,0.21,0.2,0.2,0.21,0.19,0.21,0.2,0.2,0.19,0.18,0.19,0.18,0.19,0.22,0.18,0.21,0.17,0.17,0.16,0.16,0.17,0.17,0.17,0.17,0.18,0.17,0.17,0.16,0.17,0.16,0.16,0.15,0.15,0.16,0.15,0.13,0.16,0.15,0.15,0.17,0.15,0.14,0.14,0.13,0.14,0.15,0.13,0.12,0.14,0.13,0.15,0.12,0.12,0.13,0.12,0.11,0.12,0.13,0.14,0.12,0.12,0.13,0.12,0.11,0.12,0.12,0.12,0.12,0.11,0.12,0.11,0.11,0.1,0.11,0.13,0.1,0.09,0.11,0.1,0.0,0.11,0.1,0.11,0.1,0.1,0.11,0.11,0.1,0.1,0.1,0.1,0.09,0.1,0.11,0.09,0.1,0.1,0.11,0.09,0.1,0.1,0.09,0.09,0.09,0.09,0.09,0.11,0.09,0.09,0.09,0.09,0.09,0.09,0.1,0.09,0.09,0.09,0.08,0.09,0.09,0.08,0.09,0.09,0.09,0.09,0.0,0.1,0.0,0.0,0.0,0.0,0.09,0.09,0.0,0.0,0.0,0.0,0.09,0.11,0.11,0.09,0.09,0.09,0.09,0.09,0.09,0.08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,47.28
07/27/2021,2.85,2.71,1.98,1.1,0.97,0.95,0.62,0.7,0.6,0.58,0.54,0.5,0.64,0.52,0.53,0.49,0.46,0.45,0.41,0.43,0.42,0.42,0.46,0.36,0.35,0.35,0.37,0.3,0.31,0.33,0.3,0.29,0.3,0.28,0.27,0.29,0.27,0.29,0.27,0.27,0.26,0.26,0.27,0.26,0.26,0.25,0.26,0.25,0.25,0.24,0.23,0.23,0.25,0.22,0.26,0.23,0.19,0.2,0.21,0.2,0.21,0.23,0.2,0.21,0.2,0.2,0.21,0.19,0.21,0.2,0.2,0.19,0.18,0.19,0.18,0.19,0.22,0.18,0.21,0.17,0.17,0.16,0.16,0.17,0.17,0.17,0.17,0.18,0.17,0.17,0.16,0.17,0.16,0.16,0.15,0.15,0.16,0.15,0.13,0.16,0.15,0.15,0.17,0.15,0.14,0.14,0.13,0.14,0.15,0.13,0.12,0.14,0.13,0.15,0.12,0.12,0.13,0.12,0.11,0.12,0.13,0.14,0.12,0.12,0.13,0.12,0.11,0.12,0.12,0.12,0.12,0.11,0.12,0.11,0.11,0.1,0.11,0.13,0.1,0.09,0.11,0.1,0.0,0.11,0.1,0.11,0.1,0.1,0.11,0.11,0.1,0.1,0.1,0.1,0.09,0.1,0.11,0.09,0.1,0.1,0.11,0.09,0.1,0.1,0.09,0.09,0.09,0.09,0.09,0.11,0.09,0.09,0.09,0.09,0.09,0.09,0.1,0.09,0.09,0.09,0.08,0.09,0.09,0.08,0.09,0.09,0.09,0.09,0.0,0.1,0.0,0.0,0.0,0.0,0.09,0.09,0.0,0.0,0.0,0.0,0.09,0.11,0.11,0.09,0.09,0.09,0.09,0.09,0.09,0.08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,47.28
07/28/2021,2.85,2.71,1.98,1.1,0.97,0.95,0.62,0.7,0.6,0.58,0.54,0.5,0.64,0.52,0.53,0.49,0.46,0.45,0.41,0.43,0.42,0.42,0.46,0.36,0.35,0.35,0.37,0.3,0.31,0.33,0.3,0.29,0.3,0.28,0.27,0.29,0.27,0.29,0.27,0.27,0.26,0.26,0.27,0.26,0.26,0.25,0.26,0.25,0.25,0.24,0.23,0.23,0.25,0.22,0.26,0.23,0.19,0.2,0.21,0.2,0.21,0.23,0.2,0.21,0.2,0.2,0.21,0.19,0.21,0.2,0.2,0.19,0.18,0.19,0.18,0.19,0.22,0.18,0.21,0.17,0.17,0.16,0.16,0.17,0.17,0.17,0.17,0.18,0.17,0.17,0.16,0.17,0.16,0.16,0.15,0.15,0.16,0.15,0.13,0.16,0.15,0.15,0.17,0.15,0.14,0.14,0.13,0.14,0.15,0.13,0.12,0.14,0.13,0.15,0.12,0.12,0.13,0.12,0.11,0.12,0.13,0.14,0.12,0.12,0.13,0.12,0.11,0.12,0.12,0.12,0.12,0.11,0.12,0.11,0.11,0.1,0.11,0.13,0.1,0.09,0.11,0.1,0.0,0.11,0.1,0.11,0.1,0.1,0.11,0.11,0.1,0.1,0.1,0.1,0.09,0.1,0.11,0.09,0.1,0.1,0.11,0.09,0.1,0.1,0.09,0.09,0.09,0.09,0.09,0.11,0.09,0.09,0.09,0.09,0.09,0.09,0.1,0.09,0.09,0.09,0.08,0.09,0.09,0.08,0.09,0.09,0.09,0.09,0.0,0.1,0.0,0.0,0.0,0.0,0.09,0.09,0.0,0.0,0.0,0.0,0.09,0.11,0.11,0.09,0.09,0.09,0.09,0.09,0.09,0.08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,47.28
07/29/2021,2.85,2.71,1.98,1.1,0.97,0.95,0.62,0.7,0.6,0.58,0.54,0.5,0.64,0.52,0.53,0.49,0.46,0.45,0.41,0.43,0.42,0.42,0.46,0.36,0.35,0.35,0.37,0.3,0.31,0.33,0.3,0.29,0.3,0.28,0.27,0.29,0.27,0.29,0.27,0.27,0.26,0.26,0.27,0.26,0.26,0.25,0.26,0.25,0.25,0.24,0.23,0.23,0.25,0.22,0.26,0.23,0.19,0.2,0.21,0.2,0.21,0.23,0.2,0.21,0.2,0.2,0.21,0.19,0.21,0.2,0.2,0.19,0.18,0.19,0.18,0.19,0.22,0.18,0.21,0.17,0.17,0.16,0.16,0.17,0.17,0.17,0.17,0.18,0.17,0.17,0.16,0.17,0.16,0.16,0.15,0.15,0.16,0.15,0.13,0.16,0.15,0.15,0.17,0.15,0.14,0.14,0.13,0.14,0.15,0.13,0.12,0.14,0.13,0.15,0.12,0.12,0.13,0.12,0.11,0.12,0.13,0.14,0.12,0.12,0.13,0.12,0.11,0.12,0.12,0.12,0.12,0.11,0.12,0.11,0.11,0.1,0.11,0.13,0.1,0.09,0.11,0.1,0.0,0.11,0.1,0.11,0.1,0.1,0.11,0.11,0.1,0.1,0.1,0.1,0.09,0.1,0.11,0.09,0.1,0.1,0.11,0.09,0.1,0.1,0.09,0.09,0.09,0.09,0.09,0.11,0.09,0.09,0.09,0.09,0.09,0.09,0.1,0.09,0.09,0.09,0.08,0.09,0.09,0.08,0.09,0.09,0.09,0.09,0.0,0.1,0.0,0.0,0.0,0.0,0.09,0.09,0.0,0.0,0.0,0.0,0.09,0.11,0.11,0.09,0.09,0.09,0.09,0.09,0.09,0.08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,47.28
07/30/2021,2.85,2.71,1.98,1.1,0.97,0.95,0.62,0.7,0.6,0.58,0.54,0.5,0.64,0.52,0.53,0.49,0.46,0.45,0.41,0.43,0.42,0.42,0.46,0.36,0.35,0.35,0.37,0.3,0.31,0.33,0.3,0.29,0.3,0.28,0.27,0.29,0.27,0.29,0.27,0.27,0.26,0.26,0.27,0.26,0.26,0.25,0.26,0.25,0.25,0.24,0.23,0.23,0.25,0.22,0.26,0.23,0.19,0.2,0.21,0.2,0.21,0.23,0.2,0.21,0.2,0.2,0.21,0.19,0.21,0.2,0.2,0.19,0.18,0.19,0.18,0.19,0.22,0.18,0.21,0.17,0.17,0.16,0.16,0.17,0.17,0.17,0.17,0.18,0.17,0.17,0.16,0.17,0.16,0.16,0.15,0.15,0.16,0.15,0.13,0.16,0.15,0.15,0.17,0.15,0.14,0.14,0.13,0.14,0.15,0.13,0.12,0.14,0.13,0.15,0.12,0.12,0.13,0.12,0.11,0.12,0.13,0.14,0.12,0.12,0.13,0.12,0.11,0.12,0.12,0.12,0.12,0.11,0.12,0.11,0.11,0.1,0.11,0.13,0.1,0.09,0.11,0.1,0.0,0.11,0.1,0.11,0.1,0.1,0.11,0.11,0.1,0.1,0.1,0.1,0.09,0.1,0.11,0.09,0.1,0.1,0.11,0.09,0.1,0.1,0.09,0.09,0.09,0.09,0.09,0.11,0.09,0.09,0.09,0.09,0.09,0.09,0.1,0.09,0.09,0.09,0.08,0.09,0.09,0.08,0.09,0.09,0.09,0.09,0.0,0.1,0.0,0.0,0.0,0.0,0.09,0.09,0.0,0.0,0.0,0.0,0.09,0.11,0.11,0.09,0.09,0.09,0.09,0.09,0.09,0.08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,47.28
08/02/2021,2.85,2.71,1.98,1.1,0.97,0.95,0.62,0.7,0.6,0.58,0.54,0.5,0.64,0.52,0.53,0.49,0.46,0.45,0.41,0.43,0.42,0.42,0.46,0.36,0.35,0.35,0.37,0.3,0.31,0.33,0.3,0.29,0.3,0.28,0.27,0.29,0.27,0.29,0.27,0.27,0.26,0.26,0.27,0.26,0.26,0.25,0.26,0.25,0.25,0.24,0.23,0.23,0.25,0.22,0.26,0.23,0.19,0.2,0.21,0.2,0.21,0.23,0.2,0.21,0.2,0.2,0.21,0.19,0.21,0.2,0.2,0.19,0.18,0.19,0.18,0.19,0.22,0.18,0.21,0.17,0.17,0.16,0.16,0.17,0.17,0.17,0.17,0.18,0.17,0.17,0.16,0.17,0.16,0.16,0.15,0.15,0.16,0.15,0.13,0.16,0.15,0.15,0.17,0.15,0.14,0.14,0.13,0.14,0.15,0.13,0.12,0.14,0.13,0.15,0.12,0.12,0.13,0.12,0.11,0.12,0.13,0.14,0.12,0.12,0.13,0.12,0.11,0.12,0.12,0.12,0.12,0.11,0.12,0.11,0.11,0.1,0.11,0.13,0.1,0.09,0.11,0.1,0.0,0.11,0.1,0.11,0.1,0.1,0.11,0.11,0.1,0.1,0.1,0.1,0.09,0.1,0.11,0.09,0.1,0.1,0.11,0.09,0.1,0.1,0.09,0.09,0.09,0.09,0.09,0.11,0.09,0.09,0.09,0.09,0.09,0.09,0.1,0.09,0.09,0.09,0.08,0.09,0.09,0.08,0.09,0.09,0.09,0.09,0.0,0.1,0.0,0.0,0.0,0.0,0.09,0.09,0.0,0.0,0.0,0.0,0.09,0.11,0.11,0.09,0.09,0.09,0.09,0.09,0.09,0.08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,47.28
08/03/2021,2.85,2.71,1.98,1.1,0.97,0.95,0.62,0.7,0.6,0.58,0.54,0.5,0.64,0.52,0.53,0.49,0.46,0.45,0.41,0.43,0.42,0.42,0.46,0.36,0.35,0.35,0.37,0.3,0.31,0.33,0.3,0.29,0.3,0.28,0.27,0.29,0.27,0.29,0.27,0.27,0.26,0.26,0.27,0.26,0.26,0.25,0.26,0.25,0.25,0.24,0.23,0.23,0.25,0.22,0.26,0.23,0.19,0.2,0.21,0.2,0.21,0.23,0.2,0.21,0.2,0.2,0.21,0.19,0.21,0.2,0.2,0.19,0.18,0.19,0.18,0.19,0.22,0.18,0.21,0.17,0.17,0.16,0.16,0.17,0.17,0.17,0.17,0.18,0.17,0.17,0.16,0.17,0.16,0.16,0.15,0.15,0.16,0.15,0.13,0.16,0.15,0.15,0.17,0.15,0.14,0.14,0.13,0.14,0.15,0.13,0.12,0.14,0.13,0.15,0.12,0.12,0.13,0.12,0.11,0.12,0.13,0.14,0.12,0.12,0.13,0.12,0.11,0.12,0.12,0.12,0.12,0.11,0.12,0.11,0.11,0.1,0.11,0.13,0.1,0.09,0.11,0.1,0.0,0.11,0.1,0.11,0.1,0.1,0.11,0.11,0.1,0.1,0.1,0.1,0.09,0.1,0.11,0.09,0.1,0.1,0.11,0.09,0.1,0.1,0.09,0.09,0.09,0.09,0.09,0.11,0.09,0.09,0.09,0.09,0.09,0.09,0.1,0.09,0.09,0.09,0.08,0.09,0.09,0.08,0.09,0.09,0.09,0.09,0.0,0.1,0.0,0.0,0.0,0.0,0.09,0.09,0.0,0.0,0.0,0.0,0.09,0.11,0.11,0.09,0.09,0.09,0.09,0.09,0.09,0.08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,47.28
08/04/2021,2.85,2.71,1.98,1.1,0.97,0.95,0.62,0.7,0.6,0.58,0.54,0.5,0.64,0.52,0.53,0.49,0.46,0.45,0.41,0.43,0.42,0.42,0.46,0.36,0.35,0.35,0.37,0.3,0.31,0.33,0.3,0.29,0.3,0.28,0.27,0.29,0.27,0.29,0.27,0.27,0.26,0.26,0.27,0.26,0.26,0.25,0.26,0.25,0.25,0.24,0.23,0.23,0.25,0.22,0.26,0.23,0.19,0.2,0.21,0.2,0.21,0.23,0.2,0.21,0.2,0.2,0.21,0.19,0.21,0.2,0.2,0.19,0.18,0.19,0.18,0.19,0.22,0.18,0.21,0.17,0.17,0.16,0.16,0.17,0.17,0.17,0.17,0.18,0.17,0.17,0.16,0.17,0.16,0.16,0.15,0.15,0.16,0.15,0.13,0.16,0.15,0.15,0.17,0.15,0.14,0.14,0.13,0.14,0.15,0.13,0.12,0.14,0.13,0.15,0.12,0.12,0.13,0.12,0.11,0.12,0.13,0.14,0.12,0.12,0.13,0.12,0.11,0.12,0.12,0.12,0.12,0.11,0.12,0.11,0.11,0.1,0.11,0.13,0.1,0.09,0.11,0.1,0.0,0.11,0.1,0.11,0.1,0.1,0.11,0.11,0.1,0.1,0.1,0.1,0.09,0.1,0.11,0.09,0.1,0.1,0.11,0.09,0.1,0.1,0.09,0.09,0.09,0.09,0.09,0.11,0.09,0.09,0.09,0.09,0.09,0.09,0.1,0.09,0.09,0.09,0.08,0.09,0.09,0.08,0.09,0.09,0.09,0.09,0.0,0.1,0.0,0.0,0.0,0.0,0.09,0.09,0.0,0.0,0.0,0.0,0.09,0.11,0.11,0.09,0.09,0.09,0.09,0.09,0.09,0.08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,47.28
08/05/2021,2.85,2.71,1.98,1.1,0.97,0.95,0.62,0.7,0.6,0.58,0.54,0.5,0.64,0.52,0.53,0.49,0.46,0.45,0.41,0.43,0.42,0.42,0.46,0.36,0.35,0.35,0.37,0.3,0.31,0.33,0.3,0.29,0.3,0.28,0.27,0.29,0.27,0.29,0.27,0.27,0.26,0.26,0.27,0.26,0.26,0.25,0.26,0.25,0.25,0.24,0.23,0.23,0.25,0.22,0.26,0.23,0.19,0.2,0.21,0.2,0.21,0.23,0.2,0.21,0.2,0.2,0.21,0.19,0.21,0.2,0.2,0.19,0.18,0.19,0.18,0.19,0.22,0.18,0.21,0.17,0.17,0.16,0.16,0.17,0.17,0.17,0.17,0.18,0.17,0.17,0.16,0.17,0.16,0.16,0.15,0.15,0.16,0.15,0.13,0.16,0.15,0.15,0.17,0.15,0.14,0.14,0.13,0.14,0.15,0.13,0.12,0.14,0.13,0.15,0.12,0.12,0.13,0.12,0.11,0.12,0.13,0.14,0.12,0.12,0.13,0.12,0.11,0.12,0.12,0.12,0.12,0.11,0.12,0.11,0.11,0.1,0.11,0.13,0.1,0.09,0.11,0.1,0.0,0.11,0.1,0.11,0.1,0.1,0.11,0.11,0.1,0.1,0.1,0.1,0.09,0.1,0.11,0.09,0.1,0.1,0.11,0.09,0.1,0.1,0.09,0.09,0.09,0.09,0.09,0.11,0.09,0.09,0.09,0.09,0.09,0.09,0.1,0.09,0.09,0.09,0.08,0.09,0.09,0.08,0.09,0.09,0.09,0.09,0.0,0.1,0.0,0.0,0.0,0.0,0.09,0.09,0.0,0.0,0.0,0.0,0.09,0.11,0.11,0.09,0.09,0.09,0.09,0.09,0.09,0.08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,47.28
08/06/2021,2.85,2.71,1.98,1.1,0.97,0.95,0.62,0.7,0.6,0.58,0.54,0.5,0.64,0.52,0.53,0.49,0.46,0.45,0.41,0.43,0.42,0.42,0.46,0.36,0.35,0.35,0.37,0.3,0.31,0.33,0.3,0.29,0.3,0.28,0.27,0.29,0.27,0.29,0.27,0.27,0.26,0.26,0.27,0.26,0.26,0.25,0.26,0.25,0.25,0.24,0.23,0.23,0.25,0.22,0.26,0.23,0.19,0.2,0.21,0.2,0.21,0.23,0.2,0.21,0.2,0.2,0.21,0.19,0.21,0.2,0.2,0.19,0.18,0.19,0.18,0.19,0.22,0.18,0.21,0.17,0.17,0.16,0.16,0.17,0.17,0.17,0.17,0.18,0.17,0.17,0.16,0.17,0.16,0.16,0.15,0.15,0.16,0.15,0.13,0.16,0.15,0.15,0.17,0.15,0.14,0.14,0.13,0.14,0.15,0.13,0.12,0.14,0.13,0.15,0.12,0.12,0.13,0.12,0.11,0.12,0.13,0.14,0.12,0.12,0.13,0.12,0.11,0.12,0.12,0.12,0.12,0.11,0.12,0.11,0.11,0.1,0.11,0.13,0.1,0.09,0.11,0.1,0.0,0.11,0.1,0.11,0.1,0.1,0.11,0.11,0.1,0.1,0.1,0.1,0.09,0.1,0.11,0.09,0.1,0.1,0.11,0.09,0.1,0.1,0.09,0.09,0.09,0.09,0.09,0.11,0.09,0.09,0.09,0.09,0.09,0.09,0.1,0.09,0.09,0.09,0.08,0.09,0.09,0.08,0.09,0.09,0.09,0.09,0.0,0.1,0.0,0.0,0.0,0.0,0.09,0.09,0.0,0.0,0.0,0.0,0.09,0.11,0.11,0.09,0.09,0.09,0.09,0.09,0.09,0.08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,47.28
08/10/2021,2.85,2.71,1.98,1.1,0.97,0.95,0.62,0.7,0.6,0.58,0.54,0.5,0.64,0.52,0.53,0.49,0.46,0.45,0.41,0.43,0.42,0.42,0.46,0.36,0.35,0.35,0.37,0.3,0.31,0.33,0.3,0.29,0.3,0.28,0.27,0.29,0.27,0.29,0.27,0.27,0.26,0.26,0.27,0.26,0.26,0.25,0.26,0.25,0.25,0.24,0.23,0.23,0.25,0.22,0.26,0.23,0.19,0.2,0.21,0.2,0.21,0.23,0.2,0.21,0.2,0.2,0.21,0.19,0.21,0.2,0.2,0.19,0.18,0.19,0.18,0.19,0.22,0.18,0.21,0.17,0.17,0.16,0.16,0.17,0.17,0.17,0.17,0.18,0.17,0.17,0.16,0.17,0.16,0.16,0.15,0.15,0.16,0.15,0.13,0.16,0.15,0.15,0.17,0.15,0.14,0.14,0.13,0.14,0.15,0.13,0.12,0.14,0.13,0.15,0.12,0.12,0.13,0.12,0.11,0.12,0.13,0.14,0.12,0.12,0.13,0.12,0.11,0.12,0.12,0.12,0.12,0.11,0.12,0.11,0.11,0.1,0.11,0.13,0.1,0.09,0.11,0.1,0.0,0.11,0.1,0.11,0.1,0.1,0.11,0.11,0.1,0.1,0.1,0.1,0.09,0.1,0.11,0.09,0.1,0.1,0.11,0.09,0.1,0.1,0.09,0.09,0.09,0.09,0.09,0.11,0.09,0.09,0.09,0.09,0.09,0.09,0.1,0.09,0.09,0.09,0.08,0.09,0.09,0.08,0.09,0.09,0.09,0.09,0.0,0.1,0.0,0.0,0.0,0.0,0.09,0.09,0.0,0.0,0.0,0.0,0.09,0.11,0.11,0.09,0.09,0.09,0.09,0.09,0.09,0.08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,47.28
08/11/2021,2.85,2.71,1.98,1.1,0.97,0.95,0.62,0.7,0.6,0.58,0.54,0.5,0.64,0.52,0.53,0.49,0.46,0.45,0.41,0.43,0.42,0.42,0.46,0.36,0.35,0.35,0.37,0.3,0.31,0.33,0.3,0.29,0.3,0.28,0.27,0.29,0.27,0.29,0.27,0.27,0.26,0.26,0.27,0.26,0.26,0.25,0.26,0.25,0.25,0.24,0.23,0.23,0.25,0.22,0.26,0.23,0.19,0.2,0.21,0.2,0.21,0.23,0.2,0.21,0.2,0.2,0.21,0.19,0.21,0.2,0.2,0.19,0.18,0.19,0.18,0.19,0.22,0.18,0.21,0.17,0.17,0.16,0.16,0.17,0.17,0.17,0.17,0.18,0.17,0.17,0.16,0.17,0.16,0.16,0.15,0.15,0.16,0.15,0.13,0.16,0.15,0.15,0.17,0.15,0.14,0.14,0.13,0.14,0.15,0.13,0.12,0.14,0.13,0.15,0.12,0.12,0.13,0.12,0.11,0.12,0.13,0.14,0.12,0.12,0.13,0.12,0.11,0.12,0.12,0.12,0.12,0.11,0.12,0.11,0.11,0.1,0.11,0.13,0.1,0.09,0.11,0.1,0.0,0.11,0.1,0.11,0.1,0.1,0.11,0.11,0.1,0.1,0.1,0.1,0.09,0.1,0.11,0.09,0.1,0.1,0.11,0.09,0.1,0.1,0.09,0.09,0.09,0.09,0.09,0.11,0.09,0.09,0.09,0.09,0.09,0.09,0.1,0.09,0.09,0.09,0.08,0.09,0.09,0.08,0.09,0.09,0.09,0.09,0.0,0.1,0.0,0.0,0.0,0.0,0.09,0.09,0.0,0.0,0.0,0.0,0.09,0.11,0.11,0.09,0.09,0.09,0.09,0.09,0.09,0.08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,47.28
08/13/2021,2.85,2.71,1.98,1.1,0.97,0.95,0.62,0.7,0.6,0.58,0.54,0.5,0.64,0.52,0.53,0.49,0.46,0.45,0.41,0.43,0.42,0.42,0.46,0.36,0.35,0.35,0.37,0.3,0.31,0.33,0.3,0.29,0.3,0.28,0.27,0.29,0.27,0.29,0.27,0.27,0.26,0.26,0.27,0.26,0.26,0.25,0.26,0.25,0.25,0.24,0.23,0.23,0.25,0.22,0.26,0.23,0.19,0.2,0.21,0.2,0.21,0.23,0.2,0.21,0.2,0.2,0.21,0.19,0.21,0.2,0.2,0.19,0.18,0.19,0.18,0.19,0.22,0.18,0.21,0.17,0.17,0.16,0.16,0.17,0.17,0.17,0.17,0.18,0.17,0.17,0.16,0.17,0.16,0.16,0.15,0.15,0.16,0.15,0.13,0.16,0.15,0.15,0.17,0.15,0.14,0.14,0.13,0.14,0.15,0.13,0.12,0.14,0.13,0.15,0.12,0.12,0.13,0.12,0.11,0.12,0.13,0.14,0.12,0.12,0.13,0.12,0.11,0.12,0.12,0.12,0.12,0.11,0.12,0.11,0.11,0.1,0.11,0.13,0.1,0.09,0.11,0.1,0.0,0.11,0.1,0.11,0.1,0.1,0.11,0.11,0.1,0.1,0.1,0.1,0.09,0.1,0.11,0.09,0.1,0.1,0.11,0.09,0.1,0.1,0.09,0.09,0.09,0.09,0.09,0.11,0.09,0.09,0.09,0.09,0.09,0.09,0.1,0.09,0.09,0.09,0.08,0.09,0.09,0.08,0.09,0.09,0.09,0.09,0.0,0.1,0.0,0.0,0.0,0.0,0.09,0.09,0.0,0.0,0.0,0.0,0.09,0.11,0.11,0.09,0.09,0.09,0.09,0.09,0.09,0.08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,47.28
