,FB,GOOG,GOOGL,DIS,CMCSA,NFLX,VZ,T,CHTR,TMUS,ATVI,SNAP,TWTR,EA,ROKU,MTCH,PINS,LBRDK,VIAC,TTWO,OMC,Z,LYV,IPG,AMC,LUMN,FOXA,DISH,NWSA,LBTYK,ZNGA,DISCK,IAC,FWONK,NXST,CABO,ATUS,LSXMK,FOX,TRIP,LBRDA,ZG,TGNA,IRDM,NYT,LBTYA,LSXMA,DISCA,ZI,CDLX,NWS,MGNI,CCOI,SIRI,WMG,YELP,JW.A,BMBL,MSGS,WWE,IHRT,BAND,TDS,SHEN,CNK,PLTK,LILAK,CARG,VMEO,GTN,TTGT,SKLZ,LGF/B,LGF.A,SBGI,MSGE,AMCX,MDP,EB,FUBO,SSP,IMAX,GSAT,BATRK,CARS,ANGI,RADI,QNST,SCHL,WOW,ORBC,ADV,CCO,CBB,GCI,CNSL,MAX,LILA,MSGN,WIFI,GOGO,ATEX,TRUE,AUD,ATNI,USM,BOMN,EVER,MCS,LORL,LTRPA,CURI,BATRA,HMTV,THRY,CHG.BK,RBLX,EEX,NCMI,EDR,VG,SCOR,FWONA,Boingo Wireless Inc,PTBL.TA,n/a,1379.T,SAR.AX,PUBM,SUM
08/06/2021,16.95,11.26,11.22,5.75,4.31,4.53,4.05,3.84,2.5,2.15,1.84,1.52,1.44,1.13,1.38,1.14,1.17,0.79,0.82,0.66,0.63,0.63,0.55,0.55,1.21,0.53,0.5,0.48,0.47,0.46,0.43,0.42,0.41,0.46,0.41,0.43,0.39,0.41,0.35,0.33,0.39,0.35,0.33,0.34,0.33,0.32,0.32,0.28,0.34,0.34,0.27,0.32,0.28,0.28,0.27,0.26,0.23,0.29,0.22,0.24,0.26,0.25,0.19,0.2,0.19,0.17,0.19,0.18,0.21,0.16,0.17,0.19,0.14,0.15,0.14,0.13,0.16,0.15,0.11,0.14,0.09,0.09,0.1,0.09,0.08,0.08,0.07,0.08,0.09,0.09,0.07,0.06,0.08,0.07,0.06,0.05,0.06,0.05,0.05,0.0,0.04,0.06,0.05,0.05,0.04,0.04,0.04,0.04,0.04,0.04,0.03,0.03,0.02,0.02,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.0,99.99
08/09/2021,16.95,11.26,11.22,5.75,4.31,4.53,4.05,3.84,2.5,2.15,1.84,1.52,1.44,1.13,1.38,1.14,1.17,0.79,0.82,0.66,0.63,0.63,0.55,0.55,1.21,0.53,0.5,0.48,0.47,0.46,0.43,0.42,0.41,0.46,0.41,0.43,0.39,0.41,0.35,0.33,0.39,0.35,0.33,0.34,0.33,0.32,0.32,0.28,0.34,0.34,0.27,0.32,0.28,0.28,0.27,0.26,0.23,0.29,0.22,0.24,0.26,0.25,0.19,0.2,0.19,0.17,0.19,0.18,0.21,0.16,0.17,0.19,0.14,0.15,0.14,0.13,0.16,0.15,0.11,0.14,0.09,0.09,0.1,0.09,0.08,0.08,0.07,0.08,0.09,0.09,0.07,0.06,0.08,0.07,0.06,0.05,0.06,0.05,0.0,0.0,0.04,0.06,0.05,0.05,0.04,0.04,0.04,0.04,0.04,0.04,0.03,0.03,0.02,0.02,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.05,0.0,0.0,0.0,99.99
08/10/2021,16.95,11.26,11.22,5.75,4.31,4.53,4.05,3.84,2.5,2.15,1.84,1.52,1.44,1.13,1.38,1.14,1.17,0.79,0.82,0.66,0.63,0.63,0.55,0.55,1.21,0.53,0.5,0.48,0.47,0.46,0.43,0.42,0.41,0.46,0.41,0.43,0.39,0.41,0.35,0.33,0.39,0.35,0.33,0.34,0.33,0.32,0.32,0.28,0.34,0.34,0.27,0.32,0.28,0.28,0.27,0.26,0.23,0.29,0.22,0.24,0.26,0.25,0.19,0.2,0.19,0.17,0.19,0.18,0.21,0.16,0.17,0.19,0.14,0.15,0.14,0.13,0.16,0.15,0.11,0.14,0.09,0.09,0.1,0.09,0.08,0.08,0.07,0.08,0.09,0.09,0.07,0.06,0.08,0.07,0.06,0.05,0.06,0.05,0.0,0.0,0.04,0.06,0.05,0.05,0.04,0.04,0.04,0.04,0.04,0.04,0.03,0.03,0.02,0.02,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.05,0.0,0.0,0.0,99.99
08/11/2021,16.95,11.26,11.22,5.75,4.31,4.53,4.05,3.84,2.5,2.15,1.84,1.52,1.44,1.13,1.38,1.14,1.17,0.79,0.82,0.66,0.63,0.63,0.55,0.55,1.21,0.53,0.5,0.48,0.47,0.46,0.43,0.42,0.41,0.46,0.41,0.43,0.39,0.41,0.35,0.33,0.39,0.35,0.33,0.34,0.33,0.32,0.32,0.28,0.34,0.34,0.27,0.32,0.28,0.28,0.27,0.26,0.23,0.29,0.22,0.24,0.26,0.25,0.19,0.2,0.19,0.17,0.19,0.18,0.21,0.16,0.17,0.19,0.14,0.15,0.14,0.13,0.16,0.15,0.11,0.14,0.09,0.09,0.1,0.09,0.08,0.08,0.07,0.08,0.09,0.09,0.07,0.06,0.08,0.07,0.06,0.05,0.06,0.05,0.0,0.0,0.04,0.06,0.05,0.05,0.04,0.04,0.04,0.04,0.04,0.04,0.03,0.03,0.02,0.02,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.05,0.0,0.0,0.0,99.99
08/13/2021,16.95,11.26,11.22,5.75,4.31,4.53,4.05,3.84,2.5,2.15,1.84,1.52,1.44,1.13,1.38,1.14,1.17,0.79,0.82,0.66,0.63,0.63,0.55,0.55,1.21,0.53,0.5,0.48,0.47,0.46,0.43,0.42,0.41,0.46,0.41,0.43,0.39,0.41,0.35,0.33,0.39,0.35,0.33,0.34,0.33,0.32,0.32,0.28,0.34,0.34,0.27,0.32,0.28,0.28,0.27,0.26,0.23,0.29,0.22,0.24,0.26,0.25,0.19,0.2,0.19,0.17,0.19,0.18,0.21,0.16,0.17,0.19,0.14,0.15,0.14,0.13,0.16,0.15,0.11,0.14,0.09,0.09,0.1,0.09,0.08,0.08,0.07,0.08,0.09,0.09,0.07,0.06,0.08,0.07,0.06,0.05,0.06,0.05,0.0,0.0,0.04,0.06,0.05,0.05,0.04,0.04,0.04,0.04,0.04,0.04,0.03,0.03,0.02,0.02,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.05,0.0,0.0,0.0,99.99
08/16/2021,16.95,11.26,11.22,5.75,4.31,4.53,4.05,3.84,2.5,2.15,1.84,1.52,1.44,1.13,1.38,1.14,1.17,0.79,0.82,0.66,0.63,0.63,0.55,0.55,1.21,0.53,0.5,0.48,0.47,0.46,0.43,0.42,0.41,0.46,0.41,0.43,0.39,0.41,0.35,0.33,0.39,0.35,0.33,0.34,0.33,0.32,0.32,0.28,0.34,0.34,0.27,0.32,0.28,0.28,0.27,0.26,0.23,0.29,0.22,0.24,0.26,0.25,0.19,0.2,0.19,0.17,0.19,0.18,0.21,0.16,0.17,0.19,0.14,0.15,0.14,0.13,0.16,0.15,0.11,0.14,0.09,0.09,0.1,0.09,0.08,0.08,0.07,0.08,0.09,0.09,0.07,0.06,0.08,0.07,0.06,0.05,0.06,0.05,0.0,0.0,0.04,0.06,0.05,0.05,0.04,0.04,0.04,0.04,0.04,0.04,0.03,0.03,0.02,0.02,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.05,0.0,0.0,0.0,99.99
08/17/2021,16.95,11.26,11.22,5.75,4.31,4.53,4.05,3.84,2.5,2.15,1.84,1.52,1.44,1.13,1.38,1.14,1.17,0.79,0.82,0.66,0.63,0.63,0.55,0.55,1.21,0.53,0.5,0.48,0.47,0.46,0.43,0.42,0.41,0.46,0.41,0.43,0.39,0.41,0.35,0.33,0.39,0.35,0.33,0.34,0.33,0.32,0.32,0.28,0.34,0.34,0.27,0.32,0.28,0.28,0.27,0.26,0.23,0.29,0.22,0.24,0.26,0.25,0.19,0.2,0.19,0.17,0.19,0.18,0.21,0.16,0.17,0.19,0.14,0.15,0.14,0.13,0.16,0.15,0.11,0.14,0.09,0.09,0.1,0.09,0.08,0.08,0.07,0.08,0.09,0.09,0.07,0.06,0.08,0.07,0.06,0.05,0.06,0.05,0.0,0.0,0.04,0.06,0.05,0.05,0.04,0.04,0.04,0.04,0.04,0.04,0.03,0.03,0.02,0.02,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.05,0.0,0.0,0.0,99.99
08/18/2021,16.95,11.26,11.22,5.75,4.31,4.53,4.05,3.84,2.5,2.15,1.84,1.52,1.44,1.13,1.38,1.14,1.17,0.79,0.82,0.66,0.63,0.63,0.55,0.55,1.21,0.53,0.5,0.48,0.47,0.46,0.43,0.42,0.41,0.46,0.41,0.43,0.39,0.41,0.35,0.33,0.39,0.35,0.33,0.34,0.33,0.32,0.32,0.28,0.34,0.34,0.27,0.32,0.28,0.28,0.27,0.26,0.23,0.29,0.22,0.24,0.26,0.25,0.19,0.2,0.19,0.17,0.19,0.18,0.21,0.16,0.17,0.19,0.14,0.15,0.14,0.13,0.16,0.15,0.11,0.14,0.09,0.09,0.1,0.09,0.08,0.08,0.07,0.08,0.09,0.09,0.07,0.06,0.08,0.07,0.06,0.05,0.06,0.05,0.0,0.0,0.04,0.06,0.05,0.05,0.04,0.04,0.04,0.04,0.04,0.04,0.03,0.03,0.02,0.02,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.05,0.0,0.0,0.0,99.99
08/19/2021,16.95,11.26,11.22,5.75,4.31,4.53,4.05,3.84,2.5,2.15,1.84,1.52,1.44,1.13,1.38,1.14,1.17,0.79,0.82,0.66,0.63,0.63,0.55,0.55,1.21,0.53,0.5,0.48,0.47,0.46,0.43,0.42,0.41,0.46,0.41,0.43,0.39,0.41,0.35,0.33,0.39,0.35,0.33,0.34,0.33,0.32,0.32,0.28,0.34,0.34,0.27,0.32,0.28,0.28,0.27,0.26,0.23,0.29,0.22,0.24,0.26,0.25,0.19,0.2,0.19,0.17,0.19,0.18,0.21,0.16,0.17,0.19,0.14,0.15,0.14,0.13,0.16,0.15,0.11,0.14,0.09,0.09,0.1,0.09,0.08,0.08,0.07,0.08,0.09,0.09,0.07,0.06,0.08,0.07,0.06,0.05,0.06,0.05,0.0,0.0,0.04,0.06,0.05,0.05,0.04,0.04,0.04,0.04,0.04,0.04,0.03,0.03,0.02,0.02,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05,0.01,0.0,0.0,99.99
08/20/2021,16.95,11.26,11.22,5.75,4.31,4.53,4.05,3.84,2.5,2.15,1.84,1.52,1.44,1.13,1.38,1.14,1.17,0.79,0.82,0.66,0.63,0.63,0.55,0.55,1.21,0.53,0.5,0.48,0.47,0.46,0.43,0.42,0.41,0.46,0.41,0.43,0.39,0.41,0.35,0.33,0.39,0.35,0.33,0.34,0.33,0.32,0.32,0.28,0.34,0.34,0.27,0.32,0.28,0.28,0.27,0.26,0.23,0.29,0.22,0.24,0.26,0.25,0.19,0.2,0.19,0.17,0.19,0.18,0.21,0.16,0.17,0.19,0.14,0.15,0.14,0.13,0.16,0.15,0.11,0.14,0.09,0.09,0.1,0.09,0.08,0.08,0.07,0.08,0.09,0.09,0.07,0.06,0.08,0.07,0.06,0.05,0.06,0.05,0.0,0.0,0.04,0.06,0.05,0.05,0.04,0.04,0.04,0.04,0.04,0.04,0.03,0.03,0.02,0.02,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.05,0.0,0.0,0.0,99.99
08/23/2021,16.95,11.26,11.22,5.75,4.31,4.53,4.05,3.84,2.5,2.15,1.84,1.52,1.44,1.13,1.38,1.14,1.17,0.79,0.82,0.66,0.63,0.63,0.55,0.55,1.21,0.53,0.5,0.48,0.47,0.46,0.43,0.42,0.41,0.46,0.41,0.43,0.39,0.41,0.35,0.33,0.39,0.35,0.33,0.34,0.33,0.32,0.32,0.28,0.34,0.34,0.27,0.32,0.28,0.28,0.27,0.26,0.23,0.29,0.22,0.24,0.26,0.25,0.19,0.2,0.19,0.17,0.19,0.18,0.21,0.16,0.17,0.19,0.14,0.15,0.14,0.13,0.16,0.15,0.11,0.14,0.09,0.09,0.1,0.09,0.08,0.08,0.07,0.08,0.09,0.09,0.07,0.06,0.08,0.07,0.06,0.05,0.06,0.05,0.0,0.0,0.04,0.06,0.05,0.05,0.04,0.04,0.04,0.04,0.04,0.04,0.03,0.03,0.02,0.02,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.05,0.0,0.0,0.0,99.99
08/24/2021,16.95,11.26,11.22,5.75,4.31,4.53,4.05,3.84,2.5,2.15,1.84,1.52,1.44,1.13,1.38,1.14,1.17,0.79,0.82,0.66,0.63,0.63,0.55,0.55,1.21,0.53,0.5,0.48,0.47,0.46,0.43,0.42,0.41,0.46,0.41,0.43,0.39,0.41,0.35,0.33,0.39,0.35,0.33,0.34,0.33,0.32,0.32,0.28,0.34,0.34,0.27,0.32,0.28,0.28,0.27,0.26,0.23,0.29,0.22,0.24,0.26,0.25,0.19,0.2,0.19,0.17,0.19,0.18,0.21,0.16,0.17,0.19,0.14,0.15,0.14,0.13,0.16,0.15,0.11,0.14,0.09,0.09,0.1,0.09,0.08,0.08,0.07,0.08,0.09,0.09,0.07,0.06,0.08,0.07,0.06,0.05,0.06,0.05,0.0,0.0,0.04,0.06,0.05,0.05,0.04,0.04,0.04,0.04,0.04,0.04,0.03,0.03,0.02,0.02,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05,0.0,0.01,0.0,99.99
08/25/2021,16.95,11.26,11.22,5.75,4.31,4.53,4.05,3.84,2.5,2.15,1.84,1.52,1.44,1.13,1.38,1.14,1.17,0.79,0.82,0.66,0.63,0.63,0.55,0.55,1.21,0.53,0.5,0.48,0.47,0.46,0.43,0.42,0.41,0.46,0.41,0.43,0.39,0.41,0.35,0.33,0.39,0.35,0.33,0.34,0.33,0.32,0.32,0.28,0.34,0.34,0.27,0.32,0.28,0.28,0.27,0.26,0.23,0.29,0.22,0.24,0.26,0.25,0.19,0.2,0.19,0.17,0.19,0.18,0.21,0.16,0.17,0.19,0.14,0.15,0.14,0.13,0.16,0.15,0.11,0.14,0.09,0.09,0.1,0.09,0.08,0.08,0.07,0.08,0.09,0.09,0.07,0.06,0.08,0.07,0.06,0.05,0.06,0.05,0.0,0.0,0.04,0.06,0.05,0.05,0.04,0.04,0.04,0.04,0.04,0.04,0.03,0.03,0.02,0.02,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05,0.0,0.01,0.0,99.99
08/26/2021,16.95,11.26,11.22,5.75,4.31,4.53,4.05,3.84,2.5,2.15,1.84,1.52,1.44,1.13,1.38,1.14,1.17,0.79,0.82,0.66,0.63,0.63,0.55,0.55,1.21,0.53,0.5,0.48,0.47,0.46,0.43,0.42,0.41,0.46,0.41,0.43,0.39,0.41,0.35,0.33,0.39,0.35,0.33,0.34,0.33,0.32,0.32,0.28,0.34,0.34,0.27,0.32,0.28,0.28,0.27,0.26,0.23,0.29,0.22,0.24,0.26,0.25,0.19,0.2,0.19,0.17,0.19,0.18,0.21,0.16,0.17,0.19,0.14,0.15,0.14,0.13,0.16,0.15,0.11,0.14,0.09,0.09,0.1,0.09,0.08,0.08,0.07,0.08,0.09,0.09,0.07,0.06,0.08,0.07,0.06,0.05,0.06,0.05,0.0,0.0,0.04,0.06,0.05,0.05,0.04,0.04,0.04,0.04,0.04,0.04,0.03,0.03,0.02,0.02,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05,0.0,0.01,0.0,99.99
08/27/2021,16.95,11.26,11.22,5.75,4.31,4.53,4.05,3.84,2.5,2.15,1.84,1.52,1.44,1.13,1.38,1.14,1.17,0.79,0.82,0.66,0.63,0.63,0.55,0.55,1.21,0.53,0.5,0.48,0.47,0.46,0.43,0.42,0.41,0.46,0.41,0.43,0.39,0.41,0.35,0.33,0.39,0.35,0.33,0.34,0.33,0.32,0.32,0.28,0.34,0.34,0.27,0.32,0.28,0.28,0.27,0.26,0.23,0.29,0.22,0.24,0.26,0.25,0.19,0.2,0.19,0.17,0.19,0.18,0.21,0.16,0.17,0.19,0.14,0.15,0.14,0.13,0.16,0.15,0.11,0.14,0.09,0.09,0.1,0.09,0.08,0.08,0.07,0.08,0.09,0.09,0.07,0.06,0.08,0.07,0.06,0.05,0.06,0.05,0.0,0.0,0.04,0.06,0.05,0.05,0.04,0.04,0.04,0.04,0.04,0.04,0.03,0.03,0.02,0.02,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05,0.0,0.01,0.0,99.99
08/30/2021,16.95,11.26,11.22,5.75,4.31,4.53,4.05,3.84,2.5,2.15,1.84,1.52,1.44,1.13,1.38,1.14,1.17,0.79,0.82,0.66,0.63,0.63,0.55,0.55,1.21,0.53,0.5,0.48,0.47,0.46,0.43,0.42,0.41,0.46,0.41,0.43,0.39,0.41,0.35,0.33,0.39,0.35,0.33,0.34,0.33,0.32,0.32,0.28,0.34,0.34,0.27,0.32,0.28,0.28,0.27,0.26,0.23,0.29,0.22,0.24,0.26,0.25,0.19,0.2,0.19,0.17,0.19,0.18,0.21,0.16,0.17,0.19,0.14,0.15,0.14,0.13,0.16,0.15,0.11,0.14,0.09,0.09,0.1,0.09,0.08,0.08,0.07,0.08,0.09,0.09,0.07,0.06,0.08,0.07,0.06,0.05,0.06,0.05,0.0,0.0,0.04,0.06,0.05,0.05,0.04,0.04,0.04,0.04,0.04,0.04,0.03,0.03,0.02,0.02,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05,0.0,0.01,0.0,99.99
08/31/2021,16.95,11.26,11.22,5.75,4.31,4.53,4.05,3.84,2.5,2.15,1.84,1.52,1.44,1.13,1.38,1.14,1.17,0.79,0.82,0.66,0.63,0.63,0.55,0.55,1.21,0.53,0.5,0.48,0.47,0.46,0.43,0.42,0.41,0.46,0.41,0.43,0.39,0.41,0.35,0.33,0.39,0.35,0.33,0.34,0.33,0.32,0.32,0.28,0.34,0.34,0.27,0.32,0.28,0.28,0.27,0.26,0.23,0.29,0.22,0.24,0.26,0.25,0.19,0.2,0.19,0.17,0.19,0.18,0.21,0.16,0.17,0.19,0.14,0.15,0.14,0.13,0.16,0.15,0.11,0.14,0.09,0.09,0.1,0.09,0.08,0.08,0.07,0.08,0.09,0.09,0.07,0.06,0.08,0.07,0.06,0.05,0.06,0.05,0.0,0.0,0.04,0.06,0.05,0.05,0.04,0.04,0.04,0.04,0.04,0.04,0.03,0.03,0.02,0.02,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05,0.0,0.01,0.0,99.99
09/01/2021,16.95,11.26,11.22,5.75,4.31,4.53,4.05,3.84,2.5,2.15,1.84,1.52,1.44,1.13,1.38,1.14,1.17,0.79,0.82,0.66,0.63,0.63,0.55,0.55,1.21,0.53,0.5,0.48,0.47,0.46,0.43,0.42,0.41,0.46,0.41,0.43,0.39,0.41,0.35,0.33,0.39,0.35,0.33,0.34,0.33,0.32,0.32,0.28,0.34,0.34,0.27,0.32,0.28,0.28,0.27,0.26,0.23,0.29,0.22,0.24,0.26,0.25,0.19,0.2,0.19,0.17,0.19,0.18,0.21,0.16,0.17,0.19,0.14,0.15,0.14,0.13,0.16,0.15,0.11,0.14,0.09,0.09,0.1,0.09,0.08,0.08,0.07,0.08,0.09,0.09,0.07,0.06,0.08,0.07,0.06,0.05,0.06,0.05,0.0,0.0,0.04,0.06,0.05,0.05,0.04,0.04,0.04,0.04,0.04,0.04,0.03,0.03,0.02,0.02,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05,0.0,0.01,0.0,99.99
09/02/2021,17.3,12.09,12.34,5.74,4.43,4.42,4.02,3.73,2.57,2.13,1.61,1.66,1.45,1.13,1.28,1.12,0.87,0.74,0.74,0.64,0.57,0.57,0.5,0.59,0.79,0.49,0.48,0.48,0.45,0.45,0.41,0.41,0.36,0.44,0.4,0.42,0.35,0.4,0.33,0.31,0.46,0.28,0.31,0.36,0.33,0.31,0.32,0.24,0.35,0.34,0.26,0.29,0.29,0.29,0.28,0.24,0.23,0.25,0.21,0.2,0.25,0.24,0.19,0.22,0.14,0.16,0.19,0.19,0.19,0.15,0.16,0.12,0.1,0.12,0.11,0.15,0.12,0.15,0.1,0.11,0.09,0.07,0.08,0.09,0.07,0.07,0.08,0.08,0.08,0.1,0.07,0.05,0.08,0.06,0.07,0.05,0.04,0.05,0.0,0.0,0.04,0.06,0.04,0.04,0.04,0.04,0.04,0.04,0.03,0.03,0.03,0.03,0.02,0.02,0.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.03
09/03/2021,17.3,12.09,12.34,5.74,4.43,4.42,4.02,3.73,2.57,2.13,1.61,1.66,1.45,1.13,1.28,1.12,0.87,0.74,0.74,0.64,0.57,0.57,0.5,0.59,0.79,0.49,0.48,0.48,0.45,0.45,0.41,0.41,0.36,0.44,0.4,0.42,0.35,0.4,0.33,0.31,0.46,0.28,0.31,0.36,0.33,0.31,0.32,0.24,0.35,0.34,0.26,0.29,0.29,0.29,0.28,0.24,0.23,0.25,0.21,0.2,0.25,0.24,0.19,0.22,0.14,0.16,0.19,0.19,0.19,0.15,0.16,0.12,0.1,0.12,0.11,0.15,0.12,0.15,0.1,0.11,0.09,0.07,0.08,0.09,0.07,0.07,0.08,0.08,0.08,0.1,0.07,0.05,0.08,0.06,0.07,0.05,0.04,0.05,0.0,0.0,0.04,0.06,0.04,0.04,0.04,0.04,0.04,0.04,0.03,0.03,0.03,0.03,0.02,0.02,0.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.03
09/06/2021,17.3,12.09,12.34,5.74,4.43,4.42,4.02,3.73,2.57,2.13,1.61,1.66,1.45,1.13,1.28,1.12,0.87,0.74,0.74,0.64,0.57,0.57,0.5,0.59,0.79,0.49,0.48,0.48,0.45,0.45,0.41,0.41,0.36,0.44,0.4,0.42,0.35,0.4,0.33,0.31,0.46,0.28,0.31,0.36,0.33,0.31,0.32,0.24,0.35,0.34,0.26,0.29,0.29,0.29,0.28,0.24,0.23,0.25,0.21,0.2,0.25,0.24,0.19,0.22,0.14,0.16,0.19,0.19,0.19,0.15,0.16,0.12,0.1,0.12,0.11,0.15,0.12,0.15,0.1,0.11,0.09,0.07,0.08,0.09,0.07,0.07,0.08,0.08,0.08,0.1,0.07,0.05,0.08,0.06,0.07,0.05,0.04,0.05,0.0,0.0,0.04,0.06,0.04,0.04,0.04,0.04,0.04,0.04,0.03,0.03,0.03,0.03,0.02,0.02,0.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.03
09/07/2021,17.3,12.09,12.34,5.74,4.43,4.42,4.02,3.73,2.57,2.13,1.61,1.66,1.45,1.13,1.28,1.12,0.87,0.74,0.74,0.64,0.57,0.57,0.5,0.59,0.79,0.49,0.48,0.48,0.45,0.45,0.41,0.41,0.36,0.44,0.4,0.42,0.35,0.4,0.33,0.31,0.46,0.28,0.31,0.36,0.33,0.31,0.32,0.24,0.35,0.34,0.26,0.29,0.29,0.29,0.28,0.24,0.23,0.25,0.21,0.2,0.25,0.24,0.19,0.22,0.14,0.16,0.19,0.19,0.19,0.15,0.16,0.12,0.1,0.12,0.11,0.15,0.12,0.15,0.1,0.11,0.09,0.07,0.08,0.09,0.07,0.07,0.08,0.08,0.08,0.1,0.07,0.05,0.08,0.06,0.07,0.05,0.04,0.05,0.0,0.0,0.04,0.06,0.04,0.04,0.04,0.04,0.04,0.04,0.03,0.03,0.03,0.03,0.02,0.02,0.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.03
09/08/2021,17.3,12.09,12.34,5.74,4.43,4.42,4.02,3.73,2.57,2.13,1.61,1.66,1.45,1.13,1.28,1.12,0.87,0.74,0.74,0.64,0.57,0.57,0.5,0.59,0.79,0.49,0.48,0.48,0.45,0.45,0.41,0.41,0.36,0.44,0.4,0.42,0.35,0.4,0.33,0.31,0.46,0.28,0.31,0.36,0.33,0.31,0.32,0.24,0.35,0.34,0.26,0.29,0.29,0.29,0.28,0.24,0.23,0.25,0.21,0.2,0.25,0.24,0.19,0.22,0.14,0.16,0.19,0.19,0.19,0.15,0.16,0.12,0.1,0.12,0.11,0.15,0.12,0.15,0.1,0.11,0.09,0.07,0.08,0.09,0.07,0.07,0.08,0.08,0.08,0.1,0.07,0.05,0.08,0.06,0.07,0.05,0.04,0.05,0.0,0.0,0.04,0.06,0.04,0.04,0.04,0.04,0.04,0.04,0.03,0.03,0.03,0.03,0.02,0.02,0.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.03
09/09/2021,17.3,12.09,12.34,5.74,4.43,4.42,4.02,3.73,2.57,2.13,1.61,1.66,1.45,1.13,1.28,1.12,0.87,0.74,0.74,0.64,0.57,0.57,0.5,0.59,0.79,0.49,0.48,0.48,0.45,0.45,0.41,0.41,0.36,0.44,0.4,0.42,0.35,0.4,0.33,0.31,0.46,0.28,0.31,0.36,0.33,0.31,0.32,0.24,0.35,0.34,0.26,0.29,0.29,0.29,0.28,0.24,0.23,0.25,0.21,0.2,0.25,0.24,0.19,0.22,0.14,0.16,0.19,0.19,0.19,0.15,0.16,0.12,0.1,0.12,0.11,0.15,0.12,0.15,0.1,0.11,0.09,0.07,0.08,0.09,0.07,0.07,0.08,0.08,0.08,0.1,0.07,0.05,0.08,0.06,0.07,0.05,0.04,0.05,0.0,0.0,0.04,0.06,0.04,0.04,0.04,0.04,0.04,0.04,0.03,0.03,0.03,0.03,0.02,0.02,0.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.03
09/10/2021,17.3,12.09,12.34,5.74,4.43,4.42,4.02,3.73,2.57,2.13,1.61,1.66,1.45,1.13,1.28,1.12,0.87,0.74,0.74,0.64,0.57,0.57,0.5,0.59,0.79,0.49,0.48,0.48,0.45,0.45,0.41,0.41,0.36,0.44,0.4,0.42,0.35,0.4,0.33,0.31,0.46,0.28,0.31,0.36,0.33,0.31,0.32,0.24,0.35,0.34,0.26,0.29,0.29,0.29,0.28,0.24,0.23,0.25,0.21,0.2,0.25,0.24,0.19,0.22,0.14,0.16,0.19,0.19,0.19,0.15,0.16,0.12,0.1,0.12,0.11,0.15,0.12,0.15,0.1,0.11,0.09,0.07,0.08,0.09,0.07,0.07,0.08,0.08,0.08,0.1,0.07,0.05,0.08,0.06,0.07,0.05,0.04,0.05,0.0,0.0,0.04,0.06,0.04,0.04,0.04,0.04,0.04,0.04,0.03,0.03,0.03,0.03,0.02,0.02,0.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.03
