,AAPL,MSFT,GOOGL,AMZN,TGT,BRK.B,PWR,ORCL,JNJ,LOW,WMT,STX,TXN,HPQ,PM,INTC,ALL,CSCO,DHR,TSCO,EBAY,VZ,ACN,AMAT,T,FFIV,XOM,DE,PSA,CMCSA,WST,IBM,CMI,JCI,PYPL,AOS,A,MO,CAT,NTAP,MMM,AZO,NUE,NWSA,ANTM,EXPD,EL,GNRC,IDXX,ZBRA,LLY,KR,CVS,UPS,IP,JNPR,BLK,BWA,CBRE,TT,TROW,BK,JPM,HII,CERN,EVRG,LKQ,FOXA,ADBE,CTVA,CINF,AFL,ATVI,IRM,MAS,NEM,SJM,PGR,AVY,CTSH,WU,WFC,ED,BAH,SSNC,NKE,NVR,CVX,DISCA,EXR,GPC,LUMN,PHM,SNPS,RHI,SCCO,DLTR,BBY,ABT,WAT,ORLY,XRX,ALXN,INTU,LRCX,SNAP,COST,GRMN,NWL,UNM,MRK,HUBS,PKI,EOG,CAH,NOC,BEN,GD,LHX,PNR,PINS,ODFL,BIIB,QCOM,TRV,MHK,UNH,DGX,GILD,LEN,CB,EXC,ARNC,CDNS,CDW,IT,DG,JKHY,KSS,NRG,TEL,BX,WMB,UI,HOLX,KMI,AON,CMG,CNA,FE,HUM,POOL,SYF,IPG,HD,SQ,PPL,MAA,LH,KLAC,EPAM,CL,LNG,LNT,GIS,PNW,WY,DELL,COG,CFG,ETSY,SWKS,TSN,QRVO,Z,TER,CTXS,PEG,LB,AAP,EA,LDOS,MNST,TMO,MTCH,MTD,SMG,UHS,VST,PANW,GGG,DISH,CNC,ABMD,DHI,EMN,EQH,KEYS,MDB,ROL,SNA,US Dollar,AZN,Morgan Stanley Instl Lqudty Trs Instl,SHW,TSLA,BBWI WI,n/a,PFE,HCA,ETN,XYL,FB,MSI,YUM,RMD,SEE,STLD,MSCI,FTNT,CPT,MRNA,DOV,DPZ,PAYX,OMC,FTV,GWW,DVN,VIAC,MISXX,CTRA,NDAQ,VMW,RL,WHR,LII,NVDA,COF,MMC,ACI,PRU,L,LMT,DOW,TPR,ZTS,REGN,EMR,ROK,SWK,NLOK,REG,HSIC,TW,VICI,LYB,BMY,MASI,TXT,CARR,FDS,SUM
07/09/2021,3.93,3.63,3.16,2.3,1.42,1.34,1.13,1.1,1.06,0.99,0.91,0.85,0.85,0.82,0.82,0.8,0.79,0.79,0.78,0.77,0.75,0.74,0.73,0.72,0.71,0.71,0.68,0.66,0.65,0.64,0.63,0.63,0.62,0.62,0.62,0.61,0.61,0.61,0.61,0.61,0.6,0.6,0.6,0.59,0.58,0.58,0.56,0.55,0.55,0.55,0.53,0.52,0.51,0.51,0.5,0.5,0.49,0.49,0.49,0.49,0.48,0.48,0.48,0.48,0.48,0.47,0.47,0.47,0.47,0.47,0.47,0.47,0.46,0.46,0.46,0.46,0.46,0.46,0.45,0.45,0.45,0.44,0.44,0.44,0.43,0.41,0.41,0.4,0.4,0.39,0.39,0.39,0.39,0.39,0.38,0.38,0.38,0.38,0.38,0.37,0.36,0.36,0.35,0.35,0.35,0.35,0.34,0.34,0.33,0.33,0.33,0.33,0.33,0.33,0.32,0.32,0.31,0.31,0.31,0.31,0.31,0.31,0.3,0.3,0.3,0.29,0.29,0.29,0.29,0.29,0.29,0.29,0.28,0.28,0.28,0.28,0.27,0.27,0.27,0.27,0.27,0.27,0.26,0.26,0.26,0.26,0.26,0.25,0.25,0.25,0.25,0.25,0.25,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.23,0.23,0.23,0.23,0.23,0.22,0.22,0.22,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.2,0.2,0.2,0.2,0.19,0.19,0.19,0.19,0.19,0.18,0.18,0.18,0.18,0.18,0.17,0.17,0.17,0.17,0.17,0.17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,95.16
07/12/2021,3.98,3.6,3.11,2.31,1.42,1.35,1.14,1.15,1.06,0.98,0.9,0.86,0.84,0.81,0.81,0.79,0.8,0.8,0.77,0.77,0.75,0.72,0.74,0.7,0.69,0.7,0.67,0.66,0.65,0.64,0.64,0.63,0.63,0.63,0.63,0.61,0.6,0.62,0.62,0.61,0.6,0.61,0.62,0.59,0.58,0.58,0.55,0.56,0.55,0.55,0.52,0.53,0.5,0.51,0.51,0.5,0.49,0.49,0.49,0.5,0.48,0.48,0.49,0.48,0.47,0.47,0.48,0.47,0.47,0.46,0.48,0.46,0.44,0.47,0.46,0.46,0.46,0.47,0.46,0.45,0.45,0.44,0.44,0.44,0.43,0.41,0.39,0.4,0.38,0.39,0.39,0.39,0.38,0.38,0.39,0.39,0.38,0.38,0.38,0.37,0.37,0.37,0.34,0.35,0.35,0.33,0.35,0.35,0.33,0.33,0.32,0.33,0.32,0.32,0.31,0.32,0.31,0.31,0.31,0.32,0.3,0.32,0.31,0.3,0.3,0.29,0.29,0.29,0.28,0.28,0.29,0.29,0.29,0.28,0.28,0.28,0.27,0.27,0.26,0.27,0.27,0.27,0.26,0.27,0.26,0.26,0.26,0.25,0.24,0.25,0.25,0.26,0.25,0.24,0.24,0.23,0.24,0.25,0.24,0.24,0.25,0.24,0.24,0.24,0.24,0.23,0.24,0.23,0.24,0.23,0.21,0.22,0.22,0.21,0.2,0.2,0.21,0.21,0.21,0.22,0.2,0.2,0.2,0.2,0.18,0.19,0.18,0.19,0.2,0.18,0.18,0.18,0.18,0.18,0.17,0.18,0.17,0.17,0.0,0.17,0.18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,95.16
07/13/2021,3.98,3.6,3.11,2.31,1.42,1.35,1.14,1.15,1.06,0.98,0.9,0.86,0.84,0.81,0.81,0.79,0.8,0.8,0.77,0.77,0.75,0.72,0.74,0.7,0.69,0.7,0.67,0.66,0.65,0.64,0.64,0.63,0.63,0.63,0.63,0.61,0.6,0.62,0.62,0.61,0.6,0.61,0.62,0.59,0.58,0.58,0.55,0.56,0.55,0.55,0.52,0.53,0.5,0.51,0.51,0.5,0.49,0.49,0.49,0.5,0.48,0.48,0.49,0.48,0.47,0.47,0.48,0.47,0.47,0.46,0.48,0.46,0.44,0.47,0.46,0.46,0.46,0.47,0.46,0.45,0.45,0.44,0.44,0.44,0.43,0.41,0.39,0.4,0.38,0.39,0.39,0.39,0.38,0.38,0.39,0.39,0.38,0.38,0.38,0.37,0.37,0.37,0.34,0.35,0.35,0.33,0.35,0.35,0.33,0.33,0.32,0.33,0.32,0.32,0.31,0.32,0.31,0.31,0.31,0.32,0.3,0.32,0.31,0.3,0.3,0.29,0.29,0.29,0.28,0.28,0.29,0.29,0.29,0.28,0.28,0.28,0.27,0.27,0.26,0.27,0.27,0.27,0.26,0.27,0.26,0.26,0.26,0.25,0.24,0.25,0.25,0.26,0.25,0.24,0.24,0.23,0.24,0.25,0.24,0.24,0.25,0.24,0.24,0.24,0.24,0.23,0.24,0.23,0.24,0.23,0.21,0.22,0.22,0.21,0.2,0.2,0.21,0.21,0.21,0.22,0.2,0.2,0.2,0.2,0.18,0.19,0.18,0.19,0.2,0.18,0.18,0.18,0.18,0.18,0.17,0.18,0.17,0.17,0.0,0.17,0.18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,95.16
07/14/2021,3.99,3.61,3.12,2.31,1.42,1.35,1.14,1.15,1.06,0.99,0.9,0.86,0.84,0.81,0.81,0.79,0.8,0.8,0.77,0.77,0.75,0.73,0.74,0.7,0.69,0.71,0.67,0.66,0.65,0.64,0.64,0.63,0.63,0.63,0.63,0.61,0.61,0.62,0.62,0.61,0.6,0.61,0.62,0.59,0.58,0.58,0.55,0.56,0.55,0.55,0.52,0.53,0.5,0.51,0.52,0.5,0.49,0.49,0.49,0.5,0.48,0.48,0.49,0.48,0.47,0.47,0.48,0.47,0.47,0.46,0.48,0.46,0.44,0.47,0.46,0.46,0.46,0.47,0.46,0.45,0.45,0.45,0.44,0.45,0.43,0.41,0.39,0.4,0.38,0.39,0.39,0.39,0.38,0.38,0.39,0.39,0.38,0.38,0.38,0.37,0.37,0.37,0.34,0.35,0.35,0.33,0.35,0.35,0.33,0.33,0.32,0.33,0.32,0.32,0.31,0.32,0.31,0.31,0.31,0.32,0.3,0.32,0.31,0.3,0.31,0.29,0.29,0.29,0.28,0.28,0.29,0.29,0.29,0.28,0.28,0.28,0.27,0.27,0.26,0.27,0.27,0.27,0.26,0.27,0.26,0.26,0.26,0.25,0.24,0.25,0.25,0.26,0.25,0.24,0.24,0.23,0.24,0.25,0.24,0.24,0.25,0.24,0.24,0.24,0.24,0.23,0.24,0.23,0.24,0.23,0.21,0.22,0.22,0.21,0.2,0.2,0.21,0.21,0.21,0.22,0.2,0.2,0.2,0.2,0.19,0.19,0.18,0.19,0.2,0.18,0.18,0.18,0.18,0.18,0.17,0.18,0.17,0.17,0.0,0.17,0.18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,95.28000000000002
07/15/2021,3.97,3.59,3.15,2.3,1.44,1.35,1.15,1.14,1.06,0.98,0.9,0.87,0.84,0.79,0.81,0.8,0.8,0.79,0.78,0.77,0.74,0.72,0.74,0.71,0.69,0.69,0.67,0.67,0.66,0.64,0.64,0.63,0.63,0.64,0.63,0.61,0.6,0.62,0.62,0.6,0.6,0.61,0.63,0.59,0.59,0.58,0.55,0.58,0.54,0.55,0.52,0.53,0.51,0.51,0.51,0.5,0.5,0.49,0.49,0.51,0.49,0.48,0.49,0.48,0.48,0.47,0.49,0.47,0.46,0.47,0.48,0.47,0.44,0.48,0.46,0.45,0.46,0.47,0.46,0.45,0.45,0.45,0.44,0.45,0.43,0.41,0.38,0.4,0.39,0.4,0.39,0.39,0.38,0.38,0.39,0.39,0.37,0.38,0.38,0.37,0.37,0.37,0.35,0.35,0.36,0.32,0.35,0.35,0.33,0.33,0.32,0.32,0.32,0.32,0.31,0.32,0.31,0.31,0.31,0.32,0.28,0.31,0.31,0.3,0.31,0.29,0.29,0.29,0.28,0.28,0.29,0.29,0.29,0.28,0.27,0.28,0.27,0.27,0.26,0.27,0.27,0.28,0.26,0.26,0.26,0.25,0.25,0.25,0.24,0.24,0.25,0.26,0.26,0.24,0.24,0.23,0.24,0.25,0.24,0.24,0.25,0.24,0.24,0.24,0.24,0.23,0.24,0.23,0.24,0.23,0.21,0.22,0.22,0.21,0.2,0.21,0.2,0.21,0.22,0.21,0.2,0.2,0.2,0.2,0.18,0.19,0.18,0.19,0.2,0.18,0.18,0.18,0.19,0.17,0.17,0.18,0.17,0.17,0.0,0.17,0.18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,95.27
07/16/2021,4.02,3.67,3.18,2.29,1.45,1.35,1.15,1.15,1.06,0.98,0.91,0.87,0.84,0.76,0.81,0.81,0.79,0.8,0.78,0.77,0.75,0.73,0.75,0.71,0.69,0.69,0.67,0.67,0.65,0.64,0.64,0.63,0.63,0.63,0.63,0.61,0.61,0.61,0.62,0.59,0.6,0.61,0.61,0.58,0.6,0.58,0.56,0.58,0.55,0.54,0.53,0.53,0.51,0.51,0.51,0.5,0.5,0.49,0.48,0.51,0.48,0.48,0.49,0.47,0.48,0.47,0.48,0.46,0.47,0.46,0.48,0.47,0.45,0.48,0.46,0.46,0.46,0.46,0.45,0.45,0.46,0.44,0.43,0.45,0.43,0.42,0.38,0.4,0.38,0.39,0.39,0.39,0.37,0.38,0.38,0.39,0.37,0.38,0.38,0.37,0.37,0.36,0.35,0.36,0.36,0.32,0.35,0.35,0.32,0.33,0.32,0.31,0.32,0.32,0.31,0.32,0.3,0.31,0.32,0.32,0.28,0.31,0.31,0.3,0.31,0.29,0.29,0.29,0.28,0.28,0.29,0.29,0.28,0.28,0.27,0.28,0.27,0.27,0.26,0.27,0.27,0.27,0.25,0.26,0.26,0.25,0.25,0.25,0.24,0.24,0.25,0.26,0.25,0.24,0.24,0.23,0.24,0.25,0.24,0.24,0.25,0.24,0.23,0.24,0.24,0.23,0.24,0.22,0.24,0.23,0.21,0.22,0.22,0.21,0.19,0.21,0.2,0.21,0.21,0.21,0.2,0.2,0.21,0.2,0.19,0.19,0.18,0.19,0.2,0.18,0.18,0.18,0.19,0.17,0.0,0.17,0.16,0.17,0.16,0.17,0.17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,95.22
07/19/2021,4.11,3.68,3.18,2.27,1.46,1.36,1.13,1.14,1.06,0.99,0.92,0.85,0.83,0.76,0.82,0.79,0.79,0.8,0.79,0.78,0.74,0.74,0.76,0.7,0.69,0.69,0.65,0.66,0.66,0.64,0.64,0.63,0.63,0.64,0.63,0.61,0.61,0.62,0.61,0.59,0.61,0.62,0.62,0.58,0.6,0.58,0.57,0.56,0.55,0.53,0.52,0.54,0.51,0.52,0.5,0.52,0.48,0.49,0.48,0.51,0.48,0.47,0.49,0.47,0.48,0.48,0.48,0.46,0.47,0.46,0.48,0.47,0.44,0.48,0.46,0.46,0.47,0.45,0.46,0.45,0.46,0.46,0.45,0.45,0.44,0.42,0.38,0.39,0.37,0.4,0.39,0.39,0.37,0.38,0.38,0.39,0.38,0.39,0.37,0.38,0.37,0.36,0.34,0.35,0.35,0.3,0.35,0.35,0.33,0.33,0.33,0.3,0.32,0.3,0.31,0.31,0.29,0.31,0.32,0.32,0.27,0.32,0.29,0.3,0.31,0.28,0.3,0.29,0.29,0.28,0.29,0.3,0.27,0.28,0.27,0.28,0.28,0.28,0.25,0.26,0.27,0.28,0.25,0.26,0.26,0.25,0.25,0.25,0.25,0.25,0.26,0.25,0.25,0.24,0.24,0.23,0.24,0.26,0.24,0.24,0.25,0.25,0.23,0.24,0.24,0.23,0.24,0.22,0.22,0.23,0.2,0.22,0.22,0.21,0.18,0.2,0.21,0.21,0.21,0.21,0.2,0.21,0.21,0.2,0.19,0.19,0.18,0.19,0.2,0.18,0.18,0.17,0.18,0.17,0.16,0.17,0.17,0.17,0.0,0.17,0.17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,95.27
07/20/2021,4.08,3.7,3.2,2.25,1.46,1.36,1.13,1.16,1.07,1.0,0.92,0.84,0.83,0.75,0.82,0.79,0.79,0.81,0.81,0.79,0.75,0.74,0.75,0.68,0.7,0.7,0.64,0.66,0.67,0.64,0.65,0.63,0.63,0.64,0.63,0.61,0.61,0.62,0.6,0.58,0.61,0.63,0.6,0.56,0.6,0.58,0.57,0.56,0.56,0.53,0.52,0.55,0.51,0.51,0.5,0.51,0.48,0.48,0.48,0.51,0.48,0.48,0.48,0.47,0.47,0.5,0.48,0.46,0.48,0.45,0.49,0.47,0.45,0.47,0.47,0.45,0.48,0.46,0.45,0.45,0.46,0.46,0.45,0.46,0.44,0.42,0.38,0.39,0.37,0.4,0.39,0.38,0.37,0.38,0.38,0.38,0.38,0.39,0.38,0.38,0.38,0.35,0.34,0.36,0.34,0.3,0.36,0.35,0.33,0.32,0.33,0.31,0.33,0.29,0.32,0.31,0.29,0.31,0.32,0.32,0.27,0.31,0.29,0.3,0.32,0.28,0.3,0.3,0.29,0.28,0.3,0.3,0.27,0.28,0.27,0.28,0.28,0.28,0.25,0.27,0.26,0.28,0.25,0.26,0.27,0.25,0.26,0.25,0.25,0.25,0.26,0.25,0.25,0.23,0.24,0.23,0.24,0.26,0.24,0.23,0.25,0.25,0.23,0.25,0.25,0.24,0.23,0.22,0.22,0.22,0.2,0.22,0.22,0.21,0.18,0.2,0.21,0.22,0.21,0.21,0.2,0.21,0.21,0.2,0.19,0.19,0.18,0.19,0.2,0.18,0.18,0.17,0.18,0.18,0.16,0.17,0.16,0.17,0.0,0.17,0.17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,95.36
07/21/2021,4.08,3.7,3.2,2.25,1.46,1.36,1.13,1.16,1.07,1.0,0.92,0.84,0.83,0.75,0.82,0.79,0.79,0.81,0.81,0.79,0.75,0.74,0.75,0.68,0.7,0.7,0.64,0.66,0.67,0.64,0.65,0.63,0.63,0.64,0.63,0.61,0.61,0.62,0.6,0.58,0.61,0.63,0.6,0.56,0.6,0.58,0.57,0.56,0.56,0.53,0.52,0.55,0.51,0.51,0.5,0.51,0.48,0.48,0.48,0.51,0.48,0.48,0.48,0.47,0.47,0.5,0.48,0.46,0.48,0.45,0.49,0.47,0.45,0.47,0.47,0.45,0.48,0.46,0.45,0.45,0.46,0.46,0.45,0.46,0.44,0.42,0.38,0.39,0.37,0.4,0.39,0.38,0.37,0.38,0.38,0.38,0.38,0.39,0.38,0.38,0.38,0.35,0.34,0.36,0.34,0.3,0.36,0.35,0.33,0.32,0.33,0.31,0.33,0.29,0.32,0.31,0.29,0.31,0.32,0.32,0.27,0.31,0.29,0.3,0.32,0.28,0.3,0.3,0.29,0.28,0.3,0.3,0.27,0.28,0.27,0.28,0.28,0.28,0.25,0.27,0.26,0.28,0.25,0.26,0.27,0.25,0.26,0.25,0.25,0.25,0.26,0.25,0.25,0.23,0.24,0.23,0.24,0.26,0.24,0.23,0.25,0.25,0.23,0.25,0.25,0.24,0.23,0.22,0.22,0.22,0.2,0.22,0.22,0.21,0.18,0.2,0.21,0.22,0.21,0.21,0.2,0.21,0.21,0.2,0.19,0.19,0.18,0.19,0.2,0.18,0.18,0.17,0.18,0.18,0.16,0.17,0.16,0.17,0.0,0.17,0.17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,95.36
07/22/2021,4.02,3.7,3.18,2.26,1.47,1.35,1.11,1.17,1.07,1.0,0.93,0.85,0.84,0.76,0.82,0.79,0.78,0.81,0.81,0.76,0.76,0.74,0.76,0.69,0.69,0.7,0.63,0.65,0.66,0.64,0.65,0.63,0.63,0.63,0.63,0.61,0.61,0.63,0.59,0.58,0.61,0.63,0.59,0.56,0.59,0.59,0.56,0.58,0.57,0.53,0.54,0.58,0.51,0.52,0.49,0.5,0.47,0.48,0.47,0.51,0.47,0.47,0.47,0.47,0.47,0.5,0.47,0.46,0.48,0.45,0.47,0.46,0.44,0.47,0.47,0.45,0.49,0.46,0.44,0.44,0.45,0.45,0.45,0.45,0.43,0.42,0.38,0.38,0.37,0.39,0.39,0.38,0.37,0.39,0.38,0.38,0.38,0.38,0.39,0.38,0.38,0.34,0.34,0.36,0.35,0.3,0.36,0.35,0.33,0.31,0.33,0.31,0.33,0.28,0.32,0.31,0.28,0.31,0.31,0.32,0.28,0.31,0.29,0.3,0.31,0.27,0.29,0.3,0.29,0.28,0.29,0.3,0.26,0.29,0.27,0.28,0.29,0.28,0.24,0.26,0.26,0.28,0.25,0.26,0.27,0.24,0.25,0.25,0.24,0.25,0.26,0.25,0.24,0.23,0.25,0.23,0.24,0.26,0.24,0.23,0.26,0.25,0.23,0.25,0.25,0.24,0.23,0.22,0.21,0.21,0.21,0.22,0.22,0.21,0.19,0.2,0.21,0.21,0.21,0.21,0.2,0.21,0.21,0.21,0.18,0.19,0.19,0.19,0.19,0.19,0.18,0.17,0.18,0.18,0.17,0.17,0.0,0.17,0.0,0.18,0.17,0.19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,95.1
07/23/2021,4.02,3.7,3.18,2.26,1.47,1.35,1.11,1.17,1.07,1.0,0.93,0.85,0.84,0.76,0.82,0.79,0.78,0.81,0.81,0.76,0.76,0.74,0.76,0.69,0.69,0.7,0.63,0.65,0.66,0.64,0.65,0.63,0.63,0.63,0.63,0.61,0.61,0.63,0.59,0.58,0.61,0.63,0.59,0.56,0.59,0.59,0.56,0.58,0.57,0.53,0.54,0.58,0.51,0.52,0.49,0.5,0.47,0.48,0.47,0.51,0.47,0.47,0.47,0.47,0.47,0.5,0.47,0.46,0.48,0.45,0.47,0.46,0.44,0.47,0.47,0.45,0.49,0.46,0.44,0.44,0.45,0.45,0.45,0.45,0.43,0.42,0.38,0.38,0.37,0.39,0.39,0.38,0.37,0.39,0.38,0.38,0.38,0.38,0.39,0.38,0.38,0.34,0.34,0.36,0.35,0.3,0.36,0.35,0.33,0.31,0.33,0.31,0.33,0.28,0.32,0.31,0.28,0.31,0.31,0.32,0.28,0.31,0.29,0.3,0.31,0.27,0.29,0.3,0.29,0.28,0.29,0.3,0.26,0.29,0.27,0.28,0.29,0.28,0.24,0.26,0.26,0.28,0.25,0.26,0.27,0.24,0.25,0.25,0.24,0.25,0.26,0.25,0.24,0.23,0.25,0.23,0.24,0.26,0.24,0.23,0.26,0.25,0.23,0.25,0.25,0.24,0.23,0.22,0.21,0.21,0.21,0.22,0.22,0.21,0.19,0.2,0.21,0.21,0.21,0.21,0.2,0.21,0.21,0.21,0.18,0.19,0.19,0.19,0.19,0.19,0.18,0.17,0.18,0.18,0.17,0.17,0.0,0.17,0.0,0.18,0.17,0.19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,95.1
07/26/2021,4.05,3.73,3.4,2.27,1.47,1.34,1.14,1.19,1.07,1.0,0.91,0.82,0.81,0.75,0.8,0.79,0.77,0.81,0.81,0.75,0.78,0.73,0.75,0.72,0.68,0.71,1.03,0.67,0.65,0.64,0.64,0.63,0.62,0.64,0.64,0.59,0.61,0.61,0.6,0.57,0.6,0.62,0.6,0.56,0.58,0.58,0.57,0.58,0.57,0.54,0.53,0.55,0.51,0.51,0.48,0.5,0.47,0.48,0.5,0.53,0.48,0.48,0.47,0.47,0.47,0.49,0.48,0.46,0.49,0.45,0.47,0.46,0.43,0.47,0.46,0.43,0.46,0.44,0.44,0.44,0.45,0.46,0.44,0.45,0.44,0.42,0.39,0.38,0.23,0.39,0.38,0.37,0.37,0.39,0.38,0.38,0.38,0.38,0.38,0.38,0.38,0.36,0.0,0.37,0.36,0.31,0.36,0.35,0.33,0.32,0.32,0.32,0.34,0.29,0.32,0.31,0.29,0.31,0.32,0.31,0.28,0.31,0.29,0.3,0.3,0.28,0.29,0.3,0.29,0.29,0.3,0.3,0.26,0.29,0.28,0.28,0.28,0.28,0.25,0.26,0.27,0.3,0.24,0.26,0.27,0.24,0.25,0.28,0.24,0.26,0.25,0.25,0.24,0.25,0.25,0.25,0.24,0.26,0.24,0.24,0.26,0.24,0.23,0.24,0.24,0.23,0.23,0.22,0.21,0.22,0.22,0.22,0.21,0.21,0.0,0.21,0.21,0.21,0.22,0.21,0.2,0.2,0.21,0.2,0.18,0.19,0.0,0.19,0.2,0.19,0.18,0.18,0.18,0.18,0.17,0.17,0.16,0.17,0.17,0.18,0.17,0.0,0.23,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,95.53
